dc_id,phone,centername,inspectionsummaryresult,actual,building,averagetotaleducationalworkers,agerange,street,violationavgratepercent,borough
DC21986,718-693-3699,GIFTED & TALENTED EARLY DEVELOPERS,Initial Annual Inspection - Reinspection Required,Y,1621,11.9769,2 YEARS - 5 YEARS,CHURCH AVENUE,21.905,BROOKLYN
DC23917,718-531-1111,PAERDEGAT ALHLETIC CLUB,Initial Annual Inspection - Reinspection Required; Fines pending,N,1500,1.0,0 YEARS - 16 YEARS,PAERDEGAT AVENUE NORTH,26.8868,BROOKLYN
DC25184,718-231-0858,ST. FRANCIS OF ASSISI SCHOOL,Initial Annual Inspection - Reinspection Not Required,,4321,8.0094,3 YEARS - 5 YEARS,BARNES AVENUE,45.1817,BRONX
DC20623,718-439-8816,"HAPPY DRAGON OF NEW YORK, INC.",Monitoring Inspection Non-Routine - Passed inspection with no violations,Y,5805,11.9769,2 YEARS - 5 YEARS,7TH AVENUE,21.905,BROOKLYN
DC1359,718-896-4444,BETH JACOB JEWISH ED. CTR,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection,N,102-35,11.9769,2 YEARS - 5 YEARS,63 ROAD,21.905,QUEENS
DC20651,718-375-7100,ATERET TORAH CENTER,Initial Annual Inspection - Reinspection Required,,2166,8.0094,3 YEARS - 5 YEARS,CONEY ISLAND AVENUE,45.1817,BROOKLYN
DC19160,718-655-5500,"NORTHEAST BRONX DAY CARE CENTER,INC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,3440,11.9769,2 YEARS - 5 YEARS,WHITE PLAINS RD.,21.905,BRONX
DC32177,718-208-4665,LEPORT SCHOOLS,Initial Annual Inspection - Reinspection Not Required,Y,292,8.4034,,COURT STREET,17.4391,BROOKLYN
DC35437,718-441-0404,Kochavim Ktanim Child Care Inc,Initial Annual Inspection - Reinspection Required; Fines pending,Y,83-11,11.9769,2 YEARS - 5 YEARS,Brevoort   Street,21.905,QUEENS
DC21458,718-232-8155,DREAMLAND DAY CARE CENTER,Initial Annual Inspection - Reinspection Required,Y,1379,11.9769,2 YEARS - 5 YEARS,WEST 7TH STREET,21.905,BROOKLYN
DC21672,917-807-2683,IRA'S BRIARWOOD DAY CARE & PRESCHOOL INC.,Initial Annual Inspection - Reinspection Required; Fines pending,Y,139-76,11.9769,2 YEARS - 5 YEARS,85 DRIVE,21.905,QUEENS
DC25857,718-364-7608,CARDINAL MCCLOSKEY COMMUNITY SERVICES,Initial Annual Inspection - Reinspection Not Required,Y,2331,11.9769,2 YEARS - 5 YEARS,UNIVERSITY AVENUE,21.905,BRONX
DC38871,332-255-8506,BRIGHT HORIZONS AT EAST VILLAGE,Initial Annual Inspection - Reinspection Required; Fines pending,Y,526,11.9769,2 YEARS - 5 YEARS,E 14TH ST,21.905,MANHATTAN
DC33457,212-526-1724,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection,Y,745,8.4034,0 YEARS - 2 YEARS,7TH AVENUE,17.4391,MANHATTAN
DC36648,718-653-3714,BEANSTALK CHILDCARE ACADEMY,Initial Annual Inspection - Reinspection Required,Y,2901,11.9769,2 YEARS - 5 YEARS,White Plains Road,21.905,BRONX
DC2680,212-343-9630,CHINESE-AMERICAN PLANNING COUNCIL INC.,Initial Annual Inspection - Passed inspection with no violations,N,125,11.9769,2 YEARS - 5 YEARS,"WALKER STREET, 3RD FLOOR",21.905,MANHATTAN
DC1131,718-899-1532,"BOOKS & RATTLES, INC.",,N,75-02,11.9769,2 YEARS - 5 YEARS,51 AVENUE,21.905,QUEENS
DC22784,718-305-4057,NY KIDS CLUB,Initial Annual Inspection - Passed inspection with no violations,Y,125,11.9769,2 YEARS - 5 YEARS,5TH AVENUE,21.905,BROOKLYN
DC23511,718-639-0212,ST. ADALBERT'S SUMMER CAMP,Initial Annual Inspection - Reinspection Not Required,N,52-17,1.0,0 YEARS - 16 YEARS,83 STREET,26.8868,QUEENS
DC36628,718-574-3710,BEANSTALK CHILD CARE ACADEMY,Monitoring Inspection Non-Routine - Passed inspection with no violations,Y,844,11.9769,2 YEARS - 5 YEARS,Dekalb  Avenue,21.905,BROOKLYN
DC10479,718-762-1218,JACK & JILL,Initial Annual Inspection - Reinspection Not Required,Y,43-23,11.9769,2 YEARS - 5 YEARS,COLDEN STREET,21.905,QUEENS
DC32654,718-434-0795,UNITED LUBAVITCHER PRESCHOOL,Initial Annual Inspection - Reinspection Required,,841,8.0094,3 YEARS - 5 YEARS,OCEAN PKWY.,45.1817,BROOKLYN
DC19535,718-295-6080,OUR LADY OF MOUNT CARMEL SCHOOL,Initial Annual Inspection - Reinspection Required,,2465,8.0094,3 YEARS - 5 YEARS,BATHGATE AVENUE,45.1817,BRONX
DC35441,917-993-1330,THE MOUNT CARMEL EARLY CHILDHOOD CENTER,Initial Annual Inspection - Passed inspection with no violations,Y,10,11.9769,2 YEARS - 5 YEARS,WITHERS ST,21.905,BROOKLYN
DC12081,347-649-3209,"PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN AND SERVE ADDICTS, INC. (PROMESA)",Initial Annual Inspection - Reinspection Required; Fines pending,N,300,11.9769,2 YEARS - 5 YEARS,EAST 175TH STREET,21.905,BRONX
DC12281,718-712-1860,"LAURELTON DAY CARE, INC.",Initial Annual Inspection - Reinspection Not Required,N,141-19,8.4034,,224 STREET,17.4391,QUEENS
DC22832,718-690-9466,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,,Y,295,11.9769,2 YEARS - 5 YEARS,WEST 231ST STREET,,BRONX
DC24833,718-302-1113,BRIGHT HORIZONS AT KENT AVENUE,Compliance Inspection of Open Violations - Reinspection Required,Y,175,8.4034,0 YEARS - 2 YEARS,KENT AVENUE,17.4391,BROOKLYN
DC34313,718-226-0485,CAMBA CORNERSTONE @ HOWARD,Initial Annual Inspection - Reinspection Required,Y,90,1.0,0 YEARS - 16 YEARS,Watkins   Street,26.8868,BROOKLYN
DC34222,917-595-1500,CAMP YOUNG JUDAEA SPROUT LAKE,Initial Annual Inspection - Passed inspection with no violations,Y,556,1.0,0 YEARS - 16 YEARS,Columbia Street,26.8868,BROOKLYN
DC22832,718-690-9466,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,,Y,295,11.9769,2 YEARS - 5 YEARS,WEST 231ST STREET,,BRONX
DC14295,212-752-4566,CHILDREN'S ALL DAY SCHOOL,Initial Annual Inspection - Reinspection Not Required,N,109,11.9769,2 YEARS - 5 YEARS,EAST 60 STREET,21.905,MANHATTAN
DC1980,718-409-1450,"NYSARC, INC., NYC CHAPTER",Initial Annual Inspection - Reinspection Required,Y,2300,11.9769,2 YEARS - 5 YEARS,WESTCHESTER AVENUE,21.905,BRONX
DC36177,718-844-1916,THE PURPLE CRAYON,Initial Annual Inspection - Passed inspection with no violations,Y,1518,11.9769,2 YEARS - 5 YEARS,86TH ST,21.905,BROOKLYN
DC1648,718-292-4774,FIVE STAR DAY CARE CENTER,Compliance Inspection of Open Violations - Reinspection Not Required,N,3261,11.9769,2 YEARS - 5 YEARS,3 AVENUE,,BRONX
DC34716,646-883-0990,WE R EXPLORERS LLC,Initial Annual Inspection - Passed inspection with no violations,Y,990,11.9769,2 YEARS - 5 YEARS,HYLAN BOULEVARD,21.905,STATEN ISLAND
DC33249,646-861-0664,ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL,Initial Annual Inspection - Passed inspection with no violations,Y,101,11.9769,2 YEARS - 5 YEARS,WEST 85 STREET,21.905,MANHATTAN
DC2811,718-442-5350,CASTLETON HILL MORAVIAN CHURCH PRESCHOOL,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,N,1657,11.9769,2 YEARS - 5 YEARS,VICTORY BOULEVARD,21.905,STATEN ISLAND
DC22832,718-690-9466,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,,Y,295,11.9769,2 YEARS - 5 YEARS,WEST 231ST STREET,,BRONX
DC19535,718-295-6080,OUR LADY OF MOUNT CARMEL SCHOOL,Initial Annual Inspection - Reinspection Required,,2465,8.0094,3 YEARS - 5 YEARS,BATHGATE AVENUE,45.1817,BRONX
dc36606,718-346-1064,BA,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection,Y,58,11.9769,2 YEARS - 5 YEARS,Belmont  Avenue,21.905,BROOKLYN
DC374,718-547-1735,"NORTHEAST BRONX DAY CARE CENTER, INC.",Monitoring Inspection Non-Routine - Reinspection Required; Program closed,N,1140,11.9769,2 YEARS - 5 YEARS,EAST 229TH STREET,21.905,BRONX
DC35632,718-292-5761,"LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC",Compliance Inspection of Open Violations - Reinspection Required; Fines pending,Y,3365,11.9769,2 YEARS - 5 YEARS,THIRD AVE,21.905,BRONX
DC220 29,718-989-9804,SUNSHINE DAY CARE,,Y,416,8.4034,0 YEARS - 2 YEARS,WILLIS AVENUE,17.4391,BRONX
DC40526,917-416-4307,"CLAIRE HEUREUSE COMMUNITY CENTER, INC.",,Y,575,11.9769,2 YEARS - 5 YEARS,Soundview Avenue,21.905,BRONX
DC19052,718-777-2011,ADVENTURELAND CHILD CARE CENTER INC.,Initial Annual Inspection - Reinspection Required; Fines pending,Y,32-04,8.4034,0 YEARS - 2 YEARS,31ST AVENUE,17.4391,QUEENS
DC39896,347-224-1575,YELED V' YALDA EARLY CHILDHOOD CENTER INC.,Compliance Inspection of Open Violations - Reinspection Required,Y,585,11.9769,2 YEARS - 5 YEARS,MARCY AVE,21.905,BROOKLYN
DC33272,718-978-0075,THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,Initial Annual Inspection - Reinspection Required; Fines pending,,110-51,8.0094,3 YEARS - 5 YEARS,GUY R. BREWER BLVD.,45.1817,QUEENS
DC14225,646-738-6090,Y M/Y W H A OF WASHINGTON HEIGHTS & INWOOD INC.,Initial Annual Inspection - Passed inspection with no violations,N,54,11.9769,2 YEARS - 5 YEARS,NAGLE AVENUE,21.905,MANHATTAN
DC282,718-892-3234,ST. HELENA SCHOOL,Initial Annual Inspection - Reinspection Required,,2050,8.0094,3 YEARS - 5 YEARS,BENEDICT AVENUE,45.1817,BRONX
DC2451,718-322-9080,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,Initial Annual Inspection - Reinspection Required; Fines pending,N,112-06,11.9769,2 YEARS - 5 YEARS,SUTPHIN BOULEVARD,21.905,QUEENS
DC23194,718-850-2934,SHOLOM  SHOLOM  INC,Initial Annual Inspection - Passed inspection with no violations,Y,84-15,8.4034,0 YEARS - 2 YEARS,BEVERLY ROAD,17.4391,QUEENS
DC39358,718-565-2170,"A CHILD'S PLACE TOO, INC.",Initial Annual Inspection - Passed inspection with no violations,Y,7501,11.9769,2 YEARS - 5 YEARS,31ST AVE,21.905,QUEENS
DC15139,718-740-8400,"A TO Z CENTER TOO, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,220-24,11.9769,,JAMAICA AVENUE,21.905,QUEENS
DC36829,718-682-3650,"CONGREGATION LUMINOUS, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,655,11.9769,2 YEARS - 5 YEARS,MORRIS AVENUE,21.905,BRONX
DC37564,347-857-8746,gan yisroel of crown heights,Initial Annual Inspection - Reinspection Required; Fines pending,Y,432,1.0,0 YEARS - 16 YEARS,Rutland Road,26.8868,BROOKLYN
DC1642,718-778-6559,EDWARDS L. CLEAVELAND DAY CARE CENTER,Initial Annual Inspection - Passed inspection with no violations,N,1185,11.9769,2 YEARS - 5 YEARS,PARK PLACE,21.905,BROOKLYN
DC11994,212-694-0615,"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",Initial Annual Inspection - Reinspection Required; Fines pending,Y,301B,11.9769,2 YEARS - 5 YEARS,WEST 130 STREET,21.905,MANHATTAN
DC21986,718-693-3699,GIFTED & TALENTED EARLY DEVELOPERS,Initial Annual Inspection - Reinspection Required,Y,1621,11.9769,2 YEARS - 5 YEARS,CHURCH AVENUE,21.905,BROOKLYN
DC35632,718-292-5761,"LITTLE SCHOLARS EARLY DEVELOPMENT CENTER, LLC",Initial Annual Inspection - Reinspection Required; Fines pending,Y,3365,11.9769,2 YEARS - 5 YEARS,THIRD AVE,21.905,BRONX
DC38537,646-404-2106,"SY SEIT, LLC",Initial Annual Inspection - Reinspection Required; Fines pending,Y,35-10,11.9769,,156 STREET,21.905,QUEENS
DC37840,347-801-3103,"Teeny Tiny Toes, LLC",,Y,19-79,8.4034,0 YEARS - 2 YEARS,38th  Street,17.4391,QUEENS
DC23086,718-966-8695,GATEWAY CHURCH,Monitoring Inspection Non-Routine - Passed inspection with no violations,Y,200,8.4034,0 YEARS - 2 YEARS,BOSCOMBE AVENUE,17.4391,STATEN ISLAND
DC36901,718-488-7105,NY KIDS CLUB,Initial Annual Inspection - Passed inspection with no violations,Y,30,11.9769,2 YEARS - 5 YEARS,PEARL STREET,21.905,BROOKLYN
DC2034,718-742-2370,HIGHBRIDGE ADVISORY COUNCIL MARSHALL ENGLAND EARLY LEARNING CENTER,,N,800,11.9769,2 YEARS - 5 YEARS,CONCOURSE VILLAGE EAST,,BRONX
DC15129,212-695-5980,BRITISH INTERNATIONAL SCHOOL,Initial Annual Inspection - Passed inspection with no violations,,20,8.0094,3 YEARS - 5 YEARS,WATERSIDE PLAZA,45.1817,MANHATTAN
DC2279,212-929-0839,SAN JOSE NURSERY,Initial Annual Inspection - Passed inspection with no violations,N,432,8.4034,0 YEARS - 2 YEARS,WEST 20 STREET,17.4391,MANHATTAN
DC22420,929-234-2451,MAGIC KINGDOM,,N,5215,11.9769,2 YEARS - 5 YEARS,CHURCH AVENUE,21.905,BROOKLYN
DC36139,718-441-6050,BOYS AND GIRLS CLUB OF METRO QUEENS INC.,Compliance Inspection of Open Violations - Reinspection Required; Fines pending,Y,110-04,11.9769,2 YEARS - 5 YEARS,ATLANTIC AVENUE,21.905,QUEENS
DC2614,212-682-8080,"TUTOR TIME LEARNING CENTER, LLC",Initial Annual Inspection - Passed inspection with no violations,N,225,8.4034,0 YEARS - 2 YEARS,EAST 38TH STREET,17.4391,MANHATTAN
DC3098,718-416-1624,"PRECIOUS MOMENTS DAY CARE CENTER, INC.",Initial Annual Inspection - Passed inspection with no violations,N,61-30,11.9769,2 YEARS - 5 YEARS,GRAND AVENUE,21.905,QUEENS
