dbn,q11_i_trust_the_principal,q28_how_satisfied_are_you,q10_my_child_feels_like_they,q39_if_you_are_a_parent,q36_if_you_are_a_parent_1,q23_i_am_satisfied_with_my_1,q14_the_principal_school_1,q18_the_principal_school_1,q6_my_child_s_school,q1_school_staff_regularly_1,q15_the_principal_school_1,q30_during_the_school_year_1,q10_my_child_feels_like_they_1,q23_i_am_satisfied_with_my,q15_the_principal_school,q41_if_you_are_a_parent_1,q27_how_satisfied_are_you_1,q34_if_you_are_a_parent,q36_if_you_are_a_parent,q27_how_satisfied_are_you,q41_if_you_are_a_parent,q4_i_feel_respected_by_my,q25_how_satisfied_are_you
16K335,98%,,98%,100%,0%,15%,3%,0%,100%,4%,5%,7%,2%,85%,95%,0%,,0%,100%,,100%,100%,100%
19K149,91%,,91%,100%,4%,10%,9%,9%,90%,10%,9%,7%,9%,90%,91%,0%,,0%,96%,,100%,90%,91%
10X037,100%,,92%,0%,0%,,0%,0%,100%,0%,0%,17%,8%,,100%,0%,,0%,0%,,0%,100%,100%
09X413,87%,,92%,0%,0%,9%,16%,3%,85%,21%,15%,32%,8%,91%,85%,0%,,100%,100%,,0%,95%,89%
17K394,97%,,97%,,6%,0%,3%,4%,100%,3%,4%,4%,3%,100%,96%,,,0%,94%,,,99%,99%
14K297,96%,,94%,,6%,20%,4%,2%,94%,8%,2%,8%,6%,80%,98%,,,0%,94%,,,96%,96%
11X287,97%,,96%,0%,9%,9%,1%,5%,99%,6%,3%,25%,4%,91%,97%,0%,,0%,91%,,0%,99%,96%
11X249,100%,,100%,0%,,,0%,0%,100%,7%,8%,14%,0%,,92%,0%,,100%,,,0%,100%,93%
05M670,92%,,83%,0%,,0%,0%,0%,92%,46%,10%,0%,17%,0%,90%,0%,,89%,,,0%,92%,80%
19K654,89%,,88%,0%,0%,,5%,4%,93%,19%,13%,15%,12%,,87%,0%,,0%,100%,,0%,81%,92%
11X087,89%,,93%,0%,25%,29%,11%,12%,95%,11%,12%,10%,7%,71%,88%,0%,,0%,75%,,0%,96%,88%
06M366,96%,,97%,97%,7%,7%,5%,3%,98%,5%,4%,10%,3%,93%,96%,3%,,0%,93%,,97%,96%,95%
08X062,97%,,97%,100%,9%,40%,4%,4%,97%,4%,4%,5%,3%,60%,96%,0%,,0%,91%,,100%,94%,97%
09X404,97%,,96%,0%,11%,7%,0%,0%,97%,7%,4%,43%,4%,93%,96%,0%,,97%,89%,,0%,93%,88%
02M104,97%,,94%,0%,10%,8%,3%,3%,98%,13%,7%,10%,6%,92%,93%,0%,,0%,90%,,0%,97%,89%
15K094,97%,,98%,0%,4%,8%,2%,2%,99%,3%,3%,5%,2%,92%,97%,0%,,0%,96%,,0%,99%,90%
10X264,100%,,90%,0%,0%,,11%,5%,95%,18%,6%,32%,10%,,94%,0%,,86%,100%,,0%,100%,95%
16K025,92%,,96%,,,0%,5%,4%,96%,8%,0%,12%,4%,100%,100%,,,0%,,,,96%,91%
15K447,99%,,96%,0%,14%,0%,8%,7%,99%,30%,16%,2%,4%,100%,84%,0%,,0%,86%,,0%,98%,76%
10X008,88%,,96%,0%,0%,,8%,18%,92%,15%,9%,4%,4%,,91%,0%,,0%,100%,,0%,96%,96%
03M452,84%,,95%,100%,16%,12%,20%,24%,99%,14%,16%,6%,5%,88%,84%,0%,,0%,84%,,100%,96%,81%
19K306,97%,,96%,100%,0%,15%,4%,4%,99%,3%,4%,30%,4%,85%,96%,4%,,0%,100%,,96%,98%,99%
03M415,87%,,73%,0%,,,21%,14%,93%,13%,20%,7%,27%,,80%,0%,,88%,,,0%,87%,85%
13K419,96%,,88%,0%,12%,18%,9%,7%,96%,11%,5%,23%,12%,82%,95%,0%,,95%,88%,,0%,98%,87%
02M399,78%,,67%,0%,,0%,25%,25%,100%,22%,12%,22%,33%,0%,88%,0%,,67%,,,0%,100%,56%
17K289,100%,,100%,,,22%,6%,6%,100%,6%,6%,22%,0%,78%,94%,,,0%,,,,100%,100%
05M129,88%,,100%,,0%,,12%,13%,94%,28%,12%,11%,0%,,88%,,,0%,100%,,,100%,100%
08X558,97%,,94%,0%,,17%,4%,4%,97%,10%,3%,32%,6%,83%,97%,0%,,94%,,,0%,94%,100%
18K276,97%,,97%,100%,4%,23%,3%,3%,98%,6%,3%,15%,3%,77%,97%,0%,,0%,96%,,100%,96%,91%
14K449,92%,,89%,0%,0%,21%,8%,8%,94%,12%,9%,39%,11%,79%,91%,0%,,94%,100%,,0%,96%,91%
03M199,90%,,97%,0%,14%,,15%,26%,99%,12%,22%,6%,3%,,78%,0%,,0%,86%,,0%,98%,80%
21K095,96%,,96%,100%,4%,13%,5%,3%,96%,8%,5%,9%,4%,87%,95%,12%,,0%,96%,,88%,96%,90%
17K705,96%,,96%,,12%,17%,6%,6%,98%,6%,6%,4%,4%,83%,94%,,,0%,88%,,,94%,94%
04M372,93%,,96%,0%,16%,18%,7%,3%,97%,9%,5%,27%,4%,82%,95%,0%,,88%,84%,,0%,95%,95%
06M513,97%,,100%,0%,0%,0%,5%,3%,100%,3%,3%,3%,0%,100%,97%,0%,,0%,100%,,0%,100%,95%
01M378,75%,,75%,0%,50%,0%,27%,18%,100%,0%,20%,8%,25%,0%,80%,0%,,0%,50%,,0%,100%,75%
11X462,93%,,93%,0%,16%,7%,6%,7%,91%,10%,8%,12%,7%,93%,92%,0%,,0%,84%,,0%,92%,87%
17K408,93%,,88%,0%,25%,10%,14%,9%,96%,15%,12%,33%,12%,90%,88%,0%,,87%,75%,,0%,98%,88%
16K455,96%,,96%,0%,29%,,9%,7%,96%,2%,11%,33%,4%,,89%,0%,,98%,71%,,0%,98%,98%
02M408,95%,,95%,0%,30%,,2%,8%,98%,25%,7%,14%,5%,,93%,0%,,90%,70%,,0%,100%,75%
13K492,86%,,96%,80%,35%,20%,15%,18%,99%,14%,24%,1%,4%,80%,76%,20%,,0%,65%,,80%,96%,86%
21K337,92%,,100%,0%,0%,12%,0%,0%,92%,0%,9%,38%,0%,88%,91%,0%,,100%,0%,,0%,100%,100%
02M414,97%,,91%,0%,18%,,4%,7%,99%,15%,5%,20%,9%,,95%,0%,,91%,82%,,0%,96%,84%
02M400,93%,,87%,0%,35%,0%,13%,13%,98%,12%,14%,29%,13%,100%,86%,0%,,93%,65%,,0%,98%,87%
14K023,93%,,96%,87%,15%,14%,7%,7%,96%,8%,5%,13%,4%,86%,95%,7%,,0%,85%,,93%,97%,92%
10X205,95%,,94%,0%,8%,12%,3%,4%,97%,6%,3%,9%,6%,88%,97%,0%,,0%,92%,,0%,95%,96%
14K050,99%,,100%,0%,2%,4%,1%,1%,100%,1%,1%,3%,0%,96%,99%,0%,,0%,98%,,0%,100%,97%
02M432,100%,,86%,0%,,,11%,6%,100%,5%,6%,35%,14%,,94%,0%,,95%,,,0%,100%,100%
03M421,100%,,95%,0%,17%,,0%,0%,100%,5%,0%,5%,5%,,100%,0%,,0%,83%,,0%,100%,85%
08X376,94%,,90%,0%,14%,9%,7%,5%,96%,9%,7%,34%,10%,91%,93%,0%,,91%,86%,,0%,95%,89%
15K029,97%,,97%,100%,9%,10%,5%,8%,98%,6%,11%,2%,3%,90%,89%,0%,,0%,91%,,100%,98%,90%
21K238,97%,,96%,100%,6%,26%,2%,2%,96%,6%,7%,11%,4%,74%,93%,0%,,0%,94%,,100%,97%,96%
13K313,82%,,94%,0%,,,12%,19%,100%,18%,12%,6%,6%,,88%,0%,,0%,,,0%,94%,76%
02M507,98%,,96%,0%,2%,7%,4%,2%,98%,3%,4%,19%,4%,93%,96%,0%,,95%,98%,,0%,98%,98%
20K127,99%,,98%,0%,2%,10%,2%,4%,96%,5%,5%,9%,2%,90%,95%,0%,,0%,98%,,0%,98%,91%
21K226,98%,,97%,91%,2%,12%,4%,3%,97%,8%,6%,11%,3%,88%,94%,9%,,0%,98%,,91%,97%,92%
19K760,92%,,92%,0%,8%,10%,9%,6%,97%,13%,11%,22%,8%,90%,89%,0%,,0%,92%,,0%,95%,87%
09X339,77%,,80%,0%,31%,12%,13%,10%,72%,25%,18%,25%,20%,88%,82%,0%,,0%,69%,,0%,75%,89%
18K763,97%,,95%,0%,7%,12%,1%,1%,99%,11%,3%,8%,5%,88%,97%,0%,,0%,93%,,0%,100%,91%
03M185,92%,,98%,100%,9%,,10%,9%,97%,6%,3%,2%,2%,,97%,10%,,0%,91%,,90%,98%,97%
20K105,99%,,98%,0%,0%,4%,1%,1%,100%,2%,2%,3%,2%,96%,98%,0%,,0%,100%,,0%,99%,94%
12X067,90%,,89%,100%,13%,21%,9%,15%,96%,11%,13%,10%,11%,79%,87%,29%,,0%,87%,,71%,97%,88%
11X567,85%,,92%,0%,0%,0%,4%,9%,100%,8%,14%,12%,8%,0%,86%,0%,,0%,100%,,0%,100%,100%
10X118,94%,,91%,0%,0%,10%,19%,15%,98%,17%,15%,17%,9%,90%,85%,0%,,0%,100%,,0%,98%,92%
02M150,86%,,99%,100%,0%,,23%,35%,98%,18%,30%,1%,1%,,70%,0%,,0%,100%,,100%,96%,88%
05M499,83%,,87%,0%,,20%,26%,21%,92%,21%,16%,38%,13%,80%,84%,0%,,89%,,,0%,96%,80%
21K228,96%,,96%,0%,4%,13%,5%,6%,94%,14%,7%,30%,4%,87%,93%,0%,,0%,96%,,0%,98%,89%
13K691,92%,,91%,0%,,,0%,0%,100%,18%,0%,17%,9%,,100%,0%,,0%,,,0%,100%,90%
10X237,94%,,95%,0%,12%,4%,5%,2%,98%,13%,5%,29%,5%,96%,95%,0%,,97%,88%,,0%,98%,92%
02M300,95%,,100%,0%,20%,,0%,5%,95%,5%,19%,19%,0%,,81%,0%,,95%,80%,,0%,100%,95%
21K209,94%,,97%,80%,5%,12%,5%,7%,93%,9%,9%,16%,3%,88%,91%,20%,,0%,95%,,80%,96%,88%
01M515,100%,,100%,0%,,0%,0%,0%,100%,17%,0%,30%,0%,100%,100%,0%,,96%,,,0%,100%,87%
11X498,94%,,95%,0%,26%,21%,8%,7%,97%,13%,9%,6%,5%,79%,91%,0%,,0%,74%,,0%,96%,92%
06M210,95%,,97%,92%,10%,15%,7%,5%,97%,8%,7%,12%,3%,85%,93%,0%,,0%,90%,,100%,95%,94%
14K126,97%,,96%,0%,7%,6%,3%,2%,98%,4%,4%,11%,4%,94%,96%,0%,,0%,93%,,0%,98%,95%
17K528,96%,,90%,0%,,0%,12%,12%,100%,14%,12%,14%,10%,100%,88%,0%,,89%,,,0%,97%,86%
09X035,97%,,95%,0%,2%,12%,4%,5%,95%,6%,5%,12%,5%,88%,95%,0%,,0%,98%,,0%,97%,95%
18K115,98%,,99%,97%,9%,13%,6%,6%,96%,8%,6%,16%,1%,87%,94%,6%,,0%,91%,,94%,97%,94%
06M052,100%,,100%,0%,0%,,0%,0%,100%,0%,0%,0%,0%,,100%,0%,,0%,100%,,0%,100%,100%
14K561,100%,,97%,0%,8%,0%,1%,2%,97%,6%,1%,13%,3%,100%,99%,0%,,97%,92%,,0%,98%,94%
02M111,93%,,94%,0%,0%,0%,8%,8%,99%,7%,11%,1%,6%,100%,89%,0%,,0%,100%,,0%,97%,93%
02M343,93%,,99%,100%,0%,11%,10%,7%,99%,8%,8%,1%,1%,89%,92%,15%,,0%,100%,,85%,98%,92%
15K321,98%,,98%,0%,10%,0%,3%,3%,99%,5%,5%,0%,2%,100%,95%,0%,,0%,90%,,0%,97%,92%
02M011,96%,,99%,,6%,12%,6%,6%,99%,10%,9%,1%,1%,88%,91%,,,0%,94%,,,99%,85%
21K099,81%,,95%,0%,,0%,19%,17%,88%,26%,16%,7%,5%,100%,84%,0%,,0%,,,0%,93%,84%
19K202,99%,,99%,100%,1%,3%,2%,1%,99%,1%,2%,12%,1%,97%,98%,0%,,0%,99%,,100%,99%,98%
10X209,97%,,100%,97%,5%,0%,5%,3%,100%,2%,5%,9%,0%,100%,95%,0%,,0%,95%,,100%,99%,96%
19K907,82%,,82%,0%,50%,43%,17%,18%,91%,24%,10%,29%,18%,57%,90%,0%,,0%,50%,,0%,90%,84%
12X684,91%,,91%,0%,,,0%,0%,100%,9%,0%,27%,9%,,100%,0%,,91%,,,0%,91%,91%
06M048,97%,,96%,96%,5%,11%,3%,3%,96%,9%,3%,7%,4%,89%,97%,8%,,0%,95%,,92%,96%,96%
13K594,,,,0%,0%,,,,,,,,,,,0%,,,0%,,0%,,
07X359,100%,,100%,,,0%,0%,17%,100%,14%,0%,0%,0%,0%,100%,,,0%,,,,100%,100%
15K443,97%,,90%,0%,12%,,10%,11%,98%,27%,26%,17%,10%,,74%,0%,,0%,88%,,0%,92%,78%
13K009,89%,,94%,100%,31%,27%,14%,13%,98%,12%,16%,7%,6%,73%,84%,5%,,0%,69%,,95%,96%,86%
03M087,92%,,98%,60%,14%,12%,9%,12%,99%,17%,9%,2%,2%,88%,91%,60%,,0%,86%,,40%,96%,81%
10X045,92%,,83%,0%,,,10%,5%,92%,25%,14%,13%,17%,,86%,0%,,0%,,,0%,92%,82%
09X412,98%,,96%,0%,25%,16%,6%,9%,96%,4%,6%,27%,4%,84%,94%,0%,,91%,75%,,0%,96%,94%
13K133,89%,,97%,,14%,14%,15%,18%,97%,15%,17%,3%,3%,86%,83%,,,0%,86%,,,98%,86%
15K295,90%,,98%,80%,5%,0%,10%,14%,98%,8%,11%,0%,2%,100%,89%,0%,,0%,95%,,100%,97%,80%
13K282,70%,,93%,100%,13%,14%,28%,33%,97%,29%,21%,1%,7%,86%,79%,9%,,0%,87%,,91%,96%,84%
02M297,92%,,90%,0%,21%,10%,12%,14%,99%,16%,11%,6%,10%,90%,89%,0%,,0%,79%,,0%,91%,74%
14K120,99%,,97%,100%,7%,6%,1%,2%,99%,4%,5%,8%,3%,94%,95%,7%,,0%,93%,,93%,97%,95%
20K200,96%,,98%,0%,10%,5%,4%,4%,97%,7%,6%,10%,2%,95%,94%,0%,,0%,90%,,0%,99%,90%
10X086,94%,,94%,,20%,25%,4%,4%,96%,12%,12%,12%,6%,75%,88%,,,0%,80%,,,99%,95%
07X277,96%,,98%,95%,10%,9%,6%,4%,96%,9%,5%,8%,2%,91%,95%,9%,,0%,90%,,91%,99%,96%
13K093,94%,,94%,,12%,20%,6%,6%,94%,11%,6%,11%,6%,80%,94%,,,0%,88%,,,94%,94%
14K059,96%,,96%,95%,6%,6%,4%,4%,98%,5%,4%,12%,4%,94%,96%,5%,,0%,94%,,95%,97%,93%
10X077,93%,,93%,,,17%,4%,7%,93%,3%,4%,0%,7%,83%,96%,,,0%,,,,93%,93%
07X527,97%,,96%,0%,6%,12%,3%,4%,97%,7%,4%,13%,4%,88%,96%,0%,,97%,94%,,0%,95%,94%
20K179,98%,,96%,,0%,28%,4%,7%,98%,5%,5%,7%,4%,72%,95%,,,0%,100%,,,98%,93%
01M448,98%,,95%,0%,12%,9%,3%,3%,95%,8%,5%,49%,5%,91%,95%,0%,,96%,88%,,0%,97%,96%
15K146,99%,,99%,100%,12%,31%,6%,3%,99%,7%,7%,2%,1%,69%,93%,0%,,0%,88%,,100%,98%,95%
17K568,,,,0%,,,,,,,,,,,,0%,,,,,0%,,
09X063,96%,,96%,100%,2%,3%,3%,2%,98%,2%,3%,8%,4%,97%,97%,3%,,0%,98%,,97%,98%,98%
04M171,98%,,97%,100%,12%,0%,2%,2%,98%,4%,3%,7%,3%,100%,97%,5%,,0%,88%,,95%,98%,96%
19K292,90%,,87%,0%,17%,0%,11%,11%,97%,13%,11%,30%,13%,0%,89%,0%,,0%,83%,,0%,93%,86%
02M427,97%,,88%,0%,,0%,3%,3%,94%,9%,6%,19%,12%,100%,94%,0%,,91%,,,0%,94%,94%
20K220,97%,,96%,0%,5%,9%,4%,6%,95%,6%,6%,24%,4%,91%,94%,0%,,0%,95%,,0%,98%,93%
17K091,91%,,90%,,23%,13%,14%,9%,97%,13%,16%,11%,10%,87%,84%,,,0%,77%,,,93%,86%
08X036,100%,,100%,100%,2%,7%,1%,0%,100%,1%,1%,4%,0%,93%,99%,0%,,0%,98%,,100%,100%,99%
15K529,86%,,86%,0%,,,0%,0%,86%,14%,0%,14%,14%,,100%,0%,,100%,,,0%,86%,100%
16K243,98%,,98%,100%,0%,0%,2%,1%,100%,1%,1%,12%,2%,100%,99%,0%,,0%,100%,,100%,99%,98%
17K770,96%,,99%,100%,0%,10%,4%,3%,100%,5%,3%,4%,1%,90%,97%,10%,,0%,100%,,90%,100%,99%
08X107,91%,,94%,97%,13%,12%,9%,7%,96%,13%,10%,12%,6%,88%,90%,3%,,0%,87%,,97%,97%,91%
20K201,97%,,95%,0%,10%,11%,7%,6%,95%,15%,7%,39%,5%,89%,93%,0%,,0%,90%,,0%,96%,88%
02M158,99%,,99%,100%,7%,,3%,5%,98%,10%,8%,2%,1%,,92%,4%,,0%,93%,,96%,99%,92%
15K032,85%,,97%,92%,14%,27%,21%,35%,98%,19%,28%,1%,3%,73%,72%,15%,,0%,86%,,85%,91%,82%
02M290,92%,,96%,100%,13%,,12%,17%,97%,14%,11%,2%,4%,,89%,20%,,0%,87%,,80%,97%,90%
02M489,88%,,82%,0%,,,14%,11%,94%,9%,16%,35%,18%,,84%,0%,,88%,,,0%,97%,94%
03M247,99%,,96%,0%,0%,18%,2%,3%,97%,3%,2%,1%,4%,82%,98%,0%,,0%,100%,,0%,97%,92%
10X280,89%,,89%,0%,,,12%,12%,89%,22%,12%,0%,11%,,88%,0%,,0%,,,0%,100%,67%
19K171,96%,,93%,0%,4%,14%,5%,3%,96%,7%,4%,26%,7%,86%,96%,0%,,0%,96%,,0%,96%,87%
12X314,100%,,100%,100%,0%,0%,1%,0%,99%,2%,1%,50%,0%,100%,99%,0%,,0%,100%,,100%,99%,99%
21K199,99%,,99%,,0%,4%,3%,3%,99%,6%,3%,8%,1%,96%,97%,,,0%,100%,,,100%,95%
17K061,95%,,90%,0%,,,0%,0%,100%,15%,0%,15%,10%,,100%,0%,,0%,,,0%,100%,100%
19K502,89%,,80%,0%,60%,,0%,0%,100%,0%,0%,56%,20%,,100%,0%,,100%,40%,,0%,100%,78%
12X214,96%,,93%,98%,10%,15%,5%,4%,97%,9%,5%,18%,7%,85%,95%,2%,,0%,90%,,98%,98%,93%
04M964,92%,,96%,100%,19%,6%,11%,10%,97%,9%,11%,4%,4%,94%,89%,0%,,0%,81%,,100%,97%,88%
07X296,98%,,97%,0%,6%,3%,3%,2%,98%,4%,1%,31%,3%,97%,99%,0%,,0%,94%,,0%,99%,93%
14K474,90%,,80%,0%,,,0%,11%,100%,0%,12%,50%,20%,,88%,0%,,90%,,,0%,100%,89%
10X085,98%,,96%,100%,4%,14%,3%,3%,96%,8%,4%,10%,4%,86%,96%,0%,,0%,96%,,100%,98%,95%
17K122,91%,,95%,0%,,,14%,17%,100%,29%,13%,26%,5%,,87%,0%,,96%,,,0%,91%,76%
11X529,97%,,97%,0%,14%,8%,6%,4%,97%,6%,3%,17%,3%,92%,97%,0%,,0%,86%,,0%,97%,96%
13K003,95%,,95%,100%,18%,22%,4%,2%,97%,12%,10%,10%,5%,78%,90%,0%,,0%,82%,,100%,97%,88%
09X449,97%,,97%,,16%,38%,4%,3%,97%,5%,3%,6%,3%,62%,97%,,,0%,84%,,,95%,92%
15K051,93%,,90%,0%,19%,32%,8%,12%,96%,32%,18%,24%,10%,68%,82%,0%,,0%,81%,,0%,95%,74%
10X363,98%,,96%,0%,8%,0%,4%,2%,94%,14%,2%,12%,4%,100%,98%,0%,,0%,92%,,0%,98%,90%
11X108,93%,,96%,100%,8%,12%,8%,8%,96%,7%,9%,8%,4%,88%,91%,0%,,0%,92%,,100%,98%,91%
13K412,96%,,96%,0%,14%,,0%,4%,96%,11%,7%,18%,4%,,93%,0%,,92%,86%,,0%,100%,96%
06M311,98%,,98%,0%,12%,11%,3%,3%,98%,9%,3%,10%,2%,89%,97%,0%,,0%,88%,,0%,99%,96%
17K354,100%,,99%,0%,5%,0%,0%,0%,100%,2%,0%,7%,1%,100%,100%,0%,,0%,95%,,0%,99%,98%
08X320,100%,,100%,0%,0%,10%,0%,1%,100%,0%,1%,58%,0%,90%,99%,0%,,100%,100%,,0%,100%,100%
13K527,95%,,90%,0%,9%,12%,12%,4%,97%,10%,11%,11%,10%,88%,89%,0%,,88%,91%,,0%,97%,94%
05M318,99%,,97%,0%,0%,20%,1%,4%,99%,3%,2%,1%,3%,80%,98%,0%,,0%,100%,,0%,97%,99%
08X302,93%,,95%,0%,11%,12%,6%,7%,97%,6%,6%,16%,5%,88%,94%,0%,,0%,89%,,0%,97%,93%
13K265,100%,,100%,0%,,0%,10%,0%,100%,27%,20%,33%,0%,0%,80%,0%,,100%,,,0%,91%,100%
11X194,94%,,95%,0%,11%,8%,7%,5%,99%,12%,7%,8%,5%,92%,93%,0%,,0%,89%,,0%,98%,91%
06M143,100%,,88%,0%,,,17%,0%,100%,12%,14%,25%,12%,,86%,0%,,0%,,,0%,100%,100%
02M001,99%,,96%,82%,5%,5%,3%,4%,98%,5%,5%,12%,4%,95%,95%,18%,,0%,95%,,82%,99%,95%
02M560,100%,,100%,0%,,,0%,0%,100%,0%,0%,17%,0%,,100%,0%,,100%,,,0%,86%,100%
18K673,97%,,97%,0%,11%,10%,3%,6%,94%,3%,3%,19%,3%,90%,97%,0%,,94%,89%,,0%,97%,100%
09X505,94%,,92%,0%,13%,13%,8%,5%,98%,14%,9%,13%,8%,87%,91%,0%,,90%,87%,,0%,98%,89%
18K244,91%,,89%,,8%,29%,14%,13%,97%,13%,16%,9%,11%,71%,84%,,,0%,92%,,,97%,91%
08X561,95%,,96%,0%,11%,4%,8%,8%,97%,5%,7%,38%,4%,96%,93%,0%,,90%,89%,,0%,97%,90%
17K398,98%,,99%,,9%,8%,1%,2%,98%,1%,2%,8%,1%,92%,98%,,,0%,91%,,,96%,93%
07X369,97%,,94%,,0%,,3%,4%,97%,3%,3%,0%,6%,,97%,,,0%,100%,,,97%,94%
10X080,91%,,91%,0%,0%,0%,30%,30%,100%,27%,30%,50%,9%,0%,70%,0%,,0%,0%,,0%,100%,73%
20K247,100%,,99%,0%,0%,3%,1%,1%,98%,5%,1%,6%,1%,97%,99%,0%,,0%,100%,,0%,99%,95%
03M404,86%,,100%,0%,0%,,0%,0%,100%,0%,0%,29%,0%,,100%,0%,,100%,0%,,0%,100%,86%
10X308,100%,,88%,0%,,0%,0%,6%,100%,0%,6%,12%,12%,100%,94%,0%,,0%,,,0%,100%,88%
08X131,93%,,89%,0%,9%,23%,10%,7%,96%,16%,4%,26%,11%,77%,96%,0%,,0%,91%,,0%,96%,96%
02M586,,,,0%,,0%,,,,,,,,0%,,0%,,,,,0%,,
18K576,100%,,100%,0%,0%,,0%,0%,100%,0%,0%,12%,0%,,100%,0%,,88%,0%,,0%,100%,86%
17K375,87%,,93%,,0%,,13%,8%,93%,13%,8%,7%,7%,,92%,,,0%,100%,,,100%,93%
