dbn,_13_expulsions,_11_expulsions,_13_principal,_14_expulsions,_16_superintendent,_19_principal,_8_superintendent,_12_expulsions,_16_removals,_17_principal,_15_removals,_5_removals,administrative_district,_20_superintendent,_14_removals,_18_expulsions,_9_superintendent,_7_principal,sy1718_total_removals,_17_superintendent,_21_removals,_13_superintendent,_12_removals
10X524,R,R,R,R,R,R,R,R,R,6,R,R,10,R,R,R,R,R,12,R,R,R,R
15K321,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R
01M450,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,29,R,R,R,R
15K516,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R
11X290,R,R,R,R,R,R,R,R,8,R,13,R,11,R,14,R,R,R,68,R,R,R,R
14K561,R,R,R,R,R,R,R,R,R,10,R,R,14,R,R,R,R,R,46,R,R,R,R
14K147,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R
17K353,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,18,R,R,R,R
03M087,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R
15K124,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R
14K558,R,R,R,R,8,R,R,R,R,13,R,R,14,R,R,R,R,R,63,R,R,R,R
02M531,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,31,R,R,R,R
06M278,R,R,6,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,14,R,R,R,R
02M294,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,15,R,R,R,R
18K637,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,22,R,R,R,R
04M206,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,37,R,R,R,R
01M019,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R
10X015,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,8,R,R,R,R
09X543,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R
12X384,R,R,11,R,R,R,R,R,R,R,R,R,12,R,12,R,R,R,120,R,R,6,21
03M009,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,10,R,R,R,R
17K246,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,7,R,R,R,R
19K510,R,R,R,R,R,R,R,R,R,7,R,R,19,R,R,R,R,R,38,R,R,R,R
07X533,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,0,R,R,R,R
03M054,R,R,6,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,17,R,R,R,R
06M314,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
11X089,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,18,R,R,R,R
15K667,R,R,R,R,10,R,R,R,R,9,R,R,15,R,R,R,R,R,79,R,R,R,R
09X114,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,6,R,R,R,R
02M260,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,8,R,R,R,R
14K071,R,R,7,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,56,R,R,R,R
17K543,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,21,R,R,R,R
09X236,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,0,R,R,R,R
11X357,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,0,R,R,R,R
15K767,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
08X348,R,R,R,R,R,R,R,R,R,10,R,R,8,R,R,R,R,R,68,R,R,R,R
02M933,R,R,9,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,45,R,R,10,R
09X449,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,9,R,R,R,R
04M038,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,63,R,R,R,R
10X308,R,R,7,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,70,R,R,6,9
08X507,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,0,R,R,R,R
10X340,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,35,R,R,R,R
03M334,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R
12X550,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,19,R,R,R,R
02M316,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,40,R,R,R,R
06M187,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
03M479,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,0,R,R,R,R
15K038,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,9,R,R,R,R
14K610,R,R,R,R,R,R,R,R,16,12,R,R,14,R,R,R,R,R,73,R,R,R,R
14K685,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,30,R,R,R,R
02M135,R,R,R,R,9,R,R,R,R,6,R,R,2,R,R,R,R,R,62,R,R,R,R
16K959,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R
06M152,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,9,R,R,R,R
08X130,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,6,R,R,R,R
02M500,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,14,R,R,R,R
13K657,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,0,R,R,R,R
02M399,R,R,R,R,6,R,R,R,R,R,R,R,2,R,R,R,R,R,29,R,R,R,R
09X199,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,6,R,R,R,R
14K380,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,22,R,R,R,R
15K863,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
02M400,R,R,R,R,R,R,R,R,R,7,R,R,2,R,R,R,R,R,109,R,R,R,R
08X392,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
20K062,R,R,25,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,82,R,R,21,R
05M129,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,22,R,R,10,R
18K276,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,24,R,R,R,R
08X152,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
10X696,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R
11X481,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,0,R,R,R,R
16K669,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,10,R,R,R,R
07X334,R,R,R,R,R,R,R,R,R,15,R,R,7,R,R,R,R,R,54,R,R,R,R
02M343,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R
18K219,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,6,R,R,R,R
19K639,R,R,R,R,6,R,R,R,R,16,R,R,19,R,R,R,R,R,87,6,R,R,R
19K158,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,7,R,R,R,R
17K002,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,79,R,R,R,15
17K122,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,32,R,R,R,R
12X092,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,0,R,R,R,R
13K483,R,R,R,R,R,R,R,R,6,8,R,R,13,R,R,R,R,R,79,R,R,R,R
01M292,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,9,R,R,R,R
08X140,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,0,R,R,R,R
18K068,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,11,R,R,R,R
18K268,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R
12X251,R,R,R,R,R,R,R,R,R,12,R,R,12,R,R,R,R,R,76,R,R,R,R
07X025,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,0,R,R,R,R
06M324,R,R,11,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,64,R,R,R,8
02M420,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,37,R,R,R,R
19K108,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R
16K308,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,19,R,R,6,R
20K112,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R
07X005,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,28,R,R,R,R
10X118,R,R,40,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,329,R,R,24,40
10X023,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R
09X413,R,R,R,R,R,R,R,R,R,9,R,R,9,R,R,R,R,R,53,R,R,R,R
01M448,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,16,R,R,R,R
10X206,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,19,R,R,7,R
03M165,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,48,R,R,R,R
01M458,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R
12X536,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,0,R,R,R,R
16K026,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R
10X445,R,R,R,R,8,R,R,R,R,R,R,R,10,R,R,R,R,R,29,R,R,R,R
09X457,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,7,R,R,R,R
10X008,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,35,R,R,R,R
02M411,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,40,R,R,R,R
14K477,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,21,R,R,R,R
02M296,R,R,R,R,R,R,R,R,R,38,7,R,2,R,R,R,R,R,136,R,R,R,R
06M457,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,0,R,R,R,R
10X382,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,0,R,R,R,R
13K011,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,30,R,R,R,R
02M586,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,12,R,R,R,R
18K633,R,R,R,R,R,R,R,R,R,8,R,R,18,R,R,R,R,R,70,R,R,R,R
20K176,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R
10X353,R,R,R,R,R,R,R,R,R,15,R,R,10,R,R,R,R,R,52,R,R,R,R
11X083,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,79,R,R,R,12
15K529,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
09X250,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,22,R,R,R,R
12X428,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,0,R,R,R,R
18K635,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,19,6,R,R,R
19K760,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,9,R,R,R,R
08X558,R,R,R,R,6,R,R,R,R,24,17,R,8,R,R,R,R,R,184,R,R,R,R
13K674,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,19,R,R,R,R
01M301,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,9,R,R,R,R
19K431,R,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,0,R,R,R,R
17K092,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,0,R,R,R,R
15K131,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,0,R,R,R,R
12X300,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R
07X379,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,11,R,R,R,R
12X211,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,92,R,R,R,24
06M210,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R
17K705,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,84,R,R,R,R
20K170,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,6,R,R,R,R
15K088,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,26,R,R,R,R
10X437,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,7,R,R,R,R
18K566,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,19,R,R,R,R
10X207,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,0,R,R,R,R
15K839,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,23,R,R,7,R
02M413,R,R,9,R,R,R,R,R,R,R,6,R,2,R,R,R,R,R,67,R,R,R,R
08X138,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,37,R,R,R,R
02M437,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,65,R,R,R,R
01M332,R,R,9,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,33,R,R,R,R
03M199,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,0,R,R,R,R
01M015,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R
14K297,R,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R
16K498,R,R,R,R,10,R,R,R,R,15,R,R,16,R,R,R,R,R,69,6,R,R,R
02M534,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,38,R,R,R,R
10X668,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R
18K588,R,R,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,26,R,R,R,7
08X282,R,R,R,R,6,R,R,R,R,R,R,R,8,R,R,R,R,R,43,R,R,R,R
03M862,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,30,R,R,R,13
13K133,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R
03M185,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,0,R,R,R,R
02M473,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,0,R,R,R,R
07X473,R,R,R,R,R,R,R,R,R,18,R,R,7,R,R,R,R,R,104,R,R,R,R
07X259,R,R,R,R,7,R,R,R,R,16,R,R,7,R,R,R,R,R,103,R,R,R,R
02M655,R,R,9,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,56,R,R,R,R
10X433,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,48,R,R,R,R
05M369,R,R,R,R,R,R,R,R,R,8,R,R,5,R,R,R,R,R,50,7,R,R,R
09X517,R,R,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,28,R,R,R,R
13K054,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,0,R,R,R,R
19K661,R,R,7,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,46,R,R,R,6
17K399,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R
18K563,R,R,R,R,R,R,R,R,R,10,R,R,18,R,R,R,R,R,100,R,R,R,R
01M539,R,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,32,R,R,R,R
03M084,R,R,R,R,R,R,R,R,R,R,R,R,3,R,R,R,R,R,42,R,R,R,R
04M057,R,R,R,R,R,R,R,R,R,R,R,R,4,R,R,R,R,R,9,R,R,R,R
02M124,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,11,R,R,R,R
08X405,R,R,R,R,R,R,R,R,R,8,R,R,8,R,R,R,R,R,39,R,R,R,R
13K439,R,R,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,16,R,R,R,R
05M175,R,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,27,R,R,R,R
12X067,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,31,R,R,R,R
02M972,R,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,0,R,R,R,R
