code,program,end13,audgrp13,_10seats,ela,end04,date08,date04,_10ap,audgrp11,end11,start12,start09,cte_program_detail,end10,audgrp07,req4,date14,audgrp14,math,audgrp12,start08
Q12A,Digital Art & Design,,,,4-Feb,6:00 PM,"Saturday, 1/4/2014","Saturday, 11/16/2013",,,,,,,,Last name M-Z for single audition & Last name A-Z for multiple auditions,Review of Attendance & Punctuality,,,80-100,,11:30 AM
R10R,Collegiate Academy Honors Program,,,New Program,4-Mar,,,,New Program,,,,,,,,,,,85-100,,
L36A,It Takes a Village Academy,,,10,,,,,12,,,,,,,,,,,,,
Q24A,Health Sciences Institute,,,24,,12:00 PM,,"Thursday, 1/30/2014",41,,,,,,,,Review of Attendance & Punctuality,,,,,
M23A,Teaching Academy,,,10,,,,,26,,,,,,,,,,,,,
K17H,Honors Academy,,,10,4-Mar,,"Sunday, 11/17/2013","Sunday, 11/10/2013",105,,,,,,,Dance,,,,90-100,,10:00 AM
X91A,Fannie Lou Hamer Freedom High School,,,5,,,,,50,,,,,,,,,,,,,
M28A,The Urban Assembly School for Emergency Management,,,,,,,,,,,,,,,,,,,,,
X57A,Schuylerville Preparatory High School,,,,,,,,,,,,,,,,,,,,,
K25Z,Zoned,,,,,,,,,,,,,,,,,,,,,
Q71A,Academy of American Studies,,,10,,,,,125,,,,,,,,,,,,,
Q14A,Center for Writing,,,50,,,,,35,,,,,Students may receive CTE endorsement in the following areas: Plant and Animal Science,,,,,,,,
K48A,Performing and Visual Arts,,,10,,,,,29,,,,,,,,,,,,,
K50B,Bilingual Haitian Creole Program,,,5,,,,,3,,,,,,,,,,,,,
R17H,Visual Arts,,,,,,,,,,,,,,,,,,,,,
K78C,Project Lead the Way,,,5,4-Mar,,,,5,,,,,,,,,,,80-100,,
M35B,Bilingual Mandarin,,,20,,,,,0,,,,,,,,,,,,,
,Stuyvesant,,,10,,,,,1248,,,,,,,,,,,,,
X77R,The Metropolitan High School,,,,,,,,,,,,,,,,,,,,,
L65A,Eagle Academy for Young Men II,,,,,,,,,,,,,,,,,,,,,
Q50B,Communication Arts Academy,,,10,,,,,2,,,,,,,,,,,,,
K78D,Humanities and the Arts,,,5,4-Mar,,,,4,,,,,,,,,,,80-100,,
Q23A,Academy of Information Technology (AoIT),,,25,,,,,14,,,,,,,,,,,,,
Q01A,Academy for Careers in Television and Film,,,,,,,,,,,,,,,,,,,,,
Q36G,The Green Carpentry Program,,,10,,,,,4,,,,,,,,,,,,,
L44A,Academy for Conservation and the Environment,,,,,,,,,,,,,,,,,,,,,
K71K,Pre-Medicine,,,5,4-Mar,,,,53,,,,,,,,,,,80-100,,
K39X,Williamsburg Preparatory School,,,5,,,,,62,,,,,,,,,,,,,
Y32A,Knowledge and Power Preparatory Academy International High School,,,15,,,,,59,,,,,,,,,,,,,
Y55A,The Metropolitan Soundview High School,,,,,,,,,,,,,,,,,,,,,
K71B,Humanities,,,5,4-Mar,,,,60,,,,,,,,Review of Attendance & Punctuality,,,,,
M42P,Instrumental Music,,,5,,,,"Sunday, 11/17/2013",17,,,,,Students may receive CTE endorsement in the following areas: Drama,,,,,,,,
R17J,Theater,,,,,,,,,,,,,,,,,,,,,
Q24T,Biz/Tech,,,10,,12:00 PM,,"Thursday, 1/30/2014",25,,,,,,,,,,,,,
R01R,CSI High School for International Studies,,,5,,,,,33,,,,,,,,,,,,,
Q24B,Teachers of Tomorrow,,,10,,12:00 PM,,"Thursday, 1/30/2014",9,,,,,,,,,,,,,
Q29Z,Zoned,,,,,,,,,,,,,Students may receive CTE endorsement in the following areas: Culinary Arts,,,,,,,,
Q47A,Maspeth High School,,,,,,,,,,,,,,,,,,,,,
Q92A,Eagle Academy for Young Men III,,,,,,,,,,,,,,,,,,,,,
M48A,The Urban Assembly School for Global Commerce,,,,,,,,,,,,,,,,,,,,,
X26A,Pelham Lab High School,,,New Program,,,,,New Program,,,,,,,,,,,,,
Q19P,Academy of Instrumental Music/Performing Arts,,,,,,,,,,,,,,,,,,,,,
Q83B,Architectural Design,,,5,4-Feb,,,,96,,,,,,,,,,,75-100,,
Q16B,School of Journalism and Media Studies,,,,,7:00 PM,,"Friday, 11/15/2013",,,,,,,,,,,,,,
K32A,High School for Global Citizenship,,,10,,,,,5,,,,,,,,,,,,,
M38X,PACE High School,,,,,,,,,,,,,,,,,,,,,
M05R,Lower Manhattan Arts Academy,,,5,,,,,91,,,,,,,,,,,,,
L67A,Pathways in Technology Early College High School,,,,,,,,,,,,,,,,,,,,,
K64B,Medical Academy â HSPS,,,10,4-Feb,,,,28,,,,,,,,,,,75-100,,
M90A,Coalition School for Social Change,,,5,,,,,26,,,,,,,,,,,,,
R19J,Visual Arts,,,,,,,,,,,,,"Students may receive CTE endorsement in the following areas: New Media , Nursing Assistant, Practical Nursing",,,,,,,,
M58A,East Side Community,,,10,4-Mar,,,,52,,,,,,,,,,,80-100,,
M18A,Building Arts & Historic Preservation,,,,,,,,,,,,,,,,,,,,,
K57A,Communication Arts,,,34,,,"Sunday, 11/17/2013","Sunday, 11/17/2013",348,Fine and Visual Arts; Last Name T-Z,,,1:00 PM,,,Instrumental & Vocal Music and Studio Theatre; Last Name V - Z,,,,,,9:00 AM
K28N,New Utrecht Dual Language and Asian Studies Chinese (Mandarin),,,,,,,,,,,,,,,,,,,,,
X33A,Concert Band/Piano,,,5,,,,,18,,,,,,,,,,,,,
L63A,Millennium Brooklyn,,,5,4-Mar,,,,40,,,,,,,,,,,85-100,,
M12A,Arts & Technology,,,5,,,,,81,,,,,,,,,,,,,
Q40L,Vocal Music,,,,,,,"Sunday, 11/24/2013",,,,,,,,,,,,,,
K26H,Liberal Arts and Science Institute,,,,,,,,,,,,,Students may receive CTE endorsement in the following areas: Engineering,,,Review of Attendance & Punctuality,,,,,
M26A,Drama,,,5,,7:00 PM,"Thursday, 11/21/2013","Friday, 11/8/2013",3,,,,4:00 PM,,2:30 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,,,,,4:00 PM
K67R,Construction Technology Academy,,,New Program,,,,,New Program,,,,,,,,,,,,,
K84X,Brooklyn College Academy,,,10,4-Mar,,,,79,,,,,,,,,,,80-100,,
Y53A,Bronxdale High School,,,,,,,,,,,,,,,,,,,,,
K30X,High School for Service & Learning,,,10,,,,,16,,,,,,,,,,,,,
M60P,Commercial Art and Design,,,30,,,,"Saturday, 12/7/2013",92,,,,,,,,,,,,,
X58X,Bronx Collegiate Academy,,,10,,,,,33,,,,,,,,,,,,,
Y36A,Bronx Early College Academy,,,10,4-Feb,,,,23,,,,,,,,,,,70-100,,
R17D,Law & Politics Institute,,,,4-Mar,,,,,,,,,,,,,,,80-100,,
X96B,"STEM (Science, Technology, Engineering and Mathematics)",,,New Program,4-Feb,,,,New Program,,,,,,,,,,,75-100,,
M35C,University Neighborhood Early College,,,New Program,4-Feb,,,,New Program,,,,,,,,,,,80-100,,
Y26A,Pan American International High School at Monroe,,,,,,,,,,,,,,,,,,,,,
Q29K,Opera Institute,,,10,4-Mar,,,,3,,,,,Students may receive CTE endorsement in the following areas: Culinary Arts,,,,,,75-100,,
Y46A,International High School at Union Square,,,,,,,,,,,,,,,,,,,,,
M97A,The Heritage School,,,10,,,,,33,,,,,,,,,,,,,
M46X,International Studies,,,,,,,,,,,,,,,,,,,,,
K18R,Foundations Academy,,,10,,,,,12,,,,,,,,,,,,,
X84X,Peace and Diversity Academy,,,,,,,,,,,,,,,,,,,,,
L17A,Brooklyn Institute for Liberal Arts,,,,,,,,,,,,,,,,,,,,,
K57J,Vocal Music,,,5,,,"Sunday, 11/17/2013","Sunday, 11/17/2013",37,Fine and Visual Arts; Last Name T-Z,,,1:00 PM,,,Instrumental & Vocal Music and Studio Theatre; Last Name V - Z,,,,,,9:00 AM
Q67S,Robotics/STEM,,,,4-Mar,,,,,,,,,,,,,,,80-100,,
Q40F,Film and Media Arts,,,5,,,,"Sunday, 11/24/2013",27,,,,,,,,,,,,,
K88A,Computer Science/Networking,,,10,,,,,37,,,,,"Students may receive CTE endorsement in the following areas: Academy of Hospitality and Tourism, Cisco",,,,,,,,
X97A,Pablo Neruda Academy for Architecture and World Studies,,,10,,,,,34,,,,,,,,,,,,,
Q05A,Queens Collegiate: A College Board School,,,,,,,,,,,,,,,,,,,,,
L56A,Cypress Hills Collegiate Preparatory School,,,,,,,,,,,,,,,,,,,,,
R19B,Legal Studies & Law Enforcement,,,,,,,,,,,,,"Students may receive CTE endorsement in the following areas: New Media , Nursing Assistant, Practical Nursing",,,,,,,,
K17J,Joffrey Ballet Dance Academy,,,,,,"Sunday, 11/17/2013","Sunday, 11/10/2013",,,,,,,,Dance,,,,,,10:00 AM
K98X,International High School at Prospect Heights,,,5,,,,,7,,,,,,,,,,,,,
K33R,Frederick Douglass Academy IV Secondary School,,,,,,,,,,,,,,,,,,,,,
K80X,Frederick Douglass Academy VII High School,,,10,,,,,8,,,,,,,,,,,,,
K47M,Vocal Music,,,10,,3:00 PM,,"Saturday, 12/14/2013",25,,,,,,,,,,,,,
M44X,Urban Assembly School of Design and Construction,,,,,,,,,,,,,,,,,,,,,
K97R,High School of Sports Management,,,10,,,,,13,,,,,,,,,,,,,
Y31D,National Academy Foundation Computer Networking,,,,,,,,,,,,,Students may receive CTE endorsement in the following areas: Media Communication,,,,,,,,
Q31J,Arts and Technology for New Students,,,5,,,,,57,,,,,,,,,,,,,
X04R,Mott Hall Bronx High School,,,,,,,,,,,,,,,,,,,,,
M57D,Dual Language Spanish Pre-Engineering,,,,4-Feb,,,,,,,,,,,,,,,80-100,,
K47L,Dance,,,16,,3:00 PM,,"Saturday, 12/14/2013",11,,,,,,,,,,,,,
K69N,Computer Networking,,,5,4-Feb,,,,4,,,,,,,,,,,70-100,,
Q10D,Media & Communication Arts Institute,,,10,,,,,11,,,,,,,,,,,,,
M50B,The Ninth Grade Academy,,,,,,,,,,,,,,,,,,,,,
M54A,English/American Sign Language Dual Language Environment,,,10,4-Feb,,,,17,,,,,,,,,,,75-100,,
,Instrumental Music,,"Queens/Staten Island M - Z Students auditioning for a single studio in the following studios: Instrumental Music, Vocal Music, Fine Art. No auditions for Dance, Drama or Technical Theatre on this day",9,4-Feb,,"Sunday, 11/24/2013","Saturday, 11/2/2013",80,Queens/Staten Island M - Z Students auditioning for a single studio in Dance or Drama only,,8:00 AM,8:00 AM,,,Manhattan M - R Students auditioning for a single studio except Technical Theatre,,"Saturday, 12/7/2013",Queens/Staten Island A - Z Students auditioning for two or more* studios or Technical Theatre,80-100,"Queens/Staten Island A - L Students auditioning for a single studio in the following studios: Instrumental Music, Vocal Music, Fine Art. No auditions for Dance, Drama or Technical Theatre on this day",12:00 PM
Q50H,Culinary Arts Academy,,,6,,,,,1,,,,,,,,,,,,,
Q68C,School of Skilled Building Trades,,,32,4-Feb,,,,54,,,,,,,,,,,75-100,,
M52A,NYC iSchool,,,5,4-Mar,,,,66,,,,,,,,,,,85-100,,
Y51A,Building Construction and Technology,,,,,,,,,,,,,,,,,,,,,
X45A,Pelham Preparatory Academy,,,10,,,,,135,,,,,,,,,,,,,
Q24P,Academy of Public Service and Law,,,10,,12:00 PM,,"Thursday, 1/30/2014",23,,,,,,,,,,,,,
M85A,NYC Museum School,,,5,4-Mar,,,,167,,,,,,,,,,,80-100,,
A33A,Pharmacy Technician,,,,,,,,,,,,,,,,,,,,,
X28A,Bronx School of Law and Finance,,,10,,,,,39,,,,,,,,,,,,,
K79A,Brooklyn School for Global Studies,,,10,4-Feb,,,,17,,,,,,,,,,,75-100,,
K65X,Medical Science,,,10,,,,,14,,,,,,,,,,,,,
Q71B,Intensive Academic Humanities,,,10,4-Mar,,,,67,,,,,,,,,,,85-100,,
M14A,"Law, Advocacy and Community Justice High School",,,10,,,,,76,,,,,,,,,,,,,
Q20A,Jacob K. Javits Law Institute,,,20,,,,,331,,,,,,,,,,,,,
L23A,Academy for Environmental Leadership,,,,,,,,,,,,,,,,,,,,,
X25Z,Zoned,,,,,,,,,,,,,,,,,,,,,
K53A,Brooklyn International High School,,,,,,,,,,,,,,,,,,,,,
K73A,Public Service,,,5,,,,,25,,,,,,,,,,,,,
X48A,Arts Lab Studio Creative Writing & Performing Arts,,,10,,,,,31,,,,,,,,,,,,,
Q37J,Intensive Academic Humanities,,,30,4-Mar,,,,317,,,,,,,,,,,90-100,,
A11A,High School for Language and Diplomacy,,,,,,,,,,,,,,,,,,,,,
M42N,Drama,,,5,,,,"Sunday, 11/17/2013",58,,,,,Students may receive CTE endorsement in the following areas: Drama,,,,,,,,
M81J,Drama,,,5,,,"Sunday, 12/8/2013","Sunday, 11/3/2013",70,,,,,,,"Dance, Musical Theatre; Brooklyn & Queens; Last Name A-L",,,,,,12:00 PM
L25A,"Brooklyn Community High School of Communications, Arts and Media",,,10,,,,,37,,,,,,,,,,,,,
Q08R,Academy of Finance and Enterprise,,,,,,,,,,,,,"Students may receive CTE endorsement in the following areas: Academy of Finance, Entrepreneurship/Virtual Enterprise",,,,,,,,
K28M,Academy of Business and Technology,,,,,,,,,,,,,,,,,,,,,
K52A,Urban Planning and Design,,,10,,,,,15,,,,,,,,,,,,,
X05R,Bronx Center for Science and Mathematics,,,,,,,,,,,,,,,,,,,,,
K21A,Honors Institute,,,,4-Mar,,,,,,,,,,,,,,,70-100,,
M31A,Law and Public Service,,,,,,,,,,,,,,,,,,,,,
K86B,Computer Forensics Program,,,10,,,,,12,,,,,,,,,,,,,
L49A,High School for Medical Professions,,,5,,,,,32,,,,,,,,,,,,,
L02R,The Urban Assembly School of Music and Art,,,10,,,,,43,,,,,,,,,,,,,
Q40K,Instrumental Music,,,5,,,,"Sunday, 11/24/2013",38,,,,,,,,,,,,,
M41D,Honors Academy,,,10,4-Mar,,,,76,,,,,,,,,,,85-100,,
K69K,Transit Electronics Technology and Networking,,,5,4-Feb,,,,8,,,,,,,,Review of Attendance & Punctuality,,,70-100,,
Q07R,High School of Applied Communication,,,,,,,,,,,,,,,,,,,,,
K24A,Veterinary Sciences And Animal Care,,,15,,,,,46,,,,,,,,,,,,,
M53A,New Design High School,,,,,,,,,,,,,,,,,,,,,
R10L,"The Academy of Television, Visual and Performing Arts",,,10,,,,,7,,,,,,,,,,,,,
K87I,Fine Art,,,10,,,,,New Program,,,,,,,,,,,,,
K24B,Virtual Enterprise,,,,,,,,,,,,,,,,,,,,,
K76A,Leon M. Goldstein High School for the Sciences,,,10,4-Feb,,,,256,,,,,,,,,,,85-100,,
M81N,Dance,,,5,,,"Sunday, 12/8/2013","Sunday, 11/3/2013",54,,,,,,,"Dance, Musical Theatre; Brooklyn & Queens; Last Name A-L",,,,,,12:00 PM
R20P,Academy of Fine and Dramatic Arts,,,,,,,,,,,,,Students may receive CTE endorsement in the following areas: Entrepreneurship/Virtual Enterprise,,,,,,,,
Q36A,Rockaway Park High School for Environmental Sustainability,,,,,,,,,,,,,,,,,,,,,
Q34J,Pre-Engineering & Computer Technology,,,24,4-Feb,,,,11,,,,,,,,,,,80-100,,
K05A,Origins High School,,,New Program,,,,,New Program,,,,,,,,,,,,,
M06A,City College Academy of the Arts,,,5,4-Feb,,,,42,,,,,,,,,,,70-100,,
K77B,Science and Research,,,5,4-Mar,,,,53,,,,,,,,,,,80-100,,
K17Z,Zoned,,,,,,"Sunday, 11/17/2013","Sunday, 11/10/2013",,,,,,,,Dance,,,,,,10:00 AM
K07X,Brooklyn Preparatory High School,,,10,,,,,52,,,,,,,,,,,,,
K28D,Academy of Art & Design,,,,,,,,,,,,,,,,,,,,,
R17Z,Zoned,,,,,,,,,,,,,,,,,,,,,
X18A,Bronx Academy for Software Engineering (BASE),,,,,,,,,,,,,,,,,,,,,
X87R,New World High School,,,,,,,,,,,,,,,,,,,,,
K56D,Health Careers Exploration Program,,,,,,,,,,,,,,,,,,,,,
R55A,Gaynor McCown Expeditionary Learning School,,,5,,,,,15,,,,,,,,,,,,,
K70D,Culinary Arts,,,,,,,,,,,,,,,,,,,,,
Q42X,Excelsior Preparatory High School,,,,,,,,,,,,,,,,,,,,,
Q23B,"Academy of Business, Hospitality & Tourism",,,50,,,,,7,,,,,,,,,,,,,
Q48A,Rockaway Collegiate High School,,,,,,,,,,,,,,,,,,,,,
X65R,The Felisa RincÃ³n de Gautier Institute for Law and Public Policy,,,10,,,,,13,,,,,,,,,,,,,
K62X,FDNY High School for Fire and Life Safety,,,,,,,,,,,,,,,,,,,,,
X98A,Renaissance High School of Musical Theater & Technology,,,10,,,,,51,,,,,,,,,,,,,
X51A,Fordham High School for the Arts,,,10,,,,,54,,,,,,,,,,,,,
M84A,Unity Center for Urban Technologies,,,10,,,,,20,,,,,,,,,,,,,
K95A,Technology,,,,4-Feb,,,,,,,,,,,,,,,75-100,,
M59A,High School for Dual Language and Asian Studies,,,,4-Feb,,,,,,,,,,,,,,,80-100,,
,Technical Theatre,,"Queens/Staten Island M - Z Students auditioning for a single studio in the following studios: Instrumental Music, Vocal Music, Fine Art. No auditions for Dance, Drama or Technical Theatre on this day",1,4-Feb,,"Sunday, 11/24/2013","Saturday, 11/2/2013",33,Queens/Staten Island M - Z Students auditioning for a single studio in Dance or Drama only,,8:00 AM,8:00 AM,,,Manhattan M - R Students auditioning for a single studio except Technical Theatre,,"Saturday, 12/7/2013",Queens/Staten Island A - Z Students auditioning for two or more* studios or Technical Theatre,80-100,"Queens/Staten Island A - L Students auditioning for a single studio in the following studios: Instrumental Music, Vocal Music, Fine Art. No auditions for Dance, Drama or Technical Theatre on this day",12:00 PM
Q38K,Pre-Med Program,,,New Program,,,,,New Program,,,,,,,,Review of Attendance & Punctuality,,,80-100,,
M71A,The Beacon School,,,5,4-Mar,2:30 PM,,"Sunday, 11/24/2013",290,,,,,,,,,,,85-100,,
Q23J,Math/Science Institute,,,10,,,,,11,,,,,,,,,,,,,
L55A,Kingsborough Early College,,,,4-Feb,,,,,,,,,,,,,,,70-100,,
M19K,The Academy of Medicine,,,,4-Mar,,,,,,,,,,,,,,,80-100,,
Q06A,"Queens High School for Information, Research and Technology",,,10,,,,,5,,,,,,,,,,,,,
K60S,Mechanical Engineering,,,,4-Feb,,,,,,,,,,,,,,,75-100,,
X41A,Violin and Dance,,,,,,,,,,,,,,,,,,,,,
K69R,Information Technology,,,New Program,,,,,New Program,,,,,,,,,,,,,
Q10F,STEM Engineering Academy,,,,4-Feb,,,,,,,,,,,,,,,75-100,,
Q68B,Graphic Arts,,,,,,,,,,,,,,,,,,,,,
R60P,Automotive Service Center Specialist,,,,,,,,,,,,,,,,,,,,,
Q09R,"Pathways College Preparatory School, A College Board School",,,,,,,,,,,,,,,,,,,,,
M96A,Young Womenâs Leadership School,,,8,4-Feb,,,,63,,,,,,,,,,,80-100,,
L27A,Green School: An Academy for Environmental Careers,,,10,,,,,13,,,,,,,,,,,,,
Q68O,Cosmetology Careers/Salon Management,,,10,4-Feb,,,,71,,,,,,,,,,,75-100,,
K50C,Dual Language Russian Program,,,New Program,,,,,New Program,,,,,,,,,,,,,
X93A,Academy For Excellence,,,,,,,,,,,,,,,,,,,,,
X25F,Air Force Junior ROTC,,,10,4-Feb,,,,8,,,,,,,,,,,70-100,,
,Queens High School for the Sciences at York College,,,10,,,,,908,,,,,,,,,,,,,
M81H,Musical Theatre,,,5,,,"Sunday, 12/8/2013","Sunday, 11/3/2013",37,,,,,,,"Dance, Musical Theatre; Brooklyn & Queens; Last Name A-L",,,,,,12:00 PM
