female,economic_need_index,grade_11,students_with_disabilities_1,hispanic_1,students_with_disabilities,grade_12
79,75.6%,0,0.331,0.571,58,0
229,18.6%,0,0.172,0.146,73,0
324,24.6%,115,0.204,0.217,123,0
335,60.8%,0,0.161,0.015,109,0
144,52.1%,0,0.201,0.346,57,0
364,76.3%,95,0.169,0.485,83,106
585,78.7%,298,0.179,0.639,203,251
204,61.9%,0,0.263,0.5,115,0
316,33.6%,0,0.175,0.293,100,0
142,90.4%,0,0.249,0.359,68,0
191,30.5%,0,0.223,0.302,81,0
346,37.7%,0,0.13,0.245,95,0
134,Above 95%,87,0.017,0.534,6,75
436,60.5%,0,0.143,0.048,131,0
236,35.5%,0,0.226,0.243,104,0
60,81.9%,0,0.333,0.333,46,0
833,26.9%,158,0.086,0.113,150,141
275,83.3%,85,0.171,0.58,68,78
93,89.5%,0,0.287,0.713,64,0
141,Above 95%,0,0.395,0.581,117,0
422,47.8%,164,0.125,0.11,85,140
84,84.5%,0,0.384,0.454,71,0
1412,41.5%,810,0.006,0.038,21,816
179,72.4%,0,0.235,0.479,89,0
150,35.9%,0,0.135,0.294,39,0
402,17.3%,0,0.2,0.137,170,0
146,13.8%,0,0.173,0.13,48,0
176,84.3%,1,0.215,0.577,64,1
74,90.0%,57,0.345,0.53,58,31
117,85.0%,79,0.281,0.596,57,43
255,86.5%,81,0.269,0.529,115,86
130,Above 95%,69,0.019,0.471,6,68
127,90.5%,17,0.225,0.621,51,12
196,48.6%,0,0.267,0.146,101,0
90,87.3%,66,0.289,0.692,76,63
271,34.0%,0,0.058,0.128,31,0
200,55.4%,0,0.194,0.51,80,0
170,81.4%,56,0.155,0.633,44,56
224,49.2%,102,0.202,0.448,83,92
307,82.4%,0,0.172,0.067,112,0
75,71.4%,106,0.256,0.532,116,108
152,37.0%,0,0.217,0.295,72,0
364,55.5%,0,0.163,0.053,122,0
159,84.4%,0,0.257,0.112,103,0
117,93.0%,0,0.333,0.615,71,0
104,78.4%,0,0.31,0.686,71,0
131,24.3%,0,0.227,0.179,57,0
185,54.4%,135,0.229,0.402,122,97
224,39.3%,0,0.207,0.277,86,0
237,Above 95%,200,0.056,0.296,31,145
308,14.1%,0,0.145,0.155,92,0
78,11.0%,0,0.096,0.128,15,0
120,94.7%,0,0.315,0.577,76,0
229,10.7%,0,0.193,0.118,85,0
141,81.3%,56,0.223,0.6,59,56
209,72.9%,0,0.221,0.338,96,0
179,83.8%,49,0.168,0.369,30,39
129,77.1%,58,0.187,0.613,44,60
423,21.9%,0,0.117,0.147,100,0
370,40.3%,106,0.238,0.203,175,104
133,81.1%,53,0.219,0.617,56,55
158,84.3%,0,0.283,0.258,90,0
171,83.3%,99,0.294,0.641,118,93
198,82.9%,94,0.172,0.443,80,81
216,78.3%,81,0.197,0.531,74,73
85,55.9%,93,0.156,0.32,23,16
197,74.3%,0,0.219,0.312,87,0
90,69.4%,0,0.525,0.448,95,0
157,57.9%,0,0.291,0.403,102,0
211,11.6%,0,0.164,0.104,68,0
868,29.7%,312,0.091,0.19,125,319
137,49.1%,0,0.244,0.348,66,0
246,29.8%,130,0.206,0.123,97,113
113,68.9%,71,0.171,0.466,66,79
421,9.5%,0,0.185,0.099,157,0
159,34.4%,0,0.231,0.322,74,0
382,29.5%,0,0.199,0.179,150,0
186,53.4%,87,0.217,0.397,116,100
77,91.5%,0,0.361,0.511,65,0
154,84.2%,102,0.293,0.623,119,99
920,33.0%,389,0.13,0.204,191,345
326,64.7%,93,0.275,0.549,187,79
174,94.2%,0,0.266,0.655,95,0
147,57.2%,0,0.297,0.395,102,0
163,Above 95%,0,0.341,0.597,126,0
118,86.2%,125,0.243,0.627,89,108
91,67.5%,112,0.222,0.528,99,103
83,67.8%,0,0.409,0.574,72,0
74,46.6%,0,0.049,0.246,7,0
118,93.4%,0,0.247,0.285,58,0
191,73.2%,0,0.282,0.471,111,0
200,80.4%,0,0.278,0.572,111,0
254,83.4%,112,0.201,0.59,95,124
94,85.4%,65,0.138,0.601,26,78
111,83.7%,0,0.302,0.491,80,0
202,86.6%,123,0.202,0.67,88,104
76,80.6%,18,0.14,0.326,18,9
235,80.5%,118,0.17,0.509,79,130
106,78.1%,0,0.293,0.546,67,0
111,81.7%,0,0.304,0.259,75,0
1458,41.3%,811,0.004,0.034,15,841
386,55.3%,145,0.14,0.474,73,109
107,89.6%,74,0.441,0.582,94,43
180,51.7%,59,0.235,0.402,55,56
116,80.1%,47,0.24,0.643,47,43
284,42.0%,0,0.046,0.17,27,0
