location_1,class_classroom_organization_score,ecers_program_structure_rating,program_type,ecers_personal_care_routines_rating,quality_review_date_of_review,playspace,ecers_interaction_score
668 Logan Street,5.4,2.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,5.2
265 Marcus Garvey Boulevard,5.9,1.0,NYCEEC,3.0,,Indoor,3.8
1023 New York Avenue,6.7,1.0,District School,2.0,"January 01, 2017",Indoor/Outdoor (onsite) playspace,1.6
525 Lenox Road,5.5,3.0,District School,2.0,"February 10, 2016",Indoor/Outdoor (onsite) playspace,5.6
450 Pacific Street,6.7,1.0,District School,3.0,"January 26, 2016",Indoor/Outdoor (onsite) playspace,4.8
510 East 141st Street,,2.0,District School,3.0,"May 01, 2017",Indoor/Outdoor (onsite) playspace,5.4
6002 Roosevelt Avenue,5.3,3.0,NYCEEC,3.0,,Indoor/Outdoor (offsite) playspace,5.4
132 North 5 Street,7.0,3.0,NYCEEC,4.0,,Please contact site for more information,5.6
2185 Bathgate Avenue,6.2,2.0,District School,2.0,"February 11, 2016",Indoor/Outdoor (onsite) playspace,5.0
343 Warren Street,5.4,4.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,6.6
1256 East 21st Street,5.7,3.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,6.4
628 Tinton Avenue,,1.0,District School,3.0,"March 01, 2017",Indoor/Outdoor (onsite) playspace,5.6
2743 Ocean Avenue,6.6,4.0,NYCEEC,3.0,,Outdoor (onsite) playspace,7.0
300 Richmond Terrace,5.6,3.0,District School,2.0,"November 06, 2014",Indoor/Outdoor (onsite) playspace,5.8
982 Hegeman Avenue,5.7,4.0,District School,3.0,"November 25, 2014",Indoor/Outdoor (onsite) playspace,6.4
1780 Dr. Martin Luther King Jr. Boulevard,6.9,1.0,District School,1.0,"December 02, 2014",Indoor/Outdoor (onsite) playspace,3.6
333 East 135th Street,6.6,1.0,District School,3.0,"April 01, 2017",Indoor/Outdoor (onsite) playspace,4.4
144-51 Arthur Street,6.9,3.0,District School,2.0,"March 20, 2015",Indoor/Outdoor (onsite) playspace,3.4
1633 East 8th Street,6.0,4.0,District School,4.0,"April 21, 2016",Indoor/Outdoor (onsite) playspace,6.6
64-11 Fleet Street,,1.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,4.8
1 Peck Slip,5.9,2.0,District School,3.0,"November 21, 2014",Please contact site for more information,5.0
400 Lincoln Road,6.2,1.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,2.6
78-02 Northern Boulevard,6.0,3.0,NYCEEC,3.0,,Outdoor (offsite) playspace,6.4
336 East 61 Street,5.5,4.0,NYCEEC,3.0,,,5.4
459 East 176th Street,5.7,1.0,District School,3.0,"February 01, 2017",Outdoor (onsite) playspace,4.2
1904 Avenue N,5.7,3.0,NYCEEC,1.0,,Please contact site for more information,3.2
1688 President Street,5.1,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.6
560 West 169th Street,6.0,4.0,District School,3.0,"February 09, 2015",Indoor/Outdoor (onsite) playspace,5.0
3030 Godwin Terrace,7.0,1.0,District School,2.0,"February 13, 2015",Indoor,1.0
7103 Avenue T,6.7,3.0,District School,3.0,"February 11, 2016",Indoor/Outdoor (onsite) playspace,5.0
9736 108 Street,5.8,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,2.6
116 West 11th Street,6.4,1.0,District School,2.0,"May 19, 2016",Please contact site for more information,4.6
185 Marcy Avenue,,4.0,NYCEEC,4.0,,,7.0
1711 Haight Avenue,6.8,1.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,5.4
3001 West 37th Street,6.3,2.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,4.6
272 Macdonough Street,5.7,3.0,District School,3.0,"May 11, 2015",Indoor/Outdoor (onsite) playspace/Outdoor (offsite) playspace,6.2
5301 20 Avenue,6.3,3.0,District School,2.0,"May 26, 2016",,5.4
190 Beach 110th Street,,3.0,District School,2.0,"March 11, 2015",Indoor/Outdoor (onsite) playspace,3.8
213 EAST 63 STREET,7.0,3.0,District School,2.0,"January 15, 2016",,4.2
1469B Broadway,5.4,3.0,NYCEEC,3.0,,Indoor/Outdoor (offsite) playspace,4.2
109-20 Union Hall Street,6.8,1.0,District School,2.0,"November 01, 2016",Indoor/Outdoor (onsite) playspace,1.2
1501 Jerome Avenue,,3.0,District School,3.0,"May 11, 2015",Indoor/Outdoor (onsite) playspace,5.8
670 Parkside Avenue,5.8,1.0,NYCEEC,3.0,,Indoor/Outdoor (onsite) playspace,2.0
135 Schenck Avenue,6.3,2.0,District School,3.0,"November 14, 2014",Outdoor (onsite) playspace,4.4
130 Brighton 11th Street,6.3,4.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.4
6015 18th Avenue,6.3,3.0,District School,2.0,"January 20, 2016",Please contact site for more information,5.0
100 West 84th Street,6.2,2.0,District School,2.0,"January 20, 2015",Outdoor (onsite) playspace,5.4
432 Monroe Street,6.9,4.0,District School,3.0,"March 01, 2016",Indoor/Outdoor (onsite) playspace,5.2
225 West 99 Street,5.2,3.0,NYCEEC,3.0,,,6.4
265 Ralph Avenue,,3.0,District School,3.0,"May 18, 2015",Indoor/Outdoor (onsite) playspace,5.2
125 Schrooeders Avenue,6.0,4.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.0
70 Ocean Parkway,6.2,4.0,District School,3.0,"November 19, 2014",Outdoor (onsite) playspace,6.2
715 Ocean Terrace,6.5,3.0,District School,3.0,"May 24, 2016",Indoor/Outdoor (onsite) playspace,6.4
345 Van Sicklen Street,,2.0,District School,3.0,"February 05, 2015",Indoor/Outdoor (onsite) playspace,6.6
3961 HILLMAN AVENUE,,2.0,District School,1.0,"May 14, 2015",,4.8
646 5th Avenue,6.7,4.0,Charter School,3.0,,Indoor/Outdoor (onsite) playspace,6.4
1019 46th Street,6.8,3.0,NYCEEC,2.0,,Outdoor (onsite) playspace,5.4
250 Ralph Avenue,6.9,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.4
1330 Bristow Street,,1.0,District School,3.0,"January 23, 2015",Indoor/Outdoor (onsite) playspace,6.2
18 Marlborough Road,,2.0,District School,3.0,"March 31, 2015",Please contact site for more information,5.4
61-02 98th Street,,3.0,District School,3.0,"December 01, 2016",Please contact site for more information,5.6
763 Knickerbocker Avenue,5.9,1.0,District School,3.0,"March 01, 2017",Indoor/Outdoor (onsite) playspace,5.2
1723 8th Avenue,6.0,3.0,NYCEEC,3.0,,Outdoor (onsite) playspace,6.4
248-05 86th Avenue,6.8,3.0,District School,3.0,"March 23, 2015",Indoor/Outdoor (onsite) playspace,6.4
284 Baltic Street,,,Charter School,,,,
1615 Madison Avenue,,1.0,District School,3.0,"January 01, 2017",Indoor/Outdoor (onsite) playspace,6.0
129 Elmwood Avenue,6.3,4.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,4.2
100 Clermont Avenue,,2.0,District School,2.0,"January 21, 2015",Indoor/Outdoor (onsite) playspace,3.4
260 West Kingsbridge Road,6.3,4.0,District School,3.0,"January 22, 2015",Indoor/Outdoor (onsite) playspace,5.6
249 East 17th Street,6.6,1.0,District School,1.0,"December 01, 2015",Indoor/Outdoor (onsite) playspace,2.2
440 East 48 Street,6.6,1.0,NYCEEC,3.0,,,1.8
330 Crown Street,6.0,1.0,District School,3.0,"April 01, 2017",Indoor/Outdoor (onsite) playspace,3.0
2023 Pacific Street,4.7,1.0,NYCEEC,2.0,,Indoor/Outdoor (onsite) playspace,4.0
