program_code,location_2,enrollment,meals,effective_school_leadership_survey_percent_positive,ecers_activities_rating,late_pick_up_available,nan with location_1,No with location_1,Yes with location_1
11X078,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",36.0,Breakfast/Lunch,1.0,3.0,No,,1400 Needham Avenue,
84M518,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",21.0,Breakfast/Lunch/Snack(s),0.92,3.0,No,,2050 Second Avenue,
29Q195,"{'human_address': '{""address"": """", ""city"": ""ROSEDALE"", ""state"": ""NY"", ""zip"": ""11422""}'}",59.0,Breakfast/Lunch,1.0,3.0,Yes,,,253-50 149th Avenue
32KBGU,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",59.0,Breakfast/Lunch/Snack(s),0.97,4.0,Yes,,,295 Woodbine Street
30Q111,"{'human_address': '{""address"": """", ""city"": ""LONG ISLAND CITY"", ""state"": ""NY"", ""zip"": ""11101""}'}",20.0,Breakfast/Lunch,0.78,4.0,Yes,,37-15 13th Street,
20KBQB,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",43.0,Breakfast/Lunch/Snack(s),1.0,4.0,Yes,,,762 59th Street
18KBOW,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",25.0,Contact program directly for details,0.94,3.0,No,,,141 East 40th Street
28Q048,"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11433""}'}",53.0,Breakfast/Lunch,0.94,3.0,No,,108-29 155th Street,
24Q088,"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",34.0,Breakfast/Lunch/Snack(s),0.86,4.0,No,,60-85 Catalpa Avenue,
31R013,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10305""}'}",18.0,Breakfast/Lunch,,4.0,No,,191 Vermont Avenue,
12X536,"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",18.0,Breakfast/Lunch,0.96,3.0,No,,,1827 Archer Street
32K106,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",24.0,Breakfast/Lunch,,4.0,No,,1328 Putnam Avenue,
