math_level_4_2,ela_level_2_1,math_level_2_1,male_2,grade_9,ela_level_1_1,math_level_2_2,grade_12,black_2,asian_1
s,37,22,0.4396887159533074,93,24,0.3333333333333333,No Data,0.29571984435797666,18
No Data,No Data,No Data,0.512396694214876,No Data,No Data,No Data,89,0.30991735537190085,s
s,s,8,0.47435897435897434,33,s,0.5,8,s,s
0.8545454545454545,s,s,0.6926315789473684,115,s,s,135,0.09894736842105263,167
s,s,s,0.5306122448979592,16,s,s,6,0.7142857142857143,s
No Data,No Data,No Data,s,No Data,No Data,No Data,s,s,s
No Data,No Data,No Data,s,14,No Data,No Data,No Data,s,s
No Data,No Data,No Data,s,s,No Data,No Data,s,s,s
s,s,s,s,s,s,s,s,s,s
s,s,s,s,s,s,s,No Data,s,s
s,s,s,0.5588235294117647,s,s,s,s,0.2647058823529412,s
s,63,42,0.3014018691588785,168,26,0.4329896907216495,57,0.2967289719626168,32
0.36,s,8,0.37537537537537535,77,s,0.16,87,0.13513513513513514,130
s,21,20,0.6625,58,20,0.4,21,0.26875,24
s,s,s,s,s,s,s,No Data,s,s
No Data,No Data,No Data,0.4,8,No Data,No Data,s,0.6,s
s,33,29,0.4,79,12,0.5471698113207547,47,0.4163265306122449,9
s,44,36,0.4638949671772429,106,30,0.4090909090909091,116,0.28227571115973743,8
0.45,s,9,0.5099236641221374,143,s,0.225,188,0.11755725190839694,234
s,s,s,0.5454545454545454,8,s,s,6,0.36363636363636365,s
s,s,s,0.6382978723404256,17,8,s,9,s,38
s,s,s,0.5862068965517241,s,s,s,No Data,0.3448275862068966,s
s,46,35,0.57,102,21,0.4605263157894737,43,0.25666666666666665,92
s,s,s,s,s,s,s,No Data,s,s
s,s,s,0.5111111111111111,30,22,s,s,s,s
No Data,No Data,No Data,0.5492957746478874,No Data,No Data,No Data,26,0.352112676056338,s
s,10,8,0.40186915887850466,59,35,0.17777777777777778,6,s,24
s,14,s,0.5876288659793815,46,20,s,11,0.4329896907216495,s
s,s,s,s,s,s,s,s,s,s
s,34,18,0.5133779264214047,176,35,0.2535211267605634,140,0.47491638795986624,65
No Data,No Data,No Data,0.3854166666666667,16,No Data,No Data,25,0.34375,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
No Data,No Data,No Data,s,No Data,No Data,No Data,No Data,s,s
s,s,s,0.5517241379310345,9,s,s,7,0.3793103448275862,s
s,s,s,0.644927536231884,50,14,s,30,0.5072463768115942,7
s,s,s,s,s,s,s,No Data,s,s
s,32,28,0.4943820224719101,87,18,0.45161290322580644,81,0.38202247191011235,21
0.4,9,s,0.3701923076923077,39,s,s,60,s,161
0.06542056074766354,41,41,0.49658314350797267,123,7,0.38317757009345793,96,0.13211845102505695,63
s,31,23,0.5706371191135734,119,48,0.27710843373493976,72,0.2548476454293629,s
No Data,No Data,No Data,s,s,No Data,No Data,s,s,s
s,10,7,0.7209302325581395,24,s,0.3333333333333333,21,s,12
s,s,s,0.48,25,s,s,s,0.12,s
s,7,s,0.8141592920353983,43,19,s,15,0.3185840707964602,s
s,6,s,s,20,s,s,s,0.4318181818181818,10
s,s,s,0.30952380952380953,10,s,s,10,0.5238095238095238,s
0.17721518987341772,41,23,0.3425531914893617,123,11,0.2911392405063291,95,0.2425531914893617,38
s,39,27,0.6938110749185668,91,27,0.38571428571428573,63,0.26058631921824105,10
s,s,s,0.43478260869565216,8,s,s,s,0.34782608695652173,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
s,s,s,0.5483870967741935,16,s,s,16,s,10
s,s,s,0.6568627450980392,36,17,s,16,0.3235294117647059,s
s,s,s,s,s,s,s,No Data,s,s
s,s,s,0.7333333333333333,15,13,s,s,s,s
s,8,7,0.496,42,12,0.25,18,0.16,s
No Data,No Data,No Data,0.4120603015075377,10,No Data,No Data,76,0.35678391959798994,s
No Data,No Data,No Data,0.525233644859813,s,No Data,No Data,s,0.27102803738317754,s
No Data,s,No Data,s,s,s,No Data,No Data,s,s
No Data,No Data,No Data,0.3888888888888889,s,No Data,No Data,s,0.2777777777777778,s
No Data,No Data,No Data,0.46938775510204084,No Data,No Data,No Data,16,0.3469387755102041,s
s,s,s,0.6111111111111112,9,s,s,s,0.4444444444444444,s
s,40,31,0.4889975550122249,154,51,0.30097087378640774,62,0.2787286063569682,8
s,78,62,0.41384615384615386,208,54,0.39490445859872614,128,0.21846153846153846,37
No Data,No Data,No Data,0.46153846153846156,s,No Data,No Data,s,s,s
s,40,34,0.5125348189415042,94,37,0.3953488372093023,87,0.2562674094707521,8
s,40,33,0.5087209302325582,90,35,0.4024390243902439,85,0.25,8
s,28,18,0.5496894409937888,97,31,0.2608695652173913,67,0.3105590062111801,10
s,s,s,0.3448275862068966,11,s,s,8,0.27586206896551724,s
s,s,s,0.5471698113207547,24,16,s,s,0.1509433962264151,s
s,s,s,s,s,s,s,No Data,s,s
s,8,7,0.5726495726495726,73,26,0.19444444444444445,66,0.3547008547008547,s
s,s,s,s,s,s,s,s,s,s
s,49,35,0.42356687898089174,111,34,0.39325842696629215,62,0.3248407643312102,s
No Data,No Data,No Data,0.5967741935483871,No Data,No Data,No Data,15,0.16129032258064516,26
s,s,s,0.43478260869565216,10,s,s,s,s,18
s,s,s,0.5,9,6,s,s,s,7
s,s,s,s,9,s,s,s,s,s
s,s,s,0.3829787234042553,29,11,s,14,0.3404255319148936,s
No Data,No Data,No Data,s,No Data,No Data,No Data,s,s,s
s,9,6,0.8666666666666667,27,11,0.25,20,0.21904761904761905,s
s,12,11,0.6333333333333333,23,10,0.4782608695652174,8,0.13333333333333333,s
s,38,27,0.6725978647686833,104,31,0.3698630136986301,54,0.33451957295373663,14
s,s,s,0.5416666666666666,7,s,s,s,s,s
s,s,s,0.7,10,6,s,s,s,s
s,29,27,s,63,9,0.5094339622641509,51,0.23412698412698413,25
s,s,s,s,s,s,s,s,s,s
s,s,s,0.6575342465753424,26,8,s,9,0.5068493150684932,s
s,70,48,0.6626746506986028,142,38,0.4067796610169492,129,0.27944111776447106,31
s,s,10,0.9072164948453608,41,31,0.25,s,s,s
No Data,No Data,No Data,0.5076923076923077,s,No Data,No Data,s,0.3230769230769231,s
s,s,s,0.75,17,9,s,No Data,0.2916666666666667,s
s,49,34,0.6704545454545454,114,35,0.3695652173913043,82,0.32727272727272727,13
s,28,18,0.46319018404907975,101,38,0.2608695652173913,63,0.2791411042944785,s
s,15,13,0.638095238095238,59,22,0.3023255813953488,105,0.28253968253968254,20
s,s,s,0.3902439024390244,18,s,s,s,s,s
s,s,s,0.47619047619047616,s,s,s,8,0.2857142857142857,s
s,10,7,0.5352112676056338,19,s,0.4117647058823529,14,0.18309859154929578,s
No Data,No Data,No Data,s,s,No Data,No Data,No Data,s,s
s,s,s,0.6944444444444444,9,s,s,s,s,12
s,s,s,s,s,s,s,No Data,s,s
s,s,7,0.8852459016393442,26,17,0.35,16,s,s
s,s,s,0.48,27,8,s,12,0.56,s
s,8,s,0.23728813559322035,32,7,s,s,0.3220338983050847,s
s,s,s,0.4492753623188406,26,7,s,14,0.37681159420289856,13
s,s,s,0.7127659574468085,34,13,s,13,0.5,s
s,s,s,s,6,s,s,No Data,s,s
s,27,21,s,117,26,0.29577464788732394,84,0.5459610027855153,12
s,s,s,0.6333333333333333,10,s,s,8,s,s
s,s,s,s,s,s,s,s,s,s
s,s,s,0.45454545454545453,8,6,s,s,s,s
s,s,s,0.5102040816326531,23,s,s,s,0.12244897959183673,s
s,s,6,0.4722222222222222,13,s,0.5454545454545454,6,0.5,s
s,s,s,0.7040816326530612,21,13,s,28,0.32653061224489793,s
No Data,No Data,No Data,s,No Data,No Data,No Data,No Data,s,s
s,s,s,s,s,s,s,s,s,s
s,10,s,0.9236111111111112,53,21,s,38,0.2569444444444444,s
s,28,21,s,84,29,0.328125,93,0.4556213017751479,23
s,44,33,0.7225,114,36,0.3793103448275862,86,0.2725,15
No Data,s,No Data,s,s,s,No Data,No Data,s,s
No Data,No Data,No Data,s,s,No Data,No Data,s,s,s
s,54,40,0.44054054054054054,125,39,0.4,77,0.3054054054054054,8
No Data,No Data,No Data,0.40789473684210525,24,No Data,No Data,31,0.48026315789473684,s
s,s,6,0.5,s,23,0.21428571428571427,No Data,s,s
s,s,s,0.42857142857142855,10,s,s,s,0.8214285714285714,s
No Data,No Data,No Data,s,No Data,No Data,No Data,No Data,s,s
