ell_chinese_1,ell_urdu_1,ell_chinese_2,ela_level_2_2,white_1,ell_spanish_2,black_1,ela_level_4_2,ela_l3_l4_1,math_level_1_1
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
s,s,s,0.23076923076923078,12,0.6610169491525424,s,s,s,23
No Data,No Data,No Data,0.5,s,No Data,s,s,s,7
No Data,No Data,No Data,s,s,No Data,17,s,s,18
No Data,No Data,No Data,s,s,No Data,7,s,s,11
No Data,No Data,No Data,s,s,No Data,60,s,s,15
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,0.3974358974358974,s,No Data,122,s,8,22
No Data,No Data,No Data,s,s,No Data,27,s,s,22
No Data,No Data,No Data,0.417910447761194,s,No Data,100,s,8,49
s,s,s,s,s,0.9701492537313433,s,s,s,14
No Data,No Data,No Data,0.3723404255319149,13,No Data,81,s,11,49
No Data,No Data,No Data,s,s,No Data,6,s,s,s
No Data,No Data,No Data,0.25316455696202533,188,No Data,112,0.16455696202531644,48,9
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
s,s,s,s,s,0.8235294117647058,s,s,s,s
No Data,No Data,No Data,s,s,No Data,13,s,s,s
No Data,No Data,No Data,0.3076923076923077,s,No Data,6,s,s,17
No Data,No Data,No Data,0.4305555555555556,s,No Data,38,s,6,43
No Data,No Data,No Data,s,s,No Data,27,s,s,12
No Data,No Data,No Data,0.4845360824742268,112,No Data,71,s,44,13
No Data,No Data,No Data,0.3883495145631068,11,No Data,114,s,12,65
No Data,No Data,No Data,0.2571428571428571,8,No Data,33,s,s,27
No Data,No Data,No Data,0.5578947368421052,s,No Data,93,s,21,26
No Data,No Data,No Data,0.4787234042553192,11,No Data,148,s,31,27
No Data,No Data,No Data,0.53125,34,No Data,53,s,8,36
No Data,No Data,No Data,0.3958333333333333,15,No Data,93,0.11458333333333333,48,14
No Data,No Data,No Data,No Data,8,No Data,68,No Data,No Data,No Data
s,s,s,0.15555555555555556,s,0.9852941176470589,s,s,s,45
No Data,No Data,No Data,s,s,No Data,45,s,s,21
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.42105263157894735,s,No Data,27,s,s,12
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,s,No Data,10,No Data,No Data,No Data
No Data,No Data,No Data,0.3684210526315789,45,No Data,23,s,12,s
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,s,s,No Data,57,s,s,30
s,s,s,s,s,0.98,s,s,s,s
No Data,No Data,No Data,s,8,No Data,78,s,s,13
s,s,s,s,s,0.7037037037037037,12,s,s,6
No Data,No Data,No Data,s,s,No Data,20,s,s,18
No Data,No Data,No Data,0.4642857142857143,s,No Data,24,s,7,10
No Data,No Data,No Data,0.5,16,No Data,116,s,23,44
No Data,No Data,No Data,s,259,No Data,29,0.2037037037037037,79,10
No Data,No Data,No Data,s,s,No Data,11,s,s,34
No Data,No Data,No Data,0.24731182795698925,73,No Data,333,0.13440860215053763,224,46
s,s,s,No Data,s,s,s,No Data,No Data,s
No Data,No Data,No Data,No Data,s,No Data,7,No Data,No Data,No Data
s,s,s,s,s,0.9743589743589743,s,s,s,13
No Data,No Data,No Data,0.3888888888888889,s,No Data,95,s,s,27
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.5185185185185185,s,No Data,121,s,15,60
s,s,s,s,s,0.8181818181818182,s,s,s,7
No Data,No Data,No Data,0.5384615384615384,s,No Data,85,s,17,22
No Data,No Data,No Data,No Data,s,No Data,14,No Data,No Data,No Data
No Data,No Data,No Data,0.36363636363636365,s,No Data,65,s,8,59
No Data,No Data,No Data,s,51,No Data,s,0.23255813953488372,61,s
No Data,No Data,No Data,0.46938775510204084,s,No Data,36,s,13,28
No Data,No Data,No Data,s,14,No Data,s,s,s,s
No Data,No Data,No Data,No Data,s,No Data,11,No Data,No Data,No Data
s,s,s,s,s,0.7272727272727273,s,s,s,s
No Data,No Data,No Data,No Data,s,No Data,29,No Data,No Data,No Data
No Data,No Data,No Data,0.5238095238095238,24,No Data,11,s,8,s
No Data,No Data,No Data,0.38235294117647056,s,No Data,51,s,s,25
s,s,s,s,s,s,s,s,s,s
s,s,s,s,s,0.9468085106382979,s,s,s,16
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.39436619718309857,20,No Data,30,s,32,16
s,s,s,No Data,s,s,s,No Data,No Data,No Data
s,s,s,s,s,0.8,s,s,s,s
No Data,No Data,No Data,s,s,No Data,31,s,s,19
No Data,No Data,No Data,No Data,s,No Data,79,No Data,No Data,No Data
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,0.5428571428571428,s,No Data,47,s,6,13
s,s,s,s,s,0.8556701030927835,14,s,s,25
No Data,No Data,No Data,No Data,s,No Data,66,No Data,No Data,No Data
s,s,s,s,s,0.9545454545454546,s,s,s,12
No Data,No Data,No Data,0.4230769230769231,s,No Data,32,s,s,18
No Data,No Data,No Data,s,s,No Data,29,s,s,18
No Data,No Data,No Data,s,s,No Data,12,s,s,s
No Data,No Data,No Data,0.5555555555555556,s,No Data,18,s,s,11
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,0.4090909090909091,s,No Data,29,s,s,17
No Data,No Data,No Data,s,85,No Data,s,0.7465564738292011,360,s
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.38461538461538464,36,No Data,133,s,64,69
s,s,s,s,s,0.8571428571428571,s,s,s,s
No Data,No Data,No Data,0.4032258064516129,s,No Data,191,s,7,41
No Data,No Data,No Data,s,s,No Data,14,s,s,s
No Data,No Data,No Data,0.4888888888888889,s,No Data,137,s,s,29
s,s,s,s,s,0.6956521739130435,s,s,s,s
No Data,No Data,No Data,0.3157894736842105,s,No Data,73,s,8,23
No Data,No Data,No Data,s,s,No Data,18,s,s,s
No Data,No Data,No Data,s,s,No Data,50,s,s,19
s,s,s,s,s,0.8181818181818182,s,s,s,18
No Data,No Data,No Data,s,s,No Data,13,s,s,12
No Data,No Data,No Data,No Data,8,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.5671641791044776,s,No Data,97,s,8,29
s,s,s,s,s,0.7777777777777778,s,s,s,s
No Data,No Data,No Data,s,s,No Data,13,s,s,7
No Data,No Data,No Data,s,s,No Data,9,s,s,s
No Data,No Data,No Data,0.4536082474226804,s,No Data,16,s,25,16
No Data,No Data,No Data,0.5287356321839081,15,No Data,87,s,23,27
No Data,No Data,No Data,s,s,No Data,9,s,s,6
No Data,No Data,No Data,0.5263157894736842,s,No Data,20,s,s,12
No Data,No Data,No Data,s,s,No Data,18,s,s,s
No Data,No Data,No Data,0.3617021276595745,s,No Data,61,s,6,36
No Data,No Data,No Data,s,s,No Data,8,s,s,s
No Data,No Data,No Data,0.5454545454545454,s,No Data,20,s,s,s
No Data,No Data,No Data,0.3333333333333333,10,No Data,73,s,21,9
No Data,No Data,No Data,0.37362637362637363,10,No Data,17,0.12087912087912088,51,s
No Data,No Data,No Data,No Data,s,No Data,7,No Data,No Data,No Data
s,s,s,s,s,0.7142857142857143,s,s,s,10
No Data,No Data,No Data,No Data,s,No Data,61,No Data,No Data,No Data
s,s,s,No Data,s,1,s,No Data,No Data,No Data
No Data,No Data,No Data,No Data,35,No Data,196,No Data,No Data,No Data
No Data,No Data,No Data,0.5447761194029851,s,No Data,200,s,27,61
s,s,s,s,s,0.5625,s,s,s,6
s,s,s,s,s,0.88,s,s,s,8
No Data,No Data,No Data,0.4375,6,No Data,19,s,s,14
No Data,No Data,No Data,No Data,13,No Data,118,No Data,No Data,No Data
s,s,s,s,s,1,s,s,s,s
No Data,No Data,No Data,0.46153846153846156,s,No Data,22,s,s,7
No Data,No Data,No Data,s,s,No Data,13,s,s,s
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,No Data,s,No Data,7,No Data,No Data,No Data
No Data,No Data,No Data,0.5882352941176471,s,No Data,12,s,s,s
No Data,No Data,No Data,s,68,No Data,65,0.2717391304347826,72,s
No Data,No Data,No Data,s,7,No Data,13,s,s,s
No Data,No Data,No Data,s,s,No Data,14,s,s,21
No Data,No Data,No Data,s,12,No Data,10,s,s,s
s,s,s,s,s,0.5555555555555556,s,s,s,s
No Data,No Data,No Data,s,s,No Data,s,0.8888888888888888,9,s
No Data,No Data,No Data,No Data,s,No Data,18,No Data,No Data,No Data
No Data,No Data,No Data,0.37209302325581395,s,No Data,98,s,6,59
No Data,No Data,No Data,0.463768115942029,10,No Data,93,s,12,36
No Data,No Data,No Data,No Data,s,No Data,43,No Data,No Data,No Data
No Data,No Data,No Data,No Data,s,No Data,95,No Data,No Data,No Data
No Data,No Data,No Data,0.484375,20,No Data,790,0.03125,60,86
No Data,No Data,No Data,s,s,No Data,13,s,s,6
s,s,s,s,s,0.7872340425531915,s,s,s,14
No Data,No Data,No Data,s,s,No Data,41,s,s,9
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.4444444444444444,12,No Data,138,s,15,59
s,s,s,s,s,0.8043478260869565,s,s,s,12
No Data,No Data,No Data,s,s,No Data,s,s,s,s
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
s,s,s,s,s,0.82,s,s,s,11
No Data,No Data,No Data,0.5494505494505495,32,No Data,81,s,33,6
No Data,No Data,No Data,No Data,s,No Data,59,No Data,No Data,No Data
No Data,No Data,No Data,0.28,25,No Data,69,s,s,41
No Data,No Data,No Data,No Data,s,No Data,23,No Data,No Data,No Data
No Data,No Data,No Data,0.2857142857142857,16,No Data,30,s,7,19
No Data,No Data,No Data,0.3047619047619048,s,No Data,s,s,9,44
No Data,No Data,No Data,0.45,s,No Data,113,s,11,44
No Data,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data
No Data,No Data,No Data,0.37777777777777777,s,No Data,39,s,s,25
No Data,No Data,No Data,s,s,No Data,s,s,s,s
