ell_bengali_1,ell_french_1,ell_korean_1,ela_l3_l4_2,ell_french_2,asian_2,school_name,total_enrollment,ell_haitian_creole,ell_bengali_2,math_l3_l4_1,ela_level_3_1,math_level_1_2,dbn,ell_arabic_1,math_l3_l4_2,other_1
No Data,No Data,No Data,0.23076923076923078,No Data,0.10050251256281408,Urban Assembly Maker Academy,199,No Data,No Data,19,s,0.3493975903614458,02M282,No Data,0.2289156626506024,11
No Data,No Data,No Data,s,No Data,s,Park East High School,s,No Data,No Data,s,s,0,04M495,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School of Arts and Technology,39,No Data,No Data,s,s,0.5,03M494,No Data,s,s
No Data,No Data,No Data,s,No Data,0.15384615384615385,Bronx Bridges High School,52,No Data,No Data,s,s,1,08X432,No Data,s,s
No Data,No Data,No Data,s,No Data,0.3389830508474576,Manhattan International High School,59,No Data,No Data,s,s,0.75,02M459,No Data,s,s
No Data,No Data,No Data,0.2972972972972973,No Data,0.09832635983263599,Pace High School,478,No Data,No Data,23,37,0.3937007874015748,02M298,No Data,0.18110236220472442,27
s,s,s,s,s,s,Essex Street Academy,14,s,s,s,s,0.75,02M294,s,s,s
No Data,No Data,No Data,s,No Data,0.8,Baruch College Campus High School,10,No Data,No Data,s,s,0,02M411,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Special Music School,21,No Data,No Data,s,s,0,03M859,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Leadership and Public Service High School,19,No Data,No Data,s,s,1,02M425,No Data,s,s
No Data,No Data,No Data,0.9183673469387755,No Data,0.4682926829268293,"High School for Mathematics, Science and Engineeri",205,No Data,No Data,34,28,s,05M692,No Data,1,s
No Data,No Data,No Data,s,No Data,s,Vanguard High School,18,No Data,No Data,s,s,0.8,02M449,No Data,s,s
No Data,No Data,No Data,0.0963855421686747,No Data,s,"Heritage School, The",335,No Data,No Data,s,s,0.49382716049382713,04M680,No Data,s,s
No Data,No Data,No Data,0.23655913978494625,No Data,s,M.S. 223 The Laboratory School of Finance and Tech,304,No Data,No Data,33,s,0.24444444444444444,07X223,No Data,0.36666666666666664,s
No Data,No Data,No Data,s,No Data,s,Stephen T. Mather Building Arts & Craftsmanship Hi,6,No Data,No Data,s,s,1,02M139,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Manhattan Bridges High School,81,No Data,No Data,6,s,0.47368421052631576,02M542,No Data,0.3157894736842105,s
No Data,No Data,No Data,s,No Data,0.03272727272727273,Felisa Rincon de Gautier Institute for Law and Pub,275,No Data,No Data,s,s,0.631578947368421,08X519,No Data,s,s
s,s,s,s,s,s,Gregorio Luperon High School for Science and Mathe,344,s,s,s,s,0.6216216216216216,06M552,s,s,s
s,s,s,s,s,s,"High School for Law, Advocacy and Community Justic",22,s,s,s,s,1,03M492,s,s,s
No Data,No Data,No Data,No Data,No Data,s,Columbia Secondary School,11,No Data,No Data,No Data,No Data,No Data,05M362,No Data,No Data,s
No Data,No Data,No Data,0.17391304347826086,No Data,0.046341463414634146,Food and Finance High School,410,No Data,No Data,12,s,0.4418604651162791,02M288,No Data,0.13953488372093023,s
No Data,No Data,No Data,0.39805825242718446,No Data,0.023094688221709007,University Heights Secondary School,433,No Data,No Data,29,s,0.2111111111111111,07X495,No Data,0.32222222222222224,s
s,s,s,s,s,s,Renaissance High School for Musical Theater & Tech,17,s,s,s,s,1,08X293,s,s,s
No Data,No Data,No Data,0.10666666666666667,No Data,s,The Urban Assembly Bronx Academy of Letters,299,No Data,No Data,s,s,0.7123287671232876,07X551,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School for Excellence and Innovation,28,No Data,No Data,s,s,0.75,06M423,No Data,s,s
No Data,No Data,No Data,0.36486486486486486,No Data,0.09393939393939393,Young Women's Leadership School,330,No Data,No Data,22,s,0.15942028985507245,04M610,No Data,0.3188405797101449,10
No Data,No Data,No Data,s,No Data,s,The Urban Assembly School for Global Commerce,31,No Data,No Data,s,s,s,05M157,No Data,s,s
No Data,No Data,No Data,0.08571428571428572,No Data,0.03980099502487562,High School of Hospitality Management,402,No Data,No Data,s,s,0.5841584158415841,02M296,No Data,s,7
No Data,No Data,No Data,s,No Data,s,Academy for Social Action: A College Board School,134,No Data,No Data,s,s,0.6666666666666666,05M367,No Data,s,s
No Data,No Data,No Data,0.631578947368421,No Data,0.06382978723404255,Institute for Collaborative Education,282,No Data,No Data,s,7,s,02M407,No Data,s,21
No Data,No Data,No Data,0.0945945945945946,No Data,s,Stephen T. Mather Building Arts & Craftsmanship Hi,214,No Data,No Data,8,s,0.5285714285714286,02M139,No Data,0.11428571428571428,s
s,s,s,s,s,s,Holcombe L. Rucker School of Community Research,19,s,s,s,s,1,08X332,s,s,s
No Data,No Data,No Data,s,No Data,s,High School for Media and Communications,387,No Data,No Data,s,s,0.7021276595744681,06M463,No Data,s,s
No Data,No Data,No Data,0.18018018018018017,No Data,0.1493975903614458,Union Square Academy for Health Sciences,415,No Data,No Data,11,s,0.44554455445544555,02M533,No Data,0.10891089108910891,8
No Data,No Data,No Data,0.26785714285714285,No Data,0.10805084745762712,Urban Assembly Gateway School for Technology,472,No Data,No Data,19,s,0.2755102040816326,02M507,No Data,0.19387755102040816,15
No Data,No Data,No Data,s,No Data,0.2640449438202247,International High School at Union Square,356,No Data,No Data,s,s,0.6176470588235294,02M438,No Data,s,s
s,s,s,s,s,s,Foreign Language Academy of Global Studies,26,s,s,s,s,1,07X520,s,s,s
No Data,No Data,No Data,s,No Data,s,A. Philip Randolph Campus High School,196,No Data,No Data,s,s,0.8055555555555556,06M540,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School of Hospitality Management,13,No Data,No Data,s,s,1,02M296,No Data,s,s
No Data,No Data,No Data,s,No Data,s,N.Y.C. Museum School,17,No Data,No Data,No Data,s,No Data,02M414,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,s,Murray Hill Academy,24,No Data,No Data,No Data,No Data,No Data,02M432,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Esperanza Preparatory Academy,69,No Data,No Data,s,s,0.5,04M372,No Data,s,s
No Data,No Data,No Data,s,No Data,0.2564102564102564,High School of Economics and Finance,39,No Data,No Data,s,s,s,02M489,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Forsyth Satellite Academy,20,No Data,No Data,No Data,No Data,No Data,01M458,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Harvest Collegiate High School,29,No Data,No Data,s,s,0.3333333333333333,02M534,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Felisa Rincon de Gautier Institute for Law and Pub,93,No Data,No Data,s,s,0.8571428571428571,08X519,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Business Of Sports School,35,No Data,No Data,s,s,s,02M393,No Data,s,s
s,s,s,s,s,s,Wadleigh Secondary School for the Performing & Vis,14,s,s,s,s,1,03M415,s,s,s
No Data,No Data,No Data,0.832,No Data,0.40093603744149764,Millennium High School,641,No Data,No Data,56,71,0.11538461538461539,02M418,No Data,0.717948717948718,25
No Data,No Data,No Data,No Data,No Data,s,High School of Graphic Communication Arts,11,No Data,No Data,No Data,No Data,No Data,02M625,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Harlem Renaissance High School,137,No Data,No Data,s,s,0,05M285,No Data,s,s
No Data,No Data,No Data,0.11594202898550725,No Data,0.019097222222222224,High School of Arts and Technology,576,No Data,No Data,9,s,0.5373134328358209,03M494,No Data,0.06716417910447761,11
No Data,No Data,No Data,No Data,No Data,s,P.S. 333 Manhattan School for Children,s,No Data,No Data,No Data,No Data,No Data,03M333,No Data,No Data,s
No Data,No Data,No Data,0.22916666666666666,No Data,0.05856832971800434,Vanguard High School,461,No Data,No Data,9,s,0.5168539325842697,02M449,No Data,0.10112359550561797,20
No Data,No Data,No Data,s,No Data,s,Unity Center for Urban Technologies,74,No Data,No Data,s,s,0.6666666666666666,02M500,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Columbia Secondary School,23,No Data,No Data,s,s,0.6666666666666666,05M362,No Data,s,s
No Data,No Data,No Data,No Data,No Data,s,Bread & Roses Integrated Arts High School,23,No Data,No Data,No Data,No Data,No Data,05M685,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,"Urban Assembly School of Business for Young Women,",21,No Data,No Data,s,s,0.6,02M316,No Data,s,s
No Data,No Data,No Data,0.12307692307692308,No Data,0.06896551724137931,Murray Hill Academy,290,No Data,No Data,s,s,0.4915254237288136,02M432,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School for Media and Communications,82,No Data,No Data,s,s,0.9285714285714286,06M463,No Data,s,s
No Data,No Data,No Data,0.5868852459016394,No Data,0.1803405572755418,Manhattan Center for Science and Mathematics,1292,No Data,No Data,152,140,0.16872427983539096,04M435,No Data,0.6255144032921811,19
No Data,No Data,No Data,s,No Data,s,Urban Assembly Gateway School for Technology,18,No Data,No Data,s,s,1,02M507,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Bard High School Early College,7,No Data,No Data,s,s,0,01M696,No Data,s,s
No Data,No Data,No Data,s,No Data,s,MANHATTAN BUSINESS ACADEMY,76,No Data,No Data,s,s,0.6842105263157895,02M392,No Data,s,s
s,s,s,s,s,s,Harvest Collegiate High School,8,s,s,s,s,0.75,02M534,s,s,s
No Data,No Data,No Data,0.10526315789473684,No Data,s,Bronx Collegiate Academy,395,No Data,No Data,s,s,0.6808510638297872,09X227,No Data,s,s
No Data,No Data,No Data,0.1111111111111111,No Data,s,The Urban Assembly Bronx Academy of Letters,345,No Data,No Data,s,s,0.7088607594936709,07X551,No Data,s,s
No Data,No Data,No Data,0.25773195876288657,No Data,s,Washington Heights Expeditionary Learning School,390,No Data,No Data,24,s,0.16494845360824742,06M348,No Data,0.24742268041237114,s
No Data,No Data,No Data,s,No Data,s,The Urban Assembly School for Emergency Management,23,No Data,No Data,s,s,s,02M135,No Data,s,s
No Data,No Data,No Data,s,No Data,s,"Urban Assembly Academy of Government and Law, The",15,No Data,No Data,s,s,1,02M305,No Data,s,s
No Data,No Data,No Data,0.06504065040650407,No Data,0.020089285714285716,Business Of Sports School,448,No Data,No Data,11,s,0.5327868852459017,02M393,No Data,0.09016393442622951,s
s,s,s,s,s,s,"Facing History School, The",74,s,s,s,s,0.9047619047619048,02M303,s,s,s
No Data,No Data,No Data,0.9948320413436692,No Data,0.7342951608055305,Stuyvesant High School,3327,No Data,No Data,233,171,s,02M475,No Data,0.9914893617021276,142
No Data,No Data,No Data,0.11578947368421053,No Data,s,Inwood Early College for Health and Information Te,195,No Data,No Data,13,s,0.44086021505376344,06M211,No Data,0.13978494623655913,s
No Data,No Data,No Data,s,No Data,0.9682539682539683,High School for Dual Language and Asian Studies,63,No Data,No Data,11,s,s,02M545,No Data,1,s
No Data,No Data,No Data,s,No Data,s,Bronx River High School,76,No Data,No Data,s,s,0.8076923076923077,08X349,No Data,s,s
12,20,s,s,0.09009009009009009,0.2072072072072072,Manhattan International High School,222,s,0.05405405405405406,s,s,0.8444444444444444,02M459,21,s,s
No Data,No Data,No Data,s,No Data,s,Hostos-Lincoln Academy of Science,11,No Data,No Data,s,s,0,07X500,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School for Law and Public Service,93,No Data,No Data,s,s,0.6666666666666666,06M467,No Data,s,s
No Data,No Data,No Data,s,No Data,0.24561403508771928,Manhattan International High School,342,No Data,No Data,s,s,0.6779661016949152,02M459,No Data,s,s
No Data,No Data,No Data,0.9212598425196851,No Data,0.22803738317757008,Bard High School Early College,535,No Data,No Data,65,64,s,01M696,No Data,0.9848484848484849,11
No Data,No Data,No Data,No Data,No Data,s,East Side Community School,8,No Data,No Data,No Data,No Data,No Data,01M450,No Data,No Data,s
No Data,No Data,No Data,No Data,No Data,s,Foreign Language Academy of Global Studies,21,No Data,No Data,No Data,No Data,No Data,07X520,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Urban Assembly School for Careers in Sports,39,No Data,No Data,s,s,0,07X548,No Data,s,s
No Data,No Data,No Data,s,No Data,s,MANHATTAN BUSINESS ACADEMY,21,No Data,No Data,s,s,0.6666666666666666,02M392,No Data,s,s
No Data,No Data,No Data,s,No Data,s,High School for Law and Public Service,129,No Data,No Data,s,s,0.85,06M467,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Community School for Social Justice,34,No Data,No Data,s,s,1,07X427,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Bronx Studio School for Writers and Artists,23,No Data,No Data,s,s,0.6,08X269,No Data,s,s
s,s,s,s,s,s,School for Tourism and Hospitality,43,s,s,s,s,0.7857142857142857,08X559,s,s,s
s,s,s,No Data,s,s,Bread & Roses Integrated Arts High School,s,s,s,No Data,No Data,No Data,05M685,s,No Data,s
s,s,s,No Data,s,s,Talent Unlimited High School,s,s,s,No Data,No Data,No Data,02M519,s,No Data,s
No Data,No Data,No Data,s,No Data,s,Pablo Neruda Academy,107,No Data,No Data,s,s,0.8181818181818182,08X305,No Data,s,s
s,s,s,s,s,s,Murray Hill Academy,10,s,s,s,s,0.25,02M432,s,s,s
No Data,No Data,No Data,No Data,No Data,s,Forsyth Satellite Academy,119,No Data,No Data,No Data,No Data,No Data,01M458,No Data,No Data,s
No Data,No Data,No Data,0.4542483660130719,No Data,0.07975034674063801,Art and Design High School,1442,No Data,No Data,85,109,0.22265625,02M630,No Data,0.33203125,39
No Data,No Data,No Data,0.1590909090909091,No Data,s,Urban Assembly School for the Performing Arts,281,No Data,No Data,s,s,0.6710526315789473,05M369,No Data,s,6
No Data,No Data,No Data,s,No Data,s,"High School for Arts, Imagination and Inquiry",93,No Data,No Data,s,s,0.7916666666666666,03M299,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Frederick Douglass Academy,118,No Data,No Data,s,s,0.5454545454545454,05M499,No Data,s,s
s,s,s,No Data,s,s,Frank Mccourt High School,s,s,s,No Data,No Data,No Data,03M417,s,No Data,s
No Data,No Data,No Data,s,No Data,s,Bronx River High School,42,No Data,No Data,s,s,0.5882352941176471,08X349,No Data,s,s
No Data,No Data,No Data,s,No Data,s,School for Tourism and Hospitality,69,No Data,No Data,s,s,0.84,08X559,No Data,s,s
No Data,No Data,No Data,0.25,No Data,s,The Urban Assembly School for Global Commerce,206,No Data,No Data,s,s,0.58,05M157,No Data,s,6
No Data,No Data,No Data,0.17391304347826086,No Data,0.054003724394785846,Life Sciences Secondary School,537,No Data,No Data,10,s,0.5904761904761905,02M655,No Data,0.09523809523809523,15
8,30,s,s,0.10344827586206896,0.25517241379310346,International High School at Union Square,290,s,0.027586206896551724,s,s,0.6666666666666666,02M438,35,s,s
No Data,No Data,No Data,s,No Data,0.5587044534412956,Emma Lazarus High School,247,No Data,No Data,s,s,0,02M394,No Data,s,s
No Data,No Data,No Data,s,No Data,0.48031496062992124,Emma Lazarus High School,127,No Data,No Data,s,s,0,02M394,No Data,s,s
s,s,s,s,s,s,Park East High School,6,s,s,s,s,0.4,04M495,s,s,s
No Data,No Data,No Data,0.15517241379310345,No Data,0.05303030303030303,Unity Center for Urban Technologies,264,No Data,No Data,s,s,0.5272727272727272,02M500,No Data,s,6
No Data,No Data,No Data,No Data,No Data,s,Crotona Academy High School,15,No Data,No Data,No Data,No Data,No Data,07X321,No Data,No Data,s
No Data,No Data,No Data,0.3208955223880597,No Data,0.13343923749007147,High School for Environmental Studies,1259,No Data,No Data,60,s,0.3803418803418803,02M400,No Data,0.2564102564102564,16
No Data,No Data,No Data,s,No Data,s,The Global Learning Collaborative,43,No Data,No Data,s,s,0.8,03M403,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Gregorio Luperon High School for Science and Mathe,170,No Data,No Data,s,s,0.7,06M552,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Pace High School,24,No Data,No Data,s,s,s,02M298,No Data,s,s
No Data,No Data,No Data,s,No Data,s,The High School of Fashion Industries,287,No Data,No Data,s,s,0.7954545454545454,02M600,No Data,s,s
No Data,No Data,No Data,0.14130434782608695,No Data,s,Schuylerville Preparatory High School,280,No Data,No Data,7,s,0.5764705882352941,08X348,No Data,0.08235294117647059,s
No Data,No Data,No Data,s,No Data,s,New Design High School,50,No Data,No Data,s,s,0.47368421052631576,02M543,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Food and Finance High School,28,No Data,No Data,s,s,s,02M288,No Data,s,s
s,s,s,s,s,s,Schuylerville Preparatory High School,35,s,s,s,s,0.9166666666666666,08X348,s,s,s
No Data,No Data,No Data,s,No Data,s,Bronx Design and Construction Academy,152,No Data,No Data,s,s,0.8,07X522,No Data,s,s
No Data,No Data,No Data,0.11650485436893204,No Data,0.029473684210526315,Health Opportunities High School,475,No Data,No Data,8,s,0.6060606060606061,07X670,No Data,0.08080808080808081,8
No Data,No Data,No Data,No Data,No Data,s,Choir Academy of Harlem,26,No Data,No Data,No Data,No Data,No Data,05M469,No Data,No Data,s
No Data,No Data,No Data,s,No Data,0.28225806451612906,International High School at Union Square,124,No Data,No Data,s,s,0.75,02M438,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Food and Finance High School,68,No Data,No Data,s,s,0.75,02M288,No Data,s,s
No Data,No Data,No Data,s,No Data,s,Young Women's Leadership School,20,No Data,No Data,s,s,s,04M610,No Data,s,s
No Data,No Data,No Data,No Data,No Data,0.05228758169934641,High School M560 - City As School,612,No Data,No Data,No Data,No Data,No Data,02M560,No Data,No Data,15
No Data,No Data,No Data,No Data,No Data,s,Bronx Haven High School,138,No Data,No Data,No Data,No Data,No Data,07X381,No Data,No Data,s
No Data,No Data,No Data,s,No Data,s,Academy for Social Action: A College Board School,36,No Data,No Data,s,s,0.6666666666666666,05M367,No Data,s,s
