grade_11,ell_russian_2,ell_other_1,grade_10,ell_russian_1,ela_level_3_2,category,math_test_takers,white_2
21,No Data,No Data,27,No Data,s,Reside in temporary housing,s,s
s,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
s,No Data,No Data,s,No Data,s,Students with Disabilities,s,s
42,No Data,No Data,117,No Data,s,All Students,81,s
23,No Data,No Data,36,No Data,s,Students with Disabilities,28,0.22935779816513763
111,No Data,No Data,113,No Data,0.3235294117647059,All Students,86,0.17763157894736842
No Data,No Data,No Data,No Data,No Data,0.47674418604651164,Poverty,77,0.5483870967741935
112,No Data,No Data,156,No Data,s,Poverty,39,s
46,No Data,No Data,101,No Data,s,Poverty,91,s
6,s,s,9,s,s,English Language Learners,11,s
s,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
s,No Data,No Data,16,No Data,s,Reside in temporary housing,18,s
15,No Data,No Data,11,No Data,s,Students with Disabilities,6,0.13333333333333333
15,No Data,No Data,11,No Data,No Data,Students with Disabilities,No Data,s
101,No Data,No Data,60,No Data,0.46551724137931033,Poverty,29,0.13975155279503104
s,No Data,No Data,24,No Data,s,Reside in temporary housing,13,s
s,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
No Data,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
31,No Data,No Data,24,No Data,s,Reside in temporary housing,24,s
No Data,No Data,No Data,s,No Data,s,Reside in temporary housing,7,s
97,No Data,No Data,130,No Data,s,All Students,83,0.08390022675736962
s,s,s,s,s,No Data,English Language Learners,No Data,s
No Data,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,s
46,No Data,No Data,101,No Data,s,All Students,91,s
s,No Data,No Data,12,No Data,No Data,Reside in temporary housing,No Data,s
34,No Data,No Data,76,No Data,s,Poverty,53,s
68,No Data,No Data,69,No Data,0.5454545454545454,Poverty,43,0.0528169014084507
45,No Data,No Data,45,No Data,0.5128205128205128,Poverty,33,0.10582010582010581
s,s,s,s,s,s,English Language Learners,7,s
59,No Data,No Data,73,No Data,s,All Students,50,0.07692307692307693
s,No Data,No Data,s,No Data,s,Reside in temporary housing,s,s
No Data,No Data,No Data,67,No Data,s,Poverty,63,0.07236842105263158
s,No Data,No Data,11,No Data,No Data,Enrolled over the Counter,No Data,s
8,No Data,No Data,21,No Data,s,Students with Disabilities,16,s
48,No Data,No Data,41,No Data,0.3137254901960784,Poverty,40,0.12921348314606743
144,No Data,No Data,156,No Data,s,Poverty,104,0.09814814814814815
44,No Data,No Data,53,No Data,0.5373134328358209,Poverty,39,s
s,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
82,No Data,No Data,47,No Data,s,All Students,8,0.29559748427672955
14,No Data,No Data,24,No Data,s,Students with Disabilities,23,s
11,No Data,No Data,10,No Data,s,Students with Disabilities,24,s
s,s,s,17,s,s,English Language Learners,s,s
s,No Data,No Data,7,No Data,s,Enrolled over the Counter,s,s
No Data,s,s,No Data,s,No Data,English Language Learners,No Data,s
No Data,No Data,No Data,No Data,No Data,No Data,Enrolled over the Counter,No Data,s
s,No Data,No Data,9,No Data,s,Reside in temporary housing,10,s
No Data,s,s,No Data,s,s,English Language Learners,s,s
100,No Data,No Data,117,No Data,s,Poverty,113,s
45,No Data,No Data,34,No Data,s,Poverty,37,0.05161290322580645
77,No Data,No Data,97,No Data,0.4146341463414634,All Students,68,0.017391304347826087
No Data,No Data,No Data,s,No Data,s,Reside in temporary housing,6,s
47,No Data,No Data,44,No Data,No Data,Poverty,No Data,0.047337278106508875
6,No Data,No Data,s,No Data,s,Reside in temporary housing,10,s
s,s,s,No Data,s,No Data,English Language Learners,No Data,s
s,No Data,No Data,8,No Data,s,Reside in temporary housing,8,s
8,No Data,No Data,52,No Data,s,Enrolled over the Counter,s,s
s,No Data,No Data,7,No Data,s,Reside in temporary housing,s,s
15,No Data,No Data,37,No Data,s,Students with Disabilities,28,s
s,s,s,13,s,s,English Language Learners,7,s
9,No Data,No Data,12,No Data,s,Reside in temporary housing,6,s
8,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
s,s,s,11,s,s,English Language Learners,6,s
s,s,s,11,s,s,English Language Learners,12,s
23,No Data,No Data,39,No Data,s,Students with Disabilities,31,s
No Data,s,s,s,s,No Data,English Language Learners,No Data,s
No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,s
25,No Data,No Data,26,No Data,s,Students with Disabilities,18,0.11224489795918367
11,No Data,No Data,10,No Data,s,Reside in temporary housing,8,s
6,No Data,No Data,7,No Data,No Data,Reside in temporary housing,No Data,s
16,No Data,No Data,19,No Data,s,Students with Disabilities,18,s
s,s,s,s,s,No Data,English Language Learners,No Data,s
6,No Data,No Data,6,No Data,s,Reside in temporary housing,11,s
No Data,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
17,No Data,No Data,s,No Data,No Data,Students with Disabilities,No Data,s
56,No Data,No Data,62,No Data,0.4074074074074074,Poverty,12,s
23,No Data,No Data,122,No Data,s,All Students,s,s
11,No Data,No Data,7,No Data,No Data,Students with Disabilities,No Data,s
42,No Data,No Data,67,No Data,s,Poverty,34,s
65,No Data,No Data,89,No Data,s,Poverty,73,0.04953560371517028
s,No Data,No Data,6,No Data,No Data,Enrolled over the Counter,No Data,0.4117647058823529
79,No Data,No Data,62,No Data,s,All Students,s,s
s,s,s,s,s,No Data,English Language Learners,No Data,s
10,No Data,No Data,21,No Data,s,Students with Disabilities,15,0.375
11,No Data,No Data,14,No Data,No Data,Reside in temporary housing,No Data,s
s,No Data,No Data,10,No Data,No Data,Enrolled over the Counter,No Data,s
s,No Data,No Data,11,No Data,s,Enrolled over the Counter,s,0.16216216216216217
105,No Data,No Data,127,No Data,s,All Students,89,0.04740406320541761
s,No Data,No Data,15,No Data,s,Enrolled over the Counter,s,s
11,s,6,18,s,s,English Language Learners,6,s
36,s,s,100,s,s,English Language Learners,67,s
s,No Data,No Data,7,No Data,No Data,Enrolled over the Counter,No Data,s
173,No Data,No Data,119,No Data,s,All Students,153,0.033625730994152045
No Data,s,s,No Data,s,No Data,English Language Learners,No Data,s
7,s,7,14,s,s,English Language Learners,13,s
s,s,s,s,s,s,English Language Learners,s,s
114,No Data,No Data,118,No Data,0.5784313725490197,All Students,67,0.30112359550561796
6,No Data,No Data,10,No Data,s,Enrolled over the Counter,s,s
s,No Data,No Data,7,No Data,No Data,Enrolled over the Counter,No Data,s
14,No Data,No Data,16,No Data,s,Reside in temporary housing,6,s
10,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
14,No Data,No Data,17,No Data,s,Students with Disabilities,16,s
No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,s
s,s,s,6,s,s,English Language Learners,s,s
s,s,s,s,s,s,English Language Learners,6,s
86,No Data,No Data,88,No Data,s,All Students,38,s
9,s,s,12,s,s,English Language Learners,16,s
s,s,s,8,s,s,English Language Learners,s,s
52,No Data,No Data,39,No Data,s,All Students,41,0.06451612903225806
No Data,s,s,No Data,s,s,English Language Learners,s,s
s,No Data,No Data,20,No Data,No Data,Students with Disabilities,No Data,s
s,No Data,No Data,12,No Data,No Data,Students with Disabilities,No Data,s
s,No Data,No Data,s,No Data,No Data,Students with Disabilities,No Data,s
85,No Data,No Data,113,No Data,s,Poverty,86,s
s,No Data,No Data,s,No Data,s,Enrolled over the Counter,7,s
86,No Data,No Data,147,No Data,s,Poverty,35,s
s,No Data,No Data,9,No Data,s,Enrolled over the Counter,s,s
6,s,s,6,s,s,English Language Learners,16,s
s,No Data,No Data,7,No Data,s,Reside in temporary housing,s,s
236,No Data,No Data,267,No Data,0.18823529411764706,Poverty,330,0.016142735768903994
77,No Data,No Data,176,No Data,No Data,Enrolled over the Counter,No Data,s
82,No Data,No Data,79,No Data,s,All Students,50,s
s,No Data,No Data,8,No Data,s,Reside in temporary housing,7,s
46,No Data,No Data,63,No Data,s,All Students,35,s
No Data,No Data,No Data,s,No Data,s,Reside in temporary housing,s,s
55,No Data,No Data,58,No Data,No Data,Poverty,No Data,s
No Data,No Data,No Data,67,No Data,s,Poverty,87,s
32,s,s,64,s,s,English Language Learners,35,s
s,s,s,31,s,s,English Language Learners,29,s
82,No Data,No Data,79,No Data,s,Poverty,50,s
18,No Data,No Data,18,No Data,s,Students with Disabilities,13,0.38095238095238093
s,No Data,No Data,10,No Data,s,Enrolled over the Counter,No Data,s
76,No Data,No Data,85,No Data,s,Poverty,73,0.018018018018018018
s,No Data,No Data,198,No Data,No Data,Enrolled over the Counter,No Data,0.07093821510297482
s,No Data,No Data,s,No Data,No Data,Students with Disabilities,No Data,s
s,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
21,No Data,No Data,32,No Data,s,Students with Disabilities,22,s
s,No Data,No Data,21,No Data,s,Enrolled over the Counter,s,s
10,s,s,20,s,s,English Language Learners,9,s
90,No Data,No Data,167,No Data,s,Poverty,124,0.024299065420560748
106,No Data,No Data,116,No Data,0.5,All Students,74,0.31072210065645517
190,No Data,No Data,216,No Data,No Data,All Students,No Data,0.014184397163120567
71,No Data,No Data,105,No Data,s,All Students,58,0.03003003003003003
291,No Data,No Data,321,No Data,0.44841269841269843,All Students,123,0.5267993874425727
12,No Data,No Data,23,No Data,s,Poverty,14,s
s,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
No Data,s,s,s,s,s,English Language Learners,s,s
s,s,s,s,s,s,English Language Learners,s,s
s,No Data,No Data,s,No Data,No Data,Poverty,No Data,s
6,s,s,s,s,s,English Language Learners,7,s
29,No Data,No Data,27,No Data,s,Students with Disabilities,26,s
s,No Data,No Data,s,No Data,No Data,Students with Disabilities,No Data,s
s,s,s,s,s,s,English Language Learners,s,s
119,No Data,No Data,129,No Data,s,Poverty,100,0.01968503937007874
s,s,s,s,s,No Data,English Language Learners,No Data,s
s,No Data,No Data,6,No Data,s,Reside in temporary housing,13,s
22,No Data,No Data,20,No Data,s,Students with Disabilities,20,s
34,No Data,No Data,76,No Data,s,All Students,53,s
s,No Data,No Data,s,No Data,No Data,Enrolled over the Counter,No Data,s
103,No Data,No Data,112,No Data,s,All Students,92,0.04491725768321513
47,No Data,No Data,57,No Data,s,Students with Disabilities,61,s
s,s,s,s,s,s,English Language Learners,6,s
10,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
No Data,No Data,No Data,s,No Data,s,Enrolled over the Counter,s,s
14,No Data,No Data,24,No Data,s,Students with Disabilities,11,s
221,No Data,No Data,245,No Data,0.15639810426540285,All Students,206,0.10622710622710622
46,No Data,No Data,53,No Data,No Data,All Students,No Data,0.037267080745341616
375,No Data,No Data,483,No Data,0.27790973871733965,All Students,333,0.07411764705882352
No Data,No Data,No Data,No Data,No Data,No Data,Enrolled over the Counter,No Data,s
No Data,s,s,No Data,s,No Data,English Language Learners,s,s
No Data,No Data,No Data,6,No Data,No Data,Enrolled over the Counter,No Data,s
80,No Data,No Data,107,No Data,s,Poverty,72,0.03038674033149171
123,s,6,158,s,No Data,English Language Learners,No Data,s
109,No Data,No Data,153,No Data,s,All Students,99,s
15,No Data,No Data,10,No Data,No Data,All Students,No Data,s
23,No Data,No Data,29,No Data,s,Students with Disabilities,23,0.0594059405940594
