system_code,beds,highschool_network_location,location_type_description,principal_phone_number,managed_by_name,state_code,census_tract,x_coordinate
22K585,331800011585,,General Academic,718-968-4200,DOE,NY,95000,1007361
15K094,331500010094,,General Academic,718-435-6034,DOE,NY,9800,981809
03M199,310300010199,,General Academic,212-799-1033,DOE,NY,15500,988564
19K639,331900011639,HS05,General Academic,718-235-3592,DOE,NY,118000,1020493
15K749,331500011749,,General Academic,,DOE,NY,3900,989844
03M241,310300010241,,General Academic,212-678-2898,DOE,NY,21600,996547
32K123,333200010123,,General Academic,718-821-4810,DOE,NY,44500,1005769
23K522,332300010522,,General Academic,718-485-5240,DOE,NY,30100,1007797
18K576,331800011576,HS06,General Academic,718-968-1530,DOE,NY,95000,1007307
13K419,331300011419,HS05,General Academic,718-243-9413,DOE,NY,1500,988540
06M176,310600010176,,General Academic,212-569-0290,DOE,NY,29100,1005285
75K373,307500013373,,Special Education,718-782-6800,DOE,NY,25700,999442
17K375,331700010375,,General Academic,718-693-6655,DOE,NY,32500,995490
84K879,331300861077,,General Academic,,Charter,NY,227,996223
75K370,307500013370,,Special Education,718-372-3777,DOE,NY,35602,992619
17K138,331700010138,,General Academic,718-467-0800,DOE,NY,31701,997687
02M413,310200010413,HS12,General Academic,212-475-8086,DOE,NY,6800,988317
21K281,332100010281,,General Academic,718-996-6706,DOE,NY,30400,986037
84K784,333200861045,,General Academic,347-471-2690,Charter,NY,41500,1007777
02M003,310200010003,,General Academic,212-691-1183,DOE,NY,7300,982601
79K580,307900013580,,Alternative,718-636-5770,DOE,NY,24900,998907
16K455,331600011455,HS05,General Academic,718-467-1700,DOE,NY,27100,1003221
02M150,310200010150,,General Academic,212-732-4392,DOE,NY,3900,981234
32K384,333200010384,,General Academic,718-642-4890,DOE,NY,40900,1010680
14K577,331400010577,,General Academic,718-486-6211,DOE,NY,51900,996087
04M155,310400010155,,General Academic,212-860-5885,DOE,NY,18800,1001999
14K297,331400010297,,General Academic,718-388-4581,DOE,NY,25700,998623
15K321,331500010321,,General Academic,718-499-2412,DOE,NY,15500,990177
21K572,332100011572,HS12,General Academic,718-333-7700,DOE,NY,30600,988051
22K195,332200010195,,General Academic,718-648-9102,DOE,NY,62000,999945
13K674,331300011674,HS03,Career Technical,718-875-1473,DOE,NY,1300,988103
19K013,331900010013,,General Academic,718-498-3717,DOE,NY,112600,1013844
19K662,331900010662,,General Academic,718-647-1301,DOE,NY,117000,1016367
16K026,331600010026,,General Academic,718-919-5707,DOE,NY,29100,1003152
17K722,331700010722,,General Academic,718-467-4501,DOE,NY,87600,1001919
03M247,310300010247,,General Academic,212-496-1050,DOE,NY,16100,990453
75K004,307500013004,,Special Education,929-275-3937,DOE,NY,107800,1017745
17K241,331700010241,,General Academic,718-636-4725,DOE,NY,21300,995090
02M089,310200010089,,General Academic,212-571-5659,DOE,NY,31703,980378
84M170,310200861043,,General Academic,646-790-2153,Charter,NY,12700,986932
84K367,331400861007,,General Academic,718-635-3294,Charter,NY,25700,998792
22K197,332200010197,,General Academic,718-377-7890,DOE,NY,54600,997744
18K566,331800011566,HS06,General Academic,718-968-4200,DOE,NY,95000,1007307
15K169,331500010169,,General Academic,718-853-3224,DOE,NY,9200,983778
03M163,310300010163,,General Academic,212-678-2854,DOE,NY,18500,992980
75M162,307500011162,,Special Education,212-410-5202,DOE,NY,19000,999002
03M307,310300011307,HS03,General Academic,212-501-1110,DOE,NY,15100,988236
13K596,331300010596,,General Academic,718-230-3273,DOE,NY,23500,995847
19K149,331900010149,,General Academic,718-688-7620,DOE,NY,115800,1013999
05M362,310500011362,,General Academic,212-666-1278,DOE,NY,20901,996507
17K012,331700010012,,General Academic,718-953-4569,DOE,NY,36300,1006415
15K027,331500010027,,General Academic,718-330-9285,DOE,NY,5900,982821
01M034,310100010034,,General Academic,212-228-4433,DOE,NY,2800,991163
20K102,332000010102,,General Academic,718-748-7404,DOE,NY,6800,976268
16K534,331600010534,,General Academic,718-574-6032,DOE,NY,28100,1000681
19K678,331900010678,,General Academic,718-257-4061,DOE,NY,116400,1017780
03M180,310300010180,,General Academic,212-678-2849,DOE,NY,25700,996469
75K369,307500013369,,Special Education,718-852-1701,DOE,NY,4100,988878
75K368,307500013368,,Special Education,718-388-9494,DOE,NY,25700,998792
21K225,332100010225,,General Academic,718-743-9793,DOE,NY,61004,996512
17K354,331700010354,,General Academic,718-774-0362,DOE,NY,34300,1001559
22K361,332200010361,,General Academic,718-941-2800,DOE,NY,78800,998773
21K468,332100011468,HS03,General Academic,718-333-7850,DOE,NY,30600,988051
21K525,332100011525,HS06,General Academic,718-258-9283,DOE,NY,76800,995593
03M402,310300011402,HS03,Career Technical,212-787-1189,DOE,NY,16900,991316
17K459,331700011459,,General Academic,718-564-2451,DOE,NY,79400,995768
21K188,332100010188,,General Academic,718-265-7580,DOE,NY,32800,984114
04M083,310400010083,,General Academic,212-860-5847,DOE,NY,18000,1000322
32K106,333200010106,,General Academic,718-574-0261,DOE,NY,41500,1008271
23K392,332300010392,,General Academic,718-498-2491,DOE,NY,90000,1007032
03M145,310300010145,,General Academic,212-678-2857,DOE,NY,18900,993771
17K543,331700011543,HS03,General Academic,718-564-2540,DOE,NY,79400,996134
06M223,310600010223,,General Academic,212-281-5028,DOE,NY,21703,997732
22K405,332200011405,HS06,General Academic,718-724-8500,DOE,NY,77200,997474
06M178,310600010178,,General Academic,212-569-0327,DOE,NY,28300,1004083
84K486,331500861016,,Transfer School,347-505-9101,Charter,NY,26100,999199
13K056,331300010056,,General Academic,718-857-3149,DOE,NY,23100,995195
17K544,331700011544,HS06,General Academic,718-467-7400,DOE,NY,81000,999832
22K889,332200010889,,General Academic,929-397-9171,DOE,NY,49200,992295
84K769,331900860972,,General Academic,718-495-5620,Charter,NY,113400,1012477
13K412,331300011412,HS05,General Academic,718-230-5748,DOE,NY,23500,995847
84K792,331800860988,,General Academic,718-683-3300,Charter,NY,92200,1009683
32K549,333200011549,HS05,General Academic,718-381-7100,DOE,NY,43500,1008721
22K453,332200011453,,General Academic,,DOE,NY,62600,1001848
18K066,331800010066,,General Academic,718-922-3505,DOE,NY,97000,1010039
02M276,310200010276,,General Academic,212-266-5800,DOE,NY,31704,979410
04M182,310400010182,,General Academic,212-860-6031,DOE,NY,18000,1000322
16K308,331600010308,,General Academic,718-571-6960,DOE,NY,29300,1002135
32K274,333200010274,,General Academic,718-642-5300,DOE,NY,39300,1004166
19K583,331900011583,HS05,General Academic,718-827-2796,DOE,NY,118000,1020493
23K327,332300010327,,General Academic,718-495-7801,DOE,NY,92400,1008721
23K332,332300010332,,General Academic,718-495-7805,DOE,NY,90800,1010320
17K091,331700010091,,General Academic,718-756-0243,DOE,NY,80600,1000700
02M308,310200011308,HS04,General Academic,212-505-0143,DOE,NY,1800,987208
84K733,333200861059,,General Academic,718-282-7426,Charter,NY,43300,1007760
17K092,331700010092,,General Academic,718-462-2087,DOE,NY,80200,997066
84K703,331400860825,,General Academic,718-388-8847,Charter,NY,123700,995342
06M346,310600011346,HS07,General Academic,212-342-6600,DOE,NY,24100,1000218
21K101,332100010101,,General Academic,718-372-0221,DOE,NY,30200,986482
14K110,331400010110,,General Academic,718-383-7600,DOE,NY,59100,1000347
14K196,331400010196,,General Academic,718-497-0139,DOE,NY,48500,1001055
19K760,331900010760,,General Academic,718-235-1785,DOE,NY,118400,1020461
84M382,310400860919,,General Academic,212-722-0232,Charter,NY,16400,999452
02M397,310200010397,,General Academic,212-266-4800,DOE,NY,1501,982855
23K323,332300010323,,General Academic,718-495-7781,DOE,NY,92400,1008863
06M293,310600011293,HS03,General Academic,212-567-3164,DOE,NY,28500,1003590
21K121,332100010121,,General Academic,718-377-8845,DOE,NY,46400,990226
18K642,331800011642,HS06,General Academic,718-290-8720,DOE,NY,99000,1012391
15K684,331500011684,HS05,General Academic,718-832-4333,DOE,NY,15500,990192
15K015,331500010015,,General Academic,718-330-9280,DOE,NY,5300,980959
84M357,310500861088,,General Academic,929-394-1347,Charter,NY,21303,997202
84K756,331700861040,,General Academic,646-790-2121,Charter,NY,31701,997687
84K730,331500860953,,General Academic,718-875-1403,Charter,NY,5900,982821
06M348,310600011348,HS12,General Academic,212-781-0524,DOE,NY,26900,1003342
20K180,332000010180,,General Academic,718-851-8070,DOE,NY,47000,987234
06M028,310600010028,,General Academic,212-690-3014,DOE,NY,23900,1000294
23K041,332300010041,,General Academic,718-495-7732,DOE,NY,91800,1010073
15K529,331500011529,HS10,Transfer School,718-686-1444,DOE,NY,11000,986428
84M203,310600861074,,General Academic,212-534-9667,Charter,NY,27100,1002821
05M125,310500010125,,General Academic,212-666-6400,DOE,NY,20901,996507
21K212,332100010212,,General Academic,718-266-4841,DOE,NY,31400,988314
84M265,310600861073,,General Academic,646-558-0027,Charter,NY,27300,1002079
19K661,331900010661,,General Academic,718-647-0913,DOE,NY,117000,1016367
16K628,331600010628,,General Academic,718-573-2307,DOE,NY,27300,1002031
18K068,331800010068,,General Academic,718-241-4800,DOE,NY,95600,1008892
13K336,331300011336,HS01,General Academic,718-783-4842,DOE,NY,26900,999338
14K434,331400011434,,General Academic,,DOE,NY,51700,997187
84K752,331300861039,,General Academic,646-790-2137,Charter,NY,21100,990876
05M304,310500011304,HS04,General Academic,212-694-6020,DOE,NY,22102,998878
84K692,331700861037,,General Academic,718-221-5095,Charter,NY,35500,1002074
84K333,331700861027,,General Academic,718-989-6702,Charter,NY,30500,995319
02M151,310200010151,,General Academic,212-722-5240,DOE,NY,14402,998849
15K464,331500011464,HS05,General Academic,718-832-4300,DOE,NY,15500,990192
15K516,331500010516,,General Academic,718-369-8330,DOE,NY,8200,981864
15K698,331500011698,HS10,Transfer School,718-237-8902,DOE,NY,5300,980298
84M284,310500860864,,General Academic,212-360-3232,Charter,NY,22400,998600
06M152,310600010152,,General Academic,212-567-5456,DOE,NY,28300,1004283
18K569,331800011569,HS12,General Academic,718-629-1204,DOE,NY,93600,1005836
06M325,310600010325,,General Academic,212-234-1335,DOE,NY,22301,997529
02M198,310200010198,,General Academic,212-289-3702,DOE,NY,15801,997980
84M168,310400861046,,General Academic,212-348-2518,Charter,NY,17401,998513
17K249,331700010249,,General Academic,718-282-8828,DOE,NY,50600,993558
03M044,310300010044,,General Academic,917-441-1163,DOE,NY,16100,990453
04M007,310400010007,,General Academic,212-860-5827,DOE,NY,19600,1001035
84M388,310500860928,,General Academic,212-283-1204,Charter,NY,22600,999242
20K223,332000010223,,General Academic,718-438-0155,DOE,NY,23000,989128
17K600,331700011600,HS06,Career Technical,718-636-4900,DOE,NY,21300,995155
32K551,333200011551,HS01,Career Technical,718-381-7100,DOE,NY,43500,1008721
20K048,332000010048,,General Academic,718-232-3873,DOE,NY,24400,987813
15K530,331500011530,,General Academic,718-222-6200,DOE,NY,3900,989844
21K099,332100010099,,General Academic,718-338-9201,DOE,NY,45400,993680
20K503,332000010503,,General Academic,718-439-5962,DOE,NY,7400,978894
22K555,332200011555,HS03,General Academic,718-853-6184,DOE,NY,50400,991933
21K153,332100010153,,General Academic,718-375-4484,DOE,NY,55600,995350
16K669,331600011669,HS10,Transfer School,718-804-6800,DOE,NY,27100,1003221
84K360,331600861003,,General Academic,718-221-1064,Charter,NY,30900,1002254
14K640,331400011640,,Career Technical,718-486-2500,DOE,NY,51900,996793
06M192,310600010192,,General Academic,212-775-9560,DOE,NY,22301,997529
20K264,332000010264,,General Academic,718-630-1650,DOE,NY,6000,976076
84K758,331500861011,,General Academic,718-280-9556,Charter,NY,150200,989071
18K635,331800011635,HS10,Transfer School,718-272-1926,DOE,NY,974,1012387
