dc_id,legalname,bin,permitnumber,avgcriticalviolationrate,maximumcapacity,childcaretype,violationstatus,criticalviolationrate,permitexp
DC39853,WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER,3141674,105309.0,18.9541,165,Child Care - Pre School,,0.0,2023-03-31T00:00:00.000
DC16968,HEARTSHARE HUMAN SERVICES OF NEW YORK,3336446,7860.0,18.9541,212,Child Care - Pre School,CORRECTED,25.0,2024-03-24T00:00:00.000
DC22469,BEGINNINGS NURSERY SCHOOL,1017811,9240.0,18.9541,74,Child Care - Pre School,CORRECTED,20.0,2023-11-30T00:00:00.000
DC2128,JACKSON CHILD DEVELOPMENT CENTER,4595432,6093.0,18.9541,131,Child Care - Pre School,CORRECTED,20.0,2024-02-05T00:00:00.000
DC39735,STEPPING STONES 86 LLC,3153095,105176.0,21.8553,0,Camp,,0.0,2023-09-15T00:00:00.000
DC1131,"BOOKS & RATTLES, INC.",4056772,6659.0,18.9541,132,Child Care - Pre School,OPEN,50.0,2023-05-11T00:00:00.000
DC15139,"A TO Z CENTER TOO, INC.",4231222,7605.0,18.9541,170,Child Care - Pre School,CORRECTED,25.0,2024-06-21T00:00:00.000
DC32654,UNITED LUBAVITCHER YESIVOTH,3170485,,35.2291,0,School Based Child Care,CORRECTED,0.0,2115-01-23T00:00:00.000
DC14482,PROSPECT PARK YESHIVA,3000000,,35.2291,0,School Based Child Care,OPEN,0.0,2115-01-23T00:00:00.000
DC25364,"CHABAD OF GRAMERCY PARK, INC.",1019603,73021.0,18.9541,54,Child Care - Pre School,CORRECTED,16.6667,2024-09-05T00:00:00.000
DC34716,WE R EXPLORERS LLC,5048033,104014.0,18.9541,59,Child Care - Pre School,,0.0,2025-05-11T00:00:00.000
DC1169,ASSOCIATION TO BENEFIT CHILDREN,1050057,4186.0,18.9541,55,Child Care - Pre School,CORRECTED,50.0,2023-09-10T00:00:00.000
DC374,"NORTHEAST BRONX DAY CARE CENTER, INC.",2094178,4142.0,18.9541,117,Child Care - Pre School,CORRECTED,66.6667,2024-04-03T00:00:00.000
DC37545,SHINING SMILES DAYCARE 1 INC,3000000,104940.0,18.9541,59,Child Care - Pre School,,33.3333,2023-07-09T00:00:00.000
DC35464,"BILINGUAL NEST, LLC",1055804,104232.0,18.9541,22,Child Care - Pre School,CORRECTED,16.6667,2023-09-14T00:00:00.000
DC282,ST. HELENA SCHOOL,2028943,,35.2291,0,School Based Child Care,CORRECTED,50.0,2117-06-04T00:00:00.000
DC2614,TUTOR TIME LEARNING CENTERS LLC,1087340,7193.0,15.3835,44,Child Care - Infants/Toddlers,,0.0,2023-11-13T00:00:00.000
DC19160,"NORTHEAST BRONX DAY CARE CENTER,INC.",2093518,7972.0,18.9541,60,Child Care - Pre School,CORRECTED,20.0,2024-12-01T00:00:00.000
DC41663,JHELC INC.,4049428,105811.0,18.9541,55,Child Care - Pre School,,0.0,2024-08-24T00:00:00.000
DC11994,"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",1084087,8104.0,18.9541,75,Child Care - Pre School,CORRECTED,20.0,2023-11-17T00:00:00.000
DC33188,"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",4182252,96197.0,18.9541,187,Child Care - Pre School,CORRECTED,0.0,2023-09-02T00:00:00.000
DC2451,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,4258993,4789.0,18.9541,97,Child Care - Pre School,CORRECTED,25.0,2024-07-16T00:00:00.000
DC14161,Sunshine Center of Coney Island LLC,3321834,7320.0,18.9541,53,Child Care - Pre School,,0.0,2024-12-20T00:00:00.000
DC40902,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,2126993,105621.0,18.9541,55,Child Care - Pre School,CORRECTED,66.6667,2024-04-29T00:00:00.000
DC12225,THE CHILD STUDY CENTER OF NEW YORK,5089719,5102.0,18.9541,142,Child Care - Pre School,,0.0,2023-04-25T00:00:00.000
DC35437,Kochavim Ktanim Child Care Inc,4192996,104526.0,18.9541,35,Child Care - Pre School,CORRECTED,50.0,2024-07-19T00:00:00.000
DC14339,"TUTOR TIME LEARNING CENTERS,LLC",1087340,7192.0,18.9541,58,Child Care - Pre School,,12.5,2024-03-25T00:00:00.000
DC36203,JOY DAYCARE INC.,4113039,104623.0,18.9541,89,Child Care - Pre School,,50.0,2024-10-17T00:00:00.000
DC2475,BROOKLYN ARCHDIOCESE,4119298,,35.2291,0,School Based Child Care,,66.6667,2115-01-23T00:00:00.000
DC36844,"BRIGHT START PT & PTA, PLLC",3204046,104544.0,18.9541,22,Child Care - Pre School,,25.0,2022-07-31T00:00:00.000
DC38870,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,1090264,105145.0,15.3835,54,Child Care - Infants/Toddlers,CORRECTED,14.2857,2024-02-18T00:00:00.000
DC37573,HGE FIC F LLC,1088481,104727.0,18.9541,135,Child Care - Pre School,,50.0,2023-02-05T00:00:00.000
DC34294,Friends of Crown Heights Educational Centers Inc,3094691,103757.0,18.9541,154,Child Care - Pre School,CORRECTED,16.6667,2024-08-05T00:00:00.000
DC39218,"UNITED CEREBRAL PALSY OF NEW YORK CITY, INC.",2011776,105234.0,18.9541,165,Child Care - Pre School,OPEN,60.0,2024-09-09T00:00:00.000
DC40208,"SHOLOM, SHOLOM INC.",4207889,105468.0,18.9541,88,Child Care - Pre School,CORRECTED,0.0,2023-08-16T00:00:00.000
DC19052,ADVENTURELAND CHILD CARE CENTER INC.,4008433,7968.0,15.3835,30,Child Care - Infants/Toddlers,CORRECTED,50.0,2024-12-03T00:00:00.000
DC23196,BUMBLEBEES-R-US INC,3120967,27057.0,15.3835,28,Child Care - Infants/Toddlers,,50.0,2022-11-13T00:00:00.000
DC1415,CATHOLIC SCHOOL REGION OF MANHATTAN-OUR LADY QUEEN OF MARTYRS SCHOOL,1064245,,35.2291,0,School Based Child Care,CORRECTED,33.3333,2115-11-23T00:00:00.000
DC33321,"MILLIE'S WORLD, INC.",4563314,104035.0,18.9541,36,Child Care - Pre School,CORRECTED,20.0,2023-06-05T00:00:00.000
DC31724,ASTORIA EARLY CHILDHOOD DEVELOPMENT CORP,4019111,103635.0,18.9541,68,Child Care - Pre School,CORRECTED,16.6667,2024-06-22T00:00:00.000
DC14237,"RISING GROUND, INC.",2021209,5963.0,,122,Child Care - Pre School,CORRECTED,,2023-09-19T00:00:00.000
DC39282,VIVVI 2 LLC,1001409,105233.0,18.9541,105,Child Care - Pre School,,0.0,2024-09-03T00:00:00.000
DC19328,"ONCE UPON A CHILD DAY CARE,LLC",4088248,8196.0,18.9541,29,Child Care - Pre School,OPEN,60.0,2024-09-10T00:00:00.000
DC36840,Oversea Chinese Mission,1002618,104425.0,21.8553,100,Camp,,0.0,2022-09-15T00:00:00.000
DC24492,CAMP MORAH SHIRA LLC,4144493,33933.0,21.8553,546,Camp,CORRECTED,66.6667,2022-09-15T00:00:00.000
DC14874,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,1005483,6822.0,15.3835,8,Child Care - Infants/Toddlers,,28.5714,2022-03-23T00:00:00.000
DC10977,THE CITY AND COUNTRY SCHOOL INC.,1010629,7002.0,18.9541,45,Child Care - Pre School,CORRECTED,14.2857,2020-11-30T00:00:00.000
DC1389,SACRED HEART SCHOOL,5106588,,35.2291,0,School Based Child Care,CORRECTED,100.0,2115-12-14T00:00:00.000
DC24966,"IMMANUEL NEW YORK MISSION, INC.",4169413,55697.0,18.9541,72,Child Care - Pre School,,40.0,2024-01-02T00:00:00.000
DC390,"ZION DAY CARE CENTER, INC",3138079,5692.0,18.9541,90,Child Care - Pre School,,25.0,2024-03-16T00:00:00.000
DC21649,BAMBI CHILD CARE 2 INC.,3413864,13878.0,15.3835,8,Child Care - Infants/Toddlers,,0.0,2024-01-24T00:00:00.000
DC36410,WORLDTOTS,3393312,104579.0,18.9541,58,Child Care - Pre School,,0.0,2024-08-30T00:00:00.000
DC24708,SCO FAMILY OF SERVICES,4041534,24177.0,18.9541,83,Child Care - Pre School,,16.6667,2024-10-05T00:00:00.000
DC23196,BUMBLEBEES-R-US INC,3120967,27057.0,15.3835,28,Child Care - Infants/Toddlers,,50.0,2022-11-13T00:00:00.000
DC32531,NEW YORK CITY MONTESSORI CHARTER SCHOOL,2101568,,35.2291,110,School Based Child Care,CORRECTED,66.6667,2115-01-23T00:00:00.000
DC25326,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",1045274,51198.0,18.9541,24,Child Care - Pre School,CORRECTED,25.0,2023-08-27T00:00:00.000
DC33401,"LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRESCHOOLERS, INC",2000000,99718.0,18.9541,39,Child Care - Pre School,CORRECTED,25.0,2023-11-10T00:00:00.000
DC32060,JEWISH INSTITUTE OF QUEENS PRESCHOOL,4152874,,35.2291,0,School Based Child Care,CORRECTED,100.0,1900-01-01T00:00:00.000
DC2263,BRIGHT HORIZONS CHILDREN'S CENTER LLC,1086204,7236.0,18.9541,30,Child Care - Pre School,CORRECTED,0.0,2022-08-31T00:00:00.000
DC25184,CATHERINE CORRY EARLY CHILDHOOD ACADEMY,2097444,,35.2291,0,School Based Child Care,CORRECTED,50.0,2116-06-09T00:00:00.000
DC15283,YELED V'YALDA EARLY CHILDHOOD CENTER INC,5043182,7088.0,18.9541,128,Child Care - Pre School,,0.0,2023-02-20T00:00:00.000
DC14111,EAST SIDE HOUSE SETTLEMENT,2097853,7400.0,18.9541,60,Child Care - Pre School,CORRECTED,100.0,2021-06-28T00:00:00.000
DC282,ST. HELENA SCHOOL,2028943,,35.2291,0,School Based Child Care,CORRECTED,50.0,2117-06-04T00:00:00.000
DC1397,THE CHURCH OF ST. PATRICK,5060448,,35.2291,0,School Based Child Care,CORRECTED,0.0,2117-08-29T00:00:00.000
DC40059,ALPHABET CITY CHILD CARE CENTER LLC,4615286,105390.0,15.3835,7,Child Care - Infants/Toddlers,,33.3333,2023-06-18T00:00:00.000
DC2283,"BLANCHE COMMUNITY  PROGRESS DAY CARE CENTER, INC.",4234212,6776.0,18.9541,114,Child Care - Pre School,CORRECTED,66.6667,2024-11-18T00:00:00.000
DC329,HAWTHORNE CORNERS DAY CARE CENTER INC.,3115676,4235.0,18.9541,55,Child Care - Pre School,CORRECTED,50.0,2024-04-03T00:00:00.000
DC22420,MAGIC KINGDOM LLC.,3102219,14118.0,18.9541,30,Child Care - Pre School,CORRECTED,100.0,2022-09-08T00:00:00.000
DC12233,"STRAWBERRY PATCH DAY CARE CENTER, INC.",3097353,7429.0,,18,Child Care - Infants/Toddlers,CORRECTED,,2023-05-30T00:00:00.000
DC37690,Faith Children First Academy,2017732,,35.2291,0,School Based Child Care,CORRECTED,100.0,1900-01-01T00:00:00.000
DC38173,BETH JACOB JEWISH EDUCATIONAL CENTER,4051133,104855.0,21.8553,0,Camp,OPEN,33.3333,2022-09-15T00:00:00.000
DC40910,Young Men's Christian Association of Greater New York,3120877,105817.0,18.9541,99,Child Care - Pre School,,0.0,2024-09-02T00:00:00.000
DC40234,FAIRYTALE DAY CARE INC.,4000000,105535.0,18.9541,121,Child Care - Pre School,CORRECTED,33.3333,2023-10-27T00:00:00.000
DC35632,"LITTLE SCHOALRS EARLY DEVELOPMENT CENTER, LLC",2129367,104829.0,18.9541,57,Child Care - Pre School,CORRECTED,60.0,2023-05-23T00:00:00.000
DC19048,"BWY, INC.",4036780,7939.0,18.9541,155,Child Care - Pre School,,33.3333,2024-10-08T00:00:00.000
DC2225,THE WASHINGTON MARKET SCHOOL,1001544,5879.0,18.9541,140,Child Care - Pre School,,0.0,2024-08-25T00:00:00.000
DC1263,"QUEENS COUNTY EDUCATORS FOR TOMORROW,INC",4233644,4008.0,18.9541,120,Child Care - Pre School,CORRECTED,75.0,2023-09-12T00:00:00.000
DC35516,Greater Flushing Community Council Inc,4124143,104184.0,18.9541,35,Child Care - Pre School,,16.6667,2023-07-28T00:00:00.000
DC2512,IMMACULATE CONCEPTION PRESCHOOL,4448808,,35.2291,19,School Based Child Care,CORRECTED,50.0,2115-01-23T00:00:00.000
DC17195,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES,INC.",3327068,7783.0,15.3835,38,Child Care - Infants/Toddlers,,33.3333,2023-07-24T00:00:00.000
DC32373,CONGREGATION RODEPH SCHOLEM K.J.,1081036,84297.0,18.9541,331,Child Care - Pre School,,20.0,2023-03-31T00:00:00.000
DC19535,OUR LADY OF MOUNT CARMEL SCHOOL,2011776,,35.2291,0,School Based Child Care,CORRECTED,50.0,2116-02-24T00:00:00.000
DC16968,HEARTSHARE HUMAN SERVICES OF NEW YORK,3336446,7860.0,18.9541,212,Child Care - Pre School,,25.0,2024-03-24T00:00:00.000
DC22420,MAGIC KINGDOM LLC.,3102219,14118.0,18.9541,30,Child Care - Pre School,CORRECTED,100.0,2022-09-08T00:00:00.000
DC36980,MetroKids Cradle (South End) Inc.,1077812,104666.0,18.9541,231,Child Care - Pre School,CORRECTED,25.0,2022-12-04T00:00:00.000
DC16776,"BRIGHT HORIZON'S CHILDRENS CENTERS, INC.",1063405,7680.0,15.3835,28,Child Care - Infants/Toddlers,,0.0,2022-02-01T00:00:00.000
DC26061,RONOMOZA INC.,3253634,52619.0,15.3835,38,Child Care - Infants/Toddlers,,0.0,2023-09-30T00:00:00.000
DC10905,MONA PREP DAY CARE INCORPORATED,4284726,7081.0,18.9541,135,Child Care - Pre School,,0.0,2025-01-26T00:00:00.000
DC2599,CORLEARS SCHOOL,1080380,,35.2291,85,School Based Child Care,OPEN,0.0,2117-05-04T00:00:00.000
DC38262,"Kids in the Game, LLC",1046979,104882.0,21.8553,100,Camp,CORRECTED,0.0,2022-09-15T00:00:00.000
DC35782,Rainbow Child Development Center Inc,4541408,104562.0,15.3835,8,Child Care - Infants/Toddlers,,14.2857,2024-08-24T00:00:00.000
DC40932,Brooklyn Bureau Community Services,3398227,105624.0,18.9541,64,Child Care - Pre School,CORRECTED,100.0,2024-05-04T00:00:00.000
DC22510,SALVE REGINA CATHOLIC ACADEMY,3327110,,35.2291,0,School Based Child Care,OPEN,0.0,2117-08-29T00:00:00.000
DC346,"NORTH BRONX NATIONAL COUNCIL OF NEGRO WOMEN CHILD DEVELOPMENT CENTER, INC.",2063070,4669.0,18.9541,157,Child Care - Pre School,,33.3333,2023-11-23T00:00:00.000
DC182,EAST SIDE HOUSE SETTLEMENT,2091101,2094.0,18.9541,80,Child Care - Pre School,,50.0,2024-11-10T00:00:00.000
DC39362,TREVOR DAY SCHOOL,1077191,,35.2291,0,School Based Child Care,CORRECTED,0.0,1900-01-01T00:00:00.000
DC23100,"BROOKLYN CHINESE-AMERICAN ASSOCIATION, INC.",3337411,55337.0,18.9541,176,Child Care - Pre School,,0.0,2023-12-18T00:00:00.000
DC12129,"TALMUD TORAH OF CROWN HEIGHTS, INC.",3236983,,35.2291,0,School Based Child Care,OPEN,100.0,2115-01-23T00:00:00.000
DC23296,YMCA OF GREATER NEW YORK,3120877,33688.0,21.8553,150,Camp,,0.0,2023-09-15T00:00:00.000
DC26061,RONOMOZA INC.,3253634,52619.0,15.3835,38,Child Care - Infants/Toddlers,,0.0,2023-09-30T00:00:00.000
DC35885,MONTESSORI ASSOCIATION OF NEW YORK,1081273,105245.0,18.9541,108,Child Care - Pre School,,0.0,2022-09-22T00:00:00.000
DC37603,"VIVVI 1, LLC",1002934,104927.0,18.9541,46,Child Care - Pre School,,0.0,2023-07-03T00:00:00.000
DC2646,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL FOUNDATION,1036450,4366.0,18.9541,80,Child Care - Pre School,CORRECTED,0.0,2024-09-14T00:00:00.000
DC21851,FRENCH INSTITUTE ALLIANCE FRANCAISE,1040761,22557.0,18.9541,30,Child Care - Pre School,CORRECTED,0.0,2024-09-14T00:00:00.000
DC19535,OUR LADY OF MOUNT CARMEL SCHOOL,2011776,,35.2291,0,School Based Child Care,CORRECTED,50.0,2116-02-24T00:00:00.000
DC15136,"UNITED BRONX PARENTS, INC.",2102378,7603.0,18.9541,28,Child Care - Pre School,,20.0,2024-06-10T00:00:00.000
DC37464,"MCCARTON FOUNDATION FOR DEVELOPMENTAL DISABILITIES, INC.",2120210,104631.0,18.9541,72,Child Care - Pre School,CORRECTED,25.0,2024-10-25T00:00:00.000
DC32157,PERRY KIDS INC.,1012047,73361.0,18.9541,29,Child Care - Pre School,CORRECTED,75.0,2022-09-15T00:00:00.000
DC38800,CRECHE LES ETOILES LLC,4012140,105322.0,18.9541,15,Child Care - Pre School,,40.0,2025-04-29T00:00:00.000
DC14302,THE FAMILY ANNEX INC.,1057013,4765.0,15.3835,11,Child Care - Infants/Toddlers,,0.0,2023-05-11T00:00:00.000
DC14237,"RISING GROUND, INC.",2021209,5963.0,,122,Child Care - Pre School,,,2023-09-19T00:00:00.000
DC33050,"ZMI FOUNDATION, INC.",4268900,90977.0,21.8553,100,Camp,OPEN,0.0,2022-09-15T00:00:00.000
DC24613,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",1061917,26441.0,18.9541,204,Child Care - Pre School,CORRECTED,25.0,2022-10-25T00:00:00.000
DC11238,"ST.THOMAS MOORE PLAY GROUP, INC.",1081254,5113.0,18.9541,70,Child Care - Pre School,,50.0,2022-11-04T00:00:00.000
DC31871,"HARLEM GROWN, INC",1057904,67421.0,21.8553,100,Camp,CORRECTED,0.0,2023-09-15T00:00:00.000
DC2548,THE CATHEDRAL SCHOOL,1044929,,35.2291,0,School Based Child Care,OPEN,50.0,2115-11-15T00:00:00.000
DC40221,Aleph Daycare Inc,3179572,105519.0,18.9541,105,Child Care - Pre School,,0.0,2023-09-30T00:00:00.000
DC16889,RENAISSANCE VILLAGE LLC.,1064369,7707.0,18.9541,29,Child Care - Pre School,CORRECTED,40.0,2023-02-02T00:00:00.000
DC24577,THE WILLIAM WOODWARD JR. NURSERY SCHOOL,1045818,53957.0,18.9541,45,Child Care - Pre School,,20.0,2023-11-07T00:00:00.000
DC11877,THE SALVATION ARMY,2115960,7304.0,18.9541,20,Child Care - Pre School,CORRECTED,40.0,2023-05-31T00:00:00.000
DC36736,CITY PRO GROUP INC.,2101482,104455.0,18.9541,38,Child Care - Pre School,CORRECTED,16.6667,2024-06-25T00:00:00.000
DC34597,"Birch Family Services, Inc.",2047304,103802.0,18.9541,92,Child Care - Pre School,,66.6667,2024-09-08T00:00:00.000
DC36468,The Little Learning Center Inc.,4096946,104545.0,18.9541,56,Child Care - Pre School,,50.0,2024-08-01T00:00:00.000
DC282,ST. HELENA SCHOOL,2028943,,35.2291,0,School Based Child Care,CORRECTED,50.0,2117-06-04T00:00:00.000
DC39958,YESHIVA TIFERES YISROEL,3208963,,35.2291,0,School Based Child Care,OPEN,100.0,1900-01-01T00:00:00.000
DC21986,"GIFTED AND TALENTED EARLY DEVELOPERS, LLC",3116477,85077.0,18.9541,47,Child Care - Pre School,CORRECTED,25.0,2023-04-13T00:00:00.000
DC39359,"YESHIVA OHR TORAH COMMUNITY SCHOOL, INC.'",1031012,105399.0,21.8553,100,Camp,CORRECTED,100.0,2022-09-15T00:00:00.000
DC18357,"KREATIVE KARE DAY CARE CENTER,INC.",3076117,7987.0,15.3835,18,Child Care - Infants/Toddlers,,14.2857,2025-01-15T00:00:00.000
DC35632,"LITTLE SCHOALRS EARLY DEVELOPMENT CENTER, LLC",2129367,104829.0,18.9541,57,Child Care - Pre School,,60.0,2023-05-23T00:00:00.000
DC21595,2495 BROADWAY CENTER LLC,1087656,10257.0,18.9541,132,Child Care - Pre School,CORRECTED,25.0,2023-11-10T00:00:00.000
DC19944,"IMAGINE EARLY LEARNING CENTERS,LLC.",3391222,8065.0,15.3835,19,Child Care - Infants/Toddlers,,0.0,2023-08-26T00:00:00.000
DC844,HIGHBRIDGE ADVISORY COUNCIL FAMILY SERVICES INC.,2116205,6683.0,,132,Child Care - Pre School,,,2023-12-02T00:00:00.000
DC22180,LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC,3343171,12617.0,18.9541,18,Child Care - Pre School,,0.0,2024-02-21T00:00:00.000
DC19535,OUR LADY OF MOUNT CARMEL SCHOOL,2011776,,35.2291,0,School Based Child Care,CORRECTED,50.0,2116-02-24T00:00:00.000
DC35571,MAGIC DAY CAMP,4438342,104016.0,21.8553,0,Camp,CORRECTED,66.6667,2023-09-15T00:00:00.000
DC40363,Brownstone Book @ Bam,3391508,105349.0,21.8553,0,Camp,,0.0,2023-09-15T00:00:00.000
DC22683,"LITTLE STARS THREE, INC.",2061698,18228.0,18.9541,46,Child Care - Pre School,,0.0,2024-06-22T00:00:00.000
DC33188,"PSYCHOTHERAPEUTIC EVALUATIONAL PROGRAMS, INC.",4182252,96197.0,18.9541,187,Child Care - Pre School,CORRECTED,0.0,2023-09-02T00:00:00.000
DC40779,PEOPLE'S DAY CARE CENTER,3394519,105523.0,35.2291,0,School Based Child Care,CORRECTED,100.0,1900-01-01T00:00:00.000
DC1263,"QUEENS COUNTY EDUCATORS FOR TOMORROW,INC",4233644,4008.0,18.9541,120,Child Care - Pre School,CORRECTED,75.0,2023-09-12T00:00:00.000
DC38800,CRECHE LES ETOILES LLC,4012140,105322.0,18.9541,15,Child Care - Pre School,CORRECTED,40.0,2025-04-29T00:00:00.000
DC41183,"Korean Church of Queens, Inc.",4023535,105704.0,21.8553,0,Camp,CORRECTED,100.0,2022-09-15T00:00:00.000
DC39056,"Purple Circle Day Care Center, Inc.",1056548,105563.0,15.3835,16,Child Care - Infants/Toddlers,,0.0,2023-12-17T00:00:00.000
DC39607,KinderCare Education LLC,1087867,105280.0,18.9541,74,Child Care - Pre School,,50.0,2025-01-11T00:00:00.000
DC2034,HIGHBRIDGE ADVISORY COUNCIL FAMILY SERVICES INC.,2001910,7381.0,,185,Child Care - Pre School,,,2023-06-29T00:00:00.000
DC22340,BLUE SCHOOL,1078980,,35.2291,0,School Based Child Care,CORRECTED,33.3333,2115-01-23T00:00:00.000
DC22109,ERL GROUP LLC,3183875,32577.0,15.3835,15,Child Care - Infants/Toddlers,,0.0,2025-02-14T00:00:00.000
DC2971,CHELSEA PIERS L.P.,1012256,7552.0,15.3835,17,Child Care - Infants/Toddlers,,0.0,2021-08-17T00:00:00.000
DC35311,"URBAN CONCEPTS OF NEW YORK, ROUND THE CLOCK NURSERY INC.",2011053,104211.0,15.3835,10,Child Care - Infants/Toddlers,,0.0,2023-08-16T00:00:00.000
DC21475,"TWO BY TWO CHILDCARE & CONSULTING, LLC",3397551,21777.0,15.3835,36,Child Care - Infants/Toddlers,,0.0,2024-08-31T00:00:00.000
DC1382,CATHOLIC SCHOOL REGION OF STATEN ISLAND-HOLY ROSARY SCHOOL,5047668,,35.2291,0,School Based Child Care,,50.0,2115-11-23T00:00:00.000
DC33082,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC",1088709,102097.0,18.9541,37,Child Care - Pre School,CORRECTED,0.0,2022-01-11T00:00:00.000
DC32714,BABY'S OF AMERICA INC.,4000394,103611.0,15.3835,36,Child Care - Infants/Toddlers,CORRECTED,0.0,2024-04-29T00:00:00.000
DC142,"SUNSET PARK HEALTH COUNCIL, INC.",3006144,4208.0,18.9541,60,Child Care - Pre School,,0.0,2023-12-21T00:00:00.000
DC1977,"LITTLE STARS TOO, INC.",2054002,7037.0,18.9541,69,Child Care - Pre School,,0.0,2024-09-03T00:00:00.000
DC33827,STEPS TO SUCCESS V LLC,3000000,103940.0,18.9541,219,Child Care - Pre School,,0.0,2025-02-10T00:00:00.000
DC23546,THE PRESBYTERIAN CHURCH OF ST. ALBANS,4272513,34594.0,,31,Camp,,,2019-09-15T00:00:00.000
DC16889,RENAISSANCE VILLAGE LLC.,1064369,7707.0,18.9541,29,Child Care - Pre School,CORRECTED,40.0,2023-02-02T00:00:00.000
DC12163,TALMUD TORAH IMREI CHAIM,3130270,,35.2291,0,School Based Child Care,OPEN,100.0,2115-01-23T00:00:00.000
DC37642,"WORLD OF WONDERS, INC.",3142894,105180.0,18.9541,16,Child Care - Pre School,,0.0,2024-07-16T00:00:00.000
DC14452,"UNION SETTLEMENT ASSOCIATION, INC.",1080693,7460.0,18.9541,60,Child Care - Pre School,CORRECTED,20.0,2023-09-26T00:00:00.000
