location_1,domestic_violence,none_of_the_above,aging,foundation,homelessness,bbl,:@computed_region_sbqj_enih,victim_services,outsideloc
"{'latitude': '40.728561', 'longitude': '-73.999939'}",N,N,N,N,N,1005390037.0,3.0,N,Y
,N,N,N,N,N,,,N,
"{'latitude': '40.748147', 'longitude': '-73.983889'}",N,N,N,N,N,1008630013.0,8.0,N,N
"{'latitude': '40.576703', 'longitude': '-73.984006'}",N,N,N,N,N,3070620005.0,35.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.74865', 'longitude': '-73.988317'}",Y,N,N,N,N,,8.0,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.702532', 'longitude': '-73.795578'}",N,N,N,N,N,4101040043.0,61.0,N,
"{'latitude': '40.653695', 'longitude': '-73.964022'}",Y,N,N,N,N,3050520027.0,43.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.741499', 'longitude': '-73.904485'}",N,N,N,N,N,4023140001.0,66.0,N,
"{'latitude': '40.847012', 'longitude': '-73.93704'}",N,N,Y,N,N,1021450051.0,21.0,Y,N
"{'latitude': '40.840657', 'longitude': '-73.85368'}",N,N,N,N,N,2039580010.0,26.0,N,
"{'latitude': '40.774106', 'longitude': '-73.95896'}",N,N,N,N,N,1014137503.0,11.0,N,N
"{'latitude': '40.861503', 'longitude': '-73.906077'}",N,N,N,N,N,2032180035.0,34.0,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.716539', 'longitude': '-74.0043'}",N,N,N,N,N,1001700001.0,2.0,N,N
,N,N,N,N,N,,,N,Y
"{'latitude': '40.695579', 'longitude': '-73.947375'}",N,N,Y,N,N,3017550032.0,51.0,N,N
"{'latitude': '40.863727', 'longitude': '-73.868431'}",N,N,N,N,N,2044280055.0,32.0,N,
"{'latitude': '40.86001', 'longitude': '-73.843064'}",N,N,N,N,N,2043930009.0,32.0,N,Y
"{'latitude': '40.747387', 'longitude': '-73.889629'}",N,N,N,N,N,4012870043.0,73.0,N,N
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,N
,N,N,N,N,N,,,N,Y
"{'latitude': '40.768513', 'longitude': '-73.911237'}",N,N,N,N,N,4006540059.0,72.0,N,
"{'latitude': '40.747837', 'longitude': '-73.990934'}",N,N,N,N,N,1008060009.0,8.0,N,Y
"{'latitude': '40.691903', 'longitude': '-73.835613'}",N,N,N,N,N,4093960001.0,60.0,N,N
"{'latitude': '40.745743', 'longitude': '-73.994435'}",N,N,N,N,N,1008010001.0,7.0,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.807482', 'longitude': '-73.946863'}",N,N,N,N,N,1019090020.0,18.0,N,
"{'latitude': '40.743386', 'longitude': '-73.993916'}",N,N,Y,N,N,1007990021.0,7.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.755237', 'longitude': '-73.992864'}",N,N,N,N,N,1007620011.0,8.0,N,N
,N,N,Y,N,N,,,N,
"{'latitude': '40.809673', 'longitude': '-73.954061'}",N,N,N,N,N,1019490058.0,18.0,N,N
"{'latitude': '40.808639', 'longitude': '-73.948582'}",N,N,N,N,N,1019300030.0,18.0,Y,N
,N,N,N,N,N,,,N,
"{'latitude': '40.72631', 'longitude': '-74.00749'}",N,N,N,N,N,1005970012.0,1.0,Y,Y
"{'latitude': '40.705371', 'longitude': '-74.008516'}",Y,N,N,N,N,1000280012.0,1.0,N,N
"{'latitude': '40.651419', 'longitude': '-73.881135'}",N,N,N,N,N,3044520085.0,47.0,N,N
"{'latitude': '40.708988', 'longitude': '-74.007654'}",N,N,N,N,N,1000780011.0,1.0,N,
"{'latitude': '40.70438', 'longitude': '-74.006427'}",Y,N,N,N,N,1000370001.0,1.0,N,Y
"{'latitude': '40.705199', 'longitude': '-73.799278'}",N,N,N,N,N,4097570023.0,61.0,N,N
"{'latitude': '40.70438', 'longitude': '-74.006427'}",N,N,N,N,N,1000370001.0,1.0,N,N
,N,N,Y,N,N,,,N,N
"{'latitude': '40.686918', 'longitude': '-73.973563'}",N,N,N,N,N,3021180011.0,55.0,N,
,Y,N,N,N,N,,,N,
,N,N,N,N,N,,,N,N
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.746817', 'longitude': '-73.993655'}",N,N,N,N,N,1008037502.0,7.0,Y,N
"{'latitude': '40.67061', 'longitude': '-73.985743'}",Y,N,N,N,N,3009930042.0,50.0,Y,N
"{'latitude': '40.725601', 'longitude': '-73.791694'}",N,N,N,N,N,4070210001.0,65.0,N,
"{'latitude': '40.715046', 'longitude': '-74.005591'}",N,N,N,N,N,1001500031.0,1.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.824482', 'longitude': '-73.949867'}",N,N,N,N,N,1020740047.0,19.0,N,N
"{'latitude': '40.74206', 'longitude': '-73.874254'}",N,N,N,N,N,4015860039.0,68.0,N,N
"{'latitude': '40.729354', 'longitude': '-73.842599'}",N,N,N,N,N,4022060006.0,70.0,N,N
"{'latitude': '40.619517', 'longitude': '-73.964188'}",N,N,Y,N,N,3065460011.0,39.0,N,N
"{'latitude': '40.753942', 'longitude': '-73.989829'}",N,N,N,N,N,1007870059.0,8.0,N,N
"{'latitude': '40.800885', 'longitude': '-73.937059'}",N,N,Y,N,N,1017860009.0,16.0,N,
"{'latitude': '40.750559', 'longitude': '-73.983708'}",N,N,N,N,N,1008380054.0,8.0,N,N
"{'latitude': '40.751946', 'longitude': '-73.990796'}",N,N,N,N,N,1007850029.0,8.0,N,N
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.752968', 'longitude': '-73.817419'}",N,N,N,N,N,4052030037.0,67.0,N,
"{'latitude': '40.815959', 'longitude': '-73.916354'}",N,N,N,N,N,2022940002.0,23.0,N,
"{'latitude': '40.745492', 'longitude': '-73.982515'}",N,N,N,N,N,1008610044.0,8.0,N,N
"{'latitude': '40.747818', 'longitude': '-73.943583'}",N,N,N,N,N,4065070030.0,66.0,N,N
"{'latitude': '40.854783', 'longitude': '-73.927909'}",N,N,Y,N,N,1021600001.0,22.0,N,
"{'latitude': '40.74789', 'longitude': '-73.991053'}",N,N,N,N,N,1008060006.0,8.0,N,N
"{'latitude': '40.744648', 'longitude': '-73.902723'}",N,N,N,N,N,4013367501.0,66.0,N,
"{'latitude': '40.754296', 'longitude': '-73.991944'}",N,N,N,N,N,1007610033.0,8.0,N,N
"{'latitude': '40.598162', 'longitude': '-74.083751'}",N,N,N,N,N,5032080001.0,76.0,N,Y
"{'latitude': '40.758888', 'longitude': '-73.974855'}",N,N,N,N,N,1012870014.0,10.0,N,
"{'latitude': '40.862705', 'longitude': '-73.896932'}",N,N,N,N,N,2031540001.0,34.0,Y,N
"{'latitude': '40.82148', 'longitude': '-73.891688'}",N,N,N,N,N,2027240186.0,24.0,N,
"{'latitude': '40.71725', 'longitude': '-73.803433'}",N,Y,N,N,N,4068580001.0,65.0,N,N
"{'latitude': '40.794482', 'longitude': '-73.933583'}",N,N,N,N,Y,1017090021.0,16.0,N,N
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.619341', 'longitude': '-73.955197'}",N,N,N,N,N,3067397501.0,43.0,N,N
,N,N,N,N,N,,,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.707605', 'longitude': '-74.00572'}",N,N,N,N,N,1000690032.0,1.0,N,Y
,N,N,N,N,N,,,N,
,N,N,Y,N,N,,,N,N
"{'latitude': '40.809488', 'longitude': '-73.945496'}",N,N,N,N,N,1019120012.0,20.0,N,N
"{'latitude': '40.739167', 'longitude': '-74.001119'}",N,N,N,N,N,1007640010.0,6.0,N,N
"{'latitude': '40.716015', 'longitude': '-74.004744'}",N,N,Y,N,Y,1001560050.0,2.0,N,Y
"{'latitude': '40.831157', 'longitude': '-73.920332'}",N,N,N,N,N,2024720023.0,27.0,N,
,N,N,N,N,N,,,N,Y
"{'latitude': '40.70627', 'longitude': '-74.012909'}",N,N,N,N,N,1000220020.0,1.0,N,N
"{'latitude': '40.74391', 'longitude': '-73.993104'}",N,N,Y,N,N,1008000025.0,7.0,Y,N
"{'latitude': '40.703658', 'longitude': '-73.989541'}",N,N,N,N,N,3000280005.0,54.0,Y,
"{'latitude': '40.690074', 'longitude': '-73.962747'}",N,N,N,N,N,3019210064.0,55.0,N,
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,Y,N
"{'latitude': '40.708935', 'longitude': '-73.959386'}",N,N,N,N,N,3021400021.0,56.0,N,N
"{'latitude': '40.706403', 'longitude': '-73.950356'}",N,N,N,N,N,3030580100.0,56.0,N,N
"{'latitude': '40.741828', 'longitude': '-73.907281'}",N,N,N,N,N,4023137501.0,66.0,N,
"{'latitude': '40.641028', 'longitude': '-74.003816'}",N,N,Y,N,N,3007940039.0,45.0,Y,N
"{'latitude': '40.888338', 'longitude': '-73.913486'}",N,N,N,N,N,2059180376.0,33.0,N,
"{'latitude': '40.705456', 'longitude': '-74.007794'}",N,N,N,N,N,1000390004.0,1.0,N,N
"{'latitude': '40.70438', 'longitude': '-74.006427'}",N,N,N,N,N,1000370001.0,1.0,N,Y
"{'latitude': '40.832923', 'longitude': '-73.901054'}",N,N,N,N,N,,25.0,N,
,N,N,Y,N,N,,,N,N
"{'latitude': '40.728496', 'longitude': '-73.9986'}",N,N,N,N,N,1005370029.0,3.0,N,
"{'latitude': '40.739644', 'longitude': '-73.989654'}",N,N,N,N,N,1008490070.0,7.0,N,
"{'latitude': '40.719206', 'longitude': '-73.985447'}",N,N,N,N,N,1003490033.0,4.0,N,N
"{'latitude': '40.573177', 'longitude': '-74.002509'}",N,N,Y,N,Y,3070650001.0,35.0,Y,N
"{'latitude': '40.719202', 'longitude': '-74.001591'}",N,N,N,N,N,1002090001.0,2.0,N,Y
"{'latitude': '40.682709', 'longitude': '-73.770707'}",N,N,Y,N,N,4123900112.0,71.0,N,
"{'latitude': '40.753941', 'longitude': '-73.857264'}",N,N,Y,N,N,4017780027.0,73.0,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.70627', 'longitude': '-74.012909'}",N,N,N,N,N,1000220020.0,1.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.748401', 'longitude': '-73.757802'}",N,N,N,N,N,4076100056.0,69.0,N,N
"{'latitude': '40.711549', 'longitude': '-73.986542'}",N,N,N,N,N,1002450007.0,4.0,N,
"{'latitude': '40.788204', 'longitude': '-73.972222'}",N,N,N,N,N,1012180042.0,15.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.796987', 'longitude': '-73.9616'}",N,N,N,N,N,1018390045.0,15.0,N,N
"{'latitude': '40.82062', 'longitude': '-73.893084'}",N,N,N,N,N,,24.0,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.693691', 'longitude': '-73.984786'}",N,N,N,N,N,3020580017.0,54.0,N,Y
"{'latitude': '40.822211', 'longitude': '-73.936399'}",N,N,N,N,N,1020160050.0,20.0,N,
"{'latitude': '40.735203', 'longitude': '-73.987898'}",N,N,N,N,N,1008710068.0,7.0,Y,Y
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.805258', 'longitude': '-73.938875'}",N,N,N,N,N,1017740001.0,16.0,N,N
"{'latitude': '40.772281', 'longitude': '-73.980363'}",N,N,N,N,N,1011180005.0,12.0,N,
"{'latitude': '40.804891', 'longitude': '-73.960498'}",Y,N,N,N,N,1018670009.0,17.0,Y,N
"{'latitude': '40.755802', 'longitude': '-73.988482'}",N,N,N,N,N,1010120015.0,8.0,N,N
,N,N,N,N,N,,,N,Y
"{'latitude': '40.725564', 'longitude': '-73.993488'}",N,N,N,N,N,1005210037.0,5.0,N,N
"{'latitude': '40.678948', 'longitude': '-73.982857'}",N,N,N,N,N,3004200045.0,50.0,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.823096', 'longitude': '-73.902991'}",N,N,N,N,N,2026390001.0,25.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.689834', 'longitude': '-73.904137'}",N,N,N,N,N,3034480015.0,53.0,N,N
"{'latitude': '40.875377', 'longitude': '-73.879498'}",N,N,N,N,N,2033420007.0,34.0,N,
"{'latitude': '40.749402', 'longitude': '-73.991775'}",N,N,N,N,N,1008070001.0,8.0,N,N
,N,N,N,N,N,,,N,Y
,N,N,N,N,N,,,N,
"{'latitude': '40.750009', 'longitude': '-73.991327'}",N,N,N,N,N,1008087501.0,8.0,N,N
"{'latitude': '40.63412', 'longitude': '-74.122617'}",N,N,N,N,N,5001980146.0,74.0,N,N
"{'latitude': '40.745457', 'longitude': '-73.987196'}",N,N,N,N,N,1008310030.0,8.0,N,
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.700432', 'longitude': '-73.961086'}",N,N,Y,N,N,3022160013.0,56.0,N,
,N,N,N,N,N,,,N,
,N,N,N,N,N,,,N,Y
,Y,N,N,N,N,,,N,Y
"{'latitude': '40.576497', 'longitude': '-73.986036'}",N,N,N,N,N,3070190046.0,35.0,N,N
"{'latitude': '40.75349', 'longitude': '-73.757957'}",N,N,N,N,N,4074900002.0,69.0,N,
"{'latitude': '40.579687', 'longitude': '-73.949471'}",N,N,N,N,N,3087360084.0,36.0,N,N
{''',N,N,N,N,N,3049730016.0,40.0,N,N
"{'latitude': '40.707671', 'longitude': '-74.005764'}",N,N,N,N,N,1000750030.0,1.0,N,N
,N,N,N,N,N,,,N,N
"{'latitude': '40.741214', 'longitude': '-73.990884'}",N,N,N,N,N,1008230029.0,7.0,N,N
"{'latitude': '40.751861', 'longitude': '-73.993716'}",N,N,Y,N,N,1007570031.0,8.0,N,
"tude': '40.74912', 'longitude': '",N,N,N,N,Y,1007510076.0,6.0,N,
"{'latitude': '40.721537', 'longitude': '-73.988737'}",N,N,N,N,N,1004170070.0,4.0,N,N
,N,N,N,N,N,,,N,Y
"{'latitude': '40.839569', 'longitude': '-73.889646'}",Y,N,N,N,N,2029570009.0,31.0,Y,N
"{'latitude': '40.684137', 'longitude': '-73.995053'}",N,N,N,N,N,3003260058.0,48.0,N,
"{'latitude': '40.713329', 'longitude': '-73.828601'}",N,N,N,N,N,4022740002.0,60.0,N,N
"{'latitude': '40.736351', 'longitude': '-74.009995'}",N,N,N,N,N,1006390001.0,3.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.704313', 'longitude': '-73.986587'}",N,N,N,N,N,3000190001.0,54.0,N,N
"{'latitude': '40.800187', 'longitude': '-73.946797'}",N,N,N,N,N,1016217501.0,16.0,N,
,N,N,N,N,N,,,N,N
"{'latitude': '40.640624', 'longitude': '-74.075704'}",N,N,N,N,N,5000050103.0,74.0,N,N
,N,N,N,N,N,,,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.746638', 'longitude': '-73.991963'}",Y,N,N,N,N,1008030067.0,7.0,Y,
"{'latitude': '40.750971', 'longitude': '-73.971361'}",Y,N,Y,N,N,1013367502.0,9.0,N,N
"{'latitude': '40.751374', 'longitude': '-73.981817'}",N,N,N,N,N,1008680008.0,8.0,N,N
,Y,N,N,N,N,,,Y,N
,Y,N,N,N,N,,,Y,Y
"{'latitude': '40.811566', 'longitude': '-73.946589'}",N,N,N,N,N,1019330026.0,20.0,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.683555', 'longitude': '-74.002708'}",N,N,N,N,N,3003420045.0,48.0,N,N
,N,N,N,N,N,,,N,
"{'latitude': '40.707605', 'longitude': '-74.00572'}",N,N,N,N,N,1000690032.0,1.0,N,N
"{'latitude': '40.627905', 'longitude': '-74.006708'}",N,N,N,N,N,3057580042.0,41.0,N,
"{'latitude': '40.68581', 'longitude': '-73.980385'}",N,N,Y,N,N,3001797503.0,54.0,N,
,N,N,N,N,N,,,N,Y
,N,N,N,N,N,,,N,
,N,N,N,N,Y,,,N,
,N,N,N,N,N,,,N,
"{'latitude': '40.744277', 'longitude': '-73.982522'}&",N,N,Y,N,N,1008850082.0,8.0,N,N
"{'latitude': '40.753574', 'longitude': '-73.998838'}",N,N,Y,N,N,1007299001.0,6.0,Y,N
"{'latitude': '40.735303', 'longitude': '-73.877474'}",N,N,N,N,N,4028520006.0,68.0,N,N
"{'latitude': '40.669991', 'longitude': '-73.925427'}",N,N,N,N,N,3013870007.0,49.0,N,N
"{'latitude': '40.764111', 'longitude': '-73.961803'}",N,N,N,N,N,1014197501.0,11.0,N,N
"{'latitude': '40.785838', 'longitude': '-73.970606'}",N,N,N,N,N,1012000019.0,15.0,N,N
"{'latitude': '40.697243', 'longitude': '-73.986217'}",Y,N,N,N,N,3001190055.0,54.0,N,
"{'latitude': '40.692769', 'longitude': '-73.960824'}",N,N,N,N,N,3019090053.0,55.0,N,
"{'latitude': '40.74882', 'longitude': '-73.989472'}",N,N,N,N,N,1008070028.0,8.0,N,
"{'latitude': '40.808291', 'longitude': '-73.945122'}",N,N,N,N,N,1019107501.0,18.0,N,N
,N,N,N,N,N,,,N,
