organizationname,location_1,census_tract,:@computed_region_92fq_4b7q,bin,queens,community_service_volunteerism,fax,business,nta,:@computed_region_f5dn_yrer,is_registered_with_the_attorney_general_s_office,:@computed_region_yeji_bk3q
American Cancer Society Bronx Region,"{'latitude': '40.86001', 'longitude': '-73.843064'}",312.0,12.0,2050824.0,N,N,7185475947.0,N,Allerton-Pelham Gardens                                                    ,59.0,N,5.0
"Inwood Community Services, Inc.","{'latitude': '40.866001', 'longitude': '-73.924777'}",291.0,39.0,1081917.0,N,N,2125679476.0,N,Marble Hill-Inwood                                                         ,47.0,N,4.0
TAPS (Tragedy Assistance Program for Survivors),,,,,Y,N,,N,,,N,
"NA'AMAT USA, New York Council",,,,,N,N,2122135597.0,N,,,N,
Manhattan Youth Recreation & Resources Center,"{'latitude': '40.71187', 'longitude': '-74.008217'}",21.0,32.0,1001241.0,N,N,,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,56.0,N,4.0
Henry Street Settlement Community Consultation Center,"{'latitude': '40.71288', 'longitude': '-73.985038'}",201.0,32.0,1083385.0,Y,N,2125714132.0,N,Lower East Side                                                            ,70.0,N,4.0
ew York Marxist School,"{'latitude': '40.736351', 'longitude': '-74.009995'}",79.0,10.0,1012047.0,N,N,,N,West Village                                                               ,57.0,N,4.0
Phipps Community Development Corporation,"{'latitude': '40.739279', 'longitude': '-73.989726'}",52.0,50.0,1016201.0,N,N,2123665108.0,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11.0,N,4.0
Wildcat Service Corporation,"{'latitude': '40.704884', 'longitude': '-74.015927'}",13.0,32.0,1082634.0,N,N,,Y,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
Cypress Hills Child Care Corporation,"{'latitude': '40.683212', 'longitude': '-73.873759'}",117602.0,37.0,3092218.0,N,N,7182350898.0,Y,Cypress Hills-City Line                                                    ,45.0,N,2.0
"Forestdale, Inc.","{'latitude': '40.729354', 'longitude': '-73.842599'}",747.0,28.0,4441126.0,Y,Y,,N,Forest Hills                                                               ,40.0,N,3.0
Barrier Free Living,"{'latitude': '40.720822', 'longitude': '-73.980602'}",2202.0,50.0,1004377.0,N,N,2122602309.0,N,Lower East Side                                                            ,70.0,N,4.0
Savvy Ladies,"{'latitude': '40.707671', 'longitude': '-74.005764'}",1502.0,32.0,1001167.0,N,Y,6462196799.0,Y,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
American Family Community Services,"{'latitude': '40.747387', 'longitude': '-73.889629'}",287.0,5.0,4439248.0,Y,N,7186398529.0,N,Jackson Heights                                                            ,65.0,N,3.0
Saint John's Episcopal Hospital,"{'latitude': '40.580046', 'longitude': '-73.836421'}",938.0,41.0,4303736.0,Y,N,,N,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,51.0,N,3.0
Policewomen's Endowment Association,"{'latitude': '40.627008', 'longitude': '-74.02364'}",136.0,44.0,3150391.0,N,N,,N,Bay Ridge                                                                  ,10.0,N,2.0
NARAL Pro-Choice New York,"{'latitude': '40.745492', 'longitude': '-73.982515'}",74.0,50.0,1080788.0,N,Y,2123430114.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Dominican Foundation CULTURARTE of New York,"{'latitude': '40.847052', 'longitude': '-73.933578'}",261.0,39.0,1079908.0,N,N,6464100904.0,N,Washington Heights South                                                   ,47.0,N,4.0
Sauti Yetu Center for African,,,,,Y,N,7186652483.0,N,,,N,
Staten Island Women's Bar Association (A chapter of the Women's Bar Association of the State of New York),"{'latitude': '40.612832', 'longitude': '-74.17516'}",29102.0,14.0,5133885.0,N,N,9733792437.0,N,New Springville-Bloomfield-Travis                                          ,30.0,N,1.0
Italian American Civil Rights League,"{'latitude': '40.646068', 'longitude': '-73.879786'}",105804.0,25.0,3340241.0,N,N,7186422857.0,N,Starrett City                                                              ,45.0,N,2.0
Children for Children,"{'latitude': '40.753979', 'longitude': '-73.979997'}",94.0,51.0,1035347.0,N,Y,2128504180.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Women's Executive Circle of New York,,,,,N,N,,N,,,N,
Cypress Hills Local Development Corporation,"{'latitude': '40.685981', 'longitude': '-73.880918'}",1180.0,37.0,3345672.0,N,N,,Y,park-cemetery-etc-Brooklyn                                                 ,45.0,N,2.0
St Francis Xavier Youth Program,"{'latitude': '40.674707', 'longitude': '-73.978445'}",157.0,27.0,3020356.0,N,N,,N,Park Slope-Gowanus                                                         ,14.0,N,2.0
"YM & YWHA of Washington Heights and Inwood, Inc.#","{'latitude': '40.859993', 'longitude': '-73.929129'}",285.0,39.0,1064146.0,N,N,2125675915.0,N,Washington Heights North                                                   ,47.0,N,4.0
National Organization of Italian-American Women,,,,,N,N,2124896130.0,N,,,N,
QHC-Diabetes Center,"{'latitude': '40.71725', 'longitude': '-73.803433'}",1267.0,24.0,4442431.0,Y,N,7188836310.0,N,Pomonok-Flushing Heights-Hillcrest                                         ,25.0,N,3.0
A.C.L.U. Women's Rights Project,,,,,N,N,2125492652.0,N,,,N,
Mt. Sinai School of Medicine,"{'latitude': '40.790443', 'longitude': '-73.953793'}",168.0,35.0,1083923.0,N,N,,N,East Harlem South                                                          ,7.0,N,4.0
Odyssey House of New York,"{'latitude': '40.800885', 'longitude': '-73.937059'}",194.0,35.0,1087442.0,N,N,,N,East Harlem North                                                          ,7.0,N,4.0
Audubon Partnership for Economic Development LDC,"{'latitude': '40.865037', 'longitude': '-73.919496'}",293.0,39.0,1064791.0,N,N,,Y,Marble Hill-Inwood                                                         ,47.0,N,4.0
New York City Mission Society,"{'latitude': '40.739265', 'longitude': '-73.986215'}",68.0,50.0,1018010.0,N,N,,N,Gramercy                                                                   ,11.0,N,4.0
Church lf the Holy Apostles,"{'latitude': '40.74912', 'longitude': '-73.999401'}",97.0,10.0,1013463.0,N,N,,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12.0,N,4.0
African Services Committee,"{'latitude': '40.813002', 'longitude': '-73.953849'}",21303.0,23.0,1084104.0,N,N,2122227067.0,N,Manhattanville                                                             ,37.0,N,4.0
Office of Citywide Health Insurance Access,,,,,Y,N,,N,,,N,
NYC TV,,,,,Y,N,,N,,,N,
Ms. Foundation for Women,"{'latitude': '40.70438', 'longitude': '-74.006427'}",7.0,32.0,1000871.0,N,N,,Y,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
Council of Aid for Central Asian Jews - After school service/Summer Day Camp,"{'latitude': '40.718918', 'longitude': '-73.834413'}",75701.0,28.0,4052771.0,Y,N,7185201275.0,N,Forest Hills                                                               ,40.0,N,3.0
Sexual Compulsives Anonymous New York,,,,,N,N,,N,,,N,
Children's Safety Project,,,,,N,N,2129241091.0,N,,,N,
Women's City Club of New York,"{'latitude': '40.746869', 'longitude': '-73.993616'}",95.0,10.0,1015061.0,N,Y,2122284665.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
SCO Family of Services,,,,,Y,N,5166712899.0,N,,,N,
Asian American Arts Alliance,"{'latitude': '40.725248', 'longitude': '-74.004412'}",37.0,10.0,1007385.0,N,N,,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,57.0,N,4.0
Ryer Avenue Housing Development Fund Corporation,"{'latitude': '40.859583', 'longitude': '-73.89796'}",23702.0,22.0,2013579.0,N,N,7183290101.0,N,Bedford Park-Fordham North                                                 ,6.0,N,5.0
Trinity Lutheran Church,"{'latitude': '40.796423', 'longitude': '-73.967972'}",185.0,23.0,1055907.0,N,N,2126639675.0,N,Upper West Side                                                            ,20.0,N,4.0
New York City Department of Transportation,"{'latitude': '40.717363', 'longitude': '-74.006897'}",33.0,32.0,1001622.0,N,N,2124421908.0,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,56.0,N,4.0
Iraq and Afghanistan Veterans of America,"{'latitude': '40.730842', 'longitude': '-73.991402'}",57.0,50.0,1008952.0,N,N,2129828645.0,N,West Village                                                               ,57.0,N,4.0
Fortune Society,"{'latitude': '40.742266', 'longitude': '-73.991252'}",58.0,10.0,1080679.0,N,N,,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11.0,N,4.0
Bronx EOC,"{'latitude': '40.840948', 'longitude': '-73.900334'}",167.0,42.0,2086675.0,N,N,7189011869.0,N,Claremont-Bathgate                                                         ,34.0,N,5.0
"Project Reach Youth, Inc.","{'latitude': '40.666966', 'longitude': '-73.990448'}",141.0,27.0,3023430.0,N,N,,N,Park Slope-Gowanus                                                         ,14.0,N,2.0
Empire State Pride Agenda,"{'latitude': '40.741214', 'longitude': '-73.990884'}",58.0,10.0,1015531.0,N,N,2126274136.0,N,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11.0,N,4.0
Queens Library HealthLink,,,,,Y,Y,,N,,,N,
Northern Manhattan Improvement Corporation,"{'latitude': '40.847012', 'longitude': '-73.93704'}",263.0,39.0,1063574.0,N,N,2127409646.0,N,Washington Heights South                                                   ,47.0,N,4.0
Black Veterans for Social Justice,,,,,N,N,7188524805.0,N,,,N,
The Girls & Boys Projects,"{'latitude': '40.728667', 'longitude': '-73.980308'}",34.0,50.0,1005225.0,N,N,,N,East Village                                                               ,70.0,N,4.0
CONNECT (LAP),"{'latitude': '40.74865', 'longitude': '-73.988317'}",76.0,10.0,,Y,N,2126830016.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Landmarks Preservation Commission,,,,,Y,N,,N,,,N,
Creative Alternatives of New York,"{'latitude': '40.796267', 'longitude': '-73.969586'}",187.0,23.0,1084035.0,N,N,,N,Upper West Side                                                            ,20.0,N,4.0
Queensbridge Day Care Center,,,,,Y,N,7183927928.0,N,,,N,
Korean American Family Service Center,,,,,Y,N,7184603965.0,N,,,N,
New York AIDS Coalition,,,,,N,N,2126298403.0,N,,,N,
"Young Athletes, Inc.","{'latitude': '40.741089', 'longitude': '-73.976836'}",70.0,50.0,1020616.0,N,N,,N,Murray Hill-Kips Bay                                                       ,71.0,N,4.0
Aviva Players Company Inc,"{'latitude': '40.785398', 'longitude': '-73.96927'}",173.0,19.0,1031408.0,N,N,,N,Upper West Side                                                            ,20.0,N,4.0
"Regional Aid For Interim Needs, Inc.(R.A.I.N.)","{'latitude': '40.846052', 'longitude': '-73.862177'}",232.0,12.0,2043661.0,N,N,,N,Van Nest-Morris Park-Westchester Square                                    ,59.0,N,5.0
Queensboro Council for Social Welfare,"{'latitude': '40.71974', 'longitude': '-73.73296'}",568.0,6.0,4231223.0,Y,N,,N,Queens Village                                                             ,63.0,N,3.0
Schervier Nursing Care Center,,,,,N,N,7184320744.0,N,,,N,
National Association of University Women,"{'latitude': '40.822211', 'longitude': '-73.936399'}",236.0,36.0,1079772.0,N,N,,N,Central Harlem North-Polo Grounds                                          ,18.0,N,4.0
Jewish Foundation for Education of Women,,,,,N,N,2127652675.0,N,,,N,
ction Projec,"{'latitude': '40.750559', 'longitude': '-73.983708'}",84.0,51.0,1015939.0,N,Y,2125949574.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
"United Community Day Care Center, Inc","{'latitude': '40.664728', 'longitude': '-73.886561'}",1124.0,25.0,3090717.0,N,N,,N,East New York                                                              ,45.0,N,2.0
Asian American Legal Defense and Education Fund,"{'latitude': '40.719133', 'longitude': '-74.008741'}",39.0,32.0,1075728.0,N,N,,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,56.0,N,4.0
"Immigrant Social Services, Inc.","{'latitude': '40.71333', 'longitude': '-73.990827'}",6.0,32.0,1003564.0,N,N,2125711848.0,N,Lower East Side                                                            ,70.0,N,4.0
Housing Works,": '40.692217', 'longitude':",11.0,38.0,3000338.0,N,N,,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,68.0,N,2.0
"Casita Maria, Inc.","{'latitude': '40.82062', 'longitude': '-73.893084'}",89.0,43.0,,N,N,,N,Hunts Point                                                                ,8.0,N,5.0
"T.O.P.S. FOR YOU, Inc.","{'latitude': '40.696527', 'longitude': '-73.909288'}",439.0,37.0,3077742.0,Y,N,7184567068.0,N,Bushwick North                                                             ,42.0,N,2.0
Juvenile Diabetes Foundation International: New York Chapter,"{'latitude': '40.744257', 'longitude': '-73.98341'}",74.0,50.0,1016934.0,N,N,,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Stepfamily Foundation,,,,,N,N,2123627030.0,N,,,N,
STEPS to End Family Violence,,,,,N,N,,N,,,N,
Girls Incorporated of New York City,"{'latitude': '40.705198', 'longitude': '-74.009648'}",7.0,32.0,1000832.0,Y,N,2125317622.0,Y,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
National Latina Institute for Reproductive Health,,,,,Y,N,2124222556.0,N,,,N,
Eviction Intervention Services,"{'latitude': '40.764111', 'longitude': '-73.961803'}",118.0,51.0,1043870.0,N,N,2128887140.0,N,Lenox Hill-Roosevelt Island                                                ,23.0,N,4.0
Korean American Senior Center of Corona,"{'latitude': '40.753941', 'longitude': '-73.857264'}",401.0,21.0,4430244.0,Y,N,7184786055.0,N,North Corona                                                               ,65.0,N,3.0
Mental Health Association of New York City,"{'latitude': '40.706449', 'longitude': '-74.012761'}",9.0,32.0,1000813.0,N,N,2125291959.0,N,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
Mercy Center,"{'latitude': '40.81384', 'longitude': '-73.920403'}",43.0,35.0,2115799.0,N,N,7184021594.0,N,Mott Haven-Port Morris                                                     ,49.0,N,5.0
Search and Care,,,,,N,N,,N,,,N,
"Arthur Ashe Institute for Urban Health, Inc","{'latitude': '40.655743', 'longitude': '-73.944598'}",816.0,11.0,3336186.0,N,N,,N,East Flatbush-Farragut                                                     ,61.0,N,2.0
East Harlem Tutorial Program,,,,,N,N,2122897967.0,N,,,N,
Grace Institute,"{'latitude': '40.764111', 'longitude': '-73.961803'}",118.0,51.0,1043870.0,N,N,2124862869.0,Y,Lenox Hill-Roosevelt Island                                                ,23.0,N,4.0
ernationa,"{'latitude': '40.744277', 'longitude': '-73.982522'}&",72.0,50.0,1018288.0,N,N,,N,Murray Hill-Kips Bay                                                       ,11.0,N,4.0
Institute for Human Identity,,,,,N,N,2122433175.0,N,,,N,
st Hills Volunteer Am,,,,,Y,Y,,N,,,N,
New Era Veterans,"{'latitude': '40.829031', 'longitude': '-73.8676'}",70.0,31.0,2088552.0,N,N,7189047001.0,N,Soundview-Bruckner                                                         ,58.0,N,5.0
"Jewish Community Center of Staten Island, Inc.","{'latitude': '40.594454', 'longitude': '-74.125677'}",181.0,14.0,5141743.0,N,N,,N,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,30.0,N,1.0
Sister Fund,"{'latitude': '40.73548', 'longitude': '-73.98828'}",50.0,50.0,1017815.0,N,N,,N,Gramercy                                                                   ,11.0,N,4.0
Adult Education,,,,,Y,N,,N,,,N,
Amyotrophic Lateral Sclerosis Association - Greater New York Chapter,"{'latitude': '40.707605', 'longitude': '-74.00572'}",1502.0,32.0,1001126.0,N,N,2126197409.0,N,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
"Women in Housing and Finance, Inc.",,,,,N,N,2126252510.0,N,,,N,
Sprout,,,,,N,N,2122229768.0,N,,,N,
New York City Coalition Against Hunger,,,,,N,Y,,N,,,N,
City Harvest,"{'latitude': '40.754952', 'longitude': '-73.991467'}",115.0,10.0,1013644.0,N,Y,,N,Clinton                                                                    ,12.0,N,4.0
Reach to Recovery / American Cancer Society--Manhattan Division,"{'latitude': '40.748957', 'longitude': '-73.989797'}",101.0,10.0,1087535.0,N,N,2122373855.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
New Immigrant Community Empowerment,"{'latitude': '40.748031', 'longitude': '-73.888838'}",287.0,5.0,4029910.0,Y,N,7183962706.0,Y,Jackson Heights                                                            ,65.0,N,3.0
Korean Family Counseling and Research Center,"{'latitude': '40.763529', 'longitude': '-73.803542'}",1171.0,20.0,4119462.0,Y,Y,7183210554.0,N,Murray Hill                                                                ,22.0,N,3.0
"U.S. Department of Labor, Women's Bureau, Region II","{'latitude': '40.728369', 'longitude': '-74.005361'}",37.0,10.0,1009755.0,N,N,6462643794.0,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,57.0,N,4.0
St. Luke's Roosevelt Hospital,"{'latitude': '40.770297', 'longitude': '-73.987689'}",145.0,10.0,1082718.0,N,N,2125238679.0,N,Lincoln Square                                                             ,12.0,N,4.0
"Vannguard Urban Improvement Association, Inc.","{'latitude': '40.680919', 'longitude': '-73.940518'}",273.0,49.0,3053556.0,N,Y,,Y,Stuyvesant Heights                                                         ,69.0,N,2.0
Thypin Oltchick Institute for Women's Entrepreneurship at FEGS,"{'latitude': '40.726623', 'longitude': '-74.007753'}",37.0,10.0,1010362.0,Y,N,2125241791.0,Y,SoHo-TriBeCa-Civic Center-Little Italy                                     ,57.0,N,4.0
"Sigma Gamma Rho Sorority Inc., Theta Rho Sigma Chapter",,,,,N,Y,,N,,,N,
Liberty Center for Immigrants,"{'latitude': '40.701012', 'longitude': '-73.825481'}",14201.0,28.0,4193892.0,Y,N,7188475843.0,N,Richmond Hill                                                              ,46.0,N,3.0
Queens County Mental Health Society,,,,,Y,N,7184644081.0,N,,,N,
South Bronx Overall Economic Development Corporation,"{'latitude': '40.815959', 'longitude': '-73.916354'}",71.0,43.0,2097027.0,N,Y,,N,Melrose South-Mott Haven North                                             ,49.0,N,5.0
Queens College,"{'latitude': '40.738324', 'longitude': '-73.814933'}",809.0,24.0,,Y,N,7189975723.0,N,Kew Gardens Hills                                                          ,25.0,N,3.0
Association of Junior Leagues International,"{'latitude': '40.707116', 'longitude': '-74.007329'}",7.0,32.0,1001015.0,N,Y,2124817196.0,N,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
"African American Planning Commission, Inc.",,,,,N,N,7182187115.0,N,,,N,
City Bar Justice Center,"{'latitude': '40.755376', 'longitude': '-73.981368'}",96.0,51.0,1034204.0,N,N,2122215318.0,Y,Midtown-Midtown South                                                      ,11.0,N,4.0
"United Activities Unlimited, Inc.","{'latitude': '40.567873', 'longitude': '-74.115373'}",134.0,14.0,5107621.0,N,N,,N,New Dorp-Midland Beach                                                     ,30.0,N,1.0
Socrates Sculpture Park,,,,,Y,N,,N,,,N,
Citizens Advice Bureau,"{'latitude': '40.853493', 'longitude': '-73.905278'}",241.0,29.0,2092406.0,N,N,7183650697.0,N,Mount Hope                                                                 ,6.0,N,5.0
"Ifetayo Cultural Arts, Inc.","{'latitude': '40.639738', 'longitude': '-73.943567'}",830.0,26.0,3387917.0,N,N,7188561192.0,N,East Flatbush-Farragut                                                     ,61.0,N,2.0
"The Pen and Brush, Inc.","{'latitude': '40.733035', 'longitude': '-73.994559'}%",59.0,50.0,1009233.0,N,N,2124756018.0,N,West Village                                                               ,57.0,N,4.0
Comunilife Inc,"{'latitude': '40.748148', 'lon gitude': '-73.993623'}",95.0,10.0,1014267.0,Y,N,2122192087.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Single Mothers by Choice (SMC),,,,,Y,N,2129880993.0,N,,,N,
Reformed Church of Newtown,"{'latitude': '40.739201', 'longitude': '-73.877788'}",471.0,5.0,4437278.0,Y,N,7185920864.0,N,Elmhurst                                                                   ,66.0,N,3.0
GEMS Girls Educational and Mentoring Services,,,,,N,N,2129267984.0,N,,,N,
RightRides for Women's Safety,"{'latitude': '40.693244', 'longitude': '-73.99066'}",9.0,38.0,3002094.0,Y,Y,,N,Brooklyn Heights-Cobble Hill                                               ,68.0,N,2.0
Committed to Communities,,,,,Y,N,3472408321.0,Y,,,N,
Queens Parent Resource Center,"{'latitude': '40.70815', 'longitude': '-73.796611'}",44602.0,24.0,4210059.0,Y,N,7185237261.0,N,Jamaica                                                                    ,41.0,N,3.0
The River Fund,,,,,Y,N,,N,,,N,
Municipal Art Society of New York,,,,,N,N,2127531816.0,N,,,N,
DRUM: Desi's Rising Up and Moving,"{'latitude': '40.746761', 'longitude': '-73.892171'}",265.0,5.0,4030454.0,Y,N,7182053037.0,N,Elmhurst-Maspeth                                                           ,66.0,N,3.0
Queens Historical Society,,,,,Y,N,7185399885.0,N,,,N,
Greater Astoria Historical Society,,,,,Y,N,,N,,,N,
"Sports and Arts In Schools Foundation, Inc.","{'latitude': '40.741828', 'longitude': '-73.907281'}",245.0,33.0,4454475.0,Y,N,,N,Woodside                                                                   ,53.0,N,3.0
Association of the Bar of the CIty of New York - Immigrant Women and Children Project,"{'latitude': '40.755376', 'longitude':  '-73.981368'}",96.0,51.0,1034204.0,Y,N,2123547438.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
"My Life My Soul, The Unspoken Journey of Life After Domestic Abuse","{'latitude': '40.787181', 'longitude': '-73.944132'}",164.0,35.0,1052654.0,Y,N,8774501670.0,N,East Harlem South                                                          ,7.0,N,4.0
Midwood Development Corporation,"{'latitude': '40.617962', 'longitude': '-73.960396'}",768.0,15.0,3180877.0,N,N,,N,Midwood                                                                    ,60.0,N,2.0
Compassionate Friends,"{'latitude': '40.745457', 'longitude': '-73.987196'}",76.0,51.0,1015763.0,N,N,,N,Midtown-Midtown South                                                      ,11.0,N,4.0
"Roosevelt Island Youth Program, Inc.","{'latitude': '40.760706', 'longitude': '-73.951106'}",23801.0,1.0,1083215.0,N,N,,N,Lenox Hill-Roosevelt Island                                                ,23.0,N,4.0
"Providence House, Inc.",,,,,N,N,7184550692.0,N,,,N,
AIDS Community Research Initiative of America,{''',109.0,10.0,1014462.0,Y,N,2129243936.0,N,Midtown-Midtown South                                                      ,11.0,N,4.0
National Association of Women Artists,"-{'latitude': '40.735807', 'longitude': '-73.993772'}",63.0,10.0,1009717.0,N,N,,N,West Village                                                               ,57.0,N,4.0
YWCA of New York City,"{'latitude': '40.768483', 'longitude': '-73.989177'}",135.0,19.0,1087635.0,N,Y,9173699096.0,Y,Clinton                                                                    ,12.0,N,4.0
Taiwan Center,"{'latitude': '40.763568', 'longitude': '-73.829584'}",869.0,3.0,4112350.0,Y,N,,N,Flushing                                                                   ,22.0,N,3.0
Museum of Modern Art,"{'latitude': '40.761002', 'longitude': '-73.977201'}",104.0,51.0,1081128.0,N,N,,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Women's Prison Association and Home Inc.,,,,,N,N,2126771981.0,N,,,N,
VHA New York Harbor Healthcare-Brooklyn Campus,"{'latitude': '40.609263', 'longitude': '-74.02399'}",164.0,44.0,3345707.0,Y,N,7184394116.0,N,Bay Ridge                                                                  ,10.0,N,2.0
Phoenix House,"{'latitude': '40.737685', 'longitude': '-73.734021'}",1567.0,16.0,4537294.0,Y,N,,N,Bellerose                                                                  ,63.0,N,3.0
LD Resources Foundation,"{'latitude': '40.74572', 'longitude': '-73.983991'}",74.0,50.0,1016990.0,N,N,,N,Midtown-Midtown South                                                      ,11.0,N,4.0
Women's Army Corps Veterans Association,,,,,Y,N,,N,,,N,
New York Junior League,"{'latitude': '40.775871', 'longitude': '-73.958966'}",140.0,51.0,1047491.0,N,Y,,N,Upper East Side-Carnegie Hill                                              ,23.0,N,4.0
"Japanese American Social Services, Inc. (JASSI)","{'latitude': '40.710353', 'longitude': '-74.004007'}",1501.0,32.0,1001289.0,N,N,2124428627.0,N,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
Eastern Paralyzed Veterans Association,"{'latitude': '40.765724', 'longitude': '-73.892382'}",30904.0,4.0,4022646.0,N,N,7188030414.0,N,Jackson Heights                                                            ,65.0,N,3.0
Saint Vincents Hospital Rape Crisis Program,"{'latitude': '40.733164', 'longitude': '-73.99296'}",61.0,50.0,1009127.0,N,N,2126048842.0,N,West Village                                                               ,57.0,N,4.0
LIFT (Legal Information for Families Today),"{'latitude': '40.716954', 'longitude': '-74.003943'}",31.0,32.0,1001838.0,Y,N,6466139632.0,N,SoHo-TriBeCa-Civic Center-Little Italy                                     ,56.0,N,4.0
AngelDocs,"{'latitude': '40.717396', 'longitude': '-73.767146'}",478.0,16.0,4223923.0,Y,N,,N,Jamaica Estates-Holliswood                                                 ,25.0,N,3.0
Society for Accessible Travel & Hospitality,,,,,N,N,,N,,,N,
NYC Ladders for Leaders,,,,,Y,N,,N,,,N,
"Young Dancers In Repertory, Inc.",,,,,N,N,,N,,,N,
A Better Balance,"{'latitude': '40.707657', 'longitude': '-74.007758'}",1502.0,32.0,1001112.0,Y,N,,N,Battery Park City-Lower Manhattan                                          ,56.0,N,4.0
Centers for Progress,{''',1265.0,24.0,4438309.0,Y,N,,N,Pomonok-Flushing Heights-Hillcrest                                         ,25.0,N,3.0
less Clos,"{'latitude': '40.750009', 'longitude': '-73.991327'}",101.0,10.0,1015191.0,Y,N,2125632461.0,Y,Midtown-Midtown South                                                      ,11.0,N,4.0
League for the Hard of Hearing,,,,,N,N,9173057888.0,N,,,N,
United Jewish Council of the East Side,"{'latitude': '40.714359', 'longitude': '-73.986509'}",201.0,32.0,1003732.0,N,N,2123852693.0,N,Lower East Side                                                            ,70.0,N,4.0
"GlamourGals Foundation, Inc",,,,,Y,N,,N,,,N,
Archdiocesan Catholic Guild for the Blind,"{'latitude': '40.757271', 'longitude': '-73.963692'}",108.0,1.0,1039972.0,N,N,2128268377.0,N,Turtle Bay-East Midtown                                                    ,71.0,N,4.0
"US National Committee for UNIFEM, Metro NY Chapter","{'latitude': '40.672162', 'longitude': '-73.964289'}",215.0,48.0,3029628.0,Y,N,,N,Prospect Heights                                                           ,16.0,N,2.0
New York Public Interest Research Group: Small Claims Court Action Center,,,,,N,N,,N,,,N,
National Multiple Sclerosis Society,,,,,N,N,,N,,,N,
