vehicle_color,complaint_inquiry_zip,complaint_inquiry_number,complaint_inquiry_disposition,account_zip,complaint_inquiry_city,contacted_complainant,complaint_inquiry_state,complaint_inquiry_borough
,10002-6203,INQ-191311,Referred To BIC Legal,,New York,True,NY,Manhattan
,,2012-00055,Referred to Another Agency,,,False,,
,,COMP-193442,Resolved,11377,Manhattan,True,NY,Manhattan
,,2011-00551,Unable to Contact Complainant,,nyc,False,NY,
,,INQ-196834,Referred To BIC Legal,,,True,,
,10025,COMP-196517,Resolved,10701,New York,True,NY,Manhattan
,,INQ-195957,Referred To Licensing,,,False,,
,,COMP-196846,Resolved,11222,,False,,
,,2008-01018,Resolved,,,False,NY,
,,2011-00207,Referred To Licensing,,,False,,
,,COMP-190552,Unable to Contact Complainant,,,False,,
,11217,INQ-192040,Resolved,,Brooklyn,True,ny,Brooklyn
,,2011-00055,Unsubstantiated,,nyc,False,NY,NYC
,,2009-01922,Violation Written,,nyc,False,NY,Queens
,,2009-01094,Referred To Licensing,11357-,,False,,
,11361,COMP-189482,Resolved,11762-,Bayside,False,NY,Queens
,,2008-00081,Resolved,,,False,NY,
,10462-,2013-01029,Referred to Another Agency,,Bronx,False,NY,Bronx
,11411,COMP-194292,Insufficient Information,,Queens,False,NY,Queens
,,2007-00965,Resolved,,,False,NY,
,,2009-01376,Unable to Contact Complainant,,,False,,
,10012,COMP-193801,Resolved,08830,New York,True,NY,Manhattan
,,2012-00465,Referred back to 311,31419-,,False,,
,,2010-01698,Unable to Contact Complainant,,nyc,False,NY,
,,2013-00145,Resolved,,,False,,
,,2009-02157,Referred To Licensing,,,False,,
,,2013-00115,Resolved,,,False,,
,,2007-00468,Resolved,10306-,,False,NY,
,,2012-00657,Referred to Another Agency,,,False,,
,,2008-00968,Resolved,,,False,NY,
,,2009-00580,Resolved,,,False,,
,,2010-01794,Unable to Contact Complainant,,,False,,
,,INQ-195146,Resolved,,,True,,
,,2008-00003,Resolved,,,False,NY,
,,2006-01309,,,,False,NY,
,11231,INQ-197963,Resolved,08830,545 Court St,False,NY,Brooklyn
,,2009-00832,Resolved,,nyc,False,NY,Brooklyn
,11219,COMP-194212,Resolved,11234,Brooklyn,True,NY,
,,2012-00368,Referred to Another Agency,11435-,,False,,
,,2010-00543,Unsubstantiated,,nyc,False,NY,Queens
,,2009-01778,Resolved,,nyc,False,NY,Queens
,10034,COMP-194077,Resolved,07666,New York,True,NY,Manhattan
,,2013-00440,Violation Written,10016-,NY,False,NY,NYC
,10009,INQ-191479,Resolved,,New York,True,NY,Manhattan
,11226-,2012-00662,Resolved,,Brooklyn,False,NY,Brooklyn
,,2009-01346,Referred to Another Agency,,,False,,
,10309-,2011-00708,Resolved,,nyc,False,NY,Staten Island
,,2008-01056,Resolved,,,False,NY,
,,2011-00647,Referred To Licensing,,,False,,
,,2010-00194,Resolved,,,False,,
,,2008-00515,Resolved,,,False,NY,
,,2010-00007,Resolved,,nyc,False,NY,Brooklyn
,10019,COMP-192932,Resolved,07014-,New York,True,NY,Manhattan
,,2010-01066,Resolved,,,False,,
,,2007-00354,Resolved,,,False,NY,
,10013-,2009-01942,Resolved,10013-,nyc,False,NY,NYC
,,2013-00785,Unsubstantiated,,,False,,
,10467,INQ-195051,Referred to Another Agency,10474,Bronx,True,NY,Bronx
,,2008-00997,Resolved,,,False,NY,
,11209-,2010-01634,Unsubstantiated,,nyc,False,NY,Brooklyn
,,2007-00337,Resolved,,,False,NY,
,,INQ-190906,Referred To BIC Legal,,,True,,
,,2013-01102,Unable to Contact Complainant,,UNKNOWN,False,,
,,COMP-194359,Resolved,11385,,True,,
,,2010-00844,Referred to Another Agency,,,False,,
,,2011-00680,Referred to Another Agency,11354-,nyc,False,NY,Queens
,,2008-01760,Violation Written,,,False,NY,
,,2008-00351,Resolved,,,False,NY,
,,2011-01004,Referred to Another Agency,,,False,,
,11691,COMP-197057,Investigation Initiated,07052,Queens,False,NY,Queens
,,2008-00119,Referred to Another Agency,,,False,NY,
,11357-,2011-01087,Resolved,,Whitestone,False,NY,
,,2008-01240,Unsubstantiated,,,False,NY,Brooklyn
,,INQ-192518,,,,False,,
,,2012-00588,Resolved,,,False,,
,10016,COMP-194020,Resolved,08830,New York,True,NY,Manhattan
,,COMP-192532,Unsubstantiated,,Kew Gardens,True,NY,
,,COMP-189935,Resolved,07071-,,True,,
,,2009-01251,Resolved,,nyc,False,NY,Brooklyn
,,2009-01486,Resolved,10456-,,False,,
,11234,2008-00609,Resolved,,,False,NY,Brooklyn
,,2009-00989,Resolved,,nyc,False,NY,NYC
,,2009-00461,Referred to Another Agency,10307-,NYC,False,NY,Brooklyn
,,2007-00047,Resolved,,,False,NY,
,,2010-00134,Referred To Licensing,,,False,,
,,2010-01030,Referred to Another Agency,,nyc,False,NY,Brooklyn
,,INQ-193366,Resolved,,,True,,
,,2008-00045,Resolved,,,False,NY,
,,2008-01665,Resolved,,,False,NY,
,,2012-00530,Resolved,,,False,,
,,2012-01153,Resolved,,,False,,
,,2008-00546,Unsubstantiated,,,False,NY,
,,2007-00907,Unsubstantiated,,,False,NY,
,,2008-00341,Resolved,,,False,NY,
,,2009-02040,Resolved,,,False,,
,,2009-00825,Violation Written,,nyc,False,NY,Queens
,,COMP-197451,Referred To BIC Legal,11735,,True,,
,,2010-00808,Unsubstantiated,,nyc,False,NY,
,11378,COMP-195481,Unsubstantiated,,Maspeth,False,NY,Queens
,10009,INQ-192328,Resolved,,New York,True,NY,Manhattan
,10011,COMP-196576,Referred to Another Agency,,NY,False,NY,Manhattan
,,2009-01787,Violation Written,,nyc,False,NY,Staten Island
,11204,COMP-190254,Unsubstantiated,11216-,Brooklyn,True,NY,Brooklyn
,,INQ-194977,Insufficient Information,11717-,,False,,
,,2012-00166,Unsubstantiated,,Brooklyn,False,NY,Brooklyn
,10002,COMP-193357,Resolved,11803,New York,True,NY,Manhattan
,,2010-01975,Unable to Contact Complainant,,,False,,
,,INQ-190406,Referred back to 311,,,True,,
,,COMP-195724,Investigation Initiated,11101,,False,,
,,INQ-193817,Resolved,,,True,,
,,2008-00768,Resolved,,,False,NY,
,,2008-00182,Referred to Another Agency,,,False,NY,
,,2012-01355,Referred To Licensing,,,False,,
,,COMP-196440,Resolved,11201-1124,,True,,
,,INQ-189834,Resolved,,,False,,
,,INQ-190456,Resolved,,,True,,
,,INQ-191426,Referred To Licensing,,,True,,
,,2009-00951,Unable to Contact Complainant,,,False,,
,11368-1629,COMP-191681,Unsubstantiated,,Corona,True,NY,Queens
,,2010-00630,Unable to Contact Complainant,,,False,,
,,2010-01970,Resolved,10601-,,False,,
,,2010-01137,Violation Written,,nyc,False,NY,Staten Island
,,2009-02258,Resolved,,,False,,
,,2008-00995,Unsubstantiated,,,False,NY,
,,2012-00810,Resolved,30087-,,False,,
,,COMP-197226,Referred to Another Agency,,,True,,Manhattan
,,2013-00341,Resolved,,,False,,
,,INQ-195361,Resolved,,,True,,
