borough,complaint_inquiry_status,account_state,longitide,export_date,total_response_time,industry_type,council_district
BROOKLYN,Closed,NJ,-73.967558,2025-12-22,1.0,Trade Waste,35.0
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,,-73.952149,2025-12-22,,Trade Waste,5.0
,Closed,NY,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,1.0,Trade Waste,
,Closed,NJ,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,4.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,2.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
BROOKLYN,,,-73.995069,2025-12-22,,Trade Waste,47.0
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
BROOKLYN,Closed,NY,-73.986599,2025-12-22,10.0,Trade Waste,39.0
,Closed,DENIED,,2025-12-22,,Trade Waste,
BROOKLYN,Closed,NY,-73.958465,2025-12-22,8.0,Trade Waste,35.0
,Closed,NJ,,2025-12-22,4.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,RENEWAL PENDING,-73.956794,2025-12-22,52.0,Trade Waste,5.0
MANHATTAN,Closed,,-74.010012,2025-12-22,3.0,Trade Waste,3.0
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,5.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
MANHATTAN,Closed,,-74.006774,2025-12-22,3.0,Trade Waste,1.0
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,3.0,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,4.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
QUEENS,Closed,NY,-73.820669,2025-12-22,1.0,Trade Waste,19.0
MANHATTAN,Closed,,-73.924919,2025-12-22,,Trade Waste,10.0
BROOKLYN,Closed,,-73.947232,2025-12-22,8.0,Trade Waste,48.0
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,NJ,,2025-12-22,5.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
QUEENS,Closed,,-73.836199,2025-12-22,0.0,Trade Waste,32.0
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,APPROVED,,2025-12-22,,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,2.0,Trade Waste,
,Closed,NJ,,2025-12-22,1.0,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
BROOKLYN,Closed,NJ,-73.986703,2025-12-22,4.0,Trade Waste,33.0
,Closed,NY,,2025-12-22,7.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
QUEENS,Closed,,-73.914721,2025-12-22,0.0,Trade Waste,30.0
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL APPROVED,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,,-73.996849,2025-12-22,7.0,Trade Waste,3.0
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,2.0,Trade Waste,
,Closed,NJ,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,10.0,Trade Waste,
,Closed,NJ,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,RENEWAL PENDING,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,3.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
QUEENS,Closed,,-73.901388,2025-12-22,,Trade Waste,34.0
,Closed,NY,,2025-12-22,2.0,Trade Waste,
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NJ,,2025-12-22,3.0,Trade Waste,
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
MANHATTAN,Closed,,-73.987449,2025-12-22,14.0,Trade Waste,2.0
QUEENS,Closed,NY,-73.854379,2025-12-22,5.0,Trade Waste,32.0
,Closed,NY,,2025-12-22,1.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NJ,,2025-12-22,0.0,Trade Waste,
,Closed,NY,,2025-12-22,3.0,Trade Waste,
,Closed,,,2025-12-22,3.0,Trade Waste,
BROOKLYN,Closed,NY,-74.019995,2025-12-22,2.0,Trade Waste,43.0
,Closed,,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,7.0,Trade Waste,
,Closed,UNLICENSED,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,NY,,2025-12-22,0.0,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
,Closed,,,2025-12-22,,Trade Waste,
