staddr,council_district,zip,borough,longitude,avland,bldgcl,period,boro,:@computed_region_f5dn_yrer,extot,extot2,avtot2
HOPKINSON AVENUE,,,,,2155,V0,FINAL,3,,2155,,
WEST 139 STREET,,,,,5400,V1,FINAL,1,,0,,
EAST BURNSIDE AVENUE,,,,,60300,G7,FINAL,2,,0,,41760.0
EAST 233 STREET,,,,,7850,V0,FINAL,2,,0,,
WASHINGTON AVENUE,,,,,140,V0,FINAL,2,,0,,
EAST 220 STREET,,,,,6393,V0,FINAL,2,,0,,
WEST 13 STREET,,,,,0,U6,FINAL,1,,0,,
EAST NEW YORK AVENUE,,,,,2364,V0,FINAL,3,,0,,
HERKIMER STREET,,,,,3580,V0,FINAL,3,,0,,
425 WEST 50 STREET,3.0,10019.0,MANHATTAN,-73.989853,0,R0,FINAL,1,12.0,0,,
EASTERN PARKWAY,,,,,404100,G7,FINAL,3,,0,,289710.0
WOODYCREST AVENUE,,10452.0,,,5922,V0,FINAL,2,,5922,,
300 EAST 23 STREET,2.0,10010.0,MANHATTAN,-73.980554,0,R0,FINAL,1,71.0,0,,
CROTONA PARK EAST,,,,,7880,V0,FINAL,2,,0,,
2040 FREDERICK DOUGLASS B,,10026.0,,,8282,R4,FINAL,1,,36094,34929.0,40665.0
10 AVENUE,,,,,0,U6,FINAL,1,,0,,
HENRY STREET,,,,,456300,Q1,FINAL,1,,456300,430200.0,430200.0
,,,,,0,U9,FINAL,2,,0,,
WEST 117 STREET,,10026.0,,,929250,V1,FINAL,1,,0,,726100.0
ELIZABETH STREET,,10012.0,,,0,U7,FINAL,1,,0,,
BARTHOLDI STREET,,,,,586,V0,FINAL,2,,0,,
400 EAST MOSHOLU PARKWAY,,10458.0,,,180000,D7,FINAL,2,,0,,1679940.0
HATTING PLACE,,,,,713250,V1,FINAL,2,,713250,676260.0,676260.0
BASSETT AVENUE,,10461.0,,,41850,V1,FINAL,2,,0,,47430.0
FF AVENUE,,,,,1297,V0,FINAL,2,,0,,
WEST 29 STREET,,,,,1350,V1,FINAL,1,,0,,
POST ROAD,,10471.0,,,4677,G0,FINAL,2,,0,,
EAST 126 STREET,,,,,1064250,V1,FINAL,1,,1064250,565490.0,565490.0
WEST 131 STREET,,,,,184950,V1,FINAL,1,,0,,154800.0
WATERBURY AVENUE,,,,,4915,V0,FINAL,2,,0,,
KINGSTON AVENUE,,,,,450,V1,FINAL,3,,0,,3258.0
SULLIVAN STREET,,,,,2232,V0,FINAL,3,,0,,
MICKLE AVENUE,,,,,3351,V0,FINAL,2,,0,,
ROHR PLACE,,,,,5671,V0,FINAL,2,,0,,
LURTING AVENUE,,,,,3288,V0,FINAL,2,,0,,
DALY AVENUE,,10460.0,,,24780,V0,FINAL,2,,24780,,
EAST 181 STREET,,,,,70200,G7,FINAL,2,,0,,48870.0
WEST 133 STREET,,10027.0,,,0,R0,FINAL,1,,0,,
HUNT A,,,,,60,V0,FINAL,2,,60,,
ARNOW AVENUE,,,,,3546,G0,FINAL,2,,0,,
MARCY AVENUE,,,,,96300,G7,FINAL,3,,0,,68400.0
DOUGLASS STREET,,11231.0,,,40050,G6,FINAL,3,,0,,35370.0
VANCE STREET,,,,,5569,V0,FINAL,2,,0,,
EAST 161 STREET,,,,,0,U6,FINAL,2,,0,,
EAST 183 STREET,,,,,0,U6,FINAL,2,,0,,
2 AVENUE,,10016.0,,,3359700,V1,FINAL,1,,3359700,3158550.0,3158550.0
DEVOE STREET,,,,,59850,G7,FINAL,3,,0,,41220.0
2040 FREDERICK DOUGLASS B,,10026.0,,,33681,R4,FINAL,1,,146787,142061.0,165389.0
SOUNDVIEW AVENUE,,,,,198450,V1,FINAL,2,,0,,211856.0
CLIFTON PLACE,,,,,2419,V0,FINAL,3,,2419,,
POND PLACE,,,,,67500,G7,FINAL,2,,0,,31212.0
8 STREET,,,,,60,V0,FINAL,3,,60,,
537A GREENE AVENUE,,11216.0,,,2840,B1,FINAL,3,,0,,
CLINTON AVENUE,,11205.0,,,7599,V0,FINAL,3,,0,,
HARLEM RIVER DRIVE,,10034.0,,,0,U7,FINAL,1,,0,,
HEATH AVENUE,,,,,1588,V0,FINAL,2,,0,,
WEST 138 STREET,,10030.0,,,39150,Q9,FINAL,1,,0,,36990.0
UNIVERSITY AVENUE,,,,,45450,V9,FINAL,2,,45450,53010.0,53010.0
RADCLIFF AVENUE,,,,,331,V0,FINAL,2,,0,,
BOSTON ROAD,,,,,0,U7,FINAL,2,,0,,
EDISON AVENUE,,,,,2452,V0,FINAL,2,,0,,
ALLERTON AVENUE,,,,,10,V0,FINAL,2,,10,,
MAGENTA STREET,,,,,5361,V0,FINAL,2,,0,,
BRIDGE STREET,,11201.0,,,14580,V0,FINAL,3,,14565,,
RAPELYE STREET,,11231.0,,,2250,V9,FINAL,3,,2250,9540.0,9540.0
3 AVENUE,,10456.0,,,68400,V1,FINAL,2,,0,,66960.0
WEST 135 STREET,,,,,770400,Q2,FINAL,1,,770400,705870.0,705870.0
STEUBEN STREET,,,,,75600,G7,FINAL,3,,0,,66330.0
WEST 72 STREET,,,,,18630450,Q1,FINAL,1,,22827600,21535920.0,21535920.0
CORNELL AVENUE,,,,,60,V0,FINAL,2,,60,,
724 BECK STREET,8.0,10455.0,BRONX,-73.899614,4425,C0,FINAL,2,8.0,0,,
WEST 49 STREET,,,,,369900,G7,FINAL,1,,0,,255960.0
 AVENUE,,,,,72900,V1,FINAL,3,,0,,73440.0
55 BRUCKNER BOULEVARD,8.0,10454.0,BRONX,-73.926697,3975,R8,FINAL,2,49.0,0,,
NELSON AVENUE,,,,,0,U9,FINAL,2,,0,,
WATERBURY AVENUE,,10465.0,,,5206,V0,FINAL,2,,0,,
MORRIS PARK AVENUE,,,,,450,V1,FINAL,2,,0,,3456.0
PALISADE AVENUE,,,,,447750,Q1,FINAL,2,,447750,422460.0,422460.0
HURON STREET,,,,,35550,Z9,FINAL,3,,0,,33480.0
YATES AVENUE,,10469.0,,,843,V0,FINAL,2,,0,,
CROSBY AVENUE,,,,,4915,V0,FINAL,2,,0,,
,,,,,0,U9,FINAL,2,,0,,
59 WEST 73 STREET,6.0,10023.0,MANHATTAN,-73.977534,0,R0,FINAL,1,20.0,0,,
250 WEST 90 STREET,6.0,10024.0,MANHATTAN,-73.975128,0,R0,FINAL,1,20.0,0,,
PACIFIC STREET,,11233.0,,,5721,V0,FINAL,3,,0,,
HUNTS POINT AVENUE,,,,,450,V1,FINAL,2,,0,,1872.0
GREENE AVENUE,,,,,1558,V0,FINAL,3,,0,,
BRIGGS AVENUE,,10458.0,,,8002,V0,FINAL,2,,0,,
KINGSLAND AVENUE,,,,,1953,V0,FINAL,2,,0,,
PRESIDENT STREET,,11215.0,,,94050,G7,FINAL,3,,0,,64530.0
EAST 163 STREET,,,,,860,V0,FINAL,2,,0,,
WESTCHESTER AVENUE,,,,,24750,G7,FINAL,2,,0,,26010.0
NEWMAN AVENUE,,,,,2006,V0,FINAL,2,,0,,
WEST 119 STREET,,,,,177300,V1,FINAL,1,,177300,120690.0,120690.0
WALLACE AVENUE,,,,,2791,V0,FINAL,2,,0,,
OGDEN AVENUE,,,,,477000,Q1,FINAL,2,,584550,551250.0,551250.0
PATCHEN AVENUE,,,,,60,V0,FINAL,3,,0,,
wright avenue,,,,,19353,V0,FINAL,2,,0,,
GRIN PLACE,,,,,2505,V0,FINAL,2,,0,,
WITHERS STREET,,,,,18450,G7,FINAL,3,,0,,12510.0
HUNTS POINT AVENUE,,,,,10,V9,FINAL,2,,0,,7.0
EAST 187 STREET,,,,,1756,V0,FINAL,2,,0,,
PELHAM SHORE ROAD,,,,,8100,V1,FINAL,2,,8100,9180.0,9180.0
24 EAST 7 STREET,2.0,10003.0,MANHATTAN,-73.989234,0,R0,FINAL,1,70.0,0,,
WALWORTH STREET,,,,,81000,V1,FINAL,3,,0,,61200.0
EAST 220 STREET,,,,,5695,V0,FINAL,2,,0,,
MONTGOMERY STREET,,11225.0,,,82260,V0,FINAL,3,,0,,
FIELDSTON ROAD,,,,,1789,V0,FINAL,2,,0,,
WEST 49 STREET,,10020.0,,,0,V1,FINAL,1,,0,,
MAJ WM DEEGAN BLVD,,,,,0,U1,FINAL,2,,0,,
93 CHARLES STREET,3.0,10014.0,MANHATTAN,-74.005149,0,R0,FINAL,1,57.0,0,,
WEST 51 STREET,,,,,1350,V1,FINAL,1,,0,,
,,,,,2700,Z7,FINAL,3,,2700,,
EAST 6 STREET,,,,,621000,V1,FINAL,1,,621000,425970.0,425970.0
BASSETT AVENUE,,10461.0,,,401850,V1,FINAL,2,,0,,465930.0
DEVOE STREET,,,,,10,V0,FINAL,3,,0,,
MAJ WM DEEGAN BLVD,,,,,450,V9,FINAL,2,,450,214.0,214.0
NOSTRAND AVENUE,,11216.0,,,0,G7,FINAL,3,,0,,
CAMPBELL DRIVE,,,,,540,V0,FINAL,2,,0,,
SOMERS STREET,,11233.0,,,595,V0,FINAL,3,,0,,
RIVER AVENUE,,,,,0,U0,FINAL,2,,0,,
GIEGERICH PLACE,,10465.0,,,3474,Z0,FINAL,2,,0,,
ST MARKS AVENUE,,,,,60,V0,FINAL,3,,60,,
JEROME AVENUE,,,,,0,U4,FINAL,2,,0,,
LACOMBE AVENUE,,10473.0,,,27792,V0,FINAL,2,,27792,,
PACIFIC STREET,,11217.0,,,450,V1,FINAL,3,,0,,892.0
NELSON AVENUE,,,,,450,V1,FINAL,2,,0,,572.0
5 AVENUE,,,,,1350,V1,FINAL,1,,0,,
EAST 202 STREET,,,,,139950,G7,FINAL,2,,0,,99540.0
CENTRE STREET,,10013.0,,,0,U7,FINAL,1,,0,,
BERRY STREET,,,,,81000,V1,FINAL,3,,0,,54360.0
EAST 173 STREET,,,,,28800,G7,FINAL,2,,0,,20250.0
DITMARS STREET,,,,,8520,V0,FINAL,2,,0,,
,,,,,0,U9,FINAL,2,,0,,
EAST 173 STREET,,,,,18450,Z9,FINAL,2,,0,,23760.0
EAST 235 STREET,,,,,10,V0,FINAL,2,,0,,
LANE AVENUE,,,,,146700,Q1,FINAL,2,,146700,138240.0,138240.0
MARINE STREET,,,,,23460,V0,FINAL,2,,0,,
LIEBIG AVENUE,,,,,4186,V0,FINAL,2,,0,,
MAGENTA STREET,,,,,540,V0,FINAL,2,,0,,
CO-OP CITY BOULEVARD,,10475.0,,,2804,V0,FINAL,2,,2804,,
OAKLEY STREET,,10469.0,,,5113,G0,FINAL,2,,0,,
WATSON AVENUE,,,,,0,U2,FINAL,2,,0,,
CROTONA PLACE,,,,,3580,V0,FINAL,2,,0,,
HERKIMER PLACE,,,,,75600,V1,FINAL,3,,75600,51030.0,51030.0
EAST 175 STREET,,,,,60,V0,FINAL,2,,60,,
EAST 29 STREET,,10016.0,,,0,V1,FINAL,1,,0,,
JAVA STREET,,,,,6868,V0,FINAL,3,,6868,,
INDEPENDENCE AVENUE,,10471.0,,,759,V0,FINAL,2,,759,,
,,,,,0,U9,FINAL,2,,0,,
EAST 145 STREET,,,,,282,V0,FINAL,2,,0,,
GRAND CONCOURSE,,,,,900,V1,FINAL,2,,0,,661.0
218 RIVER STREET,,,,,0,U2,FINAL,3,,0,,
DARE PLACE,,,,,2386,V0,FINAL,2,,0,,
VAN CORTLANDT PARK E,,10470.0,,,10,V0,FINAL,2,,0,,
RANDALL AVENUE,,,,,7650,V1,FINAL,2,,7650,7200.0,7200.0
42426 BROADWAY,,10013.0,,,92869,RK,FINAL,1,,0,,2641140.0
GUNTHER AVENUE,,,,,1533,V0,FINAL,2,,0,,
8 AVENUE,,,,,0,V9,FINAL,1,,0,,
HONE AVENUE,,,,,3825,G0,FINAL,2,,0,,
MAJ WM DEEGAN BLVD,,,,,0,U1,FINAL,2,,0,,
PELHAM PARKWAY,,,,,450,V1,FINAL,2,,450,477.0,477.0
BELL AVENUE,,,,,0,V0,FINAL,2,,0,,
PEARSALL AVENUE,,,,,10,V0,FINAL,2,,10,,
BOSTON ROAD,,,,,13740,V0,FINAL,2,,13740,,
3352 BRUCKNER EXPRESSWAY,,,,,16705,B1,FINAL,2,,0,,
7 AVENUE,,,,,450,Z9,FINAL,1,,0,,309.0
MADISON STREET,,,,,379350,G7,FINAL,1,,0,,242050.0
LELAND AVENUE,,,,,192,V0,FINAL,2,,0,,
MIDDLETOWN ROAD,,,,,0,U2,FINAL,2,,0,,
20 STREET,,,,,54900,G7,FINAL,3,,0,,37530.0
GIVAN AVENUE,,,,,82350,V1,FINAL,2,,0,,87480.0
2040 FREDERICK DOUGLASS B,,10026.0,,,2145,RG,FINAL,1,,16608,15883.0,17369.0
HUNTS POINT AVENUE,,10474.0,,,450,V1,FINAL,2,,450,459.0,459.0
T 109 ST,,,,,281700,V1,FINAL,1,,281700,313290.0,313290.0
1315 BENEDICT AVENUE,,10462.0,,,263700,M1,FINAL,2,,1528200,1367550.0,1367550.0
OUTLOOK AVENUE,,,,,0,Z0,FINAL,2,,0,,
ST FELIX STREET,,,,,9420,V0,FINAL,3,,0,,
BOLLER AVENUE,,,,,540,V0,FINAL,2,,540,,
DyRYEA AVENUE,,,,,2510,V0,FINAL,2,,0,,
KENT AVENUE,,,,,0,U7,FINAL,3,,0,,
