bble,staddr,:@computed_region_yeji_bk3q,valtype,ext,census_tract
1007838034,7 AVENUE,,AC-TR,,
3015670007,GUNTHER PLACE,,AC-TR,,
2054390077,3035 EAST 177 STREET,,AC-TR,,
3013310053,EAST NEW YORK AVENUE,,AC-TR,,
2055470024,SWINTON AVENUE,,AC-TR,,
&2025390194E,,,AC-TR,,
2030380187,EAST 183 STREET,,AC-TR,,
2046500040,EAST 219 STREET,,AC-TR,,
3011490116,BERGEN STREET,,AC-TR,,
3002450025,ATLANTIC AVENUE,,AC-TR,,
3017840001,NOSTRAND AVENUE,,AC-TR,,
1018261222,2040 FREDERICK DOUGLASS B,,AC-TR,,
3015170031,BROADWAY,,AC-TR,,
3015030003,HOPKINSON AVENUE%,,AC-TR,,
2056110050,YZNAGA PLACE,,AC-TR,,
2047280058,KINGSLAND AVENUE,,AC-TR,,
1004627501,24 EAST 7 STREET,4.0,AC-TR,,38.0
2033440047,WAYNE AVENUE,,AC-TR,,
2056250040,ROCHELLE STREET,,AC-TR,,
2027370040,BARRY STREET,,AC-TR,,
2025390020H,MAJ WM DEEGAN BLVD,,AC-TR,,
1010170058,WEST 46 STREET,,AC-TR,,
2054080208,KEARNEY AVENUE,,AC-TR,,
3023401136,1 NORTH PIER,,AC-TR,,
1021420130E,BROADWAY,,AC-TR,,
3018150020,GATES AVENUE,,AC-TR,,
2030470001,485 WASHINGTON AVENUE,,AC-TR,E,
2042260290,BASSETT AVENUE,,AC-TR,,
2051060023,MATILDA AVENUE,,AC-TR,,
2035960133,COMMONWEALTH AVENUE,,AC-TR,,
3012390007,BEDFORD AVENUE,,AC-TR,,
2034410086,UNDERHILL AVENUE,,AC-TR,,
1014880060,FDR DRIVE,,AC-TR,,
3022240018,RUTLEDGE STREET,,AC-TR,,
1018110153,1 AVENUE,,AC-TR,,
1012289005,WEST 80 STREET,,AC-TR,,
2027040044,WESTCHESTER AVENUE,,AC-TR,,
2031710059,CRESTON AVENUE,,AC-TR,,
1010450061,840A 9 AVENUE,,AC-TR,,
2054860115,SHORE DRIVE,,AC-TR,,
2048460001,EAST 232 STREET,,AC-TR,,
1018070035,432 PLEASANT AVENUE,,AC-TR,,
2039100001,VAN NEST AVENUE,,AC-TR,,
2034520060,THIERIOT AVENUE,,AC-TR,,
2030660013,HOFFMAN STREET,,AC-TR,,
2030680069,ARTHUR AVENUE,,AC-TR,,
1009399036,1 AVENUE,,AC-TR,,
3028290050,MONITOR STREET,,AC-TR,,
1006160054,JACKSON SQUARE,,AC-TR,,
1000297504,54 STANTON ST EXTENSION,,AC-TR,,
2029260053,ST PAULS PLACE,,AC-TR,,
2046110021,PAULDING AVENUE,,AC-TR,,
2031650059,GRAND CONCOURSE,,AC-TR,,
2051350210E,EINSTEIN LOOP,,AC-TR,,
2046680027,EAST 220 STREET,,AC-TR,,
1002210001,VESTRY STREET,,AC-TR,,
3002900131,HENRY STREET,,AC-TR,,
2027810400,HUNTS POINT AVENUE,,AC-TR,,
2056450158,KIRBY STREET,,AC-TR,,
2028800113F,SEDGWICK AVENUE@,,AC-TR,,
3023620003,218 RIVER STREET,,AC-TR,,
1014520151,SECOND AVENUE,,AC-TR,,
2056440198,REVILLE STREET,,AC-TR,,
2052560040F,TILLOTSON AVENUE,,AC-TR,,
1016800044,EAST 109 STREET,,AC-TR,,
3011300046,DEAN STREET,,AC-TR,,
2032910004,BEDFORD PARK BLVD,,AC-TR,,
1006460020E,WEST 13 STREET,,AC-TR,,
1006449010,GANSEVOORT STREET,,AC-TR,,
3014850011,PUTNAM AVENUE,,AC-TR,,
2029520068,EAST 175 STREET,,AC-TR,,
2024730055E,,,AC-TR,,
2058821127,WEST 262 STREET,,AC-TR,,
2043100116,YATES AVENUE,,AC-TR,,
2032520040,SEDGWICK AVENUE,,AC-TR,,
3013490069,BERGEN STREET,,AC-TR,,
2025390502E,,,AC-TR,,
3029200014,DEVO E STREET,,AC-TR,,
3023401138,1 NORTH PIER,,AC-TR,,
3027550115,SKILLMAN AVENUE,,AC-TR,,
2025390176,MAJ WM DEEGAN BLVD,,AC-TR,,
1004790050,BROOME STREET,,AC-TR,,
1020370023,7 AVENUE,,AC-TR,,
3025231131,HURON STREET,,AC-TR,,
3017670066,HART STREET,,AC-TR,,
2059300890,WEST 254 STREET,,AC-TR,,
1020070013,WEST 138 STREET,,AC-TR,,
2022961001,55 BRUCKNER BOULEVARD,5.0,AC-TR,,19.0
3001840064,PACIFIC STREET,,AC-TR,,
3017990007,MARCY AVENUE,,AC-TR,,
2040990007,VAN NEST AVENUE,,AC-TR,,
1009160013,EAST 35 STREET,,AC-TR,,
2050100169,BRUNER AVENUE,,AC-TR,,
30115 30028,ST MARKS AVENUE,,AC-TR,,
2041200012,NEWPORT AV,,AC-TR,,
2029000090,PARK AVENUE,,AC-TR,,
