not_sure_gender_identity_1,non_binary_not_female_or_1,decline_to_answer_count,programtypename,multi_race_count,two_spirit_native_american_1,american_indian_or_alaskan_1,another_gender_count,black_or_african_american
0.0,0.0,2.0,Adult Literacy - BENL/ESOL,0,0.0,0.0,0.0,1
0.0,0.0,2.0,COMPASS Explore,1,0.0,0.07,0.0,9
0.0,0.0,0.0,COMPASS Explore,0,0.0,0.0,0.0,0
0.0,0.0,0.0,Cornerstone,1,0.0,0.0,0.0,1
0.0,0.0,0.0,COMPASS Explore,0,0.0,0.0,0.0,14
,,,COMPASS Explore,1,,0.0,,10
0.0,0.03,87.0,Beacon,38,0.0,0.46,1.0,849
0.03,0.0,167.0,Beacon,16,0.0,0.17,0.0,2174
,,,Adult Literacy - ABE/HSE,0,,0.06,,21
,,,COMPASS Middle School,23,,0.3,,660
0.07,0.0,145.0,Beacon,16,0.0,0.28,0.0,685
0.0,0.0,2.0,Cornerstone,2,0.0,0.03,0.0,13
0.0,0.0,0.0,Adult Literacy - ABE/HSE,0,0.0,0.03,0.0,5
0.0,0.0,9.0,Adult Literacy - BENL/ESOL,0,0.0,0.03,0.0,126
0.0,0.0,3.0,COMPASS Explore,2,0.0,0.03,0.0,14
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.0,0.0,2
0.0,0.0,0.0,Beacon,0,0.0,0.0,0.0,1
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.0,0.0,6
0.0,0.0,2.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,2
,,,Beacon,15,,0.12,,579
,,,ESL Civics,0,,0.0,,0
0.0,0.0,1.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),3,0.0,0.07,0.0,32
0.0,0.0,0.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,1
0.0,0.0,0.0,Adult Literacy - BENL/ESOL (Discretionary),1,0.0,0.0,0.0,0
,,,COMPASS High School,0,,0.0,,1
,,,Adult Literacy - ABE/HSE,0,,0.0,,0
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,0
,,,Adult Literacy - BENL/ESOL,0,,0.0,,5
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,1
0.0,0.0,2.0,ESL Civics,0,0.0,0.03,0.0,2
0.03,0.0,27.0,Cornerstone,21,0.0,0.21,0.0,451
0.0,0.0,0.0,Drop-in Centers,1,0.0,0.0,0.0,0
0.0,0.0,0.0,Drop-in Centers,1,0.0,0.0,0.0,20
,,,Adult Literacy - BENL/ESOL (Discretionary),1,,0.0,,0
0.0,0.0,1.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,0
0.0,0.0,0.0,ESL Civics,0,0.0,0.03,0.0,0
,,,Adult Literacy - BENL/ESOL,0,,0.0,,4
,,,Adult Literacy - BENL/ESOL (Discretionary),0,,0.0,,1
0.0,0.0,1.0,ESL Civics,2,0.0,0.03,0.0,0
,,,ESL Civics,0,,0.0,,2
,,,Adult Literacy - NDA (ABE/HSE/Spanish HSE),2,,0.0,,18
0.0,0.0,80.0,Beacon,25,0.0,0.35,0.0,86
,,,Adult Literacy - ABE/HSE,0,,0.0,,7
0.03,0.0,0.0,Adult Literacy - ABE/HSE,0,0.0,0.0,0.0,0
,,,Adult Literacy - ABE/HSE,3,,0.0,,44
0.03,0.0,0.0,ESL Civics,0,0.0,0.0,0.0,11
0.07,0.03,63.0,Beacon,25,0.0,0.17,0.0,61
0.0,0.1,0.0,Drop-in Centers,10,0.0,0.17,0.0,119
,,,Adult Literacy - BENL/ESOL (Discretionary),0,,0.06,,4
0.0,0.0,12.0,Cornerstone,19,0.0,0.42,0.0,702
,,,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,,0.0,,0
0.03,0.0,8.0,COMPASS Middle School,36,0.0,0.21,3.0,224
0.0,0.0,0.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.03,0.0,3
,,,Adult Literacy - BENL/ESOL,0,,0.0,,0
,,,COMPASS Middle School,0,,0.0,,0
0.1,0.0,329.0,Beacon,25,0.0,0.25,0.0,1461
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.0,0.0,2
0.0,0.0,0.0,ESL Civics,0,0.0,0.0,0.0,2
0.0,0.0,17.0,Cornerstone,1,0.0,0.03,0.0,70
,,,Beacon,32,,1.54,,878
,,,Adolescent Literacy,0,,0.0,,0
0.0,0.0,0.0,ESL Civics,0,0.0,0.0,0.0,1
0.0,0.0,1.0,Adult Literacy - BENL/ESOL,0,0.0,0.0,0.0,1
,,,COMPASS Elementary,17,,0.37,,356
0.0,0.0,0.0,COMPASS High School,1,0.0,0.0,0.0,12
0.03,0.03,21.0,Cornerstone,15,0.0,0.35,0.0,495
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.0,0.0,3
0.0,0.0,0.0,ESL Civics,0,0.0,0.0,0.0,12
,,,COMPASS Middle School,26,,0.18,,270
0.0,0.0,0.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,2
0.0,0.0,7.0,COMPASS Middle School,25,0.0,0.17,0.0,202
0.0,0.0,3.0,Cornerstone,0,0.0,0.0,0.0,11
,,,Adult Literacy - BENL/ESOL,0,,0.0,,16
0.0,0.0,10.0,COMPASS High School,1,0.0,0.03,0.0,35
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - ABE/HSE,0,0.0,0.0,0.0,0
0.0,0.0,2.0,COMPASS Explore,3,0.0,0.0,0.0,66
0.0,0.0,0.0,COMPASS High School,0,0.0,0.0,0.0,2
0.0,0.0,2.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - BENL/ESOL,0,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,0
,,,Adult Literacy - ABE/HSE (Discretionary),0,,0.0,,4
,,,COMPASS Elementary,7,,0.55,,259
,,,Cornerstone,0,,0.0,,1
,,,Adult Literacy - ABE/HSE (Discretionary),1,,0.0,,1
,,,COMPASS Elementary,9,,0.06,,19
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.0,0.0,3
,,,COMPASS Elementary,10,,0.18,,467
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,2
0.0,0.0,35.0,Adult Literacy - ABE/HSE,2,0.0,0.0,0.0,23
,,,Adult Literacy - ABE/HSE,0,,0.0,,0
,,,Adult Literacy - ABE/HSE,0,,0.0,,20
0.0,0.0,33.0,Beacon,5,0.0,0.03,0.0,228
,,,ESL Civics,0,,0.0,,3
,,,Adult Literacy - ABE/HSE (Discretionary),0,,0.0,,1
,,,COMPASS Middle School,46,,0.24,,156
0.0,0.0,0.0,Adolescent Literacy,1,0.0,0.0,0.0,0
0.0,0.0,0.0,Adult Literacy - BENL/ESOL (Discretionary),0,0.0,0.0,0.0,2
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.0,0.0,0
0.0,0.0,56.0,Adult Literacy - BENL/ESOL,0,0.0,0.35,0.0,1
0.0,0.03,0.0,Drop-in Centers,10,0.0,0.1,1.0,64
0.0,0.0,60.0,Cornerstone,19,0.0,0.14,0.0,843
0.0,0.0,4.0,ESL Civics,0,0.0,0.0,0.0,6
0.0,0.0,0.0,Adult Literacy - ABE/HSE,1,0.0,0.03,0.0,19
,,,COMPASS Middle School,12,,0.24,,27
0.0,0.0,0.0,ESL Civics,0,0.0,0.0,0.0,0
,,,COMPASS High School,0,,0.0,,3
,,,ESL Civics,0,,0.0,,2
,,,Cornerstone,3,,0.0,,54
0.0,0.0,1.0,ESL Civics,0,0.0,0.0,0.0,0
,,,COMPASS Elementary,25,,0.37,,103
0.0,0.0,111.0,Beacon,7,0.0,0.28,0.0,265
0.0,0.0,1.0,Adult Literacy - ABE/HSE,1,0.0,0.0,0.0,6
,,,COMPASS Elementary,6,,0.49,,97
0.0,0.0,6.0,COMPASS Middle School,29,0.0,0.5,0.0,106
0.0,0.0,0.0,Adult Literacy - NDA (ABE/HSE/Spanish HSE),0,0.0,0.03,0.0,9
0.0,0.0,1.0,COMPASS High School,0,0.0,0.0,0.0,2
,,,COMPASS Elementary,15,,0.24,,429
0.0,0.0,0.0,Cornerstone,0,0.0,0.07,0.0,15
0.0,0.0,46.0,Beacon,18,0.0,0.25,0.0,219
0.0,0.0,0.0,Adult Literacy - BENL/ESOL,6,0.0,0.03,0.0,1
0.03,0.0,2.0,Adult Literacy - BENL/ESOL,0,0.0,0.07,0.0,6
,,,COMPASS Middle School,18,,0.12,,187
0.0,0.0,44.0,Cornerstone,15,0.0,0.42,0.0,624
0.0,0.0,0.0,Drop-in Centers,0,0.0,0.07,0.0,0
0.0,0.0,0.0,Cornerstone,0,0.0,0.0,0.0,1
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.03,0.0,1
,,,COMPASS Middle School,33,,0.18,,755
0.0,0.0,0.0,Adult Literacy - ABE/HSE (Discretionary),0,0.0,0.0,0.0,1
0.03,0.0,4.0,COMPASS Middle School,26,0.0,0.96,0.0,148
0.0,0.0,1.0,ESL Civics,0,0.0,0.0,0.0,5
0.0,0.0,0.0,COMPASS Elementary,54,0.0,0.71,0.0,242
,,,Cornerstone,5,,0.3,,162
0.03,0.0,79.0,Beacon,19,0.0,0.14,1.0,427
0.0,0.0,8.0,Beacon,3,0.0,0.0,0.0,16
,,,COMPASS High School,0,,0.0,,4
,,,ESL Civics,0,,0.0,,6
0.0,0.0,1.0,COMPASS Explore,2,0.0,0.0,0.0,11
0.0,0.0,22.0,COMPASS Middle School,45,0.0,0.57,0.0,1738
