violationid,novdescription,longitude,approveddate,newcertifybydate,bbl,boroid,buildingid,story,apartment,currentstatusdate
10189227,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). INOPERATIVE LOCATED AT APT 5E, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.915038,2014-03-31T00:00:00.000,,2028460074.0,2,115647,5,5E,2014-05-14T00:00:00.000
10223790,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) BASEBOARD AT NORTH WALL, BASEBOARD AT EAST WALL, WEST WALL IN THE KITCHEN LOCATED AT APT 7H, 7th STORY, 1st APARTMENT FROM WEST AT NORTH",-73.949823,2014-04-29T00:00:00.000,,1020960017.0,1,27340,7,7H,2014-05-09T00:00:00.000
10021436,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT LOCATED AT APT D33B, 33rd STORY, 4th APARTMENT FROM SOUTH AT WEST , SECTION ''D TOWER''",-73.955485,2013-10-31T00:00:00.000,,1020019005.0,1,929108,33,D33B,2015-12-28T00:00:00.000
10026595,"§ 27-2018 ADM CODE ABATE THE NUISANCE CONSISTING OF RODENTS RATS IN THE ENTIRE APARTMENT LOCATED AT APT 1D, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST",-73.889927,2013-11-06T00:00:00.000,,2030540012.0,2,92622,4,1D,2014-01-06T00:00:00.000
10615640,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING. AT PUBLIC HALL, 1st STORY",-73.894768,2015-03-05T00:00:00.000,,3038210051.0,3,369279,1,,2015-06-03T00:00:00.000
10260991,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING AND EAST WALL IN THE BATHROOM LOCATED AT APT A6F, 6th STORY",-73.955991,2014-06-03T00:00:00.000,,1020019005.0,1,929104,6,A6F,2014-08-21T00:00:00.000
10458371,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING SHOWER HEAD ATTHE BATHTUB IN THE NORTH BATHROOM LOCATED AT APT 5F, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.927496,2014-11-26T00:00:00.000,,2025260090.0,2,100145,5,5F,2015-02-18T00:00:00.000
10053377,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE FOYER , THE PRIVATE HALLWAY , THE KITCHEN , THE BATHROOM , THE 4th ROOM FROM EAST AT NORTH, THE 4th ROOM FROM EAST AT SOUTH LOCATED AT APT B3, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST",-73.877079,2013-12-03T00:00:00.000,,2033430216.0,2,115815,2,B3,2022-08-20T00:00:00.000
10113744,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE 6th ROOM FROM EAST LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.917891,2014-01-29T00:00:00.000,,2028770516.0,2,122162,1,1GH,2014-05-30T00:00:00.000
10261349,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR IN THE 3rd ROOM FROM NORTH LOCATED AT APT 5RW, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.919006,2014-05-31T00:00:00.000,,2022660002.0,2,62812,5,5RW,2024-11-08T00:00:00.000
10048020,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT LOCATED AT APT D33B, 33rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT NORTH",-73.955485,2013-12-02T00:00:00.000,,1020019005.0,1,929108,33,D33B,2015-12-28T00:00:00.000
10001891,"§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT THE BATHTUB IN THE BATHROOM LOCATED AT APT 4C, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST",-73.958469,2013-10-11T00:00:00.000,,3050420035.0,3,291510,4,4C,2014-01-17T00:00:00.000
10221130,"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING LOCATED AT APT 3L, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",-73.940072,2014-04-26T00:00:00.000,,3015790021.0,3,288941,3,3L,2014-05-29T00:00:00.000
10050695,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT , CHAIR RAILS AT SOUTH WALL, CHAIR RAILS AT NORTH WALL, BASEBOARD AT EAST WALL IN THE 3rd ROOM FROM EAST AT NORTH LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST",-73.894768,2013-12-04T00:00:00.000,,3038210051.0,3,369279,1,2,2015-06-17T00:00:00.000
10009215,"§ 27-2005 ADM CODE PROPERLY SECURE THE LOOSE WASH BASIN IN THE BATHROOM LOCATED AT APT 3C, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION AT WEST",-73.924312,2013-10-18T00:00:00.000,,1022390025.0,1,10061,3,3C,2014-02-03T00:00:00.000
10615641,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR .. AT PUBLIC HALL, 1st STORY",-73.894768,2015-03-05T00:00:00.000,,3038210051.0,3,369279,1,,2015-05-06T00:00:00.000
10482237,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE ROTTEN WOOD FLOOR NEAR SOUTH WALL IN THE 2nd ROOM FROM EAST AT NORTH LOCATED AT APT 4C, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.904652,2014-12-22T00:00:00.000,,2028910059.0,2,56981,5,4C,2018-01-17T00:00:00.000
14217025,"(A) § HMC:FILE ANNUAL BEDBUG REPORT IN ACCORDANCE WITH HPD RULE AS DESCRIBED ON THE BACK OF THIS NOTICE OF VIOLATION OR AS DESCRIBED ON HPDâS WEBSITE, WWW.NYC.GOV\HPD, SEARCH BED BUGS.",,2021-04-13T00:00:00.000,,,3,375411,,,2022-03-07T00:00:00.000
11273018,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING SHOWER HEAD AT SHOWER IN THE BATHROOM LOCATED AT APT 3R, 3rd STORY, APARTMENT AT SOUTH",-73.86032,2016-06-15T00:00:00.000,,2046690071.0,2,823210,3,3R,2016-12-12T00:00:00.000
10188626,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1D, 1st STORY, 2nd APARTMENT FROM WEST AT NORTH",-73.952945,2014-03-28T00:00:00.000,,1019880123.0,1,40939,1,1D,2024-11-12T00:00:00.000
10179535,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT EAST, WEST, NORTH AND SOUTH WALLS AT THE VESTIBULE AT PUBLIC HALL, 1st STORY",-73.940928,2014-03-20T00:00:00.000,,1021390204.0,1,21790,1,,2015-08-25T00:00:00.000
10026326,"§ 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS FROM WATER CLOSET .. IN THE BATHROOM LOCATED AT APT 12R, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.914238,2013-11-08T00:00:00.000,,2024330054.0,2,78266,1,12R,2014-10-30T00:00:00.000
10626790,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. 1WG TO INSTALL = 5; WG TO REPLACE = 0; WG TO REPAIR = 0; IN THE ENTIRE APARTMENT LOCATED AT APT D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",-73.904652,2015-03-14T00:00:00.000,,2028910059.0,2,56981,1,D,2018-01-24T00:00:00.000
10476003,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE NORTH WALL, SOUTH WALL, 1st DOOR FRAME FROM WEST AT NORTH WALL, 1st WINDOW FRAME FROM NORTH AT EAST WALL, 1st DOOR FRAME FROM EAST AT SOUTH WALL IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.952457,2014-12-13T00:00:00.000,,1018220024.0,1,28108,2,23,2015-04-10T00:00:00.000
10655617,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE LOCATED AT APT 12D, 12th STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.918274,2015-04-02T00:00:00.000,,2028400038.0,2,885756,12,12D,2015-05-23T00:00:00.000
10347756,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 16, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.891,2014-08-16T00:00:00.000,,2032750046.0,2,60797,4,16,2014-08-29T00:00:00.000
13100758,"§ 27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING. AT PUBLIC HALL, 1st STORY",-73.86819,2019-06-04T00:00:00.000,,2046230049.0,2,100388,1,,2024-04-12T00:00:00.000
10584015,"§27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE §27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",-73.907717,2015-02-24T00:00:00.000,,3080570127.0,3,350668,,,2024-11-04T00:00:00.000
1015617,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF EVIDENCE OF CONCEALED LEAK CEILING BATHROOM 2 STY APT 2A , SECTION '' ''",-73.991409,1996-05-07T00:00:00.000,,3068940027.0,3,146463,,2A,2024-11-08T00:00:00.000
10024594,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND EAST WALL IN THE 5th ROOM FROM EAST LOCATED AT APT 21, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",-73.914238,2013-11-06T00:00:00.000,,2024330054.0,2,78266,1,21,2015-07-22T00:00:00.000
10113288,"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR THAT IS MISSING IN THE ENTIRE APARTMENT LOCATED AT APT 4R, 4th STORY, APARTMENT AT WEST",-73.940072,2014-01-29T00:00:00.000,,3015790021.0,3,288941,4,4R,2014-05-01T00:00:00.000
10171024,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE ALL WALLS AND CEILING IN THE FOYER LOCATED AT APT 25, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH",-73.952457,2014-03-15T00:00:00.000,,1018220024.0,1,28108,2,25,2015-10-15T00:00:00.000
10201124,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CEILING IN THE BATHROOM LOCATED AT APT 1, 1st STORY, APARTMENT AT SOUTH",-73.927883,2014-04-11T00:00:00.000,,4008990023.0,4,403190,1,1,2014-04-14T00:00:00.000
10092600,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0; IN THE ENTIRE APARTMENT LOCATED AT APT 3B, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.889927,2014-01-10T00:00:00.000,,2030540012.0,2,92622,2,3B,2014-03-22T00:00:00.000
10005819,"§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE ERRODED PORCELAIN FINISH AT BATHTUB IN THE BATHROOM LOCATED AT APT 7C, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.889234,2013-10-15T00:00:00.000,,2030710047.0,2,44551,3,7C,2017-05-11T00:00:00.000
10258118,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WALLS AND CEILING IN THE BATHROOM LOCATED AT APT C29E, 29th STORY",-73.955991,2014-05-29T00:00:00.000,,1020019005.0,1,929106,29,C29E,2014-11-28T00:00:00.000
10121547,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st CLOSET FROM SOUTH AT WEST WALL DOOR, 1st CLOSET FROM SOUTH AT WEST WALL DOOR FRAME, 1st DOOR FRAME FROM EAST AT SOUTH WALL IN THE FOYER LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.904652,2014-02-03T00:00:00.000,2014-03-23T00:00:00.000,2028910059.0,2,56981,3,3B,2014-03-20T00:00:00.000
10113742,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING, WEST WALL, SOUTH WALL, EAST WALL IN THE 4th BATHROOM FROM EAST LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.917891,2014-01-29T00:00:00.000,,2028770516.0,2,122162,1,1GH,2014-05-30T00:00:00.000
14264706,"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE WIRE GLASS PANE AT WINDOW UPPER SASH AT PUBLIC HALL, 3rd STORY",-74.029926,2021-04-18T00:00:00.000,,3060060037.0,3,128170,3,,2021-05-13T00:00:00.000
10154465,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) NORTH WALL IN THE 2nd ROOM FROM EAST LOCATED AT APT 41L, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.914238,2014-02-27T00:00:00.000,,2024330054.0,2,78266,4,41L,2014-06-13T00:00:00.000
10183474,"§ 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT EAST AND NORTH WALL IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 4B, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",-73.884848,2014-03-24T00:00:00.000,,2031030026.0,2,49163,2,4B,2014-05-21T00:00:00.000
10005822,"§ 27-2005 ADM CODE PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE HEAT RISER IN THE BATHROOM LOCATED AT APT 7C, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.889234,2013-10-15T00:00:00.000,,2030710047.0,2,44551,3,7C,2017-05-11T00:00:00.000
10476007,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE NORTH WALL, EAST WALL, WEST WALL, CEILING, 1st CLOSET FROM WEST AT NORTH WALL DOOR FRAME, 1st WINDOW FRAME FROM NORTH AT EAST WALL IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 23, 2nd STORY, 2nd APARTMENT FROM NORTH AT EAST",-73.952457,2014-12-13T00:00:00.000,,1018220024.0,1,28108,2,23,2015-04-10T00:00:00.000
10259673,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE BASE CABINET AT SINK IN THE KITCHEN LOCATED AT APT D30D, 30th STORY",-73.955485,2014-06-02T00:00:00.000,,1020019005.0,1,929108,30,D30D,2016-10-07T00:00:00.000
10077929,"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING, NORTH WALL IN THE PRIVATE HALLWAY LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.861392,2013-12-27T00:00:00.000,,2048260081.0,2,70486,1,1A,2025-06-02T00:00:00.000
10221133,"§ 27-2026 ADM CODE REPAIR THE BROKEN OR DEFECTIVE CONNECTION AT SINK WASTE LINE IN THE KITCHEN LOCATED AT APT 3L, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST",-73.940072,2014-04-28T00:00:00.000,,3015790021.0,3,288941,3,3L,2014-05-29T00:00:00.000
10001931,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 1st ROOM FROM NORTH LOCATED AT APT 4C, 4th STORY, 2nd APARTMENT FROM SOUTH AT WEST",-73.958469,2013-10-11T00:00:00.000,,3050420035.0,3,291510,4,4C,2014-01-17T00:00:00.000
10021149,"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",-73.842885,2013-10-30T00:00:00.000,,2047620089.0,2,74717,1,1F,2014-01-08T00:00:00.000
10261354,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 3rd ROOM FROM NORTH LOCATED AT APT 5RW, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.919006,2014-06-03T00:00:00.000,,2022660002.0,2,62812,5,5RW,2024-11-08T00:00:00.000
11289155,"§ 27-2024 ADMIN. CODE: PROVIDE ADEQUATE SUPPLY OF COLD WATER FOR THE FIXTURES IN THE BATHROOM AT WASH BASIN LOCATED AT APT 2, 2nd STORY, APARTMENT AT SOUTH",-73.842201,2016-06-26T00:00:00.000,,4091200019.0,4,508953,2,2,2018-03-23T00:00:00.000
10113427,"§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE SINK IN THE KITCHEN LOCATED AT APT 4R, 4th STORY, APARTMENT AT WEST",-73.940072,2014-01-30T00:00:00.000,,3015790021.0,3,288941,4,4R,2014-05-01T00:00:00.000
10111917,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE KITCHEN LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",-73.884848,2014-01-28T00:00:00.000,,2031030026.0,2,49163,4,4D,2014-05-15T00:00:00.000
10227119,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE COUNTER BALANCES AT UPPER WINDOW SASH IN THE 2nd ROOM FROM NORTH LOCATED AT APT C77, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.998475,2014-05-01T00:00:00.000,,3002580017.0,3,807988,4,C77,2017-04-06T00:00:00.000
10400665,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE DAMAGE IN THE ENTIRE APARTMENT LOCATED AT APT 66, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH , SECTION AT WEST",-73.952457,2014-10-01T00:00:00.000,,1018220024.0,1,28108,6,66,2015-02-19T00:00:00.000
10123711,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT A8H, 8th STORY",-73.955991,2014-02-06T00:00:00.000,,1020019005.0,1,929106,8,A8H,2014-05-19T00:00:00.000
2282807,"§ 27-2013 ADM CODE REMOVE OR COVER IN A MANNER APPROVED BY THE DEPARTMENT THE PEELING LEAD PAINT CEILING 1 STY EAST APT 1F NORTH ROOM ER1 0021423. , SECTION",,1991-01-02T00:00:00.000,,,3,375411,,1F,2013-03-15T00:00:00.000
10037599,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE FIER ESCAPE WINDOW APPER SASHE INOPERABLE, AT NORTH/EAST 3 ROOM APT. 6D 1ST APT. FROM SOUTH AT WEST. IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",-73.957693,2013-11-18T00:00:00.000,,3050640092.0,3,324186,6,6D,2014-07-31T00:00:00.000
