brooklyn_cooperatives_comparable_properties_address,bin,postcode,brooklyn_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_year_built,longitude,community_council,comparable_rental_1_gross_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_full_market_value,comparable_rental_3_building_classification,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_3_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_address,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,nta,brooklyn_cooperatives_comparable_properties_net_operating_income,brooklyn_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_boro_block_lot,comparable_rental_3_neighborhood,latitude
"{'latitude': '40.577109737578', 'longitude': '-73.968021840707', 'human_address': '{""address"": ""3039 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3244591.0,11235.0,5.45,1926.0,-73.96843,48.0,34000,236527.0,1091000,C1-WALK-UP,"{'latitude': '40.579359485036', 'longitude': '-73.955902832961', 'human_address': '{""address"": ""3047 BRIGHTON 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,194,000","367,668","172,872","{'latitude': '40.578276914446', 'longitude': '-73.967757280617', 'human_address': '{""address"": ""2985 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-08669-0093,BRIGHTON BEACH,Brighton Beach                                                             ,186259,155216,3-08716-0080,BRIGHTON BEACH,40.576697
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001968.0,11201.0,11.33,1912.0,-73.995218,33.0,32000,348516.0,3232000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""74 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""111 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00242-0008,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,485275,439151,3-00247-0028, ,40.695053
"{'latitude': '40.633077220325', 'longitude': '-73.946665857988', 'human_address': '{""address"": ""745 31 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.89,1927.0,,,44300,381469.0,1727000, ,"{'latitude': '40.635190816342', 'longitude': '-73.94787573927', 'human_address': '{""address"": ""2063 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.633524960787', 'longitude': '-73.951799135958', 'human_address': '{""address"": ""2620 GLENWOOD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07554-0043,MIDWOOD,,652100,485572,3-05005-0020, ,
"{'latitude': '40.578508345427', 'longitude': '-73.988412435558', 'human_address': '{""address"": ""2600 21 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,4.75,1938.0,,,55920,300313.0,1408000,D1-ELEVATOR,"{'latitude': '40.586752710696', 'longitude': '-73.948933363287', 'human_address': '{""address"": ""3051 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","938,000","397,367","160,008","{'latitude': '40.592695469092', 'longitude': '-73.950057936405', 'human_address': '{""address"": ""2813 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07422-0101,SHEEPSHEAD BAY,,327774,248710,3-07465-0040,SHEEPSHEAD BAY,
"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029395.0,11238.0,7.14,1909.0,-73.964238,35.0,13385,95521.0,1023000,C1-WALK-UP,"{'latitude': '40.674225498446', 'longitude': '-73.965828527995', 'human_address': '{""address"": ""357 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,385,000","375,091","189,132","{'latitude': '40.674149953929', 'longitude': '-73.965467116157', 'human_address': '{""address"": ""369 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01173-0078,PROSPECT HEIGHTS,Prospect Heights                                                           ,159000,107100,3-01173-0082,PROSPECT HEIGHTS,40.674797
"{'latitude': '40.644358272373', 'longitude': '-73.998555503322', 'human_address': '{""address"": ""848 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,7.69,1916.0,,,31236,257423.0,1726000,C1-WALK-UP,"{'latitude': '40.64504358654', 'longitude': '-73.99820021096', 'human_address': '{""address"": ""838 42 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","811,000","224,504","120,415","{'latitude': '40.644069363101', 'longitude': '-73.997956753685', 'human_address': '{""address"": ""875 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00925-0042,BOROUGH PARK,,314330,284376,3-00925-0021,BOROUGH PARK,
"{'latitude': '40.607821130007', 'longitude': '-73.995883226407', 'human_address': '{""address"": ""1973 81 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3163374.0,11214.0,5.5,1930.0,-73.996035,47.0,50400,304920.0,1545000,D1-ELEVATOR,"{'latitude': '40.608904617789', 'longitude': '-73.990245482257', 'human_address': '{""address"": ""7602 21 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,343,000","539,700","215,775","{'latitude': '40.607209913224', 'longitude': '-73.997867803411', 'human_address': '{""address"": ""1935 83 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06316-0059,BENSONHURST,Bensonhurst West                                                           ,229440,264000,3-06240-0037,BENSONHURST,40.607898
"{'latitude': '40.59419299503', 'longitude': '-73.958305402699', 'human_address': '{""address"": ""1200 GRAVESEND NECK ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3201771.0,11229.0,5.94,1962.0,-73.958228,48.0,124636,924497.0,5808000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1229 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,502,000","797,419","361,266","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1245 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07397-0034,SHEEPSHEAD BAY,Homecrest                                                                  ,571337,420017,3-07414-0033,SHEEPSHEAD BAY,40.594252
"{'latitude': '40.654560763331', 'longitude': '-73.909356381919', 'human_address': '{""address"": ""1371 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3326602.0,11212.0,4.74,1975.0,-73.909226,42.0,245538,3326611.0,10635000,D3-ELEVATOR,"{'latitude': '40.667468138462', 'longitude': '-73.897556105401', 'human_address': '{""address"": ""579 BLAKE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","8,805,000","2,831,263","1,372,725","{'latitude': '40.656614070675', 'longitude': '-73.905156757976', 'human_address': '{""address"": ""187 HEGEMAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-03628-0001,BROWNSVILLE,Brownsville                                                                ,1017101,1888909,3-03769-0001,EAST NEW YORK,40.654398
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""3310 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,6.6,1955.0,,,204830,1466898.0,6083000, ,"{'latitude': '40.626084390906', 'longitude': '-73.941877358144', 'human_address': '{""address"": ""1149 35 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.625550747377', 'longitude': '-73.946604017779', 'human_address': '{""address"": ""2425 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07612-0011,FLATBUSH-EAST,,1411056,1948320,3-07617-0025, ,
"{'latitude': '40.697118623176', 'longitude': '-73.996866484155', 'human_address': '{""address"": ""177 COLUMBIA HEIGHTS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001739.0,11201.0,9.98,1900.0,-73.996837,33.0,12024,161687.0,2023000,C1-WALK-UP,"{'latitude': '40.69384504967', 'longitude': '-73.993730021167', 'human_address': '{""address"": ""124 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,867,000","365,810","250,286","{'latitude': '40.692407482192', 'longitude': '-73.994512632422', 'human_address': '{""address"": ""20 SIDNEY PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00263-0045,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,172088,162175,3-00254-0073,BROOKLYN HEIGHTS,40.697213
"{'latitude': '40.693117673014', 'longitude': '-73.993010441502', 'human_address': '{""address"": ""114 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002212.0,11201.0,8.51,1923.0,-73.992957,33.0,40178,316121.0,3109000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""63 MONTAGUE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.69628435741', 'longitude': '-73.997082555405', 'human_address': '{""address"": ""2 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00241-0020,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,413024,409654,3-00241-0011, ,40.693173
"{'latitude': '40.677304523876', 'longitude': '-73.967033755846', 'human_address': '{""address"": ""285 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3028522.0,11238.0,8.6,1931.0,-73.967138,35.0,17116,147144.0,1815000, ,"{'latitude': '40.677596174014', 'longitude': '-73.968452236062', 'human_address': '{""address"": ""239 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.67661917631', 'longitude': '-73.963979411428', 'human_address': '{""address"": ""382 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01160-0032,PROSPECT HEIGHTS,Prospect Heights                                                           ,284070,168250,3-01152-0092, ,40.677312
"{'latitude': '40.634295701325', 'longitude': '-73.965801778011', 'human_address': '{""address"": ""1212 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3121089.0,11230.0,6.58,,-73.965744,40.0,95040,624920.0,2020000, ,, , , ,"{'latitude': '40.63467032628', 'longitude': '-73.965042644779', 'human_address': '{""address"": ""1302 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05234-0001,FLATBUSH-CENTRAL,Flatbush                                                                   ,267240,517188,, ,40.634356
"{'latitude': '40.671264083884', 'longitude': '-73.985427409407', 'human_address': '{""address"": ""322 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.41,1929.0,,,15000,116517.0,1451000,C1-WALK-UP,"{'latitude': '40.671767074686', 'longitude': '-73.986473310916', 'human_address': '{""address"": ""288 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,303,000","280,629","180,103","{'latitude': '40.671323259292', 'longitude': '-73.985550456684', 'human_address': '{""address"": ""318 6 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00993-0029,PARK SLOPE,,185852,96253,3-00993-0015,PARK SLOPE,
"{'latitude': '40.619971054779', 'longitude': '-73.969975877904', 'human_address': '{""address"": ""1176 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3131067.0,11230.0,5.95,1942.0,-73.969692,44.0,60780,428116.0,2585000,D7-ELEVATOR,"{'latitude': '40.61858069928', 'longitude': '-73.969086649139', 'human_address': '{""address"": ""1235 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,619,000","1,165,164","570,401","{'latitude': '40.619360848307', 'longitude': '-73.969230360802', 'human_address': '{""address"": ""1201 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06542-0001,OCEAN PARKWAY-NORTH,Ocean Parkway South                                                        ,578379,548548,3-06542-0070,OCEAN PARKWAY-NORTH,40.620013
"{'latitude': '40.700640408524', 'longitude': '-73.985886243755', 'human_address': '{""address"": ""123 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3000000.0,11215.0,9.01,1920.0,-73.96968,39.0,36636,261998.0,2471000, ,"{'latitude': '40.673611671934', 'longitude': '-73.973367230345', 'human_address': '{""address"": ""862 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.700642038029', 'longitude': '-73.987868812094', 'human_address': '{""address"": ""70 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01079-0040,PARK SLOPE,park-cemetery-etc-Brooklyn                                                 ,402625,393881,3-01065-0027, ,40.661354
"{'latitude': '40.69234087255', 'longitude': '-73.96861405772', 'human_address': '{""address"": ""185 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3322380.0,11205.0,6.0,1930.0,-73.968642,35.0,32160,231102.0,1198000,D1-ELEVATOR,"{'latitude': '40.683896848342', 'longitude': '-73.967012766728', 'human_address': '{""address"": ""480 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","815,000","370,557","137,317","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""253 WASHINGTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01918-0024,CLINTON HILL,Clinton Hill                                                               ,3468182,3911484,3-01976-0014,CLINTON HILL,40.692332
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""465 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,6.01,1958.0,,,88000,630765.0,4777000,D1-ELEVATOR,"{'latitude': '40.636441925352', 'longitude': '-73.970228290809', 'human_address': '{""address"": ""805 DITMAS AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,266,000","1,104,660","486,936","{'latitude': '40.638367138437', 'longitude': '-73.967627768459', 'human_address': '{""address"": ""415 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05154-0047,FLATBUSH-CENTRAL,,732207,616326,3-05392-0052,OCEAN PARKWAY-NORTH,
"{'latitude': '40.595551987671', 'longitude': '-73.95856709292', 'human_address': '{""address"": ""2277 HOMECREST AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3200638.0,11229.0,3.63,1934.0,-73.958483,48.0,75300,484885.0,1738000, ,"{'latitude': '40.59723689042', 'longitude': '-73.984374421561', 'human_address': '{""address"": ""2044 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.597768908009', 'longitude': '-73.959067084105', 'human_address': '{""address"": ""2134 HOMECREST AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07344-0020,SHEEPSHEAD BAY,Homecrest                                                                  ,779884,409101,3-07317-0023, ,40.594897
"{'latitude': '40.646445987146', 'longitude': '-73.981227081954', 'human_address': '{""address"": ""36 DAHILL ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3123574.0,11218.0,4.9,1927.0,-73.981186,39.0,70944,200424.0,1825000,D1-ELEVATOR,"{'latitude': '40.645099524231', 'longitude': '-73.979675857651', 'human_address': '{""address"": ""114 ALBEMARLE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","812,000","353,880","217,824","{'latitude': '40.644471536155', 'longitude': '-73.982208869475', 'human_address': '{""address"": ""45 TEHAMA STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05309-0029,KENSINGTON,Kensington-Ocean Parkway                                                   ,288111,387241,3-05334-0006,KENSINGTON,40.646384
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""111 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,7.31,1910.0,,,31200,188666.0,1438000,C7-WALK-UP,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""209 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,400,000","416,340","204,120","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""103 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-02417-0039,WILLIAMSBURG-SOUTH,,259034,233481,3-02420-0043,WILLIAMSBURG-SOUTH,
