condo_section,address_2,report_year,total_units,boro_block_lot_3
2807-R1,214 EAST 51 STREET,2019,11,1-01347-0034
0733-R1,223 EAST 61 STREET,2019,157,1-01439-0042
2695-R1,394 EAST 8 STREET,2019,30,1-00379-0020
1738-R1,231 EAST 89 STREET,2019,19,1-01535-0018
2927-R1,241 CENTRAL PARK WEST,2019,112,1-00920-0013
1226-R1,31 WEST 17 STREET,2019,11,1-00850-0064
2897-R1,134 EAST 122 STREET,2019,179,1-01851-0005
2171-R1,130 WEST 142 STREET,2019,15,1-01730-0009
2020-R1,120 RIDGE STREET,2019,23,1-00348-0069
0067-R1,3555 OXFORD AVENUE,2019,23,2-05904-0267
0027-R1,2198 WALLACE AVENUE,2019,48,2-04222-0093
2180-R1,3 WEST 108 STREET,2019,56,1-01876-0060
0848-R1,255 WEST 22 STREET,2019,24,1-00771-0068
1932-R1,115 EAST 116 STREET,2019,68,1-01645-0012
1952-R1,115 EAST 119 STREET,2019,49,1-01767-0011
0421-R1,63 EAST 11 STREET,2019,105,1-00552-0010
0371-R1,50 BATTERY PLACE,2019,245,1-00016-0180
0129-R1,2850 CLAFLIN AVENUE,2019,53,2-03250-0001
0173-R1,2405 SOUTHERN BOULEVARD,2019,180,2-02314-0010
0189-R1,306 WEST 76 STREET,2019,159,1-01182-0029
1569-R1,53 PITT STREET,2019,41,1-00344-0044
1747-R1,292 WEST 92 STREET,2019,54,1-01252-0001
0176-R1,340 EAST 52 STREET,2019,141,
2336-R1,304 EAST 12 STREET,2019,13,1-00447-0051
1819-R1,416 WEST 23 STREET,2019,79,1-00722-0024
0665-R1,223 EAST 6 STREET,2019,35,1-00453-0011
1256-R1,78 WEST WASHINGTON PLACE,2019,18,1-00573-0009
2224-R1,115 EAST 119 STREET,2019,27,1-01767-0011
2152-R1,230 WEST 113 STREET,2019,38,1-01925-0050
0278-R1,20 BEEKMAN PLACE,2019,75,1-01347-0034
1264-R1,304 EAST 12 STREET,2019,27,1-00437-0009
0643-R1,304 EAST 12 STREET,2019,14,1-00462-0035
0427-R1,4 EAST 65 STREET,2019,127,1-01437-0041
0127-R2,885 INTERVALE AVENUE,2019,152,2-02629-0013
1381-R1,43 WEST 16 STREET,2019,43,1-00818-0019
0261-R1,158 WEST 81 STREET,2019,55,1-01228-0001
3602-R1,3440 GUIDER AVENUE,2023,40,
0069-R1,114 WEST 16 STREET,2019,35,1-00792-0012
0023-R4,2055 CRUGER AVENUE,2019,3378,2-04287-0040
1933-R1,437 WEST 54 STREET,2019,58,1-01057-0056
0074-R1,979 EAST 163 STREET,2019,111,2-02714-0001
0082-R1,280 LONGSTREET AVENUE,2019,45,2-02428-0037
0265-R1,21 EAST 104 STREET,2019,77,1-01828-0038
0115-R1,810 EAST 152 STREET,2019,90,2-02697-0010
1905-R1,222 EAST 111 STREET,2019,41,1-01645-0012
1839-R1,258 WEST 22 STREET,2019,52,1-00772-0016
1471-R1,1951 1 AVENUE,2019,233,1-01624-0001
1586-R1,305 EAST 63 STREET,2019,148,
2804-R1,1821 AMSTERDAM AVENUE,2019,79,1-02002-0067
0301-R1,123 BANK STREET,2019,32,1-00633-0013
1732-R1,222 EAST 111 STREET,2019,12,1-01645-0059
0908-R1,75 MONROE STREET,2019,9,1-00309-0022
2044-R1,136 EAST 117 STREET,2019,19,
0405-R1,306 WEST 76 STREET,2019,93,1-01150-0041
0056-R1,309 EAST 164 STREET,2019,20,2-02439-0034
0328-R1,100 SULLIVAN STREET,2019,13,1-00506-0016
1000-R1,310 WEST 95 STREET,2019,47,1-01205-0022
0483-R1,151 EAST 90 STREET,2019,18,1-01535-0031
0513-R1,306 WEST 51 STREET,2019,33,
0252-R1,7 WEST 87 STREET,2019,47,1-01253-0035
0185-R1,20 BEEKMAN PLACE,2019,174,1-01321-0038
2238-R1,210 EAST 10 STREET,2019,12,1-00469-0047
1588-R1,523 WEST 112 STREET,2019,55,1-01884-0018
0859-R1,27 WEST 16 STREET,2019,17,1-00850-0062
1782-R1,218 EAST 72 STREET,2019,38,1-01408-0007
0141-R1,777 FOX STREET,2019,80,2-02712-0023
0027-R1,113 EAST 11 STREET,2019,39,1-00573-0009
1946-R1,56 FT WASHINGTON AVENUE,2019,41,1-02134-0085
0805-R1,5 EAST 67 STREET,2019,84,1-01426-9035
1229-R1,92 GROVE STREET,2019,23,
0228-R1,416 WEST 23 STREET,2019,39,1-00716-0055
1823-R2,83 ST NICHOLAS PLACE,2019,20,1-02098-0019
0753-R1,,2013,24,
0338-R1,622 EAST 11 STREET,2019,18,1-00393-0016
0016-R1,3507 FT INDEPENDENCE STREET,2019,52,
0109-R1,27 WEST 16 STREET,2019,15,1-00850-0062
0318-R1,115 EAST 82 STREET,2019,219,1-01512-0044
0029-R1,105 RIVERSIDE DRIVE,2019,17,1-01235-0038
1468-R2,415 WEST 115 STREET,2019,25,
1323-R1,188 ST NICHOLAS AVENUE,2019,36,1-01768-0007
0876-R1,346 WEST END AVENUE,2019,16,1-01168-0107
1004-R1,100 SULLIVAN STREET,2019,9,1-00506-0016
1463-R1,236-240 WEST 64 STREET,2019,276,1-01162-0005
0628-R2,319 EAST 8 STREET,2019,1,1-00398-0022
2743-R1,30 CHARLTON STREET,2019,9,1-00470-0005
0111-R1,40 EAST 68 STREET,2019,68,1-01424-0029
0150-R1,1279 SHERIDAN AVENUE,2019,71,2-02456-0051
1883-R1,,2013,5,
1919-R1,53 HAMILTON TERRACE,2019,20,1-02029-0039
1970-R1,104 2 AVENUE,2019,11,1-00451-0006
2534-R1,244 EAST 117 STREET,2019,12,1-01661-0018
2459-R1,461 WEST 159 STREET,2019,49,1-02129-0037
