program,end02,req7,date10,start02,method,end03,stm,req8,date07,end14,start06,_9app,audgrp05,start07,start03,aud,date06,_9seats,date05,end08,req3,prgdesc,audgrp06
Eleanor Roosevelt High School,,,,,Screened,,4-Mar,,,,,5733.0,,,,,,125.0,,,,A program incorporating the arts and technology as essential components of learning.,
Humanities & Non-Profit Management,1:30 PM,,,11:30 AM,Screened,4:00 PM,4-Mar,,"Saturday, 1/4/2014",,11:30 AM,1497.0,Last name A-F for single audition & Last name A-L for multiple auditions,9:30 AM,2:00 PM,,"Sunday, 11/17/2013",100.0,"Sunday, 11/17/2013",1:30 PM,,"Students learn about the Humanities including archaeology, anthropology, sociology, historical research, literature and art while simultaneously gaining insight about the structure, financing, and marketing of successful non-profit organizations along with the skill set needed to succeed in this challenging field.",Last name G-L for single audition (Music only or Art only)
Metropolitan Expeditionary Learning School,,,,,Limited Unscreened,,,,,,,1116.0,,,,,,108.0,,,,,
Gotham Professional Arts Academy,,,,,Limited Unscreened,,,,,,,248.0,,,,,,81.0,,,,Comprehensive program of academic and artistic education.,
Academy of Business Entrepreneurship,,,,,Ed. Opt.,,,,,,,161.0,,,,,,102.0,,,,"MOS certification in Excel, Word and PowerPoint, specialty in business courses with participation in Virtual Enterprise Program (Sports Finest, Virtual Timekeepers and Virtual Radio Station), in 11th and 12th grades collaboration with 92.3.",
Zoned,12:00 PM,,,9:00 AM,Zoned,,,,,,,,,,,,,,,,,,
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,,
Academy of Allied Health and Athletic Sciences,,,,,Ed. Opt.,,,,,,,188.0,,,,,,50.0,,,,"Boasting over 25 athletic teams and extensive sports facilities, this program offers students rigorous Regents preparatory courses plus a major in health, nutrition, fitness and safety. Students will be able to receive lifeguard, EMT and First Aid/AED /CPR certifications.",
Arts and Technology for Current Students,,,,,For Continuing 8th Graders,,,,,,,53.0,,,,,,24.0,,,,See above description.,
Information Technology,,,,,Screened,,4-Mar,,,,,2670.0,,,,,,34.0,,,,"Explore the world of technology through a challenging and comprehensive sequence of courses. Course of study includes: Computer Applications, Web Design, Graphic Arts/Digital Photography, Digital Music, Multimedia, Advanced Placement, Java, and Animation.",
Medical Science Institute,,,,,Screened,,4-Mar,,,,,4343.0,,,,,,338.0,,,,"Biology, Chemistry, Physics, Calculus, Statistics, Medical Issues, Environmental Sciences, Intel Research.",
Math and Science Research,,,,,Screened,,4-Mar,,,,,4354.0,,,,,,75.0,,,,Our award winning Math & Science Research Institute has received high honors in the National Siemens Competition. Each term students are programmed for advanced honors-level courses in authentic Science Research or advanced Mathematics & Statistics.,
Journalism Institute,,,,,Unscreened,,,,,,,192.0,,,,,,68.0,,,,"Program offers students opportunities to explore the following: writing, layout, photojournalism, documentary film, broadcasting & print production; annually publishes 10 newspapers, a yearbook and literary magazine; partnerships with local media.",
Comprehensive Academic for Current Students,,,,,For Continuing 8th Graders,,,,,,,90.0,,,,,,90.0,,,,See above description,
International Baccalaureate Program,,,,9:00 AM,Screened,,4-Mar,,,,,53.0,,,3:30 PM,,,32.0,,,Interview,"The International Baccalaureate is a 30-credit college-level program offered during the 11th and 12th grade. Students enter into a pre-International Baccalaureate program in the 9th/10th grade. The selection of courses is in English, Math, Science, Foreign Language, Visual Arts and Theater. These credits are accepted into prestigious universities throughout the world.",
Dance,,,,,Audition,,,,,,,,,,,Auditions will include an interview and individual routine.,,15.0,,,,4-year sequence includes beginner-advanced classes.,
Legal Studies Academy,,,,,Limited Unscreened,,,,,,,847.0,,,,,,40.0,,,,"Introduction to Legal Studies, Introduction to Public Speaking and Debate, Criminology I & II, Advanced Placement Psychology I & II, Introduction to Legal Writing and Senior Internship.",
Electrical Engineering and Installation Program,,,,,Screened,,4-Mar,,,,,,,,,,,,,,Review of Attendance & Punctuality,"The Electrical Engineering and Installation Program prepares students in AC/DC circuit analysis, soldering, wiring of various circuits, residential wiring, commercial wiring, and motor controls.",
Academy of Medical Technology: A College Board School,,,,,Limited Unscreened,,,,,,,424.0,,,,,,81.0,,,,,
Business & Finance,,,,,Ed. Opt.,,,,,,,525.0,,,,,,80.0,,,,College & career preparatory program for careers related to the business and finance sectors; curriculum developed by the National Academy Foundation (NAF) and receives support from corporate partners.,
Medical Careers,,,,,Ed. Opt.,,,,,,,131.0,,,,,,78.0,,,,"Students in Medical Careers will explore health career options and medical science curriculum. Students will learn basic concepts in optical skills, medical terminology, measuring vital signs, prevention treatments and rehabilitation of sports related injuries. College is another option open to graduates from this program.",
College Preparatory International Program,,,,,Ed. Opt.,,,,,,,102.0,,,,,,450.0,,,,Extended Day program with 2 semesters that provides students with a wide range of program selections.,
Hostos-Lincoln Academy of Science,,,,,Screened,,4-Feb,,,,,2417.0,,,,,,81.0,,,,,
Sports Medicine & Management,1:30 PM,,,11:30 AM,Ed. Opt.,4:00 PM,,,"Saturday, 1/4/2014",,11:30 AM,2532.0,Last name A-F for single audition & Last name A-L for multiple auditions,9:30 AM,2:00 PM,,"Sunday, 11/17/2013",100.0,"Sunday, 11/17/2013",1:30 PM,,"A focus on skills, knowledge, and work experience to pursue sports-related careers, inclusive of physical rehabilitation and therapy, as well as coaching, management, and media. Numerous college-accredited courses included. Visit www.baysidehighschool.org for more information about college-accredited courses.",Last name G-L for single audition (Music only or Art only)
Urban Assembly School for Wildlife Conservation,,,,,Limited Unscreened,,,,,,,494.0,,,,,,81.0,,,,,
Dental Assist,,,,,Limited Unscreened,,,,,,,285.0,,,,,,54.0,,,,,
Pre-Med Program,12:00 PM,,,9:00 AM,Screened,12:00 PM,4-Mar,,,,,464.0,,,9:00 AM,,,102.0,,,,"Classes offered leading towards medical careers: Earth Science, Living Environment, Chemistry, Anatomy, Physics, AP Biology, AP Chemistry, AP Environmental Science, DNA Forensics, Genetics, Health Professions and Medical Anthropology.",
Health Career Professions,,,,,Ed. Opt.,,,,,,,1149.0,,,,,,300.0,,,,"Preparation for entry-level positions in the health field, as well as admission to two- and four-year colleges.",
International Baccalaureate Program,,,,,Screened,,4-Mar,,,,,1762.0,,,,,,81.0,,,,"Middle years and diploma programs for advanced achievement in Math, Science, Technology, Humanities, Arts, Foreign Language, and Required Community Service.",
Academy for College Preparation and Career Exploration,,,,,Limited Unscreened,,,,,,,253.0,,,,,,81.0,,,,,
Millennium Art Academy,,,,,Limited Unscreened,,,,,,,902.0,,,,,,108.0,,,,The school is designed for students who love to create art or who may achieve better academically in an artistically-geared learning environment.,
Business Careers/Computer Technology,,,,,Ed. Opt.,,,,,,,1050.0,,,,,,150.0,,,,"Business practices including courses in accounting, career and financial management, computer repair, entrepreneurship and graphic arts.",
Drama,3:00 PM,,,9:00 AM,Audition,7:00 PM,,,,,,192.0,,,4:00 PM,"Students will be asked to perform two 1-minute monologues from memory: one monologue from Shakespeare's ""Romeo and Juliet"" and one from a modern play of their choice. Students should also be prepared to engage in movement exercises by wearing comfortable clothing that allows for easy movement.",,45.0,,,,"Students will have the opportunity to explore a vast spectrum of theater work, including acting, voice and diction, movement, theater history, set design, directing and creating original work",
Vocal Music,2:30 PM,,"Saturday, 11/23/2013",11:30 AM,Audition,7:00 PM,,,"Saturday, 11/16/2013",,4:00 PM,45.0,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",11:30 AM,4:00 PM,Perform a gospel and a classical selection (a capella).,"Friday, 11/15/2013",32.0,"Saturday, 11/9/2013",7:00 PM,,"Performance in Musical Theatre, Solo Voice, Music History and Chorus.","All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)"
Architectural Design,,,,8:30 AM,Audition,,,,,,4:00 PM,386.0,Sabbath Observers and Conflict (Last Names A â L),,8:30 AM,Portfolio with 10-12 pieces of original artwork created from observation and studentsâ own imagination with a diversity of subject matter and use of media. Please include examples of line drawings as well as value studies of geometric shapes and forms. You should also include a drawing of your neighborhood and a plan of your bedroom or your apartment. Three-dimensional pieces can be photographed. You will be required to draw from observation and memory.,"Wednesday, 12/11/2013",56.0,"Wednesday, 11/13/2013",,,"Study includes structures, space, color, form; focus on hand drafting, architectural design, model making and sketching; AutoCAD instruction; seniors complete city planning design project to address current zoning issues; visits to museums, professional studios; visiting professionals.",Sabbath Observers and Conflict (Last Names M â Z)
Humanities Institute,,,,,Screened,,4-Mar,,,,,4361.0,,,,,,212.0,,,,"Creative Writing, American Classics, Journalism, Medieval Literature, Intel Social Science Research, Criminal Law, Law Internship, Latin",
Murray Hill Academy,,,,,Limited Unscreened,,,,,,,616.0,,,,,,80.0,,,,"Murray Hill Academy has a unique admissions model: 60% of students are admitted through the high school admissions process as 8th graders and another 40% of students are admitted as transfer students who are 15â16 years of age, have fewer than 8 credits at the time of admission and have attended another high school for only one year.",
Teachers Preparatory High School for New Students,,,,,Ed. Opt.,,,,,,,254.0,,,,,,80.0,,,,Comprehensive curriculum that prepares students for careers in teaching or the arts.,
Law and Forensics Program,,,,,Ed. Opt.,,,,,,,,,,,,,,,,,"State-of-the art techniques to develop skills in crime-solving with an emphasis on DNA testing. Classes in civil, criminal and constitutional law. Students will be prepared for careers in criminology, forensics, law and toxicology. Partnership with John Jay College of Criminal Justice.",
Bilingual Spanish Communication Arts,,,"Saturday, 11/23/2013",1:30 PM,Screened: Language,,,,"Saturday, 11/23/2013",,8:30 AM,187.0,Instrumental & Vocal Music and Studio Theatre; Last Name M - S,9:30 AM,8:30 AM,,"Saturday, 11/23/2013",34.0,"Saturday, 11/23/2013",,,Same program as listed above but taught in Bilingual Spanish.,Instrumental & Vocal Music and Studio Theatre; Last Name T - U
Law Enforcement and Public Safety,,,,,Screened,,4-Mar,,,,,696.0,,,,,,160.0,,,,"Challenging standards-driven academic program. In collaboration with the school community and various partners, students will be introduced to careers in law enforcement and public safety.",
"Institute of Business Technology, Hospitality & Entrepreneurship",,,,,Ed. Opt.,,,,,,,124.0,,,,,,68.0,,,,"A challenging program that immerses students in a CTE instructional model preparing them for business, economics, finance and career education through the Virtual Enterprise Program and the Hospitality and Tourism Program",
Music: Performance & Production,1:30 PM,,,11:30 AM,Audition,4:00 PM,4-Feb,,"Saturday, 1/4/2014",,11:30 AM,699.0,Last name A-F for single audition & Last name A-L for multiple auditions,9:30 AM,2:00 PM,"Students may audition for the program by playing ANY instrument and/or singing one prepared musical selection in any style. Instrumentalists should also prepare three scales of their choice. Beginning students are encouraged to attend the audition for a musical aptitude test, as well as an interview.","Sunday, 11/17/2013",70.0,"Sunday, 11/17/2013",1:30 PM,,"Learn to perform on guitar, piano, bass, drums and vocals, write songs, record and produce in our new Music Production Studio. Preparation for careers in vocal and instrumental performance, as well as music production and studio recording. Beginners and experienced musicians are encouraged to apply and audition.",Last name G-L for single audition (Music only or Art only)
Law and Leadership,,,,,Limited Unscreened,,,,,,,113.0,,,,,,54.0,,,,"Law and government courses focusing on legal rights of youth, with law- or government-related internships and opportunities to work with youth court.",
Medical & Health Careers,,,,,Ed. Opt.,,,,,,,1559.0,,,,,,150.0,,,,An educational opportunity combining academics and hands-on experience to develop candidates interested in a health career profession.,
Bronx Leadership Academy,,,,,Ed. Opt.,,,,,,,1297.0,,,,,,151.0,,,,"All law classes are taught by attorneys who bring their experience into the classroom. We seek to develop the critical-thinking skills of our students and expose them to issues involving ethics, justice and morality",
Construction Trades and Management,,,,,Ed. Opt.,,,,,,,182.0,,,,,,28.0,,,,"Students learn mechanical and electrical principles, preparation and fabrication of infrastructures and building, construction technology, woodworking and cabinetry. After 3 years and 900 hours, students are prepared for entry-level positions in construction and carpentry unions.",
Medical Professions,,,,,Ed. Opt.,,,,,,,547.0,,,,,,119.0,,,,"Focuses on Science, Math and Technology; courses include Anatomy, Physiology, Laboratory Techniques, First Aid, Medical Billing and Coding.",
Drama,7:00 PM,,,4:00 PM,Audition,7:00 PM,,,,,4:00 PM,69.0,Last name (S-Z),,4:00 PM,Students must perform a memorized monologue and an impromptu reading. Attire that allows free movement is required.,"Friday, 12/6/2013",15.0,"Wednesday, 12/4/2013",,,"Acting, voice and diction, theatre history, dramatic literature, set design, improv.",Last name (S-Z)
The Gateway Scholars Program,,Review of Attendance & Punctuality,,,Screened,,4-Mar,,,,,172.0,,,,,,68.0,,,,"A competitive honors program that prepares students for college study in applied mathematics, sciences and related professions. Students complete college-level courses in science and research opportunities, internships, SAT/ACT prep possible.",
National Academy Foundation Institute for Computer Technology,,,,,Screened: Language,,,,,,,168.0,,,,,,28.0,,,,"Provides students with computer literacy, maintenance skills, knowledge of programming languages and the cognitive skills to solve programs through programming; four-year program includes literacy, maintenance and repair.",
Dance,12:30 PM,,,10:00 AM,Audition,,,,,,,183.0,,,,Students must participate in both a ballet and modern dance class. Dress in appropriate attire - leotard and tights.,,50.0,,,,"A co-ed dance program teaching various techniques in ballet, modern, jazz, tap and choreography, culminating in college preparatory auditions",
"The Young Women's Leadership School, Astoria",,,,,Screened,,4-Feb,,,,,343.0,,,,,,81.0,,,,,
Performing Dance,7:00 PM,,,4:00 PM,Audition,7:00 PM,,,,,4:00 PM,356.0,Last name U-Z,,4:00 PM,"You will be assessed on the basic techniques of Modern Dance, Jazz Dance and Ballet, and also evaluated on your ability to perform a solo number of your own choice, prepared in advance of the audition.","Tuesday, 11/19/2013",60.0,"Monday, 11/18/2013",,,"Premier Dance Program featuring instruction in Dance, Jazz, Tap, Classical Ballet and Choreography with an emphasis on performance",Make-up auditions
Careers in Business,,Review of Attendance & Punctuality,,,Screened,,4-Feb,,,,,,,,,,,,,,Review of Attendance & Punctuality,"School of Entrepreneurial Studies Business Program equips students with technological skills through courses, internships and job shadowing requirements. Majors: Accounting, Web Design. Courses include MOS Certification, Virtual Enterprise, Finance.",
RKA Humanities,,,,,Screened,,4-Mar,,,,,1498.0,,,,,,160.0,,,,All 9th grade or accelerated subject areas,
Academy for Health Careers,,,,,Limited Unscreened,,,,,,,634.0,,,,,,108.0,,,,,
Comprehensive Model School Project (CMSP),,,,,Limited Unscreened,,,,,,,559.0,,,,,,81.0,,,,,
Humanities,,,,,Screened,,4-Feb,,,,,1323.0,,,,,,60.0,,,,,
Victory Collegiate High School,,,,,Limited Unscreened,,,,,,,543.0,,,,,,81.0,,,,Opportunity for academic growth and career exploration through technology and course material.,
Kurt Hahn Expeditionary Learning School,,,,,Limited Unscreened,,,,,,,238.0,,,,,,81.0,,,,,
Forensic Science and Law Institute,,,,,Screened,,4-Feb,,,,,417.0,,,,,,100.0,,,,"Students will be introduced to forensic and legal processes of criminalistics. Cases of crimes and law enforcement will be studied. Courses will begin in the 9th grade and will continue with the newest techniques in forensics, ballistics, handwriting analysis, applied law, and technology.",
Honors Institute for American Studies - Gilder Lehrman,,,,,Screened,,4-Mar,,,,,147.0,,,,,,34.0,,,,"A humanities-based program for gifted students, sponsored by the Gilder Lehrman Institute for American History; provides students with experiential learning and leadership opportunities.",
Humanities and Interdisciplinary,,,,,Limited Unscreened,,,,,,,611.0,,,,,,100.0,,,,A challenging program with emphasis on addressing social justice issues around community and nation.,
Bilingual Chinese (Mandarin) Communication Arts,,,"Saturday, 11/23/2013",1:30 PM,Screened: Language,,,,"Saturday, 11/23/2013",,8:30 AM,196.0,Instrumental & Vocal Music and Studio Theatre; Last Name M - S,9:30 AM,8:30 AM,,"Saturday, 11/23/2013",28.0,"Saturday, 11/23/2013",,,Same program as listed above but taught in Bilingual Chinese (Mandarin).,Instrumental & Vocal Music and Studio Theatre; Last Name T - U
Science Research,,,,,Ed. Opt.,,,,,,,342.0,,,,,,150.0,,,,"Focuses on academic excellence, meeting all standards via the integration of scientific and technological instruction",
Westchester Square Academy,,,,,Limited Unscreened,,,,,,,595.0,,,,,,108.0,,,,,
Visual Arts,7:00 PM,,,4:00 PM,Audition,7:00 PM,,,,,4:00 PM,177.0,Last name (S-Z),,4:00 PM,"Students must present a portfolio of 10 to 20 pieces of original work including still life, human figure and an imaginative drawing.","Friday, 12/6/2013",23.0,"Wednesday, 12/4/2013",,,"Painting, drawing, art of advertisement and design, dimensional design, art history, textile, photography, product promotion, cartoon design illustration, sculpture.",Last name (S-Z)
Gateway to Engineering â Information Technology,,,,,Limited Unscreened,,,,,,,,,,,,,,,,,"The sequence of courses introduces and builds on fundamental networking concepts and technologies. Students are taught skills necessary to plan, implement, manage, and troubleshoot computer-based networks across a range of applications. Students will also learn how to set up and secure wireless networks using Linksys routers and equipment. Upon completion of the programs, students will qualify to take the Cisco Certified Network Associate (CCNA) industry recognized certification exam and IC3 certification.",
Zoned,1:30 PM,,,11:30 AM,Zoned,4:00 PM,,,"Saturday, 1/4/2014",,11:30 AM,1216.0,Last name A-F for single audition & Last name A-L for multiple auditions,9:30 AM,2:00 PM,,"Sunday, 11/17/2013",169.0,"Sunday, 11/17/2013",1:30 PM,,,Last name G-L for single audition (Music only or Art only)
Vocal Music,,,,12:00 PM,Audition,,,,"Sunday, 12/8/2013",,12:00 PM,565.0,"Drama, Vocal Music; Brooklyn & Queens; Last Name A-L",8:00 AM,8:00 AM,"Present one of the following: a classical selection, or a song from a âGolden Ageâ Broadway musical. The song must demonstrate vocal skills and ability. Classical selections can be found in either âTwenty-Four Italian Songs and Ariasâ or âThe Art Song Anthology.â You must bring sheet music for your song; an accompanist will be provided. Vocal production (the ability to sing scales, sing a cappella, etc.) will be tested at the audition.","Saturday, 12/7/2013",26.0,"Saturday, 12/7/2013",,,"Vocal Music students attend conservatory classes in vocal technique, ensemble singing, sight reading, musicianship, and ear training. Students also study vocal repertory and performance technique, movement for singers, and music history.","Drama, Vocal Music; Brooklyn & Queens; Last Name M-Z"
Gateway: Mathematics and Science Institute,,,,,Ed. Opt.,,,,,,,155.0,,,,,,60.0,,,,"Challenging academic program that prepares students for majors in scientific studies at competitive universities; offers Honors, Advanced Placement, and College Now courses.",
Engineering,,,,,Limited Unscreened,,,,,,,75.0,,,,,,30.0,,,,"Comprehensive pre-engineering program with emphasis on manufacturing, design & robotics; rigorous curriculum includes computer-aided design, using Project Lead The Way (PLTW) curriculum & hands-on application culminating in developing a prototype.",
The Bronx High School of Science,,,,,Test,,,,,,,18620.0,,,,,,750.0,,,,,
Frederick Douglass Academy,,,,,Screened,,4-Mar,,,,,1437.0,,,,,,320.0,,,,"Advanced Placement courses offered to all students. Art, Music and Dance are also offered.",
Building Operations and Technology,,,,,Limited Unscreened,,,,,,,622.0,,,,,,108.0,,,,,
The Bronxwood Preparatory Academy,,,,,Limited Unscreened,,,,,,,310.0,,,,,,108.0,,,,,
Pre-Engineering,,,,,Test,,,,,,,17647.0,,,,,,115.0,,,,"Nationally validated pre-engineering curriculum enriched by the City College faculty, culminating in a senior thesis project.",
The Urban Assembly School for Applied Math and Science,,,,,Limited Unscreened,,,,,,,1740.0,,,,,,81.0,,,,,
Academy of Hospitality and Tourism,,,,,Limited Unscreened,,,,,,,318.0,,,,,,108.0,,,,,
Humanities and Interdisciplinary,,,,,Screened: Language,,,,,,,374.0,,,,,,85.0,,,,"New learners of English develop linguistic, cognitive and cultural skills. The schoolâs classes facilitate the development of English language proficiency and the acquisition of academic skills needed for advanced study in college or the world of work.",
Arts and Business,,,,,Ed. Opt.,,,,,,,1857.0,,,,,,191.0,,,,"Comprehensive core academic courses offering an extensive menu in the fine arts, commercial arts and business",
International Baccalaureate Middle Years Program,,,,,Screened,,4-Feb,,,,,624.0,,,,,,108.0,,,,College preparatory program to prepare students to participate in an interrelated world. Students can earn an International Certificate of Achievement at the end of 10th grade and continue on to earn a Regents Diploma or International Baccalaureate (IB) Diploma.,
Health Careers,,,,,Ed. Opt.,,,,,,,239.0,,,,,,102.0,,,,Health Careers includes an approved curricula in Medical Laboratory Assisting and a new curricula in Sports Medicine; students in this Career and Technical Education (CTE) program may have the opportunity for paid internships in hospitals and medical offices.,
Film/Video Production,,,,8:30 AM,Audition,,,,,,4:00 PM,222.0,Sabbath Observers and Conflict (Last Names A â L),,8:30 AM,Portfolio including two storyboards (each a minimum of ten frames each) depicting a scene from two of your favorite movies and a 250-word essay describing your interest in filmmaking. Students will be given a visual representation and will be asked to develop a story that could be used as the basis for a film. Address these questions: What is the story about? Who are the main characters? What are the conflicts? What type of film? How does it end? Materials are supplied at audition.,"Wednesday, 12/11/2013",28.0,"Wednesday, 11/13/2013",,,"Study includes pre-production, production, and post-production; students study text analysis, film analysis, script-writing, editing in Final Cut-Pro, and film theory; access to state-of-the-art equipment; participation in contests, film festivals; visiting artists and professionals.",Sabbath Observers and Conflict (Last Names M â Z)
Drama,,,"Sunday, 11/17/2013",8:00 AM,Audition,,4-Feb,,"Sunday, 11/24/2013",,12:00 PM,3376.0,Manhattan A - F Students auditioning for a single studio except Technical Theatre,8:00 AM,12:00 PM,Perform two contrasting monologues (one minute each). Perform an impromptu reading. Wear attire that allows free movement.,"Sunday, 11/17/2013",90.0,"Sunday, 11/17/2013",,,"Theatre preparation through courses in acting, voice and diction, physical techniques, theatre history and script analysis.",Manhattan G - L Students auditioning for a single studio except Technical Theatre
Brooklyn Frontiers High School,,,,,Limited Unscreened,,,,,,,238.0,,,,,,65.0,,,,Selection Criteria: Students must attend an Open House and personalized intake meeting.,
Academic Professions,,,,,Ed. Opt.,,,,,,,1226.0,,,,,,82.0,,,Review of Attendance & Punctuality,"Liberal arts curriculum. Electives are offered in all subject areas, including technology.",
Pan American International High School,,,,,Screened: Language,,,,,,,142.0,,,,,,108.0,,,,,
Law and Legal Studies/Law Enforcement Academy,,,,,Limited Unscreened,,,,,,,877.0,,,,,,148.0,,,,"Experience law enforcement, mock trials, debates and internships in our state-of-the-art law library and courtroom; opportunities to network with law enforcement professionals. Affiliated with St. John's University and students may receive college credit.",
Automotive Technologies,,,,,Screened,,4-Feb,,,,,928.0,,,,,,100.0,,,,"Focuses on National Automotive Technicians Education Foundation (NATEF) in the approved areas of Automotive and Collision/Refinishing. Automotive: Auto Electric, Brakes, Engine Performance, Steering and Suspension. Collision/Refinishing: painting and refinishing, Non-Structural Damage Analysis, Repair Standards and Competencies.",
Visual and Media Arts,,,,,Ed. Opt.,,,,,,,125.0,,,,,,68.0,,,,"The Visual Arts course of study will include courses in Photography, Graphic Design, and Studio Art and will also feature hands-on courses in Painting and Ceramics with a requirement of portfolios and student displays and entries into a variety of competitions. Mass Media Arts selections will include courses in Journalism, Web Design, and online publication of the Dewey school newspaper/magazine.",
Urban Assembly School for Careers in Sports,,,,,Limited Unscreened,,,,,,,2094.0,,,,,,125.0,,,,,
Introduction to Agriculture,,,,,Ed. Opt.,,,,,,,1132.0,,,,,,200.0,,,,"Plant and animal sciences, small animal care, veterinary technology, horticulture and landscaping; please see ""School Life"" for the required summer session",
Millennium High School,,,,,Screened,,4-Mar,,,,,4161.0,,,,,,150.0,,,,"Comprehensive interdisciplinary liberal arts program with many opportunities for honors and Advanced Placement courses. Thesis papers required in grades 10, 11 and 12 for graduation.",
Macy Honors Gifted program in the Sciences and Humanities,,,,,Screened,,4-Mar,,,,,320.0,,,,,,180.0,,,,"Science, Mathematics, Technology (SMT) courses and challenging courses in the Humanities: English, Law, Economics, Government, Philosophy and Great Books",
American Studies,,,,,Limited Unscreened,,,,,,,246.0,,,,,,100.0,,,,"Students have the opportunity to explore living history through the arts, the environment, literacy and technology. Partnerships with the Brooklyn Historical Society and Weeksville Heritage Center enhance these expeditionary learning experiences.",
East New York Family Academy,,,,,Screened,,4-Feb,,,,,524.0,,,,,,75.0,,,,Accelerated Regents Program. Advanced Regents Diplomas. Advanced Placement Courses in English and History for college credit. College-level Equivalency Placement Exams in advanced mathematics. Coursework prepares students for 4-year college programs.,
Queens Gateway to Health Sciences,,,,,Screened,,4-Feb,,,,,1987.0,,,,,,108.0,,,,To provide ongoing exposure to health science careers. All students are required to take four years of mathematics and science.,
Central Park East,,,,,Screened,,,,,,,3319.0,,,,,,115.0,,,,,
DreamYard Preparatory School,,,,,Limited Unscreened,,,,,,,316.0,,,,,,108.0,,,,,
Law Institute,,,,,Screened,,4-Mar,,,,,1765.0,,,,,,100.0,,,,"The Law Institute, a four-year Honors program, introduces students to legal concepts and terminology that include, but are not limited to, Constitutional Law, Criminology, International Law and Family Law.",
Business and Law Scholars Academy,,,,,Ed. Opt.,,,,,,,114.0,,,,,,100.0,,,,"This program offers advanced courses in business and law courses, including starting and operating a small business, legal research, civil and criminal law. Internships are also offered.",
Zoned,,,,,Zoned,,,,,,,,,,,,,,,,,Academic Comprehensive Program.,
Dance,,,,8:00 AM,Audition,,,,,,,598.0,,,8:00 AM,"Come prepared to participate in ballet warm-ups and a modern dance combination. Your potential to succeed in the dance program will be evaluated based on alignment, the ability to follow directions, musicality, strength and stretch. Applicants are expected to wear dance clothes (leotards, footless tights and ballet shoes).",,24.0,,,,"Students study modern and ballet technique, choreography, repertory, pointe, pilates, anatomy, and dance history; comprehensive program that includes junior and senior internships and performances at all grade levels.",
Smart Scholars Early College Program,,,,,Screened,,4-Mar,,,,,277.0,,,,,,50.0,,,,"The Smart Scholars Early College Program is comprised of a rigorous curriculum which endeavors to prepare students for college level courses. During their tenure, scholars will fulfill the New York State high school requirements while obtaining 20 transferable college credits.",
