globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
45127B10-60A0-4BCB-BD6E-E3B8DEB7960B,,,,,Forestry remove leaning tree in lawn adj BF 11 CLF,,,,,
1B87E505-01C9-475F-BEE3-4CFE8D14F0B5,,48.0,WASHINGTON AVENUE,,North side of Greene Avenue between Waverly Avenue and Washington Avenue,,Brooklyn,13829.0,,
C114B655-369F-418B-82D2-89311B9000F4,,25.0,,,Remove 3 dead limbs over ps inside plgd tr by middle stairs,2020-10-09T15:18:20,Brooklyn,17215.0,,
497155DE-A833-4C0C-B962-8B7A7E76A496,R005-ZN01,13.0,,,"Remove, hanging, limb, over, path.",2021-02-08T18:57:22,Staten Island,10369.0,,
3A2E4E56-C670-47E7-9F0A-71E19F4B8160,,14.0,,,"Remove, 1, dead, limb, over SW Tree ID: 2912859",2022-07-18T11:39:00,Staten Island,10700.0,,
A7B8A81B-7B56-400D-B958-5DFACBC74EC3,,3.0,,,Forestry pls prune zelkova D/L adj PE Booth Memorial Av & Main St,,Queens,14190.0,,
B77F63E4-1CF5-46C1-A3A4-467D79F85BEA,,29.0,,,"Dead trees, hort area adj plgd, E193st side Tree ID: 5106207",2021-07-18T11:05:15,Bronx,11606.0,,
6A8F8465-81F8-4E21-9AE9-E0B26FB789AF,B073-ZN28,11.0,,,remove dead limb from the street . Tree ID: 5050000,2020-08-06T00:54:00,Brooklyn,17620.0,,
BA1CDCC8-1112-4F12-ACA4-1F1512040A2A,,40.0,,,"Dead limb over dog run,  Tree ID: 2558951",2019-07-09T09:39:29,Bronx,11609.0,,
010CD8F4-22E1-429C-A6D9-7E0C7B48EE55,,28.0,Dieterle Cres,,Rmv multiple dead limbs over s/w & MPPA on  Booth St Tree ID: 1410082,,Queens,14786.0,,
E85FDF27-FCF8-470B-B4A3-1A9DE2964ECD,X030-ZN03,35.0,,,Very large tree fell onto 2 cars Tree ID: 3559695,2021-06-06T21:28:37,Bronx,10930.0,,
F5A5C23B-FB28-42EF-94FF-5C8CA257B5D6,,17.0,,,remove dead branches Tree ID: 4623532,2022-09-16T14:34:14,Brooklyn,13516.0,,
BA5D1E51-2E31-4ECE-8F56-DD2CA859190E,,9.0,GIEGERICH PLACE,5078090020.0,,2016-04-23T14:41:00,Staten Island,10694.0,40.506962,244.01
E5F8A958-D100-4D6B-A706-1173757AA022,,30.0,,,Prune dead limb on London plane  Tree ID: 5018489,2022-08-11T13:37:19,Queens,15310.0,,
7B19C7AA-7731-4030-9E87-5FED26824B3A,,49.0,,,"DIA #99194, 4/13/18",2019-09-11T14:50:00,Brooklyn,13516.0,,
46B82DE2-E512-4FDD-9B5B-F13037330FEA,,34.0,TROUTMAN STREET,4026117501.0,,,Queens,15310.0,40.714372,535.02
E6547EB3-EB52-4AD6-8F0F-7B136E496FAC,B073-ZN13,27.0,,,remove large  hanging limb over active lawn area  Tree ID: 5385390,2020-04-23T13:28:12,Brooklyn,,,
A8F4E9CE-5CCA-4D38-BFB9-8378D1B1277B,,29.0,,,Prune one tree over sidewalk  Tree ID: 5022818,2023-04-28T16:47:36,Bronx,10931.0,,
31A2F184-632F-48A2-BFFF-23BE8E9D6EF6,,48.0,,,Hanging limb over sidewalk adj to Washington Ave  and Classon ave Tree ID: 4530068,2021-07-12T16:28:09,Brooklyn,13509.0,,
