parkname,updateddate,complaintdetails,buildingnumber,callerstate,nta,crossstreet1,srcategory
Wolfe's Pond Park Zone 2,2021-05-11T13:46:12,,0,,/,,Hazard
Kissena Park Zone 2 (Tennis Courts),2022-07-19T17:28:49,,00,,,,Hazard
Spuyten Duyvil Shorefront Park,2023-02-10T11:42:00,Falling tree over trail path,/,,/,,Hazard
Bicentennial Veterans Memorial Park,2020-11-25T19:09:23,,,,/,,Hazard
Plimpton Playground,2022-03-10T15:10:39,Please remove this DIA,,,/,,Illegal Tree Damage
,2016-03-25T16:16:00,,258,,BK42 /,CORTELYOU ROAD,Remove Tree
Colgate Close,2022-04-12T11:27:10,,,,/,,Hazard
Seton Park,2017-10-03T12:42:16,,/,,/,,Prune
Garibaldi Playground,2022-08-01T15:28:28,,0,,/,,Hazard
Canarsie Park,2017-11-13T19:45:00,"DIA# 95515, over path btwn plgd & AF 3",0,,,E 91 ST,Prune
Midland Field,2022-12-26T17:50:09,,0,,/,,Hazard
Highland Park,2020-07-21T17:24:00,,180,,,Bulwer Pl,Rescue/Preservation
Grady Playground,2019-11-25T20:52:00,"DIA #107790 ""over MPPA BBCT closer to exercise equipment""",0,,/,,Hazard
Jacob Javits Plgd,2021-06-07T14:25:57,Dead branche,,,/,,Illegal Tree Damage
Mosholu Parkway (2.Miles)-Mosholu Parkway Zone 2,2021-12-07T11:39:30,,,,/,,Prune
,2016-07-13T10:22:09,,778,,,PUTNAM AVENUE,Plant Tree
Bill Brown Playground,2020-08-13T17:07:03,,,,/,,Hazard
Rose Hill Park,2020-11-21T11:11:11,limb needs to be cut and chipped.,,,/,,Hazard
Forest Park,2019-11-05T16:10:00,,,NY,/,,Plant Tree
,2020-11-21T11:11:11,,1661,,QN20 /,CYPRESS AVENUE,Plant Tree
,2016-07-07T10:58:09,,1820,,QN20 /,FOREST AVENUE,Plant Tree
Century Playground,2017-09-28T18:35:00,"DIA# 94759, adj entrance on BBCT.  Large dead limb exhibiting wood rot.",0,,/,W 2 ST,Prune
Boerum Park,2021-04-14T13:35:58,See photos,,,/,,Hazard
Fox Playground,2020-08-14T02:18:00,,0,,/,,Hazard
River Park,2023-05-12T18:05:05,,,,/,,Hazard
Ericsson Playground,2022-04-05T15:22:19,,0,,/,,Prune
Seth Low Playground/ Bealin Square,2022-07-14T16:42:00,Dead tree by exercise area,0,,/,,Remove Tree
Silver Lake Park Zone 1,2022-04-18T18:35:00,,0,,/,,Hazard
Glenwood Playground,2019-04-10T15:53:00,"DIA #100763 ""over HBCT""",5927,,BK58 /,EAST   77 STREET,Hazard
Dyker Beach Park Zone 1,2020-07-27T15:08:06,,,,/,,Hazard
Fresh Meadows Playground,2021-04-30T19:36:30,,000,,/,,Remove Stump
Torsney Playground,2022-03-16T14:21:14,,,,,,Illegal Tree Damage
Fish Playground,2018-04-16T16:49:51,,,,,,Plant Tree
The Pearly Gates,2020-10-07T14:38:00,test,THE PEARLY,,/,,Prune
Red Hook Recreation Area-Red Hook Park Zone 7,2022-04-28T15:02:00,,0,,/,,Illegal Tree Damage
Aileen Ryan Rec. Complex,,,,,/,,Plant Tree
Van Dyke Playground,2022-01-19T16:33:42,"DIA #137276 "", tree root leading to staircase""",0,,/,,Remove Stump
Maurice A FitzGerald Playground,,,,,/,,Hazard
Al Stabile Playground,,,,,,,Illegal Tree Damage
Ewen Park,2023-05-06T15:20:00,,//,,,,Illegal Tree Damage
Conference House Park,2018-03-14T10:51:08,AMPS #1664770 See Kilcullen if can't find.,298,,SI11 /,,Remove Tree
,2017-03-17T18:00:00,,551,,QN20 /,MENAHAN STREET,Plant Tree
Manhattan Beach Park-Manhattan Beach Zone 2,2020-08-21T20:50:00,,000,,/,,Hazard
Goble Playground,2020-06-18T15:35:19,Dead limb,,,/,,Hazard
Rolph Henry Playground,2020-02-11T21:49:00,,0,,,,Hazard
Dr. Ronald McNair Park,2022-08-08T13:18:00,corner of Eastern parkway on Washington ave,0,,/,,Prune
River Park,2023-04-06T17:42:20,In the middle of the lawn in the barbecue area to the right side entrance of the park,,,/,,Prune
Devoe Park,2023-05-30T10:29:23,See photos please,,,/,,Illegal Tree Damage
Linden Park,2020-02-11T14:25:00,,0,,/,,Prune
Gordon Triangle,,Dead branches on 5 of the trees that are at this location,,,,,Prune
,2016-06-29T13:16:00,"crews responded to large leader break out, per supervisor mercado, inspect for removal",282,,,CHRISSY COURT,Remove Tree
Frederick B. Judge Playground,,,,,/,,Illegal Tree Damage
Father Giorgio Triangle,2023-03-01T18:35:51,,0,,/,,Prune
,,Tree limb fell on side walk and street,309,,,STUYVESANT AVENUE,Hazard
Riverside Park-Middle Park Landscape,2019-11-19T18:00:00,,,,MN12 /,,Remove Tree
Rev J Polite Playground,2022-11-21T15:33:09,,,,,,Prune
Rockaway Community Park,2020-12-03T17:24:00,about 6 separate trees,000,,/,B 54 Street,Hazard
100% Playground,2021-06-16T14:45:00,"DIA #128285 ""over sprinkler area""",0,,/,,Prune
Forest Park,2019-11-12T12:22:00,,000,,,Park La S,Remove Tree
,2016-07-12T16:24:00,,89,,,CENTRAL AVENUE,Plant Tree
MERRICK BLVD & 109 AVE (MEDIAN),,,,,/,,Rescue/Preservation
Greenpoint Playground,2022-10-11T13:12:12,,0,,/,,Prune
Fox Playground,2022-07-11T14:55:59,,,,/,,Illegal Tree Damage
Crotona Parkway Malls-Crotona Malls Zone 2,2020-08-11T16:53:27,,,,/,,Hazard
,,THE TREE BRANCHES ARE HANGING DOWN SCRATCHING PEOPLE AS  THEY WALK BY.,214,,BK83 /,ARLINGTON AVENUE,Prune
Lawrence Virgilio Playground,2018-03-14T19:10:00,stump at 52 street on border,,,/,,Plant Tree
Prospect Park-South West Entrance,2020-04-07T16:07:00,,0,,/,,Prune
Alley Pond Park Zone 3,2021-12-11T19:41:00,,00,,/,,Hazard
Ciccarone Park,2021-04-15T17:15:58,Remove dead Christmas tree at Ciccarone,,,/,,Remove Stump
Marble Hill Playground,2019-01-20T14:55:00,,/,,/,,Prune
Cadman Plaza Park,2017-01-11T17:56:00,,,NY,/,,Plant Tree
North 5th Street Pier and Park,2016-09-28T14:17:00,,,,,,Plant Tree
Quarry Ballfields,2021-09-16T13:24:02,,,,/,,Rescue/Preservation
Gravesend Park,2016-09-28T15:28:00,,,,/,,Plant Tree
Mosholu Parkway (2.Miles)-Mosholu Parkway Zone 4,2022-12-01T16:00:58,Dangling limp on Mosholu Pkwy South towards Southern Blvd,,,/,,Hazard
Alley Pond Park Zone 3,2019-09-11T17:25:00,Dead limbs,000,,/,,Prune
Cooney Grauer Field,2016-09-28T11:15:00,,,,/,,Plant Tree
Orient Grove,2023-01-10T14:54:10,Second request,0,,,,Prune
Lawrence Virgilio Playground,2020-06-08T15:55:00,,0,,/,,Illegal Tree Damage
Maria Hernandez Park,2020-04-15T14:31:31,,,,/,,Hazard
,2016-07-13T07:30:15,,970,,,CENTRE STREET,Plant Tree
Queensbridge Park,2019-06-11T18:25:00,,0,,/,,Prune
,,I would like trees planted in the empty spots along 149th st between 20 ave 17 road in queens 11347.,,,/,20 AVENUE,Plant Tree
Dr. Gertrude B. Kelly Playground,2018-04-17T15:38:21,,,,/,,Plant Tree
Saul Weprin Playground,2023-06-29T13:13:00,,00,,/,,Rescue/Preservation
,,2252 Aqueduct Ave,2240,,BX36 /,HALL OF FAME TERRACE,Hazard
,,HITTING WINDOW CHRONIC. HAS CALLED BEFORE.,228,,BK77 /,WILSON AVENUE,Prune
Electric Playground,2019-09-09T13:39:00,,00,,QN38 /,,Prune
,,The tree branch is hitting the power lines.,588,,BK91 /,ALBANY AVENUE,Prune
Sixteen Oaks Grove,2021-07-01T17:07:57,,,,/,,Prune
Marcy Playground,2020-06-08T18:21:00,,0,,/,,Rescue/Preservation
,2019-09-09T18:11:30,Elm declining,661,,BX37 /,BIRCHALL AVENUE,Remove Tree
L/CPL Thomas P. Noonan Jr. Playground,2022-03-10T16:26:25,,0000,,/,,Hazard
Kissena Park,2019-07-15T12:09:00,,0,,/,,Hazard
Riverside Park-South Lawn,2022-03-25T14:31:00,,M071,,MN12 /,,Prune
Pelham Bay Park-The Meadow,2023-04-07T14:26:00,TRee ID 5427768 38DBH Northern Red Oak dead limb over path,/,,/,,Hazard
,2015-06-22T16:38:00,DEAD BIRCH TREE.,19,,,DEAD END,Remove Tree
Henry Hudson Park,2023-04-25T16:00:54,,,,/,,Hazard
S.I. Greenbelt-Willowbrook Park Recreational Area,2022-07-27T16:14:31,See attached picture for condition,0,,/,,Hazard
Badame Sessa Triangle,2023-02-23T16:18:15,,0,,/,,Prune
Marconi Park,2017-01-25T13:22:34,,,,/,,Plant Tree
Linwood Playground,2021-04-06T16:57:14,,0,,,,Prune
Hoyt Playground,,,,,/,,Prune
,2018-06-25T19:52:00,,1745,,QN20 /,SENECA AVENUE,Plant Tree
Harmony Triangle,2022-04-28T20:05:00,,0,,/,,Pest/Disease
,2019-10-31T16:42:00,AMPS 1870361 rmv numerous large dead limbs.,35,,SI36 /,PARKINSON AVENUE,Prune
Mosholu Parkway,2018-09-11T19:55:35,CP Ledwon reports large hanging limb from oak,/,,/,,Hazard
,2018-10-24T20:20:00,,754,,QN20 /,MYRTLE AVENUE LINE,Plant Tree
Bloomingdale Park Zone 3,2021-12-02T16:12:05,,0,,/,,Rescue/Preservation
Bryant Triangle,2022-12-14T14:54:08,,,,/,,Illegal Tree Damage
Kissena Park Zone 6,2021-10-26T19:38:17,Photo attached,,,/,,Hazard
Imagination Plgd,2021-06-08T13:00:40,tree nearest entrance of playground,0,,/,,Prune
Prospect Park,2020-01-29T21:14:00,"DIA #111099 ""over small path & trail btwn East Dr & old concession building""",0,,,,Hazard
,2016-05-18T13:44:00,per DPR crew please reinspect as possible removal,11,,,BEECHWOOD PLACE,Remove Tree
Claremont Park-Claremont Zone 1,2019-09-16T14:39:13,,,,/,,Hazard
Bedford Playground,2022-07-14T15:57:00,"DIA #128962 ""over Bedford av SW""",0,,/,,Prune
Longfellow Playground,2021-03-29T13:12:59,,,,/,,Hazard
,2023-06-21T10:03:01,,2187,NY,,1 COURT,Plant Tree
Red Hook Recreation Area,,,,,/,,Plant Tree
D'Emic Playground,2020-01-22T15:47:00,,0,,/,,Prune
Lithuania Square,2022-04-28T18:53:00,,0,,,,Prune
Montbellier Park,,H/L,000,,/,138 Rd,Hazard
,2019-03-27T14:58:23,Oak with significant top decline,927,,,BOGART AVENUE,Remove Tree
Tiffany Playground,2021-10-25T19:18:25,,,,/,,Prune
,2018-04-05T15:22:35,"ConEd reports dead tree, tree point 2252526",1650,,BX37 /,VAN NEST AVENUE,Hazard
Gouverneur Playground,2020-11-12T18:28:57,Dead limb need to be prime,,,/,,Prune
,2015-03-26T04:00:00,Notes 1,1,,/,,Plant Tree
Belmont Playground,2020-03-23T15:34:33,,0,,,,Hazard
,2015-09-16T12:21:00,,64,,SI01 /,HOLTEN AVENUE,Remove Tree
Astoria Park,2020-11-21T11:11:11,,,,/,,Plant Tree
,2020-08-06T17:22:06,From Manhattan Ave to Franklin  Street. Blocked off,,,/,INDIA STREET,Hazard
Di Gilio Playground,2015-12-07T19:22:00,,0,,/,,Prune
Prospect Park West,2022-02-11T14:16:00,west drive inner path,0,,/,,Prune
Manhattan Beach Park-Manhattan Beach Zone 2,2020-08-21T20:57:00,,000,,/,,Hazard
Sunrise Playground,,PRUNING,,,/,,Prune
Mazzei Playground,2017-10-09T08:40:16,dia 94442 - dangling limb over track near Mace Ave adj BBCT,/,,,,Hazard
Astoria Park Zone 2,2023-06-01T13:06:16,,0000,,/,,Rescue/Preservation
Alley Pond Park Zone 5,2022-01-22T18:59:00,T/D,00,,/,,Hazard
Baisley Pond Park Zone 4,2022-09-06T15:03:52,,000,,/,,Hazard
,2020-07-02T01:02:25,,,,/,AVENUE J,Hazard
Washington's Walk,2022-09-01T13:30:24,,,,,,Hazard
Slope Park Playground,2022-04-19T13:04:31,,0,,/,,Prune
Mazzei Playground,2023-01-05T15:00:26,"DIA:151999
Hanging limb",,,/,,Hazard
Julio Carballo Fields,2020-12-30T16:51:24,dead branch,,,/,,Prune
Clove Lakes Park Zone 1,2022-01-15T19:15:00,,0,,/,,Rescue/Preservation
Breukelen Ballfields,2018-12-06T15:31:15,"DIA #104334 ""over less active lawn adj bench near Stanley & Louisiana Aves.""",0,,,,Hazard
Bill Rainey Park,2022-11-04T11:50:33,,\,,,,Prune
Judge Moses Weinstein Playground,2023-03-29T16:24:52,,,,,,Hazard
Nelson Playground,2021-03-11T20:01:00,Dead trees,/,,/,,Illegal Tree Damage
,,TREE BRANCHES ARE HANGING BROKEN HANGING DOWN TO THE STREET AND SIDEWALK,,,,11 AVENUE,Prune
Brooklyn Bridge Park,2018-02-02T10:46:53,"DIA #82473 ""at entrance to J-Swing area""",0,,/,,Hazard
,2015-06-02T11:16:05,tree in front of cemetery fell down.,0,,/,,Hazard
,2023-04-14T12:26:00,In front of building,7,,,FRAWLEY CIRCLE,Plant Tree
Bergen Triangle,2023-04-21T16:18:18,,,,,,Hazard
Seth Low Playground/ Bealin Square,2022-04-28T18:15:00,,0,,/,,Illegal Tree Damage
,2020-05-18T02:16:00,,000,NY,/,78 AVE,Hazard
,2019-04-04T14:37:00,,59-032,,,60 PLACE,Plant Tree
,2019-01-28T14:16:00,Empty plotLocated near bike lane,734,NY,,WEST   49 STREET,Plant Tree
,,tree branches are hitting power,,,,20 AVENUE,Prune
Van Cortlandt Park,2021-04-01T15:35:00,,/,,/,,Remove Tree
Hinton Park,2021-02-11T18:07:43,,00,,/,,Prune
Clove Lakes Park Zone 3,2020-11-09T19:19:00,,0,,/,,Hazard
,2019-12-09T19:40:00,,0000,,/,ALLENDALE STREET,Hazard
Riverside Park,,,,,,,Plant Tree
,,No tree at 159 ellery st.,159,NY,BK75 /,TOMPKINS AVENUE,Plant Tree
Msgr. McGolrick Park,2020-10-06T14:30:54,,0,,/,,Prune
Devoe Park,2023-06-07T12:53:27,,,,/,,Prune
,,Tree branch hanging low from other branches.,6612,,,EAST   66 STREET,Hazard
,2020-10-15T15:15:00,,2075,,BK58 /,AVENUE N,Claims
Linden Park,2021-03-09T16:17:14,,0,,,,Prune
Patrick O'Rourke Playground,2023-01-09T15:32:59,,0,,/,,Hazard
,2022-09-20T14:05:35,Sidewalk,241-20,,QN05 /,241 STREET,Plant Tree
Strawberry Playground,2022-06-15T16:15:06,,0,,,,Prune
Harvey Playground,,20 Av & 144 St,,,/,,Hazard
Torsney Playground,2019-05-10T17:11:00,,Q340,,/,42 St,Remove Tree
Arrochar Playground,2019-04-11T18:19:20,Large dead limb on Sand lane narrow end of site below red sprinkler heads.,0,,/,,Prune
Lefferts Playground,2018-03-23T19:43:00,"Large dangling limb, over the NE corner of the HBCT",Q096E,,/,121 STREET,Hazard
MacNeil Playground,2023-06-22T17:19:20,,00,,/,,Prune
,2017-05-01T14:36:00,CALL FROM CON-ED-SUBSTATION-TREE DOWN ON FENCE-,59-77,,QN30 /,59 ROAD,Hazard
Theodore Roosevelt Park,2021-08-16T16:03:15,,,,/,,Illegal Tree Damage
Cunningham Park Zone 2,2021-07-16T14:44:19,Across 81-42 193rd st,,,,,Illegal Tree Damage
Prospect Park-South West Entrance,2022-04-28T18:24:00,,0,,/,,Rescue/Preservation
Linden Park,2021-05-03T18:05:29,,0,,,,Hazard
Corporal John A. Seravalli Playground,2016-09-28T12:14:00,,,,,,Plant Tree
,2017-04-05T12:27:58,,,,/,BEND,Plant Tree
Rev J Polite Playground,2020-08-11T15:58:30,,,,/,,Hazard
Clove Lakes Park Zone 4,2022-08-04T16:39:05,,216,,/,,Illegal Tree Damage
,2016-07-15T10:04:43,,407,,,HIMROD STREET,Plant Tree
White Park,2021-06-23T15:47:00,Sweet gum dying back. No foliage on top.,0,,/,,Pest/Disease
Jackie Robinson Parkway,2021-09-16T18:09:23,Deadwood,82-03,,QN19 /,81 St,Prune
Greenpoint Playground,2022-10-11T12:36:10,,0,,/,,Prune
Sternberg Park,2023-06-22T12:47:48,,0,,/,,Illegal Tree Damage
Prospect Park,2022-07-18T13:41:00,"DIA 121229  ""over less active lawn adj rustic shelter""",0,,,,Hazard
Watson Gleason Playground,2023-02-16T17:48:25,,,,,,Prune
Mount Eden Malls,2021-11-29T17:09:28,Dead limb,,,/,,Prune
Imagination Plgd,2022-03-31T16:46:34,,0,,/,,Prune
Fort Tryon Park Zone 2,2022-06-21T12:33:00,,,,MN35 /,,Hazard
Roebling Playground,2023-02-21T14:26:22,,0,,/,,Prune
