hispanic_num,grade1,sped_percent,grade4,grade2,white_per,prek,dbn,grade10,male_per
44,82,13.6,,,40.1,,02M151,,57.6
156,33,10.0,33,30,15.6,54,02M225,    ,43.0
165,,8.8,,,48.5,,03M054,,50.3
60,    ,0.0,    ,    ,20.4,    ,02M565,69,40.8
99,,0.1,,,32.2,,02M475,809,55.9
276,94,15.4,104,98,25.6,16,03M163,,50.9
89,99,14.4,78,84,58.6,31,02M040,,50.4
183,,15.5,,,4.3,,02M690,99,49.9
169,,13.8,,,35.3,,02M413,104,48.1
77,44,12.1,47,36,1.3,57,03M076,,48.8
503,141,9.5,109,115,1.2,34,01M020,,46.6
64,86,15.1,84,90,65.0,29,02M040,,52.7
236,,2.9,,,4.8,,02M575,379,57.8
343,,14.9,,,2.6,,02M580,180,31.7
172,45,23.1,61,52,6.1,13,01M019,,50.3
729,,10.2,,,10.5,,02M630,439,49.0
99,,18.6,,,1.3,,02M131,,57.2
136,    ,9.7,    ,    ,52.2,    ,03M054,    ,51.3
77,130,18.0,118,142,72.6,36,02M041,,50.8
86,126,16.6,84,102,60.2,,02M183,,54.0
149,67,12.0,70,77,43.6,33,03M009,,47.8
149,44,24.6,39,32,2.8,17,01M015,,59.1
183,    ,15.6,    ,    ,1.3,    ,02M316,118,0.0
182,,16.0,,,34.0,,02M413,92,48.2
218,,17.5,,,7.2,,02M551,110,60.2
19,,24.7,,,37.0,,02M422,,61.6
140,,3.9,,,18.8,,02M550,92,62.4
309,,14.9,,,29.2,,02M167,,52.6
548,,13.1,,,1.1,,02M615,342,59.2
97,,9.3,,,46.0,,02M407,61,52.6
290,,21.9,,,3.1,,01M292,89,58.1
52,,12.1,,,48.7,,02M312,,52.0
193,50,31.5,48,42,7.4,27,01M064,    ,56.8
21,63,3.1,58,59,7.4,36,01M184,,53.9
233,    ,11.5,    ,    ,2.0,    ,02M544,100,51.2
77,43,15.1,27,46,42.1,34,01M361,,47.2
86,121,16.8,87,125,73.6,36,02M041,,52.0
24,28,15.6,28,28,65.1,18,02M150,,45.7
229,,6.5,,,2.2,,02M544,154,45.2
142,,13.7,,,4.2,,02M305,78,40.8
130,28,27.6,32,27,7.0,13,01M063,,63.8
78,113,12.7,96,126,73.1,,02M290,,51.1
85,97,15.7,67,90,59.8,,02M059,,52.2
94,,45.8,,,11.4,,02M047,11,49.4
136,,8.9,,,3.8,,01M458,54,45.1
110,35,22.7,30,33,2.0,13,01M015,,55.7
89,57,12.2,32,30,22.5,36,02M217,,45.7
118,24,29.5,45,26,7.1,12,01M063,,61.7
163,107,4.0,74,82,51.8,,01M539,52,46.2
108,,0.5,,,41.6,,01M696,150,33.0
69,54,16.2,47,45,0.3,34,03M149,,51.4
828,,11.1,,,4.3,,02M600,454,7.8
46,,2.4,,,21.6,,02M411,107,38.0
111,,8.3,,,1.5,,02M316,93,0.0
179,,27.2,,,3.4,,02M308,102,41.4
153,,0.3,,,13.5,,02M459,77,46.0
247,52,22.1,58,48,1.5,23,01M137,,52.0
80,    ,0.4,    ,    ,23.7,    ,02M475,827,59.3
219,,9.5,,,2.1,,02M535,51,53.6
76,    ,0.6,    ,    ,3.4,    ,02M438,106,61.4
61,,2.0,,,58.1,,02M416,115,35.4
147,,3.0,,,37.0,,02M408,109,26.5
64,168,10.2,182,193,4.2,36,02M130,,53.1
210,,7.5,,,4.6,,02M544,158,52.4
86,123,17.9,105,110,59.5,,02M003,,52.6
440,92,16.3,103,110,7.6,18,03M165,,55.9
177,,16.5,,,3.7,,02M288,125,41.2
253,35,22.7,45,30,1.0,32,01M188,,48.1
81,86,13.7,68,78,0.4,54,02M001,    ,53.5
99,,0.3,,,27.5,,02M475,820,58.2
66,,15.6,,,2.3,,01M056,,54.3
50,    ,1.2,    ,    ,0.9,    ,01M515,261,53.7
261,,16.4,,,1.4,,02M543,126,39.8
157,,2.8,,,12.5,,02M550,126,57.9
734,,10.2,,,9.4,,02M630,406,57.9
128,85,9.0,75,79,1.7,72,03M180,,46.4
168,,11.4,,,20.1,,02M414,124,48.8
222,76,11.9,61,89,28.0,36,03M084,    ,50.9
80,56,11.2,59,37,19.7,35,02M217,,54.1
67,,13.1,,,47.7,,02M412,134,48.8
153,39,22.6,42,38,1.6,15,01M015,,57.6
463,,8.8,,,3.5,,02M570,297,46.6
156,38,10.1,33,30,17.7,54,02M225,,46.5
337,,14.7,,,1.6,,02M419,117,44.3
787,,7.2,,,6.0,,02M420,445,30.3
98,58,21.0,66,66,41.7,,02M212,,47.1
115,,8.2,,,4.3,,02M300,97,70.2
234,101,3.2,77,118,44.6,,01M539,177,47.6
347,72,13.8,79,66,5.9,18,01M110,,49.1
99,,0.2,,,35.9,,02M475,710,56.8
52,153,10.8,188,163,3.7,36,02M130,,53.2
181,    ,21.8,    ,    ,2.3,    ,01M448,97,57.4
130,    ,13.5,    ,    ,2.4,    ,02M440,30,63.9
39,131,11.8,130,132,1.0,35,02M042,,53.6
1398,,12.5,,,3.3,,02M520,798,50.7
238,,8.8,,,5.0,,02M439,125,34.5
93,,0.2,,,37.6,,01M696,152,31.3
350,,16.3,,,2.0,,02M580,193,29.5
204,112,19.1,87,105,40.9,18,02M011,,54.5
137,,9.6,,,33.9,,02M418,149,37.5
224,,19.3,,,6.3,,02M449,107,46.0
450,,18.0,,,1.7,,02M655,155,53.4
10,,1.2,,,2.9,,02M545,105,52.2
509,,1.0,,,0.0,,02M542,160,53.8
157,39,23.0,47,36,2.7,18,01M015,,54.8
376,91,17.0,93,100,1.5,36,01M020,,48.2
110,30,25.6,26,21,8.5,18,01M063,    ,55.1
51,,0.7,,,2.0,,02M394,150,50.7
456,,13.7,,,5.3,,02M529,178,38.2
104,139,16.5,81,116,64.7,74,02M003,,52.8
146,,0.6,,,15.8,,02M459,64,49.2
55,,12.4,,,38.8,,02M312,,51.9
245,,19.6,,,5.1,,02M300,103,74.3
48,,2.9,,,5.3,,02M298,103,51.9
52,,13.6,,,27.5,,02M289,,48.4
331,    ,26.4,    ,    ,10.4,    ,01M450,93,54.7
212,    ,17.9,    ,    ,10.2,    ,02M551,126,60.9
137,,14.6,,,7.1,,02M313,67,54.9
335,66,27.5,52,53,14.2,30,02M111,,50.3
81,31,21.3,39,46,39.5,35,01M361,,48.1
172,87,10.7,94,103,44.9,26,03M166,,49.8
104,,10.3,,,50.5,,02M407,64,51.3
238,66,17.6,66,62,8.9,33,02M126,,52.0
90,61,20.2,38,42,0.7,36,03M149,,49.0
373,102,15.8,132,106,13.2,,03M075,,50.8
175,,11.8,,,17.6,,02M414,109,45.4
123,56,19.6,53,50,34.2,18,01M364,,55.8
15,,1.4,,,1.7,,02M545,88,51.4
195,,17.3,,,8.2,,02M294,96,51.8
148,    ,6.9,    ,    ,1.1,    ,02M427,81,54.9
275,38,26.4,28,36,2.0,14,01M034,    ,50.9
303,,18.0,,,2.2,,02M419,135,46.7
170,,11.3,,,3.3,,02M570,73,42.3
109,77,10.2,52,71,1.1,61,03M180,,50.0
119,    ,3.2,    ,    ,41.8,    ,02M408,103,25.3
131,,17.6,,,2.8,,02M303,74,56.5
249,,17.7,,,5.3,,02M449,120,44.7
868,,9.8,,,5.1,,02M600,477,8.7
195,,16.5,,,32.4,,02M413,104,48.2
36,59,12.4,61,58,68.9,,02M077,,48.9
208,,22.4,,,3.2,,01M292,72,55.5
235,    ,9.3,    ,    ,17.4,    ,02M560,29,43.6
50,,2.2,,,62.5,,02M416,120,33.3
81,125,17.3,117,149,69.7,,02M006,,53.4
1066,,17.0,,,2.4,,02M625,560,47.2
149,56,21.5,48,44,9.8,33,01M019,,48.0
71,,24.9,,,23.3,,02M896,,45.1
301,32,21.2,44,33,2.1,18,01M034,,50.0
241,102,12.0,59,103,23.7,36,03M084,,51.0
44,,12.6,,,36.7,,02M289,,48.0
214,,16.7,,,23.8,,02M104,,52.9
315,    ,18.8,    ,    ,1.9,    ,02M419,125,48.5
83,63,10.4,56,60,53.3,35,02M059,,49.0
110,32,9.2,23,28,8.5,50,02M225,,52.9
76,38,26.5,45,47,33.2,18,01M363,,54.0
77,,9.4,,,10.5,,02M605,65,43.3
41,138,15.2,68,82,56.1,33,02M089,,51.6
141,36,26.9,36,31,0.4,16,01M137,,52.9
337,,25.1,,,5.3,,01M450,81,52.7
53,,10.6,,,51.1,,02M412,128,44.3
1139,1,15.0,,,2.4,,02M625,563,58.6
1728,,11.8,,,1.4,,02M620,600,49.6
216,119,3.8,61,113,49.4,,01M539,140,48.0
358,54,26.4,46,48,12.2,36,02M111,,49.8
214,,17.0,,,4.4,,02M543,92,44.2
255,    ,20.0,    ,    ,4.9,    ,02M300,106,74.9
42,,0.7,,,29.0,,02M565,47,42.1
200,55,14.0,41,56,0.8,37,01M134,,47.2
67,49,22.6,22,25,37.3,36,01M315,,59.0
96,,0.2,,,37.5,,01M696,132,28.2
15,,0.8,,,0.4,,01M515,223,54.7
365,63,25.8,52,47,16.3,36,02M111,,48.9
213,61,20.2,46,57,10.7,34,02M126,,51.9
242,,15.8,,,5.7,,02M300,107,74.1
383,,13.1,,,5.1,,02M580,216,29.7
71,55,11.1,56,57,49.6,    ,02M212,    ,49.3
57,,15.6,,,7.3,,01M301,,49.0
37,61,3.2,    ,53,52.6,56,02M397,    ,54.2
41,,2.0,,,29.3,,02M565,37,38.8
397,58,20.3,47,58,13.7,30,02M111,,51.6
178,,14.0,,,1.5,,02M316,90,0.0
