project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
P1977R0177,,,LANDALL CORP,,1979-02-01T00:00:00.000,,,,General Public,,,R01
P1984Y1016,,,Unknown,,,,,,General Public,,,
2020K0444,20 Berry Street,C240271ZMK; N240272ZRK; C240273ZSK; 260016LDK,hadi Hajjar,Type I,,EAS - Community Board Referral,,False,General Public,EAS - Review Filed EAS,2025-08-15T00:00:00.000,K01
2020Q0349,21-17 37th Avenue Rezoning,230306ZMQ,Yaron Rosenthal,Unlisted,,EAS - Project Completed,,False,General Public,EAS - Review Filed EAS,2023-04-07T00:00:00.000,Q01
2024R0338,47 Terrace Court,N250080ZAR; N250081ZAR,Roger Morace,Type II,2025-05-08T00:00:00.000,ZA - Project Completed,,False,General Public,,,R02
P1985K0128,DISPOSITION OF CITY-OWNED PROPERTY,C850143PPK,DRP,,1985-02-28T00:00:00.000,,,,General Public,,,K04
P1985K0732,OLD FLATBUSH TOWN HALL,C850769PPK,DRP,,1986-01-09T00:00:00.000,,,,General Public,,,K14
P1977R0185,RICHMOND AVE & FOREST HILL RD,N760214ZAR,"BERNSTEIN, WALTER L FOR SI MODELEERS",,1977-02-10T00:00:00.000,,,,General Public,,,R02
2025M0282,One Battery Park Plaza IBO Office Space Acq,,IBO - Independent Budget Office,Type II,,PX - Project Completed,,False,General Public,,,M01
2019R0401,SD 86 Ridgecrest Avenue,N190473RCR,Calvanico Associates,Type II,2019-11-18T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1984Y0956,,N840428AZRY,DCP,,1984-09-13T00:00:00.000,,,,General Public,,,"K00,X00,CY00,M00,Q00,R00"
P1982Y1180,,,Unknown,,,,,,General Public,,,
2020K0199,Broadway Triangle - Bartlett Crossing,220209HAK,HPD - NYC Dept of Housing Preservation & Development,Unlisted,2022-05-25T00:00:00.000,HA - Project Completed,,False,General Public,,2021-11-12T00:00:00.000,K01
P1977M0041,"26-30 W61TH ST,39-43 W60TH ST",C760047ZPM,RHODE ISLAND CORP,,1977-10-06T00:00:00.000,,,,General Public,,,M07
2020R0196,262 Brighton Avenue,N210110ZAR,Stasia Krebushevski,Type II,2021-03-03T00:00:00.000,ZA - Project Completed,,False,General Public,,,R01
2020K0271,101 Varick Avenue,210329PCK,DOT,Type I,2021-10-22T00:00:00.000,PS - Mayoral Veto,34.0,False,General Public,,2021-03-19T00:00:00.000,K01
P1977K0390,SALE OF CITY-OWNED PROPERTY,C770289PPK,DEPT OF REAL ESTATE,,1978-01-19T00:00:00.000,,,,General Public,,,K05
P1976R0002,FONDA PL,C770009MMR,"GELLIS, HILLIE",,1978-01-27T00:00:00.000,,,,General Public,,,R03
2022R0269,SD 28 McKee Avenue,N220278RCR,Joseph Longobardi,Type II,2022-04-19T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1985K1205,HAMILTON FED. SAVINGS & LOAN ASSOC.,,ZUMBO,,,,,,General Public,,,
P1977Q0284,132-05 ATLANTIC AVE,,DSNY,,1977-06-23T00:00:00.000,,,,General Public,,,Q09
P1985K0341,DISPOSITION OF CITY-OWNED PROPERTY,C850361PPK,DRP,,1985-05-23T00:00:00.000,,,,General Public,,,K03
P1977Q0240,REDFERN AVE,C770036MMQ,NYC TRANSPORTATION ADMINISTRATION,,1978-04-05T00:00:00.000,,,,General Public,,,Q14
