manhattan_cooperatives_comparable_properties_boro_block_lot,longitude,comparable_rental_1_gross_sqft,bin,comparable_rental_1_building_classification,comparable_rental_2_estimated_gross_income,comparable_rental_1_distance_from_coop_in_miles,comparable_rental_1_full_market_value,comparable_rental_2_address,comparable_rental_3_address,comparable_rental_2_full_market_value,borough,nta,comparable_rental_2_building_classification,comparable_rental_1_total_units,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_2_total_units,comparable_rental_2_boro_block_lot,manhattan_cooperatives_comparable_properties_market_value_per_sqft
1-01473-0013,,7676,,C7-WALK-UP,381740.0,0.0,1793000,"{'latitude': '40.771917861552', 'longitude': '-73.952992623036', 'human_address': '{""address"": ""1500 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2255000.0,1,,C7-WALK-UP,11, , ,15.0,1-01473-0003,177.63
1-00497-0007,-73.998409,16454,1007563.0,D1-ELEVATOR,903594.0,0.65,3223000,"{'latitude': '40.711627312708', 'longitude': '-74.008408846482', 'human_address': '{""address"": ""217 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,11295000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D6-ELEVATOR,24, , ,8.0,1-00178-0016,181.93
1-01385-0037,-73.964897,215600,1041333.0,D6-ELEVATOR,10528049.0,0.11,48934000,"{'latitude': '40.637340130872', 'longitude': '-74.027940743125', 'human_address': '{""address"": ""210 68 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1393 2 AVENUE,54789000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,120,33.28,1964,210.0,1-01422-0048,226.97
1-01499-0071,-73.959594,52848,1046926.0,D3-ELEVATOR,14804490.0,0.22,8379000,"{'latitude': '40.780542359813', 'longitude': '-73.959045060294', 'human_address': '{""address"": ""1150 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,76683000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,45, , ,360.0,1-01497-0009,158.74
1-01576-0014,,241983,,D8-ELEVATOR,8168036.0,0.25,41976000,"{'latitude': '40.624709467036', 'longitude': '-74.029033943208', 'human_address': '{""address"": ""351 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",430 EAST 86 STREET,41643000.0,1,,D6-ELEVATOR,237,30.12,1931,187.0,1-01547-0023,144.67
1-00482-0022,-73.997309,12225,1007216.0,D6-ELEVATOR,1366791.0,0.53,2259000,"{'latitude': '40.718365137764', 'longitude': '-73.985403359154', 'human_address': '{""address"": ""90 CLINTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7475000.0,1,SoHo-TriBeCa-Civic Center-Little Italy                                     ,D6-ELEVATOR,22, , ,36.0,1-00348-0040,189.51
1-01270-0017,,38704,,D6-ELEVATOR,4018994.0,0.05,5852000,"{'latitude': '40.647270957414', 'longitude': '-74.021384779213', 'human_address': '{""address"": ""57 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",140 WEST 55 STREET,19697000.0,1,,D6-ELEVATOR,37,29.9,1912,105.0,1-01271-0007,168.12
1-00321-0001,-73.979136,10656,1083419.0,D9-ELEVATOR,945792.0,0.66,1143000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""299 3 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4075000.0,1,Lower East Side                                                            ,D3-ELEVATOR,23, , ,38.0,1-00373-0056,57.52
1-01350-0020,,108559,,D6-ELEVATOR,756230.0,0.0,17162000,"{'latitude': '40.642734310183', 'longitude': '-74.018530699764', 'human_address': '{""address"": ""330 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",340 EAST 58 STREET,3130000.0,1,,D1-ELEVATOR,128,27.09,1917,34.0,1-01350-0035,139.05
1-01473-0012,,7676,,C7-WALK-UP,381740.0,0.0,1793000,"{'latitude': '40.771917861552', 'longitude': '-73.952992623036', 'human_address': '{""address"": ""1500 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2255000.0,1,,C7-WALK-UP,11, , ,15.0,1-01473-0003,177.63
1-01889-0042,-73.972323,7260,1057148.0,C5-WALK-UP,231253.0,0.2,803000,"{'latitude': '40.79924871534', 'longitude': '-73.967011949245', 'human_address': '{""address"": ""208 104 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",317 WEST 107 STREET,1155000.0,1,Upper West Side                                                            ,C4-WALK-UP,16,34.37,1920,11.0,1-01875-0037,131.92
1-02179-0500,-73.935538,60654,1064381.0,D1-ELEVATOR,1152121.0,0.13,2651000,"{'latitude': '40.85564474248', 'longitude': '-73.933207538392', 'human_address': '{""address"": ""4411 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3507000.0,1,Washington Heights North                                                   ,D7-ELEVATOR,60, , ,91.0,1-02180-0480,49.87
1-01224-0038,,81030,,D3-ELEVATOR,1939200.0,0.1,7936000,"{'latitude': '40.6164560004', 'longitude': '-74.036369859683', 'human_address': '{""address"": ""143 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7623000.0,1,,D3-ELEVATOR,60, , ,92.0,1-01851-0005,100.92
1-01433-0034,,82065,,D3-ELEVATOR,1890012.0,0.1,10916000,"{'latitude': '40.628960395409', 'longitude': '-74.027160515172', 'human_address': '{""address"": ""353 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",219 EAST 81 STREET,10871000.0,1,,D6-ELEVATOR,90,34.13,1972,67.0,1-01453-0021,176.93
1-01763-0001,-73.935936,331448,1054344.0,D6-ELEVATOR,5375807.0,0.67,11460000,"{'latitude': '40.814087071506', 'longitude': '-73.949656138308', 'human_address': '{""address"": ""410 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",646 LENOX AVENUE,18419000.0,1,East Harlem North                                                          ,D7-ELEVATOR,261,11.89,1970,316.0,1-01958-0001,45.31
1-02243-0289,,67734,,D1-ELEVATOR,1013104.0,0.0,3805000,"{'latitude': '40.871944007864', 'longitude': '-73.919055752705', 'human_address': '{""address"": ""583 215 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3284000.0,1,,D1-ELEVATOR,60, , ,67.0,1-02250-0050,48.0
1-01427-0038,,97750,,D6-ELEVATOR,2336130.0,0.06,14789000,"{'latitude': '40.771908868332', 'longitude': '-73.961122494181', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",331 EAST 71 STREET,10916000.0,1,,D6-ELEVATOR,71,25.43,1940,35.0,1-01409-0021,151.29
1-01871-0020,,95400,,D6-ELEVATOR,1939200.0,0.1,2893000,"{'latitude': '40.6164560004', 'longitude': '-74.036369859683', 'human_address': '{""address"": ""143 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,7623000.0,1,,D3-ELEVATOR,93, , ,92.0,1-01851-0005,81.28
1-01580-0014,,9190,,C1-WALK-UP,247085.0,0.0,1618000,"{'latitude': '40.623142559203', 'longitude': '-74.024237745638', 'human_address': '{""address"": ""533 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",507 EAST 83 STREET,1098000.0,1,,C1-WALK-UP,15,40.99,1910,15.0,1-01580-0020,176.16
1-01209-0049,,48972,,D1-ELEVATOR,775354.0,0.2,2814000,"{'latitude': '40.767841663793', 'longitude': '-73.981305601423', 'human_address': '{""address"": ""293 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3882000.0,1,,D9-ELEVATOR,48, , ,35.0,1-01203-0031,126.54
1-01889-0036,-73.972323,143604,1057146.0,D3-ELEVATOR,2756615.0,0.1,10062000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""915 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",908 WEST END AVENUE,13664000.0,1,Upper West Side                                                            ,D3-ELEVATOR,78,22.75,1925,94.0,1-01891-0026,120.47
1-01121-0043,,42642,,D3-ELEVATOR,1427064.0,0.05,10295000,"{'latitude': '40.635413141685', 'longitude': '-74.035060063893', 'human_address': '{""address"": ""58 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",41 WEST 71 STREET,4180000.0,1,,D9-ELEVATOR,83,29.91,1929,29.0,1-01124-0062,241.48
1-01832-0006,,36264,,D3-ELEVATOR,510326.0,0.0,7256000,"{'latitude': '40.795264261433', 'longitude': '-73.963946365353', 'human_address': '{""address"": ""10 MANHATTAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",216 WEST 99 STREET,1237000.0,1,,D7-ELEVATOR,128,19.58,1925,46.0,1-01836-0047,93.45
1-01444-0031,,53768,,D9-ELEVATOR,1691343.0,0.05,8029000,"{'latitude': '40.637340538747', 'longitude': '-74.024041540417', 'human_address': '{""address"": ""342 67 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",226 EAST 70 STREET,8117000.0,1,,D3-ELEVATOR,59,40.12,1921,60.0,1-01441-0031,153.1
1-01413-0057,,21581,,C7-WALK-UP,2335704.0,0.05,4084000,"{'latitude': '40.629333012145', 'longitude': '-74.035511629588', 'human_address': '{""address"": ""107 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,12219000.0,1,,D3-ELEVATOR,14, , ,33.0,1-01509-0006,142.1
1-01498-0037,-73.95689,113052,1046853.0,D6-ELEVATOR,4750837.0,0.11,25985000,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1227 MADISON AVENUE,24543000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,41,47.25,1958,123.0,1-01516-0013,117.45
1-01408-0040,-73.959868,166432,1043047.0,D6-ELEVATOR,4914187.0,0.13,31890000,"{'latitude': '40.636396520941', 'longitude': '-74.028079748202', 'human_address': '{""address"": ""219 69 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,27376000.0,1,Upper East Side-Carnegie Hill                                              ,D3-ELEVATOR,149, , ,145.0,1-01424-0010,179.41
1-01067-0028,,207080,,D6-ELEVATOR,2481746.0,0.0,24353000,"{'latitude': '40.64192178874', 'longitude': '-74.015658477197', 'human_address': '{""address"": ""442 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",330 WEST 55 STREET,12487000.0,1,,D3-ELEVATOR,276,28.43,1954,118.0,1-01066-0053,114.73
1-01888-0031,,119315,,D3-ELEVATOR,1588223.0,0.05,11203000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""777 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",305 RIVERSIDE DRIVE,7683000.0,1,,D3-ELEVATOR,60,21.23,1911,62.0,1-01887-0058,99.12
1-01362-0041,,105734,,D3-ELEVATOR,5953175.0,0.35,21369000,"{'latitude': '40.647801968319', 'longitude': '-74.01320923772', 'human_address': '{""address"": ""333 49 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,30891000.0,1,,D3-ELEVATOR,125, , ,204.0,1-01342-0012,159.33
1-01247-0050,,104893,,D9-ELEVATOR,2824749.0,0.51,17820000,"{'latitude': '40.624612316573', 'longitude': '-74.035782361884', 'human_address': '{""address"": ""115 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,13028000.0,1,,D3-ELEVATOR,167, , ,81.0,1-01217-0025,111.83
1-01448-0003,-73.957695,357785,1044898.0,D7-ELEVATOR,18683167.0,0.21,96258000,"{'latitude': '40.63408576797', 'longitude': '-74.029467805907', 'human_address': '{""address"": ""206 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1385 YORK AVENUE,108171000.0,1,Lenox Hill-Roosevelt Island                                                ,D6-ELEVATOR,429,33.58,1969,442.0,1-01426-0044,152.68
1-01384-0069,-73.968157,12060,1041322.0,C5-WALK-UP,277980.0,0.05,2827000,"{'latitude': '40.637719298798', 'longitude': '-74.034830798671', 'human_address': '{""address"": ""17 70 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9 EAST 68 STREET,1501000.0,1,Upper East Side-Carnegie Hill                                              ,D5-ELEVATOR,17,40.54,1910,14.0,1-01385-0014,211.92
1-01447-0009,,265980,,D6-ELEVATOR,11271330.0,0.18,58015000,"{'latitude': '40.771720010706', 'longitude': '-73.950195731525', 'human_address': '{""address"": ""1493 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1130 3 AVENUE,55418000.0,1,,D6-ELEVATOR,201,42.31,1957,250.0,1-01559-0019,146.3
1-00766-0039,-73.998658,128350,1013813.0,D7-ELEVATOR,3306407.0,0.05,16646000,"{'latitude': '40.739110593924', 'longitude': '-73.999271734664', 'human_address': '{""address"": ""72 7 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",238 WEST 19 STREET,16384000.0,1,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,D6-ELEVATOR,121,30.93,1986,113.0,1-00764-0042,149.4
1-02177-0175,,50976,,D7-ELEVATOR,919451.0,0.12,3487000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""736 181 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",481 FT WASHINGTON AVENUE,3563000.0,1,,D7-ELEVATOR,56,13.98,1936,75.0,1-02176-0115,60.22
1-01507-0056,,47822,,D7-ELEVATOR,1206931.0,0.11,7849000,"{'latitude': '40.787673983506', 'longitude': '-73.953846978964', 'human_address': '{""address"": ""1391 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6 EAST 97 STREET,6247000.0,1,,D7-ELEVATOR,39,27.41,1930,48.0,1-01602-0050,135.43
1-00916-0055,,76024,,D6-ELEVATOR,1176366.0,0.0,13241000,"{'latitude': '40.65543274854', 'longitude': '-74.001672421494', 'human_address': '{""address"": ""221 33 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,5885000.0,1,,D9-ELEVATOR,93, , ,45.0,1-00914-0011,169.96
1-00640-0044,,14680,,C4-WALK-UP,381221.0,0.04,2780000,"{'latitude': '40.736313702412', 'longitude': '-74.007500531232', 'human_address': '{""address"": ""117 BANK STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",345 WEST 12 STREET,1952000.0,1,,C4-WALK-UP,29,43.89,1900,20.0,1-00635-0039,202.91
1-01519-0001,-73.955152,165834,1048245.0,D3-ELEVATOR,4750837.0,0.25,20582000,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1680 3 AVENUE,24543000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,86,40.42,1980,123.0,1-01516-0013,162.33
1-00576-0056,,37824,,D1-ELEVATOR,1949681.0,0.0,6455000,"{'latitude': '40.6094698108', 'longitude': '-74.006654716597', 'human_address': '{""address"": ""6 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",60 WEST 10 STREET,10954000.0,1,,D5-ELEVATOR,46,33.4,1910,54.0,1-00570-0008,167.72
1-01744-0001,-73.936144,384164,1083992.0,D5-ELEVATOR,4986929.0,0.5,8149000,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2491 FRED"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,11460000.0,1,Central Harlem North-Polo Grounds                                          ,D6-ELEVATOR,216, , ,261.0,1-01959-0001,38.2
1-01120-0011,,58361,,D7-ELEVATOR,1330382.0,0.1,8824000,"{'latitude': '40.641074550287', 'longitude': '-74.024861745762', 'human_address': '{""address"": ""35 64 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2020 BROADWAY,5516000.0,1,,D7-ELEVATOR,35,37.21,1900,69.0,1-01117-0014,146.06
1-01245-0003,-73.980944,240040,1033790.0,D5-ELEVATOR,1236899.0,0.05,22686000,"{'latitude': '40.627355969617', 'longitude': '-74.030515608048', 'human_address': '{""address"": ""265 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",127 RIVERSIDE DRIVE,6474000.0,1,Upper West Side                                                            ,D3-ELEVATOR,103,24.46,1910,36.0,1-01229-0006,109.88
1-01010-0061,-73.979723,122813,1023740.0,D7-ELEVATOR,2091041.0,0.05,17752000,"{'latitude': '40.645683974835', 'longitude': '-74.023403405553', 'human_address': '{""address"": ""117 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",134 WEST 58 STREET,10606000.0,1,Midtown-Midtown South                                                      ,D9-ELEVATOR,114,30.54,1930,102.0,1-01011-0025,161.21
1-01371-0014,-73.95981,436842,1040747.0,D7-ELEVATOR,33377600.0,0.1,39558000,"{'latitude': '40.758320112469', 'longitude': '-73.96599681958', 'human_address': '{""address"": ""1044 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",965 1 AVENUE,173997000.0,1,Turtle Bay-East Midtown                                                    ,D9-ELEVATOR,411,32.61,1934,460.0,1-01348-0049,161.15
1-00891-0077,,71115,,D9-ELEVATOR,4055779.0,0.05,19359000,"{'latitude': '40.748499515909', 'longitude': '-73.980170134762', 'human_address': '{""address"": ""41 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20 PARK AVENUE,19497000.0,1,,D6-ELEVATOR,102,34.4,1939,119.0,1-00892-0001,176.03
1-00564-0026,,49408,,D5-ELEVATOR,556098.0,0.09,10954000,"{'latitude': '40.733193054971', 'longitude': '-73.995656460106', 'human_address': '{""address"": ""29 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",112 EAST 17 STREET,3085000.0,1,,D9-ELEVATOR,54,31.12,1910,17.0,1-00567-0005,189.92
1-01428-0013,,97750,,D6-ELEVATOR,2336130.0,0.11,14789000,"{'latitude': '40.771908868332', 'longitude': '-73.961122494181', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,10916000.0,1,,D6-ELEVATOR,71, , ,35.0,1-01409-0021,157.76
1-01391-0045,,41287,,D9-ELEVATOR,1384419.0,0.09,9415000,"{'latitude': '40.631199887925', 'longitude': '-74.033238618216', 'human_address': '{""address"": ""117 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",138 EAST 78 STREET,7545000.0,1,,D3-ELEVATOR,38,37.04,1910,40.0,1-01412-0012,228.06
1-01452-0019,,12750,,D9-ELEVATOR,465210.0,0.05,2692000,"{'latitude': '40.771351288674', 'longitude': '-73.95340631117', 'human_address': '{""address"": ""1485 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",440 EAST 78 STREET,2203000.0,1,,D9-ELEVATOR,24,31.85,1936,20.0,1-01452-0026,176.07
1-01527-0041,,10110,,C7-WALK-UP,398030.0,0.0,2145000,"{'latitude': '40.625954801049', 'longitude': '-74.031389165182', 'human_address': '{""address"": ""232 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2325000.0,1,,C1-WALK-UP,15, , ,19.0,1-01528-0034,206.13
1-01562-0010,,8020,,C7-WALK-UP,244147.0,0.0,1351000,"{'latitude': '40.625471913887', 'longitude': '-74.026567588665', 'human_address': '{""address"": ""421 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1239000.0,1,,C1-WALK-UP,21, , ,21.0,1-01562-0013,161.47
1-01377-0001,-73.971279,59701,1040883.0,D9-ELEVATOR,873650.0,0.26,10856000,"{'latitude': '40.640589289391', 'longitude': '-74.025712796563', 'human_address': '{""address"": ""4 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",103 EAST 63 STREET,4362000.0,1,Upper East Side-Carnegie Hill                                              ,D9-ELEVATOR,71,32.36,1923,20.0,1-01379-0066,181.83
1-01432-0045,-73.957975,17424,1044129.0,D9-ELEVATOR,762540.0,0.11,3661000,"{'latitude': '40.63192020894', 'longitude': '-74.029840897603', 'human_address': '{""address"": ""222 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1571 2 AVENUE,3903000.0,1,Lenox Hill-Roosevelt Island                                                ,D3-ELEVATOR,39,26.4,1963,41.0,1-01429-0037,166.19
1-01347-0009,,25040,,D9-ELEVATOR,2235385.0,0.05,5338000,"{'latitude': '40.647506161485', 'longitude': '-74.014230544708', 'human_address': '{""address"": ""307 50 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",320 EAST 52 STREET,11162000.0,1,,D3-ELEVATOR,31,27.28,1960,111.0,1-01343-0005,156.88
1-01556-0023,,346325,,D7-ELEVATOR,6189311.0,0.17,87989000,"{'latitude': '40.618270784084', 'longitude': '-74.030108330581', 'human_address': '{""address"": ""408 92 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",307 EAST 89 STREET,30356000.0,1,,D6-ELEVATOR,332,27.01,1973,201.0,1-01571-0049,156.29
1-01330-0007,,84000,,D6-ELEVATOR,2286156.0,0.06,13841000,"{'latitude': '40.643198508942', 'longitude': '-74.017793383434', 'human_address': '{""address"": ""340 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",340 EAST 51 STREET,7821000.0,1,,D6-ELEVATOR,109,38.76,1965,61.0,1-01349-0035,152.95
1-00584-0061,-74.004976,22392,1009850.0,D1-ELEVATOR,703764.0,0.07,4544000,"{'latitude': '40.730171332952', 'longitude': '-74.005189273617', 'human_address': '{""address"": ""60 LEROY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",140 WAVERLY PLACE,3474000.0,1,West Village                                                               ,D1-ELEVATOR,42,39.74,1930,37.0,1-00582-0020,202.88
1-01270-0020,,112000,,D6-ELEVATOR,1101489.0,0.05,19697000,"{'latitude': '40.647311236473', 'longitude': '-74.021447435526', 'human_address': '{""address"": ""51 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",140 WEST 55 STREET,5852000.0,1,,D6-ELEVATOR,105,29.9,1912,37.0,1-01271-0012,168.13
1-00769-0050,,9305,,C1-WALK-UP,434985.0,0.0,2210000,"{'latitude': '40.66163962857', 'longitude': '-73.994003849224', 'human_address': '{""address"": ""224 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2239000.0,1,,C1-WALK-UP,20, , ,12.0,1-00770-0054,174.31
1-01367-0001,-73.963757,111792,1040460.0,D6-ELEVATOR,4480995.0,0.05,16165000,"{'latitude': '40.758796753145', 'longitude': '-73.962570402649', 'human_address': '{""address"": ""1058 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,18496000.0,1,Turtle Bay-East Midtown                                                    ,D6-ELEVATOR,132, , ,130.0,1-01369-0045,138.39
1-01844-0037,,40000,,D1-ELEVATOR,511214.0,0.0,2387000,"{'latitude': '40.691905808362', 'longitude': '-73.914363175566', 'human_address': '{""address"": ""480 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,2478000.0,1,,D1-ELEVATOR,26, , ,26.0,1-01844-0032,83.5
1-01446-0042,,97750,,D6-ELEVATOR,4914187.0,0.14,14789000,"{'latitude': '40.636396520941', 'longitude': '-74.028079748202', 'human_address': '{""address"": ""219 69 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,27376000.0,1,,D3-ELEVATOR,71, , ,145.0,1-01424-0010,159.26
1-00350-0057,,11620,,C4-WALK-UP,383074.0,0.05,1838000,"{'latitude': '40.721097173677', 'longitude': '-73.984028226268', 'human_address': '{""address"": ""6 CLINTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1824000.0,1,,C4-WALK-UP,19, , ,22.0,1-00350-0050,149.11
1-00891-0059,,52936,,D9-ELEVATOR,1273103.0,0.1,9924000,"{'latitude': '40.594664454727', 'longitude': '-73.99289576067', 'human_address': '{""address"": ""207 37 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",231 LEXINGTON AVENUE,6856000.0,1,,D9-ELEVATOR,90,30.06,1920,35.0,1-00918-0007,187.44
1-01408-0022,,40249,,D6-ELEVATOR,762540.0,0.05,8088000,"{'latitude': '40.63192020894', 'longitude': '-74.029840897603', 'human_address': '{""address"": ""222 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,3903000.0,1,,D3-ELEVATOR,43, , ,41.0,1-01429-0037,182.94
1-01237-0005,,76627,,D6-ELEVATOR,1469611.0,0.1,8403000,"{'latitude': '40.789265783498', 'longitude': '-73.975853389021', 'human_address': '{""address"": ""2381 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,6498000.0,1,,D7-ELEVATOR,52, , ,44.0,1-01235-0010,110.71
1-01496-0013,,70678,,D6-ELEVATOR,14804490.0,0.2,12229000,"{'latitude': '40.780542359813', 'longitude': '-73.959045060294', 'human_address': '{""address"": ""1150 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,76683000.0,1,,D6-ELEVATOR,84, , ,360.0,1-01497-0009,162.46
1-01410-0009,,40249,,D6-ELEVATOR,799360.0,0.1,8088000,"{'latitude': '40.630284629395', 'longitude': '-74.033031517963', 'human_address': '{""address"": ""138 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",952 5 AVENUE,4084000.0,1,,C7-WALK-UP,43,38.89,1923,14.0,1-01412-0057,200.96
1-01585-0013,,8805,,C1-WALK-UP,309502.0,0.0,1997000,"{'latitude': '40.620122756703', 'longitude': '-74.02687220173', 'human_address': '{""address"": ""512 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,1708000.0,1,,C1-WALK-UP,20, , ,20.0,1-01584-0044,205.22
1-01875-0056,,25270,,D7-ELEVATOR,946896.0,0.0,3186000,"{'latitude': '40.799940735985', 'longitude': '-73.966086751783', 'human_address': '{""address"": ""920 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}", ,4807000.0,1,,D7-ELEVATOR,35, , ,32.0,1-01877-0031,131.19
1-01518-0001,-73.955633,64344,1048105.0,D7-ELEVATOR,4750837.0,0.05,13484000,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1588 3 AVENUE,24543000.0,1,Upper East Side-Carnegie Hill                                              ,D6-ELEVATOR,60,35.22,1980,123.0,1-01516-0013,193.32
