queens_condominiums_comparable_properties_address,queens_condominiums_comparable_properties_estimated_gross_income,comparable_rental_3_full_market_value,comparable_rental_2_year_built,queens_condominiums_comparable_properties_estimated_expense,comparable_rental_2_estimated_expense,queens_condominiums_comparable_properties_gross_income_per_sqft,queens_condominiums_comparable_properties_full_market_value,comparable_rental_3_boro_block_lot,postcode,census_tract,comparable_rental_3_year_built,comparable_rental_2_neighborhood,comparable_rental_2_boro_block_lot,comparable_rental_1_distance_from_condo_in_miles,queens_condominiums_comparable_properties_net_operating_income
197 CARPENTER AVENUE,102683, ,1939.0,44820,84948.0,16.61,677280,,,, ,HOLLIS,4-09914-0027,0.16,57863
135 JEWEL AVENUE,3345607, ,1942.0,1646460,54735.0,15.24,11671997,,,, ,KEW GARDENS,4-03348-0007,0.82,1699147
118 37 AVENUE,383616, ,1928.0,170496,101942.0,18.0,1353001,,,, ,CORONA,4-01610-0046,0.4,213120
76 35 AVENUE,1824713, ,1936.0,896350,332920.0,14.25,5692008,,,, ,JACKSON HEIGHTS,4-01246-0035,0.1,928363
42 UNION STREET,699840, ,1964.0,302400,537519.0,16.2,2612999,,,, ,FLUSHING-NORTH,4-05134-0030,0.18,397440
136 MAPLE AVENUE,1481612,"7,433,000",1973.0,713600,738210.0,16.61,5312975,4-05121-0017,,,1963,FLUSHING-NORTH,4-05180-0059,0.0,768012
42 157 STREET,167570,"550,000",1926.0,86320,85768.0,12.89,542000,4-05389-0027,,,1926,FLUSHING-NORTH,4-05385-0003,0.05,81250
138 ELDER AVENUE,3946465,"6,970,000",1970.0,1905910,1139275.0,17.0,13420015,4-05180-0059,,,1973,FLUSHING-NORTH,4-05182-0019,0.16,2040555
82 QUEENS BOULEVARD,242326, ,2001.0,81286,168204.0,25.34,1095002,,,, ,REGO PARK,4-03169-0021,0.33,161040
97 63 DRIVE,820064, ,1964.0,389018,409286.0,16.0,2816003,,,, ,REGO PARK,4-02107-0024,0.11,431046
5 49 AVENUE,1572279, ,2007.0,534361,5463240.0,25.01,7538002,,,, ,LONG ISLAND CITY,4-00021-0060,0.18,1037918
140 34 AVENUE,71888,"538,000",1976.0,34641,54643.0,16.0,248000,4-04955-0029,11363.0,1483.0,2003,FLUSHING-NORTH,4-04995-0024,0.11,37247
56 SEABURY STREET,121500,"1,189,000",2002.0,42444,150341.0,15.0,452103,4-02716-0001,,,2006,REGO PARK,4-03173-0022,0.37,79056
133 41 AVENUE,174435, ,1931.0,69774,116003.0,15.0,720001,,,, ,FLUSHING-NORTH,4-05101-0039,0.18,104661
209 23 AVENUE,3715753,"4,055,000",1963.0,1462469,703879.0,17.15,16284003,4-05026-0024,,,1959,DOUGLASTON,4-08092-0005,0.36,2253284
30 38 STREET,234408, ,2005.0,77745,183562.0,24.0,1119001,,,, ,LONG ISLAND CITY,4-00040-0015,0.55,156663
142 38 AVENUE,930867,"5,577,000",1987.0,340991,268446.0,19.0,4009999,4-05025-0008,,,1973,FLUSHING-NORTH,4-04994-0041,0.13,589876
30 30 AVENUE,1016237, ,1940.0,440076,500633.0,15.01,3839000,,11363.0,1483.0, ,ASTORIA,4-00579-0082,0.28,576161
71 161 STREET,240000,"3,366,000",1998.0,72000,145664.0,20.27,1199000,4-02265-0067,,,1974,FAR ROCKAWAY,4-15661-0031,5.02,168000
180 WEXFORD TERRACE,302416,"5,643,000",1959.0,156751,450232.0,15.55,1025001,4-09954-0066,,,1961,JAMAICA ESTATES,4-09937-0042,0.11,145665
56 CLOVER PLACE,245466, ,1927.0,96114,40560.0,12.08,965010,,,, ,RIDGEWOOD,4-03578-0075,0.38,149352
112 QUEENS BOULEVARD,5180168, ,2003.0,1976086,234683.0,18.35,23051005,,,, ,BRIARWOOD,4-09712-0146,0.76,3204082
42 159 STREET,274292,"6,036,000",1942.0,135075,337769.0,15.23,955998,4-05052-0036,,,1960,FLUSHING-NORTH,4-05294-0006,0.32,139217
71 160 STREET,111831, ,2004.0,33904,292600.0,21.44,572000,,,, ,FLUSHING-NORTH,4-04995-0050,1.86,77927
25 12 STREET,317055, ,2004.0,120750,255806.0,18.38,1412001,,,, ,ASTORIA,4-00839-0007,0.51,196305
43 UNION STREET,294894, ,1970.0,139419,1139275.0,18.0,1064002,,,, ,FLUSHING-NORTH,4-05182-0019,0.19,155475
66 70 STREET,263034,"1,560,000",2002.0,73260,150341.0,27.0,1307999,4-01584-0013,,,2004,REGO PARK,4-03173-0022,1.81,189774
85 GRAND AVENUE,183261,"1,189,000",2004.0,76200,125621.0,14.43,694998,4-02716-0001,,,2006,ELMHURST,4-01584-0013,0.1,107061
41 44 STREET,511465, ,1990.0,195523,282135.0,20.43,2305001,,,, ,WOODSIDE,4-01332-0026,0.31,315942
136 35 AVENUE,552659, ,2000.0,168324,373583.0,21.44,2819996,,11363.0,1483.0, ,FLUSHING-NORTH,4-04977-0021,0.41,384335
48 11 STREET,2022659, ,2005.0,646992,183562.0,25.01,9455999,,,, ,LONG ISLAND CITY,4-00040-0015,0.44,1375667
66 71 STREET,156240, ,1963.0,58478,358765.0,14.0,622599,,,, ,ELMHURST,4-02474-0010,1.18,97762
2116 GREENE AVENUE,826254, ,1963.0,415800,358765.0,13.91,2703998,,11385.0,595.0, ,ELMHURST,4-02474-0010,0.99,410454
32 41 STREET,315956, ,2001.0,119698,111321.0,21.46,1402000,,,, ,ASTORIA,4-00570-0016,0.8,196258
143 ROOSEVELT AVENUE,1699320, ,1962.0,717360,598242.0,17.34,6630998,,,, ,FLUSHING-NORTH,4-05025-0064,0.0,981960
137 FRANKLIN AVENUE,1165952, ,1964.0,566363,537519.0,15.44,3917006,,,, ,FLUSHING-NORTH,4-05134-0030,0.16,599589
133 41 ROAD,281965,"6,970,000",1948.0,122070,263041.0,18.04,1079998,4-05180-0059,,,1973,FLUSHING-NORTH,4-05101-0042,0.29,159895
111 QUEENS BOULEVARD,2624999, ,1929.0,1298790,1461326.0,18.19,6919000,,,, ,FOREST HILLS,4-03234-0051,0.05,1326209
65 WETHEROLE STREET,1006135, ,1998.0,530592,70676.0,15.17,3106004,,,, ,FOREST HILLS,4-02265-0114,1.43,475543
144 BARCLAY AVENUE,638607,"4,055,000",1963.0,261477,212385.0,16.51,2530004,4-05026-0024,,,1959,FLUSHING-NORTH,4-05015-0006,0.06,377130
146 BEACH 9 STREET,1347800, ,2003.0,498100,494525.0,23.0,6198000,,11691.0,101002.0, ,JAMAICA,4-09760-0022,4.01,849700
140 32 AVENUE,1282281, ,2000.0,393113,373583.0,21.3,6623323,,,, ,FLUSHING-NORTH,4-04977-0021,0.33,889168
91 WHITNEY AVENUE,425419, ,1950.0,110929,250346.0,22.32,2293999,,,, ,ELMHURST,4-01305-0001,1.01,314490
