dbn,grade_1,grade_3,total_enrollment,white_1,black_2,students_with_disabilities_2,grade_k,black_1,grade_10
14K322,0,0,73,0.0,71.2,31.5,0,52.0,12.0
20K030,106,0,715,342.0,1.5,16.4,104,11.0,0.0
07X551,0,0,600,13.0,30.2,28.2,0,181.0,99.0
08X131,0,0,539,,35.4,28.9,0,191.0,0.0
07X500,0,0,520,,18.3,18.7,0,95.0,88.0
16K636,26,31,183,,51.9,16.4,24,95.0,0.0
14K454,0,0,261,,29.9,21.8,0,78.0,65.0
01M137,17,20,155,,25.2,40.0,23,39.0,0.0
18K279,79,66,478,,92.7,10.9,64,443.0,0.0
01M142,56,42,354,,11.3,33.3,56,40.0,0.0
11X462,0,0,251,,67.3,18.3,0,169.0,0.0
10X390,0,0,457,,12.9,24.3,0,59.0,0.0
07X385,0,0,60,0.0,26.7,45.0,0,16.0,0.0
17K399,70,79,481,,71.9,7.1,76,346.0,0.0
04M012,63,62,561,82.0,24.8,5.2,49,139.0,0.0
09X311,50,68,313,,9.9,18.5,55,31.0,0.0
15K698,0,0,180,13.0,29.4,24.4,0,53.0,60.0
11X556,0,0,398,36.0,25.9,19.6,0,103.0,0.0
08X107,95,85,526,14.0,32.3,30.8,75,170.0,0.0
08X014,99,93,599,143.0,5.5,22.4,91,33.0,0.0
06M223,0,0,274,11.0,9.1,11.7,0,25.0,0.0
03M241,15,13,112,,52.7,37.5,15,59.0,0.0
09X404,0,0,392,,24.5,25.5,0,96.0,98.0
11X287,0,0,248,,58.5,25.4,0,145.0,0.0
02M288,0,0,410,,40.7,16.6,0,167.0,104.0
15K261,122,130,797,310.0,29.1,19.8,145,232.0,0.0
17K181,87,96,846,18.0,85.6,17.6,56,724.0,0.0
13K305,31,23,182,,75.8,24.2,18,138.0,0.0
02M605,0,0,209,18.0,23.9,15.8,0,50.0,70.0
07X157,106,101,657,,30.4,19.2,94,200.0,0.0
02M167,0,0,1343,562.0,8.3,18.0,0,112.0,0.0
07X031,87,69,747,11.0,26.5,23.6,80,198.0,0.0
02M347,18,18,189,44.0,22.2,58.7,19,42.0,0.0
04M375,47,46,304,,41.1,29.6,48,125.0,0.0
16K455,0,0,383,,87.7,34.2,0,336.0,71.0
07X221,0,0,654,11.0,24.3,24.6,0,159.0,91.0
12X691,44,54,342,,17.8,21.3,49,61.0,0.0
07X533,0,0,58,,27.6,,0,16.0,0.0
01M509,0,0,272,,42.3,27.9,0,115.0,83.0
19K149,125,97,734,,63.2,13.2,89,464.0,0.0
15K529,0,0,223,31.0,7.2,26.0,0,16.0,98.0
05M036,70,64,447,,45.4,26.2,77,203.0,0.0
11X532,0,0,299,,68.2,22.1,0,204.0,0.0
15K429,0,0,223,,53.8,30.9,0,120.0,49.0
02M586,0,0,61,,36.1,41.0,0,22.0,
08X048,144,116,824,,26.5,24.5,142,218.0,0.0
10X549,0,0,505,,19.0,29.3,0,96.0,138.0
06M513,38,49,193,40.0,10.9,29.0,35,21.0,0.0
20K062,0,0,1191,157.0,23.9,17.8,0,285.0,0.0
07X343,0,0,304,,26.3,24.7,0,80.0,0.0
10X307,73,61,393,,8.4,19.1,54,33.0,0.0
07X600,0,0,415,,24.1,28.2,0,100.0,118.0
06M463,0,0,427,,14.3,19.2,0,61.0,107.0
12X066,119,96,709,11.0,26.8,19.7,106,190.0,0.0
01M515,0,0,564,,12.1,5.1,0,68.0,216.0
09X236,47,30,321,,29.3,24.6,47,94.0,0.0
12X684,0,0,500,,55.6,23.4,0,278.0,115.0
05M129,40,51,487,,42.1,18.5,40,205.0,0.0
02M376,0,0,457,142.0,19.0,14.7,0,87.0,116.0
10X368,0,0,966,39.0,9.8,18.4,0,95.0,151.0
03M452,55,50,325,209.0,8.3,18.2,60,27.0,0.0
06M210,43,38,446,0.0,2.7,21.1,49,12.0,0.0
10X477,0,0,447,23.0,22.4,8.9,0,100.0,111.0
