objectid,globalid,location,zipcode,srpriority,geometry,bin,srsource,congressional,complainttype
23839477,27AF9589-AB09-4791-A65F-0E4896234C22,"{'type': 'Point', 'coordinates': [-73.8966487581383, 40.69722968557631]}",,Routine,POINT(-73.8966487581383 40.69722968557631),,AMPS,,
10027968,39078E18-26AC-4F72-815D-0CAEC8584BE4,"{'type': 'Point', 'coordinates': [-74.0975882408026, 40.564287613844414]}",,Routine,POINT(-74.0975882408026 40.564287613844414),,AMPS,,
3954755,FB574077-400D-4B0D-A615-0CC3F0756F80,"{'type': 'Point', 'coordinates': [-73.90477964145967, 40.70211592070856]}",11385.0,Routine,POINT(-73.90477964145967 40.70211592070856),4082792.0,Correspondence,7.0,
18422024,93518C25-B239-4E0E-830D-2A16769295C8,"{'type': 'Point', 'coordinates': [-73.95133198928254, 40.708426188643365]}",11211.0,Routine,POINT(-73.95133198928254 40.708426188643365),,3-1-1 Call Center,7.0,Damaged Tree
5389159,53C184C1-9880-4359-A1DA-3CE10A926138,"{'type': 'Point', 'coordinates': [-73.90445703394992, 40.81207771487181]}",10455.0,Routine,POINT(-73.90445703394992 40.81207771487181),,Park Inspection Program,15.0,
3830757,0C8FE473-2FC0-432E-92A7-0BFADCA7AE9D,"{'type': 'Point', 'coordinates': [-73.90509425428996, 40.70022549318727]}",11385.0,Routine,POINT(-73.90509425428996 40.70022549318727),4085867.0,Correspondence,7.0,
19063484,AFE16128-DD0C-4297-A315-013A26C98BC3,"{'type': 'Point', 'coordinates': [-74.00180260294611, 40.64766813416778]}",,Routine,POINT(-74.00180260294611 40.64766813416778),,AMPS,,
26309048,C3EDF46B-7C13-45F4-95F3-20FBF6FF42ED,"{'type': 'Point', 'coordinates': [-73.89276900147958, 40.70469207684631]}",11385.0,Routine,POINT(-73.89276900147958 40.70469207684631),4088231.0,3-1-1 Call Center,7.0,New Tree Request
26359781,CAD02409-08B9-4CE8-98BA-7C43013885EB,"{'type': 'Point', 'coordinates': [-73.95492943516273, 40.81034258136451]}",,Routine,POINT(-73.95492943516273 40.81034258136451),,AMPS,,
18289936,F4EE1B34-699D-4C1C-B099-0F1F7B0853DA,"{'type': 'Point', 'coordinates': [-73.96523278728479, 40.71993847643785]}",,Routine,POINT(-73.96523278728479 40.71993847643785),,AMPS,,
26427597,BCA7596B-FE45-4C4F-A281-0553CD20EC34,"{'type': 'Point', 'coordinates': [-73.93596880853904, 40.6083598906747]}",,Routine,POINT(-73.93596880853904 40.6083598906747),,AMPS,,
18924803,394881E9-14CA-48FA-8B5B-8F5E269477DD,"{'type': 'Point', 'coordinates': [-73.77450100564663, 40.7052703236422]}",,Routine,POINT(-73.77450100564663 40.7052703236422),,Park Inspection Program,,
19074224,C33024D6-4424-442F-833B-F0C1B0121BC1,"{'type': 'Point', 'coordinates': [-73.88089044083699, 40.66589053325553]}",,Routine,POINT(-73.88089044083699 40.66589053325553),,AMPS,,
26316903,24C4E5BB-3252-4202-B974-23A2BA800632,"{'type': 'Point', 'coordinates': [-73.95889287885012, 40.660321519043556]}",11225.0,Routine,POINT(-73.95889287885012 40.660321519043556),3114702.0,3-1-1 Call Center,9.0,New Tree Request
14192755,AB43E35D-095C-4F7C-BF6D-8BB3A64046D5,"{'type': 'Point', 'coordinates': [-73.78548298060004, 40.87057256223008]}",,Routine,POINT(-73.78548298060004 40.87057256223008),,Park Inspection Program,,
10874766,076F6FBE-54B5-4EEE-95D6-899C6D88DC1F,"{'type': 'Point', 'coordinates': [-73.8787552058007, 40.895314665863076]}",,Routine,POINT(-73.8787552058007 40.895314665863076),,DPR,,
26066994,7902CF79-60C2-46E5-B76C-FBF6E32896F8,"{'type': 'Point', 'coordinates': [-73.97158467155623, 40.6240639947028]}",11230.0,Routine,POINT(-73.97158467155623 40.6240639947028),3170829.0,3-1-1 Call Center,9.0,Damaged Tree
20341532,C1628BD0-48AA-4F74-AF76-0FE4D91C84E6,"{'type': 'Point', 'coordinates': [-74.11401310869277, 40.61614738775836]}",,Routine,POINT(-74.11401310869277 40.61614738775836),,AMPS,,
5474763,90E82D20-82F9-4E96-84B0-578FD74D5A4F,"{'type': 'Point', 'coordinates': [-73.94643256998887, 40.78430727952333]}",,Routine,POINT(-73.94643256998887 40.78430727952333),,Park Inspection Program,,
19601363,E2DF11DA-1230-4D87-9F99-DB40F08ABC0B,"{'type': 'Point', 'coordinates': [-74.06061398575889, 40.6069661183404]}",,Routine,POINT(-74.06061398575889 40.6069661183404),,AMPS,,
20923011,CB9A844B-E058-484E-8C51-F2753D9BE64E,"{'type': 'Point', 'coordinates': [-74.0063882105615, 40.7136269545715]}",,Routine,POINT(-74.0063882105615 40.7136269545715),1000000.0,AMPS,,
