dbn,phone_number,method9,interest7,seats109,grade9swdfilledflag3,offer_rate2,common_audition2,seats1010,seats104,offer_rate7,method10,zip,method2,requirement4_3,seats9ge5,grade9swdfilledflag10,admissionspriority24,grade9swdapplicants9,interest10,admissionspriority11,method3,requirement5_6,admissionspriority32,grade9swdapplicants5,grade9geapplicants2,academicopportunities2,seats9swd1,grade9swdapplicants3,interest1,grade9gefilledflag4,school_accessibility_description,appperseat6specialized,grade9gefilledflag6,requirement5_3,admissionspriority53,seats106,admissionspriority29,extracurricular_activities,directions3,directions7,code2,seats4specialized,grade9geapplicantsperseat3,requirement6_2,requirement3_5,location,grade9geapplicants8,grade9swdapplicantsperseat8,applicants6specialized,auditioninformation2,eligibility4,requirement2_1,code3
0 2M630,212-752-4340,,,,Y,,1.0,,,,,10019,Audition,Portfolio of student work,,,,,,Open to New York City residents,Audition,,,,1205.0,"CTE endorsements: Film/Video Production, Commercial Photography, Cartooning and Animation",9.0,40.0,Architecture,,1.0,,,,,,,"AIGA NYC (professional association for design), Mentoring, Animation, Film/Video, Drama, Student Exhibitions in Kenny Gallery, Art & Design Newscast, Fashion Design, GSA, 3D Printing & Sculpture, Smash, Literacy Arts Journal, NHS, Kaplan Saturday SAT Prep, Newspaper, Morning Painting, Chess, Saturday Art Directors, Museum Exploration Program, Art Students League, Yearbook. Tutoring before- and after-school in core academic subjects. School-Wide: Spring Arts Festival, Film Festival, Fashion Show.",,,M60P,,9.0,,,"231-249 East 56th Street, Manhattan NY 10019 (40.759248, -73.967204)",,,,"Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check schoolÂ’s website for examples. They may include: the human figure, and drawing from observation or imagination.",,Attendance,M60Q
10X264,718-733-6024,,,,,,,,,,,10458,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,Internships with industry partners; Advisory Class,22.0,,Computer Science & Technology,,,,,,,,,"After-School Program, Chess, Dance (Competitive), Digital Documentaries, Drama, Girls Talk, Granting Early Awareness and Readiness for Undergraduate Programs (GEAR UP), Intensive Instructional Support, Multimedia Club, Student Government, Video Yearbook",,,,,,,,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",,,,,,,
02M047,917-326-6668,,,,,,,,,,,10010,,,,,,,,Priority to Â“47Â” American Sign Language & English Lower School students,,,,,,"Small class sizes, Baruch CUNY College Now, Summer programs at various colleges, Partnerships with College Summit",11.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Academic Bowl, ASL Performance, ASL Poetry, After-school Tutoring, Archery, Arts and Crafts, Chorus: Signing and Singing, Coding, Computer Science, Creative Writing, Chess, Chorus, Dance, Drama, Drumming, Food & Nutrition, Forensics, Knitting, Peer Mediation, Regents Prep, SAT Prep School Newspaper (in print and video), Student Council, Video Production and Editing, Visits to ASL Interpreted Broadway shows, Weight Room, Yearbook",,,,,,,,"223 East 23rd Street, Manhattan NY 10010 (40.738374, -73.981329)",,,,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.7-4.5)",
09X276,718-299-7490,,,,,,,,,,,10457,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"High School to College Preparation, Leadership/Advisory, WriterÂ’s Workshop Lab, Youth Leadership",16.0,,Humanities & Interdisciplinary,,,,,,,,,"School-wide Mentoring Program, Art/Music-LIHS, Vocal Rush, Chorus and School Band, The Leadership Program-Sports Club (Basketball, Baseball, Volleyball, Girls Flag Football, Boys Soccer, Girls Soccer), The Future Project, Dream Team, DJ Program, Student-led Community Action Projects, Leadership, Upcoming Activities: Robotics, STEM/STEAM Dance, Arts, Performing Arts, School swimming pool under renovations-Swimming Club",,,,,,,,"1701 Fulton Avenue, Bronx NY 10457 (40.841758, -73.897943)",,,,,,,
14K558,718-388-1260,,,,,,,,,,,11211,,,,,,,,Priority to Brooklyn students or residents who attend an information session,,,,,,"As part of our studio and portfolio requirement, students are challenged to create working prototypes of their designs",25.0,,Architecture,,1.0,,,,,,,"Students organize to establish clubs that interest them, such as: Video Game, Architecture, Photography, Peer Tutoring, and Skateboarding club. WHSAD invites honor roll students to free incentive field trips at the end of each academic term, including court-side seats to a Brooklyn Nets game, ice skating at Central Park, and Broadway plays and musicals",,,,,,,,"257 North 6th Street, Brooklyn NY 11211 (40.715561, -73.954815)",,,,,,,
02M545,212-475-4097,,,,,,,,,,,10002,,,,,,,,Open to New York City residents,,,,,,CUNY College Now,18.0,,Humanities & Interdisciplinary,,,,,,,,,"Academic Enrichment, Art, Bridge, Chess, Chinese Culture and Enrichment, College Prep, Gallery Exhibits, Kaplan SAT Prep, Lion Dance, Math Research, Math Team, Peer Tutoring, PM School, Saturday ESL Classes",,,,,,,,"350 Grand Street, Manhattan NY 10002 (40.717329, -73.989329)",,,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (2.7-4.5)",
07X495,718-292-0578,,,,,,,,,,,10455,Screened,,,,,,,Open to New York City residents,,,,,973.0,iLearnNYC: Program for expanded online coursework and self-paced learning,12.0,,Humanities & Interdisciplinary,,,,,,,,,"Band, Conflict Resolution, Dance, Drama, Martial Arts,Entrepreneurship, Newspaper, Painting/Drawing, Part of the Solution, Photography, Poetry, PrincipalÂ’s Panel, Service Learning, Step, Student Gov, Outdoor Science, Moth Project, Tech, Teen Battle Chef, SPIN Farm, Yearbook, Young Gentlemen, Bridges, Cycling, Debate, WomenÂ’s Bond, TRIO, Good Shepherd, Life Link, Fisher Rock Leadership, Neuroscience, Archery, Chess, Microsoft IT, SAT Prep, Classroom Connections, Weird Science, Yoga, Web design",,,X96B,,,,,"701 St. Anns Avenue, Bronx NY 10455 (40.818041, -73.911633)",,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.9-4.5)",
21K468,718-333-7850,,,,,,,,,,,11214,,,,,,,,Priority to continuing 8th graders,,,,,,"Associate Degree, Advisory, Enrichment Clusters",15.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"All Subject Tutoring/Regents Prep, Model Congress, National Honor Society (NHS), Tae Kwon Do, Student Advisory Council",,,,,,,,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.2-4.5)",
02M534,212-242-3384,,,,,,,,,,,10011,,,,,,,,Priority to Manhattan students or residents who attend an information session,,,,,,"Two-year Institutes to develop our core habits of mind: curiosity, evidence, perspective, connection, and voice",18.0,,Humanities & Interdisciplinary,,,,,,,,,"Robotics, Sailing and Boatbuilding, Theater and Musical Theater, Ambassadors, Art, Chess, Cooking, Dance Team, Fairness, Jazz Band, Filmmaking, GSX, Girls' Group, Boys' Group, Math Team, Model UN, Outdoor Adventure, Peer Counselors, Photography, Principal's Book Club, SAT Prep, Step Team, Student Government, T'ai Chi, Writing Center, Workout, Yoga",,,,,,,,"34 West 14th Street, Manhattan NY 10011 (40.736416, -73.995731)",,,,,,,
10X439,718-733-5274,,,,,Â—100% of offers went to this group,,,,,,10458,Ed. Opt.,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,318.0,"CUNY College Now, SAT preparation, AP and Honors courses are included alongside forensic science, mock trial, moot court, criminology, and swimming",11.0,,Law & Government,,1.0,,,,,,,"Art, Drama, Cooking, Yearbook, Women of Strength, Men of Strength, Mock Trial, Moot Court, Peer Mentor Program, Tutoring, Work-based Learning Opportunities",,,X53B,,,,,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",,,,,,,
05M692,212-281-6490,,,,,,,,,,,10031,,,,,,,,Open to New York City residents,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,Engineering,,1.0,,,,,,,"Art, Astronomy, Band, Cheer, Chorus, Writing, Cross Country, Dance, Drama, Dr. Dragon, Math & Science Magazine, EAT NYC, Euro-Challenge, Fed-Challenge, Film, FIRST Tech Challenge, Gastronomy, German, Glee, Gay Straight Alliance, Harlem IS, Honor Society, Junior Statesman of America, Key Club, Mock Trial, Model UN, Modern Dance, MOUSE Squad, National Society of Black Engineers, Tutoring, Photography, Poetry, Science Research, Spades/Chess, Student Government, Tennis, Math Team, Yearbook",,,,,,,,"240 Convent Ave, Manhattan NY 10031 (40.820208, -73.950354)",,,,,,,
08X320,718-904-5090,,,,,,,,,,,10461,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,,22.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Drama, Science Research, Art, Service Learning",,,,,,,,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",,,,,,,
31R047,718-370-6900,,,,,,,,,,,10314,,,,,,,,"Priority to Districts 20, 21 and 31 students or residents who attend an information session",,,,,,"College courses with CUNY College of Staten Island, and tuition waivers.",25.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Clubs: Book, Chess, Cooking, Dance, Dragon Dance, Drama, Glee, International, It Gets Better (LGBTQ), Japanese, Key, Robotics, and S!NG; Activities: Digital Photography, Drum Circle, Guitar, Journalism, National Honor Society, Peer Leaders and Tutoring, Percussion, SAT Prep, Senior Leadership, Taiko Drumming & Ukulele, and Yearbook.",,,,,,,,"100 Essex Drive, Staten Island NY 10314 (40.581958, -74.159343)",,,,,,,
06M462,212-927-1841,,,,,,,,,,,10040,,,,,,,,Priority to District 6 students or residents,,,,,,"NHS, Student Government, Peer Mediation, Psychology, Law, Honors Biology, Honors Algebra, Calculus, Film, Creative Writing, Forensics",18.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Drill and orienteering competitions, Community service, Academic, Athletic, Field meets, Flights, Marksmanship sports training, Physical fitness training, Visits to naval or other activities; Electronic classroom equipment, Educational training aids, Travel allowances; The Future Project (provides students with guidance, support and decision making skills)",,,,,,,,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",,,,,,,
24Q530,718-392-3433,,,,,,,,,,,11101,,,,,,,,,,,,,,English instruction in all content classes with native language support; students grouped in small interdisciplinary learning communities,17.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"LaGuardia Community College Classes and Gym facilities, YMCA for After-School Sports (Badminton, Volleyball, Soccer, Basketball), After-School Tutoring, Art, Chorus, Computer Lab, Garden Club, Music Club, Knitting, Student Government, Saturday Literacy Explorers Program, Cultural clubs, International Food Festival, Theater Program, Newspaper, Liberty Partnership, SAT, Dance, Photography Classes",,,,,,,,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",,,,,,,
22K405,718-724-8500,,,,N,,,,No,,,11210,Screened,,,,,,,,Screened,,,,4542.0,"Students may receive CTE endorsement in Engineering, Media Arts and Law",66.0,201.0,Humanities & Interdisciplinary,Y,,,,,,,,"Archon, Argus, Arista, Art, BioMed Society, Chorus, Concerts, Conflict Resolution, Dance, Drama, Fashion, Film, Gospel Choir, Historical Society, Japanese Animation, Knitting Circle, Marching Band, Model Congress, Patterns, Peer Tutoring and Mediation, Philosophy, Photography, Political Discussion, S!NG, Social and Emotional Learning, Step Team, Student Government, Writing, and Yearbook. Midwood currently has more than 50 clubs.",,,K26J,,15.0,,,"2839 Bedford Avenue, Brooklyn NY 11210 (40.632829, -73.952356)",,,,,Open only to students whose home language is Haitian Creole,,K26K
21K540,718-373-6400,,,,N,,,,No,,,11223,Screened: Language,Demonstrated Interest: School Visit,57.0,,Then to New York City residents,,,Priority to Brooklyn students or residents,Screened,,,85.0,95.0,iLearnNYC: Program for expanded online coursework and self-paced learning,11.0,49.0,Culinary Arts,Y,,,Y,Writing Sample,,Yes-10,,"Anime, Asian-American, ASPIRA, Book Worms, Ceramics, Cheer, Rock, Council For Unity, Fashion, Health Occupations, MOUSE Squad, Space Science, Hispanic Leadership Internships, Dance, Enviro-Horticulture, Foreign Languages, Honor Society, Hebrew, Junior Achievement, Key Club, Marine Science, Math, Modeling, Multicultural Club, Peer Mediation, Model Congress, Robotics, Student Organization/Leadership, Theater & Performing Arts, Theatre Development Fund, Arts",,,K56B,,7.0,,,"50 Avenue X, Brooklyn NY 11223 (40.58807, -73.981925)",,,,,,,K56J
26Q495,718-229-7600,,Zoned,,N,,1.0,,No,,,11361,Audition,,109.0,,,,,,Screened,,,406.0,460.0,iLearnNYC: Program for expanded online coursework and self-paced learning,20.0,86.0,Visual Art & Design,Y,,,Y,,,No,,"Red Cross, Anime, Archon, Arista, Art, Astronomy, Badminton, Baysider, Bridge to Medicine, Cheerleading, Chess, Chinese, Chinese Yo-Yo, Coding, Desi, Drama, Ebony, Filipino, Food, Garden, Kickboxing, Green, Green Team, Habitat for Humanity, Handball, Hellenic, Italian, Japanese, Jewish Student Union, Key Club, Korean, Latin, Muslim Association, NY Cares, NYC Experience, RAFA, Seekers, SING!, Sikh Students, Smiles for Miles, SOUL, SO Council, Soundings, Ambassadors, Yearbook",,,Q12B,,29.0,,,"32-24 Corporal Kennedy Street, Bayside NY 11361 (40.771398, -73.781041)",,,,"Students may audition for the program by playing ANY instrument and/or singing a prepared musical selection in any style. Instrumentalists should also prepare three scales of their choice. Beginning students are encouraged to attend the audition for a musical aptitude test, as well as an interview.",Open only to Queens students or residents,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",Q12C
23K697,718-498-2605,,,,,,,,,,,11212,For Continuing 8th Graders,,,,,,,Priority to Brooklyn students or residents,,,,,,"Teach for Tomorrow: FEA Induction, Chalk Walk, Early Childhood Education, Child Psychology, History of Education",19.0,,Performing Arts/Visual Art & Design,,1.0,,,,,,,"Debate Club, After-School Band, Step Team, Art Club, Praise Dance Troupe, Double Dutch, Drama, Future Teachers of America, GirlsÂ’ Leadership and Mentorship (GLAM), BoysÂ’ Leadership, Mentoring, Game Design Club, National Honor Society, Peer Mediation, Peer Tutoring, Yearbook, Newsletter, Cheerleading",,,K20B,,,,,"226 Bristol Street, Brooklyn NY 11212 (40.665568, -73.912102)",,,,,,,
02M392,212-647-1983,,,,,,,,,,,10011,,,,,,,,Priority to Manhattan students or residents who attend an information session,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,18.0,,Business,,1.0,,,,,,,"Burton Chill Programs: Snowboarding (Winter) and Surfing (Summer), Hudson Sailing, Student Ambassadors, Student Council, Dance Team, Hula Hoop, Business Club, Chemistry, Anime, Art, Drama, and Guitar clubs; Internship opportunities through partnerships with Futures & Options and Pencil Fellows Programs, Sponsors for Educational Opportunities (SEO), Minds Matter",,,,,,,,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",,,,,,,
31R605,718-667-3222,,,,,,,,,,,10306,,,,,,,,Open to New York City residents,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning.,,,Engineering,,1.0,,,,,,,"The extracurricular program featers over 100 after-school clubs and activities such as: Dance, Drama, Literary Magazine (Trope), Ensembles, National Honor Society, Orchestra, Parent Leadership Academy, Peer Mediation and Conflict Resolution, Publication (Tech Times), Showcase, S!NG, Spring Musical, Student Government, Symphonic Band; More than 90 clubs, activities, and special events",,,,,,,,"485 Clawson Street, Staten Island NY 10306 (40.568299, -74.117086)",,,,,,,
25Q285,718-461-2219,,,,,Â—31% of offers went to this group,,,,,,11358,Limited Unscreened,,,,,,,Priority to continuing 8th graders,,,Then to New York City residents,,262.0,"Writing and Research Intensives, Workshops, Studio Time, SAT Prep, CollegeEd, Internships and Job Shadowing, Work-Study, Journalism Camp",8.0,,Communications,,1.0,,,,,,,"Broadcast, Debate, Environmental, Greek, Friday Jam, Literary Magazine, Italian, Model UN, Newspaper, Endangered Animals, Fashion, Video Gaming, Photography, PrincipalÂ’s Advisory, Publications, Readings and Performances, Screenwriting, Spanish, Student Government, Student Newspaper, Town Hall, Videography, Web Design, Yearbook",,,Q85F,,,,,"34-65 192nd Street, Flushing NY 11358 (40.764884, -73.789365)",,,,,,,
17K531,718-771-4793,,,,,,,,,,,11203,,,,,,,,Priority to continuing 8th graders,,,,,,"Anatomy and Physiology, Big Brothers Big Sisters, CUNY College Now, Global Kids, buildOn",13.0,,Humanities & Interdisciplinary,,,,,,,,,"After-School Homework Help and Tutoring, Art, Before-and After-School Math and English Language Arts (ELA) Enrichment Classes, Chess, Comic Book, Computer Animation, Crochet, Dance, Debate, FYI, Introduction to Law, Math, Mural, Music Band, Music Camp, Parent Support Group, Peer Mediation, School Newspaper, Sewing, Step Team, Student Ambassadors, Yearbook Committee, Youth Leadership Conference",,,,,,,,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",,,,,,,
07X522,718-402-7690,,,,,Â—100% of offers went to this group,,,,,,10451,Ed. Opt.,,,,,,,Priority to Bronx students or residents,,,,,293.0,Career and College Counseling,27.0,,Engineering,,1.0,,,,,,,"After-School Tutoring, Cycling Smarts, City Harvest, Skills USA, Model UN, Student Council, Community Service, Photography, Carpentry",,,Y51B,,,,,"333 East 151st Street, Bronx NY 10451 (40.818645, -73.919949)",,,,,,Math Exercise (On-Site),
12X521,718,,,,,,,,,,,10472,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,"On Fridays, school is from 8:30 AM to 12:30 PM",22.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Flag Football, Art, Drama, Chess, Hip-Hop Dance, Bachata Dance, Leadership, New York Cares Service Program, New York Commission on Human Rights, Peer Mediator Program, Newsletter, Sponsors for Educational Opportunity",,,,,,,,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",,,,,,,
02M542,212-757-5274,,,,N,,,,No,,,10019,Screened: Language & Academics,Interview,,,,,,,Screened: Language & Academics,,,,213.0,"Honors, AP & College Courses",10.0,20.0,Computer Science & Technology,Y,1.0,,,"NYSESLAT Score, If Available",,,,"Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, Mentoring, MOUSE Squad, Music, Piano, Guitar, Singing, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, Programming & Coding, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga, NASA Summer Internship",Please contact the school for interview dates.,,M57C,,10.0,,,"525 West 50th Street, Manhattan NY 10019 (40.765474, -73.9927)",,,,,Open only to New York City residents whose home language is Spanish and are proficient in English,Attendance and Punctuality,M57D
03M417,212-362-2015,,,,,,,,,,,10024,,,,,,,,Open to New York City residents,,,,,,11th and 12th grade course choice for all subjects,18.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Random Acts of Kindness, Model UN, Newspaper, Outdoors Club, Peer Tutoring, Student Government, Dance, Philosophy, Running, Step; Additional clubs based on interest",,,,,,,,"145 West 84th Street, Manhattan NY 10024 (40.786134, -73.974483)",,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.0-4.5)",
04M372,212-722-6507,,,,,,,,,,,10029,,,,,,,,Priority to continuing 8th graders,,,,,,,13.0,,Science & Math,,1.0,,,,,,,"Art, Community Service, Dance, Music, Student Government, Theater, Electronic Music Production, Technology, Soccer, Basketball, Pencil Project",,,,,,,,"240 East 109th Street, Manhattan NY 10029 (40.792556, -73.942285)",,,,,,,
02M438,212-533-2560,,,,,,,,,,,10003,,,,,,,,,,,,,,"English and home language skill development through group project work; All students take computer science, visual art, media arts, and drama",18.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Before- and After-school Tutoring, Saturday Academy, Student Government, ADL Peer Trainer, Health and Exercise, Book, Song Writing, Explorer, Various Cultural Clubs, etc.",,,,,,,,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",,,,,,,
10X353,718-601-0391,,,,,,,,,,,10468,Screened: Language,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,84.0,"Environment, Chemistry, Physics; Mathematics: Algebra 1, Geometry, Algebra 2/Trigonometry, Pre-Calculus",22.0,,Science & Math,,1.0,,,,,,,Extracurricular activities and clubs will be determined by students and their interests.,,,X89B,,,,,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",,,,,,,
03M403,212-877-1103,,,,,,,,,,,10024,,,,,,,,Priority to Manhattan students or residents who attend an information session,,,,,,"International Study and Travel, CUNY College Now at Hunter College, Science and Technology Entry Program at Fordham UniversityÂ’s Lincoln Center",18.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Model UN, Mock Trial Team, Cooking, Student Government, Gay/Straight Alliance, Journalism, Drama, Chess, Community Service, Yearbook; Students are able to start clubs based on their own interests",,,,,,,,"145 West 84th Street, Manhattan NY 10024 (40.786134, -73.974483)",,,,,,,
02M551,212-458-0800,,,,,Â—51% of offers went to this group,,,,,,10004,Limited Unscreened,,,,,,,Priority to New York City residents who attend an information session,,,,,226.0,All ninth graders take a year-long field class called Introduction to New York Harbor.,18.0,,Science & Math,,1.0,,,,,,,"Maritime: Aquabotics, Fishing, Boat Building, Marine Systems Technology, Vessel Operations; Sustainability: Composting, Garden, Harbor Corps, Harbor Seals; Other: National Honor Society (NHS), National Park Service, Newspaper, Student Advisors Instilling Leadership (SAIL), Yearbook",,,K51B,,,,,"10 South Street, Slip 7, Manhattan NY 10004 (40.689493, -74.018941)",,,,,,,
24Q520,718-392-3330,,,,,,,,,,,11101,,,,,,,,Priority to Districts 24 and 30 students or residents,,,,,,The focus in 9th and 10th grades is academic and literacy skill development to prepare students for college course work,15.0,,Humanities & Interdisciplinary,,1.0,,,,,,,"Early College Program, Middle College National Consortium, National Honor Society, Yearbook, Senior Council Committee, Chess, Community Service Project, SAT Prep. Clubs can be created based on student interest",,,,,,,,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",,,,,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.0-4.5)",
