school_name,requirement6_1,interest4,auditioninformation7,eligibility7,borough,psal_sports_girls,seats9ge8,code4,seats103,seats9ge9,advancedplacement_courses,requirement1_1,offer_rate5,total_students,grade9swdapplicantsperseat7,appperseat4specialized,applicants2specialized,offer_rate8,requirement2_7,grade9swdapplicants6,auditioninformation3,requirement4_1,common_audition6,code5,grade9gefilledflag5,admissionspriority31,grade9swdfilledflag8,admissionspriority41,pct_stu_enough_variety,requirement6_7,requirement1_2,requirement1_7,grade9swdfilledflag9,requirement4_5,grade9geapplicants7,requirement1_3,grade9swdapplicantsperseat10,grade9swdapplicants10,seats101,academicopportunities4,requirement5_2,seats9swd5,prgdesc1,grade9gefilledflag2,admissionspriority27,boys,auditioninformation6,admissionspriority71,transfer
Frederick Douglass Academy III Secondary School,,,,,BRONX    ,"Table Tennis, Volleyball",,,,,"AP Biology, AP Calculus, AP English, AP Psychology, AP Spanish, AP US History",,,420,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.819999993,,,,,,,,,,No,"international travel program, after-school offerings, parent support",,,,,,,,,
Staten Island Technical High School,,,,,STATEN IS,"Badminton, Basketball, Bowling, Cross Country, Fencing, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,,,"AP Biology, AP Calculus, AP Chemistry, AP Economics, AP English, AP Environmental Science, AP Physics, AP Psychology, AP Statistics, AP US Government and Politics, AP US History, AP World History",,,1279,,,,,,,,,,,,,,,0.939999998,,,,,,,,,,Yes-10,"Career Development Center (Work Based Learning OpportunitiesÂ—Career Talks, Job Shadowing, Internships)",,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,,,,,,
High School for Energy and Technology,,,,,BRONX    ,"Softball, Volleyball",,,,,,,,400,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.74000001,,,,,,,,,,No,"Academic program prepares students to enter college in fields of mechanical engineering, electrical engineering, or control engineering",,,,,,,,,
Orchard Collegiate Academy (Henry Street School),,,,,MANHATTAN,,,,,,AP US History,,,185,,,,,,,,,,,,Then to New York City residents who attend an information session,,Then to Manhattan students or residents,0.699999988,,,,,,,,,,No,"Electives courses including Journalism, Technology, and Wellness",,,,,,,,,
Fordham Leadership Academy for Business and Technology,,,,,BRONX    ,"Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,AP Environmental Science,,,410,,,,,,,,,,,,,,,0.660000026,,,,,,,,,,Yes-5,"Social Studies: Global History 1-4, US History, Participation in Government, Economics, World Studies, Civic Engagement, AP US History, AIS",,,"This is a college preparatory program that focuses on preparing students to become leaders in the fields of Science and Mathematics and the Humanities via our sequence of academically rigorous and college bound (college credit bearing) courses. In addition to SUNY and AP courses, our students will receive opportunities for on-site and off-site College Now courses, internships (some paid), and leadership instruction beginning in the 9th grade.",,,,,,
"New Explorations into Science, Technology and Math High School (NEST+m)",,,,,MANHATTAN,"Basketball, Fencing, Soccer, Softball, Table Tennis, Volleyball",,,,,"AP Biology, AP Calculus, AP Chemistry, AP Chinese, AP Economics, AP English, AP European History, AP Physics, AP Psychology, AP Spanish, AP US History, AP World History","Course Grades: English (83-100), Math (85-100), Social Studies (85-100), Science (85-100)",,1753,,,,,,,,Test (on-site),,,,,,,0.819999993,,,,,,,,,,YesÂ–10,Eleventh grade Living Environment; Twelfth grade options include science electives and Advanced Placement (AP) courses,,,"Technology woven throughout the curriculum and school infrastructure; use of technological tools to collaborate, conduct research and explore mathematical and scientific phenomena.",,,,,,
Belmont Preparatory High School,,,,,BRONX    ,"Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,"AP Calculus, AP English, AP Environmental Science, AP Spanish, AP US History","Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.7-4.5)",,423,,,,,,,,Writing Exercise,,,,,,,0.75,,,,,,,,,,No,"Mentoring Latinas, College Bound @ Fordham University for English Language Learners, Work Study, Smith College Summer Program",,,"This early college awareness program helps students understand this transition at an early age and inform them of the academic, social, financial, and personal rewards of college, addressing their areas of concern and building on their strengths.",,,,,,
York Early College Academy,,,,,QUEENS   ,"Cross Country, Indoor Track, Outdoor Track, Softball, Table Tennis, Volleyball",,,,,,"Course Grades: English, Math, Social Studies, Science",,621,,,,,,,,Interview,,,,Then to New York City residents,,,0.720000029,,,,,,,,,,No,,,,,,,,,,
High School of Sports Management,,,,,BROOKLYN ,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,,,AP Calculus,,,262,,,,,,,,,,,,Then to Brooklyn students or residents,,Then to New York City residents,0.800000012,,,,,,,,,,Yes-10,,,,,,,,,,
Flushing International High School,,,,,QUEENS   ,"Badminton, Handball, Volleyball",,,,,,,,442,,,,,,,,,,,,,,,0.879999995,,,,,,,,,,No,"Internships in technology, arts and community-based organizations, as well as at local businesses; CUNY College Now",,,,,,,,,
Eleanor Roosevelt High School,,,,,MANHATTAN,"Basketball, Cross Country, Flag Football, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,"AP Art History, AP Biology, AP Calculus, AP Chemistry, AP Comparative Government and Politics, AP Economics, AP English, AP Music Theory, AP Statistics, AP US History, AP World History","Course Grades: English (91-100), Math (91-100), Social Studies (92-100), Science (92-100)",,554,,,,,,,,,,,,Then to New York City residents,,,0.899999976,,,,,,,,,,YesÂ–5,"Upperclassmen have electives available in every subject, including advanced and Advanced Placement (AP) courses",,,A program incorporating the arts and technology as essential components of learning.,,,,,,
Academy for College Preparation and Career Exploration: A College Board School,,,,,BROOKLYN ,"Basketball, Flag Football, Indoor Track, Outdoor Track, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,,,"AP Biology, AP English",,,451,,,,,,,,,,,,Then to New York City residents,,,0.670000017,,,,,,,,,,No,,,,,,,,,,
High School for Public Service: Heroes of Tomorrow,,,,,BROOKLYN ,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,Yes-5,,"AP Biology, AP English, AP US History, AP World History","Course Grades: English (74-100), Math (60-100), Social Studies (65-100), Science (70-100)",,467,,,,,,,,Demonstrated Interest: School Visit,,,,,,,0.810000002,,"Course Grades: English (65-100), Math (65-100), Social Studies (65-100), Science (65-100)",,,,,Demonstrated Interest: School Visit,,,Yes-5,"Latin-Hispanic Pre-Nursing, Red Hook Community Youth Court, Telluride Association, Opportunity Network (Op-Net)",,,"Criminal, civil & constitutional law, juvenile justice, corrections, and criminology. Students will explore education requirements of lawyers, paralegals, court reporters, judges, police officers, criminal psychologists, and criminal investigators with the aid of an assigned mentor.",Y,,,,,
"Brooklyn Latin School, The",,,,,BROOKLYN ,"Cross Country, Volleyball",,,,,,,,664,,,,,,,,,,,,,,,0.75999999,,,,,,,,,,Yes-20,,,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admissions Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,,,,,,
"High School for Law, Advocacy and Community Justice",,,,,MANHATTAN,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling",,,,,"AP English, AP Environmental Science, AP Psychology, AP Spanish, AP US History, AP World History",,,501,,,,,,,,,,,,,,,0.620000005,,,,,,,,,,YesÂ–10,"Thurgood Marshall Scholarship Fund, John Jay Talent Search, Summer Internships, TomorrowÂ’s Business Leaders, Harlem Educational Activities Fund",,,Students take law courses in their eleventh and twelfth grade years in addition to their social studies courses; a college preparatory focus is incorporated into the curriculum.,,,,,,
Millennium High School,,,,,MANHATTAN,"Basketball, Fencing, Soccer, Softball, Swimming, Table Tennis, Volleyball",,,,,"AP Calculus, AP English, AP Studio Art, AP US History, AP World History","Course Grades: English (87-100), Math (88-100), Social Studies (89-100), Science (90-100)",,641,,,,,,,,,,,,Then to New York City residents,,,0.720000029,,,,,,,,,,YesÂ–16,"Science: Advanced Biology, Advanced Chemistry, Advanced Physics, Anatomy and Physiology, Physics",,,"Comprehensive interdisciplinary liberal arts program with many opportunities for honors and AP courses. Thesis papers in grades 10, 11 and 12.",,,,,,
Academy for Careers in Television and Film (ACTV),,,,,QUEENS   ,"Basketball, Cross Country, Flag Football, Softball, Volleyball",,,,,"AP  Calculus, AP English, AP Environmental Science, AP Psychology, AP US History ",,,545,,,,,,,,,,,,,,,0.850000024,,,,,,,,,,No,Advanced Placement (AP) course selections in 11th and 12th grade; CUNY College Now partnership with LaGuardia Community College,,,,,,,,,
John Bowne High School,,Science & Math,,,QUEENS   ,"Badminton, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Table Tennis, Tennis, Volleyball",,Q14H,No,,"AP Biology, AP Calculus, AP Chemistry, AP Chinese, AP Computer Science, AP Economics, AP English, AP European History, AP Physics, AP Spanish, AP US Government and Politics, AP US History",,,3566,,,,,,,,,,Q14Z,,,,,0.800000012,,,,,,,,,,Yes-50,Students have the opportunity to work on our own four-acre farm and spend summers on actual working sites throughout New York State,,,"Academy for Creative Artists (A.C.A.) is a vibrant community of young artists and their teachers. A.C.A. offers talented writers and actors opportunities to explore their gifts through creative and academic writing courses, workshops, literary experiences, drama and performance.",Y,,,,,
High School of Hospitality Management,,,,,MANHATTAN,"Basketball, Volleyball",,,,,AP English,,,402,,,,,,,,,,,,,,,0.779999971,,,,,,,,,,No,"Industry Certification Opportunities, CUNY College Now, Specialization in Culinary Arts and Business Management",,,Regents-based courses and a 12-unit sequence in hospitality management in which students earn 5 industry certifications.,,,,,,
Frank McCourt High School,Writing Exercise,,,,MANHATTAN,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",,,,,,"Course Grades: English (78-100), Math (72-100), Social Studies (75-100), Science (76-100)",,386,,,,,,,,Interview,,,,,,,0.720000029,,,,,,,,,,YesÂ–6,College Now,,,,,,,,,
Knowledge and Power Preparatory Academy International High School (KAPPA),,,,,BRONX    ,"Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,,,,499,,,,,,,,,,,,,,,0.850000024,,,,,,,,,,Yes-5,,,,,,,,,,
High School for Medical Professions,,,,,BROOKLYN ,"Basketball, Indoor Track, Outdoor Track, Rugby, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,"AP Biology, AP Calculus, AP English, AP Psychology",,,413,,,,,,,,,,,,,,,0.769999981,,,,,,,,,,Yes-5,,,,,,,,,,
RFWJSSFAAT,,,,,QUEENS   ,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball",,,,,"AP English, AP US History","Initial Filter: Minimum 80 Grade Average in Four Core Course Subjects, 95% Attendance, and 90% On Time",,623,,,,,,,,,,,,,,,0.810000002,,,,,,,,,,Yes-5,"National Honors Society, Piano, Music Composition, Visual Arts, Advanced Drawing and Painting, Theater, Advanced Theater",,,"Opportunities in the arts, career education, athletics, college classes, trips, and conferences.",,,,,,
Tottenville High School,,Zoned,,,STATEN IS,"Badminton, Basketball, Bowling, Cross Country, Fencing, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball",,R30Z,No,,"AP Biology, AP Calculus, AP Chemistry, AP English, AP Physics, AP Psychology, AP US Government and Politics, AP US History, AP World History",,,3907,,,,,,,,,,,,,,,0.850000024,,"Course Grades: English (90-100), Math (90-100), Social Studies (92-100), Science (91-100)",,,,,"Course Grades: English (92-100), Math (93-100), Social Studies (94-100), Science (93-100)",,,No,CTE Programs,,,"The Marine Corps Junior Reserve OfficersÂ’ Training Corps (JROTC) program is co-sponsored by the Department of Education and the US Marine Corps. The curriculum is divided into three areas: academic, military, and physical fitness and is designed to provide students with a sense of leadership and self-discipline.",Y,,,,,
"Queens High School for Information, Research, and Technology",,,,,QUEENS   ,"Basketball, Flag Football, Soccer, Softball, Swimming, Tennis, Volleyball",,,,,,,,417,,,,,,,,,,,,,,,0.74000001,,,,,,,,,,Yes-5,"Life Application Research Project (LAP). Online courses offered, STEM (Science, Technology, Engineering and Math) focused areas of study",,,"This program introduces and builds on fundamental networking concepts and technologies. Students are taught skills necessary to plan, implement, manage, and troubleshoot computer-based networks across a range of applications. Students will also learn how to set up and secure wireless networks using Linksys routers and equipment. Upon completion of the program, students will qualify to take the Cisco Certified Network Associate (CCNA) industry recognized certification exam and IC3 certification.",N,,,,,
High School for Innovation in Advertising and Media,,,,,BROOKLYN ,"Basketball, Indoor Track, Outdoor Track, Rugby, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,AP English,,,296,,,,,,,,,,,,,,,0.819999993,,,,,,,,,,No,Communications and Advertising Design Certification,,,"The advertising and media program teaches students how these areas impact the creation of a business solution for clients. Students have the opportunity to explore and become certified in the technology used in advertising including programming, animation, web design, and production. Throughout the four years at IAM, students will be exposed to professional settings through field trips and competitions.",,,,,,
The Michael J. Petrides School,,,,,STATEN IS,"Basketball, Bowling, Golf, Lacrosse, Soccer, Softball, Swimming, Volleyball",,,,,"AP Biology, AP Calculus, AP English, AP Statistics, AP World History",We do not rank students for this program; all students will be selected randomly,,1330,,,,,,,,,,,,,,,0.889999986,,,,,,,,,,No,Opportunities for international travel,,,Comprehensive academic curriculum with an emphasis on performing arts and technology.,,,,,,
Pathways College Preparatory School: A College B oard School,,,,,QUEENS   ,"Basketball, Cross Country, Indoor Track, Volleyball",,,,,"AP Economics, AP English, AP US History",,,579,,,,,,,,,,,,,,,0.810000002,,,,,,,,,,No,"Performing Arts- Choir, Dance, Drumline, Theater, Leadership Training- Peer Group Connection, College Summit Peer Leaders, Global Kidz",,,"Program for continuing eighth grade students. Our continuing eighth grade students who meet specific academic requirements will be placed on an accelerated honors track as a Pathways Early College Scholar (PECS), where they will take AP courses starting in the ninth grade, complete all requirements for an advanced high school Regents exam by end of 10th grade, and enroll in college courses in the 11th and 12th grade through Adelphi University.",N,,,,,
Gaynor McCown Expeditionary Learning School,,,,,STATEN IS,"Basketball, Cross Country, Fencing, Flag Football, Outdoor Track, Soccer, Softball, Tennis, Volleyball, Wrestling",,,,,"AP Biology, AP Calculus, AP English, AP Environmental Science, AP US History, AP World History",,,450,,,,,,,,,,,,Then to Staten Island students or residents,,Then to New York City residents,0.560000002,,,,,,,,,,Yes-5,,,,,,,,,,
Leadership Institute,,,,,BRONX    ,"Flag Football, Soccer",,,,,"AP English, AP Spanish",,,180,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.74000001,,,,,,,,,,Yes-41,,,,,,,,,,
Lyons Community School,,,,,BROOKLYN ,"Cross Country, Volleyball",,,,,,,,535,,,,,,,,,,,,Then to New York City residents,,,0.74000001,,,,,,,,,,Yes-10,"Elective Classes for grades 10 through 12, Arts, Dance",,,,,,,,,
Bronx Academy of Health Careers,,,,,BRONX    ,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",,,,,,,,457,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.680000007,,,,,,,,,,Yes-5,,,,,,,,,,
Bronx Lab School,,,,,BRONX    ,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",,,,,,,,436,,,,,,,,,,,,,,,0.75999999,,,,,,,,,,Yes-10,"SAT Prep, CUNY College Now and College Trips; Partnerships with both the Hotchkiss School and the Mountain School",,,,,,,,,
Hillcrest High School,,Health Professions,,,QUEENS   ,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,Q24J,Yes-10,,"AP Art History, AP Biology, AP Calculus, AP English, AP Environmental Science, AP French, AP Spanish, AP World History",Demonstrated Interest: School Visit,,3321,8.0,,,,,107.0,,,,Q24L,N,,,,1.0,,Demonstrated Interest: School Visit,Test (on-site),,Interview,490.0,"Course Grades: English (69-100), Math (65-100), Social Studies (65-100), Science (65-100)",,,Yes-24,"Public Service studies in Constitutional Law, Forensics, and Criminal Justice; Teachers of Tomorrow provides teaching training through TAS/PERC Program",,10.0,"New York State CTE Certified Nursing Assistant program that includes supervised clinical rotations with training from registered nurses; a developing Sports Medicine program with courses such as Exercise Physiology, Human Anatomy, and Nutrition; AP courses in Biology, Environmental Science; College Now courses (college credit bearing) in Health Professions and Nutrition; Paid and unpaid internships in the health field as well the opportunity to participate in HOSA (future health professionals).",Y,,,,,
World View High School,,,,,BRONX    ,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,,,,,,,289,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.74000001,,,,,,,,,,Yes-2,,,,,N,,,,,
Multicultural High School,,,,,BROOKLYN ,"Basketball, Bowling, Cross Country, Indoor Track, Softball, Tennis, Volleyball",,,,,"AP English, AP Environmental Science, AP Human Geography, AP Spanish",,,208,,,,,,,,,,,,,,,0.839999974,,,,,,,,,,Yes-5,,,,,,,,,,
DeWitt Clinton High School,,Science & Math,,,BRONX    ,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,X10K,Yes-10,,"AP Biology, AP Calculus, AP Chemistry, AP Economics, AP English, AP European History, AP Spanish, AP Statistics, AP US Government and Politics, AP US History, AP World History",,Â—98% of offers went to this group,1694,,,,,,,,,,X10L,N,,,,0.879999995,,,,,,,"Course Grades: English (70-100), Math (70-100), Social Studies (65-100), Science (69-100)",,,Yes-10,"Playwriting, Air Force Junior Reserve OfficersÂ’ Training Corps (AFJROTC)",,24.0,"Students explore the numerous career pathways available in the health professions. With rigorous courses and unique learning opportunities, students acquire background knowledge to continue their studies in health careers after high school. Some potential careers include medical technologists and assistants, nursing, patient care, medical billing, and veterinary studies.",N,,,,,
Brooklyn Academy of Science and the Environment,,,,,BROOKLYN ,"Basketball, Soccer",,,,,"AP Calculus, AP English, AP Statistics, AP US History",,,427,,,,,,,,,,,,Then to Brooklyn students or residents,,Then to New York City residents,0.639999986,,,,,,,,,,Yes-10,Students can enroll in college courses through CUNY College Now at nearby Medgar Evers College. College trips and SAT Prep classes are offered.,,,Integrated and interdisciplinary curriculum that includes project-based learning and hands-on experiences in collaboration with Prospect Park and the Brooklyn Botanic Garden,,,,,,
the metropolitan soundview high school,,,,,BRONX    ,"Basketball, Softball",,,,,"AP Calculus, AP English",,,425,,,,,,,,,,,,Then to Bronx students or residents,,Then to New York City residents,0.839999974,,,,,,,,,,No,"Music, Art, College Prep Class, After-School Tutoring, CUNY College Now at Lehman College",,,,,,,,,
Kurt Hahn Expeditionary Learning School,,,,,BROOKLYN ,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",,,,,,,,357,,,,,,,,,,,,,,,0.860000014,,,,,,,,,,Yes-10,This hallmark of our school builds terrific public speaking skills and self-confidence,,,,,,,,,
Central Park East High School,,,,,MANHATTAN,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,,,"AP Calculus, AP English, AP Environmental Science, AP Statistics, AP US History","Course Grades: English (85-100), Math (85-100), Social Studies (85-100), Science (85-100)",,470,,,,,,,,Honors/Accelerated coursework,,,,,,,0.870000005,,,,,,,,,,YesÂ–15,"Peer Tutoring, SAT Prep Classes, Adobe Digital Photography",,,,,,,,,
M.S. 223 The Laboratory School of Finance and Technology,,,,,BRONX    ,"Basketball, Handball, Outdoor Track, Softball, Table Tennis, Volleyball",,,,,AP English,,,595,,,,,,,,,,,,Then to New York City residents,,,0.839999974,,,,,,,,,,No,,,,,Y,,,,,
Manhattan Village Academy,,,,,MANHATTAN,"Basketball, Softball",,,,,"AP Biology, AP Calculus, AP Economics, AP English, AP European History, AP Psychology, AP US History, AP World History","Course Grades: English (75-100), Math (71-100), Social Studies (70-100), Science (75-100)",,441,,,,,,,,Demonstrated Interest: School Visit,,,,,,,0.540000021,,,,,,,,,,YesÂ–5,Instrumental Music; Nine Regents Exams required for graduation,,,"Rigorous core curriculum based on four years of Math, Science, English and History.",,,,,,
Benjamin N. Cardozo High School,,Performing Arts,,,QUEENS   ,"Basketball, Cross Country, Fencing, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,Q16K,Yes-5,,"AP Biology, AP Calculus, AP Chemistry, AP Economics, AP English, AP Environmental Science, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP US Government and Politics, AP US History, AP World History",,,3646,,,,,,,,,,Q16Z,,,,,0.860000014,,,,,,,"Course Grades: Math (90-100), Science (90-100)",,,Yes-20,"CUNY College Now at Queens College and Queensborough Community College, St. JohnÂ’s College Advantage",,,"Program dedicated to fostering interest in the legal field. Open to wide range of academic performance levels. Students will engage in a sequence of history courses in topics including civil, criminal, and constitutional law. They will also participate in activities such as mock trial and law internships.",Y,,,,,
