bk_sunset_park_west,qn_murray_hill,bk_clinton_hill,si_grasmere_arrochar_ft,qn_park_cemetery_etc_queens,state,qn_jamaica_estates_holliswood,bx_west_farms_bronx_river,bk_crown_heights_north,bx_claremont_bathgate,mn_upper_west_side,qn_forest_hills,si_oakwood_oakwood_beach,bk_bensonhurst_east,mn_chinatown,bk_prospect_lefferts_gardens,bbl,bx_kingsbridge_heights,bk_borough_park,bx_mount_hope,mn_washington_heights_north,qn_fresh_meadows_utopia,mn_central_harlem_south,bk_dyker_heights,bk_bushwick_south,qn_kew_gardens_hills,bk_georgetown_marine_park,qn_lindenwood_howard_beach,si_westerleigh,organization_type,si_annadale_huguenot_prince,bx_van_cortlandt_village,qn_laurelton,qn_jackson_heights,council_district,qn_bayside_bayside_hills,bx_pelham_bay_country_club,mn_park_cemetery_etc_manhattan,qn_far_rockaway_bayswater,bk_brooklyn_heights_cobble,qn_hollis,bk_stuyvesant_heights,bx_bronxdale,bk_sheepshead_bay_gerritsen,bk_bensonhurst_west
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1000790015.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Non-profit,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,1.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,Forest Hills,,,,,1012807501.0,,,,,,,,,,,,,Community-based organization,,,,,4.0,,,,,,,,,,
,,Clinton Hill,,,NY,,,Crown Heights North,,,,,,,Prospect Lefferts Gardens-Wingate,2028120017.0,,Borough Park,,,,,,,,,,,Volunteer-led group,,,,,15.0,,,,,Brooklyn Heights-Cobble Hill,,Stuyvesant Heights,,,
,,,,,NY,,,Crown Heights North,,,,,,Chinatown,,1005810063.0,,,,Washington Heights North,,,,,,,,,conservation non-profit,,,,,3.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,2032520209.0,,,,,,,,,,,,,Community-based organization,,,,,11.0,,,,,,,,,,
,,,,,NY,,,,,,,,,Chinatown,,4017700113.0,,,,,,,,,,,,,Community-based organization,,,,,21.0,,,,,,,,,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Community-based organization,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1009960014.0,,,,,,,,,,,,,Community-based organization,,,,,4.0,,,,,,,,Bronxdale,,
Sunset Park West,Murray Hill,Clinton Hill,Grasmere-Arrochar-Ft. Wadsworth,park-cemetery-etc-Queens,NY,Jamaica Estates-Holliswood,West Farms-Bronx River,Crown Heights North,Claremont-Bathgate,Upper West Side,Forest Hills,Oakwood-Oakwood Beach,Bensonhurst East,Chinatown,Prospect Lefferts Gardens-Wingate,1015080061.0,Kingsbridge Heights,Borough Park,Mount Hope,Washington Heights North,Fresh Meadows-Utopia,Central Harlem South,Dyker Heights,Bushwick South,Kew Gardens Hills,Georgetown-Marine Park-Bergen Beach-Mill Basin,Lindenwood-Howard Beach,Westerleigh,Volunteer-led group,Annadale-Huguenot-Prince's Bay-Eltingville,Van Cortlandt Village,Laurelton,Jackson Heights,4.0,Bayside-Bayside Hills,Pelham Bay-Country Club-City Island,park-cemetery-etc-Manhattan,Far Rockaway-Bayswater,Brooklyn Heights-Cobble Hill,Hollis,Stuyvesant Heights,Bronxdale,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Bensonhurst West
,,,,,NY,,,,,,,,,,,1010030005.0,,,,,,,,,,,,,Community-based organization,,,,,4.0,,,,,,,,,,
,,,,,NY,,,,,,,,,,,1007760001.0,,,,,,,,,,,,,Educational nonprofit,,,,,3.0,,,,,,,,,,
,,,,,NY,,,,,Upper West Side,,,,,,4130120020.0,,,,Washington Heights North,,Central Harlem South,,,,,,,Community-based organization,,,,,31.0,,,,,,,,,,
