bk_greenpoint,bk_canarsie,bk_homecrest,qn_old_astoria,qn_south_jamaica,si_new_springville_bloomfield,qn_queens_village,qn_kew_gardens,bk_windsor_terrace,qn_east_elmhurst,qn_bellerose,bx_east_concourse_concourse,si_new_dorp_midland_beach,mn_upper_east_side_carnegie,bk_flatlands,mn_east_harlem_south,youth_volunteers,bx_west_concourse,bk_bedford,bx_melrose_south_mott_haven,mn_hudson_yards_chelsea_flat,mn_lower_east_side,bx_park_cemetery_etc_bronx,bk_dumbo_vinegar_hill_downtown,si_park_cemetery_etc_staten,si_west_new_brighton_new,bk_bath_beach,adult_volunteers,qn_whitestone,census_tract,total_vounteers,qn_flushing,qn_auburndale,qn_ridgewood,si_great_kills,bx_norwood,mn_soho_tribeca_civic_center,special_populations_served,bk_erasmus,bx_bedford_park_fordham_north,bk_bushwick_north,bk_midwood,qn_springfield_gardens_south,qn_college_point,zip_code,si_arden_heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,20,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,40,Whitestone,506.0,75,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Low-income populations, Youth (17 or under), 18-21 years old",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11218,Arden Heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,422.0,15,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Older adults (60 or older),Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11223,Arden Heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,832,Whitestone,1501.0,832,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Low-income populations,Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10038,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,190.0,10,,,,,,,Older adults (60 or older),,,,,,,10035,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,20,,22701.0,25,,,,,,,Diversity community,,,,,,,10453,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,,10,,,,,Lower East Side,,,,,,300,Whitestone,180.0,475,Flushing,,,,,,"Low-income populations, Older adults (60 or older), Youth (17 or under), Children",,,,Midwood,,,10029,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,145.0,406,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Homeless, Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), Women",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10023,Arden Heights
,,,,South Jamaica,,Queens Village,,,East Elmhurst,,,,,,East Harlem South,1,,,,,,,,,West New Brighton-New Brighton-St. George,,1,,41.0,40,,,,,,,"Low-income populations, Older adults (60 or older)",,Bedford Park-Fordham North,,,Springfield Gardens South-Brookville,,11217,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,1.0,75,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11101,Arden Heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,97203.0,10,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Justice-involved individuals, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11692,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,Lower East Side,,,,,,3381,,7.0,3637,,,,,,,"Homeless, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities, Women, Youth (17 or under)",,,Bushwick North,,,,10005,
,,,,,,,,,,,,,,,,10,,,,,,,,,,,99,,65.0,136,,,,,,,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,10451,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,45,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,37,Whitestone,202.0,97,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,,Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10002,Arden Heights
,,,Old Astoria,South Jamaica,,Queens Village,,,East Elmhurst,,,,,,,0,,,,,,,,,,,0,,74.0,56,Flushing,,,,,,Youth (17 or under),,,,,Springfield Gardens South-Brookville,,10016,
,,,,,,,,,,,,,,,East Harlem South,0,,,,,,,,,,,3,,489.0,15,,,,,Norwood,,Older adults (60 or older),,,,,,,11206,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,,,4,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,Springfield Gardens South-Brookville,,11207,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,East Harlem South,10,,,,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,,,,,,6,,269.0,231,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,Youth (17 or under),,,,,,,11216,
,,,,,New Springville-Bloomfield-Travis,,,,,,,New Dorp-Midland Beach,,,,0,,,,,,,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,0,,58.0,1400,,,,Great Kills,,,"Low-income populations, Youth (17 or under)",,,,,,,10010,Arden Heights
Greenpoint,,,Old Astoria,,,,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,,,Upper East Side-Carnegie Hill,,East Harlem South,0,West Concourse,Bedford,,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,0,,49.0,17000,Flushing,,Ridgewood,,,SoHo-TriBeCa-Civic Center-Little Italy,people living with serious illness,,Bedford Park-Fordham North,Bushwick North,Midwood,,,10013,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,5,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,40,Whitestone,747.0,50,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Justice-involved individuals, Low-income populations, Women, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11375,Arden Heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,3,Whitestone,71.0,3,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Older adults (60 or older),Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11217,Arden Heights
,Canarsie,,,,,,,,,,,,,Flatlands,,0,,,,,,,,,,,0,,666.0,8,,,,,,,Older adults (60 or older),,,,Midwood,,,11234,
,,,,South Jamaica,,,,,East Elmhurst,,East Concourse-Concourse Village,,,,East Harlem South,0,West Concourse,,Melrose South-Mott Haven North,,,,,,,,950,,7.0,950,,,,,,,"LGBTQIA+, Low-income populations, Youth (17 or under), College Aged Students",,Bedford Park-Fordham North,Bushwick North,,,,10005,
,,,,,,,,,,,,New Dorp-Midland Beach,,,,0,,,,,,,,,West New Brighton-New Brighton-St. George,,0,,32.0,6,Flushing,,,,,,Older adults (60 or older),,,,Midwood,,,10009,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,135.0,7,,,,,,,"Older adults (60 or older), Senior Center",,,,,,,10019,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,10,,76.0,10,,,,,,,"Low-income populations, People with disabilities, Women, Youth (17 or under)",,,,,,,10001,
,Canarsie,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,380.0,5,,,,,,,Youth (17 or under),,,,,,,10467,
,,,,,,,,,,,,,,,,10,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,10,,118.0,30,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women",,,,,,,11220,
,Canarsie,,,,,,,,,,,,,Flatlands,,30,,,,,,,,,,,180,,565.0,225,,,,,,,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,11222,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,299.0,12,,,,,,,Older adults (60 or older),,,,,,,10039,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,169.0,268,,,,,,,Youth (17 or under),,,,,,,10024,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,,0,,,,,Lower East Side,,,,,,0,,113.0,329,,,,,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)",,,,,,,10022,
,,,,,,,,,,,,,,,,7,,,,,,,,,,,21,,212.0,35,,,,,,,"Low-income populations, Older adults (60 or older), People with disabilities",,,,,,,10037,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,,30,,,,,,,,,,,15,,871.0,50,,,,,,,Small Businesses and Community Outreach,,,,,,,11354,
,,,,,,,,,,,East Concourse-Concourse Village,,,,,60,,,Melrose South-Mott Haven North,,,,,,,,120,,97.0,200,,,,,,,"Low-income populations, Youth (17 or under)",,,,,,,10301,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,1502.0,785,,,,,,,"Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,Bedford Park-Fordham North,,,,,10038,
,,,,,,,,,,,,,,,,48,,,,,,,,,,,47,,,140,,,,,,,"Low-income populations, Youth (17 or under)",,,,,,,11434,
,,,,,,,,,,,,,,,,35,,,,,,,,,,,411,,70.0,541,,,,,,,"LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,10016,
,,,,,New Springville-Bloomfield-Travis,,,,,,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,,East Harlem South,0,West Concourse,,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,0,,21.0,402,,,,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"The CFB brings voter registration events and civic engagement programs to all five boroughs, with a particular focus on historically disenfranchised communities, as mandated in the City Charter",,Bedford Park-Fordham North,,,,,10007,Arden Heights
,,,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,,East Harlem South,387,West Concourse,,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,,21873,Whitestone,137.0,23642,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,Bedford Park-Fordham North,,,Springfield Gardens South-Brookville,College Point,10019,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,,,,,,,12,,236.0,15,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, People with Mental Illness",,,,,,,11432,
,Canarsie,,,,,,,,,,,,,,,2,,,,,,,,,,,40,,,42,,,,,,,"Justice-involved individuals, Low-income populations, Out of school youth ages 17-24",,,,,,,10026,
,,,,,,,,,,,,,,,East Harlem South,0,,Bedford,,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,,,,,,10,,553.0,10,,,,,,,"Low-income populations, Youth (17 or under)",,,,,,,11249,
,,,,,,,,,,,,,,,,247,,,,,,,,,,,38,,1429.0,291,,,,,,,"Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)",,,,,,,11358,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,,,,Flatlands,,0,,Bedford,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Bath Beach,6,Whitestone,195.0,9,Flushing,Auburndale,Ridgewood,,,,"Immigrants and/or refugees, Low-income populations, Youth (17 or under)",Erasmus,,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10452,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,East Harlem South,0,,,,,,,,,,,523,,222.0,528,,,,,,,"Low-income populations, Youth (17 or under)",,,,,,,10027,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,375.0,10,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,Older adults (60 or older),Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,11372,Arden Heights
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,101.0,3777,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"People with disabilities, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10001,Arden Heights
,,,,,,,,,,,,,,,,0,,,,,Lower East Side,,,,,,32,,80.0,316,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,"Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), Women",,,,,,,10016,
,,,,,,,,,,,,,,,East Harlem South,0,,,,,,,,,,,400,,128.0,515,,,,,,,All of the above,,,,,,,10021,
,,,,,,,,,,,,,Upper East Side-Carnegie Hill,,,0,,,,,Lower East Side,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,,72,,31.0,586,,,,,,,"Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women",,,,,,,10007,
,,,,,,,,,,,,,,,,0,,Bedford,,,,,,,,,104,,12901.0,120,,,,,,,"Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)",,,Bushwick North,,,,11217,
Greenpoint,Canarsie,Homecrest,Old Astoria,South Jamaica,New Springville-Bloomfield-Travis,Queens Village,Kew Gardens,Windsor Terrace,East Elmhurst,Bellerose,East Concourse-Concourse Village,New Dorp-Midland Beach,Upper East Side-Carnegie Hill,Flatlands,East Harlem South,0,West Concourse,Bedford,Melrose South-Mott Haven North,Hudson Yards-Chelsea-Flat Iron-Union Square,Lower East Side,park-cemetery-etc-Bronx,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,park-cemetery-etc-Staten Island,West New Brighton-New Brighton-St. George,Bath Beach,0,Whitestone,113.0,2500,Flushing,Auburndale,Ridgewood,Great Kills,Norwood,SoHo-TriBeCa-Civic Center-Little Italy,"Low-income populations, Youth (17 or under)",Erasmus,Bedford Park-Fordham North,Bushwick North,Midwood,Springfield Gardens South-Brookville,College Point,10018,Arden Heights
