brooklyn_condominiums_comparable_properties_address,comparable_rental_3_neighborhood,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_1_boro_block_lot,comparable_rental_3_year_built,comparable_rental_2_expense_per_sqft,comparable_rental_1_estimated_gross_income,brooklyn_condominiums_comparable_properties_neighborhood,brooklyn_condominiums_comparable_properties_expense_per_sqft,comparable_rental_3_estimated_expense,brooklyn_condominiums_comparable_properties_estimated_gross_income,brooklyn_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,brooklyn_condominiums_comparable_properties_full_market_value,comparable_rental_3_market_value_per_sqft,brooklyn_condominiums_comparable_properties_gross_sqft,comparable_rental_1_total_units
102 SKILLMAN STREET,FORT GREENE,362 SOUTH 2 STREET,24.64,"44,046",350 KEAP STREET,3-02437-0003,1927,13.38,503375,BEDFORD STUYVESANT,8.49,"409,988",164938,20.7,24.6,715000,68.13,7968,29
1576 EAST 15 STREET,FLATBUSH-CENTRAL,142 ST PAUL'S PLACE,19.55,"25,212",1219 AVENUE O,3-06750-0050,2007,12.7,1813190,MIDWOOD,8.13,"297,225",204674,19.53,26.73,858000,39.74,10480,120
555 CROWN STREET,CROWN HEIGHTS,424 ALBANY AVENUE,13.04,"52,684",1325 EASTERN PARKWAY,3-01393-0066,1924,6.21,532080,CROWN HEIGHTS,6.59,"370,094",498346,12.44,12.44,1482001,30.62,40060,43
145 PARK PLACE,DOWNTOWN-FULTON MALL,25 LAFAYETTE AVENUE,28.46,"39,770",80 GREENE AVENUE,3-01959-0027,1930,8.35,2033930,PARK SLOPE,9.02,"261,107",1507795,22.01,19.35,6515001,113.08,68505,97
1845 52 STREET,FLATBUSH-EAST,257 15 STREET,14.89,"15,800",597 GRAND AVENUE,3-01148-0001,1931,8.48,839187,BOROUGH PARK,7.94,"102,226",1044414,14.78,14.78,2892526,23.67,70664,52
3567 SHORE PARKWAY SR NOR, ,2821 AVENUE Z,18.42, ,2403 EAST 13 STREET,3-07415-0001, ,6.41,165746,SHEEPSHEAD BAY,8.91, ,118350,17.29,16.15,532999, ,6845,12
442 SOUTH 5 STREET,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,19.48,"23,000",385 SOUTH 2 STREET,3-02413-0031,1915,13.3,395336,WILLIAMSBURG-SOUTH,8.66,"229,306",221365,18.83,20.7,861000,40.61,11756,22
728 OCEAN VIEW AVENUE, ,3032 BRIGHTON 7 STREET,18.19, ,3611 SHORE PARKWAY,3-08786-0029, ,11.13,188885,BRIGHTON BEACH,8.13, ,327655,19.53,23.69,1371000, ,16777,16
1901 51 STREET, ,1005 45 STREET,16.59, ,5718 FT HAMILTON PARKWAY,3-05694-0032, ,8.35,290463,BOROUGH PARK,8.43, ,495216,17.1,17.6,1605997, ,28960,24
136 WALLABOUT STREET,WILLIAMSBURG-SOUTH,370 SOUTH 2 STREET,15.84,"19,900",189 ROSS STREET,3-02183-0058,1920,9.97,408672,WILLIAMSBURG-CENTRAL,8.63,"177,309",456206,18.75,18.75,1770000,39.95,24331,35
1229 PRESIDENT STREET,CROWN HEIGHTS,148 ST PAUL'S PLACE,16.13,"56,377",588 GATES AVENUE,3-01816-0001,1900,8.62,1896312,CROWN HEIGHTS,7.64,"256,381",341214,15.42,15.94,1181001,53.46,22128,150
2072 OCEAN AVENUE,FLATBUSH-CENTRAL,1672 EAST 22 STREET,14.19,"21,840",860 EAST 18 STREET,3-06701-0054,1939,1.89,407126,MIDWOOD,7.79,"193,112",351679,17.29,14.23,1395000,77.20,20340,33
13 IRVING PLACE,CLINTON HILL,66 ST JAMES PLACE,35.72,"9,375",286 CLINTON AVENUE,3-01915-0063,1931,10.77,585782,CLINTON HILL,9.97,"92,016",338640,28.88,31.03,1592999,145.92,11725,37
5923 STRICKLAND AVENUE, ,243 KINGSTON AVENUE,26.73, ,142 ST PAUL'S PLACE,3-05079-0019, ,16.34,429829,MILL BASIN,8.79, ,432541,25.12,23.5,2041000, ,17219,16
559 FLUSHING AVENUE,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,20.7,"19,104",354 SOUTH 2 STREET,3-02424-0006,1919,11.74,499299,WILLIAMSBURG-CENTRAL,8.49,"228,216",289800,20.7,21.45,1255999,48.89,14000,29
262 HEYWARD STREET,WILLIAMSBURG-EAST,20 STAGG STREET,20.75,"3,600",47 MAUJER STREET,3-02785-0037,1930,8.13,286544,WILLIAMSBURG-CENTRAL,10.38,"34,435",537508,20.75,21.01,1973997,90.28,25904,14
141 ATLANTIC AVENUE,BROOKLYN HEIGHTS,66 LIVINGSTON STREET,19.31,"7,872",108 ATLANTIC AVENUE,3-00284-0025,1900,,221823,BROOKLYN HEIGHTS,10.21, ,75319,23.76,29.34,313000,236.28,3170,12
45 OCEANA DRIVE,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,BRIGHTON BEACH,10.58,"555,180",2275693,23.5,23.5,9128997,62.58,96838,16
208 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,276 SOUTH 1 STREET,20.0,"21,150",226 SOUTH 1 STREET,3-02408-0007,1905,15.3,468052,WILLIAMSBURG-SOUTH,9.46,"237,870",234803,21.83,22.41,977999,78.01,10756,21
222 PARK PLACE, ,170 PROSPECT PLACE,28.35, ,191 STERLING PLACE,3-01164-0082, ,11.13,440258,PROSPECT HEIGHTS,10.2, ,679297,27.57,26.78,2550999, ,24639,24
1765 EAST 19 STREET, ,1641 EAST 18 STREET,17.5, ,2151 OCEAN AVENUE,3-06783-0055, ,4.52,336000,MADISON,8.24, ,298900,17.5,17.5,1138002, ,17080,12
773 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,21.45,"20,295",347 SOUTH 3 STREET,3-02424-0035,1915,13.3,503375,BEDFORD STUYVESANT,9.73,"198,149",378106,20.7,20.7,1472002,42.18,18266,29
120 OCEAN VIEW AVENUE, ,3032 BRIGHTON 7 STREET,18.19, ,3611 SHORE PARKWAY,3-08786-0029, ,11.13,188885,BRIGHTON BEACH,6.84, ,213873,19.53,23.69,998001, ,10951,16
316 HIMROD STREET,BUSHWICK,1226 FLUSHING AVENUE,17.56,"71,326",415 BLEECKER STREET,3-03303-0001,1991,2.83,1878800,WYCKOFF HEIGHTS,4.65,"331,962",710185,11.23,17.24,2681000,42.37,63240,150
811 5 AVENUE,FORT GREENE,142 ST PAUL'S PLACE,28.46,"27,144",80 GREENE AVENUE,3-01959-0027,1900,12.7,2033930,SUNSET PARK,9.02,"226,573",352424,22.01,26.73,1528000,78.91,16012,97
163 SKILLMAN STREET, ,466 MADISON STREET,18.88, ,340 CLIFTON PLACE,3-01794-0009, ,6.65,336150,BEDFORD STUYVESANT,6.64, ,276453,16.2,14.68,1111000, ,17065,19
236 SOUTH 1 STREET, ,204 SOUTH 1 STREET,22.58, ,355 SOUTH 2 STREET,3-02412-0033, ,11.19,431273,WILLIAMSBURG-SOUTH,7.95, ,353010,19.87,25.27,1514999, ,17766,24
444 12 STREET,FLATBUSH-CENTRAL,597 GRAND AVENUE,14.78,"16,080",257 15 STREET,3-01042-0059,1912,4.55,311116,PARK SLOPE,8.48,"138,530",858718,14.78,14.89,2525003,50.00,58100,24
346 NEW YORK AVENUE,FLATBUSH-EAST,944 MARCY AVENUE,13.83,"16,800",254 HERKIMER STREET,3-01868-9028,1931,7.05,2428238,CROWN HEIGHTS,6.94,"108,696",259683,13.3,13.3,824001,23.69,19525,139
260 SKILLMAN STREET,CLINTON HILL,904 BEDFORD AVENUE,18.22,"21,600",908 BEDFORD AVENUE,3-01914-0036,2005,7.93,473722,BEDFORD STUYVESANT,8.02,"124,834",784072,19.55,18.22,3315006,98.70,40106,18
43 HERBERT STREET,GREENPOINT,536 GRAHAM AVENUE,22.23,"11,700",457 GRAHAM AVENUE,3-02725-0118,1905,8.42,166739,GREENPOINT,8.66,"76,225",315861,18.78,18.78,1225000,80.09,16819,11
173 SMITH STREET, ,551 WARREN STREET,32.25, ,129 BOERUM PLACE,3-00193-0050, ,9.73,1354357,BOERUM HILL,11.11, ,1082248,21.78,16.21,3884001, ,49690,46
190 BROADWAY,WILLIAMSBURG-SOUTH,230 SOUTH 1 STREET,21.83,"21,150",286 SOUTH 2 STREET,3-02421-0018,1905,11.25,579194,WILLIAMSBURG-SOUTH,9.96,"264,301",457228,22.13,22.13,1841002,87.90,20661,36
90 SPENCER STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,24.6,"24,126",362 SOUTH 2 STREET,3-02424-0012,1920,11.74,521344,BEDFORD STUYVESANT,8.49,"320,801",151048,20.7,21.45,655002,43.52,7297,30
886 MYRTLE AVENUE,WILLIAMSBURG-SOUTH,350 KEAP STREET,24.7,"24,126",402 SOUTH 2 STREET,3-02425-0020,1920,11.07,581958,BEDFORD STUYVESANT,8.49,"320,801",244426,20.7,24.64,1059004,43.52,11808,24
1489 EAST 8 STREET,FLATBUSH-EAST,373 OCEAN AVENUE,11.81,"15,800",2211 DITMAS AVENUE,3-05186-0038,1931,6.75,671422,OCEAN PARKWAY-NORTH,6.72,"102,226",165318,14.01,15.42,566004,23.67,11800,48
218 MIDDLETON STREET,WILLIAMSBURG-SOUTH,373 SOUTH 2 STREET,18.75,"22,050",370 SOUTH 2 STREET,3-02424-0016,1916,8.91,431272,WILLIAMSBURG-EAST,7.69,"229,443",603544,18.75,18.97,2559000,39.50,32189,24
286 STANHOPE STREET,BUSHWICK,415 BLEECKER STREET,32.1,"25,200",1255 GATES AVENUE,3-03332-0047,2005,8.99,2128230,WYCKOFF HEIGHTS,2.93,"301,609",362790,17.4,17.56,1793000,72.62,20850,83
53 BOERUM PLACE,BROOKLYN HEIGHTS,25 MONROE PLACE,28.99,"24,192",126 4 AVENUE,3-00407-0026,1917,10.58,1805674,DOWNTOWN-FULTON MALL,8.7,"279,375",2122996,28.99,28.92,11155002,150.38,73232,56
86 SPENCER STREET,WILLIAMSBURG-SOUTH,347 SOUTH 3 STREET,24.6,"24,126",362 SOUTH 2 STREET,3-02424-0012,1920,11.74,521344,BEDFORD STUYVESANT,8.49,"320,801",251795,20.7,21.45,1091999,43.52,12164,30
1428 BATH AVENUE,SUNSET PARK,3161 BRIGHTON 6 STREET,19.53,"21,173",2160 78 STREET,3-06264-0029,2002,8.79,1004184,BATH BEACH,8.79,"182,511",278904,18.32,18.32,1042998,153.12,15224,52
1812 QUENTIN ROAD, ,120 OCEAN PARKWAY,11.81, ,2211 DITMAS AVENUE,3-05186-0038, ,4.64,671422,MADISON,6.47, ,165536,11.2,10.59,441999, ,14780,48
3415 GUIDER AVENUE,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,SHEEPSHEAD BAY,8.22,"555,180",462715,23.5,23.5,2200002,62.58,19690,16
2546 WEST 15 STREET,GRAVESEND,2302 WEST 12 STREET,16.03,"28,000",1905 WEST 10 STREET,3-07079-0001,1929,8.85,201923,GRAVESEND,10.23,"155,040",192983,18.32,16.08,610999,76.61,10534,20
200 ATLANTIC AVENUE,BROOKLYN HEIGHTS,110 REMSEN STREET,26.36,"32,000",205 STATE STREET,3-00271-0001,1902,8.43,6397996,COBBLE HILL,10.21,"324,049",972270,25.12,25.12,4203000,105.28,38705,364
313 23 STREET,SUNSET PARK,327 43 STREET,19.35,"14,464",308 21 STREET,3-00898-0012,1922,9.56,212366,SUNSET PARK,8.18,"134,652",264419,20.45,21.13,1164000,79.58,12930,18
8686 BAY PARKWAY, ,45 BAY 19 STREET,17.39, ,37 BAY 26 STREET,3-06377-0022, ,5.62,469464,BATH BEACH,6.43, ,588024,15.93,14.47,2523007, ,36913,32
936 FULTON STREET,FORT GREENE,299 ADELPHI STREET,28.46,"23,547",80 GREENE AVENUE,3-01959-0027,1930,9.31,2033930,CLINTON HILL,8.15,"174,689",143386,18.79,18.79,582999,53.89,7631,97
756 MAC DONOUGH STREET,OCEAN HILL,334 CHAUNCEY STREET,13.8,"11,808",1223 BUSHWICK AVENUE,3-03395-0008,1909,7.6,245652,OCEAN HILL,6.42,"81,565",120260,11.86,13.59,352998,30.23,10140,24
2617 EAST 16 STREET, ,3611 SHORE PARKWAY,19.07, ,2654 EAST 23 STREET,3-07467-0013, ,8.73,195452,SHEEPSHEAD BAY,8.92, ,139632,18.63,18.19,500000, ,7495,16
501 SURF AVENUE,BRIGHTON BEACH,101 BRIGHTWATER COURT,11.23,"61,920",3100 OCEAN PARKWAY,3-07282-0062,1926,6.21,2156165,CONEY ISLAND,7.23,"438,785",9432812,11.19,10.01,21948992,26.45,842968,169
355 STRATFORD ROAD,FLATBUSH-CENTRAL,1247 FLATBUSH AVENUE,26.73,"21,840",142 ST PAUL'S PLACE,3-05079-0019,1939,11.79,429829,FLATBUSH-CENTRAL,7.25,"193,112",245029,18.49,17.29,1076002,77.20,13252,16
267 8 STREET,PARK SLOPE,236 8 STREET,24.76,"15,000",374 8 STREET,3-01006-0020,1923,8.47,261936,PARK SLOPE,7.77,"116,517",452499,20.95,19.0,2089998,96.73,21599,16
1 HANSON PLACE,DOWNTOWN-FULTON MALL,249 CUMBERLAND STREET,24.1,"242,752",205 ASHLAND PLACE,3-02096-0014,2003,10.03,603191,FORT GREENE,10.81,"2,762,431",5430740,26.36,26.75,23183003,108.36,206022,16
609 MYRTLE AVENUE,WILLIAMSBURG-SOUTH,362 SOUTH 2 STREET,24.64,"24,126",350 KEAP STREET,3-02437-0003,1920,13.38,503375,BEDFORD STUYVESANT,8.59,"320,801",426834,20.7,24.6,1833999,43.52,20620,29
242 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,215 ROEBLING STREET,21.46,"14,763",160 HAVEMEYER STREET,3-02420-0022,1914,12.09,574296,WILLIAMSBURG-SOUTH,9.27,"132,651",500947,20.61,23.78,2023999,85.42,24306,43
501 HICKS STREET,COBBLE HILL,203 PRESIDENT STREET,12.23,"8,565",156 UNION STREET,3-00343-0007,1900,2.93,98107,COBBLE HILL,8.46,"98,553",695092,18.8,9.41,2747002,110.57,36973,9
1610 DE KALB AVENUE, ,355 LINDEN STREET,15.83, ,LINDEN STREET,3-03328-0040, ,7.31,305313,WYCKOFF HEIGHTS,6.33, ,207086,15.99,16.16,779000, ,12951,11
201 SPENCER STREET,BEDFORD STUYVESANT,299 ADELPHI STREET,28.46,"117,570",80 GREENE AVENUE,3-01959-0027,1973,9.31,2033930,BEDFORD STUYVESANT,7.7,"935,324",454718,18.79,18.79,1927998,50.27,24200,97
796 WYTHE AVENUE,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,15.84,"23,467",189 ROSS STREET,3-02183-0058,1915,13.3,408672,WILLIAMSBURG-CENTRAL,8.9,"275,528",350865,20.7,20.7,1468998,45.13,16950,35
34 CROOKE AVENUE, ,1247 FLATBUSH AVENUE,26.73, ,142 ST PAUL'S PLACE,3-05079-0019, ,11.79,429829,FLATBUSH-CENTRAL,8.05, ,690000,23.0,17.29,3275999, ,30000,16
555 WASHINGTON AVENUE,FORT GREENE,299 ADELPHI STREET,28.46,"23,547",80 GREENE AVENUE,3-01959-0027,1930,9.31,2033930,CLINTON HILL,7.3,"174,689",1022714,16.1,18.79,4016001,53.89,63540,97
582 THROOP AVENUE, ,510 QUINCY STREET,16.13, ,588 GATES AVENUE,3-01816-0001, ,6.8,1896312,BEDFORD STUYVESANT,7.38, ,166332,15.08,14.02,536802, ,11030,150
734 EAST 5 STREET,SHEEPSHEAD BAY,2403 EAST 13 STREET,16.14,"10,248",1742 EAST 2 STREET,3-06633-0038,1982,7.47,164635,OCEAN PARKWAY-NORTH,6.47,"93,366",154207,18.49,18.42,734002,56.99,8340,16
181 CLERMONT AVENUE, ,313 CUMBERLAND STREET,28.46, ,80 GREENE AVENUE,3-01959-0027, ,14.61,2033930,FORT GREENE,9.46, ,1761030,20.62,25.46,6980002, ,85404,97
205 HICKS STREET, ,131 JORALEMON STREET,21.52, ,75 PIERREPONT STREET,3-00236-0007, ,11.55,555648,BROOKLYN HEIGHTS,9.05, ,556826,22.07,31.71,2467000, ,25230,36
450 MANHATTAN AVENUE,WILLIAMSBURG-SOUTH,276 SOUTH 1 STREET,22.58,"21,197",355 SOUTH 2 STREET,3-02412-0033,1915,15.3,431273,GREENPOINT,9.19,"283,683",650361,22.41,22.41,2806001,51.80,29021,24
351 21 STREET, ,467 42 STREET,32.53, ,158 26 STREET,3-00657-0018, ,8.26,146376,SUNSET PARK,9.05, ,242806,19.44,18.86,891917, ,12490,12
446 MYRTLE AVENUE, ,189 ROSS STREET,12.48, ,200 ROSS STREET,3-02188-0016, ,7.92,311875,CLINTON HILL,6.81, ,218592,14.19,15.84,788000, ,15401,30
1865 52 STREET, ,902 44 STREET,16.36, ,970 42 STREET,3-05595-0034, ,7.78,732859,BOROUGH PARK,7.64, ,784370,14.8,15.37,2616998, ,52998,40
713 BEDFORD AVENUE, ,186 CLYMER STREET,17.38, ,272 DIVISION AVENUE,3-02201-0032, ,7.76,95590,WILLIAMSBURG-CENTRAL,7.2, ,322771,16.02,14.65,1188996, ,20148,12
1838 WEST 13 STREET, ,80 GREENE AVENUE,29.61, ,301 CUMBERLAND STREET,3-02119-0010, ,13.03,572963,CLINTON HILL,5.91, ,195373,15.1,28.46,2500000, ,12942,40
1900 51 STREET,BOROUGH PARK,1016 44 STREET,14.11,"17,508",1020 45 STREET,3-05614-0014,1920,11.35,395097,BOROUGH PARK,6.47,"148,819",408205,16.18,16.18,1667997,58.54,25229,32
35 EAST 4 STREET, ,70 PROSPECT PARK SOUTHWES,20.45, ,38 PROSPECT PARK SOUTHWES,3-01107-0005, ,6.13,310764,WINDSOR TERRACE,7.5, ,81888,17.06,13.69,343002, ,4800,20
1749 EAST 16 STREET, ,1781 EAST 16 STREET,16.63, ,2049 EAST 17 STREET,3-07322-0061, ,5.58,231161,MADISON,4.53, ,103923,15.07,13.43,497001, ,6896,16
150 NORTH 5 STREET,WILLIAMSBURG-SOUTH,260 SOUTH 1 STREET,19.39,"22,050",233 SOUTH 2 STREET,3-02408-0038,1916,14.63,260030,WILLIAMSBURG-NORTH,7.95,"229,443",921025,19.39,21.45,3896003,39.50,47500,11
125 COURT STREET,BROOKLYN HEIGHTS,404 STATE STREET,31.71,"31,692",131 JORALEMON STREET,3-00254-0013,1921,11.46,767065,BOERUM HILL,11.46,"376,744",7482761,30.08,30.08,34691000,134.83,248762,36
464 FLUSHING AVENUE,WILLIAMSBURG-SOUTH,373 SOUTH 2 STREET,19.48,"23,000",385 SOUTH 2 STREET,3-02413-0031,1915,8.91,395336,BEDFORD STUYVESANT,8.66,"229,306",163256,18.83,18.97,634999,40.61,8670,22
1738 UNION STREET,CROWN HEIGHTS,1685 PRESIDENT STREET,20.07,"35,249",1159 EASTERN PARKWAY,3-01391-0061,1923,8.14,317047,CROWN HEIGHTS,8.16,"291,003",620308,17.36,17.36,2373004,48.97,35732,16
741 MAC DONOUGH STREET,OCEAN HILL,334 CHAUNCEY STREET,13.8,"11,808",1223 BUSHWICK AVENUE,3-03395-0008,1909,7.6,245652,OCEAN HILL,6.42,"81,565",53370,11.86,13.59,156999,30.23,4500,24
259 21 STREET,FORT GREENE,337 STATE STREET,28.84,"27,144",197 KANE STREET,3-00311-0036,1900,6.57,247992,SUNSET PARK,8.8,"226,573",1053443,22.01,22.01,4628999,78.91,47862,13
5823 11 AVENUE, ,1005 45 STREET,14.11, ,1020 45 STREET,3-05614-0014, ,8.35,395097,BOROUGH PARK,7.26, ,465428,15.86,17.6,1567998, ,29346,32
99 4 AVENUE,PARK SLOPE,96 STERLING PLACE,23.42,"17,504",325 1 STREET,3-00965-0071,1923,8.99,557449,PARK SLOPE,8.28,"140,920",381593,18.39,29.56,1533000,154.31,20750,32
64 COURT STREET,FORT GREENE,337 STATE STREET,31.36,"27,144",18 SIDNEY PLACE,3-00263-0044,1900,6.57,309659,BROOKLYN HEIGHTS,7.92,"226,573",715325,22.01,22.01,3352998,78.91,32500,18
88 SKILLMAN STREET,FORT GREENE,362 SOUTH 2 STREET,24.64,"44,046",350 KEAP STREET,3-02437-0003,1927,13.38,503375,BEDFORD STUYVESANT,8.49,"409,988",222442,20.7,24.6,964000,68.13,10746,29
384 NEW JERSEY AVENUE,EAST NEW YORK,354 PENNSYLVANIA AVENUE,13.38,"28,700",350 PENNSYLVANIA AVENUE,3-03771-0033,1930,7.32,235425,EAST NEW YORK,6.82,"228,911",50175,13.38,13.38,162999,45.64,3750,16
10208 KANE STREET,FORT GREENE,337 STATE STREET,19.44,"27,144",54 LIVINGSTON STREET,3-00268-0039,1900,6.57,409047,COBBLE HILL-WEST,7.97,"226,573",1384361,19.44,22.01,5070988,78.91,71212,32
206 MONTROSE AVENUE, ,200 SCHOLES STREET,18.59, ,206 SCHOLES STREET,3-03045-0011, ,7.45,303201,WILLIAMSBURG-EAST,9.72, ,167960,17.68,17.68,545000, ,9500,22
9935 SHORE ROAD,PARK SLOPE SOUTH,2160 78 STREET,26.73,"21,056",142 ST PAUL'S PLACE,3-05079-0019,2002,10.8,429829,BAY RIDGE,8.13,"178,463",601387,19.53,19.53,2516001,43.46,30793,16
1733 OCEAN AVENUE, ,543 OCEAN AVENUE,17.29, ,1247 FLATBUSH AVENUE,3-05210-0017, ,8.84,435982,MIDWOOD,8.3, ,446123,18.46,19.62,1766000, ,24167,46
315 16 STREET,DOWNTOWN-FULTON MALL,142 ST PAUL'S PLACE,15.94,"39,770",266 22 STREET,3-00899-0022,1930,12.7,337498,PARK SLOPE SOUTH,7.7,"261,107",555004,22.01,26.73,2642003,113.08,25216,22
252 GREENE AVENUE,CLINTON HILL,51 IRVING PLACE,19.68,"10,060",401 WASHINGTON AVENUE,3-01963-0032,1930,8.31,177123,CLINTON HILL,10.35,"103,210",181424,19.55,19.52,612000,103.58,9280,16
1850 52 STREET, ,7301 17 AVENUE,7.47, ,864 49 STREET,3-05637-0032, ,7.25,504805,BOROUGH PARK,5.32, ,1127797,10.64,13.81,3500993, ,105996,64
241 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,262 SOUTH 1 STREET,19.39,"24,126",233 SOUTH 2 STREET,3-02408-0038,1920,14.62,260030,WILLIAMSBURG-SOUTH,9.2,"320,801",300000,20.0,21.45,1159001,43.52,15000,11
364 MANHATTAN AVENUE,WILLIAMSBURG-SOUTH,367 SOUTH 2 STREET,19.48,"19,900",385 SOUTH 2 STREET,3-02413-0031,1920,13.49,395336,WILLIAMSBURG-EAST,7.99,"177,309",495532,19.48,21.08,2096001,39.95,25438,22
150 MYRTLE AVENUE,BROOKLYN HEIGHTS,99 GOLD STREET,26.36,"73,032",205 STATE STREET,3-00271-0001,1926,13.96,6397996,DOWNTOWN-METROTECH,10.81,"527,223",5343884,26.36,30.09,22812025,117.65,202727,364
420 CLASSON AVENUE,CLINTON HILL,51 IRVING PLACE,22.07,"9,520",395 WASHINGTON AVENUE,3-01963-0036,1905,8.31,162900,CLINTON HILL,8.88,"99,206",236899,22.07,19.52,1010998,122.37,10734,15
860 EAST 16 STREET, ,268 LINDEN BOULEVARD,15.42, ,373 OCEAN AVENUE,3-05062-0026, ,6.47,195857,MIDWOOD,6.86, ,400257,14.3,10.27,1474002, ,27990,24
330 WYTHE AVENUE,DOWNTOWN-FULTON FERRY,227 TAAFFE PLACE,17.09,"28,358",242 BROADWAY,3-02140-0013,2002,5.78,578208,WILLIAMSBURG-SOUTH,8.25,"164,180",2166756,17.09,16.04,8121022,92.95,126785,26
28 LYNCH STREET,WILLIAMSBURG-SOUTH,362 SOUTH 2 STREET,20.7,"23,467",354 SOUTH 2 STREET,3-02424-0006,1915,13.38,499299,WILLIAMSBURG-CENTRAL,7.87,"275,528",445630,20.7,24.6,2030002,45.13,21528,29
