db_entity_name,candfirst,intzip,refunddate,schedule,date,empstrname,filing,occupation,matchamnt,intempstnm,candmi,canclass,empstate,pay_method
NEW YORK COUNTY HEALTH SERVICES REVIEW,Bill,,,ABC,2017-01-05T00:00:00.000,Water St,6,Executive VP,0.0,,,P,NY,4.0
NATIONAL BLACK LEADERSHIP COMMISSION ON,Bill,,,ABC,2017-10-16T00:00:00.000,West 125th Street,14,Executive,0.0,,,P,NY,4.0
"NEW VISIONS FOR PUBLIC SCHOOLS, INC.",Bill,,,ABC,2015-05-05T00:00:00.000,E 12th St.,5,Unemployed,0.0,,,P,NY,4.0
"STUDLEY, INC.",Paul,,,ABC,2016-12-13T00:00:00.000,Park Avenue,6,Chairman & CEO,0.0,,J,NP,NY,4.0
,Bill,,2016-07-14T00:00:00.000,M,,,6,,0.0,,,P,,
NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,Bill,,,ABC,2017-09-13T00:00:00.000,201 Street,12,Not Employed,0.0,,,P,NY,4.0
CHILDREN OF BELLEVUE INC,Bill,,,ABC,2016-11-19T00:00:00.000,,6,Sr. Directore of Org. Effectiv,0.0,,,P,,4.0
,Paul,,2017-02-17T00:00:00.000,M,,,7,,0.0,,J,NP,,
"NATURAL RESOURCES DEFENSE COUNCIL, INC.",Bill,,,ABC,2017-01-11T00:00:00.000,W. 20th St.,6,attorney,0.0,,,P,NY,4.0
"THE DOE FUND, INC.",Bill,,,ABC,2017-05-04T00:00:00.000,East 84th Street,8,Executive Vice President,0.0,,,P,NY,4.0
,Nicole,10022.0,,ABC,2017-09-15T00:00:00.000,W 34th St,12,Marketing,0.0,,,P,NY,4.0
TECHNO CONSULT INC,Bill,,,ABC,2017-06-12T00:00:00.000,Penn Plaza,9,Professional Engineer,0.0,,,P,NY,2.0
"NORTHFIELD COMMUNITY LOCAL DEVELOPMENT CORP. OF STATEN ISLAND, INC.",Nicole,,,ABC,2017-07-12T00:00:00.000,,10,,0.0,,,P,,2.0
THE LUTHERAN CHURCH OF THE ATONEMENT,Bill,,,ABC,2017-03-11T00:00:00.000,Woodhaven BL,7,Not employed,0.0,,,P,NY,4.0
THE LEGAL AID SOCIETY,Bill,,,ABC,2016-06-21T00:00:00.000,Water Street,5,Attorney,0.0,,,P,NY,4.0
LILKER ASSOCIATES CONSULTING ENGINEERS PC PC,Paul,11596.0,,ABC,2017-03-10T00:00:00.000,Avenue of the americas,7,Professional Engineer,0.0,7th Avenue,J,NP,NY,4.0
"TOGETHER IN DANCE, INC",Bill,,,ABC,2017-03-04T00:00:00.000,Plymouth St,7,arts in ed,0.0,,,P,NY,4.0
"MADELINE CHOCOLATE NOVELTIES, INC.",Bill,,,ABC,2017-07-11T00:00:00.000,Beach Channel Drive,9,General Manager,0.0,,,P,NY,4.0
MRC 754 EAST 161 ST HDFC,Bill,,,ABC,2017-04-23T00:00:00.000,Forest Avenue,8,Administrator,0.0,,,P,NY,4.0
,Bill,,2017-02-13T00:00:00.000,M,,,7,,0.0,,,P,,
UNITED METRO ENERGY CORP,Nicole,,,ABC,2017-05-10T00:00:00.000,3rd Avenue,8,Investor,0.0,,,P,NY,2.0
THE CHILDREN'S HEALTH FUND,Bill,,,ABC,2017-05-09T00:00:00.000,W 125th St,8,Physician,0.0,,,P,NY,4.0
,Bill,,2017-12-28T00:00:00.000,M,,,16,,0.0,,,P,,
,Nicole,,2017-10-31T00:00:00.000,M,,,15,,0.0,,,P,,
,Bill,,2017-12-28T00:00:00.000,M,,,16,,0.0,,,P,,
,Bill,,2016-08-09T00:00:00.000,M,,,6,,0.0,,,P,,
ROCKAWAY BEACH BLVD. CONST. CO. LLC,Bill,,,ABC,2016-05-12T00:00:00.000,Brentwood Court,5,Self-employed,0.0,,,P,NY,4.0
THE HETRICK MARTIN INSTITUTE INC.,Bill,,,ABC,2017-06-27T00:00:00.000,Astor Place,9,CEO,0.0,,,P,NY,4.0
"BROOKLYN PRINT & MAIL, LLC",Nicole,,,ABC,2017-10-12T00:00:00.000,,14,,0.0,,,P,,4.0
882 EAST LLC,Nicole,,,ABC,2017-10-10T00:00:00.000,East 149th Street,14,Owner,75.0,,,P,NY,2.0
BESTWAY CARTING INC,Nicole,,,ABC,2017-10-20T00:00:00.000,ANNANDALE LN,14,CHIEF EXECUTOR,0.0,,,P,NY,2.0
THE EAGLE ACADEMY FOUNDATION INC.,Bill,,,ABC,2017-07-10T00:00:00.000,West 125 Street,9,Executive Director,0.0,,,P,NY,4.0
"ACTION CARTING ENVIRONMENTAL SERVICES, INC",Richard,,,ABC,2017-02-24T00:00:00.000,Frank Burr Blvd,7,COO,0.0,,A,NP,NJ,2.0
KEYS TO ABUNDANT LIFE INC,Bill,,,ABC,2017-06-16T00:00:00.000,Park Terrace East,9,CEO,0.0,,,P,NY,4.0
HIGH HOPES OF STATEN ISLAND INC,Nicole,,,ABC,2017-05-18T00:00:00.000,Woodrow Road,9,Preschool director/owner,0.0,,,P,NY,4.0
PATCON ASSOCIATES LTD,Nicole,11209.0,,ABC,2017-06-29T00:00:00.000,East 80th Street,9,"Consultant, self employed",0.0,3rd Avenue,,P,NY,2.0
"GREATER NEW YORK HOSPITAL ASSN, SUBSIDIARIES & AFFILIATE",Bill,,,ABC,2017-01-10T00:00:00.000,W 57th Street,6,EVP,0.0,,,P,NY,4.0
"OLDER ADULTS TECHNOLOGY SERVICES, INC.",Bill,,,ABC,2016-05-05T00:00:00.000,7th St.,5,CEO,0.0,,,P,NY,4.0
ADDIES TRANSPORTATION INC.,Bill,,,ABC,2017-04-28T00:00:00.000,Bay parkway,8,Business Owner,0.0,,,P,NY,4.0
128 44TH REALTY HOLDING LLC,Sal,,,ABC,2017-02-15T00:00:00.000,44th Street,7,VP,0.0,,F,P,NY,2.0
TIMES SQUARE DISTRICT MANAGEMENT ASSOCIATION,Sal,,,ABC,2017-01-09T00:00:00.000,Times Square Alliance,6,VP Finance,0.0,,F,P,NY,4.0
,Bill,,2016-08-11T00:00:00.000,M,,,6,,0.0,,,P,,
OPERATIVE CAKE CORP,Bill,,,ABC,2016-07-11T00:00:00.000,Main St.,5,CFO,0.0,,,P,NJ,4.0
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC,Bill,,,ABC,2016-05-09T00:00:00.000,Pelham Parkway South,5,Nursing Administrator,0.0,,,P,NY,4.0
"PO Last Name, PO First Name",Bill,,,ABC,2016-07-07T00:00:00.000,E 86th St.,5,Executive Director,0.0,,,P,NY,4.0
BYANT RABBINO LLP,Bill,,,ABC,2017-06-22T00:00:00.000,Avenue of the Americas Suite 610,9,Lawyer,0.0,,,P,NY,4.0
PARTNERS VII/ 98 AVENUE A OWNER LLC,Bill,,,ABC,2017-10-17T00:00:00.000,Broadway,14,principal,0.0,,,P,NY,2.0
KANTA ELECTRIC CORP.,Bill,,,ABC,2017-06-20T00:00:00.000,56th Street,9,Controller,0.0,,,P,NY,4.0
"THACHER ASSOCIATES, LLC",Bill,,,ABC,2017-10-13T00:00:00.000,Gold St,14,Attorney,75.0,,,P,NY,4.0
,Bill,,2017-02-13T00:00:00.000,M,,,7,,0.0,,,P,,
"GREATER NEW YORK HOSPITAL ASSN, SUBSIDIARIES & AFFILIATE",Bill,10538.0,,ABC,2017-01-06T00:00:00.000,W 57th St,6,Associate VP,0.0,West 57 Street,,P,NY,2.0
,Bill,,2017-11-01T00:00:00.000,M,,,15,,0.0,,,P,,
E.T. CONSULTING SERVICES INC.,Letitia,,,ABC,2016-12-20T00:00:00.000,,6,Retired,0.0,,,P,,2.0
"TONIO BURGOS & ASSOCIATES, INC.",Bill,,,ABC,2016-06-20T00:00:00.000,Broadway,5,Lobbyist,0.0,,,P,NY,2.0
OPERATIVE CAKE CORP,Bill,,,ABC,2016-07-11T00:00:00.000,Main St.,5,CAO,0.0,,,P,NJ,4.0
NIXON PEABODY LLP,Bill,,,ABC,2017-10-30T00:00:00.000,W 46th St,15,Partner,0.0,,,P,NY,2.0
CENTER FOR EDUCATONAL INNOVATION PUBLIC EDUCATION ASSOCIATION (CEI PEA),Bill,,,ABC,2016-12-19T00:00:00.000,W 44th St,6,Education,0.0,,,P,NY,4.0
PARTS AUTHORITY INC.,Bill,,,ABC,2016-05-09T00:00:00.000,Hillside Avenue,5,Executive,0.0,,,P,NY,4.0
,Bill,,,ABC,2017-10-18T00:00:00.000,O. Box 1335,14,Owner,0.0,,,P,NY,4.0
TLM ASSOCIATES LLC,Bill,,,ABC,2016-05-10T00:00:00.000,Furman St.,5,Unemployed,0.0,,,P,NY,4.0
PERMAL ASSET MANAGEMENT INC.,Nicole,,,ABC,2017-09-19T00:00:00.000,THIRD AVE,13,MONEY MANAGEMENT,0.0,,,P,NY,4.0
VISUAL ARTS RESEARCH & RESOURCE CENTER RELATING TO THE CARIBBEAN,Bill,,,ABC,2017-05-11T00:00:00.000,East 125th Street,8,Arts Administrator,0.0,,,P,NY,4.0
,Nicole,,2017-10-12T00:00:00.000,M,,,14,,0.0,,,P,,
INTERFAITH MEDICAL CENTER,Bill,,,ABC,2016-05-12T00:00:00.000,North Central Ave.,5,Consultant,0.0,,,P,NY,4.0
CENTER OF THE INTERGRATION AND ADVANCEMENT OF NEW AMERICANS INC. (CIANA),Bill,,,ABC,2017-01-23T00:00:00.000,Newtown Avenue,7,Probono Founder/CEO,0.0,,,P,NY,4.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Bill,11201.0,,ABC,2016-06-22T00:00:00.000,Irving Place,5,Executive,0.0,Irving Pl,,P,NY,2.0
"GREENBERG TRAURIG, LLP",Bill,10025.0,,ABC,2016-01-11T00:00:00.000,Park Avenue,4,200 Park Ave,0.0,Park Avenue,,P,NY,2.0
SHERRY MATTHEWS INC.,Bill,,,ABC,2017-08-28T00:00:00.000,S Congress Ave,11,Self employed,0.0,,,P,TX,4.0
SOUTH BROOKLYN LEGAL SERVICES INC.,Bill,,,ABC,2017-10-20T00:00:00.000,Fulton Street Suite 301,14,lawyer,0.0,,,P,NY,4.0
G & E APPRAISAL SERVICES LLC,Paul,,,ABC,2016-11-21T00:00:00.000,Park Avenue,6,Real Estate,0.0,,J,NP,NY,2.0
SANDY LANE PARTNERS LLC,Bill,10956.0,,ABC,2016-01-11T00:00:00.000,W 54th Street,4,Real Estate,0.0,,,P,NY,2.0
PEOPLE'S THEATRE PROJECT INC,Bill,,,ABC,2017-10-25T00:00:00.000,Broadway suite 660,15,Executive Directorp,10.0,,,P,NY,4.0
"PP 38 SIXTH AVENUE TC, LLC",Bill,,,ABC,2015-12-10T00:00:00.000,Metrotech Ctr,4,Real Estate Development,0.0,,,P,NY,4.0
,Paul,10543.0,,ABC,2017-02-17T00:00:00.000,Queens Boulevard,7,Owner Multi Family Properties,0.0,Lexington Avenue,J,NP,NY,2.0
"KUCKER AND BRUH, LLP",Paul,10560.0,,ABC,2016-11-11T00:00:00.000,Third Avenue,6,Attorney,0.0,Madison Avenue,J,NP,NY,4.0
101 WEST STREET LLC,Paul,10014.0,,ABC,2017-01-11T00:00:00.000,Havemeyer Street,6,Real Estate,0.0,Madison Avenue,J,NP,NY,4.0
NEIGHBORHOOD HSG SERVICE OF JAMAICA INC,Bill,,,ABC,2017-05-03T00:00:00.000,201 Street,8,Not Employed,0.0,,,P,NY,4.0
IDL COMMUNICATIONS AND ELECTRIC INC,Bill,,,ABC,2017-05-08T00:00:00.000,Castleton Ave,8,Electrican,0.0,,,P,NY,4.0
"FEDERATION EMPLOYMENT AND GUIDANCE SERVICES, INC.",Nicole,,,ABC,2017-09-18T00:00:00.000,,12,RETIRED,0.0,,,P,,4.0
,Paul,,2017-02-10T00:00:00.000,M,,,7,,0.0,,J,NP,,
COMMUNITY COUNSELING AND MEDIATION,Bill,,,ABC,2017-07-20T00:00:00.000,Hoyt Street 7th Floor,10,President and CEO,0.0,,,P,NY,4.0
,Bill,,2016-07-14T00:00:00.000,M,,,6,,0.0,,,P,,
1775 GRAND CONCOURSE LLC,Paul,,,ABC,2016-11-21T00:00:00.000,West Red Oak Lane,6,Real Estate,0.0,,J,NP,NY,4.0
GETO & DE MILLY INC.,Bill,,,ABC,2016-05-10T00:00:00.000,5th Ave.,5,Senior Account Executive,0.0,,,P,NY,4.0
"TOGETHER IN DANCE, INC",Bill,,,ABC,2017-10-21T00:00:00.000,Third St.,14,NFP Executive Director,0.0,,,P,NY,4.0
TLM ASSOCIATES LLC,Bill,,,ABC,2016-05-02T00:00:00.000,Broadway,5,Consultant,0.0,,,P,NY,4.0
GETO & DE MILLY INC.,Bill,,,ABC,2017-07-31T00:00:00.000,East 40th Street,10,President,3.0,,,P,NY,4.0
"GREENBERG TRAURIG, LLP",Bill,10025.0,,ABC,2016-01-08T00:00:00.000,Park Avenue,4,attorney,0.0,Park Avenue,,P,NY,2.0
321 NEW CANAL LLC,Bill,,,ABC,2016-01-08T00:00:00.000,West Broadway,4,Executive,0.0,,,P,NY,4.0
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
ARNELL CONSTRUCTION CORP.,Bill,,,ABC,2016-12-08T00:00:00.000,York St,6,,0.0,,,P,NY,4.0
MASPETH TOWN HALL INC.,Bill,,,ABC,2017-07-04T00:00:00.000,72nd Street,9,Administrator,0.0,,,P,NY,4.0
RK SOFTWARE INC,Bill,,,ABC,2016-12-31T00:00:00.000,,6,,0.0,,,P,,4.0
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
PRIDE HEALTHCARE,Paul,,,ABC,2016-12-09T00:00:00.000,Lexington Avenue,6,Broker,0.0,,J,NP,NY,4.0
"TLK APARTMENTS, LLC",Bill,,,ABC,2017-06-19T00:00:00.000,Flatbush Avenue,9,Chairperson/ CEO,0.0,,,P,NY,4.0
CDD STRATEGIES LLC,Bill,,,ABC,2017-11-06T00:00:00.000,Madison Avenue,15,Government Affairs,0.0,,,P,NY,4.0
,Nicole,,2017-11-14T00:00:00.000,M,,,15,,0.0,,,P,,
GOLDMANSOUR AND RUTHERFORD LLC,Bill,,,ABC,2017-05-13T00:00:00.000,Main Street,9,educational consultant,0.0,,,P,NY,4.0
ROCKAWAY DEVELOPMENT & REVITALIZATION CORPORATION,Bill,,,ABC,2016-11-15T00:00:00.000,Mott Avenue,6,CEO,0.0,,,P,NY,2.0
,Bill,,,ABC,2017-07-24T00:00:00.000,Esther Depew Street,10,President,0.0,,,P,NY,2.0
"LANDING A. ASSOCIATES, LLC",Bill,,,ABC,2017-10-23T00:00:00.000,Broadway 5th floor,14,Developer / Designer,0.0,,,P,NY,4.0
"YOUNG ATHLETES, INC.",Bill,,,ABC,2016-07-07T00:00:00.000,Seventh Ave.,5,Attorney,0.0,,,P,NY,2.0
NEW YORK UNIVERSITY,Bill,,,ABC,2016-06-14T00:00:00.000,W 4th St.,5,Director Government Affairs,0.0,,,P,NY,4.0
"GREATER NEW YORK HOSPITAL ASSN, SUBSIDIARIES & AFFILIATE",Bill,,,ABC,2017-01-10T00:00:00.000,W. 57th St.,6,Policy Analyst,0.0,,,P,NY,4.0
"Wolf Block Schorr & Solis-Cohen, LLP",Bill,,,ABC,2016-05-12T00:00:00.000,Hillside Ave.,5,Managing Director,0.0,,,P,NC,4.0
New York Association of Community Organizations for Reform N,Bill,,,ABC,2017-07-11T00:00:00.000,8th Avenue,9,Not Employed,0.0,,,P,NY,4.0
"TOGETHER IN DANCE, INC",Bill,,,ABC,2017-03-11T00:00:00.000,Plymouth St,7,arts in ed,0.0,,,P,NY,4.0
CONSOLIDATED EDISON CO. OF NEW YORK INC.,Paul,,,ABC,2017-05-10T00:00:00.000,Ivan Allen Jr Blvd NW,8,Staff,0.0,,J,NP,GA,4.0
WEST BRIGHTON COMMUNITY LOCAL DEVELOPMENT CORPORATION,Nicole,,,ABC,2017-05-09T00:00:00.000,,8,Unemployed,0.0,,,P,,4.0
,Bill,,2016-02-19T00:00:00.000,M,,,5,,0.0,,,P,,
BATTALION CHRISTIAN ACADEMY,Bill,,,ABC,2017-05-01T00:00:00.000,Linden Blvd,8,COO,0.0,,,P,NY,4.0
,Nicole,,,ABC,2017-10-25T00:00:00.000,Pearl Street,15,self,100.0,,,P,NY,4.0
FASHION INSTITUTE OF TECHNOLOGY,Bill,,,ABC,2016-06-20T00:00:00.000,W 27th St,5,Director Gov and Community Re,0.0,,,P,NY,4.0
"GREATER NEW YORK HOSPITAL ASSN, SUBSIDIARIES & AFFILIATE",Bill,,,ABC,2017-01-09T00:00:00.000,W 57th St,6,President and CEO,0.0,,,P,NY,2.0
THE MENTAL HEALTH ASSOCIATION OF NEW YORK CITY INC.,Bill,,,ABC,2016-07-11T00:00:00.000,Broadway,5,VP Program,0.0,,,P,NY,4.0
COMMUNITY COUNSELING AND MEDIATION,Bill,,,ABC,2017-09-12T00:00:00.000,Hoyt Street 7th Floor,12,President and CEO,0.0,,,P,NY,4.0
,Bill,,2017-11-01T00:00:00.000,M,,,15,,0.0,,,P,,
HOLY CROSS GREEK ORTHODOX CHURCH,Nicole,,,ABC,2017-06-27T00:00:00.000,3rd Avenue,9,Insurance,0.0,,,P,NY,2.0
NEW HERITAGE THEATRE GROUP,Bill,,,ABC,2017-01-29T00:00:00.000,West 75 Street,7,Entertainer,0.0,,,P,NY,4.0
616 FIRST AVENUE LLC,Bill,10029.0,,ABC,2015-12-24T00:00:00.000,Fifth Avenue,4,Real Estate Developer,0.0,Broadway,,P,NY,5.0
FREDERCK DOUGLASS REALTY LLC,Bill,10025.0,,ABC,2016-01-11T00:00:00.000,Cuttermill Road,4,Real Estate,0.0,West 18th Street,,P,NY,4.0
HIRE-HDFC,Bill,,,ABC,2017-05-31T00:00:00.000,W 29th st,9,Executive,0.0,,,P,NY,4.0
,Bill,,,ABC,2017-10-02T00:00:00.000,Vernon Avenue,13,CEO,0.0,,,P,NY,4.0
,Sal,,2018-01-06T00:00:00.000,M,,,16,,0.0,,F,P,,
,Bill,,2017-10-17T00:00:00.000,M,,,14,,0.0,,,P,,
CUMBERLAND PACKING CORP,Bill,,,ABC,2016-04-27T00:00:00.000,Cumberland St,5,Owner,0.0,,,P,NY,4.0
ML WILSON BOYS & GIRLS CLUB OF HARLEM INC,Anthony,,,ABC,2017-03-07T00:00:00.000,Broadway,7,Director,25.0,,L,NP,NY,4.0
"SOUTHPORT, LLC",Nicole,,,ABC,2017-09-17T00:00:00.000,South Ave,12,Manager,0.0,,,P,NY,4.0
"JAMES F. CAPALINO & ASSOCIATES, INC.",Bill,,,ABC,2016-05-12T00:00:00.000,Broadway,5,president,0.0,,,P,NY,2.0
,Richard,,2017-07-28T00:00:00.000,M,,,9,,0.0,,S,P,,
"BEYER BLINDER BELLE, ARCHIT. & PLAN LLP.",Bill,,,ABC,2017-09-20T00:00:00.000,Broadway,13,Architect,175.0,,,P,NY,4.0
"AVISON YOUNG - NEW YORK, LLC",Nicole,,,ABC,2017-09-15T00:00:00.000,Avenue of the Americas,12,Real Estate,0.0,,,P,NY,4.0
TURNER CONSTRUCTION COMPANY,Bill,,,ABC,2017-05-16T00:00:00.000,Hudson St,9,Construction Executive,0.0,,,P,NY,4.0
FUND FOR THE CITY OF NEW YORK,Robert,,,ABC,2017-04-24T00:00:00.000,6th Avenue,8,Campaign Manager,25.0,,A,P,NY,4.0
COMMUNITY COUNSELING AND MEDIATION,Bill,,,ABC,2017-08-28T00:00:00.000,Hoyt Street 7th Floor,11,President and CEO,0.0,,,P,NY,4.0
,Bill,,2017-12-05T00:00:00.000,M,,,16,,0.0,,,P,,
RIDGEWOOD LOCAL DEVELOPMENT CORPORATION,Nicole,,,ABC,2017-07-19T00:00:00.000,,10,,0.0,,,P,,2.0
DAVIS WRIGHT TREMAINE LLP,Bill,,,ABC,2017-05-08T00:00:00.000,Avenue of the Americas,8,Attorney,0.0,,,P,NY,4.0
HARLEM ARTISTS DEVELOPMENT LEAGUE ESPECIALLY FOR YOU,Bill,,,ABC,2017-06-10T00:00:00.000,W. 135th Street,9,Exec. Producer,0.0,,,P,NY,2.0
BROWN & WEINRAUB PLLC,Bill,12054.0,,ABC,2015-10-24T00:00:00.000,Columbia Street,4,Attorney,0.0,Broadway,,P,NY,2.0
"MANA PRODUCTS, INC.",Nicole,,,ABC,2017-06-20T00:00:00.000,Queens Boulevard,9,PRESIDENT,0.0,,,P,NY,4.0
HOMECREST COMMUNITY SERVICES INC.,Bill,,,ABC,2016-06-21T00:00:00.000,Canal St.,5,CIO,0.0,,,P,NY,4.0
THE LEGAL AID SOCIETY,Bill,,,ABC,2016-06-19T00:00:00.000,Water Street,5,attorney,0.0,,,P,NY,4.0
NUCOR CONTRUCTION CORP.,Paul,6870.0,,ABC,2016-11-22T00:00:00.000,West 28th Street,6,Builder,0.0,Madison Avenue,J,NP,NY,4.0
"meara, brian",Bill,,,ABC,2016-12-05T00:00:00.000,E 169th Street,6,Social Worker,0.0,,,P,NY,4.0
33 BOND STREET LLC,Paul,,,ABC,2017-03-20T00:00:00.000,Park Avenue South,8,Real Estate Professional,0.0,,J,NP,NY,2.0
FOREST CITY BRIDGE STREET ASSOCIATES II LLC,Bill,,,ABC,2015-12-10T00:00:00.000,Metrotech Ctr,4,Real Estate Development,0.0,,,P,NY,4.0
WEISZ & YOES ARCHITECTURE,Bill,,,ABC,2017-01-30T00:00:00.000,Centre Street,7,Architect,0.0,,,P,NY,4.0
CONSTANTINOPLE & VALLONE CONSULTING LLC,Bill,,,ABC,2016-11-11T00:00:00.000,,6,,0.0,,,P,,4.0
,Bill,,2017-07-13T00:00:00.000,M,,,15,,0.0,,,P,,
,Bill,,2015-11-16T00:00:00.000,M,,,4,,0.0,,,P,,
"PITTA, BISHOP, DEL GIORNO & GIBLIN LLC",Bill,,,ABC,2016-12-22T00:00:00.000,Broadway,6,Attorney,0.0,,,P,NY,4.0
JAMES PANTELIDIS,Nicole,,,ABC,2017-06-29T00:00:00.000,West 23rd Street,9,Principal,0.0,,,P,NY,4.0
,Sal,,2017-04-04T00:00:00.000,M,,,8,,0.0,,F,P,,
GERNER KRONICK + VALCARCEL ARCHITECTS PC,Paul,10506.0,,ABC,2017-04-27T00:00:00.000,Park Ave. South,8,Architect,0.0,Avenue of the Americas,J,NP,NY,4.0
PITT STREET HDFC,Bill,10029.0,,ABC,2015-10-29T00:00:00.000,W 25th St,4,Executive Director,0.0,Broadway,,P,NY,4.0
HOWARD HUGHES MANAGEMENT CO LLC,Bill,,,ABC,2017-08-19T00:00:00.000,Water Street,11,Real Estate Developer,0.0,,,P,NY,4.0
ARNELL CONSTRUCTION CORP.,Bill,,,ABC,2017-05-07T00:00:00.000,York St,8,,0.0,,,P,NY,4.0
,Nicole,,2017-12-20T00:00:00.000,M,,,16,,0.0,,,P,,
