refno,empname,int_c_code,adjtypecd,c_code,db_entity_start
R0002266,citywide environmental service,,,IND,"11/16/2011""  ""12\:00\:00 AM"
R0044724,Borah Goldstein P.C.,,,IND,"5/1/2015""  ""12\:00\:00 AM"
R0000855,Self Employed,IND,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0052493,Association to Benefit Childre,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0084940,Black Spectrum Theatre,,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0071141,ASPCA,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0071838,God's Battalion of Prayer,,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0053803,GNYHA,IND,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0000944,Structure Tone,,,IND,"4/16/2010""  ""12\:00\:00 AM"
R0045351,SKA Marin,,,IND,"3/1/2015""  ""12\:00\:00 AM"
R0003492,afd contract,IND,,IND,"5/31/2014""  ""12\:00\:00 AM"
R0071771,Lakhani& Jordan Engineers,,,IND,"5/1/2009""  ""12\:00\:00 AM"
R0051133,H+H,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0072705,NYCAASA,,,IND,"6/8/2008""  ""12\:00\:00 AM"
R0002974,,,2.0,IND,
R0007032,Arrochar Pharmacy,,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0003553,afd contract,IND,,IND,"5/31/2014""  ""12\:00\:00 AM"
R0048481,,,2.0,IND,
R0002624,Pride Capital Partners,,,IND,"8/1/2013""  ""12\:00\:00 AM"
R0044115,,,2.0,IND,
R0085384,Public Health Solutions,,,IND,"1/1/2010""  ""12\:00\:00 AM"
R0002916,WHEDCO,,,IND,
R0002760,,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0002328,,,2.0,IND,
R0057749,,,2.0,IND,
R0003975,Jaros Baum & Bolles,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0071758,Self,,,IND,"10/31/2015""  ""12\:00\:00 AM"
R0047621,"YorkGroup Associates, LLC",,,IND,"2/11/2011""  ""12\:00\:00 AM"
R0050987,Encore Community Services,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0051872,Scarsdale Strings,,,IND,"11/3/2014""  ""12\:00\:00 AM"
R0049134,Greenburger Center,,,IND,"5/31/2016""  ""12\:00\:00 AM"
R0047981,Little Scholars,,,IND,"3/1/2014""  ""12\:00\:00 AM"
R0047719,Human Services Council of NY,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0066620,Fashion Institute of Technolog,,,IND,"7/1/2016""  ""12\:00\:00 AM"
R0056867,BLS,,,IND,"1/29/2015""  ""12\:00\:00 AM"
R0084670,LIFE Camp Inc,,,IND,"1/1/2013""  ""12\:00\:00 AM"
R0054816,Heights-Hill Mental Health Ser,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0056992,NYLPI,,,IND,"8/3/2016""  ""12\:00\:00 AM"
R0045890,NYC DOT,,,IND,"5/1/2016""  ""12\:00\:00 AM"
R0057750,,,2.0,IND,
R0058252,Association to Benefit Childre,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0047301,Michael O'Loughlin and Company,,,IND,"8/31/2015""  ""12\:00\:00 AM"
R0044138,Magnusson Architecture & Plann,,,IND,"1/1/2016""  ""12\:00\:00 AM"
R0086222,Purelements,,,IND,"3/30/2010""  ""12\:00\:00 AM"
R0005996,Nucor Construction Corp,IND,,IND,"5/1/2012""  ""12\:00\:00 AM"
R0021959,RENAISSANCE REALTY GROUP LLC,,,IND,"8/31/2014""  ""12\:00\:00 AM"
R0078974,NY Lawyers of Public Interest,,,IND,"8/3/2016""  ""12\:00\:00 AM"
R0043538,Logan Bus Co,IND,,IND,"10/1/2014""  ""12\:00\:00 AM"
R0048417,"The DOE Fund, Inc.",,,IND,"12/18/2015""  ""12\:00\:00 AM"
R0085869,NYC Board of Education,,,IND,"12/1/2013""  ""12\:00\:00 AM"
R0048419,,,2.0,IND,
R0073458,Maspeth Town Hall,,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0080936,NYC,,,IND,"12/1/2011""  ""12\:00\:00 AM"
R0009468,GEC,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0054536,GEC,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0046091,Self-employed,,,IND,"12/24/2013""  ""12\:00\:00 AM"
R0044022,Radson Development,IND,,IND,"3/1/2015""  ""12\:00\:00 AM"
R0050901,WEN Management,,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0085638,Good Shepherd Services,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0019952,,,2.0,IND,
R0026937,,,2.0,IND,
R0044701,Law Offices of Domenic Recchia,,,IND,"3/31/2015""  ""12\:00\:00 AM"
R0017746,ISJ MANAGEMENT,,,IND,"11/18/2015""  ""12\:00\:00 AM"
R0086423,Lakhani& Jordan Engineers,,,IND,"5/1/2009""  ""12\:00\:00 AM"
R0002898,,,,IND,"10/31/2008""  ""12\:00\:00 AM"
R0057567,Not employed,,,IND,"8/31/2009""  ""12\:00\:00 AM"
R0005935,New Boston Fund,IND,,IND,"10/6/2008""  ""12\:00\:00 AM"
R0044113,,,2.0,IND,
R0002225,Alchemy ABR Investment Partner,IND,,IND,"10/1/2015""  ""12\:00\:00 AM"
R0006422,Renaissance Technologies,,,IND,"7/1/2016""  ""12\:00\:00 AM"
R0001397,S. Katzman Produce,IND,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0047910,American Federation of Teacher,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0047860,CCS,,,IND,"9/12/2015""  ""12\:00\:00 AM"
R0000077,Urban Justice Center,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0000309,Church at the Gateway,,,IND,"8/31/2014""  ""12\:00\:00 AM"
R0055603,Arnell Const Corp,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0072740,Viale Intervention Program,,,IND,"1/1/2014""  ""12\:00\:00 AM"
R0004404,HK Organization,IND,,IND,"9/4/2013""  ""12\:00\:00 AM"
R0055712,The Center for Anti-Violence E,,,IND,"8/1/2015""  ""12\:00\:00 AM"
R0076956,Asphalt Green,,,IND,"8/1/2008""  ""12\:00\:00 AM"
R0071947,Apollo Theater Foundation,,,IND,"12/16/2015""  ""12\:00\:00 AM"
R0077649,CLOTH,,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0043593,JDS Development,IND,,IND,"8/1/2014""  ""12\:00\:00 AM"
R0053855,Schnur Assoc.,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0086832,Coalition for Hispanic Family,,,IND,"2/2/2008""  ""12\:00\:00 AM"
R0055306,Brown & Weinraub,,,IND,"1/1/2010""  ""12\:00\:00 AM"
R0015630,,,2.0,IND,
R0084357,Stroock & Stroock,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0001804,Munich American Reassurance Co,,,IND,"5/16/2009""  ""12\:00\:00 AM"
R0089283,Self,,,IND,"10/1/2013""  ""12\:00\:00 AM"
R0005939,,,2.0,IND,
R0085232,Fund for the City of NY,,,IND,"12/3/2008""  ""12\:00\:00 AM"
R0046969,Crystal Windows,,,IND,"7/31/2008""  ""12\:00\:00 AM"
R0078573,City of New York,,,IND,"1/29/2013""  ""12\:00\:00 AM"
R0002688,ACO Programs for the Homeless,,,IND,"8/1/2015""  ""12\:00\:00 AM"
R0048442,"LitLife, Inc.",,,IND,"2/21/2012""  ""12\:00\:00 AM"
R0051522,Jonathan Rose Corp,,,IND,"12/1/2012""  ""12\:00\:00 AM"
