requestid,ownerstreetaddress,ownercity,bbl,iscardoor,parkingexceptiondateofentry,implementdate,planpostdate,tenantborough,community_board
505,1185 Avenue of the Americas,New York,1009990029,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
341,200 Fifth Avenue,New York,1008210041,,,2011-05-15T00:00:00.000,2011-05-20T00:00:00.000,Manhattan,105.0
30,619 West 54th Street,New York,1011020018,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,
1199,750 3 ave,new york,1013010033,,,2012-06-19T00:00:00.000,2012-06-24T00:00:00.000,Manhattan,106.0
175,708 Third Ave.,New York,1012990033,Yes,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
2336,122 East 42nd Street,New York,1012960014,,,,,Manhattan,105.0
1142,767 Fifth Avenue,New York,1012940001,,,2012-05-31T00:00:00.000,2012-06-05T00:00:00.000,Manhattan,105.0
2137,7 W 18th St,New York,1008200033,,,,,Manhattan,105.0
582,101 Avenue of the Americas,New York,1004770011,,,2011-05-28T00:00:00.000,2011-06-02T00:00:00.000,Manhattan,102.0
1152,730 Fifth Avenue,New York,1008580006,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1844,1251 Avenue of the Americas,New York,1010027501,,,,,Manhattan,105.0
2024,521 Fifth Avenue,New York,1008550024,,,,,Manhattan,105.0
888,100 William Street,New York,1000680036,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
444,805 Third Ave,New York,1013390005,,,2010-06-27T00:00:00.000,2010-07-02T00:00:00.000,Manhattan,106.0
723,540 Madison Ave,New York,1012900056,,,2011-04-29T00:00:00.000,2011-05-04T00:00:00.000,Manhattan,105.0
2698,666 Fifth Ave 4th floor,New York,1008800084,,,,,Manhattan,105.0
568,605 3rd Ave,New York,1009200012,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
2786,1185 Avenue of the Americas,New York,1009990029,,,,,Manhattan,105.0
282,625 Madison Ave. 17th Floor,New York,1012940046,,,2010-05-06T00:00:00.000,2010-05-11T00:00:00.000,Manhattan,105.0
2561,360 Lexington Avenue,New York,1012950017,,,,,Manhattan,105.0
405,237 park avenue,new york,1013000006,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2351,16 court street       27th floor,brooklyn,3002500044,,,,,Brooklyn,302.0
2238,One Bryant Park,New York,1013160005,,,,,Manhattan,106.0
1960,1 Metrotech North suite 1004,Brooklyn,3001470004,,,,,Brooklyn,302.0
591,390 Park Ave.,New York,1012890036,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
563,61 Broadway,New York,1000210001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
521,101 Park Avenue,New York,1012950001,,2010-07-06T00:00:00.000,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2016,55 Water St,NY,1000327501,No,,,,Manhattan,101.0
1206,1350 Avenue of the Americas,New York,1012700071,,,2012-06-29T00:00:00.000,2012-07-04T00:00:00.000,Manhattan,105.0
2300,733 3rd Avenue,New York,1013190047,,,,,Manhattan,106.0
2488,250 W 55th Street,New York,1010260055,,,,,Manhattan,105.0
2254,"712 5th Avenue, 6th Floor",New York,1012710038,,,,,Manhattan,105.0
2770,711 Third Avenue,New York,1013180001,,,,,Manhattan,106.0
130,One Rockefeller Plaza,New York,1012650050,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
244,770 Broadway,New York,1005540001,,,2010-07-15T00:00:00.000,2010-07-20T00:00:00.000,Manhattan,102.0
2544,"712 5th Avenue, 6th Floor",New York,1012710038,,,,,Manhattan,105.0
1342,225 Liberty Street,New York,1000160125,,,2012-09-24T00:00:00.000,2012-09-29T00:00:00.000,Manhattan,101.0
2517,80 Broad Street,New York,1000110021,,,,,Manhattan,101.0
111,810 Seventh Avenue,New York,1010240038,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
371,2 Penn Plaza,New York,1007810002,,,2010-05-26T00:00:00.000,2010-05-31T00:00:00.000,Manhattan,105.0
2243,116 East 27th Street,New York,1008420042,,,,,Manhattan,105.0
914,10 rockefeller plaza,new york,1012640005,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1445,7 Times Square,New York,1009940001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
934,32 Old Slip,New York,1000350001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
2339,"100 William Street, Suite 1825",New York,1000680036,,,,,Manhattan,101.0
1677,395 Hudson Street,New York,1006007501,,,,,Manhattan,102.0
2073,611 Broadway,New York,1005230048,,,,,Manhattan,102.0
2360,114 W. 47th St.,New York,1009990019,,,,,Manhattan,105.0
2483,745 5th Ave.,New York,1012930069,,,,,Manhattan,105.0
773,5 Penn Plaza,New York,1007570031,,,2011-05-04T00:00:00.000,2011-05-09T00:00:00.000,Manhattan,104.0
2738,750 Third Ave,New York,1013010033,,,,,Manhattan,106.0
1294,"120 West 45th Street, 9th floor",New York,1009970041,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1825,750 Lexington Avenue,New York,1013940013,,,,,Manhattan,108.0
2373,33 Whitehall Street,New York,1000100014,,,,,Manhattan,101.0
251,"1500 Broadway, Suite 708",New York,1009960001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2465,1700 Broadway,New York,1010250025,,,,,Manhattan,105.0
720,1166 Avenue of the Americas,New York,1012617501,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1391,225 Liberty St,New York,1000160150,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
1676,104 W 40th St,New York,1008150021,,,,,Manhattan,105.0
1856,199 Water Street,New York,1000747501,,,,,Manhattan,101.0
551,767 5th Ave Fl 3,New York,1012940001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2429,195 Broadway,New York,1000800001,,,,,Manhattan,101.0
1628,420 Lexington Avenue,New York,1012800060,,,,,Manhattan,105.0
1032,1440 Broadway,New York,1009930011,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2202,One Bryant Park,New York,1013160001,,,,,Manhattan,106.0
2434,360 Lexington,New York,1012950017,,,,,Manhattan,105.0
155,1200 Waters Place,Bronx,1001240024,,2011-02-08T00:00:00.000,2010-03-05T00:00:00.000,2010-03-10T00:00:00.000,Manhattan,101.0
2191,"215 Park Avenue South, 13th Floor",New York,1008730067,,,,,Manhattan,105.0
1231,645 Fifth Avenue,New York,1012877501,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1682,"110 East 59th Street, 34th FL",New York,1012870052,,,,,Manhattan,105.0
2326,10 Rockefeller Plaza,New York,1012640030,,,,,Manhattan,105.0
900,380 Madison Avenue,New York,1008580022,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
564,405 Lexington Avenue,New York,1012970023,,2010-07-19T00:00:00.000,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
1234,40 East 52nd St,New York,1012960014,,,2012-07-13T00:00:00.000,2012-07-18T00:00:00.000,Manhattan,105.0
374,380 Madison Avenue,New York,1008580022,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2624,300 Cadman Plaza West,Brooklyn,3002390001,,,,,Brooklyn,302.0
1875,900 Third Avenue,New York,1013090032,,,,,Manhattan,106.0
1727,521 Fifth Avenue,New York,1008550024,,,,,Manhattan,105.0
633,10 Rockefeller Plaza,New York,1012660001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2248,712 5th Avenue,New York,1012710038,,,,,Manhattan,105.0
1324,195 Broadway,New York,1000800001,,,1999-02-08T00:00:00.000,1999-02-13T00:00:00.000,Manhattan,101.0
1705,767 5th Avenue,New York,1012940001,,,,,Manhattan,105.0
268,919 Third Avenue,New York,1013290001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
756,521 Fifth Avenue,New York,1008550024,,,2011-04-13T00:00:00.000,2011-04-18T00:00:00.000,Manhattan,105.0
2189,611 Broadway,New York,1005230048,,,,,Manhattan,102.0
783,345 Park Avenue,New York,1012950023,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
414,1675 Broadway,New York,1010240015,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2425,16 Court Street,Brooklyn,3002500044,,,,,Brooklyn,302.0
300,135 East 57th Street,New York,1013120015,,2010-06-21T00:00:00.000,2010-04-29T00:00:00.000,2010-05-04T00:00:00.000,Manhattan,105.0
932,2 penn plaza,new york,1007810002,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1171,888 7th Avenue,New York,1010280029,,,2012-05-31T00:00:00.000,2012-06-05T00:00:00.000,Manhattan,105.0
402,611 Broadway,New York,1005230048,,2011-05-03T00:00:00.000,2010-06-05T00:00:00.000,2010-06-10T00:00:00.000,Manhattan,102.0
899,320 Park Avenue,New York,1012860035,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
254,825 Third Avenue,New York,1013240001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
836,1301 Ave of the Americas,New York,1010050029,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1473,8W 40th Street,New York,1008410054,,,,,Manhattan,105.0
2317,1212 Ave.of the Americas,New York,1012820001,,,,,Manhattan,105.0
1874,777 Third Avenue,New York,1013220001,,,,,Manhattan,106.0
1146,30 West 26th Street,New York,1008020075,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1399,350 Park Ave,New York,1012870033,,,2012-11-19T00:00:00.000,2012-11-24T00:00:00.000,Manhattan,105.0
1585,380 Lexington Avenue,New York,1012960014,,,,,Manhattan,105.0
755,888 7th Avenue,New York,1010280029,,,2011-04-22T00:00:00.000,2011-04-27T00:00:00.000,Manhattan,105.0
610,527 Madison Avenue,New York,1012890052,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
543,224 W. 30th Street,New York,1007790057,,,2010-07-16T00:00:00.000,2010-07-21T00:00:00.000,Manhattan,105.0
1564,225 Liberty Street,New York,1000160125,,,,,Manhattan,101.0
1163,1212 AVENUE OF THE AMERICAS,NEW YORK,3010480006,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Brooklyn,307.0
774,101 PARK AVENUE,NEW YORK,1012950001,,,2011-05-01T00:00:00.000,2011-05-06T00:00:00.000,Manhattan,105.0
1360,360 Lexington avenue,New Yok,1012950017,,,2012-10-02T00:00:00.000,2012-10-07T00:00:00.000,Manhattan,105.0
1691,622 Third Avenue- Management Office,New York,1008950045,,,,,Manhattan,106.0
2349,1221 Avenue of the Americas,New York,1010010029,,,,,Manhattan,105.0
2566,360 Lexington Avenue,New York,1012950017,,,,,Manhattan,105.0
2227,320 West 13th Street,New York,1006280017,,,,,Manhattan,102.0
2601,280 Park Avenue,New York,1012840033,,,,,Manhattan,105.0
441,611 Broadway,New York,1005230048,,,2010-06-12T00:00:00.000,2010-06-17T00:00:00.000,Manhattan,102.0
1780,122 East 42nd St.,New York,1012960014,,,2014-05-30T00:00:00.000,2014-06-04T00:00:00.000,Manhattan,105.0
1761,5 Penn Plaza,New York,1007570031,,,,,Manhattan,104.0
2342,7 West 34th Street - Concourse Level,New York,1008360026,,,,,Manhattan,105.0
166,750 Lexington Avenue,New York,1008897501,Yes,,2010-03-12T00:00:00.000,2010-03-17T00:00:00.000,Manhattan,105.0
1512,205 East 42nd Street,New York,1013160001,,2013-06-25T16:39:18.000,2013-05-20T00:00:00.000,2013-05-25T00:00:00.000,Manhattan,106.0
93,199 Water Street,New York,1000747501,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
1833,420 Lexington Avenue,New York,1012800060,,,,,Manhattan,105.0
2473,711 Third Ave,New York,1013180001,,,,,Manhattan,106.0
1010,11 West 42nd Street,New York,1012580021,,2012-05-24T18:40:00.000,2011-10-31T00:00:00.000,2011-11-05T00:00:00.000,Manhattan,105.0
1807,120 Park Avenue,New York,1012760033,,,2014-07-02T00:00:00.000,2014-07-07T00:00:00.000,Manhattan,105.0
164,215 Park Avenue South,New York,1008730067,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2662,420 Lexington Avenue,New York,1012800060,,,,,Manhattan,105.0
846,555 West 57TH STREET,NEW YORK,1010860001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,104.0
112,633 Third Avenue,New York,1013147502,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
1891,5 Penn Plaza,New York,1007570031,,,,,Manhattan,104.0
255,10 Rockefeller Plaza,New York,1012640005,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1459,485 Lexington Avenue,New York,1013010023,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
619,551 Fifth Avenue,New York,1012810001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1771,535 Fifth Avenue,"New York,",1012790001,,,,,Manhattan,105.0
2241,51 Astor Place,New York,1005540035,,,,,Manhattan,103.0
2573,280 Park Avenue,New York,1012840033,,,,,Manhattan,105.0
1872,599 Lexington Avenue,New York,1013070023,,,,,Manhattan,106.0
611,130 Fifth Avenue,New York,1008200038,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2007,205 E. 42nd St,New York,1013160005,,,,,Manhattan,106.0
1710,7 Times Square,New York,1009940001,,,,,Manhattan,105.0
860,100 Church Street,New York,1001250020,,,2011-07-06T00:00:00.000,2011-07-11T00:00:00.000,Manhattan,101.0
275,135 East 57th Street,New York,1008200038,,,2010-05-06T00:00:00.000,2010-05-11T00:00:00.000,Manhattan,105.0
1520,199 Water Street,New York,1000747501,,,1999-10-09T00:00:00.000,1999-10-14T00:00:00.000,Manhattan,101.0
1589,165 Broadway,New York,1000627501,,,,,Manhattan,101.0
485,633 Third Avenue,New York,1013147502,,,2010-06-26T00:00:00.000,2010-07-01T00:00:00.000,Manhattan,106.0
862,150 Broadway,New York,1000640012,,,2011-07-15T00:00:00.000,2011-07-20T00:00:00.000,Manhattan,101.0
2242,527 Madison Ave,New York,1012890052,,,,,Manhattan,105.0
1042,136 E 57th Street,New York,1012840052,,,1999-05-15T00:00:00.000,1999-05-20T00:00:00.000,Manhattan,105.0
1305,299 Park Avenue,New York,1013030001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
954,101 Park Avenue,New York,1012950001,,2011-08-11T00:00:00.000,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2206,122 East 42nd Street - 10th Floor,New York,1012960014,,,,,Manhattan,105.0
1460,1 Madison Ave,New York,1008530002,,,,,Manhattan,105.0
1481,1065 Avenue of the Americas,New York,1009947501,,,,,Manhattan,105.0
573,180 Madison Avenue,New york,1008630067,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
645,19 West 44th Street,New York,1012600024,,2010-09-30T00:00:00.000,2010-09-18T00:00:00.000,2010-09-23T00:00:00.000,Manhattan,105.0
2377,633 Third Avenue,New York,1013147502,,,,,Manhattan,106.0
2737,551 Madison Avenue,New York,1012910021,,,,,Manhattan,105.0
2426,420 Lexington Ave.,New York,1012800060,,,,,Manhattan,105.0
2192,225 liberty street,new york,1000160125,,,,,Manhattan,101.0
1087,420 Lexington Avenue,New York,1013180001,,,2012-04-05T00:00:00.000,2012-04-10T00:00:00.000,Manhattan,106.0
418,45 Rockefeller Plaza,New York,1012660001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1444,7 Times Square,New York,1009940001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1127,90 Fifth Avenue,New York,1008160037,,,2012-05-17T00:00:00.000,2012-05-22T00:00:00.000,Manhattan,105.0
2565,55 Water Street,new york,1000327501,No,,,,Manhattan,101.0
2226,10000 Riverside Drive,New York,1000327501,,,,,Manhattan,101.0
2159,611 Broadway,New York,1005230048,,,,,Manhattan,102.0
2343,7 Penn Plaza,New York,1008760006,,,,,Manhattan,105.0
1731,611 Broadway,New York,1005230048,,,,,Manhattan,102.0
912,622 Third Avenue,New York,1012950033,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
373,1350 Avenue of the Americas,New York,1012700071,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1422,205 East 42 Street,New York,1013160001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
1272,885 Second Ave,New York,1013210022,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
2455,100 Park Avenue,New York,1012750027,,,,,Manhattan,105.0
2257,215 Park Ave South,New York,1008510041,,,,,Manhattan,105.0
693,1185 avenue of the americas,new York,1009990029,,,2011-06-11T00:00:00.000,2011-06-16T00:00:00.000,Manhattan,105.0
1821,810 Seventh Avenue 17th Floor,New York,1010240038,,,,,Manhattan,105.0
2215,295 Madison Avenue,New York,1000550002,,,,,Manhattan,101.0
1461,"350 Park Avenue, 8th Floor",New York,1012870033,,,2013-03-12T00:00:00.000,2013-03-17T00:00:00.000,Manhattan,105.0
2436,712 Fifth Ave,Manhattan,1012710038,,,,,Manhattan,105.0
1842,"611 Broadway, Suite 907d",Breaking Media,1005230048,,,,,Manhattan,102.0
88,1345 Avenue of the Americas,New York,1010070029,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1741,900 Third Avenue,New York,1013090032,,,,,Manhattan,106.0
1651,810 7th Avenue,New York,1010240038,,,,,Manhattan,105.0
2787,1185 Avenue of the Americas,New York,1009990029,,,,,Manhattan,105.0
1463,485 Lexington Ave,New York,1013010023,,,,,Manhattan,106.0
1201,61 Broadway,New York,1000210001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
1716,900 Third Avenue,New York,1013090032,,,,,Manhattan,106.0
966,400 Park Avenue,New York,1012900036,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
2013,140 E. 45th St.,New York,1012990027,,,2014-12-10T00:00:00.000,2014-12-15T00:00:00.000,Manhattan,106.0
330,1251 Avenue of the Americas,New York,1010027501,,,2010-05-14T00:00:00.000,2010-05-19T00:00:00.000,Manhattan,105.0
1222,560 Lexington Ave,New York,3016240126,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Brooklyn,303.0
2717,250 West 57th St,New York,1010280056,,,,,Manhattan,105.0
1699,767 3rd Ave,New York,1013210047,,,,,Manhattan,106.0
137,919 Third Avenue,New York,1013290001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
2736,551 Madison Avenue,New York,1012910021,,,,,Manhattan,105.0
261,215 Park Ave South,New York,1008730067,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
843,317 Madison Avenue,New York,1012770052,,,2011-06-11T00:00:00.000,2011-06-16T00:00:00.000,Manhattan,105.0
132,1700 Broadway,New York,1010250025,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1907,295 madison avenue,new york,1012597501,,,,,Manhattan,105.0
1922,122 E 42nd Street,New York,1012960014,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1900,675 Third Avenue,New York,1013160001,,,,,Manhattan,106.0
1796,245 Park Avenue,New York City,1013010001,,,,,Manhattan,105.0
385,215 Park Avenue South,New York,1008730067,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
882,10 Rockefeller Plaza,New York,1012640005,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
560,317 Madison Ave,New York,1012770020,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
479,205 EAST 42ND STREET,NEW YORK,1013160001,,2015-03-26T00:00:00.000,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
1372,1350 Avenue of the Americas 12th Floor,New York,1012700071,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
699,1 Pierrepont Plaza,Brooklyn,3002340008,,,2000-01-24T00:00:00.000,2000-01-29T00:00:00.000,Brooklyn,302.0
1845,575 Madison Avenue 7th floor,New York,1008150046,,,,,Manhattan,105.0
1150,355 Lexington Ave,New York,1012950023,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
1673,900 Third Avenue,New York,1013090032,,,,,Manhattan,106.0
837,40 Fulton Street,New York,1000750021,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,101.0
2154,215 Lexington Ave,New York,1008880024,,,,,Manhattan,106.0
2134,Test,NY,1000047501,,,,,Manhattan,101.0
1610,675 Third Ave,New York,1013160001,,2013-08-13T00:00:00.000,2013-07-13T00:00:00.000,2013-07-18T00:00:00.000,Manhattan,106.0
1283,805 Third Avenue,New York,1013230047,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,106.0
2126,100 Park Ave,New York City,1012750027,,,,,Manhattan,105.0
948,1430 Broadway,New York,1008150046,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
1235,3 Chase MetroTech Center,Brooklyn,3020590001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Brooklyn,302.0
2275,444 Madison Ave,New York,1012850015,,,,,Manhattan,105.0
127,650 Madison Ave,New York,1013740014,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,108.0
1962,125 Park Avenue,New York,1012960001,,,1999-01-31T00:00:00.000,1999-02-05T00:00:00.000,Manhattan,105.0
