indexnumber,plansubmitdate,latitude,selfserviceoroperator,planddatereceived,elevatorexceptiondateofentry,ownername
BIB14000093,,40.759644,,,,"Hines, as agents for 1251 Americas Associates II"
BIB14000273,,40.741955,,,,"360 Park South Delaware Associates, LLC"
BIB11000161,1999-02-10T00:00:00.000,40.708497,,2011-07-13T00:00:00.000,,CB Richard Ellis
BIB10000367,2010-07-07T00:00:00.000,40.752209,,,,305 BRG-IMICO LLC Extell Corp
BIB10000646,2011-05-09T00:00:00.000,40.761081,,2011-03-30T00:00:00.000,,Boston Properties
BIB18000076,,40.741282,,,,25 Park LLC c/o Colliers Tri-State Management LLC
BIB10000491,1999-02-10T00:00:00.000,40.749076,,2010-06-29T00:00:00.000,,Fisher Brothers
BIB18000164,,40.757586,,,,Sl Green
BIB10000205,2010-05-16T00:00:00.000,40.763381,,2010-06-14T00:00:00.000,,SL Green Realty Corp.
BIB17000089,,40.750429,,,,Cushman & Wakefield
BIB10000328,1999-02-10T00:00:00.000,40.753904,,2010-06-16T00:00:00.000,,broadway real estate services
BIB16000103,,40.693445,,,,Nicholas Brown
BIB15000211,,40.750643,,,,The Durst Organization
BIB14000209,,40.693463,,2014-10-06T12:46:25.000,,Fusion Academy
BIB10000514,1999-02-10T00:00:00.000,40.75942,,2010-08-03T00:00:00.000,,390 Park Avenue Associates LLc
BIB10000486,1999-02-10T00:00:00.000,40.706995,,2010-06-29T00:00:00.000,,61 Broadway Owner LLC
BIB10000444,1999-02-10T00:00:00.000,40.750992,,,,"101 Park Avenue Associates, LLC"
BIB14000265,,40.703608,2,,,Test
BIB12000144,2012-07-09T00:00:00.000,40.762731,,,,SL Green Realty Corp.
BIB16000052,,40.753074,,,,Durst Corporation
BIB17000016,,40.765016,,,,Boston Properties
BIB13000149,,40.703973,,,,Rudin Management
BIB13000297,,40.755352,,2013-12-19T10:26:50.000,,Brookfield Office Properties
BIB10000472,2011-07-09T00:00:00.000,40.757661,,,,"Deco Towers, Inc"
BIB10000600,1999-02-10T00:00:00.000,40.754244,,2010-09-27T00:00:00.000,,SL Green
BIB18000006,,40.703608,,,,Test owner
BIB14000090,,40.707904,,,,Vornado
BIB10000179,2010-05-26T00:00:00.000,40.749581,,,,Cohen Brothers Realty LLC
BIB15000141,,40.708359,,,,40 Rector Condominiums
BIB10000232,1999-02-10T00:00:00.000,40.738692,,,,Winter Management Organization
BIB13000051,,40.704541,,,,JEMB Realty
BIB18000024,,40.766391,,,,Empire State Realty Trust
BIB14000267,,40.764748,,,,Tishman Speyer
BIB17000066,,40.760231,,,,Tishman Speyer
BIB13000134,,40.707904,,,,Vorando Realty Trust
BIB15000091,,40.763342,,,,Rubin Companies
BIB15000160,,40.755352,,,,1114 6th Avenue Owner LLC
BIB09000056,1999-02-10T00:00:00.000,40.757004,,,,"Marsh & McLennan Companies 1166 EJME LLC, 1166 LLC"
BIB12000094,1999-02-10T00:00:00.000,40.750063,,2012-04-27T00:00:00.000,,W&H Properties
BIB11000164,1999-05-25T00:00:00.000,40.750992,,,,Kalikow
BIB16000120,,40.74991,,,,633 Third Avenue Condominium
BIB10000170,2000-02-09T00:00:00.000,40.755802,operator,,2011-01-07T00:00:00.000,First Service Williams
BIB15000128,,40.752384,,,,Jack Resnick and Sons
BIB13000211,,40.76402,,,,Boston Properties
BIB10000407,1999-02-10T00:00:00.000,40.754757,,2010-05-27T00:00:00.000,,Cushman and Wakefield
BIB13000212,,40.739122,,2013-07-29T17:05:10.000,,"Gramercy Five LLC, c/o Colliers Tri-State Mgmt LLC"
BIB15000168,,40.695198,,,,Forest City Pierrepont Associates
BIB17000041,,40.749076,,,,Marsh & McLennan Agency
BIB16000204,,40.758754,,,,Tishman Speyer
BIB12000380,2013-02-19T00:00:00.000,40.762605,,,,Alliance Bernstein
BIB14000034,2014-06-07T00:00:00.000,40.750791,,,,DOLP 675 Properties II LLC
BIB10000467,1900-02-10T00:00:00.000,40.752262,,2010-06-30T00:00:00.000,,SL Green Realty Corp.
BIB10000333,1999-02-10T00:00:00.000,40.753596,,2010-05-10T00:00:00.000,,Sage Realty Corp
BIB13000073,,40.744096,,,,Michael Kahn
BIB12000023,2012-04-09T00:00:00.000,40.758104,,,,Tishman Speyer
BIB15000098,,40.751,,,,Receivables Exchange
BIB12000304,1999-02-10T00:00:00.000,40.751,,2012-09-24T00:00:00.000,,SL Green Realty Corp
BIB13000279,,40.7256,,,,M.D. Carlisle Realty Corp.
BIB18000063,,40.757582,,,,CBRE
BIB11000008,1900-02-10T00:00:00.000,40.757117,,,,SL Green Realty Corp
BIB13000207,1999-02-10T00:00:00.000,40.693463,,2013-07-26T00:00:00.000,,"Forest City Jay Street Associates, L.P."
BIB15000015,,40.736584,,,,Comgem Associates
BIB12000222,2012-08-23T00:00:00.000,40.765015,,,,Vornado
BIB15000001,2015-02-14T00:00:00.000,40.739905,Operator,,,HRC Corporation
BIB11000016,1900-02-10T00:00:00.000,40.750714,,,,Royal Realty
BIB12000239,2012-08-30T00:00:00.000,40.742616,,2012-07-21T00:00:00.000,,Rudin Management
BIB14000173,1999-02-10T00:00:00.000,40.757904,,,,Tishman Speyers
BIB11000054,1999-02-10T00:00:00.000,40.765015,,,,Vornado Realty Trust
BIB11000196,1999-02-10T00:00:00.000,40.752262,,2011-08-09T00:00:00.000,,SL Green Realty Corp.
BIB13000083,,40.752374,,2013-04-17T12:35:48.000,,SL Green
BIB10000418,2010-07-07T00:00:00.000,40.709402,,2010-06-01T00:00:00.000,,Brookfield Properties
BIB18000104,,40.753722,,,,SL Green
BIB16000079,2016-08-03T00:00:00.000,40.741955,,2016-06-27T00:00:00.000,,"360 Park South Delaware Associates, LLC"
BIB12000121,1999-02-10T00:00:00.000,40.755915,,2012-05-09T00:00:00.000,,Boston Properties
BIB18000131,,40.757636,,,,SL Green
BIB13000223,1999-02-10T00:00:00.000,40.693445,,,,SL GREEN REALTY CORP
BIB14000098,,40.740258,,2014-06-18T09:51:03.000,,"BP 599 Lexington Avenue, LLC"
BIB11000200,1999-02-10T00:00:00.000,40.742534,,,,PARK AVENUE SOUTH MANAGEMENT LLC
BIB12000363,1999-02-10T00:00:00.000,40.753722,,,,Benjamin Soble
BIB14000178,1999-02-10T00:00:00.000,40.752262,,2014-08-21T00:00:00.000,,SL Green Realty Corp
BIB15000076,,40.761574,,,,Paramount Group Inc.
BIB17000035,,40.750429,,,,"CPT 360 Lexington, LLC"
BIB13000068,,40.753722,,,,SL Green
BIB16000190,,40.706556,,,,44 Wall Street LLC c/o Equity Office Properties
BIB17000136,,40.752328,,,,"Third Avenue Associates, LLC"
BIB11000312,2012-01-04T00:00:00.000,40.759644,,2012-06-01T00:00:00.000,,Hines
BIB10000522,1999-02-10T00:00:00.000,40.755167,,2010-07-19T00:00:00.000,,SL Green
BIB10000645,1999-02-10T00:00:00.000,40.759541,,2011-01-03T00:00:00.000,,Boston Properties
BIB10000554,1999-02-10T00:00:00.000,40.755352,,2010-08-17T00:00:00.000,,Brookfield Properties
BIB16000071,,40.755883,,,,5TH MIDTOWN LLC
BIB10000603,1999-02-10T00:00:00.000,40.706995,,,,Broad Street Development
BIB15000016,,40.7256,,,,M.D. Carlisle Realty Corp.
BIB09000049,1999-02-10T00:00:00.000,40.759764,,2010-02-11T00:00:00.000,,Time Warner Companies
BIB18000033,,40.765016,,,,Boston Properties
BIB11000194,1999-02-10T00:00:00.000,40.729374,,,,New York University
BIB18000077,,40.752374,,,,SL Green Realty Corp.
BIB12000284,1999-02-10T00:00:00.000,40.75466,,,,Sage Realty Corp.
BIB11000039,1999-02-10T00:00:00.000,40.755915,,2011-04-12T00:00:00.000,,Boston Properties
BIB10000601,1999-02-10T00:00:00.000,40.7618,,,,World-Wide Business Centres
BIB14000194,1999-02-10T00:00:00.000,40.754158,,2014-09-12T00:00:00.000,,Steinberg & Pokoik Management Corp.
BIB17000064,,40.752374,,,,SL Green
BIB10000625,2011-06-03T00:00:00.000,40.750256,,2011-04-26T00:00:00.000,,SL Green Realty Crop
BIB13000189,2013-08-09T00:00:00.000,40.7529,,2013-08-12T00:00:00.000,,SL Green Realty Corp
BIB17000047,,40.754757,,,,JLL
BIB12000293,1999-02-18T00:00:00.000,40.756631,,2014-05-27T12:00:33.000,,"DOLP 1155 Properties II, LLC/c/o The Durst Organiz"
BIB10000284,1999-02-10T00:00:00.000,40.761574,,2010-04-23T00:00:00.000,,"Paramount Group, Inc."
BIB16000086,,40.693445,,,,SL Green
BIB13000215,,40.756023,,2013-07-30T12:13:13.000,,Broadway 280 Park Fee LLC
BIB10000033,1900-02-10T00:00:00.000,40.738596,,2010-01-25T00:00:00.000,,Roc Fifth Avenue Associates LLC
BIB12000306,1999-02-10T00:00:00.000,40.759764,,,,Time Warner
BIB12000032,1999-05-25T00:00:00.000,40.765015,,2012-06-08T00:00:00.000,,Vornado
BIB10000425,2010-07-13T00:00:00.000,40.760231,,,,Tishman Speyer
BIB17000075,,40.763342,,,,Ruben Companies
BIB12000187,1999-02-10T00:00:00.000,40.750992,,,,Kalikow
BIB17000090,,40.70497,,,,Cushman Wakefield
BIB13000287,,40.757534,,,,Plaza 52 LLC
BIB15000090,,40.763342,,,,Rubin Companies
BIB16000014,,40.750714,,,,The Durst Organization
BIB12000350,2012-12-25T00:00:00.000,40.758754,,2013-06-25T00:00:00.000,,"RCPI Landmark Properties, LLC"
BIB10000582,1999-02-10T00:00:00.000,40.752384,,2010-09-07T00:00:00.000,,Jack Resnick & Sons
BIB18000156,,40.714082,,,,Brookfield Properties
BIB10000310,1999-02-10T00:00:00.000,40.710536,,2010-04-27T00:00:00.000,,L & L Holding
BIB11000238,2011-10-04T00:00:00.000,40.757534,,,,Princeton International Properties
BIB17000055,,40.751601,,,,Chanin Building
BIB10000540,1999-02-10T00:00:00.000,40.753157,,2010-08-04T00:00:00.000,,Boston Properties
BIB12000131,1999-02-10T00:00:00.000,40.750992,,,,"101 Park Avenue Associates, LLC"
BIB10000006,1999-02-10T00:00:00.000,40.758782,,2010-06-16T00:00:00.000,,Tishman Speyer
BIB16000185,,40.693445,,,,SL Green Realty Corp.
BIB15000177,,40.750569,,,,The Durst Organization
BIB13000145,,40.757582,,,,CBRE (manager)
BIB13000020,,40.75753,,,,Tishman Speyer
BIB18000119,,40.751861,,,,5 Penn Plaza LLC
BIB14000019,,40.757534,,2014-03-24T09:26:48.000,,Princeton International Properties
BIB10000352,1999-02-10T00:00:00.000,40.703534,,,,Rudin Building Management
BIB10000047,1999-02-10T00:00:00.000,40.736963,,2010-06-23T00:00:00.000,,SL Green
BIB10000272,1999-02-10T00:00:00.000,40.757479,,2010-04-16T00:00:00.000,,Murray Hill Properties
BIB10000395,1999-02-10T00:00:00.000,40.70254,,2010-06-03T00:00:00.000,,Brookfield  Properties  Corporation
BIB10000416,1999-02-10T00:00:00.000,40.757117,,,,S.L. Green
BIB15000207,,40.745646,,,,"475 Building Company, LLC"
BIB12000150,1999-02-18T00:00:00.000,40.762631,,2013-01-21T00:00:00.000,,Jack Resnick
BIB15000017,,40.7256,,,,M.D. Carlisle Realty Corp.
BIB10000546,1999-02-10T00:00:00.000,40.762731,,2010-07-27T00:00:00.000,,SL Green
BIB15000003,,40.739905,,,,HRC Corporation
BIB15000008,2015-03-02T00:00:00.000,40.742616,,2015-03-25T00:00:00.000,,rudin buildings
BIB10000190,1999-02-10T00:00:00.000,40.766391,,2010-07-20T00:00:00.000,,Cushman Wakefield
BIB12000307,1999-02-10T00:00:00.000,40.757103,,,,Newmark Building Management
BIB17000037,,40.755018,,,,Regus
BIB16000089,2016-07-30T00:00:00.000,40.751681,,2016-06-30T00:00:00.000,,SL Green Realty Corp
BIB12000127,2012-07-02T00:00:00.000,40.765015,,2012-06-08T18:45:21.000,,Vornado Management
BIB13000299,,40.714529,,,,Kevin Poltie
BIB10000070,1999-02-10T00:00:00.000,40.762963,,2010-02-09T00:00:00.000,,Broadway 52nd LP
BIB12000082,2012-05-27T00:00:00.000,40.757602,,2012-07-03T13:07:11.000,,Eastgate Realty
BIB09000045,1999-10-19T00:00:00.000,40.692591,,,2011-01-11T00:00:00.000,Joseph P. Day
BIB15000051,,40.763326,,,,Paramount Group
BIB10000079,1999-02-10T00:00:00.000,40.757602,,2010-06-24T00:00:00.000,,875 Third Avenue LLC
BIB11000060,1999-02-10T00:00:00.000,40.71156,,,,Columbus Properties
BIB11000098,1999-02-10T00:00:00.000,40.756688,,,,Rudin Management
BIB16000115,,40.759644,,,,Mitsui Fudosan/Hines Property Management
BIB11000166,1999-02-10T00:00:00.000,40.762639,,2011-12-29T00:00:00.000,,SL Green Management
BIB10000459,1999-02-10T00:00:00.000,40.759789,,,,650 fifth Avenue
BIB12000026,1999-02-10T00:00:00.000,40.752374,,2012-03-08T00:00:00.000,,SL Green Realty Corp.
BIB10000309,1999-02-10T00:00:00.000,40.751049,,,,Tishman Speyer
BIB12000179,1999-02-10T00:00:00.000,40.711537,,,,Kevin Poltie
BIB12000064,2012-05-20T00:00:00.000,40.754757,,2012-07-03T00:00:00.000,,"Cusman & Wakefield, Inc."
BIB12000004,2012-03-04T00:00:00.000,40.757582,,2012-07-03T00:00:00.000,,CBRE
BIB16000122,,40.742616,,,,Rudin Management Company Inc.
BIB13000184,,40.752262,,2013-06-21T12:41:40.000,,S.L. Green
BIB10000015,1999-02-10T00:00:00.000,40.753194,,2010-01-14T00:00:00.000,,"Plaza Tower, LLC"
BIB13000227,,40.7529,,2013-08-13T08:20:09.000,,SL Green Realty Corp
BIB15000140,,40.708359,,,,40 Rector Owner
BIB12000217,1999-02-10T00:00:00.000,40.711537,,,,Kevin Polite
BIB17000032,,40.752262,,,,SL Green Realty Corp
BIB18000094,,40.766391,,,,Empire State REalty
BIB12000323,1999-02-10T00:00:00.000,40.761244,,2012-09-18T00:00:00.000,,"Paramount Group, Inc."
BIB10000638,2010-12-25T00:00:00.000,40.758323,,2010-11-22T09:50:39.000,,Tishman Speyer
BIB14000139,,40.751601,,,,Cassidy Turley
BIB10000338,1999-02-10T00:00:00.000,40.756023,,2010-05-11T00:00:00.000,,Broadway 280 Park Fee LLC
BIB09000073,1999-02-10T00:00:00.000,40.760289,,,,rockefeller management group
BIB16000213,,40.757582,,,,CBRE
BIB11000250,1999-02-10T00:00:00.000,40.7529,,,,Matthew Hayto
BIB17000059,,40.753596,,,,747 Third Avenue
BIB17000076,,40.758977,,,,Tishman Speyer
BIB12000377,2013-01-24T00:00:00.000,40.758754,,2013-06-25T00:00:00.000,,"TISHMAN SPEYER PROPERTIES LP, RCPI LANDMARK"
BIB11000007,1999-02-10T00:00:00.000,40.765015,,,,Vornado
BIB17000142,,40.7256,,,,M.D. Carlisle Realty Corp.
BIB12000197,1999-02-10T00:00:00.000,40.750992,,,,"101 Park Avenue Associates, LLC"
BIB16000149,,40.762495,,,,Paramount Group
BIB10000481,1999-02-10T00:00:00.000,40.75938,,,,Tishman Spyer
BIB11000210,1999-02-10T00:00:00.000,40.751823,,,,Tishman Speyer
BIB10000640,2011-01-01T00:00:00.000,40.754757,,2010-11-23T00:00:00.000,,Cushman & Wakefield
BIB13000193,,40.753722,,,,Paul Sherman
BIB10000515,2010-08-23T00:00:00.000,40.75379,,,,Tishman Speyer
BIB14000044,,40.712968,,,,SL Green
BIB13000240,,40.753724,,,,Princeton international Propperties
BIB12000042,1999-02-10T00:00:00.000,40.707457,,2012-03-20T00:00:00.000,,Kevin Poltie/Brookfield Properties
BIB11000141,1999-02-10T00:00:00.000,40.751,,2011-06-20T00:00:00.000,,SL Green Management
BIB15000182,,40.756023,,,,Broadway 280 Park Fee LLC
BIB12000313,2012-11-09T00:00:00.000,40.757117,,2013-06-18T00:00:00.000,,SL Green
BIB13000292,,40.762495,,,,Paramount Group
BIB14000109,,40.755018,,,,Cassidy Turley
BIB18000092,,40.753722,,,,SL Green  Reality Corp
BIB10000318,1999-02-10T00:00:00.000,40.751823,,,,Tishman Speyer
BIB12000043,2012-04-26T00:00:00.000,40.755506,,2012-07-02T18:47:21.000,,Cohen Brothers
BIB10000286,2011-06-29T00:00:00.000,40.74991,,2011-05-23T17:20:19.000,,633 Third Avenue Condominium
BIB16000041,,40.758825,,,,"Jack Resnick & Sons, Inc."
BIB11000009,1999-02-10T00:00:00.000,40.759133,,,,Building Manager/Tishmanspeyer
BIB14000043,,40.730183,,2014-06-05T12:29:22.000,,"Edward J. Minskoff Equities, Inc."
BIB13000032,,40.7256,,,,Alma R. Perez-Rodriguez
BIB14000024,,40.739507,,,,Universal Music Group/EMI
BIB09000031,1999-02-10T00:00:00.000,,,2010-03-12T00:00:00.000,,845 Third L.P.
BIB12000178,1999-02-10T00:00:00.000,40.763381,,2012-06-07T00:00:00.000,,SL Green
