dbn,school_name,fax_number,phone_number,advancedplacement_courses,grade_span_min,priority05,addtl_info2,partner_corporate,boro,priority06,grade_span_max,state_code,subway,nta,psal_sports_boys,primary_address_line_1,community_board,city,zip
17K547,Brooklyn Academy of Science and the Environment,718-230-6370,718-230-6363,"Biology, Calculus, English",9.0,,"Uniform Required: white, black or forest green collared polo or button-down shirt/blouse with school logo, black or tan pants/skirt. Optional forest green blazer, cardigan, vest or zippered hoodie with school logo. All items may be purchased at Ideal Uniform on Flatbush Ave; Internship Opportunities",,Brooklyn,,12,NY,"2, 3, 4, 5, F, S to Botanic Garden ; B, Q to Prospect Park",Crown Heights South                                                        ,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Swimming",883 CLASSON AVENUE,9.0, BROOKLYN,11225
09X329,DreamYard Preparatory School,718-410-4312,718-410-4242,"English, Spanish, United States History",9.0,,Uniform Required: Light or dark blue shirt and/or sweater with school logo,,Bronx,,12,NY,"4, B, D to 170th St",East Concourse-Concourse Village                                           ,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",240 EAST 172 STREET,4.0, BRONX,10457
@14K610,Automotive High School,718-599-4351,718-218-9301,"English, Environmental Science, Psychology, World History",9.0,,,"Greater New York Dealers' Association, King's Auto Collision, NYPD Fleet Service, McCarren Motors, Mercedes, Toyota, Advance Fleet Maintenance, Major Chevrolet, FDNY Fleet Service Division, M.I.C. Tire Pros, All-Boro, Auto Lab, Central Auto Info, Inc.",Brooklyn,,12,NY,L to Bedford Ave ; G to Nassau Ave,North Side-South Side                                                      ,"Baseball, Basketball, Bowling, Football, Handball, Soccer, Volleyball, Wrestling",50 BEDFORD AVENUE,1.0, BROOKLYN,11222
21K620,William E. Grady Career and Technical Education High School,718-332-2544,718-332-5000,"Biology, English, United States History",9.0,,Internship Opportunities,"Greater New York Automobile Dealers Association (GNYADA), National Automotive Technician Education Foundation, Bay Ridge Subaru, Plaza Toyota, Plaza Hyundai, Bay Ridge Honda, New York Oil Heat Association, National Oil Heat Research Alliance, Operating Engineers of America/Local 30, Careers through Culinary Arts Program (C-CAP), Building Trades Council, Carrier Corporation, Construction Skills, Smalls Electric, Division of School Facilities",Brooklyn,,12,NY,"B, Q to Brighton Beach",Brighton Beach                                                             ,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",25 BRIGHTON 4TH ROAD,13.0, BROOKLYN,11235
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",718-243-1016,718-243-9413,"Biology, Calculus, Computer Science A, English, Environmental Science, Music Theory, Psychology, United States History",9.0,,"Dress Code Required: White,light yellow or dark purple button down shirt/blouse. Black, tan or khaki pants/slacks.",Con Edison,Brooklyn,,12,NY,"A, C to High St ; B, Q to DeKalb Ave ; 2, 3, 4, 5 to Borough Hall ; M, R to Jay St-MetroTech ; F to York St",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Wrestling",49 FLATBUSH AVENUE EXTENSION,2.0, BROOKLYN,11201
09X297,Morris Academy for Collaborative Studies,718-893-7368,718-542-3700,,9.0,,Summer Orientation: Learning Bridge Program offered to incoming freshmen (3 weeks); Mentor Internship program; Internship Opportunities,McGraw-Hill Companies,Bronx,,12,NY,"2, 5 to Intervale Ave",Morrisania-Melrose                                                         ,"Baseball, Basketball, Soccer",1110 BOSTON ROAD,3.0, BRONX,10456
08X282,Women's Academy of Excellence,718-542-0841,718-542-0740_,Statistics,9.0,,"Uniform Required: White shirt, khaki, white and navy plaid skirt, navy sweater, white or navy stockings, black shoes. In the winter, students are permitted to wear navy blue slacks. Contact the school for information about purchasing the school uniform.","Soft Sheen Carson (L'Oreal Cosmetics), National Aeronautics and Space Administration (NASA) Science Program, Music Unites",Bronx,,12,NY,,Soundview-Castle Hill-Clason Point-Harding Park                            ,"Baseball, Basketball, Cross Country, Fencing",456 WHITE PLAINS ROAD,9.0, BRONX,10473
02M392,MANHATTAN BUSINESS ACADEMY,212-647-1989,212-647-1983,,9.0,,,"Deloitte, Advent Solutions",Manhattan,,12,NY,"2, 3, F, M to 14th St ; 1 to 18th St ; A, C, E, L to 14th St-8th Ave",Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",351 WEST 18 STREET,4.0, MANHATTAN,10011
425,Leadership and Public Service High School,212-346-0612,212-346-0007,"Art History, English, Environmental Science, Spanish, United States Government and Politics, United States History, World History",9.0,,Community Service Opportunities,"Zurich, Edelman",Manhattan,,12,NY,"1, R to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; 6 to Brooklyn Bridge - City Hall ; J, Z to Broad St ; 4, 5 to Wall St",Battery Park City-Lower Manhattan                                          ,Basketball,90 TRINITY PLACE,1.0, MANHATTAN,10006
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",718-860-5081,718-860-5110,,9.0,,"Breakfast Program; Community Service Program; Extended Day Program; Uniform Required: Boys: White button-down shirt, black pants/trousers, school tie, black cardigan with school logo, black shoes/sneakers, sweats with school logo on P.E. days. Girls: white button-down blouse, black pants/slacks/trousers or plaid skirt, plaid school tie (same as skirt), black cardigan with school logo, black shoes/sneakers, sweats with school logo on P.E. days. Ties are ordered through the school.",Quinn Emmanuel Law Firm,Bronx,,12,NY,6 to Whitlock Ave,Soundview-Castle Hill-Clason Point-Harding Park                            ,,1440 STORY AVENUE,9.0, BRONX,10473
25Q263,Flushing International High School,718-463-3514,718-463-2348,,9.0,,Academic Portfolio required; Internship Opportunities,,Queens,,12,NY,7 to Flushing - Main St,Murray Hill                                                                ,"Badminton, Basketball, Soccer",144-80 BARCLAY AVENUE,7.0, QUEENS,11355
01M292,Henry Street School for International Studies,212-406-9417,212-406-9411,"Chinese Language and Culture, Psychology, United States History",6.0,Then to New York City residents,,,Manhattan,,12,NY,"F to East Broadway ; B, D to Grand St ; J, M, Z to Delancey St-Essex St",Lower East Side                                                            ,Basketball,220 HENRY STREET,3.0, MANHATTAN,10002
02M529,Jacqueline Kennedy Onassis High School,212-391-1293,212-391-0041,"Biology, Calculus, English, Spanish, United States History",9.0,,Many of our students are trained lighting technicians and ushers for off Broadway productions that utilize our theater,"Clear Channel Communications, The Hippodrome Center, Deloitte & Touche",Manhattan,,12,NY,"B, D, F, M to 47-50th Sts Rockefeller Center ; 4, 5, 6 to Grand Central - 42nd St ; 7 to 42nd St-Bryant Park ; N, Q, R to 49th St ; A, C, E to 42nd St-Port Authority Bus Terminal ; 1, 2, 3, S to Times Square-42nd St",Midtown-Midtown South                                                      ,"Basketball, Table Tennis",120 WEST 46 STREET,5.0, MANHATTAN,10036
31R440,New Dorp High School,718-987-4889,718-667-8686,"Biology, Calculus, Computer Science A, English, United States History, World History",9.0,,,"Staten Island Economic Development Corporation, Limeri Insurance, SGF Associates Inc., Russo, Scamardella & D'Amato Law Firm, Simpson Thatcher & Barlett LLP, Merrill Lynch, Deloitte & Touche",Staten Island,,12,NY,,New Dorp-Midland Beach                                                     ,"Baseball, Basketball, Bowling, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",465 NEW DORP LANE,2.0, STATEN ISLAND,10306
11X290,Bronx Academy of Health Careers,718-696-3380,718-696-3340,,9.0,,"Dress Code Required: Short or long-sleeved collared white shirt, black pants/skirt, black socks/tights, black shoes",,Bronx,,12,NY,"2, 5 to Gun Hill Rd",Williamsbridge-Olinville                                                   ,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",800 EAST GUN HILL ROAD,12.0, BRONX,10467
19K764,The Urban Assembly School for Collaborative Healthcare,718-277-6041,718-277-1572,,9.0,,"Uniform Required: blue, gold, or white polo shirts with the school logo, khaki pants, and black shoes. Optional blue and gold sweater with school logo. Students wear medical scrubs for special CTE days and pre-professional activities.; Internship Opportunities",,Brooklyn,,11,NY,"J, Z to Elderts Lane-75th St",park-cemetery-etc-Brooklyn                                                 ,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball, Wrestling",999 JAMAICA AVENUE,5.0, BROOKLYN,11208
32K545,EBC High School for Public Service - Bushwick,718-452-3603,718 -452-3440,English,9.0,,"Dress Code Required: solid white or blue collared, button-down, shirt/blouse/school polo with logo, solid black, navy blue, gray or khaki slacks/skirt, shoes/construction boots",,Brooklyn,,12,NY,Z to Myrtle Ave ; J to Kosciusko St ; M to Central Ave,Bushwick South                                                             ,"Baseball, Basketball",1155 DEKALB AVENUE,4.0, BROOKLYN,11221
29Q327,Eagle Academy for Young Men III,718-480-2610,718-480-2600,,6.0,Then to Queens students or residents,"Dress Code Required: Monday – Thursday: light blue oxford short or long-sleeved shirt, blue and yellow tie, cardigan blue sweater, gray slacks, black belt, black footwear. Friday: navy blue polo shirt, khaki pants, black belt, black footwear; Community Service Requirement; Extended Day Program; Friday schedule: 8:30 AM – 3:15 PM; Weekend Program",,Queens,Then to New York City residents,12,NY,,St. Albans                                                                 ,"Basketball, Wrestling",171-10 LINDEN BOULEVARD,12.0, QUEENS,11434
32K549,Bushwick School for Social Justice,718-418-0192,718-381-7100,"English, Environmental Science, Spanish, United States History",9.0,Then to Brooklyn students or residents,Saturday School and P.M. school is available for Regents prep and after-school grade-level tutoring.,,Brooklyn,Then to New York City residents,12,NY,"L, M to Myrtle Ave-Wyckoff Ave",Bushwick North                                                             ,"Baseball, Basketball, Soccer, Volleyball",400 IRVING AVENUE,4.0, BROOKLYN,11237
02M534,Harvest Collegiate High School,212-242-4173,212-242-3384,"Statistics, United States History",9.0,Then to New York City residents,Family Meeting; Overnight Orientation; Community Service Requirement; Internship Requirement; Internship Opportunities,,Manhattan,,12,NY,"1, 2, 3, F, L, M to 14th St - 6th Ave ; A, B, C, D, E to West 4th St ; 4, 5, 6, N, Q, R to 14th St-Union Square",West Village                                                               ,"Baseball, Basketball, Handball, Soccer, Volleyball",34 WEST 14 STREET,2.0, MANHATTAN,10011
14K449,"Brooklyn Latin School, The",718-381-3012,718-366-0154,,9.0,,"Uniform Required: White oxford shirt, school tie, khaki pants/skirt, black belt, black shoes; Community Service Requirement",,Brooklyn,,12,NY,"L to Grand St ; G to Metropolitan Ave-Lorimer St ; J, M to Lorimer St",East Williamsburg                                                          ,Wrestling,223 GRAHAM AVENUE,1.0, BROOKLYN,11206
30Q450,Long Island City High School,718-545-2980,718-545-7095,"Art History, Biology, Calculus, Chemistry, Chinese Language and Culture, Computer Science A, English, Environmental Science, French Language and Culture, Psychology, Spanish, Statistics, Studio Art, United States Government and Politics, United States History, World History",9.0,,,"BRGuest, Inc.",Queens,,12,NY,"N, Q to Broadway",Astoria                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Gymnastics, Handball, Lacrosse, Soccer, Swimming, Tennis, Volleyball, Wrestling",14-30 BROADWAY,1.0, QUEENS,11106
05M304,Mott Hall High School,212-690-5047,212-694-6020,,9.0,,"Uniform Required: Hunter green polo shirt with Mott Hall logo, khaki pants, black footwear",,Manhattan,,12,NY,"1 to 137th St - City College ; 2, 3, B, C to 135th St ; A, D to 125th St",Central Harlem North-Polo Grounds                                          ,"Baseball, Basketball",6 EDGECOMBE AVENUE,10.0, MANHATTAN,10030
21K344,Rachel Carson High School for Coastal Studies,718-372-2514,718-265-0329,"Biology, Calculus, English, Physics, Psychology, United States Government and Politics",9.0,,Community Service Requirement; Extended Day Program; Internship requirement: at least two hours per week; Saturday Academy; Internship Opportunities,,Brooklyn,,12,NY,F to Neptune Ave-Van Siclen ; Q to West 8th St - NY Aquarium ; Q to Ocean Parkway,West Brighton                                                              ,,521 WEST AVENUE,13.0, BROOKLYN,11224
16K765,Nelson Mandela High School,718-804-6808,718-804-6805,,9.0,,Internship Opportunities; Community Service Opportunities,,Brooklyn,,11,NY,"A, C to Utica Ave",Crown Heights North                                                        ,"Baseball, Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",1700 FULTON STREET,3.0, BROOKLYN,11213
31R460,Susan E. Wagner High School,718-698-5213,718-698-4200,"Biology, Calculus, English, French Language and Culture, Human Geography, Spanish, Statistics, United States Government and Politics, United States History, World History",9.0,,Extended Day Program; Internship Opportunities; Community Service Requirement; Senior Class College/Career Readiness Project,"JC Penney, TJ Maxx, National Academy Foundation, Virtual Enterprise International",Staten Island,,12,NY,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",1200 MANOR ROAD,2.0, STATEN ISLAND,10314
17K745,Brooklyn Institute for Liberal Arts,718-221-1794,718-221-1097,"Comparative Government and Politics, English",9.0,,"Uniform Required: Yellow polo shirt with school logo, navy blue bottoms, school sweater; Community Service Projects; Extended Day Tutoring (3:00 PM – 5:00 PM); Saturday Academy; Summer Orientation: Bridge Program for incoming ninth graders",,Brooklyn,,12,NY,"2, 5 to Winthrop St",Prospect Lefferts Gardens-Wingate                                          ,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",600 KINGSTON AVENUE,9.0, BROOKLYN,11203
21K348,High School of Sports Management,718-333-7675,718-333-7650,"Biology, Calculus, Statistics",9.0,,"Uniform Required: White button-down shirt/official school polo shirt, black pants/skirt, black shoes/boots; Community Service required; Extended Day Program; Summer Orientation: for Incoming students (2 days); Saturday School Scholars Program for ninth grade students; Weekend Program offered","Brooklyn Cyclones, The New York Times, New York Knicks",Brooklyn,,12,NY,N to Gravesend - 86th St ; D to 25th Ave ; N to Ave U,Gravesend                                                                  ,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",2630 BENSON AVENUE,13.0, BROOKLYN,11214
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),718-933-1568,718-933-1247,,9.0,,"Uniform Required: Boys - Navy blue polo shirt with KAPPA logo, black belt, khaki pants, black shoes. Girls - baby blue polo shirt with KAPPA logo, black belt, khaki pants/skirt, black shoes; Student Summer Orientation in August; Saturday Program; Extended Instructional Day",Capital One Bank,Bronx,,12,NY,"B, D to Fordham Rd",Belmont                                                                    ,"Baseball, Basketball, Swimming, Volleyball",500 EAST FORDHAM ROAD,6.0, BRONX,10458
14K558,Williamsburg High School for Architecture and Design,718-486-2580,718-388-1260,"English, United States History",9.0,,"Classrooms equipped with Smartboards for more interactive and differentiated learning experiences. Our school has four architecture and design studios, one of which is a dedicated AutoCAD laboratory. Our studios are outfitted with 3D printers, color plotter printers, laser engravers, and laptops for students.; Internship Opportunities","Architectural Grille, Robert Silman Associates, Ottavino Stoneworks, Greenpoint Gazette, Heritage Equity Partners",Brooklyn,,12,NY,"J, M, Z to Marcy Ave ; G to Metropolitan Ave-Lorimer St ; L to Bedford Ave",North Side-South Side                                                      ,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",257 NORTH 6 STREET,1.0, BROOKLYN,11211
17K539,High School for Service & Learning at Erasmus,718-564-2552,718-564-2551,Spanish,9.0,,,,Brooklyn,,12,NY,"2, 5, B, Q to Church Ave",Erasmus                                                                    ,"Baseball, Basketball, Bowling, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",911 FLATBUSH AVENUE,14.0, BROOKLYN,11226
03M492,"High School for Law, Advocacy and Community Justice",212-501-1195,212-501-1201,"English, Environmental Science, Psychology, Spanish, United States History, World History",9.0,,Internship Opportunities,"Hunton & Williams, LLP; Dewey Ballantine, LLP",Manhattan,,12,NY,"A, B, C, D to 59th St-Columbus Circle ; 1 to 66th St - Lincoln Center ; 2, 3 to 72nd St",Lincoln Square                                                             ,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",122 AMSTERDAM AVENUE,7.0, MANHATTAN,10023
12X550,High School of World Cultures,718-893-7152,718-860-8120,"Biology, Spanish, World History",9.0,,"Uniform Required: HSWC uniform shirt, black slacks/skirt (no shorter than 2 inches above the knee), black shoes or boots (during inclement weather); Extended Day offered; Weekend program offered",,Bronx,,12,NY,6 to Elder Ave,West Farms-Bronx River                                                     ,"Baseball, Basketball, Bowling, Soccer, Swimming",1300 BOYNTON AVENUE,9.0, BRONX,10472
30Q575,Academy of American Studies,718-361-8832,718-361-8786,"Biology, Calculus, Economics, English, Environmental Science, Human Geography, Spanish, United States Government and Politics, United States History",9.0,,Internship Opportunities,,Queens,,12,NY,"G to Court Square ; 7, N, Q to Queensboro Plaza ; E, M, R to Queens Plaza ; F to 21st St - Queensbridge",Queensbridge-Ravenswood-Long Island City                                   ,"Baseball, Basketball, Bowling, Cross Country, Soccer, Volleyball",28-04 41 AVENUE,1.0, LONG ISLAND CITY,11101
15K448,Brooklyn Secondary School for Collaborative Studies,718-923-4730,718-923-4700,,6.0,Then to New York City residents,"Academic Portfolio required for graduation: Students must write and present four in-depth performance-based assessment papers; Ninth graders take part in a 5-day Outward Bound leadership development camping trip that is physically and intellectually demanding; We embrace restorative practices, including circles in crew and classes, mediation and collaborative negotiation, and restorative conferences between students and staff.; BCS grading policy considers attendance, habits of work and learning, and academic assignments.",Law Firm of Bryan Cave; CF Global,Brooklyn,,12,NY,"F, G to Carroll St",Carroll Gardens-Columbia Street-Red Hook                                   ,"Baseball, Basketball, Soccer",610 HENRY STREET,6.0, BROOKLYN,11231
02M308,Lower Manhattan Arts Academy,212-674-8021,212-505-0143,,9.0,Then to Manhattan students or residents,"Internship Opportunities; Extended Day Program; Our Open House is currently scheduled for November 18 at 6:30 p.m. Call for confirmation. Due to the large number of applicants, we do not offer tours.",,Manhattan,Then to New York City residents,12,NY,"F, J, M, Z to Delancey St-Essex St ; B, D to Grand St",Chinatown                                                                  ,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",350 GRAND STREET,3.0, MANHATTAN,10002
13K483,The Urban Assembly School for Law and Justice,718-858-4733,718-858-1160,"English, Environmental Science",9.0,,"Dress Code Required: Light blue button-down shirt/blouse/polo, black, navy or khaki slacks/skirt. Boys wear a tie with button-down shirt.","Cravath, Swaine & Moore LLP",Brooklyn,,12,NY,"G to Hoyt & Schermerhorn ; 2, 3, 4, 5, R to Borough Hall ; M to Court St ; A, C, F to Jay St-MetroTech ; B, Q to DeKalb Ave",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,Basketball,283 ADAMS STREET,2.0, BROOKLYN,11201
31R450,Curtis High School,718-556-4800,718-390-1800,"Art History, Calculus, English, Italian Language and Culture, Spanish, Statistics, Studio Art, United States History",9.0,,"Long or short-sleeved shirt, pants/jeans/skirt/shorts/dress/skort/capris (of appropriate length), shoes may be open-toed/sandals/flip-flops/sneakers","O’Melveny & Myers Law Firm, Staten Island Advance, Con Edison",Staten Island,,12,NY,SIR to St George,West New Brighton-New Brighton-St. George                                  ,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",105 HAMILTON AVENUE,1.0, STATEN ISLAND,10301
05M367,Academy for Social Action: A College Board School,212-234-8597,212-543-6301,"Art History, English",9.0,,"Uniform Required: School shirt with logo, gray pants/skirt; Academic Portfolio for assessment; Bi-weekly Saturday Academy; Extended Day Program; Student Summer Orientation",,Manhattan,,12,NY,"1, A, B, C, D to 125th St",Manhattanville                                                             ,Basketball,509 WEST 129 STREET,9.0, MANHATTAN,10027
02M605,Humanities Preparatory Academy,212-929-4445,212-929-4433,,9.0,,"As a consortium school, our school requires Performance-based Assessments (PBATs) for graduation in lieu of Regents examinations, except for the English Language Arts (ELA) Regents which is required of all students; Internship Opportunities",Google (FIRST Robotics Program); D.E. Shaw,Manhattan,,12,NY,"2, 3, F, M to 14th St ; 1 to 18th St ; A, C, E, L to 14th St-8th Ave",Hudson Yards-Chelsea-Flatiron-Union Square                                 ,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",351 WEST 18 STREET,4.0, MANHATTAN,10011
