dbn,language_classes,psal_sports_girls,program_highlights,building_code,start_time,school_accessibility_description,partner_nonprofit
10X445,"Chinese (Mandarin), French, Greek, Italian, Japanese, Latin, Spanish","Badminton, Basketball, Bowling, Cross Country, Fencing, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling","Intel Research Program, Post-AP Genetics, Post-AP Psychology Courses, Game Programming, Quantum Mechanics, Quantitative Analysis, Linear Algebra, Multivariable Calculus, Digital Music, Four Performing Musical Groups, Speech and Debate, Abnormal Behavior, Forensic Science, Electronics, Holocaust Studies, Animal Behavior with the Bronx Zoo, Astronomy (planetarium on-site), Computer Science Sequence, Digital Photography",X445,8:00 AM,Functionally Accessible,"Bronx Zoo, Hennessy Family Foundation"
17K122,"French, Spanish","Basketball, Cross Country, Indoor Track, Outdoor Track","Internships, Mentorship Program, Early College Experience, Courses in Computer Systems and Information Technology; Small advisory groups led by faculty mentor; Science, Technology, Engineering and Mathematics (STEM); Academic and Career Planning starting in the ninth grade; Saturday Academy featuring PSAT/SAT prep; Project-based STEM workshops; Tutoring offered",K625,8:15 AM,Functionally Accessible,
02M407,Spanish,"Basketball, Cross Country, Flag Football, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball","Academic program that culminates in PBAT Graduation Requirements in all core subject areas: History, Literature, Math, Science, and Spanish; Senior Circle Electives have included: Multimedia Technology, Songwriting/Poetry, Studio; Digital & Performing Arts, Photography, Intro to Psychology/Philosophy; Math Magic, Health and Nutrition Awareness, Computer Game Programming; Music; Studio Art; HS Jazz Band and multiple ensembles; Neuroscience program; Collaboration with The City University of New York (CUNY) and New York University (NYU) Neuroscience Labs",M475,8:00 AM,Functionally Accessible,"The Builders Association, The Neo-Futurists, Habitat for Humanity"
29Q313,,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Certified CTE Program, Advisory, College Counseling, Industry recognized IT certifications",Q490,8:30 AM,Not Functionally Accessible,
26Q315,,"Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Associate degree - at least two years of college course work in business, computer science, and Internet technology; College classes as early as the ninth grade; College and Career Advisement; Mentoring and Peer-Tutoring programs; Internships, Apprenticeships, Student-led conferences, Students’ e-portfolios; Collaborative group project-based learning.",Q435,8:30 AM,Functionally Accessible,
28Q440,"American Sign Language, Chinese (Mandarin), French, Hebrew, Italian, Latin, Spanish","Basketball, Bowling, Cross Country, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Carl Sagan Science/Math Honors Academy, Richard A. Brown Honors Law Institute, Science and Social Science Research, Health Professions and Hospital Science, Business Academy, Flags Academy - Foreign Language Academy for a Global Society (focused on the use of foreign language in the international business community), Drama Academy, Instructional and Voice Performing Academy, CUNY College Now, Public Service Academy",Q440,,Functionally Accessible,"Federation Employment and Guidance Services, Inc. (FEGS), Queens County District Attorney's (DA) Office, Jewish Child Care Association, Queens Child Guidance Center, Coalition for Asian American Children/Families, Forestdale Inc., Forest Hills YMHA, YMCA"
22K405,"French, Haitian-Creole, Latin, Spanish","Basketball, Bowling, Cross Country, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball","Students may receive CTE endorsement in Engineering, Media Arts and Law. Other programs include: Gifted and Talented Honors Program in Medical Science and Humanities, Research Program in the Natural and Social Sciences, Instrumental and Vocal Music, CUNY College Now, Advanced Placement (AP) Capstone Certificate and Diploma",K405,8:45 AM,Not Functionally Accessible,
12X388,Spanish,"Basketball, Softball","Small Learning Clusters, Collaborative Group Work and Project-based Instruction, Internships, Advisory, Technology",X420,8:30 AM,Functionally Accessible,"College Action: Research & Action (CARA), New York College Advising Corps (NYU-Helmsley Foundation Grant)"
19K683,Spanish,Basketball,"Performance major: Acting-movement and voice; Students explore theatrical literature and work on ensemble building and public speaking skills; Production major: Technical theater design and management; Dance major: Training, history, and techniques of dance culminating in a dance portfolio; Science Research, Music, Common Core English, Storytelling, Honors English, Honors History, Health, Survey of African-American Literature, Advisory. Students participate in theatrical productions throughout the school year.",K218,8:00 AM,Not Functionally Accessible,
28Q328,"French, Spanish","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball","HSCL features a unique early college experience through classes (e.g. Research Writing) taught in collaboration with the faculty of St. John’s University (SJU) at the Queens Campus for qualifying students; Additional elective classes include CAD Design and 3D Printing in conjunction with Parsons/The New School for Design, Chess and Comparative Anatomy & Physiology; Innovative Music program includes Latin Jazz, Rock and String Ensembles; Internships are available with the Queens Library, Chapin Home for the Aged, Grace Episcopal Church’s Food Pantry as well as other community-based organizations; Advisory and peer support system; Kaplan K-12 SAT prep classes and a four-year sequence of college trips and college counseling services built into the academic program.",Q470,9:00 AM,Not Functionally Accessible,
02M551,Spanish,,"All ninth graders take a yearlong field class called Introduction to New York Harbor. At the end of ninth grade, each student chooses a CTE program of study in marine science and marine technology. Each program of study concludes with a senior internship at a relevant maritime or marine-related business in the New York City area.",M877,8:15 AM,Functionally Accessible,"ABYC, Black Rock Forest Consortium Hudson River Foundation, Metropolitan Waterfront Alliance, NY/NJ Baykeeper, The River Project, Waterkeeper Alliance"
13K412,"American Sign Language, French, Spanish","Basketball, Flag Football, Stunt","Advisory-Family Program, Media Arts Specialization, College Preparatory Courses, CUNY College Now; After-school Tutoring and Academic Support",K117,8:30 AM,Not Functionally Accessible,Institute for Student Achievement (ISA)
14K561,Spanish,"Basketball, Flag Football, Softball, Volleyball","Electives in Psychology, Drama, Advanced Studio Art, SAT Prep, Yearbook, Creative Writing, Weight Training, Yoga",K650,8:15 AM,Functionally Accessible,Summer Achievement Academy (for incoming 9th graders with Teach For America)
10X433,Spanish,"Basketball, Bowling, Softball, Tennis, Volleyball","Advisory, Honors Classes, Regents Preparation, CUNY College Now, Pre-Teaching Academy, Conflict Resolution, Internships, Ninth Grade College Prep, Saturday Academies, Credit Recovery Programs, Career Visions Institute, Good Shepherd Services, Committee of Hispanic Children and Families, Virtual Enterprise, Explorers Professions Program, SMART Boards and laptop computers in every classroom",X430,8:24 AM,Functionally Accessible,NYC Mayor's Office initiative for attendance; Get Schooled for attendance incentives
03M859,Spanish,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling","Students major in Instrumental Music, Voice, or Composition; Two-year sequence in music technology; Participation in collaborative ensembles and solo and ensemble performing opportunities; Interaction with professional musicians and composers through residencies; Graduating seniors create collaborative interdisciplinary projects to present in the community.",M932,8:00 AM,Functionally Accessible,
12X478,French,,"Mid-year Animation & Movie Institute where students develop film projects, shoot on location, and work with prominent resident and guest artists; Four-year Cinema Studies curriculum in filmmaking, storytelling, and media criticism; Studio art class offered; Partnership with CUNY College Now at Lehman College",X423,8:25 AM,Functionally Accessible,
11X514,Spanish,"Basketball, Outdoor Track, Volleyball","After-school Tutoring, Reading Excellence and Discovery (READ) Program, College Now, Guest Speakers, Trips, Fordham University Credit Recovery/Regents Preparation, Family Activities, Career and College Exploration, SAT/PSAT Test Preparation",X362,8:00 AM,Functionally Accessible,
24Q600,Spanish,"Basketball, Bowling, Flag Football, Softball, Volleyball","Students may receive CTE endorsement in a variety of areas; Students belong to one of the Small Learning Communities: School of Exploration & Discovery, School of Entrepreneurial Studies, School of Computer & Electronic Engineering Technologies or the School of Skilled Building Trades; CUNY College Now, College Connection Collaborations, College credits from LaGuardia Community College (LGCC), Tech Prep Program, Virtual Enterprises, and Robotics",Q600,8:00 AM,Functionally Accessible,"School-to-Work Alliance, Long Island City Business Development Corporation, Legal Momentum, Junior Achievement, High Schools That Work, Day One Community Education"
15K462,"French, Spanish","Basketball, Volleyball","Paul Hastings Law Institute, Deloitte, Mock Trial, Debate, Introduction to Law, International Law, Criminal and Constitutional Law, Participation in Government, Studio Art, Modern Dance, Orchestra, Credit-Bearing Online Courses, CUNY College Now",K460,8:15 AM,Not Functionally Accessible,
08X376,Spanish,"Basketball, Soccer, Softball, Tennis, Volleyball","Individualized university/college advising, Academic and career planning, Advisory, College Tours, Service learning and social action projects with an emphasis on community service; Leadership Requirement",X450,8:00 AM,Functionally Accessible,"College Board, The Green Institute, DreamYard, Academy for Educational Development"
08X367,Spanish,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Stunt, Volleyball","Integrated use of technology in all disciplines, College-level courses in grades eleven to twelve through Syracuse University Project Advance (SUPA), Monroe College Jumpstart Program, CUNY College Now and Physical Education classes (Ballroom Dancing, Latin Dancing, Fitness, Boxing). Full range of Apex online courses available.",X174,8:20 AM,Functionally Accessible,Vision Ed Inc.
02M282,,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball","Regents prep curricula; Academic coaching; Small group advisory; Courses in coding, digital fabrication, design thinking, and web applications; PSAT/SAT Prep; College and career counseling beginning in students’ first year; Work site visits; Personalized and blended learning; Personalized pathway to graduation; Digital badges and portfolios",M520,9:00 AM,Functionally Accessible,
20K445,"Chinese (Mandarin), Italian, Russian, Spanish, Urdu","Basketball, Bowling, Handball, Soccer, Softball, Swimming, Tennis, Volleyball","Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, CUNY College Now",K445,8:00 AM,Functionally Accessible,
18K589,Spanish,Basketball,"Advisories, Group and Independent Projects, Online Access to Curriculum and Progress Reports, Service Learning, Advanced Art, Media courses, CUNY College Now, Asynchronous Learning with iZone, Technology embedded into all courses, Project Based Learning opportunities; Every incoming ninth grader takes art and works with computers to become more media literate; Enrichment and tutoring are offered during the school day",K232,8:50 AM,Not Functionally Accessible,
02M412,"Latin, Spanish","Basketball, Cross Country, Flag Football, Golf, Soccer, Softball, Tennis, Volleyball","All classes value and teach skills of social and emotional learning; CUNY College Now, Methods of Inquiry Qualitative Research, Human Rights Studies; Twelfth grade culminates in interdisciplinary Keystone Project; Peer Advisory, Advisory",M070,8:00 AM,Functionally Accessible,The Highline
09X324,"French, Spanish","Basketball, Volleyball","Four years of mathematics and foreign language; Community Action Service (CAS), Academic Advisory required; CUNY College Now program with Lehman College, course offerings include: Visual Arts, Film, Theory of Knowledge (TOK)",X166,8:30 AM,Not Functionally Accessible,"Literacy Inc., Learning Leaders, PENCIL, Teach for America"
07X548,Spanish,"Basketball, Golf, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball","Career courses, Four years of math, Honors Classes; SAT Prep, iMentor Program, CUNY College Now, Advisory, Studio Art",X790,8:25 AM,Functionally Accessible,"Urban Dove, South Bronx United, Outward Bound, New York Urban League, Sports Foundation, Peer Health Exchange, Generation Citizen, ASPIRA, Expanded Success Initiative"
18K642,Spanish,"Basketball, Indoor Track, Outdoor Track, Rugby, Soccer, Softball, Tennis, Volleyball, Wrestling","Electives in Law, Business and Community Activism; Daily Advisory Classes; Weekly Town Hall Meetings; After-school tutoring; Ongoing College Counseling; Multiple Trips to New York City Colleges and Out-of-State Universities; College Courses",K500,8:10 AM,Not Functionally Accessible,"Bill & Melinda Gates Foundation, The Carmel Hill Fund Education Program, Institute for Student Achievement, Robin Hood Foundation, Teach for America"
08X452,"French, Spanish","Basketball, Soccer, Softball, Tennis, Volleyball","Project-based Learning, Interdisciplinary courses, Extended class periods",X450,8:30 AM,Functionally Accessible,"Adlai E. Stevenson Child Care Center, American Society for the Prevention of Cruelty to Animals (ASPCA), Bronx Charter School for Children, Bronx Defenders, BronxNet, City of NY Department of Youth and Community, City Year, Countee Cullen Community Center, Dr. Richard R. Green Learning Center/Head Start, Get Ready to Read, Gilda’s Club, Harlem Community Justice Center, Harlem Live, Headstart, Learning Links Child Care, Learning Foundations, Middle School for Dance (MS 308), Mother's Child Care, New Bronx Chamber of Commerce Inc., New York County Defender Services, Police Athletic League (PAL), Pathways for Youth, The Point Community Development Corporation, Riverdale Equestrian Centre, Riverdale House, Rocking the Boat, Safe Horizon, Seneca Center, Sistas & Brothas United, Soundview Child Care Center, Soundview Community in Action, United States Air Force/Reserve Officer Training Corps (ROTC), United Bronx Parents, Volunteers of America, Youth Development Academy, Youth on the Move"
13K439,French,"Bowling, Handball, Soccer, Tennis","English and home language skill development; Computers available for every student; Extensive use of iPads; Authentic project-based learning; Career internships (courts, law firms, museums, wildlife centers, hospitals, schools, technology, newspapers, laboratories); Portfolio assessment; CUNY College Now; Project Advance through Syracuse University; St. Joseph’s College Bridge Program",K805,8:45 AM,Functionally Accessible,"Internationals Network for Public Schools, New York Cares, What Kids Can Do, iMentor, Big Brothers Big Sisters, Learning Leaders, International Rescue Committee, Solar One, Cold Spring Harbor Laboratory, Recycle-a-Bike, Foodbank for New York, generationON, UNICEF, Mercy Corps Action Center, The Tolerance Center, The Advocacy Lab"
14K071,Spanish,"Basketball, Cross Country, Softball","Daily talent (visual arts, band, chorus, dance, or theater) courses culminating in an Arts Endorsed Regents diploma; College readiness counseling provided by College Bound Initiative counselor; CUNY At Home In College English and math courses; Blended/online learning for credit through APEX/AVENTA; Mentoring with working professionals through iMentor, Art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart; Technology courses",K071,8:11 AM,Functionally Accessible,
13K527,"French, Spanish","Basketball, Volleyball","Pre-Calculus and Engineering courses at Polytechnic Institute of New York University; Carrera Treasure Academy provides: Academic Support, Business & Entrepreneurship classes, Power Group Counseling, Family Life, Medical/Dental Services and Summer Programs focusing on self-expression and sports; Internships with Triskeles-UA Sustainable Directions, Prospect Park Zoo and The School Construction Authority; CUNY College Now, Minds Matter, Sponsors for Educational Opportunity (SEO), ING Investment Challenge, College Day/Alumni Mentoring Program, Physics of Robotics, Science of Cooking, Math of Health, Forensics, MOUSE Squad, Chemistry of Beauty Products, Physics of Dance, Logic of Ancient Games, Advisory",K313,8:30 AM,Functionally Accessible,"Urban Assembly, Children’s Aid Society’s Carrera Treasure Academy, Girls Incorporated of New York City, AmeriCorps, MOUSE and Power Play"
09X263,Spanish,"Basketball, Flag Football, Softball, Wrestling","Outward Bound Challenge Course, Health Electives and Internships, Crew Advisory, READ Alliance, CUNY College Now, Touro College, Project Rousseau, Rockin the Boat, BERMUN Model UN, Teen Action",X970,8:20 AM,Functionally Accessible,NYC Outward Bound: Expeditionary Learning
02M408,Spanish,,"College courses in grade eleven and twelve at New York University (NYU), John Jay College and Hunter College; Professional work in the arts through partnership with On Location Education; Master classes and workshops with theatre professionals; Theater and Tap Dance, Ballet, Song Preparation, Private and Group Vocal Technique, Music Theory, Theater Exploration, Musical Theater Scene Study and Acting Technique; Electives: Improvisation, Choreography, College Audition Preparation, and Songwriting",M017,8:15 AM,Not Functionally Accessible,"Exploring the Arts, Friends of PPAS"
21K540,"Chinese (Mandarin), French, Spanish","Badminton, Basketball, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Computer Science Institute, Medical & Health Professions, Pre-Med, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, CUNY College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",K540,8:13 AM,Not Functionally Accessible,"National Academy Foundation (NAF), Prospect Park Alliance Volunteer Corps, GenerationOn, ASPIRA of New York, WISE."
27Q309,Spanish,"Basketball, Soccer, Softball, Swimming, Tennis, Volleyball","Medical Lab Assisting, CollegeEd (College Board Program), Advisory, Visual Arts",Q465,7:30 AM,Not Functionally Accessible,The College Board
764,,"Basketball, Bowling, Cross Country, Indoor Track, Softball, Tennis, Volleyball","CTE healthcare focus with three career pathways: (1) Business of Healthcare, which is the administration and management of healthcare; (2) Clinical Healthcare, which is direct treatment of patients; and (3) Public Health, which focuses on proactive care, disease management and health outreach/education; Regents prep curricula; Rigorous project-based instruction; Internships and work-based learning; Academic advisement; Community action and service; Advisory",K420,8:15 AM,Functionally Accessible,
02M427,Spanish,"Basketball, Softball, Volleyball","Freestanding ESL, Transitional Bilingual Education (TBE)",M620,8:49 AM,Functionally Accessible,
11X542,Spanish,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball","College Preparation Program sponsored by the University of Vermont, Lehman College and Monroe College; After-school enrichment classes and tutoring sponsored by Lehman College; Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP), TRIO Programs; CUNY College Now, CUNY At Home-In College Program, JumpStart Program sponsored by Monroe College; College For Every Student (CFES) Service Learning Programs, including Peer Mentoring and Leadership Training, Students take four years of science, mathematics and a foreign language",X415,8:15 AM,Functionally Accessible,"College for Every Student (CFES), Consortium for Educational Excellence through Partnerships (CEEP), Neighborhood Initiatives Development Corporation"
10X213,Spanish,"Basketball, Cross Country, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Students may receive CTE endorsement in Engineering; Students are expected to complete four years of math, technology, and science; Day trips to Manhattan College campus; Advisory course; Saturday Academy featuring PSAT/SAT Prep; BETA offers College Summit college preparation as well as the opportunity to take college courses at Lehman College with the CUNY College Now program.",X475,8:15 AM,Functionally Accessible,"New Visions for Public Schools, College Summit, Upward Bound/Talent Search, Anti-Defamation League"
02M531,"Chinese (Cantonese), French, German, Italian, Japanese, Spanish",,"Advisory, Mentoring, College Awareness Program; Theater Introduction, Beginning, Intermediate and Advanced Acting, Playwriting, Stage Management and Production, Dance and Movement for Actors, Musical and Classical Theatre, Senior Production Lab, Stagecraft Workshop, National Honor Society, Advanced Research, Honors Courses, PSAT & SAT Prep, CUNY College Now (Hunter College), Learning Through Expanded Arts Playwriting program (LeAp), August Wilson Monologue Competition, Young People’s Chorus of New York City, Roundabout Theatre Company (Playwriting, IATSE Career Days, Student Production Workshop), Shakespeare Society Competition",M896,8:15 AM,Functionally Accessible,Peter Jay Sharp Foundation
13K674,Spanish,"Basketball, Handball, Softball, Volleyball","Students may receive CTE endorsement in Pre-Engineering; National Academy Foundation's (NAF) Academy of Engineering and Academy of Information Technology, New York City College of Technology courses, paid industry internships",K580,8:30 AM,Functionally Accessible,"National Academy Foundation (NAF), Project Lead The Way, National Action Council for Minorities in Engineering"
12X479,"Italian, Spanish",,"College and Career Program, Internships, CUNY College Now, Virtual Online Courses, Advisory Program",X158,8:00 AM,Functionally Accessible,Solid Foundations for Healthy Families
17K531,"French, Spanish","Basketball, Bowling, Handball, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling","Downstate Medical Program, Urban Advantage, Participation in Government, Introduction to Law, Science, Anatomy and Physiology, Big Brothers Big Sisters, CUNY College Now, Global Kids, buildOn",K470,8:00 AM,Not Functionally Accessible,"Human Rights Education Associates, MediaRights, Amnesty International, Human Rights Watch, New Visions for Public Schools"
02M520,"American Sign Language, Chinese (Mandarin), Latin, Spanish","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball","Blazers Early College Preparatory Academy students have the opportunity to participate in educational science programs at the American Museum of Natural History and the Financial Women’s Association, and students take Syracuse University courses beginning in the eleventh grade. Our students work directly with their guidance counselors to obtain applications and scholarships for summer programs with major universities, including Syracuse University, to enhance college readiness. Other highlights include CUNY College Now, Sponsors for Educational Opportunity (SEO) and Virtual Enterprise. On-site Syracuse University courses for college credit; College counseling, Tutoring, Mentoring; Saturday and after-school academic programs.",M520,8:10 AM,Functionally Accessible,Asian Professional Extension (APEX) and Financial Women's Association (FWA)
10X141,"French, Spanish","Basketball, Cross Country, Outdoor Track, Soccer, Softball, Volleyball","All high school students take Regents-level English, mathematics, social studies, science and language courses. They also take physical education, music, art and elective classes as needed to meet or exceed state standards for graduation. Qualified students are enrolled in honors or Advanced Placement (AP) courses",X141,8:20 AM,Functionally Accessible,"Riverdale Mental Health Association, Health Corps"
30Q258,,,"Associate Degree - up to two years of college coursework in engineering; College classes as early as tenth grade; Internships and apprenticeships in later years of the program; Off-site technical training; Energy-focused projects through Solar One; Mentoring Program, College and career trips, Small-group supports; Daily advisory groups and team-building activities; FRC FIRST robotics, Monthly Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning; Tutoring and office hours available",Q204,8:45 AM,Not Functionally Accessible,
03M299,French,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling",Arts and inquiry-based instruction is integrated across the curriculum; Instruction for the integrated arts units is collaboratively planned and taught with teaching artists from Lincoln Center; Upper grade students are eligible for internship opportunities at Lincoln Center; Tuition-free college courses are offered on-campus through CUNY College Now at John Jay College of Criminal Justice and The City University of New York,M490,8:45 AM,Functionally Accessible,"International Institute for Restorative Practices, Office of the Mayor/NYC Service, PENCIL, SportsChallenge Leadership Academy"
08X348,Spanish,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Classical Education Model, Classics-based Curriculum, Dream Real Advisory Program, Success Development Plans, Success Coaches, Projects-based Learning, Socratic Seminar, Etymology Study for SAT, College and Career Counseling, Youth Leadership and Character Development, Test Prep and Academic Support, Local, National and International Travel, Mentorships, Internships, Apprenticeships, Work-Study, Family Partnership Program",X405,8:00 AM,Functionally Accessible,
12X267,Spanish,,"Advisory, Career and College Advisement, CUNY College Now Program through a partnership with Lehman College, CBI College Bound Initiative partnership, Kaplan SAT preparatory classes, After-school tutoring, Online Math Enrichment and Regents Prep Courses, College Visits, a2i Accessing Algebra Through Inquiry program (Algebra, Geometry, and Algebra II/Trigonometry)",X158,8:15 AM,Functionally Accessible,
18K563,"French, Spanish","Basketball, Bowling, Flag Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball","Multimedia Technology, Computer Information Systems, Math Internet Research, Robotics with NYU; Science Programs: Chemistry, Marine Biology, Physics, Geology, Biological Research, Health Exploration Classes; College Credits at ITAVA (Monroe College, Kingsborough Community College, Medgar Evers College, Bramsonort College); CUNY City Tech Saturday college credit-bearing classes; LIU Saturday SAT Prep; Online Courses and Publications, Art, Music, Regents and SAT Prep, CUNY College Now, Field Trips, Newspaper Forum, Advisory, Lifeguard Classes, Homework Center; Work Study",K415,8:15 AM,Functionally Accessible,"Committed Citizens for Excellence in Youth Education and Health (CCEYEH, Inc.)"
15K429,Spanish,Volleyball,"CUNY College Now with City Tech, iMac Lab, NYC Advanced Placement(AP) Initiative, Palazzo Strozzi/NYU Study Abroad Program, National Math and Science Initiative (NMSI), Honors Classes, SAT Prep, Visual Arts, Digital Cinema, Music, Computer Science, Advisory, National and Junior National Honor Societies, Yearbook, Student Government, Early College Awareness",K293,8:20 AM,Not Functionally Accessible,AVID (Advancement Via Individual Determination)
27Q302,Spanish,"Basketball, Soccer, Softball, Swimming, Tennis, Volleyball","Certification in IC3, preparation for Cisco Certification exam, programs in C++, Adobe, Cloud Applications, Life Application Research Project (LAP). Online courses offered, STEM (Science, Technology, Engineering and Math) focused areas of study",Q465,7:45 AM,Not Functionally Accessible,
