manhattan_condominium_property_condo_section,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,manhattan_condominium_property_gross_sqft,comparable_rental_2_building_classification,manhattan_condominium_property_year_built,manhattan_condominium_property_gross_income_per_sqft,manhattan_condominium_property_neighborhood,comparable_rental_2_full_market_value
1709-R1,40.740855,-73.994277,1015487.0,D5-ELEVATOR,214.0,FLATIRON,95000,D6-ELEVATOR,1906,43.0,FLATIRON,21300000.0
484-R1,40.729377,-74.001606,1066879.0,D1-ELEVATOR,164.0,GREENWICH VILLAGE-CENTRAL,17842,D9-ELEVATOR,1928,26.7,GREENWICH VILLAGE-CENTRAL,2670000.0
1902-R1,40.707047,-74.017439,1085778.0,D8-ELEVATOR,245.0,TRIBECA,438177,D8-ELEVATOR,2006,50.0,TRIBECA,87500000.0
28-R1,40.785114,-73.955114,1047142.0,D1-ELEVATOR,158.0,UPPER EAST SIDE (79-96),23232,D3-ELEVATOR,1980,36.4,UPPER EAST SIDE (79-96),4450000.0
148-R1,40.737327,-73.981326,1019731.0,D6-ELEVATOR,146.0,GRAMERCY,321079,D6-ELEVATOR,1931,35.0,GRAMERCY,25500000.0
1959-R1,40.72869,-73.987617,1006748.0,D9-ELEVATOR,142.0,LOWER EAST SIDE,13648,D7-ELEVATOR,1920,36.6,EAST VILLAGE,1560000.0
500-R1,40.779309,-73.949175,1073488.0,C4-WALK-UP,207.0,UPPER EAST SIDE (79-96),8345,C4-WALK-UP,1915,37.7,UPPER EAST SIDE (79-96),1860000.0
1081-R1,40.729534,-73.980379,1086159.0,D7-ELEVATOR,166.0,ALPHABET CITY,19119,D9-ELEVATOR,1999,29.0,ALPHABET CITY,2820000.0
731-R1,40.778915,-73.982033,1077846.0,D8-ELEVATOR,215.0,UPPER WEST SIDE (59-79),265469,D8-ELEVATOR,1991,40.0,UPPER WEST SIDE (59-79),79200000.0
1720-R1,40.721333,-73.983336,1087568.0,D6-ELEVATOR,105.0,LOWER EAST SIDE,34734,D1-ELEVATOR,2005,30.2,ALPHABET CITY,3680000.0
875-R1,40.745656,-73.999365,1013363.0,D9-ELEVATOR,212.0,CHELSEA,16083,D3-ELEVATOR,1911,42.9,CHELSEA,2130000.0
1969-R1,40.709749,-74.006792,1001263.0,D8-ELEVATOR,172.0,FINANCIAL,191740,D7-ELEVATOR,1940,35.0,SOUTHBRIDGE,27300000.0
796-R1,40.720763,-73.989585,1005515.0,D9-ELEVATOR,194.0,LOWER EAST SIDE,14100,D6-ELEVATOR,1900,25.5,LOWER EAST SIDE,2370000.0
267-R1,40.79505,-73.95055,1051516.0,D7-ELEVATOR,108.0,UPPER EAST SIDE (96-110),63284,D7-ELEVATOR,1925,28.4,UPPER EAST SIDE (96-110),4790000.0
702-R1,40.76452,-73.975528,1035250.0,D7-ELEVATOR,163.0,MIDTOWN WEST,68219,D6-ELEVATOR,1901,35.0,MIDTOWN WEST,18200000.0
1457-R1,40.722275,-74.011195,1002832.0,D9-ELEVATOR,252.0,CIVIC CENTER,163128,D6-ELEVATOR,2004,38.3,TRIBECA,35200000.0
597-R1,40.74871,-73.973567,1076162.0,D6-ELEVATOR,220.0,MURRAY HILL,235948,D6-ELEVATOR,1988,45.0,MURRAY HILL,40200000.0
164-R1,40.780641,-73.958277,1046862.0,D6-ELEVATOR,194.0,UPPER EAST SIDE (79-96),97767,D9-ELEVATOR,1924,33.2,UPPER EAST SIDE (79-96),17000000.0
2036-R2,40.76026,-73.998733,1087678.0,D7-ELEVATOR,159.0,CLINTON,994310,D8-ELEVATOR,2005,31.0,CLINTON,141000000.0
1648-R1,40.708445,-74.006886,1001115.0,D9-ELEVATOR,174.0,FINANCIAL,186512,D5-ELEVATOR,1927,43.4,FINANCIAL,62200000.0
1618-R1,40.721237,-73.981569,1079679.0,D6-ELEVATOR,246.0,ALPHABET CITY,36472,D3-ELEVATOR,2005,44.0,ALPHABET CITY,7610000.0
273-R1,40.748041,-73.977739,1018994.0,D1-ELEVATOR,146.0,MURRAY HILL,45116,D9-ELEVATOR,1963,35.0,MURRAY HILL,6700000.0
479-R1,40.741324,-73.99768,1068033.0,D9-ELEVATOR,116.0,CHELSEA,99750,D1-ELEVATOR,1962,30.0,CHELSEA,5810000.0
1312-R1,40.714955,-73.990066,1086162.0,D1-ELEVATOR,162.0,LOWER EAST SIDE,31406,D6-ELEVATOR,2002,30.2,LOWER EAST SIDE,6230000.0
445-R1,40.738753,-74.002562,1067567.0,D5-ELEVATOR,113.0,CHELSEA,209011,D7-ELEVATOR,1931,28.7,GREENWICH VILLAGE-WEST,14500000.0
94-R1,40.774253,-73.963296,1076779.0,D9-ELEVATOR,153.0,UPPER EAST SIDE (59-79),42054,D6-ELEVATOR,1982,41.6,UPPER EAST SIDE (59-79),8210000.0
1328-R1,40.749479,-73.998318,1013462.0,D1-ELEVATOR,240.0,CHELSEA,15480,D7-ELEVATOR,2002,38.8,CHELSEA,16400000.0
1453-R1,40.733949,-74.009461,1087065.0,D1-ELEVATOR,240.0,CHELSEA,72225,D7-ELEVATOR,2004,45.7,GREENWICH VILLAGE-WEST,16400000.0
1311-R1,40.782295,-73.965126,1000000.0,D7-ELEVATOR,292.0,UPPER WEST SIDE (59-79),377444,D3-ELEVATOR,1955,61.0,MIDTOWN WEST,63500000.0
130-R1,40.763155,-73.981745,1023166.0,D6-ELEVATOR,204.0,MIDTOWN WEST,223307,D6-ELEVATOR,1968,38.0,MIDTOWN WEST,61800000.0
299-R1,40.77154,-73.960749,1082906.0,D9-ELEVATOR,177.0,UPPER EAST SIDE (59-79),41754,D6-ELEVATOR,1986,40.0,UPPER EAST SIDE (59-79),4120000.0
1290-R1,40.718233,-73.991937,1086185.0,D9-ELEVATOR,238.0,ALPHABET CITY,7042,D1-ELEVATOR,2002,42.6,LOWER EAST SIDE,3220000.0
230-R1,40.763947,-73.966413,1083882.0,D9-ELEVATOR,167.0,UPPER EAST SIDE (59-79),4777,D7-ELEVATOR,1915,36.6,UPPER EAST SIDE (59-79),2880000.0
1116-R1,40.741456,-73.995154,1014747.0,D1-ELEVATOR,176.0,CHELSEA,32085,D9-ELEVATOR,1905,34.3,CHELSEA,11000000.0
1658-R1,40.724074,-74.000119,1087557.0,C7-WALK-UP,250.0,GREENWICH VILLAGE-CENTRAL,42823,D9-ELEVATOR,2005,43.0,SOHO,17300000.0
912-R1,40.777224,-73.959366,1046670.0,D9-ELEVATOR,159.0,UPPER EAST SIDE (79-96),52387,D3-ELEVATOR,1929,35.3,UPPER EAST SIDE (79-96),8390000.0
417-R1,40.775608,-73.982149,1070362.0,D8-ELEVATOR,232.0,UPPER WEST SIDE (59-79),239435,D8-ELEVATOR,1987,42.0,UPPER WEST SIDE (59-79),69700000.0
1138-R1,40.727009,-73.978407,1088368.0,D9-ELEVATOR,144.0,ALPHABET CITY,36046,D3-ELEVATOR,1999,30.8,ALPHABET CITY,4170000.0
1183-R1,40.724459,-73.979735,1085928.0,C4-WALK-UP,199.0,ALPHABET CITY,15704,C7-WALK-UP,2000,33.3,ALPHABET CITY,3280000.0
643-R1,40.729694,-73.988447,1006741.0,D1-ELEVATOR,157.0,EAST VILLAGE,14650,D5-ELEVATOR,1900,32.1,EAST VILLAGE,2200000.0
859-R1,40.736782,-73.993039,1016069.0,D9-ELEVATOR,331.0,FLATIRON,46424,D6-ELEVATOR,1907,35.0,FLATIRON,14500000.0
1692-R1,40.791071,-73.977032,1087454.0,D9-ELEVATOR,137.0,UPPER WEST SIDE (79-96),60480,D3-ELEVATOR,1920,28.0,UPPER WEST SIDE (79-96),8760000.0
817-R1,40.749815,-73.979338,1019123.0,D9-ELEVATOR,169.0,MURRAY HILL,51562,D9-ELEVATOR,1924,35.0,MURRAY HILL,8960000.0
401-R2,40.715221,-74.01124,1081076.0,D8-ELEVATOR,193.0,TRIBECA,138016,D9-ELEVATOR,1987,35.0,TRIBECA,25200000.0
398-R1,40.708921,-74.016505,1065199.0,D8-ELEVATOR,323.0,TRIBECA,106129,D8-ELEVATOR,1985,40.0,TRIBECA,77200000.0
1279-R1,40.754412,-73.965498,1040116.0,D9-ELEVATOR,241.0,MIDTOWN CBD,172926,D8-ELEVATOR,2002,50.0,MIDTOWN EAST,38100000.0
1960-R1,40.770568,-73.958439,1087912.0,D8-ELEVATOR,249.0,MIDTOWN EAST,208325,D7-ELEVATOR,2007,55.0,UPPER EAST SIDE (59-79),103000000.0
585-R1,40.777575,-73.951054,1083415.0,D6-ELEVATOR,160.0,UPPER EAST SIDE (79-96),16350,D9-ELEVATOR,1925,32.1,UPPER EAST SIDE (79-96),1880000.0
508-R1,40.784879,-73.979193,1070992.0,D6-ELEVATOR,255.0,UPPER WEST SIDE (79-96),132774,D6-ELEVATOR,1987,42.0,UPPER WEST SIDE (79-96),44800000.0
1921-R1,40.740811,-73.998026,1087846.0,D3-ELEVATOR,141.0,CHELSEA,70840,D1-ELEVATOR,2008,54.0,CHELSEA,5860000.0
1966-R1,40.767801,-73.967841,1087937.0,D8-ELEVATOR,183.0,MIDTOWN EAST,95425,D3-ELEVATOR,1929,41.9,UPPER EAST SIDE (59-79),19400000.0
340-R1,40.746162,-73.979129,1018549.0,D6-ELEVATOR,161.0,MURRAY HILL,270870,D6-ELEVATOR,1961,35.0,MURRAY HILL,49900000.0
363-R1,40.737556,-74.005041,1011455.0,D5-ELEVATOR,113.0,CHELSEA,159268,D7-ELEVATOR,1930,26.7,GREENWICH VILLAGE-WEST,14500000.0
1729-R1,40.764592,-73.966052,1042055.0,D6-ELEVATOR,241.0,UPPER EAST SIDE (59-79),128842,D6-ELEVATOR,1927,41.5,UPPER EAST SIDE (59-79),90800000.0
65-R1,40.706076,-74.004202,1001143.0,D9-ELEVATOR,168.0,ALPHABET CITY,24362,D7-ELEVATOR,1982,34.9,FINANCIAL,13500000.0
1314-R1,40.740408,-73.996341,1014670.0,D6-ELEVATOR,176.0,CHELSEA,54708,D9-ELEVATOR,1910,32.0,CHELSEA,11000000.0
270-R1,40.779008,-73.977642,1030111.0,D7-ELEVATOR,142.0,UPPER WEST SIDE (59-79),70100,D9-ELEVATOR,1952,30.0,UPPER WEST SIDE (59-79),10700000.0
573-R1,40.771936,-73.961113,1076301.0,D7-ELEVATOR,222.0,UPPER EAST SIDE (59-79),117892,D9-ELEVATOR,1929,36.5,UPPER EAST SIDE (59-79),36600000.0
1957-R1,40.705209,-74.009998,1087954.0,D5-ELEVATOR,203.0,FINANCIAL,477747,D6-ELEVATOR,2005,40.0,FINANCIAL,99000000.0
1052-R1,40.71916,-74.007201,1002128.0,C7-WALK-UP,154.0,TRIBECA,53468,D7-ELEVATOR,1915,30.5,TRIBECA,4110000.0
495-R1,40.728839,-74.003381,1066827.0,D9-ELEVATOR,196.0,GREENWICH VILLAGE-CENTRAL,15990,D5-ELEVATOR,1986,30.0,GREENWICH VILLAGE-WEST,4740000.0
1042-R1,40.714582,-74.010569,1001421.0,D9-ELEVATOR,252.0,CIVIC CENTER,54500,D6-ELEVATOR,2001,44.0,TRIBECA,35200000.0
364-R1,40.765152,-73.979199,1085969.0,D6-ELEVATOR,215.0,MIDTOWN WEST,399221,D6-ELEVATOR,1986,44.0,MIDTOWN WEST,66900000.0
654-R1,40.723231,-73.989617,1005620.0,D6-ELEVATOR,229.0,ALPHABET CITY,15170,D1-ELEVATOR,1900,25.4,LOWER EAST SIDE,3750000.0
347-R1,40.761431,-73.982142,1022710.0,D6-ELEVATOR,233.0,MIDTOWN WEST,328716,D6-ELEVATOR,1927,40.0,MIDTOWN WEST,91500000.0
646-R1,40.727809,-74.000206,1008250.0,D5-ELEVATOR,192.0,GREENWICH VILLAGE-CENTRAL,23688,D9-ELEVATOR,1958,26.0,GREENWICH VILLAGE-CENTRAL,4490000.0
1872-R1,40.784807,-73.978157,1032680.0,D6-ELEVATOR,163.0,UPPER WEST SIDE (79-96),176424,D7-ELEVATOR,1912,31.0,UPPER WEST SIDE (79-96),38600000.0
1199-R1,40.724636,-74.000743,1007713.0,D1-ELEVATOR,169.0,SOHO,31967,D1-ELEVATOR,1920,28.2,SOHO,7470000.0
517-R1,40.772169,-73.946801,1074035.0,D7-ELEVATOR,191.0,UPPER EAST SIDE (79-96),118052,D6-ELEVATOR,1988,40.7,UPPER EAST SIDE (79-96),20000000.0
735-R1,40.703627,-74.010607,1077806.0,D6-ELEVATOR,192.0,FINANCIAL,36500,D8-ELEVATOR,1920,35.0,FINANCIAL,11100000.0
614-R1,40.751446,-73.970051,1076276.0,D8-ELEVATOR,183.0,MIDTOWN EAST,122021,D3-ELEVATOR,1977,38.9,MIDTOWN EAST,19400000.0
1927-R1,40.709241,-74.008,1001199.0,D8-ELEVATOR,146.0,FINANCIAL,75285,D7-ELEVATOR,1908,22.38,FINANCIAL,8700000.0
1101-R1,40.763394,-73.969439,1041908.0,D3-ELEVATOR,,,158497,,1998,48.0,UPPER EAST SIDE (59-79),
1910-R1,40.742173,-73.998668,1080515.0,D7-ELEVATOR,199.0,CHELSEA,27784,D6-ELEVATOR,2006,43.0,CHELSEA,11600000.0
1827-R1,40.777754,-73.979629,1087731.0,D6-ELEVATOR,239.0,UPPER WEST SIDE (59-79),45900,D3-ELEVATOR,2007,47.0,UPPER WEST SIDE (59-79),10200000.0
733-R1,40.764394,-73.965579,1042051.0,D3-ELEVATOR,212.0,UPPER EAST SIDE (59-79),204524,D6-ELEVATOR,1959,42.0,UPPER EAST SIDE (59-79),37000000.0
627-R1,40.782573,-73.978757,1030909.0,D8-ELEVATOR,232.0,UPPER WEST SIDE (59-79),226556,D8-ELEVATOR,1975,35.0,UPPER WEST SIDE (59-79),69700000.0
696-R1,40.765978,-73.976972,1076843.0,D6-ELEVATOR,163.0,MIDTOWN WEST,78236,D7-ELEVATOR,1950,40.0,MIDTOWN WEST,13900000.0
1765-R1,40.745294,-73.97708,1087675.0,D6-ELEVATOR,230.0,MURRAY HILL,222784,D6-ELEVATOR,2007,45.0,MURRAY HILL,58000000.0
345-R1,40.76488,-73.964785,1042137.0,D6-ELEVATOR,241.0,UPPER EAST SIDE (59-79),216171,D6-ELEVATOR,1987,47.0,UPPER EAST SIDE (59-79),90800000.0
932-R1,40.718941,-74.006522,1079278.0,D5-ELEVATOR,175.0,CIVIC CENTER,24985,D5-ELEVATOR,1915,24.0,CIVIC CENTER,5870000.0
1984-R1,40.791448,-73.970181,1032528.0,D3-ELEVATOR,137.0,UPPER WEST SIDE (79-96),55008,D3-ELEVATOR,1925,27.0,UPPER WEST SIDE (79-96),8760000.0
503-R1,40.741905,-73.980726,1069515.0,D1-ELEVATOR,106.0,GRAMERCY,29535,D1-ELEVATOR,1965,30.0,GRAMERCY,3270000.0
79-R1,40.732607,-74.008818,1010422.0,D6-ELEVATOR,209.0,GREENWICH VILLAGE-WEST,88227,D1-ELEVATOR,1920,30.7,GREENWICH VILLAGE-WEST,11800000.0
1262-R1,40.77969,-73.987882,1086065.0,D6-ELEVATOR,215.0,UPPER WEST SIDE (59-79),602694,D8-ELEVATOR,2000,45.0,UPPER WEST SIDE (59-79),79200000.0
475-R1,40.756097,-73.964548,1071924.0,D1-ELEVATOR,216.0,MIDTOWN EAST,53435,D1-ELEVATOR,1941,36.2,MIDTOWN EAST,10800000.0
1599-R1,40.76224,-73.976298,1034808.0,D9-ELEVATOR,146.0,MIDTOWN WEST,44350,D3-ELEVATOR,1925,33.0,MIDTOWN WEST,6500000.0
1346-R1,40.776851,-73.952481,1049953.0,D1-ELEVATOR,158.0,UPPER EAST SIDE (79-96),7921,D1-ELEVATOR,1915,35.3,UPPER EAST SIDE (79-96),3730000.0
408-R1,40.776193,-73.984984,1070689.0,D6-ELEVATOR,139.0,UPPER WEST SIDE (59-79),471630,D6-ELEVATOR,1963,28.0,UPPER WEST SIDE (59-79),32800000.0
2024-R1,40.72173,-74.004308,1087488.0,D6-ELEVATOR,193.0,TRIBECA,146294,D9-ELEVATOR,2007,40.0,SOHO,25200000.0
1524-R1,40.765169,-73.977138,1023732.0,D7-ELEVATOR,88.0,MIDTOWN WEST,121921,D5-ELEVATOR,1926,38.0,MIDTOWN WEST,13200000.0
797-R1,40.730886,-73.99313,1080855.0,D9-ELEVATOR,246.0,GREENWICH VILLAGE-CENTRAL,445151,D9-ELEVATOR,1965,35.0,GREENWICH VILLAGE-CENTRAL,9320000.0
682-R1,40.769678,-73.956378,1044913.0,D6-ELEVATOR,145.0,UPPER EAST SIDE (59-79),119227,D9-ELEVATOR,1957,32.3,UPPER EAST SIDE (59-79),26500000.0
895-R1,40.774832,-73.956454,1048523.0,D6-ELEVATOR,258.0,UPPER EAST SIDE (79-96),194747,D6-ELEVATOR,1926,46.2,UPPER EAST SIDE (79-96),32900000.0
13-R1,40.759078,-73.976281,1035481.0,D7-ELEVATOR,270.0,MIDTOWN EAST,477801,D9-ELEVATOR,1973,47.0,MIDTOWN CBD,157000000.0
765-R1,40.767753,-73.961892,1043902.0,D6-ELEVATOR,204.0,UPPER EAST SIDE (59-79),408657,D8-ELEVATOR,1991,47.2,UPPER EAST SIDE (59-79),62700000.0
1664-R1,40.743868,-73.985341,1016902.0,D9-ELEVATOR,175.0,MURRAY HILL,42940,D9-ELEVATOR,1913,40.0,MURRAY HILL,7180000.0
301-R1,40.734764,-74.008851,1012012.0,D5-ELEVATOR,167.0,GREENWICH VILLAGE-WEST,48708,D1-ELEVATOR,1913,37.4,GREENWICH VILLAGE-WEST,9470000.0
639-R1,40.771837,-73.961185,1076302.0,D3-ELEVATOR,177.0,UPPER EAST SIDE (59-79),53255,D6-ELEVATOR,1925,39.1,UPPER EAST SIDE (59-79),7130000.0
174-R1,40.722665,-73.994033,1007413.0,C7-WALK-UP,169.0,SOHO,39087,D1-ELEVATOR,1915,25.5,LITTLE ITALY,7470000.0
964-R1,40.747459,-74.005673,1012329.0,D9-ELEVATOR,202.0,GREENWICH VILLAGE-WEST,72274,D5-ELEVATOR,1930,36.7,CHELSEA,6980000.0
1010-R1,40.72243,-74.00259,1079905.0,D1-ELEVATOR,144.0,SOHO,55210,C7-WALK-UP,1900,26.2,SOHO,4870000.0
1870-R1,40.743119,-73.987387,1016877.0,D6-ELEVATOR,214.0,FLATIRON,180112,D7-ELEVATOR,1912,43.0,FLATIRON,62800000.0
996-R1,40.717036,-74.009354,1001531.0,D8-ELEVATOR,154.0,TRIBECA,92487,D7-ELEVATOR,1910,34.1,TRIBECA,4110000.0
39-R1,40.732563,-73.991243,1009006.0,D6-ELEVATOR,270.0,GREENWICH VILLAGE-CENTRAL,83089,D9-ELEVATOR,1900,26.7,GREENWICH VILLAGE-CENTRAL,23400000.0
180-R1,40.777957,-73.960943,1046733.0,D3-ELEVATOR,206.0,UPPER EAST SIDE (79-96),22751,D1-ELEVATOR,1910,36.7,UPPER EAST SIDE (79-96),4730000.0
587-R1,40.744049,-73.981934,1076154.0,D7-ELEVATOR,170.0,MURRAY HILL,77154,D3-ELEVATOR,1988,45.0,MURRAY HILL,8150000.0
1003-R1,40.722709,-74.008994,1002840.0,D7-ELEVATOR,175.0,CIVIC CENTER,37785,D5-ELEVATOR,1930,28.5,TRIBECA,5870000.0
1617-R1,40.749417,-73.982867,1017178.0,D9-ELEVATOR,167.0,MURRAY HILL,76902,D9-ELEVATOR,1912,40.0,MURRAY HILL,15900000.0
259-R1,40.753386,-73.968844,1039077.0,D6-ELEVATOR,145.0,UPPER EAST SIDE (59-79),82112,D9-ELEVATOR,1962,31.4,MIDTOWN EAST,26500000.0
688-R1,40.776618,-73.98094,1029749.0,D8-ELEVATOR,,,179380,,1989,41.0,UPPER WEST SIDE (59-79),
