property_id,community_board,fuel_oil_5_6_use_kbtu,green_power_onsite_kwh,hospital_general_medical_12,multifamily_housing_number_2,performing_arts_gross_floor,electricity_use_generated_1,property_gfa_calculated_1,energy_star_score,estimated_data_flag,district_hot_water_use_kbtu,national_median_source_eui,library_gross_floor_area,water_use_intensity_all_water,data_center_it_energy,other_number_of_computers,data_center_it_equipment,occupancy,district_steam_use_kbtu,office_percent_that_can_be_1,census_tract,percent_of_electricity_that,year_built,food_sales_gross_floor_area,hospital_general_medical,site_eui_kbtu_ft,hospital_general_medical_8,hospital_general_medical_14,hospital_general_medical_5,electricity_use_grid_purchase_1,municipally_supplied_potable_2,difference_from_national_3,source_energy_use_kbtu,alert_gross_floor_area_is,percent_of_total_electricity,outdoor_water_use_all_water,egrid_output_emissions_rate,medical_office_weekly,multifamily_housing_total_1,fuel_oil_1_use_kbtu,financial_office_weekly,hospital_general_medical_1,national_median_source_energy,multifamily_housing_government,estimated_values_energy,data_quality_checker_date,hotel_worker_density_number,medical_office_gross_floor,senior_care_community_gross,hospital_general_medical_7,self_storage_facility_gross,pre_school_daycare_gross,convenience_store_with_gas_2,municipally_supplied_potable_1,diesel_2_use_kbtu,kerosene_use_kbtu,hotel_gross_floor_area_ft,parent_property_name,college_university_gross,estimated_data_flag_fuel,electricity_use_grid_purchase,source_eui_kbtu_ft,national_median_site_eui,multifamily_housing_total
4527649,406.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75541,58,No,Not Available,143,Not Available,20.66,Not Available,Not Available,Not Available,100,Not Available,Not Available,687.0,0,1958,Not Available,Not Available,66.2,Not Available,Not Available,Not Available,2325619.2,Not Available,Not Available,10014020.3,Ok,Not Available,Not Available,88.7,Not Available,Not Available,Not Available,Not Available,Not Available,10805004.8,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1560.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,2325619.2,132.6,71.4,Not Available
5975217,101.0,Not Available,Not Available,Not Available,12,Not Available,Not Available,1000585,1,No,Not Available,120.8,Not Available,1.42,Not Available,Not Available,Not Available,100,8225067.7,Not Available,7.0,0,1931,Not Available,Not Available,99.4,Not Available,Not Available,Not Available,85942070.2,Not Available,Not Available,285277005.3,Ok,Not Available,Not Available,92.8,Not Available,0.75233,Not Available,Not Available,Not Available,120881147.7,No,Yes,2017-07-26,0.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122875,Not Applicable: Standalone Property,Not Available,Not Available,85942061.8,285.1,42.1,612
2813824,108.0,Not Available,Not Available,Not Available,8,Not Available,Not Available,202841,27,No,Not Available,119.1,Not Available,37.5,Not Available,Not Available,Not Available,100,8438000.2,Not Available,11402.0,0,1927,Not Available,Not Available,69.5,Not Available,Not Available,Not Available,5665690.8,Not Available,Not Available,27941530.4,Ok,Not Available,Not Available,88.7,Not Available,0.63597,Not Available,Not Available,Not Available,24155187.2,No,No,2017-08-30,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7606.6,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,5665690.9,137.8,60.1,129
4519552,210.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1682250,19,No,Not Available,138.5,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,144.0,0,1953,Not Available,Not Available,113.1,Not Available,Not Available,Not Available,42276659,Not Available,Not Available,286702040.1,Ok,Not Available,Not Available,92.8,Not Available,0.87324,Not Available,Not Available,Not Available,233062877.7,No,No,2017-04-19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,THROGGS NECK/THROGGS NECK ADDITION CAMPUS,Not Available,No,42276667.4,170.4,91.9,1469
6215439,305.0,Not Available,Not Available,Not Available,36,Not Available,Not Available,248830,13,Yes,Not Available,196.7,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1220.0,0,1989,Not Available,Not Available,132.6,Not Available,Not Available,Not Available,14229121.6,Not Available,Not Available,64371140.3,Ok,Not Available,Not Available,88.7,Not Available,2.33895,Not Available,Not Available,Not Available,48957269.3,100% Yes,Yes,2018-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,14229120.6,258.7,100.8,582
2785354,314.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51744,43,No,Not Available,119.3,Not Available,89.62,Not Available,Not Available,Not Available,100,Not Available,Not Available,50804.0,0,1925,Not Available,Not Available,90.4,Not Available,Not Available,Not Available,723223.6,Not Available,Not Available,6419494.9,Ok,Not Available,Not Available,88.7,Not Available,1.2,Not Available,Not Available,Not Available,6171123.5,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4637.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,No,723223.6,124.1,87,62.09
3122085,503.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51000,Not Available,No,Not Available,123.1,Not Available,59.29,Not Available,Not Available,Not Available,100,Not Available,100,248.0,0,1984,Not Available,Not Available,132.8,Not Available,Not Available,Not Available,4760279.1,Not Available,Not Available,17061872.1,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,6279172.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3023.6,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,4760280.2,334.5,48.9,Not Available
5990844,105.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1754156,100,No,Not Available,158.1,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,119.0,0,1970,Not Available,Not Available,4.8,Not Available,Not Available,Not Available,3476309.4,Not Available,Not Available,16085075.1,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,277259669.8,Not Available,No,Not Available,0.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1754156,Not Applicable: Standalone Property,Not Available,Not Available,3476309.1,9.2,82.5,Not Available
5793963,403.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40600,21,No,Not Available,119.3,Not Available,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,399.0,0,1972,Not Available,Not Available,46.1,Not Available,Not Available,Not Available,1870270.7,Not Available,Not Available,5872650.1,Ok,Not Available,Not Available,92.8,Not Available,1.2,Not Available,Not Available,Not Available,4842061.2,Not Available,No,2017-03-21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1870270.7,144.6,38,48.72
4473909,104.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,647764,33,No,Not Available,152.2,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,97.0,0,1947,Not Available,Not Available,107.3,Not Available,Not Available,Not Available,17513444.6,Not Available,Not Available,109570540.9,Ok,Not Available,Not Available,92.8,Not Available,1.08527,Not Available,Not Available,Not Available,98615899.3,No,No,2017-04-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,ELLIOTT/CHELSEA ADDITION CAMPUS,Not Available,No,17513444.6,169.2,96.6,703
2977605,212.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,232000,Not Available,No,Not Available,243.2,Not Available,69.44,Not Available,Not Available,Not Available,100,Not Available,Not Available,46202.0,0,1951,Not Available,Not Available,196.2,Not Available,Not Available,Not Available,10475522.4,Not Available,Not Available,69676951.5,Ok,Not Available,Not Available,92.8,Not Available,Not Available,Not Available,Not Available,Not Available,56411690.7,Not Available,No,2017-06-15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,10475522.2,300.3,158.8,Not Available
5983624,106.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,130028,Not Available,No,Not Available,127.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,80.0,0,2002,Not Available,Not Available,77.1,Not Available,Not Available,Not Available,4245244.5,Not Available,Not Available,19400642.5,Ok,Not Available,Not Available,92.8,Not Available,0.06922,Not Available,Not Available,Not Available,16634506.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,4245244.5,149.2,66.1,9
4414964,101.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,145000,84,No,Not Available,119.3,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,21.0,0,1921,Not Available,Not Available,56.9,Not Available,Not Available,Not Available,2240489.5,Not Available,Not Available,13351543.3,Ok,Not Available,Not Available,92.8,Not Available,1.2,Not Available,Not Available,Not Available,17293075.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2240489.4,92.1,73.7,174
2831189,315.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2104000,6,No,Not Available,145,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,572.0,0,1950,Not Available,Not Available,150.8,Not Available,Not Available,Not Available,52874945.1,Not Available,Not Available,443648325.9,Ok,Not Available,Not Available,92.8,Not Available,1.01996,Not Available,Not Available,Not Available,305022055.9,No,No,2017-04-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,SHEEPSHEAD BAY/NOSTRAND CAMPUS,Not Available,No,52874956.4,210.9,103.7,2146
5983537,104.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,69228,Not Available,No,Not Available,127.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,115.0,0,2010,Not Available,Not Available,99,Not Available,Not Available,Not Available,2868809.6,Not Available,Not Available,13188846.8,Ok,Not Available,Not Available,92.8,Not Available,0.01445,Not Available,Not Available,Not Available,8856351.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2868809.6,190.5,66.4,1
4473971,401.0,Not Available,Not Available,Not Available,0,Not Available,Not Available,2533600,Not Available,No,Not Available,127.9,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,25.0,Not Available,1940,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,92.8,Not Available,1.24092,Not Available,Not Available,Not Available,324123925,No,No,2017-04-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENSBRIDGE NORTH/QUEENSBRIDGE SOUTH CAMPUS,Not Available,No,Not Available,Not Available,59.6,3144
4940466,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,153392,14,No,Not Available,119.3,Not Available,61.23,Not Available,Not Available,Not Available,100,Not Available,Not Available,115.0,0,2008,Not Available,Not Available,61,Not Available,Not Available,Not Available,6588135.3,Not Available,Not Available,23593376.8,Ok,Not Available,Not Available,92.8,Not Available,1.2,Not Available,Not Available,Not Available,18293927.3,Not Available,No,2017-07-21,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9392.2,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,6588135.5,153.8,47.3,184.07
