project_id,ceqr_number,certified_referred,current_envmilestone_date
2020M0202,20DCP056M,2019-11-06T00:00:00.000,
2021X0108,22DCP178X,2023-04-10T00:00:00.000,2023-08-02T00:00:00.000
2020K0316,19HPD062K,2021-12-13T00:00:00.000,
2020K0285,,2019-12-02T00:00:00.000,
P1977M0512,,1977-08-22T00:00:00.000,
2020R0111,20DCP007R,2019-08-07T00:00:00.000,
P1985M0176,83-188M,1984-08-27T00:00:00.000,
2020K0287,,2019-12-02T00:00:00.000,
2020Q0353,24DCP083Q,,2025-09-30T00:00:00.000
P1977K0396,,1977-08-22T00:00:00.000,
P1977Q0262,,1977-04-25T00:00:00.000,
P1985K1134,85-113K,2011-01-31T00:00:00.000,
P1985K1122,85-085K,2011-01-31T00:00:00.000,
P1977K0446,,1977-08-01T00:00:00.000,
P1977X0383,,1977-12-27T00:00:00.000,
2019K0405,,,
P1977M0485,,1977-03-21T00:00:00.000,
2020Q0174,18DOS008Q,2020-01-21T00:00:00.000,
P1977M0116,,1976-11-29T00:00:00.000,
2020M0503,21HPD004M,2021-08-30T00:00:00.000,
P1977K0061,,1977-07-18T00:00:00.000,
2021M0308,21DCP181M,2021-10-27T00:00:00.000,
P1977M0492,,1977-09-19T00:00:00.000,
2021M0192,23DCP070M,2023-07-10T00:00:00.000,2023-06-30T00:00:00.000
P1985K1090,85-037K,2011-01-31T00:00:00.000,
P1985M0098,85-029M,1985-01-28T00:00:00.000,
P1984Y0992,83-225,2011-01-31T00:00:00.000,
P1977Y0055,,1979-11-16T00:00:00.000,
2020R0350,20DCP097R,2020-01-29T00:00:00.000,
2020R0264,24DCP078R,,
2019M0450,22DCP167M,2022-11-28T00:00:00.000,
P1977Q0168,,1977-01-24T00:00:00.000,
2025R0312,26DCP009R,2025-10-15T00:00:00.000,
2020K0289,21DCP199K,2023-02-13T00:00:00.000,2023-06-07T00:00:00.000
2020Q0263,,,
P1984Y1239,84-026,2011-01-31T00:00:00.000,
2020R0332,20DCP093R,2021-02-24T00:00:00.000,
2019M0454,20DCP026M,2019-10-18T00:00:00.000,
P1977M0509,,1977-04-25T00:00:00.000,
P1984Y1177,84-130,2011-01-31T00:00:00.000,
P1985K0456,,1985-08-30T00:00:00.000,
P1977X0531,,1977-08-08T00:00:00.000,
2020M0385,24DCP115M,2025-09-15T00:00:00.000,2025-09-12T00:00:00.000
2020K0286,,2019-12-02T00:00:00.000,
P1977Q0156,,1977-02-15T00:00:00.000,
2020R0324,20DCP087R,,
P1977M0384,,1977-09-06T00:00:00.000,
2025M0346,26DCP026M,,
P1977K0466,,1978-03-20T00:00:00.000,
2020K0491,23DCP033K,2023-05-22T00:00:00.000,2023-05-17T00:00:00.000
2020M0325,,,
2020M0433,22DCP191M,,
2020M0301,21DCP115M,2021-07-21T00:00:00.000,
P1985K0248,,1984-12-26T00:00:00.000,
P1977Y0005,,1976-10-18T00:00:00.000,
P1977Y0258,,1977-05-31T00:00:00.000,
P1977M0181,,1977-01-10T00:00:00.000,
2020K0205,,,
P1978K0210,,1977-12-27T00:00:00.000,
P1977K0012,,1977-06-06T00:00:00.000,
P1977K0203,,1977-04-28T00:00:00.000,
P1985K1165,85-161K,2011-01-31T00:00:00.000,
2020M0193,,,
2019M0452,,,
2019Q0440,20DCP125Q,2021-10-04T00:00:00.000,2021-01-11T00:00:00.000
P1985M0217,,1984-11-30T00:00:00.000,
P1977K0048,,1976-10-05T00:00:00.000,
P1985K1244,85-328K,2011-01-31T00:00:00.000,
P1984Y1010,83-287,2011-01-31T00:00:00.000,
2020R0415,22DCP051R,2021-11-10T00:00:00.000,
2020R0192,20DCP034R,2019-10-23T00:00:00.000,
P1985K0059,,1985-04-16T00:00:00.000,
