applicationtrackingid,boroughname,permitlocationcomments,oftcode,permithousenumber,permitlinearfeet,permittypedesc,permitstatusid,equipmenttypedesc,tostreetname,permitseriesid
2025071000649626,BROOKLYN,,,1911,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE T,16
2025071400075803,BROOKLYN,,,5504,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,56 STREET,16
2025071400014220,BROOKLYN,FULL WIDTH OF INTERSECTION.,,,60.0,DEP CONTRACTOR MAJOR INSTALLATION SEWER,010,,,1
2025071000593826,BROOKLYN,1268 EAST 14 STREET,,,,COMMERCIAL REFUSE CONTAINER,030,,EAST   14 STREET,16
2025070900494616,BROOKLYN,IN STREET,,,,COMMERCIAL REFUSE CONTAINER,030,,10 AVENUE,16
2025070801042520,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,13 AVENUE,1
2025071100077006,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,PARK AVENUE,3
2025070900221266,BROOKLYN,,,130-140,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,MYRTLE AVENUE,16
2020120100588813,MANHATTAN,304' EEC of 8 Ave &amp; 6' NSC of W 132 St,1.3641011061011082e+17,,10.0,FINAL RESTORATION ONLY - PROTECTED,030,,8 AVENUE,1
2025071100218040,BROOKLYN,El Regreso,,,,COMMERCIAL REFUSE CONTAINER,030,,DRIGGS AVENUE,16
2025071400901880,BROOKLYN,,,1077-1081,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE J,16
2025070800288576,MANHATTAN,,,828,,MISCELLANEOUS - BUILDER'S PAVEMENT,006,,MADISON AVENUE,0
2025070900395066,BROOKLYN,,,4899,,OCCUPANCY OF ROADWAY AS STIPULATED,030,,49 STREET,2
2025070700002573,BROOKLYN,,,,,OCCUPANCY OF ROADWAY AS STIPULATED,030,,SMITH STREET,2
2020122800073103,BROOKLYN,,3.257303426303612e+17,,5.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,MINNA STREET,1
2025071501070666,BROOKLYN,,,2090,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE U,16
2025071400675920,BROOKLYN,,,1163,,COMMERCIAL REFUSE CONTAINER,030,,12 AVENUE,16
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071400009010,BROOKLYN,,,1752,,COMMERCIAL REFUSE CONTAINER,030,,QUENTIN ROAD,16
2025071100835100,BROOKLYN,,,31-35,,COMMERCIAL REFUSE CONTAINER,030,,RICHARDS STREET,16
2025071500976823,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,NORMAN AVENUE,15
2025071000622963,BROOKLYN,,,290,,COMMERCIAL REFUSE CONTAINER,030,,HARRISON AVENUE,16
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071100204553,BROOKLYN,,,2787,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,GLENWOOD ROAD,16
2025070900167566,BROOKLYN,1957 EAST 1 ST,,1957,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE T,16
2025071400620500,BROOKLYN,,,316,,COMMERCIAL REFUSE CONTAINER,030,,4 AVENUE,16
2025071500442450,BROOKLYN,,,2653,,COMMERCIAL REFUSE CONTAINER,030,,FOSTER AVENUE,16
2025071400258626,MANHATTAN,,,501,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,11 AVENUE,16
2025071500976823,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071100604146,BROOKLYN,,,922,,COMMERCIAL REFUSE CONTAINER,030,,FT HAMILTON PARKWAY,16
2025070900508780,BROOKLYN,,,731a,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,NASSAU AVENUE,16
2025071100894666,BROOKLYN,IN STREET,,,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,NORMAN AVENUE,16
2025071100428553,BROOKLYN,,,506,,OCCUPANCY OF ROADWAY AS STIPULATED,030,,8 AVENUE,2
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071100240690,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071100624280,BROOKLYN,28 Prospect Pk W,,,,COMMERCIAL REFUSE CONTAINER,030,,PROSPECT PARK WEST,16
2025071100176916,BROOKLYN,,,57-61,,COMMERCIAL REFUSE CONTAINER,030,,NASSAU AVENUE,16
2025071100289283,BROOKLYN,DEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2.025071600925616E+15,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,JAVA STREET,15
2025071400657833,BROOKLYN,,,529,,COMMERCIAL REFUSE CONTAINER,030,,6 AVENUE,16
2025071500976823,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,MESEROLE AVENUE,15
2025070901044060,MANHATTAN,8 AVENUE between WEST 31 STREET and WEST 33 STREET,,,100.0,REPAIR ELECTRIC/COMMUNICATIONS,020,,WEST   33 STREET,1
2025071501218280,BROOKLYN,Container place at 1721 E 34 Street Brooklyn,,1721,,COMMERCIAL REFUSE CONTAINER,030,,QUENTIN ROAD,16
2025071100623636,BROOKLYN,155 E 51st St,,,,COMMERCIAL REFUSE CONTAINER,030,,EAST   52 STREET,16
2021022200094833,BROOKLYN,,3.2553035083037344e+17,527,300.0,REPAIR GAS - PROTECTED,030,,ROCKAWAY AVENUE,1
2025071100285123,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,FLATLANDS AVENUE,15
2025071100309886,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,GREENPOINT AVENUE,15
202507140021134016.00%,BROOKLYN,,,81,,COMMERCIAL REFUSE CONTAINER,030,,HENRY STREET,16
2025071100019990,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,DOBBIN STREET,15
2025071100289283,BROOKLYN,DEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071400328940,BROOKLYN,,,58,,COMMERCIAL REFUSE CONTAINER,030,,NARROWS AVENUE,16
2025071300011853,BROOKLYN,,,338,,COMMERCIAL REFUSE CONTAINER,030,,5 AVENUE,16
2.025070801045400E+15,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025070900974930,MANHATTAN,INTERSECTION OF GREENWICH ST AND JANE ST,,,10.0,DEP CONTRACTOR MAJOR INSTALLATION WATER,020,,,1
2025071100285123,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071100706800,BROOKLYN,52 BERKELEY PL,,52,,COMMERCIAL REFUSE CONTAINER,030,,6 AVENUE,16
2025071000762880,BROOKLYN,AKA 60 SOUTH 8TH ST,,,,COMMERCIAL REFUSE CONTAINER,030,,SOUTH    9 STREET,16
2025070801042520,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,FT HAMILTON PARKWAY,1
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,OAK STREET,15
2025071000062590,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071000650456,MANHATTAN,,,200,,COMMERCIAL REFUSE CONTAINER,030,,PEDESTRIAN OVERPASS,16
2025071100176916,QUEENS,,,109-01,,COMMERCIAL REFUSE CONTAINER,030,,QUEENS BOULEVARD,16
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,KENT STREET,15
2025070801045400,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071100752800,BROOKLYN,138 71st Street,,138,,COMMERCIAL REFUSE CONTAINER,030,,RIDGECREST TERRACE,16
2.025071100401750E+15,BROOKLYN,,,1017,,COMMERCIAL REFUSE CONTAINER,030,,FT HAMILTON PARKWAY,16
2025071400381326,BROOKLYN,STRUCTURE M13802,,,300.0,REGRADE HARDWARE,020,,HUMBOLDT STREET,1
2025071000609883,BROOKLYN,,,163,,COMMERCIAL REFUSE CONTAINER,030,,HICKS STREET,16
2025071100299793,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071100240690,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025070900936330,MANHATTAN,cable failure,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071400614110,BROOKLYN,,,287,,COMMERCIAL REFUSE CONTAINER,030,,SMITH STREET,16
2025071100551320,BROOKLYN,Actual work location 1262 East 7th Street,,,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE L,16
2025071400569563,MANHATTAN,STEAM,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071100214323,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071800067326,MANHATTAN,svso,,647,,UTILITY MANHOLE EMBARGO PERMIT,030,,EAST   52 STREET,3
202507080104540000.00%,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025070801072910,BROOKLYN,,,1428,,TEMPORARY PEDESTRIAN WALK,030,,15 AVENUE,2
2025071300005210,MANHATTAN,,,230,,COMMERCIAL REFUSE CONTAINER,030,,WEST END AVENUE,16
2025071100784750,BROOKLYN,284 Sterling Pl,,284,,COMMERCIAL REFUSE CONTAINER,030,,VANDERBILT AVENUE,16
2025070801042520,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071200143990,BROOKLYN,,,577,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,LAMONT COURT,16
2025070900822496,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2.025071000103193E+15,BROOKLYN,,,2684,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,DESMOND COURT,16
2025071800408716,MANHATTAN,,,,,MISCELLANEOUS - MINOR SALES,006,,,0
2025071100176916,BROOKLYN,,,982-986,,COMMERCIAL REFUSE CONTAINER,030,,DEAD END,16
2025071100138553,BROOKLYN,S. AHAMID CONST. 347 219 7909,,514,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,12 STREET,16
2025071100900510,BROOKLYN,,,603,,COMMERCIAL REFUSE CONTAINER,030,,LIVONIA AVENUE,16
2025071000051730,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071400057950,MANHATTAN,STEAM,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,WEST   62 STREET,3
2025071100040943,BROOKLYN,BOX ON NORTH 11TH ST,,,,COMMERCIAL REFUSE CONTAINER,030,,DRIGGS AVENUE,16
2025071000304580,BROOKLYN,,,194,,COMMERCIAL REFUSE CONTAINER,030,,4 AVENUE,16
2025071000363286,BROOKLYN,,,152,,COMMERCIAL REFUSE CONTAINER,030,,COURT STREET,16
2025071400013860,BROOKLYN,FULL LENGTH OF BLOCK.,,,600.0,DEP CONTRACTOR MAJOR INSTALLATION SEWER,010,,UTICA AVENUE,1
202507150097682304.00%,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,DRIGGS AVENUE,15
2025071100358203,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,SHORE BOULEVARD,15
2025071000769630,BROOKLYN,,,675,,COMMERCIAL REFUSE CONTAINER,030,,SUTTER AVENUE,16
2025070700660043,BROOKLYN,,,,52.0,INSTALL TRAFFIC SIGNALS,020,,ROCKAWAY PARKWAY,1
2025070900972283,BROOKLYN,,,2121,,COMMERCIAL REFUSE CONTAINER,030,,DEAD END,16
2025071400003596,BROOKLYN,Container place at 250 Union Avenue Brooklyn,,250,,COMMERCIAL REFUSE CONTAINER,030,,SCHOLES STREET,16
2020111900186910,BROOKLYN,,3.2573030628038445e+17,,5.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,TEHAMA STREET,1
2025071501193440,MANHATTAN,,,40,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,AVENUE OF THE AMERICAS,16
2025070801042520,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING-PROTECTED,010,,,1
2025071000622963,BROOKLYN,,,1055,,COMMERCIAL REFUSE CONTAINER,030,,11 AVENUE,16
2025071400388756,BROOKLYN,,,55,,DOT USE ONLY-FULL ROADWAY CLOSURE APPL'S,030,,LAWRENCE STREET,15
2025071200079816,BROOKLYN,,,266,,COMMERCIAL REFUSE CONTAINER,030,,WATERBURY STREET,16
2025071000363286,BROOKLYN,,,1519,,COMMERCIAL REFUSE CONTAINER,030,,EAST   16 STREET,16
2025071100137570,BROOKLYN,On front of the house,,1813,,COMMERCIAL REFUSE CONTAINER,030,,19 AVENUE,16
2025071100365930,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071000863870,BROOKLYN,,,1791,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,AVENUE M,16
2025071000906810,BROOKLYN,,,498,,COMMERCIAL REFUSE CONTAINER,030,,DORCHESTER ROAD,16
2025071100253423,BROOKLYN,PBGC 929 677 8585,,3524,,COMMERCIAL REFUSE CONTAINER,030,,CHESTER AVENUE,16
2025070801045400,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071000235320,BROOKLYN,,,102,,COMMERCIAL REFUSE CONTAINER,030,,GRAND AVENUE,16
2025070900419806,BROOKLYN,AKA 245 WILSON AVE,,,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,WILSON AVENUE,16
2025071500046970,BROOKLYN,,,1582,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,HERZL STREET,16
2025070900606060,BROOKLYN,,,64,,COMMERCIAL REFUSE CONTAINER,030,,KANE STREET,16
2025071400993773,BROOKLYN,,,133,,COMMERCIAL REFUSE CONTAINER,030,,MANHATTAN AVENUE,16
2025071100300713,BROOKLYN,,,265,,COMMERCIAL REFUSE CONTAINER,030,,LAWRENCE AVENUE,16
2025071000194910,BROOKLYN,2 BELMONT AVE. CROSS BORDER 929 991 4500,,,,COMMERCIAL REFUSE CONTAINER,030,,SUTTER AVENUE,16
2025071100261513,BROOKLYN,Theatre for New Audience,,85,,COMMERCIAL REFUSE CONTAINER,030,,LAFAYETTE AVENUE,16
2025071100630250,BROOKLYN,,,543,,COMMERCIAL REFUSE CONTAINER,030,,DEVOE STREET,16
2025071700180733,MANHATTAN,svso,,51,,UTILITY MANHOLE EMBARGO PERMIT,030,,PARK AVENUE,3
2025070801045400,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071600522746,MANHATTAN,steam,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2021080400367356,BROOKLYN,,3.2553035083037344e+17,557,300.0,TRIBUTARY INSTALL - GAS - PROTECTED,030,,ROCKAWAY AVENUE,1
2025071500161270,BROOKLYN,,,,52.0,INSTALL TRAFFIC SIGNALS,020,,ROCKAWAY PARKWAY,1
2025071100240690,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,NORTH   12 STREET,15
2025070801045400,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,11 AVENUE,1
2025071501190243,BROOKLYN,,,558,,COMMERCIAL REFUSE CONTAINER,030,,6 AVENUE,16
2025071800067326,MANHATTAN,SEA T/OFF,,46,,UTILITY MANHOLE EMBARGO PERMIT,030,,RECTOR STREET,3
2025071100847450,BROOKLYN,460 DRIGGS AVE TINO CONST 443 876 5972,,,,COMMERCIAL REFUSE CONTAINER,030,,NORTH   11 STREET,16
2025071000051730,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025061900262583,BROOKLYN,,,1505,,OCCUPANCY OF ROADWAY AS STIPULATED,030,,TROY AVENUE,2
2025071000048023,BROOKLYN,,,129-133,,COMMERCIAL REFUSE CONTAINER,030,,MANHATTAN AVENUE,16
2025071100660093,BROOKLYN,,,604-608,,COMMERCIAL REFUSE CONTAINER,030,,KINGSTON AVENUE,16
2025071100309886,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071000051730,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,BROADWAY,3
2025071300005210,BROOKLYN,,,5220,,COMMERCIAL REFUSE CONTAINER,030,,EAST   53 STREET,16
2025070801306400,BROOKLYN,North parking lane,,109,,PLACE OPEN CONSTRUCTION DEBRIS CONTAINER ON STREET,030,,BERRY STREET,2
2025071500976823,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071100234853,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071000721266,BROOKLYN,,,2653,,COMMERCIAL REFUSE CONTAINER,030,,FOSTER AVENUE,16
2025071100234853,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,VANDERVOORT AVENUE,15
2025071400360120,BROOKLYN,Container place at 1446 73 Street Brooklyn,,1446,,COMMERCIAL REFUSE CONTAINER,030,,15 AVENUE,16
2025071400598230,MANHATTAN,INTERSECTION,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025070900507320,BROOKLYN,,,1410,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE O,16
2025071100260413,BROOKLYN,69 FT GREEN PLACE,,,,COMMERCIAL REFUSE CONTAINER,030,,FULTON STREET,16
2025071400707820,BROOKLYN,,,7210,,COMMERCIAL REFUSE CONTAINER CRITICAL STS,030,,WEST   12 STREET,16
2025071400484636,BROOKLYN,,,943,,COMMERCIAL REFUSE CONTAINER,030,,10 AVENUE,16
2025071100389493,BROOKLYN,,,531,,COMMERCIAL REFUSE CONTAINER,030,,LIVONIA AVENUE,16
2.025071400749493E+15,BROOKLYN,,,267,,COMMERCIAL REFUSE CONTAINER,030,,5 AVENUE,16
2025071001017363,MANHATTAN,19451309,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,WATER STREET,3
2025071600786650,MANHATTAN,STEAM,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,WEST   55 STREET,3
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2020122800073103,BROOKLYN,,3.2573030628038445e+17,,5.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,TEHAMA STREET,1
2025071400869660,MANHATTAN,ave c &amp; e16,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,,3
2025071000048023,BROOKLYN,,,1077-1081,,COMMERCIAL REFUSE CONTAINER,030,,AVENUE J,16
2025071000593826,BROOKLYN,2044 21 DRIVE,,,,COMMERCIAL REFUSE CONTAINER,030,,CROPSEY AVENUE,16
2025071000571690,BROOKLYN,,,1042,,PLACE CRANE OR SHOVEL ON STREET,030,,GRAND AVENUE,2
2025071100240690,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071400428653,BROOKLYN,,,253,,COMMERCIAL REFUSE CONTAINER,030,,SMITH STREET,16
2025071000062590,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,WEST   62 STREET,3
2021110800781736,BROOKLYN,IN SIDEWALK,3.392303301503946e+17,,300.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,WORTMAN AVENUE,1
2025070801045400,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071500348630,BROOKLYN,In front of address,,389,,COMMERCIAL REFUSE CONTAINER,030,,PITKIN AVENUE,16
2025071100285123,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,AVENUE J,15
2025071600925616,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071500370743,BROOKLYN,,,394,22.0,REPAIR SIDEWALK,030,,GREENE AVENUE,4
2025071000062590,MANHATTAN,MH,,,,UTILITY MANHOLE EMBARGO PERMIT,030,,EAST   67 STREET,3
2025071100119983,BROOKLYN,,,26,,COMMERCIAL REFUSE CONTAINER,030,,HENRY STREET,16
2025071500112986,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE MILLING,030,,,15
2025071200079816,BROOKLYN,,,145,,COMMERCIAL REFUSE CONTAINER,030,,PARK AVENUE,16
2025071100234853,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,ORIENT AVENUE,15
2025071100351280,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,SHORE BOULEVARD,15
2025071400714673,BROOKLYN,,,194,,COMMERCIAL REFUSE CONTAINER,030,,4 AVENUE,16
2025071500309893,BROOKLYN,,,1158,,COMMERCIAL REFUSE CONTAINER,030,,NEW UTRECHT AVENUE,16
2025070901054683,BROOKLYN,,,133,,COMMERCIAL REFUSE CONTAINER,030,,MANHATTAN AVENUE,16
2020111900186910,BROOKLYN,,3.257303426303612e+17,,5.0,"TEST PITS, CORES OR BORING - PROTECTED",030,,MINNA STREET,1
2025070801042520,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,,5280.0,CONTRACT ROADWAY MILLING,020,,,1
2025071500474150,BROOKLYN,,,283,,COMMERCIAL REFUSE CONTAINER,030,,VANDERBILT AVENUE,16
2025071100358203,BROOKLYN,SEGMENT AND INTERSECTION,,,,DOT IN-HOUSE PAVING,030,,,15
2025071800070156,MANHATTAN,16 E 20 ST,,900,,UTILITY MANHOLE EMBARGO PERMIT,030,,EAST   20 STREET,3
2025070801072910,BROOKLYN,,,1428,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,030,Concrete Pump,15 AVENUE,2
