addlocationinfo1,dueday,percentagefeedate,augustminfee,origcontracexpdate,capitalworkreq,concessionstate,contractstatus,annualminimumfees1,annualminimumfees5,propertyid,grossreceiptdate
ASTORIA POOL,1.0,,2553.13,09/15/03,N,,EXP,"10,200.00",,150.0,**/10
EYBALL  A,1.0,,753.5,12/31/05,N,,EXPIRED 12/31/05,"4,100.00",,175.0,**/10
65TH PLACE AND 68TH,1.0,,0.0,12/31/08,N,,EXPIRED,"2,000.00",,195.0,**/10
PERIMETER OF PARK,1.0,,258.0,12/31/05,N,,TERM 06/16/05,$600.00,,65.0,**/10
"@ 56TH ST, IN FRONT",1.0,,962.0,12/31/15,N,,,"1,983.66","8,000.00",37.0,02/28/**
BAYSIDE AVE B/W 155,1.0,,0.0,12/31/12,N,,TERMINATED,"1,000.00","6,000.00",152.0,**/10
NEAR NRTHNR INTER OF,1.0,,2050.0,12/31/14,N,,,0.00,"14,530.00",175.0,**/10
SKILLMAN AVENUE & 43,1.0,,270.0,12/31/05,N,,EXPIRED 12/31/05,$600.00,,199.0,**/10
W 83RD & RSD,15.0,,5466.0,12-31-04,N,,EXPIRED,"8,800.00",,118.0,**-10
FROM STATE ST. TO,1.0,,0.0,12/31/2000,N,,EXPIRED,"8,500.00",,81.0,**/10
"BALL FIELDS 1&2,",1.0,,195.0,12-31-02,N,,TERMINATED 04-11-01,600.00,,136.0,**-10
LEMON CREEK PARK,1.0,,10700.0,12/31/2010,Y,,EXPIRED,"78,750.00","95,721.00",223.0,QUARTERLY-30
COLONIAL RD 83RD & 85TH STS,1.0,,583.0,12/31/26,NO,,,,,55.0,**/30
DBG,1.0,**/30,55555.0,01/14/24,Y,NY,,"400,000.00","400,000.00",18.0,**/30
61 STREET & 48 AVE.,1.0,,0.0,12/31/06,N,,TERM 09/20/05,$475.00,,190.0,**/10
LEMON CREEK PARK,1.0,,10700.0,12/31/30,Y,,,"123,389.00","128,399.00",223.0,**/30
2ND AVE BT 55TH ST,1.0,,962.0,12/31/2000,N,,EXPIRED,"11,500.00",,37.0,**/10
OUTER PATHWAY NR,1.0,,430.0,12/31/14,N,,,0.00,"2,300.00",175.0,**/10
WOLLMAN & LASKER,1.0,10/30/**,61537.0,04/30/21,Y,,,"1,316,000.00","1,530,000.00",90.0,**/30
AN AVENUE A,1.0,,566.0,12/31/15,N,,,627.30,"2,800.00",108.0,**/60/**
SOUTHERN END OF RUNNING TRACK @VICTORY,1.0,,110.0,12/31/19,NO,,,,,159.0,**/10
MILL AVE @ ENTRANCE TO PARK B/W E60TH PL & STRICKLAND AVE,1.0,,258.0,12/31/22,NO,,EXPIRED,,,65.0,**/30
NEAR THE MUSEUM,10.0,,0.0,12/31/09,N,,EXPIRED,"188,500.00",,113.0,**/10
KINGSTON & BROOKLYN,1.0,,0.0,09/16/01,N,,EXPIRED,,,63.0,**-10
"PIER 7, BERTH 2 EAST",1.0,,0.0,04/30/04,N,,TERM,,,70.0,
"PIER 8, BERTH 2 WEST",1.0,,0.0,04/30/07,N,,EXPRED,"8,949.11",,70.0,
NEAR PLYGD & BALLFIELDS OFF PARK ENTRANCE,1.0,,833.0,12/31/23,NO,,EXPIRED,,,208.0,**/30
court & joralemon,1.0,,0.0,05/30/2002,N,,EXP,"30,000.00",,15.0,**/10
NE OF COLUMBUS AVE.,1.0,,0.0,12/31/08,N,,EXPIRED,"5,500.00",,113.0,**/10
ENTRANCE AT JAMAICA,1.0,,0.0,12/31/07,N,,EXPIRED,"4,000.00",,21.0,**/10
MADISON & HENRY ST.,1.0,,0.0,12/31/2001,N,,EXP,$600.00,,140.0,**/10
SOCCER FIELDS NEAR,1.0,,0.0,12/31/04,N,,REL,"5,500.00",,175.0,**/10
NORTH CORNER OF SOCCER FIELD #5,1.0,,139.0,12/31/21,NO,,EXPIRED,,,175.0,**/30
CENTRAL PARK WEST &,1.0,,9000.0,12/2/2011,,,EXPIRED,"$89,250",,88.0,**/10
"PIER #8, BERTH 1W",1.0,,0.0,04/30/2009,N,,EXPIRED,,,70.0,
,1.0,,67958.0,10/15/99,N,,EXP,,,72.0,**/10
FT. WASHINGTON &,15.0,,0.0,12-31-02,N,,TERM,"1,000.00",,128.0,**-10
19TH ST AND 23RD TERRACE,1.0,,2553.13,09/02/2030,NO,,,,,150.0,**/30
Near Northern intersection of Ave of Progress & Ave of Commerce,1.0,,2050.0,12/31/19,NO,,,,,175.0,**/10
BAY PARKWAY & SHORE,15.0,,0.0,12-31-03,N,,TERM 12/7/01,"2,500.00",,11.0,**-10
MANHATTAN BEACH PARK,1.0,,0.0,05/12/2019,,,,,,62.0,**/30 QUARTERLY
WESTERN END OF PL,1.0,,0.0,12-31-02,N,,EXPIIRED,"12,000.00",,129.0,**/10
LUCILLE FERRIER PLGD,10.0,,367.0,11-30-04,B,,EXPIRED,"1,600.00",,19.0,**-10
201-10 CROSS ISLAND,1.0,**/30,38725.02,06/29/2025,Y,NY,,"350,000","425,427.19",155.0,**/30
177 STREET &,1.0,,0.0,01/17/04,N,,EXP,,,230.0,**/10
KERBS MEMORIAL BOAT-,1.0,**/10,25081.0,03/31/08,Y,,EXPIRED,"135,000.00","164,093.00",85.0,**/10
CLEARVIEW GOLF COURSE,1.0,**/30,66672.0,01/14/2044,"$5,590,000.00",NY,,,,157.0,**/30
CENTRAL PARK,1.0,,61537.0,10/31/2006,"$7,250,000.00",,,,,90.0,**/30
"COLONIAL RD, 83RD TO 85TH STS",1.0,,583.0,12/31/19,NO,,,,,55.0,**/10
ALONG THE BEACH,1.0,,320.0,09/14/99,N,,EXP.,0.00,,236.0,**/10
FROM W 109 ST B-BALL,20.0,,3835.0,12/31/03,N,,EXP,"3,150.00",,118.0,**/10
BROOKVILLE BLVD &,1.0,,102.0,11/21/13,N,,,401.00,,153.0,**/10
ALONG THE BEACH,1.0,,0.0,09/15/99,N,,EXP.,0.00,,236.0,**/10
WEST 72ND ST. &,20.0,,0.0,01/01/2000,N,,EXP,"84,000.00",,127.0,**/10
BETWEEN 83 & 84 ST.,1.0,,583.0,12/31/06,N,,EXP. 12/31/06,"3,000.00",,55.0,**/10
ALONG THE PATH ON THE PERIMETER,1.0,,216.65,12/31/2023,,,EXPIRED,,,108.0,
WEST 119 STREET,15.0,,2800.0,11/30/04,N,,EXP,"2,500.00",,119.0,**/10
CONEY ISL. BRDWLK,1.0,,0.0,12/31/2000,N,,EXPIRED,"4,000.00",,53.0,**/10
34TH AVE B/W 77TH &,1.0,,983.0,12/31/17,N,,,"2,695.76","7,500.00",193.0,**/10
EAST BROADWAY FROM,1.0,,0.0,01/31/2002,N,,TERM,"6,900.00",,116.0,**/10
NORTHERN SOCCER,1.0,,216.65,12/31/18,,,,,,108.0,03/02/**
SE OF PARKING LOT,21.0,,0.0,09/01/03,N,,EXPIRED,,,175.0,**/10
MARINE PARK GOLF,30.0,**/30,0.0,12/31/08,,NY,EXPIRED,,,24.0,**/30
10 LOCATIONS,1.0,**-15,0.0,06-30-03,N,,EXP,"326,000.00",,93.0,**-15
VAN SINDEREN AVE,26.0,,11700.0,08/25/98,N,,EXPIRED,,,57.0,**/10
,1.0,,258.0,12-31-03,N,,TERM 08/21/02,900.00,,65.0,**-10
"BY 116 AVE,S.BAISLEY",1.0,,0.0,12-31-04,N,,TERM 07/11/03,"1,000.00",,151.0,**-10
HART BLVD & REVERE ST,1.0,,220.0,11/19/23,NO,,EXPIRED,,,213.0,**/30
AT THE SOUTH ENTRACE,1.0,,216.0,12/31/09,N,,EXPIRED,"1,200.00",,149.0,**/10
JUNIPER PLAYGROUND,20.0,,0.0,08/07/98,N,,EXP,,,185.0,**/10
INDIAN RD & W214 ST,1.0,,0.0,12-31-02,N,,EXPIRED,575.00,,108.0,**-10
"73RD AVE., FANCIS BL",1.0,,641.0,12/31/13,N,,,875.00,"4,200.00",162.0,**/10
65TH PLACE & 68TH,1.0,,0.0,12/31/13,N,,,400.00,"1,500.00",195.0,**/10
111TH ST & 46TH AVE.,1.0,,770.0,12/31/14,N,,,0.00,"4,600.00",207.0,**/10
PARKING LOTS NEAR,1.0,,0.0,12/31/05,N,,EXPIRED 12/31/05,"12,000.00",,146.0,**/10
GCP WB AT 106TH ST NEAR LAGUARDIA AIRPORT,1.0,**/30,15698.5,,"$7,005,427.00",,,,,172.0,**/30
WEST 47 STREET &,1.0,,5251.0,08/31/05,N,,EXP.,"37,500.00",,125.0,09/30/**
19TH ST & 23RD TERRACE,1.0,,2250.0,12/31/19,NO,,,,,149.0,**/10
SOUTH SHORE GOLF,1.0,30/**/**,52776.0,01/14/24,Y,NY,,"555,000.00","555,000.00",225.0,**/30
W. 76 ST. BASKETBALL,20.0,,0.0,12/31/2000,N,,EXPIRED,"6,650.00",,118.0,**/10
ARTHUR KILL RD &,1.0,**/30,0.0,11/30/13,Y,,TERMINATED,"120,000.00","145,000.00",212.0,**/30
"pier #8, berth #1e",1.0,,0.0,12/31/03,N,,LOCATION EXCHANGE,,,70.0,
EMMONS AVE. FROM,1.0,,0.0,12/31/04,N,,TERM,"5,005.00",,69.0,**/10
,1.0,**/30,166674.0,,,,,,,77.0,**/30
LUCILLE FERRIER PLYG,1.0,,367.0,11/21/10,N,,EXPIRED,0.00,,19.0,**/10
BAY ST BTWN HENRY &,1.0,,504.44,12/31/07,N,,TERM. ON 08/15/06,"1,600.00",,44.0,**/10
P.S. 149 PLAYGROUND,1.0,,635.0,12/31/05,N,,EXPIRED 12/31/05,"1,600.00",,202.0,**/10
FATHER CAPPODANO,1.0,,0.0,12/31/2000,N,,TERM,$510.00,,217.0,**/10
CARL SHURZ/NE CORNER,1.0,,0.0,12/31/08,N,,EXPIRED,"35,125.00",,120.0,**/10
CORPORAL KENNEDY ST.,1.0,,205.44,11/30/2002,N,,TERM 9/7,$351.00,,186.0,**/10
BALLFIELDS OFF BRONX,15.0,,0.0,06/30/98,N,,EXP,,,226.0,**/10
3 LANDING SLIPS AT,1.0,**/20,166674.0,09/30/21,,,EXPIRED,"2,000,000.00","2,000,000.00",77.0,**/30
CROSS ISLAND PKWY,1.0,**/30,10000.0,,"$2,208,341.00",,,,,188.0,**/30
SE CORNER,1.0,,0.0,12/31/01,N,,EXPIRED,"2,000.00",,126.0,**/10
HART BLVD & REVERE,1.0,,220.0,11/17/13,N,,,371.00,851.00,213.0,**/10
WOLLMAN & LASKER,1.0,10/30/**,61537.0,04/30/21,Y,,,"1,316,000.00","1,530,000.00",90.0,**/30
19TH ST. 7 23RD DR,1.0,,145.0,12/31/14,N,,,0.00,960.00,149.0,**/10
GEORGE TORSNEY PARK,1.0,,270.0,12/31/08,N,,EXPIRED,"1,000.00",,199.0,**/10
CLARKSON AVE. & NEW,1.0,,0.0,12/31/04,N,,EXP.,$800.00,,47.0,**/10
LINDOWER PARK,1.0,,258.0,12/31/2028,,,,,,65.0,**/30
PLYGD ENTRACE AT,1.0,,0.0,12/31/14,N,,,523.00,"2,500.00",226.0,**/10
BAY ST B/W HENRY & CLINTON STS,1.0,,504.44,12/31/22,NO,,TERMINATED,,,44.0,**/30
CROTONA PARK EAST&,1.0,,0.0,12/31/08,N,,TERMINATED,$600.00,,227.0,**/10
PARK PERIMETER AT,1.0,,0.0,07/26/98,N,,EXP,,,112.0,**/10
SEAMAN AV.&W204 ST.,1.0,,0.0,12/31/08,N,,RELEASED 04/17/06,"5,150.00",,108.0,**/10
AVE. U PARKING LOT,6.0,,208.0,12/31/09,N,,EXPIRED,"4,000.00",,23.0,**/10
"BOARDWALK, OCEAN",1.0,,0.0,12/31/2000,N,,EXPIRED,"2,500.00",,53.0,**/10
OUTER PATHWAYS NR.,10.0,,0.0,12-31-03,N,,EXP,"16,280.00",,175.0,**-10
DESIGNATED VOLLEYBALL AREA,1.0,,610.48,12/31/18,N,,EXPIRED,,,175.0,**/10
5TH AVE & E 26TH ST,15.0,,0.0,12-31-04,N,,TERM 09/24/04,"13,000.00",,112.0,**-10
EMMONS AVE. FROM,1.0,,0.0,12/31/2001,N,,EXP,"2,900.00",,69.0,**/10
E17TH ST & E18TH ST,1.0,,1697.5,12-31-03,N,,EXPIRED,"4,000.00",,48.0,**-10
KATE WOLLMAN RINK &,10.0,,8501.0,11/20/10,N,NY,EXPIRED,"17,990.50","23,855.53",33.0,**/30
COLUMBUS CIRLCE,1.0,,9000.0,04/06/04,N,,,,,88.0,**/10
AREA NEAR SOCCER,1.0,,1845.0,12/31/2000,N,,REL,"6,500.00",,175.0,**/10
"BETWEEN 69 & 70 ST.,",6.0,,16753.0,11-19-00,N,,EXP,,,86.0,**-10
MADISON AVENUE AND,1.0,,0.0,12/31/12,N,,EXPIRED,"16,000.00","18,000.00",112.0,**/10
PROMENADE AT BAY,1.0,,0.0,12/31/14,N,,TERMINATED,1666.66,"8,000.00",35.0,**/10
RANDALL'S -WARDS ISL,15.0,,0.0,12/31/06,N,,EXPIRED 12/31/06,"7,350.99",,129.0,**/10
84TH ST B/W 25TH AVE & 30TH AVE,1.0,,1016.0,12/31/19,NO,,EXPIRED,,,173.0,**/10
WEST END OF RUNNING,1.0,,0.0,12/31/2000,N,,TERM,"1,250.00",,149.0,**/10
,1.0,**/30,166674.0,,,,,,,77.0,**/30
VAN SINDEREN AVENUE,1.0,,11700.0,04/06/12,,,EXPIRED,"102,000",,57.0,**/10
HELIPORT BLDG,1.0,**/30,66666.0,04/30/34,,NY,,,,177.0,**/30
VOLLEYBALL AREA E,10.0,,610.48,11/02/01,N,,EXP,,,175.0,**/10
AROUND THE OUTER,1.0,,430.0,12/31/09,N,,EXPIRED,"4,000.00",,175.0,**/10
BAY RIDGE PARKWAY &,15.0,,385.0,12/31/07,N,,EXPIRED,"1,150.00",,26.0,**/10
"20 PC, 20 BEACHWALK",25.0,,0.0,09/14/98,N,,EXP.,"42,000.00",,236.0,**/10
E165TH TO MCCLELLAN,1.0,,0.0,12/31/05,N,,EXPIRED 12/31/05,"2,010.00",,233.0,**/10
VOLLEYBALL AREA #6,3.0,,0.0,04/30/98,N,,EXP,,,175.0,**/10
PIER #9,1.0,,0.0,04/30/04,N,,EXPIRED,,,70.0,
WEST 47 ST. &,1.0,,5251.0,08/31/03,N,,EXP,"35,000.00",,125.0,09/30/**
FMCP CAROUSEL,1.0,**/10,0.0,03/31/2004,N,,EXP,"29,150.00","50,500.00",176.0,**/10
BAY RIDGE PKWY,1.0,,385.0,12/31/01,N,,EXPIRED,"1,000.35",,26.0,**/10
WOLLMAN & LASKER,1.0,10/30/**,61537.0,04/30/21,Y,,,"1,316,000.00","1,530,000.00",90.0,**/30
DESIGNATED VOLLEY-,15.0,,0.0,12/31/2000,N,,EXP.,"1,100.00",,175.0,**/10
AROUND THE UNISPHERE,1.0,,0.0,12/31/09,N,,TERMINATED,"6,000.00",,175.0,**/10
@ END OF BAY PKWY NEAR THE,1.0,N,0.0,12/31/17,N,,EXPIRED,,,10.0,**/10
DYKER BEACH GOLF COURSE,1.0,**/30,55555.0,01/14/2044,"$6,086,300.00",NY,,,,18.0,**/30
"PIER #9, BERTH #1W",1.0,,0.0,12-31-03,N,,RELEASED 05/01/03,"3,199.68",,70.0,
LOCATION #6C NEAR,23.0,,0.0,10/22/99,N,,EXP,,,175.0,**/10
MANHATTAN BEACH PL,1.0,,0.0,05/10/15,,,,"114,000.00",,62.0,**/10
W172ST & AMSTERDAM,1.0,,0.0,12/31/06,N,,TERM 09/27/04,$625.00,,107.0,*8/10
NEAR WOODHAVEN ENT.,1.0,**/15,0.0,05/26/09,N,,EXPIRED,"15,000.00","20,000.00",160.0,**/15
PARK ENTRANCE TO SOFTBALL FIELDS AT MAURICE AVE,1.0,,126.36,12/31/20,NO,,EXPIRED,,,187.0,**/10
VOLLEYBALL LOC. 8,1.0,,0.0,12/31/2000,N,,EXPIRED,"5,000.00",,175.0,**/10
along the path of the,1.0,,140.0,12/31/2022,,,,,,108.0,03/02/**
OLMSTED CENTER,1.0,,1284.0,12/31/21,"$30,600.00",,EXPIRED,,,182.0,**/60
DESIGNATED VALLEYBALL AREA,1.0,,790.75,12/31/23,NO,,EXPIRED,,,175.0,**/30
65TH PLACE & 68TH AV,1.0,,0.0,12-31-04,N,,TERM.09/18/02,"5,500.00",,195.0,**-10
,1.0,**/30,166674.0,,,,,,,77.0,**/30
30TH AVE. B/W 84TH,1.0,,1016.0,12/31/09,N,,EXPIRED,"4,200.00",,173.0,**/10
NW CORNER OF,1.0,,0.0,12/31/09,N,,EXPIRED,"42,251.00",,113.0,**/10
NR W91ST PLAYGROUND,28.0,,4374.26,09/27/04,N,,EXP,,,118.0,**/10
FLUSHING MEADOWS,8.0,,0.0,04/08/02,N,,EXP,,,175.0,**/10
BOOT BLACK STAND,1.0,,0.0,10-20-04,N,,RELEASED 02/19/03,"6,000.00",,14.0,**-10
DYCKMAN FIELDS ALONG,1.0,,0.0,12/31/06,N,,EXPIRED,$600.00,,108.0,**/10
WESTCHESTER SQ. @,1.0,,0.0,,N,,TERMINATED,,,228.0,**/10
UTOPIA PKWY & UNDERHILL,1.0,,260.0,12/31/22,NO,,EXPIRED,,,192.0,**/30
BROOKVILLE BLVD. &,15.0,,102.0,11/30/05,N,,EXPIRED 11/30/05,$600.00,,153.0,**/10
BRIDGE AND FT HAMILT,1.0,,385.0,12/31/17,N,,TERMINATED,"1,376.14","4,503.00",26.0,02/01/**
BOSTON ROAD & E. 180,1.0,,0.0,12-31-02,N,,EXP,"2,500.00",,226.0,**-10
3 TRUCKS NEAR PICNIC,1.0,,0.0,12-31-02,N,,EXP,"8,000.00",,146.0,**-10
SO. OF MONUMENT NEAR,1.0,,0.0,12/31/03,N,,EXP,"127,875.00",,113.0,**/10
LOCATION IS SUBJECT,1.0,,298.0,12/31/07,N,,EXPIRED,"1,050.00",,149.0,**/10
"MAURICE, BORDON,",1.0,,0.0,12/31/05,N,,TERM . 06/28/05,"1,250.00",,187.0,**/10
CLEARVIEW GOLF,1.0,**/30,66672.0,01/14/24,Y,NY,,"775,000.00","775,000.00",157.0,**/30
NEAR PLAYGROUND &,1.0,,833.0,12/31/07,N,,EXPIRED,"2,100.00",,208.0,**/10
SKILLMAN AVE. & 43,1.0,,270.0,12/31/2000,N,,TERM,"3,000.00",,199.0,**/10
BOUNDED BY PROSP.ST,11.0,09-10-01,0.0,08-31-01,N,,EXPIRED,,,43.0,09-10-01
NORTHERN END OF WEST,1.0,,333.0,12/31/17,N,,,"7,777.77","12,200.00",118.0,03/02/**
"PIER 3, BERTH 1E",1.0,,0.0,12/31/98,N,,TERM. 6/17/98,,,70.0,
"73RD AVE, FR. LEWIS",1.0,,641.0,12/31/05,N,,EXPIRED 12/31/05,"6,200.00",,162.0,**/10
JOHN MULLALY PARK,1.0,,0.0,12/31/08,N,,TERM. 8/7/07,"1,025.00",,233.0,**/10
BAY ST. B/W HENRY,1.0,,504.44,12/31/12,,,TERMINATED,"2,131.15","4,300",44.0,**/10
CADMAN PLAZA EAST,1.0,,0.0,05/31/09,B,,expired,"600,012.00",,43.0,**/10
PROSPECT PARK,1.0,,0.0,07/17/15,,,,"2,868.13",,32.0,**/30
221ST ST & 120TH AVE,1.0,,150.22,12/31/23,NO,,TERMINATED,,,198.0,**/30
INSIDE FENCED AREA,1.0,,0.0,03/31/2004,N,,EXP,$0,,175.0,**/10
WOLLMAN & LASKER,1.0,10/30/**,61537.0,04/30/21,Y,,,"1,316,000.00","1,530,000.00",90.0,**/30
CROTONA PARK EAST,9.0,,0.0,07/09/03,N,,EXP,,,227.0,**/10
236TH ST. & 121ST. A,1.0,,150.22,12/31/13,N,,,400.00,"1,250.00",198.0,**/10
"PIER 3, BERTH 1E.",1.0,,0.0,04/30/05,N,,TERMINATED(NO INS.),,,70.0,
WESTCHESTER SQ.,1.0,,0.0,07/31/09,N,,EXPIRED,"18,000.00",,228.0,**/10
NEAR PLAYGROUND &,1.0,,833.0,12/31/2001,N,,EXP,$650.00,,208.0,**/10
595 BEDFORD AVE,26.0,,882.0,06-25-01,N,NY,EXPIRED,,,58.0,**-10
WITHIN 300 FEET OF,1.0,,0.0,10/25/99,N,,EXP.,,,175.0,**/10
ANDREW LEHMAN FIELD,1.0,,0.0,12/31/2001,N,,TERM,$900.00,,35.0,**/10
TOTTEN AVE. & BELL BLVD,1.0,,303.0,12/31/19,NO,,EXPIRED,,,154.0,**/10
