contractcode,addlocationinfo1,februaryminfee,januaryminfee,percentduedate,novemberminfee,letterofcreditinfo1,concessionzipcode,annualminimumfees4,letterofcreditinfo2
q0100022,CLEARVIEW PARK - PARKING LOT,666.0,750.0,,0.0,"4912 ($3,062.50)",,,4913 ($651.52)
q0990210,OUTER PATHWAY NR,1333.0,1335.0,,890.0,3895-RET. 03/11/15,,"2,150.00",
m0530017,SO. OF MONUMENT NEAR,0.0,18950.0,,0.0,LOC # 1995 PS00097,,,
m0520016,FIFTH AVE. & E. 26,2920.0,2916.0,,0.0,3114-TRANSFERED,,,
q3080003,BOWNE PLAYGROUND,0.0,0.0,,0.0,5154,,,
x0340006,SOCCER FIELD @165TH,0.0,0.0,,0.0,STICKER DEP.-SAFE,,,RET.2/11/03
m0040003,"PIKE ST. MALLS, PIKE",0.0,0.0,,0.0,,,,
b0280031,DYKER BEACH GOLF COURSE,66666.0,66672.0,,55560.0,5138,11220.0,,
q3040002,AUSTIN FROM 76 AVE.,0.0,0.0,,0.0,2003(75.00-SEIZED),,,1706(250.00-SEIZED)
B39,"PIER 3,  BERTH 1W",0.0,0.0,,0.0,2269,,,
q0990190,AROUND THE UNISPHERE,0.0,0.0,,0.0,2975-RET. 12/08/08,,,
m0050036,,160714.0,156705.0,,101941.0,LOC 1195PS00104,,,
b0580009,DRIGGS & 12 STREET,1000.0,1141.66,,367.0,2983 (ROLLED OVER),,,
r0460008,NEAR ENTRANCE ON,0.0,0.0,,0.0,2221(SEIZED 02/24/02,,,
b0570022,NR PLAYGROUND,0.0,0.0,,0.0,2457(RET.03/10/04),,,
b0280021,LUCILLE FERRIER PLYG,370.69,350.0,,333.0,3151($50),,,2674($425)
b0580013,DRIGGS AVE. &,1000.0,1141.66,,367.0,2983 (TRANS),,,
m0420019,INDIAN RD & W214 ST,0.0,0.0,,0.0,,,,
x0100006,1910 ARTHUR AVENUE,0.0,0.0,,0.0,2056(RET. 03/01/01),,,
b0820038,PROMENADE @ BAY RIDGE AVE & BELT PKWY,1253.44,1253.42,,0.0,4499-JE 326 - 04/03/19,,,
b0280029,DYKER BEACH PARK,370.69,350.0,,333.0,5073,,,
m2230003,N.W. CORNER W. 136,0.0,0.0,,0.0,2048(SEIZED 8/14/98),,,
m0420041,NORTHERN SOCCER,233.0,170.0,,870.97,,,,
q0990229,IN FRONT OF LIGHT POLE E405,2335.0,2500.0,,0.0,4347-Ret. 09/22/20,,,
q0080004,BROOKVILLE BLVRD. &,117.0,122.0,,95.0,,,,
q0990085,VOLLEYBALL AREA,0.0,0.0,,0.0,2113(RETURNED),,,
m0530032,NE OF COLUMBUS AVE.,1500.0,1500.0,,0.0,3250-RET. 02/24/09,,,
b1690028,CONEY ISL. BRDWLK,0.0,0.0,,0.0,JC2009(RET.02/01),,,
q4370002,MURRAY ST & SANFORD,216.7,233.33,,0.0,,,,
q0040054,19TH ST & 23RD TERRA,4366.67,1416.66,,0.0,3741-RET. 3/24/14,,"12,000.00",
b0070014,BAY PARKWAY & SHORE,0.0,0.0,,0.0,2544(SEIZED JE139),,,
b1690029,"BOARDWALK, OCEAN",0.0,0.0,,0.0,2022(RET.02/01),,,
x0390107,PELHAM BAY PARK,2333.35,2333.33,,1130.0,3237 TRANS TO NEW,,,PERMIT
m2230009,PS 192 PLGD; W138ST,796.0,794.0,,0.0,2939(SEIZED03/05),,,
b1260008,BAY ST. B/W HENRY,833.33,916.7,,692.9,3544(390.63)-RET.,,"4,000",4006-JE275
b0720006,GRAND ARMY PLAZA,4179.03,4178.7,,0.0,3510-SEIZED JE269,,"$50,148.32",
r0260004,"MILL RD, ISERNIA,",170.0,171.0,,0.0,,,,
q0990159,SHEA STADIUM,0.0,0.0,04/30/**,0.0,LOC972506(rel 2/13/9,,,safe-RET 4/3/09($30K
b0280031,DYKER BEACH GOLF COURSE,66666.0,66672.0,,55560.0,5138,11220.0,,
m0530025,MUSEUM OF NATURAL,0.0,18950.0,,0.0,LOC2004PS00131,,,
q3070004,delphin h greene playground,221.0,233.0,,0.0,5031,,,
q0240012,KISSENA PARK GOLF,24174.0,24166.0,,15837.0,3468 (ret 1/30/09),10065.0,,
r1040005,SOUTH SHORE GOLF,10210.28,10210.25,3/30/**,37500.0,LOC#015/04,10065.0,"435,000.00",SEIZED 07/29/11
m0530010,W. 81 ST. FROM CPW,0.0,0.0,,0.0,,,,
m0520015,MADISON AVENUE & E.,0.0,0.0,,0.0,3115-RET. 05/19/08,,,
b3930036,EMMONS AVE. FROM,0.0,0.0,,0.0,2207(RET. 6/1/00),,,G53381(RET.02/27/03)
q0040025,SOUTH ENTR. OF THE,360.0,291.52,,181.0,2475(APPL FOR CURR),,,
b1920008,B/W 83RD & 84TH ST,2333.35,2333.33,,500.0,3908-RET. 02/20/15,,"3,500.00",
r0460005,FATHER CAPPODANO,0.0,0.0,,0.0,,,,
m0100275,WOLLMAN & LASKER,29111.0,57249.0,11/30/**,376991.0,G53394 (209475)-SEIZED 06/07/24,,"1,485,691.00",
r0790005,LEMON CREEK PARK,11025.0,11134.5,03/02/**,15838.5,3953,,"127,127.00",
m0710414,NR W91 ST PLAYGRD,5500.0,6670.0,,5672.35,,,,
m0940030,BROADWAY & W72ND,2800.0,3000.0,,0.0,2359(05/25/02-RET),,,VIA CERT. MAIL
q0990089,FMCP,33250.0,34900.0,07/31/**,14166.0,G53360,10065.0,"150,000.00",
m0530018,SW CORNER CPW & 81,0.0,0.0,,0.0,LOC#1995 PS00097,,,
q3630007,NORTHERN BLVD & 93RD ST,1275.2,1633.35,,570.0,4225-RET. 02/25/19,,,
70024,@ END OF BAY PKWY NEAR THE,3083.0,3085.0,,0.0,4178-RET. 02/27/18,,,
q0850005,30TH AVE. B/W 84TH,1085.0,1085.4,,800.0,3439-RET 03/24/10,,,
m0280005,WEST END DYCKMAN ST.,1999.0,2003.0,01-02-**,0.0,2179-SEIZED JE194,,"20,837.00",
q0080006,SOUTHERN PKWAY &,117.0,122.0,,95.0,3328,,,
m1320002,MADISON STREET,416.0,420.0,,0.0,2069,,,
b0570047,AVE S PL & THE OVAL,850.0,1016.0,,0.0,3859-JE272 9/3/12,,"7,100.00",
q0050007,118 AVENUE & 155 STREET,200.0,216.0,,0.0,4295,,,
q0990260,FMCP,216.66,250.0,,147.0,4972,,,
b0570038,NEAR PLYGD,0.0,0.0,,0.0,3344-SEIZED JE194,,,
q0990079,VOLLEYBALL AREA 1,0.0,0.0,,0.0,,,,
m0050062,3 LANDING SLIPS AT,166674.0,208333.33,01/30/**,166666.0,LOC#7706001668,,"2,000,000.00",
m0200007,"BROADWAY, COLUMBUS,",0.0,0.0,,0.0,2061(RET. 02/01),,,
b0280010,LUCILLE FERRIER PLGD,370.69,350.0,,333.0,2125(RET. 05/07/01),,,
b0280015,SOUTH DIAMOND #2,3900.0,3900.99,,0.0,2997-SEIZED JE190,,,
q0100017,CROSS ILSND EXPW &,1250.0,1416.66,,0.0,3557-SEIZED JE214,,"3,900",
q0210020,,4170.0,4666.0,,3766.0,"4287 ($4,955.84)-JE 326 - 04/03/19",,,
x0160007,WESTCHESTER SQ.,0.0,1650.0,,0.0,2411-RET 9/8/09,,,2913-RET 9/8/09
m0530011,SW CRNR OF W81,0.0,0.0,,0.0,21479RET. 02/01),,,
q0040059,ASTORIA PARK POOL,2954.0,3103.31,11/06/**,2315.25,4059,,"4,862.03",
x0340005,RIVER AVE. FROM 162,336.66,336.7,,0.0,2502(RET.10/25/04),,,
q0080002,BROOKVILLE PARK,117.0,122.0,,95.0,,,,
b0280026,LUCILLE FERRER PLYGD & BAY 8 ST,370.69,350.0,,333.0,4693,,,
q1020006,JUNIPER PLAYGROUND,0.0,0.0,,0.0,,,,
x0390085,OUTSIDE PLYGD#1,2333.35,2333.33,,1130.0,2732-RET. 04/04/06,,,
M08,NE CORNER OF E 84ST,133.0,170.0,,0.0,3834-JE271,,"1,200.00",
m0800004,BETWEEN FORSYTH &,0.0,0.0,,0.0,2351(SEIZED 12/00),,,
q0850003,"84TH ST, FROM 25TH",1085.0,1085.4,,800.0,2559(MAILED05/07/04),,,
m0520012,MADISON AVE. & E. 26,0.0,0.0,,0.0,,,,
m0330003,E. HOUSTON & PITT ST,0.0,0.0,,0.0,2474(SEIZED JE139),,,
q0990149,ALONG  THE PROMENADE,20695.0,13170.0,,11945.5,2741,10065.0,,APPL FOR CURR.
x0340009,RIVER AVE,336.66,336.7,,0.0,2479-RET. 02/05/07,,,2957-RET. 02/05/07
m0890008,WEST SIDE OF UNION,0.0,0.0,,0.0,JC2260,,,APPL. FOR CURRENT
m0580006,W124ST & 5 AVE,108.35,108.33,,0.0,,,,
m0710413,RIVERSIDE DR &,3350.0,4190.2,,0.0,,,,
b1500002,E. 17 ST. & E 18 ST.,4100.0,3791.7,,979.0,2016(RET. 08/01),,,
r0220004,SILVER LAKE PARK,65625.0,103625.0,06/30/**,0.0,LOC#008-8000607,10065.0,"325,000.00",
q0990153,VA,633.42,804.2,,921.0,2309-692.00(ROLLOVER,,,2790-600.00(ROLLOVER
m0470004,1ST AVE BT 112&114ST,0.0,625.0,,0.0,,,,
q0990078,VOLLEYBALL AREA,0.0,0.0,,0.0,,,,
q3070002,236TH ST & 121ST ST,221.0,233.0,,0.0,3707,,800.00,
q1020012,80 STREET BETWEEN,0.0,0.0,,0.0,3036(SEIZ03/05;JE179,,,
b0090005,COURT & JORALEMO N,0.0,0.0,,0.0,"2157, 1242, 1445",,"34,750.00",RET 08/01/02
m0420060,INWOOD HILL PARK,220.0,216.0,,183.35,4252 ($350 FROM M0420050),,,4636 ($437.50 FROM M0420056)
m1640003,EAST 23 ST. & ASSER,95.0,165.0,,0.0,2803-SEIZED 01/15/07,,,
q4370004,MURRAY STREET &,216.7,233.33,,0.0,2473 (437.50)-RET.,,,3112 (8.75)-RET
m1640004,EAST 23RD STREET &,95.0,165.0,,0.0,4002-RET. 11/28/12,,"2,300.00",
b3930043,"*PIER #8, BERTH #1E",0.0,1562.5,,0.0,2540,,,
q0040013,EAST END OF RUNNING,0.0,0.0,,0.0,2019(SEIZED),,,
q0990272,FLUSHING MEADOWS CORONA PARK,2335.0,2500.0,,0.0,5123,,,
b1130026,"PROSPECT, YORK, & 90",52502.0,52501.0,03/30,0.0,2811(186.25),,"416,745.00",LOC#SDCMTN547141
q1310004,"MAURICE, BORDON, 54",0.0,0.0,,0.0,,,,
m0720009,WEST 96 STREET,0.0,579.0,,0.0,2521(ROLLED OVER),,,
b0470011,ENTRANCE AT JAMAICA,0.0,0.0,,0.0,3203-RET. 06/13/08,,,
b0280014,DYKER BEACH GOLF,66666.0,66672.0,03/02/**,55560.0,2941-RET. TO HANDS 12/04/2025,11220.0,"400,000.00",
r0870006,p.s. 52 mason playground,138.41,138.0,,164.0,5121,,,
b3930040,"PIER 7, BERTH 2E",0.0,0.0,,0.0,2540(appl for curr.),,,
Q09,DESIGNATED VOLLEYBALL AREA,551.08,661.76,,650.0,4654($14.13)-JE358,,,3239($911)-JE358; 4228($25)-JE358
q0080007,dekeck dilworth-,117.0,122.0,,95.0,,,,
r0670004,JEFFERSON ST &,134.0,141.0,,0.0,3668-SEIZED JE260,,850.00,
b0280016,BEN VITALE RECR.,0.0,0.0,,0.0,,,,
b1130033,CADMAN PLAZA WEST,33693.0,33687.0,,0.0,JC3490-SEIZED JE208,,"445,685.63",AND JE209
q0990100,INSIDE FENCED AREA,0.0,0.0,,0.0,,,,
b1500006,E. 17TH ST. & E. 18T,4100.0,3791.7,,979.0,3576-RET 01/31/13,,"7,650",
b3290003,,333.33,416.7,,225.0,2523(SEIZED 10/02),,,PERIMETER OF ENTRANC
b2230004,BEDFORD AVE,1186.0,1075.0,,833.0,"896,1354",11211.0,,
b3930049,"PIER #8, BERTH 1E",0.0,1562.5,,0.0,3205; Ret: 3381;3485;3588,,,3048&3068&2269 -RET.
q0040040,ASTORIA POOL SNACK,2954.0,3103.31,,2315.25,3055(SEIZED 02/05/06,,"17,730.00",JE186
q0990245,NEAR NORTHERN INTERSECTION OF THE AVE OF PROGRESS & AVE OF COMMERCE,143.01,244.35,,0.0,4635-RET. 09/26/2024,,,
m1640002,EAST 23RD ST &,95.0,165.0,,0.0,2589(SEIZED 9/02),,,
q0040048,AT THE SOUTH ENTRACE,360.0,291.52,,181.0,2475 (TRANS TO,,,Q0040057) 5/4/10
r0220009,"HART BLVD, & REVERE ST",519.82,525.0,,122.0,$364.75(5050),,,$474.35(4675)$437.40(4213)
m0100512,MINERAL SPRINGS,19391.0,20363.0,06/15/**,15203.0,3808-RET. 9/15/11; 4802,,"173,644.00",LOC #20510-FORFEIT 05/19/21
q3400008,SKILLMAN AVE & 43RD ST,280.87,416.85,,122.5,4691,,,
b2540003,BT. KINGSTON &,200.0,266.66,,0.0,,,,
q0210026,"GCP CENTER MALL AT CUNNINGHAM PARK, NEAR THE 188TH ST EXIT",19108.0,20064.45,,14577.5,,,,
q0850004,84TH ST,1085.0,1085.4,,800.0,3005-RET. 05/16/07,,,
q0050004,150 ST & ROCKAWAY,0.0,0.0,,0.0,3736-JE244 10/02/10,,"1,300.00",
m0710263,W. 76 STREET,0.0,0.0,,0.0,,,,
q0990118,ADJACENT TO FMCP,0.0,0.0,,0.0,,,,
q0990098,FMCP CAROUSEL,6663.0,6667.0,,0.0,2227(RET. 07/00),,"50,500.00",LOC#1995PS00104
b0580026,NASSAU/BAYNARD/LEONARD/N 12TH STS,1000.0,1141.66,,367.0,4408-JE307 10/10/16,,,
q0230004,153 ST & JAMAICA AVE,0.0,0.0,,0.0,2211(MAILED4/17/02),,,
b1500003,E. 17 ST. & E. 18 ST,4100.0,3791.7,,979.0,,,,
m0100657,MINERAL SPRINGS,19391.0,20363.0,,15203.0,"4802($64,137.75)",,,"4865($166,854.25)"
2510011,MANHATTAN BEACH,22800.0,22800.0,06-11-**,0.0,,,"90,000.00",
b1260002,BASEBALL FIELDS ON,0.0,0.0,,0.0,2101(MAILED4/17/02),,,
q0990250,WEST VOLLEYBALL CRT 01 NEAR CAROUSEL,0.0,1753.43,,,4769,,,
b2230008,"BEDFORD AVE, WILLIAM",1186.0,1075.0,,833.0,"896,1354-TRANSFERED",11211.0,,
x0020019,BTW BRADY & LYDIS AV,0.0,0.0,,0.0,2498(RET03/18/04),,,
q0040021,19TH STREET & 23RD,0.0,0.0,,0.0,2317,,,APPL FOR CURR.
b1130022,BOUNDED BY PROSP.ST,52502.0,52501.0,,0.0,LOC#SDCMTN5442191,,,
q0990144,VOLLEYBALL AREA,781.75,781.72,,752.0,2584($775.00)-CURR.,,,2659($549.75)-CURR.
b0580016,LORIMER & BAYARD ST,2666.0,2390.9,,1085.0,3591-RET. 3/4/13,,"6,000",
q0990234,OLMSTED CENTER,64000.0,66000.0,,1200.0,"4504, 5534",,,
m2420004,INSIDE AT LEONARD &,385.0,383.0,,0.0,3638-JE261 07/10/11,,"3,500.00",
m0100169,MINERAL SPRINGS,19391.0,20363.0,,15203.0,G53359,,"66,625.00",RET. 02/01
m0530026,SW CORNER OF CPW & W,0.0,0.0,,0.0,LOC2004PS00131,,,
b0870008,"41 ST., 6 TO 7 AVE.",491.66,558.35,,485.0,2569(SEIZ178; 03/05),,,
x0350007,CRESTON AVE & E.190TH ST,1356.66,1356.7,,583.33,4430,,,
q0210009,73 AVE. FROM 210 ST.,750.0,1016.0,,360.0,,,,
r0220007,HART BLVD & REVERE ST,519.82,525.0,,122.0,4675($474.35)TRANS TO R0220009,,,4213($437.40)TRANS TO R0220009
b0570042,MARINE PARK GOLF,46875.0,73125.0,,0.0,3519,11220.0,,
b0280014,DYKER BEAdH GOLF,66666.0,66672.0,03/02/**,55560.0,2941-RET. TO HANDS 12/04/2025,11220.0,"400,000.00",
q0210008,ON 73RD AVE,750.0,1016.0,,360.0,,,,
m0710422,RIVERSIDE DRIVE&,3350.0,4190.2,,0.0,3124-SEIZED 12/10/06,,,JE191
q1030003,CORPORAL KENNEDY ST.,583.0,668.0,,0.0,2651(SEIZ 09/11/05),,"6,000.00",
r0050008,CLOVE LAKES PARK,4429.0,4424.0,05/30/**,6195.0,3110($25K);3129(11k),10065.0,"58,344.30",4030-ROLL OVER
r0050012,WAR MEMORIAL RINK,26668.0,26666.0,11/30,23333.33,G50509,,"75,000.00",
b1130013,PROSPECT STREET,52502.0,52501.0,,0.0,1833,,,
m0110007,W. 28TH ST. B/W,0.0,0.0,,0.0,3283,,,
m0420018,SEAMAN AVE & ISHAM,430.0,535.0,,385.0,,,,
m0280007,WESTERN END OF,1999.0,2003.0,11/30/**,0.0,LOC#63650817,,"21,396.00",
b1130020,SUPREME COURT ENTR.,0.0,8034.0,,0.0,2325(100.00-JE125),,,MAILED 02/09/04
q2050004,61 ST. & 48 AVE.,0.0,0.0,,0.0,2274(MAILED 4/08/02),,,
