unique_key,location,:@computed_region_sbqj_enih,resolution_action_updated,bbl,descriptor
67274125,"{'type': 'Point', 'coordinates': [-73.979692, 40.642198]}",39,2025-12-23T05:27:53.000,3053520006.0,Parking Permit Improper Use
67158282,"{'type': 'Point', 'coordinates': [-73.946612, 40.810189]}",20,2025-12-12T10:57:42.000,1019127502.0,Parking Permit Improper Use
67171101,"{'type': 'Point', 'coordinates': [-73.87961, 40.743702]}",68,2025-12-13T22:44:28.000,4015180044.0,Parking Permit Improper Use
67228231,"{'type': 'Point', 'coordinates': [-73.929075, 40.666261]}",44,2025-12-18T19:04:59.000,3014090056.0,Parking Permit Improper Use
67199839,"{'type': 'Point', 'coordinates': [-73.804296, 40.731875]}",65,2025-12-15T17:52:22.000,4069310025.0,Parking Permit Improper Use
67207297,"{'type': 'Point', 'coordinates': [-73.959709, 40.764629]}",11,2025-12-16T17:46:41.000,1014410014.0,Parking Permit Improper Use
67142675,"{'type': 'Point', 'coordinates': [-73.920563, 40.758822]}",72,2025-12-12T11:52:49.000,4006550047.0,Parking Permit Improper Use
67133325,"{'type': 'Point', 'coordinates': [-73.95162, 40.774435]}",11,2025-12-11T02:49:52.000,,Parking Permit Improper Use
67258477,"{'type': 'Point', 'coordinates': [-73.993096, 40.643188]}",39,2025-12-21T17:00:42.000,3055870064.0,Parking Permit Improper Use
67277533,"{'type': 'Point', 'coordinates': [-73.979815, 40.640867]}",39,2025-12-23T15:38:05.000,3053520052.0,Parking Permit Improper Use
67201847,"{'type': 'Point', 'coordinates': [-74.022825, 40.625254]}",41,2025-12-16T08:24:06.000,3059810063.0,Parking Permit Improper Use
67153550,"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",65,2025-12-12T10:19:12.000,4067970040.0,Parking Permit Improper Use
67227020,"{'type': 'Point', 'coordinates': [-73.99561, 40.761674]}",10,2025-12-18T08:16:42.000,1010730014.0,Parking Permit Improper Use
67199837,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",66,2025-12-15T02:53:13.000,4000320006.0,Parking Permit Improper Use
67205479,"{'type': 'Point', 'coordinates': [-74.032372, 40.633824]}",41,2025-12-16T12:28:50.000,3059160009.0,Parking Permit Improper Use
67210817,"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",57,2025-12-16T13:36:39.000,3026190001.0,Parking Permit Improper Use
67218815,"{'type': 'Point', 'coordinates': [-73.927356, 40.835267]}",27,2025-12-17T11:25:21.000,2025140020.0,Parking Permit Improper Use
67164257,"{'type': 'Point', 'coordinates': [-73.871815, 40.758649]}",73,2025-12-13T23:09:57.000,4014260009.0,Parking Permit Improper Use
67264527,"{'type': 'Point', 'coordinates': [-74.004845, 40.718853]}",1,2025-12-22T10:15:30.000,,Parking Permit Improper Use
67238461,"{'type': 'Point', 'coordinates': [-73.878223, 40.744342]}",68,2025-12-19T21:07:51.000,4015570051.0,Parking Permit Improper Use
67218820,"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",65,2025-12-17T19:27:36.000,4070040001.0,Parking Permit Improper Use
67275292,"{'type': 'Point', 'coordinates': [-73.855077, 40.682495]}",60,,4090550025.0,Parking Permit Improper Use
67142672,"{'type': 'Point', 'coordinates': [-73.973158, 40.681271]}",50,2025-12-11T18:17:03.000,,Parking Permit Improper Use
67201843,"{'type': 'Point', 'coordinates': [-73.990981, 40.590485]}",35,2025-12-16T09:41:56.000,3069107501.0,Parking Permit Improper Use
67209057,"{'type': 'Point', 'coordinates': [-73.915723, 40.683999]}",46,2025-12-16T13:22:25.000,3015020025.0,Parking Permit Improper Use
67183324,"{'type': 'Point', 'coordinates': [-74.075669, 40.612806]}",74,2025-12-14T21:37:39.000,5029700004.0,Parking Permit Improper Use
67175197,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",66,2025-12-14T06:11:58.000,4000320006.0,Parking Permit Improper Use
67255274,"{'type': 'Point', 'coordinates': [-73.864884, 40.899649]}",30,2025-12-20T10:18:34.000,2033910006.0,Parking Permit Improper Use
67250908,"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",66,2025-12-20T08:01:40.000,4000320006.0,Parking Permit Improper Use
67280884,"{'type': 'Point', 'coordinates': [-73.951519, 40.664142]}",44,2025-12-23T13:36:32.000,3013080046.0,Parking Permit Improper Use
67280875,"{'type': 'Point', 'coordinates': [-73.984815, 40.598194]}",37,2025-12-23T10:58:10.000,3070750045.0,Parking Permit Improper Use
67133312,"{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}",73,2025-12-10T22:52:52.000,4017530112.0,Parking Permit Improper Use
67247409,"{'type': 'Point', 'coordinates': [-73.868297, 40.754471]}",73,2025-12-21T06:01:32.000,4017330022.0,Parking Permit Improper Use
67230743,"{'type': 'Point', 'coordinates': [-73.970944, 40.745984]}",9,2025-12-18T10:01:34.000,,Parking Permit Improper Use
67249768,"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",65,2025-12-20T09:26:39.000,4070040001.0,Parking Permit Improper Use
67235803,"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}",47,2025-12-18T22:51:24.000,3036990036.0,Parking Permit Improper Use
67147203,"{'type': 'Point', 'coordinates': [-73.97864, 40.741476]}",7,2025-12-11T14:03:05.000,1009090031.0,Parking Permit Improper Use
67239707,"{'type': 'Point', 'coordinates': [-73.940322, 40.823607]}",20,2025-12-19T12:10:28.000,1020320056.0,Parking Permit Improper Use
67226951,"{'type': 'Point', 'coordinates': [-73.940764, 40.614561]}",38,2025-12-19T09:35:08.000,3077050044.0,Parking Permit Improper Use
67147191,"{'type': 'Point', 'coordinates': [-73.883144, 40.744905]}",68,2025-12-12T04:53:26.000,4015070026.0,Parking Permit Improper Use
67131697,"{'type': 'Point', 'coordinates': [-73.912367, 40.669642]}",46,2025-12-10T12:33:43.000,3034980066.0,Parking Permit Improper Use
