qkey,cp9,ih3,ih5a_1,sc4d,sc4b,d1yob,bf1mns,st4,sc6,bc2,st5,es2,d2,ph1,d6,cp10_1,stratum,mh1,cp7,cp3,ih5,el13e,qcell,cp2,bf1_1,es3,lang,el3,el12mns,d7,el17f,pph1
202332,4.0,1,,1,1,1985.0,,4,1,2,4,2,1,4,,,1,5,1.0,1.0,2,,1,1.0,1,12,1,1.0,,6,1.0,1
201704,4.0,1,,1,1,1985.0,8.0,4,1,2,4,2,1,1,,,1,5,1.0,1.0,2,,1,1.0,4,9,1,4.0,,6,,1
203858,1.0,1,,1,1,1985.0,12.0,4,1,2,4,2,1,1,3.0,2.0,2,5,1.0,1.0,2,,1,1.0,4,12,1,,,5,,1
200880,,1,,1,1,1980.0,1.0,4,1,1,4,2,1,2,,,1,5,,,2,0.0,1,,4,9,1,2.0,2.0,5,1.0,1
200424,4.0,1,,2,1,1980.0,4.0,4,1,1,4,2,1,2,3.0,,1,5,1.0,1.0,2,0.0,1,1.0,4,6,1,2.0,,6,1.0,1
201782,2.0,1,,1,1,1988.0,11.0,4,1,2,4,2,1,1,3.0,1.0,1,5,1.0,1.0,2,0.0,1,1.0,4,4,1,2.0,,6,,1
200252,1.0,1,,1,1,1978.0,15.0,4,1,1,4,2,1,1,,2.0,1,5,2.0,1.0,2,0.0,1,1.0,4,12,1,3.0,,6,1.0,1
201036,1.0,1,,1,1,1989.0,8.0,4,1,2,4,2,1,3,,2.0,1,5,2.0,1.0,2,,1,1.0,4,12,1,2.0,7.0,6,,1
202940,4.0,1,,1,1,1978.0,8.0,4,1,1,4,2,1,2,,,1,5,1.0,1.0,2,0.0,1,1.0,4,99,1,2.0,,5,2.0,1
201588,2.0,1,,1,1,1978.0,8.0,4,1,1,4,2,1,1,,2.0,1,2,1.0,1.0,2,3.0,1,1.0,4,12,1,2.0,,6,1.0,1
202125,4.0,1,,1,1,1975.0,2.0,4,1,2,4,1,1,1,3.0,,2,5,1.0,2.0,2,,0,1.0,4,3,1,,,5,,1
201796,1.0,1,,1,1,1993.0,4.0,4,1,1,4,1,1,5,3.0,1.0,2,5,1.0,1.0,2,,1,1.0,4,2,1,,,4,,1
200229,4.0,1,,1,1,1978.0,,4,1,1,4,2,1,1,3.0,,2,2,1.0,1.0,2,,1,1.0,1,12,1,,,6,,1
204874,,1,,1,1,1975.0,3.0,4,1,2,4,2,1,3,,,2,5,,,2,,1,,4,77,1,,,3,,1
200190,,2,,1,1,,7.0,2,1,1,3,2,1,1,,,1,5,2.0,1.0,2,,1,1.0,4,99,1,1.0,,6,2.0,1
200460,,77,,1,1,1987.0,,3,1,2,4,2,1,3,3.0,,1,2,1.0,1.0,2,,1,1.0,1,77,1,2.0,,3,2.0,1
203100,,1,,1,1,1986.0,9.0,4,1,1,2,2,1,2,3.0,,1,5,2.0,1.0,2,0.0,1,1.0,4,10,1,2.0,,6,1.0,1
200797,1.0,1,,1,1,1987.0,6.0,4,1,1,2,2,1,3,,2.0,1,1,1.0,1.0,2,0.0,1,1.0,4,3,1,2.0,,6,1.0,1
201483,4.0,1,,1,1,1984.0,,4,1,1,4,2,1,3,3.0,,1,5,2.0,1.0,2,0.0,1,1.0,1,12,1,2.0,,6,1.0,1
200262,4.0,1,,2,1,1987.0,,4,1,2,4,2,1,4,,,1,5,1.0,1.0,2,,0,1.0,1,2,2,3.0,,4,1.0,1
204015,4.0,1,,1,1,1976.0,14.0,1,1,1,2,2,1,1,2.0,,1,5,1.0,1.0,2,,1,1.0,4,8,1,3.0,5.0,6,2.0,1
201834,4.0,1,,1,1,1982.0,,2,1,1,4,2,1,2,2.0,,1,5,1.0,1.0,2,,1,1.0,2,8,1,2.0,,6,2.0,1
202178,1.0,1,,1,1,1978.0,,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,5,12,1,2.0,,6,1.0,1
203465,1.0,1,,1,1,1976.0,,4,1,1,4,2,1,3,,1.0,1,5,1.0,1.0,2,,0,1.0,1,10,1,2.0,3.0,4,1.0,1
200573,,1,,1,1,1975.0,,4,1,2,3,2,1,3,2.0,,2,3,,,2,,0,,1,77,1,,,4,,1
203281,1.0,2,,1,1,1984.0,17.0,4,1,1,4,2,1,3,3.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,4.0,6,2.0,1
202764,,1,,1,1,1972.0,4.0,4,1,2,4,2,1,1,3.0,,1,4,2.0,2.0,2,,1,1.0,4,12,1,,,6,,1
201349,,1,,1,1,1986.0,1.0,4,1,2,4,2,1,2,,,1,5,,,2,,1,,4,4,1,2.0,,4,2.0,2
204884,,1,,2,1,,12.0,3,1,1,4,1,1,1,2.0,,1,5,1.0,1.0,2,,1,1.0,4,6,2,1.0,1.0,6,1.0,1
204464,,1,,2,1,,6.0,4,1,2,4,2,99,3,,,1,5,2.0,2.0,2,,0,1.0,4,99,1,,,6,,1
201333,1.0,1,,1,1,1981.0,9.0,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
203849,4.0,1,,1,1,1990.0,15.0,2,1,1,4,2,1,3,,,1,5,2.0,1.0,2,0.0,1,1.0,4,1,1,2.0,,4,,1
202614,2.0,1,,2,1,1986.0,5.0,2,1,1,4,1,1,3,,1.0,1,5,1.0,1.0,2,0.0,1,1.0,4,7,1,2.0,2.0,6,2.0,1
201305,,1,,1,1,1988.0,6.0,4,1,1,2,2,1,3,2.0,,2,3,77.0,1.0,2,,1,1.0,4,77,1,,,5,,1
200290,1.0,1,,1,1,1984.0,,4,1,1,4,2,1,3,2.0,1.0,1,5,1.0,1.0,2,0.0,1,1.0,5,11,1,2.0,,6,,1
204909,1.0,1,,1,2,1986.0,8.0,2,1,2,2,2,1,3,2.0,1.0,2,5,1.0,1.0,2,,1,1.0,4,2,2,2.0,,4,,1
201875,4.0,1,,2,1,1972.0,12.0,4,1,1,4,2,1,1,,,1,5,1.0,1.0,2,0.0,0,1.0,4,2,1,2.0,,4,2.0,1
203544,,2,,1,1,1990.0,12.0,2,1,1,2,2,1,2,3.0,,2,5,2.0,1.0,2,,1,1.0,4,77,1,,,5,,1
204624,,1,,1,1,1987.0,4.0,4,1,1,4,2,1,2,,,2,5,1.0,1.0,2,,0,1.0,4,5,1,1.0,3.0,4,2.0,1
202877,1.0,1,,1,1,1989.0,3.0,4,1,1,4,2,1,1,3.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,1,2,2.0,,4,2.0,1
203732,4.0,1,,1,1,,12.0,4,1,1,4,2,1,2,,,1,5,1.0,1.0,2,,0,1.0,4,77,1,2.0,,4,2.0,1
202439,,2,,1,1,1981.0,,4,1,1,4,2,1,1,,,1,5,2.0,1.0,2,0.0,0,1.0,5,11,1,1.0,,6,1.0,1
201852,2.0,1,,1,1,1985.0,12.0,4,1,1,4,2,1,3,2.0,2.0,2,5,2.0,1.0,2,,1,1.0,4,77,2,,,6,,1
202431,2.0,1,,1,1,1986.0,3.0,4,1,1,4,2,1,4,3.0,2.0,2,5,2.0,1.0,2,,1,1.0,4,4,2,,,5,,1
203660,2.0,1,,1,1,1980.0,12.0,4,1,1,4,2,1,4,3.0,2.0,2,4,1.0,1.0,2,,1,1.0,4,77,2,4.0,,2,,1
200970,1.0,1,,1,1,1983.0,3.0,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,4.0,6,,1
204946,2.0,1,,2,1,1983.0,,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,99.0,5,11,1,2.0,3.0,6,2.0,1
202327,,1,,1,1,1979.0,5.0,4,1,2,4,2,1,3,3.0,,1,4,2.0,2.0,2,0.0,1,1.0,4,6,1,2.0,,4,1.0,1
204025,,1,,2,1,1988.0,,4,1,1,4,2,1,3,,,2,5,,,2,,1,,3,99,1,,,4,,1
202340,4.0,1,,1,1,1981.0,12.0,77,1,2,4,2,1,3,3.0,,2,5,2.0,1.0,2,,1,1.0,4,77,2,,,5,,1
201893,1.0,1,,1,1,1974.0,8.0,4,1,1,4,2,1,3,,2.0,1,5,1.0,1.0,2,0.0,0,1.0,4,12,1,3.0,,6,1.0,1
201924,1.0,1,,2,1,1979.0,20.0,4,1,2,4,2,1,2,3.0,2.0,1,2,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,2.0,6,,1
201911,4.0,1,,1,1,1979.0,,4,1,2,4,2,1,1,,,1,5,1.0,1.0,2,0.0,0,1.0,1,5,1,2.0,,6,1.0,1
203731,,1,,1,1,1991.0,,77,1,1,4,2,1,3,,,2,5,,,2,,0,,2,77,1,4.0,2.0,4,2.0,1
205441,,1,,1,1,1979.0,,4,1,2,4,1,1,4,,,1,5,2.0,1.0,2,,0,1.0,1,1,2,,,4,,1
201034,2.0,1,,1,1,1979.0,10.0,4,1,1,4,2,1,1,,2.0,2,5,1.0,1.0,2,,0,1.0,4,10,1,,,4,,1
202592,,1,,1,1,1996.0,,4,1,1,3,2,1,1,,,2,5,,,2,,1,,1,1,1,,,4,,1
202106,4.0,1,,1,1,1980.0,6.0,2,1,1,4,2,1,1,,,1,5,2.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,1.0,1
203271,4.0,1,,1,1,1979.0,,2,1,2,2,2,1,1,,,1,5,1.0,1.0,2,,1,1.0,5,5,1,2.0,,6,2.0,1
202640,3.0,1,,1,1,1981.0,,3,1,2,4,2,1,2,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,3,12,1,2.0,8.0,6,2.0,1
202256,4.0,2,,1,1,1986.0,,4,1,1,4,2,1,1,,,2,5,1.0,1.0,2,,0,1.0,5,8,1,,,4,,1
203716,4.0,1,,1,1,1987.0,1.0,4,1,1,4,2,1,4,,,2,5,1.0,1.0,2,0.0,1,1.0,4,7,1,2.0,6.0,4,2.0,1
202583,,1,,2,1,,3.0,4,1,2,2,2,1,1,,,1,5,,,2,,0,,4,6,1,1.0,,5,1.0,2
204927,4.0,1,,1,1,1993.0,10.0,2,1,1,1,2,1,1,,,1,5,1.0,1.0,2,0.0,0,1.0,4,7,1,2.0,,5,2.0,1
200487,4.0,1,,1,1,1984.0,6.0,4,1,2,4,2,1,2,2.0,,1,5,1.0,1.0,2,,1,1.0,4,1,2,4.0,12.0,4,,1
204299,,1,,1,1,1982.0,,3,1,2,4,2,1,3,3.0,,1,5,2.0,2.0,2,,1,1.0,1,1,2,,,4,,1
205013,4.0,1,,1,1,1986.0,,4,1,2,2,1,1,1,,,1,5,1.0,1.0,2,0.0,1,1.0,2,5,1,1.0,9.0,6,2.0,1
202497,4.0,1,,1,2,,3.0,1,1,2,4,2,1,2,3.0,,1,4,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,6.0,6,1.0,1
200070,3.0,1,,2,1,1986.0,,4,1,2,4,2,1,2,,2.0,2,3,1.0,1.0,2,,1,1.0,1,10,1,,,5,,1
202469,,1,,1,1,1972.0,9.0,4,1,2,4,2,1,2,3.0,,1,5,77.0,2.0,2,0.0,1,1.0,4,12,1,2.0,,6,2.0,1
204683,4.0,1,,1,1,1988.0,9.0,4,1,2,3,2,1,3,1.0,,2,5,1.0,1.0,2,,1,1.0,4,4,1,,,4,,1
204339,1.0,1,,1,1,1991.0,,4,1,1,4,2,1,2,,2.0,1,4,1.0,1.0,2,,1,1.0,5,10,1,1.0,6.0,6,1.0,1
203107,,1,,1,1,1982.0,,4,1,2,4,2,1,1,3.0,,1,5,,,2,0.0,1,,3,12,1,1.0,3.0,6,1.0,1
201843,1.0,1,,1,1,1989.0,,4,1,1,4,2,1,1,3.0,2.0,2,4,1.0,1.0,2,,1,1.0,5,10,1,4.0,,6,2.0,1
204951,1.0,1,,1,1,1982.0,,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,3,12,1,2.0,,6,2.0,1
201168,,1,,2,1,1980.0,,2,1,2,4,2,1,1,3.0,,1,5,1.0,1.0,2,0.0,1,1.0,5,12,1,3.0,3.0,6,1.0,1
203694,4.0,1,,1,1,1975.0,2.0,3,1,2,2,1,1,1,3.0,,1,1,1.0,1.0,2,,1,1.0,4,4,2,2.0,12.0,5,2.0,1
202315,4.0,1,,1,1,,24.0,3,1,1,4,1,1,2,3.0,,2,5,1.0,1.0,2,,1,99.0,4,77,2,,,2,,1
203180,1.0,1,,1,1,1991.0,3.0,4,1,1,4,2,1,1,1.0,2.0,1,2,1.0,1.0,2,,1,1.0,4,77,2,2.0,12.0,5,,1
202065,4.0,1,,1,1,1995.0,2.0,4,1,1,2,1,1,3,1.0,,2,5,1.0,2.0,2,,1,1.0,4,1,2,,,4,,1
202383,4.0,1,,1,1,1983.0,12.0,4,1,2,4,2,1,1,,,1,5,2.0,1.0,2,0.0,1,1.0,4,99,1,2.0,,6,2.0,1
204896,77.0,1,,1,1,1976.0,12.0,4,1,1,4,2,1,2,,,1,4,1.0,2.0,2,0.0,1,1.0,4,12,1,3.0,,6,2.0,1
202812,1.0,1,,1,1,1988.0,,4,1,1,4,2,1,2,1.0,2.0,2,5,1.0,1.0,2,,1,1.0,1,77,1,,,6,,1
200975,,1,,1,1,1975.0,4.0,4,1,1,4,2,1,2,3.0,,2,5,1.0,1.0,2,,1,1.0,4,8,1,2.0,,4,2.0,1
200126,2.0,1,,1,1,1975.0,3.0,2,1,2,4,2,1,1,1.0,2.0,2,1,2.0,1.0,2,,1,1.0,4,3,1,,,6,,1
201615,2.0,1,,1,1,,9.0,2,1,1,4,2,1,2,3.0,1.0,1,5,1.0,1.0,2,,0,1.0,4,99,1,2.0,4.0,6,1.0,1
202072,1.0,1,,1,1,1984.0,,4,1,1,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,3,12,1,1.0,,6,2.0,1
201006,,1,,2,1,1989.0,2.0,4,1,1,4,2,1,2,3.0,,1,5,,,2,,1,,4,3,1,,,4,,1
203484,2.0,2,,1,1,1988.0,11.0,4,1,1,3,1,1,2,,1.0,1,5,77.0,1.0,2,77.0,0,1.0,4,4,1,1.0,,5,2.0,1
201527,,1,,2,1,1979.0,,77,1,2,3,1,1,1,3.0,,1,3,,,2,6.0,1,,1,6,1,1.0,4.0,5,1.0,2
200349,2.0,1,,2,1,1993.0,,1,1,1,4,2,1,3,1.0,2.0,1,5,1.0,1.0,2,,1,1.0,3,3,2,2.0,2.0,4,2.0,1
204147,1.0,1,,1,1,1984.0,15.0,4,1,2,4,2,1,1,,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,,6,1.0,1
202283,,1,,1,1,,6.0,4,1,1,4,2,1,3,,,1,5,1.0,2.0,2,0.0,1,1.0,4,5,1,3.0,3.0,5,2.0,1
201245,2.0,1,,1,1,1992.0,,4,1,2,4,2,1,3,3.0,2.0,2,5,1.0,1.0,2,,1,1.0,5,3,1,,,5,,1
202012,4.0,1,,1,1,1987.0,2.0,4,1,1,1,2,1,1,1.0,,1,3,2.0,1.0,2,,1,1.0,4,1,2,2.0,2.0,6,,1
204678,,1,,1,1,1995.0,6.0,4,1,1,4,2,1,2,1.0,,1,5,2.0,2.0,2,0.0,1,1.0,4,3,1,1.0,5.0,5,2.0,1
204726,1.0,1,,1,1,1983.0,5.0,4,1,1,4,2,1,2,2.0,2.0,1,5,1.0,1.0,2,0.0,1,1.0,4,12,1,2.0,3.0,6,1.0,1
201840,,1,,1,1,1982.0,,4,1,1,4,1,1,1,2.0,,1,5,,,2,,1,,3,1,1,2.0,,6,2.0,1
203734,,1,,1,1,1994.0,,4,1,2,4,2,1,1,,,1,5,2.0,2.0,2,0.0,1,1.0,3,2,1,2.0,,3,2.0,1
202540,4.0,2,,1,1,1977.0,,4,1,1,4,2,1,1,,,1,5,1.0,1.0,2,,0,1.0,5,7,1,2.0,,4,2.0,1
203446,4.0,2,,1,1,,14.0,4,1,1,3,1,99,1,,,1,5,1.0,1.0,2,4.0,0,1.0,4,77,1,1.0,,4,2.0,1
200777,3.0,1,,2,1,1990.0,2.0,4,1,1,4,2,1,1,3.0,2.0,2,3,1.0,1.0,2,,0,1.0,4,77,1,,,6,,2
201286,2.0,1,,1,1,1989.0,6.0,4,1,1,4,2,1,1,,1.0,1,5,1.0,1.0,2,0.0,1,1.0,4,11,1,2.0,,6,,1
200463,4.0,1,,1,1,1987.0,16.0,4,1,1,4,2,1,1,2.0,,2,5,1.0,1.0,2,,1,1.0,4,6,1,2.0,,5,,1
201309,4.0,1,,1,1,1984.0,3.0,4,1,1,4,2,1,3,3.0,,2,5,2.0,1.0,2,,1,1.0,4,1,1,,,6,,1
204477,,1,,1,1,1981.0,,4,1,1,4,1,1,3,3.0,,1,5,,,2,,1,,5,1,2,4.0,,4,,2
202369,4.0,1,,1,1,1986.0,5.0,4,1,1,4,2,1,1,1.0,,1,4,1.0,1.0,2,0.0,1,1.0,4,11,1,2.0,5.0,6,2.0,1
202006,4.0,1,,2,1,1991.0,13.0,4,1,1,4,1,1,1,,,1,5,1.0,1.0,2,,0,1.0,4,2,1,2.0,,4,2.0,1
200673,4.0,3,,1,1,1979.0,,4,1,1,4,1,1,1,,,1,5,1.0,1.0,2,0.0,0,1.0,5,2,1,2.0,,4,2.0,1
200486,4.0,1,,1,1,1976.0,3.0,4,1,1,4,2,1,4,3.0,,1,5,1.0,1.0,2,,1,1.0,4,2,1,,,5,,1
200690,2.0,1,,1,1,1985.0,,4,1,2,4,2,1,3,,2.0,1,1,1.0,1.0,2,0.0,1,1.0,1,12,1,2.0,,6,2.0,1
203676,,1,,1,1,1988.0,3.0,4,1,1,4,2,1,3,,,1,3,,,2,0.0,0,,4,1,1,2.0,3.0,4,2.0,1
203564,,1,,1,1,1984.0,4.0,4,1,1,4,2,1,2,,,2,2,1.0,1.0,2,,0,1.0,4,77,1,,,4,,1
203144,,1,,1,1,,12.0,4,1,1,4,2,1,1,2.0,,1,5,1.0,1.0,2,,0,1.0,4,99,1,2.0,,6,77.0,1
204931,4.0,1,,1,1,1973.0,,4,1,1,2,2,1,3,,,1,5,1.0,1.0,2,,1,1.0,5,6,1,4.0,,6,2.0,1
201801,4.0,1,,1,1,1980.0,,4,1,2,4,2,1,1,3.0,,1,4,1.0,1.0,2,,1,1.0,1,12,1,3.0,,6,2.0,2
204046,,3,,1,1,1978.0,,4,1,1,3,1,1,1,,,2,5,77.0,1.0,2,,1,1.0,5,1,1,4.0,,4,,2
200127,4.0,1,,1,1,1976.0,1.0,4,1,2,3,2,1,3,,,2,3,1.0,1.0,2,,1,1.0,4,11,1,,,5,,1
203290,,1,,1,1,1965.0,3.0,4,1,1,2,1,1,1,3.0,,1,2,,,2,,1,,4,1,2,4.0,3.0,4,1.0,1
203905,,1,,2,1,,10.0,4,1,1,4,2,1,1,,,1,5,1.0,1.0,2,,1,1.0,4,12,1,2.0,,6,2.0,1
200668,,1,,1,1,1979.0,6.0,4,1,1,4,2,1,4,1.0,,2,5,1.0,1.0,2,,1,1.0,4,77,2,,,3,,1
204449,4.0,1,,1,1,1976.0,12.0,2,1,2,4,2,1,1,,,1,5,1.0,2.0,2,0.0,0,1.0,4,12,1,2.0,,6,1.0,1
202586,2.0,1,,1,1,1984.0,,77,1,1,77,2,1,3,2.0,3.0,1,3,1.0,1.0,77,,1,1.0,1,77,1,,,1,,1
200957,,3,,1,1,1989.0,,4,1,1,77,2,1,2,,,1,5,2.0,1.0,2,,0,1.0,5,1,1,3.0,,4,2.0,1
204626,4.0,1,,1,1,1992.0,,4,1,1,4,2,1,1,3.0,,1,5,1.0,1.0,2,,1,1.0,2,7,2,2.0,,5,2.0,1
200803,2.0,1,,1,1,1994.0,4.0,4,1,1,4,2,1,2,,1.0,2,5,1.0,1.0,2,,1,1.0,4,2,1,,,5,,1
201505,1.0,1,,1,1,1981.0,7.0,4,1,2,2,1,1,2,,2.0,1,5,1.0,1.0,2,,1,1.0,4,7,1,4.0,3.0,5,2.0,1
201988,3.0,1,,1,1,1978.0,3.0,4,1,1,4,2,1,2,,2.0,1,3,1.0,1.0,2,0.0,1,1.0,4,10,1,4.0,2.0,6,2.0,1
201768,4.0,1,,2,1,1986.0,,4,1,2,4,2,1,3,3.0,,1,5,1.0,1.0,2,0.0,1,1.0,5,12,1,2.0,6.0,6,1.0,1
201040,,1,,1,1,1987.0,9.0,4,1,1,4,2,1,3,1.0,,2,5,1.0,1.0,2,,1,1.0,4,1,1,,,4,,1
202286,,1,,2,1,1977.0,,4,1,1,4,1,1,1,2.0,,2,5,1.0,1.0,2,,1,1.0,5,3,1,,,4,,1
200306,,1,,1,1,1994.0,,4,1,1,4,2,1,1,2.0,,2,77,2.0,1.0,2,,1,1.0,1,77,1,,,3,,2
203456,,1,,1,1,1982.0,,4,1,1,4,2,1,3,3.0,,2,5,,,2,,0,,3,77,1,,,3,,1
202850,2.0,1,,1,1,1982.0,9.0,2,1,1,4,2,1,1,,2.0,1,5,2.0,1.0,2,,1,1.0,4,12,1,4.0,3.0,6,2.0,1
202941,4.0,2,,1,1,1986.0,,4,1,1,4,2,1,1,3.0,,1,5,1.0,1.0,2,,1,1.0,3,3,1,2.0,2.0,5,2.0,1
201220,4.0,1,,1,2,1983.0,5.0,4,1,2,4,2,1,3,3.0,,1,5,1.0,1.0,2,,1,1.0,4,2,1,,,4,,1
202131,,1,,1,1,,6.0,4,1,2,3,1,1,3,3.0,,1,3,1.0,1.0,2,4.0,1,1.0,4,3,1,2.0,,5,77.0,1
204466,,1,,1,1,,18.0,4,1,1,4,2,99,2,,,1,5,,,2,0.0,1,,4,99,1,2.0,,6,2.0,1
203194,3.0,1,,1,1,1987.0,,4,1,1,4,2,1,1,1.0,2.0,2,4,1.0,1.0,2,,1,1.0,3,10,1,,,6,,1
203304,2.0,1,,1,1,1980.0,,4,1,1,4,2,1,3,3.0,2.0,2,5,1.0,1.0,2,,1,1.0,3,8,1,,,5,,1
201480,,2,,1,1,1986.0,12.0,4,1,1,3,1,1,3,1.0,,2,5,,,2,,1,,4,1,2,,,2,,1
201453,1.0,1,,1,1,1977.0,12.0,4,1,2,4,2,1,2,,1.0,1,5,1.0,1.0,2,0.0,0,1.0,4,12,1,2.0,,6,1.0,1
203897,1.0,1,,1,1,1985.0,9.0,4,1,1,4,1,1,1,3.0,1.0,1,5,1.0,1.0,2,,1,1.0,4,5,1,3.0,3.0,5,2.0,1
