clientid,resp,qkey,el12_1,samp_weight,sc3,st1,ih2,cp10wks,sc7,sc2,cp6b,el17a,ih4_1,sd1_1,es1a,bc1,sc4d1,el8,odate,el10,de3,de2_1,sc4b1,d4_1,sd1mns,es1b,fulladra,d5,bf1a_1,d4_2,ih1,el17e,el9,cp1
4644,1111,204644,3.0,0.4844932236268577,2.0,4,1,,1,1.0,1.0,1.0,,2.0,2,2,1,3.0,21-Mar-16,36.0,1.0,1.0,,1,4.0,4,1.0,2,3.0,,2,1.0,2.0,1
4287,405,204287,,1.684066987566743,,4,1,,1,,1.0,,,,2,1,1,,1-Mar-16,,56.0,8.0,,8,,4,1.0,56,3.0,,4,,,1
4342,781,204342,,0.5313322294183933,2.0,4,1,3.0,1,1.0,5.0,,,,4,1,2,9.0,13-Mar-16,30.0,1.0,1.0,,1,,4,,1,3.0,,1,,1.0,1
2884,1413,202884,,1.802918956089644,2.0,4,1,,1,1.0,,,,,1,1,2,,25-Mar-16,,,,,8,,4,1.0,28,3.0,,4,,,2
3457,752,203457,3.0,1.340125265822633,2.0,4,2,,1,1.0,2.0,1.0,5.0,,4,1,2,4.0,12-Mar-16,40.0,1.0,1.0,,1,,4,1.0,16,3.0,,2,1.0,1.0,1
3841,1491,203841,3.0,0.7882524042190551,,4,1,,1,,1.0,1.0,,,4,1,2,5.0,29-Mar-16,65.0,1.0,2.0,,2,,4,1.0,1,,1.0,1,1.0,1.0,1
1722,726,201722,2.0,0.6287488999473834,2.0,4,1,2.0,1,1.0,1.0,1.0,,2.0,4,1,2,9.0,11-Mar-16,40.0,1.0,2.0,,2,4.0,4,1.0,1,3.0,,1,2.0,1.0,1
1118,89,201118,3.0,1.167245406416207,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,2,9.0,25-Feb-16,50.0,1.0,3.0,,3,,4,1.0,11,3.0,,1,2.0,1.0,1
4055,491,204055,,1.006835631546474,2.0,4,1,,1,1.0,2.0,1.0,,,1,1,1,1.0,5-Mar-16,20.0,1.0,8.0,,8,,4,1.0,1,3.0,,1,2.0,1.0,1
1847,939,201847,,0.6066225242418511,2.0,4,1,,1,1.0,1.0,,,,3,1,1,4.0,17-Mar-16,25.0,82.0,77.0,,77,,4,1.0,26,3.0,,1,,1.0,1
3373,254,203373,3.0,0.857912964620455,2.0,4,1,,1,1.0,3.0,2.0,,1.0,3,1,1,8.0,26-Feb-16,28.0,2.0,2.0,,2,,4,1.0,55,3.0,,1,2.0,1.0,1
3187,102,203187,,3.653037328316086,2.0,4,1,,1,1.0,2.0,,,,4,1,1,,25-Feb-16,,99.0,99.0,,99,,4,,99,3.0,,2,,,1
4638,1540,204638,,1.115866559210314,,4,1,,1,,,,,,2,1,2,,2-Apr-16,,,,,8,,4,1.0,26,3.0,,2,,,2
4654,681,204654,3.0,0.5636911533633344,2.0,4,1,,1,1.0,1.0,2.0,,,4,1,2,9.0,9-Mar-16,40.0,50.0,2.0,,2,,4,1.0,1,3.0,,1,2.0,1.0,1
3078,757,203078,3.0,0.3472060405882424,2.0,1,1,,1,1.0,2.0,1.0,,2.0,1,1,1,77.0,13-Mar-16,20.0,42.0,2.0,,2,3.0,3,1.0,1,3.0,,2,1.0,2.0,1
2331,881,202331,3.0,0.6553293469857732,2.0,4,1,,1,1.0,5.0,1.0,,2.0,4,1,2,5.0,16-Mar-16,40.0,1.0,1.0,,1,7.0,4,1.0,1,77.0,,1,2.0,1.0,1
4247,1222,204247,3.0,0.8025653601935056,2.0,4,1,,1,1.0,,1.0,,,4,1,2,9.0,23-Mar-16,40.0,,,,2,,4,1.0,1,1.0,,1,2.0,1.0,2
577,655,200577,,2.0451031059586007,2.0,4,1,,1,1.0,2.0,,,,2,1,1,,9-Mar-16,,56.0,1.0,,1,,4,1.0,56,1.0,,3,,,1
1386,1322,201386,2.0,0.5396572824525288,2.0,4,1,3.0,1,1.0,1.0,1.0,,,4,1,1,9.0,24-Mar-16,40.0,73.0,2.0,,2,,4,1.0,1,3.0,,1,2.0,1.0,1
707,1394,200707,,1.9765979082417735,2.0,4,1,,1,1.0,1.0,,,,4,1,1,,25-Mar-16,,1.0,1.0,,1,,4,1.0,64,1.0,,3,,,1
224,281,200224,3.0,0.4780377296373892,2.0,4,1,,1,1.0,2.0,,,,4,1,2,77.0,27-Feb-16,50.0,56.0,8.0,,8,,4,1.0,28,3.0,,2,,2.0,1
2844,341,202844,,0.6346173586171209,2.0,77,1,,1,1.0,,2.0,,,4,1,1,77.0,29-Feb-16,45.0,,,,2,,4,1.0,41,2.0,,1,1.0,1.0,2
3703,557,203703,3.0,0.6784867889500306,2.0,4,1,,1,1.0,,1.0,,,3,1,1,77.0,8-Mar-16,35.0,,,,2,,2,1.0,1,3.0,,4,2.0,1.0,2
3979,738,203979,2.0,0.9396575253447524,2.0,4,1,2.0,1,1.0,1.0,2.0,,,4,1,2,9.0,11-Mar-16,50.0,17.0,1.0,,1,,4,,17,3.0,,1,1.0,1.0,1
4435,450,204435,,0.356432664787574,2.0,4,1,1.0,1,1.0,3.0,,,,2,1,1,3.0,3-Mar-16,35.0,1.0,99.0,,99,,4,1.0,1,,,2,,2.0,1
2575,817,202575,2.0,0.7209580353731216,2.0,4,1,,1,1.0,3.0,1.0,,,4,1,2,1.0,15-Mar-16,15.0,34.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,2.0,1
3014,748,203014,,0.4735889694166647,2.0,4,1,,1,1.0,1.0,,,,4,1,1,77.0,12-Mar-16,40.0,79.0,1.0,,1,,4,1.0,81,1.0,,1,,2.0,1
39,1015,200039,2.0,0.4552260564185921,2.0,4,1,,1,1.0,,1.0,,,4,1,2,3.0,18-Mar-16,50.0,,,,3,,4,1.0,1,3.0,2.0,2,2.0,1.0,2
2974,429,202974,,1.87337091957397,2.0,4,2,,1,1.0,6.0,,5.0,,1,1,2,,2-Mar-16,,1.0,1.0,,1,,4,1.0,1,3.0,,2,,,1
2231,872,202231,3.0,0.6553293469857732,2.0,4,1,2.0,1,1.0,1.0,1.0,,,4,1,2,9.0,16-Mar-16,40.0,56.0,77.0,,1,,4,1.0,1,3.0,,2,2.0,1.0,1
3899,1316,203899,,2.066656077998331,2.0,4,1,,1,1.0,,,,,4,1,1,6.0,24-Mar-16,25.0,,,,2,,4,1.0,1,3.0,,1,,2.0,2
2849,257,202849,,0.8275032622671401,2.0,4,2,2.0,1,1.0,1.0,,6.0,,2,1,2,,26-Feb-16,,56.0,1.0,,1,,2,1.0,56,3.0,,1,,,1
1231,483,201231,,2.4057503488948324,,4,1,,1,,1.0,,,,2,1,1,,4-Mar-16,,99.0,99.0,,2,,2,1.0,1,1.0,,1,,,1
3316,30,203316,3.0,1.2891432338343036,2.0,4,1,,1,1.0,2.0,1.0,,2.0,4,1,1,7.0,24-Feb-16,45.0,1.0,5.0,,5,11.0,4,1.0,1,2.0,,1,1.0,2.0,1
2228,1122,202228,2.0,0.7934138949575522,2.0,4,1,1.0,1,1.0,3.0,1.0,,2.0,4,1,2,9.0,21-Mar-16,40.0,1.0,1.0,,1,3.0,4,,1,1.0,,2,2.0,1.0,1
1179,399,201179,3.0,0.608974341491052,2.0,4,1,,1,1.0,5.0,2.0,,,4,1,2,9.0,1-Mar-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
1376,731,201376,2.0,0.3948114994416828,2.0,4,1,,1,1.0,6.0,1.0,,,4,1,1,7.0,11-Mar-16,40.0,28.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
3867,1397,203867,3.0,0.6861270168136122,2.0,4,1,,1,1.0,,1.0,,,4,1,2,5.0,25-Mar-16,40.0,,,,2,,4,1.0,76,3.0,,1,2.0,1.0,2
4637,1046,204637,2.0,0.7136758061021097,2.0,4,1,,1,1.0,3.0,1.0,,,4,1,1,1.0,20-Mar-16,40.0,21.0,2.0,,3,,4,1.0,21,3.0,,3,2.0,1.0,1
4795,899,204795,3.0,0.4597481562380179,2.0,4,1,1.0,1,1.0,5.0,,,,4,1,1,7.0,16-Mar-16,50.0,1.0,1.0,,1,,4,,1,3.0,,1,,1.0,1
698,1035,200698,,1.93546141231906,2.0,4,1,1.0,1,1.0,3.0,,,,3,1,2,,19-Mar-16,,2.0,1.0,,1,,4,1.0,29,3.0,,1,,,1
1899,459,201899,,1.7660782204833212,,4,1,,1,,3.0,,,,3,1,1,,3-Mar-16,,1.0,2.0,,2,,4,1.0,1,3.0,,1,,,1
2219,9,202219,3.0,1.167245406416207,2.0,4,1,3.0,1,1.0,2.0,1.0,,,4,1,1,1.0,24-Feb-16,10.0,1.0,3.0,,3,,4,1.0,21,3.0,,1,1.0,1.0,1
2733,668,202733,2.0,0.455621915241301,2.0,4,1,,1,1.0,1.0,1.0,,,2,1,1,7.0,9-Mar-16,40.0,26.0,8.0,,8,,4,1.0,26,3.0,,3,2.0,1.0,1
2452,280,202452,3.0,1.046380365533791,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,1,9.0,27-Feb-16,40.0,1.0,8.0,,1,,4,1.0,49,3.0,,1,1.0,1.0,1
256,613,200256,2.0,0.5814438289564205,,4,1,,1,,5.0,1.0,6.0,,3,1,2,8.0,8-Mar-16,10.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
899,1435,200899,3.0,1.0751579218765033,2.0,4,1,,1,1.0,3.0,1.0,,,1,1,1,1.0,28-Mar-16,40.0,50.0,2.0,,2,,4,1.0,1,,,1,1.0,2.0,1
102,1348,200102,3.0,0.455621915241301,2.0,4,1,,1,1.0,6.0,1.0,,,2,1,1,7.0,24-Mar-16,40.0,99.0,1.0,,1,,2,,99,3.0,,1,77.0,1.0,1
3938,675,203938,3.0,0.9481998789104406,2.0,4,1,,1,1.0,2.0,2.0,,,4,1,2,77.0,9-Mar-16,40.0,1.0,1.0,,1,,4,1.0,34,3.0,,1,1.0,1.0,1
3365,1399,203365,,1.169463947148844,2.0,4,1,,1,1.0,6.0,,,,4,1,1,,25-Mar-16,,1.0,77.0,,77,,4,1.0,1,3.0,,1,,,1
3632,868,203632,3.0,0.4106383247174564,2.0,4,1,,1,1.0,3.0,2.0,,,3,1,1,1.0,16-Mar-16,20.0,26.0,1.0,,1,,4,1.0,26,1.0,,1,2.0,1.0,1
3090,1226,203090,3.0,0.356432664787574,2.0,4,1,2.0,1,1.0,2.0,,,,4,1,2,9.0,23-Mar-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,,1.0,1
2159,1065,202159,2.0,0.6553293469857732,2.0,4,1,2.0,1,1.0,2.0,1.0,,2.0,4,1,2,6.0,20-Mar-16,50.0,1.0,1.0,,1,4.0,4,1.0,1,1.0,,1,2.0,1.0,1
1447,948,201447,3.0,0.6553293469857732,2.0,4,1,2.0,1,1.0,3.0,1.0,,,4,1,1,1.0,18-Mar-16,42.0,2.0,1.0,,1,,4,1.0,1,3.0,,2,1.0,1.0,1
3824,417,203824,2.0,0.7575463891754727,2.0,4,1,,1,1.0,,1.0,,1.0,2,1,2,1.0,2-Mar-16,40.0,,,,2,,4,1.0,1,1.0,,1,2.0,1.0,2
3414,382,203414,,1.5789834684115034,,4,1,,1,,1.0,,,,3,1,1,,1-Mar-16,,2.0,2.0,,2,,4,1.0,2,3.0,,2,,,1
4999,479,204999,2.0,0.7209580353731216,2.0,4,1,8.0,1,1.0,2.0,2.0,,2.0,4,1,2,8.0,4-Mar-16,45.0,1.0,1.0,,1,6.0,4,1.0,1,1.0,,3,2.0,1.0,1
3962,1350,203962,3.0,0.3489402147930184,2.0,4,1,,1,1.0,1.0,1.0,,,3,1,1,1.0,24-Mar-16,25.0,26.0,1.0,,1,,77,1.0,26,1.0,,3,1.0,1.0,1
4645,363,204645,2.0,0.5402911802795658,,4,1,,1,,6.0,1.0,6.0,,4,1,1,5.0,29-Feb-16,30.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
1920,897,201920,2.0,0.6776174266084367,2.0,4,1,,1,1.0,5.0,,,,4,1,2,77.0,16-Mar-16,40.0,22.0,1.0,,8,,4,1.0,22,3.0,,2,,1.0,1
1916,1237,201916,,1.7399200491708704,,4,1,,1,,4.0,,,,3,1,1,,23-Mar-16,,1.0,1.0,,1,,4,1.0,1,3.0,,1,,,1
2266,669,202266,,1.9106123828733328,2.0,4,1,,1,1.0,1.0,,,,3,1,2,,9-Mar-16,,56.0,8.0,,8,,3,1.0,56,3.0,,1,,,1
3864,1375,203864,3.0,0.6335969860437893,2.0,4,1,,1,1.0,2.0,2.0,,,4,1,1,9.0,25-Mar-16,26.0,1.0,1.0,,1,,4,1.0,1,,,1,2.0,1.0,1
605,115,200605,2.0,0.5516628170349926,2.0,4,1,2.0,1,1.0,2.0,1.0,,,4,1,1,9.0,25-Feb-16,65.0,82.0,77.0,,1,,4,,2,3.0,,1,2.0,1.0,1
3894,1134,203894,2.0,0.4104209062485416,2.0,4,1,4.0,1,1.0,1.0,2.0,,2.0,4,1,2,9.0,21-Mar-16,50.0,1.0,1.0,,1,3.0,4,1.0,1,1.0,,1,2.0,1.0,1
3483,1125,203483,2.0,1.407311121333186,2.0,4,1,2.0,1,1.0,2.0,,,,3,1,1,2.0,21-Mar-16,40.0,40.0,2.0,,2,,4,1.0,40,3.0,,2,,1.0,1
1670,1533,201670,77.0,0.5717955855528118,,4,2,,1,,3.0,1.0,5.0,,3,1,2,7.0,1-Apr-16,10.0,1.0,1.0,,1,,4,1.0,1,1.0,,1,1.0,1.0,1
814,745,200814,2.0,0.7934138949575522,,4,1,1.0,1,,2.0,2.0,,,4,1,2,9.0,12-Mar-16,35.0,1.0,1.0,,1,,4,,1,2.0,,1,2.0,1.0,1
2513,1042,202513,2.0,1.340125265822633,2.0,4,1,4.0,1,1.0,6.0,1.0,,,4,1,2,9.0,19-Mar-16,40.0,2.0,3.0,,3,,4,1.0,21,3.0,,1,1.0,1.0,1
4872,1247,204872,,0.6066225242418511,2.0,4,1,,1,1.0,1.0,,,,3,1,1,77.0,23-Mar-16,24.0,26.0,8.0,,8,,4,1.0,26,3.0,,3,,2.0,1
985,307,200985,,1.7399200491708704,,4,1,,1,,6.0,,2.0,,3,1,1,,28-Feb-16,,1.0,1.0,,1,,4,1.0,1,3.0,,1,,,1
3936,792,203936,3.0,0.3674689852790727,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,1,8.0,14-Mar-16,40.0,31.0,1.0,,1,,4,1.0,22,3.0,,1,1.0,1.0,1
1603,964,201603,,0.5109806507612417,2.0,4,1,,1,1.0,2.0,,,,4,1,2,2.0,18-Mar-16,20.0,1.0,2.0,,2,,4,1.0,1,3.0,,2,,1.0,1
3952,259,203952,,0.7738938940885529,2.0,4,1,,1,1.0,2.0,,,,1,1,2,3.0,26-Feb-16,25.0,77.0,8.0,,8,,2,1.0,26,3.0,,1,,2.0,1
686,1251,200686,2.0,0.5457304734666845,2.0,4,1,,1,1.0,5.0,,,,4,1,2,77.0,23-Mar-16,36.0,41.0,2.0,,2,,4,1.0,41,3.0,,1,,1.0,1
2854,1018,202854,,2.2101989349785804,,4,1,,1,,,,,,3,2,2,,18-Mar-16,,,,,2,,4,1.0,1,,,5,,,2
4799,101,204799,3.0,0.4995329983055051,2.0,4,1,1.0,1,1.0,2.0,1.0,,,4,1,1,5.0,25-Feb-16,44.0,17.0,1.0,,1,,4,1.0,17,1.0,,1,1.0,1.0,1
2113,409,202113,,0.6798708607129476,2.0,4,1,,1,1.0,6.0,,,,4,1,1,77.0,1-Mar-16,40.0,56.0,1.0,,1,,4,1.0,56,3.0,,1,,1.0,1
2602,1314,202602,2.0,0.4500919379728818,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,1,9.0,24-Mar-16,40.0,1.0,2.0,,2,,4,1.0,50,3.0,,2,2.0,1.0,1
93,1136,200093,2.0,0.7209580353731216,2.0,4,1,2.0,1,1.0,3.0,2.0,,2.0,4,1,2,9.0,21-Mar-16,55.0,1.0,1.0,,1,3.0,4,,1,3.0,,1,1.0,1.0,1
2964,567,202964,,1.5186197916221884,2.0,4,1,,1,1.0,1.0,,,,4,1,1,77.0,8-Mar-16,30.0,81.0,1.0,,1,,4,1.0,81,3.0,,1,,1.0,1
1449,1508,201449,3.0,0.7448135820595818,,4,1,,1,,1.0,1.0,,2.0,4,1,2,9.0,30-Mar-16,30.0,1.0,2.0,,2,12.0,4,1.0,70,1.0,,1,2.0,2.0,1
4658,460,204658,,1.002803878185295,2.0,4,1,,1,1.0,2.0,,,,2,1,2,,3-Mar-16,,99.0,8.0,,8,,1,1.0,99,3.0,,1,,,1
3075,832,203075,,0.5001893618375753,,4,1,1.0,1,,6.0,,,,2,1,2,,15-Mar-16,,50.0,2.0,,2,,4,1.0,50,3.0,,1,,,1
882,974,200882,2.0,1.3447650457195892,2.0,4,1,,1,1.0,6.0,1.0,,,2,1,1,77.0,18-Mar-16,25.0,1.0,2.0,,2,,4,1.0,1,3.0,,1,2.0,1.0,1
717,1351,200717,3.0,1.0360945453957904,2.0,4,1,,1,1.0,6.0,,,,1,1,2,77.0,24-Mar-16,30.0,26.0,8.0,,1,,4,1.0,26,,,2,,1.0,1
2694,973,202694,3.0,0.608974341491052,2.0,4,1,1.0,1,1.0,3.0,2.0,,,4,1,1,6.0,18-Mar-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
4031,532,204031,3.0,0.9672605061590672,2.0,4,1,,1,1.0,6.0,1.0,,2.0,3,1,2,77.0,7-Mar-16,30.0,5.0,2.0,,2,7.0,4,1.0,5,3.0,,3,1.0,1.0,1
1798,143,201798,2.0,0.6513948425821009,2.0,4,1,1.0,1,1.0,1.0,1.0,,,4,1,2,9.0,25-Feb-16,35.0,1.0,2.0,,2,,4,1.0,1,1.0,,2,2.0,2.0,1
703,979,200703,,1.4016285950078742,2.0,4,1,,1,1.0,4.0,,,,4,1,2,,18-Mar-16,,1.0,2.0,,2,,4,1.0,1,3.0,,1,,,1
2557,701,202557,3.0,0.5788605352400658,2.0,4,1,2.0,1,1.0,4.0,1.0,2.0,,4,1,2,7.0,10-Mar-16,50.0,67.0,1.0,,1,,4,1.0,67,3.0,,2,2.0,1.0,1
4516,1100,204516,3.0,1.722943115061314,,4,1,,1,,2.0,1.0,77.0,,3,1,2,7.0,21-Mar-16,25.0,1.0,2.0,,2,,1,1.0,1,3.0,,1,2.0,2.0,1
862,1428,200862,3.0,0.6453357697925803,,4,1,,1,,1.0,1.0,,,4,1,1,9.0,26-Mar-16,40.0,41.0,2.0,,2,,4,1.0,41,3.0,,1,2.0,1.0,1
1432,231,201432,2.0,0.6784867889500306,2.0,4,1,,1,1.0,1.0,1.0,,,3,1,1,9.0,26-Feb-16,40.0,1.0,2.0,,2,,4,1.0,1,,,1,2.0,1.0,1
2062,432,202062,,1.0260341542866716,2.0,4,1,,1,1.0,1.0,,,,4,1,2,,2-Mar-16,,26.0,8.0,,8,,4,1.0,26,3.0,,1,,,1
1606,284,201606,,0.8855193879462633,,4,1,,1,,6.0,,,,4,1,1,4.0,27-Feb-16,40.0,56.0,8.0,,8,,4,1.0,1,3.0,,1,,1.0,1
4709,469,204709,,1.2714923810025367,2.0,4,1,3.0,1,1.0,1.0,,,,4,1,1,,4-Mar-16,,28.0,1.0,,1,,4,1.0,28,3.0,,2,,,1
233,114,200233,3.0,0.5712608406540903,2.0,4,1,,1,1.0,,1.0,,,3,1,1,77.0,25-Feb-16,40.0,,,,8,,3,1.0,26,3.0,,1,2.0,1.0,2
4172,55,204172,3.0,0.6798708607129476,2.0,4,1,,1,1.0,1.0,2.0,,,1,1,1,7.0,24-Feb-16,40.0,26.0,2.0,,2,,1,1.0,26,3.0,,1,1.0,1.0,1
849,565,200849,,1.87337091957397,,4,1,,1,,5.0,,,,3,1,1,,8-Mar-16,,1.0,1.0,,1,,4,1.0,1,3.0,,1,,,1
771,1163,200771,3.0,0.6553293469857732,2.0,4,1,,1,1.0,2.0,1.0,,,4,1,2,5.0,22-Mar-16,40.0,1.0,3.0,,1,,4,1.0,1,3.0,,1,1.0,1.0,1
1842,435,201842,3.0,0.5316134768614861,2.0,4,1,,1,1.0,1.0,2.0,,,4,1,2,6.0,2-Mar-16,40.0,28.0,8.0,,8,,4,1.0,22,3.0,,3,1.0,1.0,1
2435,403,202435,2.0,0.5313322294183933,,4,1,,1,,3.0,1.0,,,3,1,2,8.0,1-Mar-16,19.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
3261,283,203261,,0.5372564468928832,,4,1,,1,,,,,,3,1,1,,27-Feb-16,,,,,2,,3,,1,3.0,,1,,,2
4448,324,204448,3.0,1.805772808982796,2.0,4,1,1.0,1,1.0,3.0,1.0,,,4,1,1,9.0,28-Feb-16,35.0,67.0,1.0,,1,,4,1.0,67,3.0,,1,2.0,1.0,1
2538,520,202538,2.0,0.5717955855528118,,4,1,,1,,3.0,2.0,6.0,,3,1,1,77.0,6-Mar-16,30.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,1.0,1.0,1
3474,851,203474,,0.7934138949575522,2.0,4,1,2.0,1,1.0,1.0,,,,4,2,77,,16-Mar-16,,1.0,1.0,,1,,4,,1,3.0,,1,,,1
2551,1140,202551,,1.0839257210141282,2.0,4,1,,1,1.0,1.0,,,,4,1,1,,21-Mar-16,,28.0,8.0,,8,,4,1.0,28,3.0,,1,,,1
4574,1223,204574,3.0,0.4917835120018629,2.0,4,1,,1,1.0,5.0,1.0,,,4,1,1,3.0,23-Mar-16,35.0,1.0,1.0,,1,,4,1.0,1,3.0,,2,2.0,1.0,1
2479,1039,202479,2.0,0.7332172262073745,2.0,4,1,,1,1.0,1.0,1.0,,,4,1,1,77.0,19-Mar-16,35.0,1.0,2.0,,2,,3,1.0,1,1.0,,4,2.0,1.0,1
1381,197,201381,,0.6352995788784648,,4,1,,1,,1.0,1.0,,,4,1,2,9.0,26-Feb-16,40.0,1.0,2.0,,2,,4,1.0,1,1.0,,1,2.0,1.0,1
3256,658,203256,2.0,0.5814438289564205,,4,1,,1,,2.0,1.0,,,4,1,1,77.0,9-Mar-16,50.0,1.0,1.0,,1,,4,1.0,1,3.0,,3,1.0,1.0,1
4399,596,204399,,1.9863440050059205,,4,1,,1,,,,,,1,1,2,,8-Mar-16,,,,,3,,4,1.0,60,3.0,,2,,,2
3575,171,203575,,1.6666302880439814,,4,1,,1,,1.0,,,,4,1,1,,25-Feb-16,,2.0,8.0,,8,,4,1.0,2,3.0,,1,,,1
339,1442,200339,2.0,0.6984802994085738,2.0,4,1,,1,1.0,6.0,1.0,,,4,1,2,8.0,28-Mar-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,2.0,1.0,1
271,510,200271,3.0,0.5814438289564205,2.0,4,1,,1,1.0,4.0,,,,4,1,1,6.0,6-Mar-16,30.0,1.0,1.0,,1,,4,1.0,1,3.0,,2,,1.0,1
3070,911,203070,2.0,0.5630864915960208,2.0,4,1,,1,1.0,1.0,1.0,,,3,1,2,9.0,17-Mar-16,30.0,40.0,2.0,,2,,4,1.0,40,3.0,,2,1.0,1.0,1
3196,1166,203196,,1.87337091957397,,4,1,1.0,1,,6.0,,,,4,1,1,,22-Mar-16,,1.0,1.0,,1,,4,1.0,1,,,1,,,1
1329,462,201329,3.0,1.7234883137073047,2.0,4,1,,1,1.0,6.0,,,,2,1,2,1.0,4-Mar-16,40.0,26.0,77.0,,77,,4,,26,3.0,,2,,2.0,1
3887,193,203887,3.0,0.5028569253725641,2.0,4,1,2.0,1,1.0,3.0,1.0,,,2,1,1,7.0,26-Feb-16,40.0,1.0,1.0,,1,,4,1.0,1,3.0,,1,1.0,1.0,1
1100,425,201100,2.0,0.5313322294183933,,4,1,,1,,1.0,1.0,,,3,1,2,3.0,2-Mar-16,36.0,1.0,99.0,,99,,4,1.0,1,2.0,,1,1.0,1.0,1
