clientid,d3,el16,pph2b,el14,de1,pph2c,cp5,el7,bf1awks,sc6a,bf2,sc4,qrep,d1,qc1,pop_weight,el13b,el11,el13d,de2_3,el15,mh3a,el17d,de2_2,el17b,mh2,sc4b2,pph2a,el4,es4,sd2,bf1wks,bc3,mh4,cp6c,el1
358,2,,,1.0,2.0,,1.0,1.0,,1,1.0,1,11,1,2,57.945220245476285,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,6.0,1
4126,1,,,,1.0,,1.0,,,2,1.0,1,22,1,2,215.7860487298585,,,,,,,,,,2,,,,3,,,3,2,2.0,2
2136,2,,,2.0,2.0,,2.0,1.0,,2,,1,20,1,2,62.360979863587126,0.0,3.0,2.0,,1.0,,2.0,,2.0,2,,,1.0,9,1.0,,2,3,3.0,1
3665,1,,1.0,,1.0,2.0,1.0,,,2,7.0,1,7,1,2,179.21950448315957,,,,,,,,,,2,,1.0,,5,,1.0,2,3,3.0,2
2934,1,,,,1.0,,1.0,,,2,,1,18,1,1,140.32967452517772,,,,,,,,,,2,,,,7,,,3,1,1.0,2
2565,2,,,,2.0,,1.0,,,2,1.0,1,17,1,1,156.96086118842445,,,,,,,,,,2,,,,2,,,3,3,6.0,2
1324,2,,,1.0,,,,1.0,,2,5.0,1,25,1,2,70.25414677779541,8.0,3.0,8.0,,1.0,,1.0,,2.0,2,,,1.0,3,1.0,,3,3,,1
779,2,,,77.0,2.0,,4.0,1.0,,2,3.0,1,5,1,2,62.360979863587126,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,10,1.0,,2,1,4.0,1
555,2,2.0,,1.0,2.0,,2.0,1.0,,2,3.0,1,14,1,2,59.26898168429154,2.0,3.0,12.0,,2.0,,,,,2,,,1.0,3,,,2,2,3.0,1
2911,2,,,1.0,2.0,,4.0,1.0,,2,5.0,1,9,1,2,87.02675265466911,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,2,3.0,1
3598,1,,,,1.0,,1.0,2.0,,2,,1,1,1,2,49.83844388659364,,4.0,,,4.0,,2.0,,77.0,2,,,1.0,3,1.0,,3,1,1.0,1
1974,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,3,1,2,62.07528104102016,0.0,3.0,2.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,2,2,4.0,1
4370,1,,2.0,1.0,1.0,2.0,3.0,2.0,,2,5.0,1,5,1,2,34.77190774887914,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,2.0,1.0,4,1.0,,3,4,4.0,1
4545,1,,2.0,,,2.0,,,3.0,2,1.0,1,16,1,2,172.101313299927,,,,,,,,,,2,,2.0,,1,,2.0,3,4,,2
1541,1,,,,1.0,,1.0,,,2,1.0,1,22,1,1,226.38587098633303,,,,,,,,,,2,,,,5,,,3,3,1.0,2
2686,2,,,,2.0,,2.0,,,2,4.0,1,11,1,2,317.2126675105792,,,,,,,,,,2,,,,4,,2.0,2,3,3.0,2
2588,2,2.0,,,2.0,,2.0,2.0,,2,,1,17,1,2,94.42631400259171,,4.0,,,2.0,,,,,2,,,1.0,3,,,4,2,3.0,1
4204,2,,,,2.0,,1.0,1.0,,2,,1,12,1,2,61.410557825509606,,77.0,,,1.0,,77.0,,1.0,2,,,1.0,6,77.0,,3,2,6.0,1
4848,2,,,2.0,2.0,,3.0,2.0,,2,1.0,1,12,1,99,65.69080429417001,0.0,1.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,10,1.0,,2,1,3.0,1
3993,1,,,1.0,1.0,,2.0,1.0,,2,1.0,1,5,1,2,27.33133093792839,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,2.0,,4,4,3.0,1
2173,2,,,1.0,2.0,,2.0,1.0,,2,3.0,1,7,1,2,59.26898168429154,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,8,1.0,,2,2,3.0,1
1288,2,,,2.0,2.0,,1.0,2.0,,2,7.0,1,18,1,1,155.28896388920774,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,2,3.0,,2,3,1.0,1
2851,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,16,1,1,62.07528104102016,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,2.0,,2,2,2.0,1
2559,2,,,,2.0,,3.0,,,2,,1,9,1,2,372.3692499971946,,,,,,,,,,2,,,,1,,,3,3,4.0,2
1343,2,,,1.0,2.0,,1.0,1.0,,2,3.0,1,19,1,2,124.09459079271028,11.0,1.0,0.0,,1.0,,2.0,,2.0,1,,,2.0,3,1.0,,3,1,2.0,1
1228,2,,,2.0,2.0,,3.0,1.0,,2,,1,24,1,1,73.4902435379962,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,2,2.0,1
4722,2,,,,1.0,,1.0,,,2,4.0,1,22,1,2,200.45919749674133,,,,,,,,,,2,,,,3,,,2,4,2.0,2
830,2,,,,2.0,,2.0,,10.0,2,2.0,1,1,1,2,120.48630485227734,,,,,,,,,,2,,,,5,,9.0,3,2,2.0,2
2092,1,,,,1.0,,1.0,,,2,3.0,1,4,1,2,152.35224285954524,,,,,,,,,,2,,,,3,,,3,3,4.0,2
1089,2,,,,1.0,,1.0,,,2,4.0,1,10,1,2,220.2092198098002,,,,,,1.0,,,,1,,,,2,,,2,3,2.0,2
3150,2,,,77.0,2.0,,3.0,1.0,,2,1.0,1,24,99,2,115.3072376122815,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,99,1.0,,77,3,6.0,1
422,2,,,1.0,2.0,,1.0,77.0,,2,1.0,1,7,1,2,85.76254721195639,1.0,1.0,4.0,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,4,1.0,1
120,1,,,,1.0,,1.0,,6.0,2,5.0,1,5,1,1,119.94110833449646,,,,,,,,,,2,,,,3,,,3,1,2.0,77
1283,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,11,1,2,87.56730188559038,2.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,2.0,2,1.0,,2,3,1.0,1
2534,1,,,,1.0,,1.0,,,2,,1,6,1,2,159.57919534572028,,,,,,,,,,2,,,,1,,,2,3,3.0,2
2907,1,,,1.0,1.0,,1.0,2.0,,2,3.0,1,24,1,2,42.46643849112768,0.0,3.0,8.0,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,3,1,1.0,1
498,2,,,1.0,2.0,,2.0,1.0,,2,4.0,1,19,1,2,101.01888616223748,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,4,2,2.0,1
4824,1,,,2.0,1.0,,1.0,2.0,,2,,1,1,1,1,47.51229118105359,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,1,2.0,1
2265,1,,,,1.0,,1.0,,,2,1.0,1,18,1,1,372.3692499971946,,,,,,,,,,1,,,,4,,,3,2,6.0,2
3283,2,,,1.0,2.0,,1.0,1.0,,2,2.0,1,11,1,2,62.07528104102016,6.0,1.0,0.0,,1.0,3.0,2.0,,2.0,1,,,1.0,3,1.0,,2,2,3.0,1
2349,2,,,2.0,2.0,,3.0,2.0,,2,,1,20,1,1,108.03918738425814,77.0,3.0,0.0,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,1,3.0,1
4718,2,,,1.0,1.0,,3.0,2.0,,2,4.0,1,16,1,2,73.4902435379962,,2.0,,,1.0,3.0,2.0,,1.0,1,,,1.0,4,1.0,,6,4,2.0,1
3624,2,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2,1.0,1,11,1,2,200.41472819041704,0.0,3.0,4.0,,1.0,,1.0,,1.0,2,,2.0,1.0,3,1.0,,3,3,1.0,1
1301,1,,,,1.0,,1.0,,,1,3.0,1,20,1,1,119.25869698111956,,,,,,,,,,2,,,,4,,,2,2,5.0,2
3877,2,,,1.0,,,,1.0,,2,5.0,1,22,1,2,131.40771801067714,0.0,3.0,5.0,,1.0,,2.0,,1.0,2,,,1.0,3,3.0,,2,4,,1
4223,1,2.0,,,1.0,,3.0,2.0,,2,1.0,1,14,1,2,52.74223899318457,,4.0,,,2.0,,,,,2,,,1.0,4,,,2,4,2.0,1
1367,2,,,1.0,2.0,,3.0,1.0,,2,3.0,1,3,1,2,73.4902435379962,0.0,1.0,0.0,,4.0,,2.0,,1.0,2,,,1.0,3,1.0,,2,2,2.0,1
3945,2,,,1.0,2.0,,3.0,1.0,,2,,1,21,1,99,64.5851693506687,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,5,1.0,,3,1,3.0,1
2209,2,,,,2.0,,1.0,,,2,1.0,1,8,1,1,138.4227632270809,,,,,,,,,,2,,,,4,,,2,2,3.0,2
2291,1,10.0,,1.0,1.0,,1.0,2.0,,2,4.0,1,18,1,2,88.60982881164699,,2.0,,,2.0,,,,,2,,,1.0,4,,,3,3,6.0,1
65,2,,2.0,,2.0,2.0,3.0,,,1,1.0,1,16,1,1,224.2601062048037,,,,,,,,,,2,,2.0,,5,,,2,3,6.0,2
2380,2,,,,,,,1.0,,2,1.0,1,25,1,2,175.6267395819226,,4.0,,,4.0,,2.0,,2.0,2,,,1.0,3,1.0,1.0,2,4,,1
4488,2,,,2.0,,,,2.0,,2,3.0,1,7,1,2,65.69080429417001,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,10,1.0,,2,1,,1
259,1,,,1.0,,,,1.0,,2,3.0,1,14,1,1,90.2646649109175,6.0,3.0,4.0,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,3,3,,1
2189,2,,,,2.0,,1.0,,,2,1.0,1,11,1,2,138.76082474595924,,,,,,,,,,2,,,,99,,,2,2,1.0,2
4680,2,,,,2.0,,2.0,1.0,,2,3.0,1,15,1,2,66.8004390611387,,4.0,,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,3,1.0,1
570,2,,,1.0,2.0,,3.0,1.0,,2,1.0,1,25,1,2,69.16097319235138,12.0,3.0,12.0,,1.0,,1.0,,2.0,2,,,1.0,5,1.0,,2,3,4.0,1
2700,2,,,2.0,,,,1.0,,2,3.0,1,23,1,2,80.87596989842007,2.0,3.0,16.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,1,,1
3302,1,,,,1.0,,1.0,,,2,1.0,1,11,1,2,35.24359784647612,,,,,,,,,,2,,,,3,,,2,3,3.0,2
2712,2,,,,2.0,,1.0,1.0,,2,7.0,1,3,99,1,54.16089844859776,,77.0,,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,2.0,1
3744,1,,,1.0,1.0,,1.0,2.0,,2,,1,14,1,2,36.33266023115935,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,2,1.0,,3,2,5.0,1
2221,2,,,,2.0,,1.0,,,2,1.0,1,17,1,1,336.3061029472686,,,,,,,,,,2,,,,3,,,3,3,3.0,2
2091,1,,,2.0,,,,1.0,,2,1.0,1,24,1,2,49.20209559247249,0.0,3.0,16.0,,1.0,,2.0,,2.0,2,,,1.0,2,1.0,,5,1,,1
333,1,,,1.0,1.0,,1.0,2.0,,1,1.0,1,17,1,1,32.30178779273543,0.0,1.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,4,2,1.0,1
3430,2,,,,2.0,,1.0,,,2,,1,3,1,2,193.33420603071943,,,,,,,,,,2,,,,2,,,3,1,3.0,2
824,2,,,,2.0,,2.0,,,2,4.0,1,1,1,2,365.8835473208831,,,,,,,,,,2,,,,5,,,5,2,3.0,2
1380,2,,,,,,,,,2,1.0,1,20,1,1,137.41196730541083,,,,,,,,,,2,,,,4,,6.0,5,3,,2
929,1,,,2.0,1.0,,2.0,77.0,,2,1.0,1,23,1,1,103.23606575197348,4.0,1.0,0.0,,1.0,,2.0,,2.0,1,,,1.0,3,1.0,,2,3,3.0,1
3441,2,,,1.0,2.0,,1.0,2.0,,2,1.0,1,1,1,2,54.16089844859776,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,2,3,5.0,1
627,1,,,1.0,,,,1.0,,2,4.0,1,24,1,2,257.27804133445323,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,6,1.0,,3,3,,1
852,2,,,,2.0,,3.0,,,2,,1,8,1,2,70.25414677779541,,,,,,,,,,2,,,,3,,,3,1,3.0,2
2352,2,,,2.0,2.0,,1.0,2.0,,2,7.0,1,15,1,2,65.69080429417001,0.0,3.0,6.0,,1.0,,2.0,,1.0,2,,,1.0,11,1.0,,2,1,3.0,1
1800,2,,,,2.0,,1.0,,,2,5.0,1,22,1,1,74.14144489174323,,,,,,,,,,2,,,,2,,,2,2,1.0,2
969,2,,,2.0,2.0,,2.0,2.0,,2,3.0,1,9,1,1,58.28549620711241,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,5.0,1
1910,1,,,,1.0,,1.0,,,2,,1,25,1,1,183.7790088485884,,,,,,,,,,2,,,,5,,,3,4,3.0,2
4013,1,,,1.0,2.0,,3.0,1.0,,2,3.0,1,11,1,1,73.4902435379962,0.0,3.0,4.0,,1.0,1.0,2.0,,1.0,1,,,1.0,5,2.0,,2,4,3.0,1
2271,2,2.0,,2.0,,,,2.0,,2,7.0,1,21,1,2,245.2281136452008,,2.0,,,2.0,,,,,2,,,1.0,2,,,2,2,,1
2977,2,,,,2.0,,1.0,,,2,1.0,1,15,1,1,319.22623205918933,,,,,,,,,,2,,,,3,,,3,3,2.0,2
1433,2,,,2.0,2.0,,2.0,1.0,,2,2.0,1,12,1,2,83.05933618247934,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,4,2.0,,2,1,3.0,1
4810,2,,,1.0,2.0,,2.0,1.0,,2,,1,21,1,2,64.09098382191787,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,2,1,1.0,1
3843,1,,,2.0,1.0,,2.0,2.0,,2,5.0,1,1,1,2,59.43652696160928,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,2,1.0,,3,1,2.0,1
4978,2,,,1.0,2.0,,2.0,1.0,,2,3.0,1,11,1,2,59.26898168429154,0.0,1.0,9.0,,1.0,,1.0,,2.0,2,,,1.0,3,1.0,,2,1,2.0,1
3638,1,2.0,,,1.0,,1.0,2.0,,1,,1,8,1,2,208.46584397859843,,4.0,,,2.0,,,,,2,,,1.0,3,,,3,4,5.0,1
2582,2,,,1.0,2.0,,4.0,1.0,,2,3.0,1,12,1,1,58.366104731700055,,2.0,,,1.0,,2.0,,1.0,2,,,1.0,6,1.0,,1,2,4.0,1
185,2,,,1.0,1.0,,1.0,2.0,,2,,1,3,1,2,81.80881671601834,0.0,3.0,3.0,,1.0,,1.0,,2.0,2,,,1.0,3,1.0,,2,3,3.0,1
1808,2,,,2.0,,,,2.0,,2,5.0,1,21,1,2,59.005655838638354,4.0,3.0,6.0,,1.0,,2.0,,2.0,2,,,1.0,5,1.0,,2,1,,1
1654,2,,,1.0,2.0,,1.0,1.0,,2,5.0,1,13,1,1,80.87596989842007,5.0,3.0,9.0,,1.0,,2.0,,2.0,2,,,3.0,3,1.0,,2,3,3.0,1
4414,2,,,77.0,2.0,,2.0,2.0,,2,,1,17,1,99,49.36719226320475,6.0,1.0,6.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,3,1.0,1
3958,1,,,,1.0,,1.0,,,2,3.0,1,17,1,1,115.9628318210842,,,,,,,,,,2,,,,4,,,3,1,3.0,2
4982,2,,,1.0,2.0,,3.0,1.0,,2,,1,20,1,2,32.84852838656053,9.0,1.0,6.0,,1.0,,1.0,,1.0,2,,,1.0,4,2.0,,2,5,3.0,1
2284,1,,,,2.0,,1.0,,,2,1.0,1,21,1,1,73.65447419621869,,,,,,,,,,2,,,,3,,,3,3,1.0,2
3129,2,,,1.0,2.0,,2.0,2.0,,2,,1,23,1,2,59.20538603482472,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,99.0,,1,1,1.0,1
3051,1,,,1.0,1.0,,3.0,2.0,3.0,2,1.0,1,18,1,2,289.45312807530297,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,2,1.0,,2,1,6.0,1
4193,1,,,,1.0,,3.0,,,1,1.0,1,20,1,1,147.9858836160082,,,,,,,,,,2,,,,5,,,3,3,3.0,2
3269,2,,,2.0,2.0,,1.0,1.0,,2,7.0,1,1,1,1,124.8788279364816,5.0,3.0,3.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,2,2,1.0,1
3671,1,,,1.0,1.0,,1.0,1.0,,2,5.0,1,3,1,2,35.516759175077695,77.0,3.0,4.0,,1.0,,1.0,,1.0,2,,,1.0,3,2.0,,3,4,3.0,1
847,2,,,1.0,1.0,,3.0,1.0,,2,1.0,1,5,1,2,87.16738941819933,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,5,3,2.0,1
2307,2,,,2.0,2.0,,1.0,1.0,,2,1.0,1,16,1,2,58.28549620711241,3.0,3.0,3.0,,1.0,,2.0,,2.0,2,,,1.0,5,1.0,3.0,3,4,2.0,1
4321,2,3.0,,1.0,2.0,,2.0,1.0,2.0,2,1.0,1,23,1,2,120.48630485227734,8.0,1.0,0.0,,2.0,,,,,2,,,1.0,3,,2.0,3,1,2.0,1
1746,2,,,1.0,,,,1.0,,1,3.0,1,3,1,2,87.02675265466911,77.0,3.0,0.0,,1.0,,1.0,,1.0,2,,,1.0,3,2.0,,2,1,,1
2165,2,,,1.0,1.0,,1.0,2.0,,2,5.0,1,3,1,2,50.12953360910053,0.0,3.0,0.0,,1.0,,1.0,,2.0,2,,,1.0,5,1.0,,3,3,1.0,1
4610,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,24,1,2,80.87596989842007,0.0,1.0,0.0,,4.0,,2.0,,2.0,2,,,1.0,6,2.0,,3,1,1.0,1
1217,2,,,1.0,2.0,,2.0,1.0,,2,4.0,1,1,1,2,54.16089844859776,0.0,1.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,3,2.0,,2,4,4.0,1
4505,1,2.0,,,2.0,,1.0,2.0,,2,7.0,1,22,1,2,90.2646649109175,,2.0,,,2.0,,,,,2,,,3.0,4,,,3,3,3.0,1
1348,2,,,1.0,,,,2.0,,2,,1,7,1,2,92.01982180808857,,2.0,,,1.0,,1.0,,2.0,2,,,1.0,4,1.0,,2,3,,1
1954,2,,,1.0,2.0,,1.0,2.0,,2,1.0,1,20,99,1,118.9821667522432,,2.0,,,1.0,,99.0,,1.0,2,,,1.0,99,1.0,,3,3,3.0,1
961,2,,,1.0,1.0,,1.0,2.0,,2,,1,24,1,2,215.3836739743167,24.0,3.0,0.0,,1.0,,2.0,,1.0,2,,,1.0,4,1.0,,3,2,1.0,1
4271,1,4.0,,3.0,,,,1.0,,2,7.0,1,16,1,1,56.426415382109255,,2.0,,,2.0,,,,,2,,,1.0,3,,,2,3,,1
3346,2,,1.0,,,2.0,,,,2,1.0,1,11,1,2,143.50315236392174,,,,,,,,,,2,,1.0,,5,,,3,3,,2
681,2,,,2.0,2.0,,2.0,1.0,,2,3.0,1,2,1,1,87.02675265466911,6.0,3.0,8.0,,1.0,,2.0,,1.0,2,,,1.0,4,2.0,,2,3,5.0,1
2652,2,,,,2.0,,1.0,,,2,3.0,1,23,1,2,73.4902435379962,,,,,,,,,,2,,,,4,,,3,1,1.0,2
16,2,1.0,,2.0,,,,2.0,,2,5.0,1,11,1,2,245.2281136452008,0.0,1.0,0.0,,2.0,,,,,2,,,1.0,3,,,4,1,,1
4831,1,,,,2.0,,1.0,,,2,1.0,1,11,1,1,121.09891165504436,,,,,,,,,,2,,,,3,,,2,2,5.0,2
3323,2,,,2.0,1.0,,1.0,1.0,,2,,1,4,1,2,36.383508494844456,8.0,1.0,4.0,,1.0,,1.0,,2.0,2,,,1.0,5,1.0,,3,1,2.0,1
693,2,,2.0,1.0,2.0,1.0,1.0,2.0,,2,,1,2,1,2,56.23327958856412,6.0,1.0,0.0,,1.0,,2.0,,2.0,2,,2.0,1.0,3,1.0,,5,2,1.0,1
2478,2,,,1.0,2.0,,1.0,1.0,2.0,2,3.0,1,5,1,2,65.13853220455164,10.0,3.0,1.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,15.0,3,3,3.0,1
4219,1,,,,1.0,,3.0,,,2,1.0,1,17,1,1,110.48904555616828,,,,,,,,,,2,,,,4,,,3,3,2.0,2
2752,1,,,,,,,,,2,4.0,1,19,1,2,147.9858836160082,,,,,,,,,,2,,,,4,,,1,3,,2
218,1,2.0,,,1.0,,1.0,1.0,,2,3.0,1,22,1,2,90.2646649109175,,2.0,,,2.0,,,,,2,,,1.0,4,,,3,4,6.0,1
2355,2,,,1.0,2.0,,2.0,1.0,1.0,2,5.0,1,22,99,1,137.92305092520698,2.0,3.0,7.0,,1.0,,1.0,,1.0,2,,,1.0,3,1.0,,3,1,3.0,1
3968,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,10,1,1,118.9821667522432,0.0,3.0,12.0,,1.0,3.0,1.0,,1.0,1,,,1.0,2,1.0,,3,3,1.0,1
244,2,,,,,,,1.0,,1,,1,15,1,2,107.06715336404844,,77.0,,,1.0,,1.0,,2.0,2,,,1.0,1,77.0,,3,2,,1
4432,2,2.0,,,2.0,,1.0,1.0,,2,1.0,1,3,1,2,150.04544635984763,,2.0,,,2.0,,,,,2,,,1.0,3,,,3,2,1.0,1
587,2,,,1.0,2.0,,1.0,1.0,,2,4.0,1,21,1,2,54.16089844859776,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,2,1,3.0,1
2959,1,5.0,,,1.0,,2.0,1.0,,2,,1,9,1,2,112.88683699822953,,4.0,,,2.0,,,,,2,,,1.0,3,,,2,5,4.0,1
2128,1,2.0,,,1.0,,1.0,1.0,,2,4.0,1,20,1,1,62.98722697953109,,4.0,,,2.0,,,,,2,,,1.0,6,,,3,1,4.0,1
4533,2,,,2.0,2.0,,4.0,1.0,,2,,1,19,1,1,80.87596989842007,0.0,3.0,4.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,3,3.0,1
556,2,,,1.0,2.0,,3.0,1.0,,2,,1,22,1,2,73.4902435379962,0.0,3.0,6.0,,1.0,,1.0,,1.0,2,,,1.0,4,2.0,,2,3,3.0,1
4959,2,,,1.0,2.0,,1.0,1.0,,2,3.0,1,8,1,2,59.26898168429154,0.0,1.0,2.0,,1.0,,2.0,,1.0,2,,,1.0,3,1.0,,3,2,1.0,1
2033,2,,,1.0,2.0,,2.0,2.0,,2,5.0,1,25,1,2,39.84323066293554,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,3,2.0,,2,3,2.0,1
1886,2,,,,2.0,,2.0,,,2,4.0,1,12,1,99,177.3572689068286,,,,,,,,,,2,,,,4,,,3,3,2.0,2
1298,1,,,2.0,1.0,,2.0,1.0,,2,5.0,1,13,1,1,46.040711118664845,,2.0,,,1.0,,2.0,,2.0,2,,,1.0,2,1.0,,3,2,3.0,1
630,2,,,1.0,2.0,,1.0,1.0,,2,1.0,1,10,1,2,40.67784220216642,6.0,3.0,10.0,,1.0,,2.0,,2.0,2,,,1.0,3,1.0,,3,2,2.0,1
1583,2,,,1.0,,,,1.0,,1,7.0,1,1,99,2,64.68918016022273,,2.0,,,1.0,,1.0,,1.0,2,,,1.0,2,1.0,,3,3,,1
2957,1,,,,1.0,,2.0,,,2,3.0,1,20,1,1,78.12849395787708,,,,,,3.0,,,,1,,,,4,,,2,4,1.0,2
2198,2,,,77.0,2.0,,2.0,1.0,,2,5.0,1,20,1,2,65.13853220455164,0.0,1.0,0.0,,1.0,,2.0,,2.0,2,,,1.0,4,1.0,,3,1,3.0,1
