manhattan_condominium_property_boro_block_lot,comparable_rental_2_est_gross_income,comparable_rental_1_total_units,manhattan_condominium_property_full_market_value
1-00446-7501,449000.0,45,2980000
1-00284-7502,669000.0,24,2240002
1-00798-7502,7101070.0,311,18600016
1-00236-7501,,35,3719998
1-00721-7501,7242000.0,959,109000000
1-00796-7504,2951696.0,69,18800004
1-01458-7502,12205965.0,213,47500000
1-01389-7501,1424525.0,39,12800000
1-01419-7502,18486479.0,414,67299995
1-00870-7501,14534322.0,185,113000048
1-00823-7502,1268777.0,29,5589999
1-00441-7501,663000.0,52,3909999
1-00764-7502,572000.0,36,2980000
