latitude,longitude,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_year_built,borough,_comparable_rental_1_boro_block_lot,comparable_rental_1_full_market_value,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_2_gross_sqft
40.78685,-73.953243,0.45,1927.0,1,1-01496-0021,28200000,51.0,113052,87192.0
40.720285,-74.010144,0.3,1997.0,1,1-00016-0020,26900000,28.1,230765,130568.0
40.747939,-73.994994,,,1,1-00775-0046,26900000,40.2,136477,
40.771786,-73.951387,0.5,1957.0,1,1-01418-0045,37000000,43.2,174273,182345.0
40.78148,-73.949101,0.25,1985.0,1,1-01532-0001,54700000,43.4,256810,329850.0
40.705634,-74.009378,0.4,1908.0,1,1-00027-0009,84500000,44.1,390531,357000.0
40.710165,-74.016751,0.0,1998.0,1,1-00016-0015,27900000,28.2,239165,239185.0
40.763177,-73.981752,0.25,1930.0,1,1-01011-0013,17500000,30.5,122813,150000.0
40.79363,-73.971429,0.3,1986.0,1,1-01240-0052,32600000,52.0,129000,175436.0
40.720732,-73.984202,0.5,1900.0,1,1-00348-0040,6230000,34.7,38498,15500.0
40.707588,-74.010013,0.3,1908.0,1,1-00027-0009,84500000,44.1,390531,357000.0
40.723979,-73.985031,0.15,1929.0,1,1-00378-0035,2150000,25.1,20671,20886.0
40.724623,-73.999657,0.8,1935.0,1,1-00514-0005,5100000,58.0,17845,49227.0
40.743326,-73.978347,0.15,1945.0,1,1-00911-0008,8150000,36.5,47903,28240.0
40.740693,-73.998838,0.2,1940.0,1,1-00753-0051,5800000,22.28,62824,76450.0
40.766902,-73.983296,0.2,1979.0,1,1-01041-0029,68800000,52.0,270161,311689.0
40.710118,-74.016574,0.0,1998.0,1,1-00016-0015,27900000,28.2,239165,239185.0
40.755051,-73.992417,0.55,1904.0,1,1-00767-0043,8950000,39.0,46812,61612.0
40.717711,-73.996681,0.65,1900.0,1,1-00236-0027,6830000,35.0,41900,26712.0
40.735154,-74.0049,0.15,1901.0,1,1-00634-0032,2740000,34.0,17332,9505.0
40.715683,-74.008073,0.45,1900.0,1,1-00175-0020,5870000,37.6,33500,26712.0
40.76035,-73.984713,0.25,1997.0,1,1-01026-0049,45900000,44.5,210213,270161.0
40.745403,-73.992865,0.55,1930.0,1,1-00802-0001,3580000,30.5,25144,39628.0
40.759228,-73.986572,0.5,1979.0,1,1-01041-0029,68800000,52.0,270161,311689.0
40.787633,-73.955142,0.7,1986.0,1,1-01520-0033,6270000,38.2,33443,69000.0
40.756157,-73.963761,0.15,1982.0,1,1-01318-0019,35800000,43.1,168998,225154.0
40.739966,-73.99864,0.2,1940.0,1,1-00772-0056,35600000,47.5,152342,128350.0
40.786693,-73.968327,0.45,2005.0,1,1-01232-0014,20400000,39.7,104810,129000.0
40.781476,-73.952044,0.2,1975.0,1,1-01541-0021,161000000,35.8,968264,510305.0
40.739886,-73.996879,0.15,2000.0,1,1-00797-0007,26100000,41.5,128163,174621.0
40.757501,-73.968893,1.25,1964.0,1,1-01463-0021,26500000,31.2,182345,257244.0
40.732887,-74.001959,0.7,1920.0,1,1-00573-0011,3200000,33.0,20797,23000.0
40.736085,-73.995969,0.7,1974.0,1,1-00571-0025,8350000,30.2,59299,69300.0
40.741434,-73.998777,0.4,1999.0,1,1-00717-0077,16400000,49.0,68260,58394.0
40.742516,-73.996785,0.1,1989.0,1,1-00797-0074,5860000,30.4,41423,48680.0
40.710372,-74.008062,0.05,1900.0,1,1-00078-0001,8700000,31.4,59488,58354.0
40.743421,-73.994049,0.8,1960.0,1,1-00939-0038,34900000,49.9,142260,24600.0
40.761191,-73.993185,0.15,1999.0,1,1-01054-0001,4280000,31.7,28972,22500.0
40.783674,-73.977478,0.7,1906.0,1,1-01251-0063,15000000,47.3,64598,63794.0
