manhattan_condominium_property_address,comparable_rental_2_gross_income_per_sqft,manhattan_condominium_property_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_est_gross_income,bbl,comparable_rental_2_total_units,community_board
5 EAST 22 STREET,38.8,423,207.0,12537991,1008517501.0,74.0,5.0
20 EAST 68 STREET,75.0,84,159.0,2830153,1013827501.0,48.0,8.0
220 WEST BROADWAY,28.2,24,117.0,6485000,1001897501.0,209.0,1.0
180 WEST END AVENUE,41.2,452,139.0,7031692,1011587502.0,224.0,7.0
420 WEST 23 STREET,42.7,39,141.0,1259000,1007207501.0,70.0,4.0
120 RIVERSIDE BOULEVARD,43.8,277,219.0,23383426,1011717504.0,357.0,7.0
211 EAST 46 STREET,45.0,261,199.0,13165445,1013207506.0,250.0,6.0
845 UNITED NATIONS PLAZA,74.0,370,270.0,32029862,1013407501.0,229.0,6.0
330 SPRING STREET,63.0,40,213.0,3321000,1005957504.0,168.0,2.0
330 EAST 57 STREET,42.6,14,339.0,5429922,1013497502.0,61.0,6.0
31 WEST 11 STREET,27.4,17,111.0,868000,1005757502.0,27.0,2.0
100 WEST 89 STREET,52.0,108,253.0,6647023,1012197501.0,170.0,7.0
309 EAST 49 STREET,31.4,85,236.0,10827586,1013427501.0,295.0,6.0
1965 BROADWAY,,199,232.0,14204740,1011387502.0,,7.0
320 EAST 54 STREET,29.8,90,159.0,2830153,1013467501.0,90.0,6.0
201 EAST 36 STREET,34.9,118,163.0,4031000,1009177501.0,160.0,6.0
71 NASSAU STREET,37.7,67,146.0,1867000,1000797503.0,70.0,1.0
130 WEST 79 STREET,47.4,93,151.0,2023651,1011507503.0,50.0,7.0
315 7 AVENUE,37.7,93,107.0,7466000,1008037501.0,69.0,5.0
225 EAST 57 STREET,24.92,260,233.0,12205965,1013317502.0,427.0,6.0
80 COLUMBUS CIRCLE,60.0,65,292.0,12932460,1010497501.0,235.0,4.0
650 6 AVENUE,43.6,67,219.0,3495347,1008217503.0,77.0,5.0
205 BLEECKER STREET,35.3,24,148.0,663000,1005427501.0,17.0,2.0
70 BATTERY PLACE,50.0,249,161.0,16736000,1000160020.0,293.0,1.0
55 EAST 93 STREET,34.0,29,203.0,855567,1015057501.0,54.0,8.0
381 2 AVENUE,31.2,329,164.0,5587778,1009037502.0,179.0,6.0
621 WEST 42 STREET,39.1,478,201.0,15914150,,375.0,4.0
44 EAST 12 STREET,42.2,44,198.0,1838000,1005637501.0,50.0,2.0
1200 5 AVENUE,53.0,51,136.0,6003034,1016077501.0,46.0,11.0
330 EAST 38 STREET,35.3,818,144.0,28788531,1009437501.0,707.0,6.0
406 8 AVENUE,26.7,29,94.0,582000,1007807501.0,62.0,5.0
31 NORTH MOORE STREET,39.3,23,154.0,882000,1001907503.0,123.0,1.0
314 WEST 94 STREET,27.8,32,135.0,1020113,1012527501.0,36.0,7.0
10 CHRISTOPHER STREET,43.4,30,154.0,686000,1005937501.0,17.0,2.0
255 EAST 49 STREET,51.0,174,199.0,13165445,1013237501.0,324.0,6.0
160 CENTRAL PARK SOUTH,52.0,161,215.0,13634605,1010117501.0,295.0,5.0
40 MERCER STREET,48.4,41,81.0,18199000,1004747506.0,14.0,2.0
171 EAST 84 STREET,43.4,219,171.0,8916220,1015137501.0,257.0,8.0
838 5 AVENUE,75.0,18,159.0,2830153,1013797504.0,48.0,8.0
16 EAST 12 STREET,40.4,37,141.0,1792000,1005697503.0,62.0,2.0
595 WEST END AVENUE,29.5,54,232.0,3053300,1012507504.0,59.0,7.0
402 COLUMBUS AVENUE,52.0,147,225.0,13212361,1012107501.0,162.0,7.0
111 EAST 88 STREET,34.1,59,202.0,3305454,1015177501.0,45.0,8.0
104 CHARLTON STREET,39.9,14,230.0,1595000,1005977502.0,72.0,2.0
240 EAST 10 STREET,43.7,35,168.0,2893000,1004517502.0,24.0,3.0
1010 3 AVENUE,43.2,166,233.0,12205965,1013957501.0,116.0,8.0
255 WEST 85 STREET,33.0,57,192.0,753964,1012337502.0,60.0,7.0
395 BROADWAY,51.0,64,193.0,5126000,1001937501.0,151.0,1.0
58 WEST 58 STREET,38.3,168,204.0,12588334,1012737501.0,182.0,5.0
420 WEST 42 STREET,,262,156.0,10729008,1010517501.0,,4.0
350 WEST 53 STREET,39.5,66,270.0,4459308,1010437503.0,109.0,4.0
11 EAST 29 STREET,42.2,139,230.0,11820000,1008597501.0,483.0,5.0
69 5 AVENUE,30.1,153,214.0,4344159,1008427501.0,88.0,5.0
150 WEST END AVENUE,41.2,454,139.0,7031692,1011587503.0,224.0,7.0
455 MAIN STREET,,230,241.0,7763509,1013737501.0,,8.0
347 WEST 57 STREET,52.0,261,218.0,9350483,1010487501.0,295.0,4.0
130 SUFFOLK STREET,33.5,48,202.0,349000,1003497501.0,90.0,3.0
170 EAST 77 STREET,44.1,54,188.0,2812655,1014117502.0,38.0,8.0
101 ALLEN STREET,46.6,16,114.0,275000,1004147501.0,22.0,3.0
300 EAST 77 STREET,,86,241.0,7763509,1014517501.0,,8.0
185 WEST END AVENUE,41.2,432,139.0,7031692,1011797502.0,224.0,7.0
95 MADISON STREET,21.15,20,101.0,276000,1002777503.0,22.0,3.0
143 AVENUE B,47.2,83,145.0,2485000,1003927501.0,57.0,3.0
111 EAST 30 STREET,36.5,52,233.0,4620000,1008867501.0,79.0,5.0
54 WEST 74 STREET,25.2,62,201.0,2437141,1011267502.0,43.0,7.0
44 MARKET STREET,40.1,16,223.0,321000,1002747503.0,14.0,3.0
188 EAST 78 STREET,,71,241.0,7763509,1014127502.0,,8.0
374 BROADWAY,28.7,163,152.0,4506000,1001727501.0,172.0,1.0
77 8 AVENUE,46.9,11,202.0,1421000,1006297504.0,69.0,2.0
525 PARK AVENUE,38.3,48,222.0,7457815,1013957503.0,39.0,8.0
200 EAST 89 STREET,36.8,253,213.0,11139781,1015347501.0,253.0,8.0
161 GRAND STREET,35.0,18,152.0,4506000,1002347501.0,17.0,2.0
768 5 AVENUE,60.0,164,313.0,23139484,1012747504.0,235.0,5.0
1068 LEXINGTON AVENUE,43.2,81,148.0,617517,1014107501.0,116.0,8.0
83 1 AVENUE,39.4,20,212.0,485000,1004477501.0,22.0,3.0
3 EAST 78 STREET,47.6,13,222.0,1090675,1013937501.0,40.0,8.0
107 WEST 89 STREET,33.0,26,192.0,753964,1012207503.0,60.0,7.0
301 EAST 69 STREET,31.2,198,233.0,12205965,1014447501.0,213.0,8.0
260 PARK AVENUE SOUTH,43.6,109,141.0,3557989,1008497504.0,77.0,5.0
386 COLUMBUS AVENUE,36.0,23,239.0,2077237,1011507502.0,64.0,7.0
1 CENTRAL PARK WEST,41.2,158,218.0,18148640,1011137502.0,224.0,7.0
212 AVENUE B,28.0,24,100.0,343000,1004067501.0,45.0,3.0
407 EAST 12 STREET,33.7,27,223.0,1148000,1004407502.0,13.0,3.0
555 WEST 23 STREET,57.0,336,223.0,13642000,1006957503.0,137.0,4.0
351 EAST 57 STREET,47.4,115,70.0,1830759,1013507501.0,210.0,6.0
45 SPRING STREET,51.0,25,120.0,411021,1004947502.0,11.0,2.0
22 PERRY STREET,38.0,21,240.0,3345000,1006127501.0,40.0,2.0
15 WEST 63 STREET,44.4,53,232.0,14204740,1011167502.0,325.0,7.0
223 WEST 80 STREET,33.0,12,192.0,753964,1012287503.0,60.0,7.0
103 GREENE STREET,50.0,12,248.0,707372,,121.0,2.0
120 EAST 87 STREET,37.8,219,213.0,11139781,1015157502.0,387.0,8.0
966 1 AVENUE,47.4,189,166.0,14587562,1013657501.0,210.0,6.0
15 CHARLES STREET,26.3,122,243.0,9153000,1006127504.0,107.0,2.0
100 RIVERSIDE BOULEVARD,43.8,266,219.0,23383426,1011717505.0,357.0,7.0
15 BROAD STREET,47.7,382,158.0,16700000,1000267501.0,579.0,1.0
49 EAST 21 STREET,44.4,43,231.0,3021349,1008507506.0,87.0,5.0
240 RIVERSIDE BOULEVARD,43.8,167,219.0,23383426,1011717503.0,357.0,7.0
71 LUDLOW STREET,25.1,13,229.0,763000,1004087501.0,20.0,3.0
1178 2 AVENUE,,110,102.0,7477294,1014367501.0,,8.0
302 WEST 12 STREET,27.3,128,169.0,4987000,1006247503.0,121.0,2.0
61 WEST 62 STREET,47.2,277,218.0,18148640,1011157502.0,325.0,7.0
806 2 AVENUE,43.1,79,146.0,9805152,1013367501.0,182.0,6.0
150 EAST 56 STREET,42.6,75,163.0,2322888,1013107503.0,107.0,6.0
8 WARREN STREET,32.5,14,175.0,1261000,1001357503.0,116.0,1.0
205 WEST 76 STREET,48.5,127,291.0,27398465,1011687501.0,228.0,7.0
303 EAST 60 STREET,,157,102.0,7477294,1014357501.0,,8.0
55 WHITE STREET,37.6,17,87.0,615000,1001757503.0,18.0,1.0
425 EAST 63 STREET,31.0,495,103.0,13227963,1014587503.0,442.0,8.0
119 FULTON STREET,24.98,19,116.0,689000,1000917501.0,24.0,1.0
164 PEARL STREET,37.8,121,225.0,5086000,1000397501.0,115.0,1.0
1992 BROADWAY,,281,206.0,23790344,1011397503.0,,7.0
475 GREENWICH STREET,39.0,21,198.0,1838000,1005947508.0,55.0,1.0
222 WEST 14 STREET,38.6,132,252.0,2156000,1006187501.0,86.0,2.0
63 COOPER SQUARE,50.0,36,170.0,449000,1004637501.0,46.0,3.0
661 AMSTERDAM AVENUE,24.49,93,136.0,2925528,1012237501.0,90.0,7.0
51 WALKER STREET,39.3,15,252.0,7168000,1001937509.0,123.0,1.0
1730 2 AVENUE,41.3,31,187.0,1277857,1015527502.0,35.0,8.0
505 GREENWICH STREET,49.6,104,272.0,7571000,1005947503.0,220.0,2.0
140 WEST END AVENUE,41.2,561,139.0,7031692,1011587504.0,224.0,7.0
14 LEONARD STREET,36.4,31,154.0,882000,1001797506.0,22.0,1.0
43 WEST 61 STREET,52.0,94,220.0,5082279,1011147501.0,183.0,7.0
240 EAST 76 STREET,43.2,295,233.0,12205965,1014307501.0,116.0,8.0
159 EAST 30 STREET,36.5,53,233.0,4620000,1008867502.0,79.0,6.0
212 EAST 70 STREET,36.2,16,221.0,543099,1014247503.0,24.0,8.0
459 WASHINGTON STREET,,12,141.0,1792000,1005957503.0,,1.0
450 WEST 17 STREET,42.0,288,223.0,13642000,1007147501.0,234.0,4.0
240 CENTRE STREET,41.7,55,115.0,4819853,1004727501.0,62.0,2.0
1152 1 AVENUE,48.2,16,208.0,439849,1014587504.0,15.0,8.0
220 EAST 65 STREET,47.9,287,146.0,9805152,1014197503.0,147.0,8.0
65 NASSAU STREET,31.4,29,175.0,2198000,1000657501.0,31.0,1.0
667 LEXINGTON AVENUE,36.7,156,187.0,5000929,1013107502.0,200.0,6.0
89 AVENUE A,25.1,26,143.0,870000,1004327502.0,20.0,3.0
355 WEST 39 STREET,67.0,16,191.0,1824000,1007637501.0,73.0,4.0
200 WEST 24 STREET,40.4,20,240.0,3345000,1007737501.0,59.0,4.0
130 WEST 30 STREET,47.5,45,141.0,3557989,1008057501.0,266.0,5.0
210 COLUMBUS AVENUE,50.0,83,151.0,2631251,1011417501.0,170.0,7.0
62 WEST 62 STREET,47.2,120,218.0,18148640,1011147502.0,325.0,7.0
40 EAST 21 STREET,32.1,11,142.0,434145,1008497503.0,21.0,5.0
333 EAST 75 STREET,48.3,125,159.0,2830153,1014507501.0,111.0,8.0
291 CENTRAL PARK WEST,35.1,11,103.0,432206,1012037502.0,35.0,7.0
250 EAST 54 STREET,51.0,177,199.0,13165445,1013277502.0,324.0,6.0
205 EAST 59 STREET,,62,241.0,7763509,1014147502.0,,8.0
441 5 AVENUE,37.5,174,252.0,8426000,1008697501.0,150.0,5.0
27 NORTH MOORE STREET,51.0,57,193.0,5126000,1001907504.0,151.0,1.0
151 EAST 58 STREET,60.0,105,291.0,27398465,1013137501.0,64.0,6.0
533 11 AVENUE,34.1,107,144.0,29731439,1010897501.0,927.0,4.0
53 WEST 76 STREET,42.7,13,158.0,224044,1011297501.0,14.0,7.0
270 WEST 19 STREET,40.4,14,240.0,3345000,1007687504.0,59.0,4.0
90 WILLIAM STREET,43.1,113,255.0,14415000,1000687502.0,650.0,1.0
140 WEST 22 STREET,42.7,52,176.0,2355000,1007977507.0,55.0,4.0
245 EAST 50 STREET,32.9,16,257.0,1702675,1013247501.0,67.0,6.0
200 RIVERSIDE BOULEVARD,43.8,372,219.0,23383426,1011717501.0,357.0,7.0
175 EAST 2 STREET,27.1,21,115.0,636000,1003977501.0,25.0,3.0
60 EAST 88 STREET,34.0,18,201.0,3323455,1014997501.0,100.0,8.0
108 WEST 56 STREET,39.5,50,270.0,4459308,1010087501.0,109.0,5.0
129 EAST 82 STREET,26.3,32,194.0,3473133,1015117501.0,51.0,8.0
126 WEST 22 STREET,41.8,22,206.0,1585000,1007977502.0,67.0,4.0
225 WEST 60 STREET,43.8,80,219.0,23383426,1011527501.0,357.0,7.0
170 EAST END AVENUE,44.2,96,176.0,6236286,1015847501.0,200.0,8.0
40 EAST 94 STREET,43.4,215,171.0,8916220,1015057502.0,257.0,8.0
117 EAST 29 STREET,44.7,29,140.0,739755,1008857501.0,53.0,5.0
200 EAST 58 STREET,31.2,115,233.0,12205965,1013317501.0,213.0,6.0
255 WEST 84 STREET,33.6,76,118.0,4141606,1012327501.0,157.0,7.0
1009 MADISON AVENUE,43.2,111,233.0,12205965,1013927501.0,116.0,8.0
65 WORTH STREET,32.5,30,189.0,14008000,1001737502.0,116.0,1.0
59 WEST 12 STREET,49.6,105,193.0,5205400,1005767502.0,220.0,2.0
1360 6 AVENUE,38.3,183,204.0,12588334,1012717501.0,182.0,5.0
140 5 AVENUE,49.6,21,142.0,434145,1008207501.0,36.0,5.0
200 CHAMBERS STREET,,311,255.0,14415000,1001427502.0,,1.0
69 BANK STREET,34.3,15,151.0,378000,1006247501.0,15.0,2.0
243 WEST 60 STREET,43.8,40,219.0,23383426,1011527502.0,357.0,7.0
137 DUANE STREET,37.6,19,154.0,882000,1001477509.0,18.0,1.0
28 VESTRY STREET,33.0,20,200.0,3099000,1002227501.0,13.0,1.0
15 WEST 53 STREET,47.2,248,202.0,23887583,1012697501.0,487.0,5.0
305 EAST 72 STREET,31.2,177,233.0,12205965,1014477501.0,213.0,8.0
988 5 AVENUE,34.8,13,236.0,3040368,1014917502.0,20.0,8.0
108 5 AVENUE,38.8,51,207.0,12537991,1008177501.0,74.0,5.0
195 HUDSON STREET,35.0,27,200.0,3099000,1002227502.0,17.0,1.0
425 5 AVENUE,51.0,172,174.0,5159000,1008687503.0,196.0,5.0
135 WEST 70 STREET,31.8,87,153.0,3674771,1011427501.0,80.0,7.0
220 WEST 93 STREET,31.3,58,114.0,3176090,1012407502.0,64.0,7.0
134 EAST 93 STREET,41.3,30,158.0,955974,1015217501.0,35.0,8.0
345 WEST 13 STREET,36.2,47,275.0,8289000,1006297503.0,144.0,2.0
356 BROADWAY,31.4,18,117.0,587000,1001717501.0,36.0,1.0
