manhattan_condominium_property_condo_section,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,manhattan_condominium_property_est_gross_income,comparable_rental_1_neighborhood,comparable_rental_2_boro_block_lot,comparable_rental_2_address
693-R1,301 EAST 66 STREET,1-01441-7501,8975000,UPPER EAST SIDE (59-79),1-01418-0045,1081 3 AVENUE
1341-R1,21 ASTOR PLACE,1-00545-7503,2703848,GREENWICH VILLAGE-CENTRAL,1-00548-0040,11 WAVERLY PLACE
264-,108 EAST 87 STREET,1-01515-7501,2150000,UPPER EAST SIDE (79-96),1-01518-0009,115 EAST 89 STREET
23-R1,30 EAST 76 STREET,1-01390-7501,1135000,UPPER EAST SIDE (59-79),1-01412-0012,117 EAST 77 STREET
937-R1,312 EAST 22 STREET,1-00927-7501,674025,KIPS BAY,1-00935-0005,530 2 AVENUE
240-R1,210 EAST 47 STREET,1-01320-7503,2300000,UPPER EAST SIDE (59-79),1-01347-0005,311 EAST 54 STREET
608-R1,9 BARROW STREET,1-00590-7502,2349637,GREENWICH VILLAGE-CENTRAL,1-00557-0017,60 EAST 12 STREET
1902-R1,70 BATTERY PLACE,1-00016-7517,21908850,TRIBECA,1-00016-0180,20 RIVER TERRACE
1767-R1,206 EAST 95 STREET,1-01540-7501,1750000,UPPER EAST SIDE (79-96),1-01513-0059,128 EAST 85 STREET
314-R1,77 HORATIO STREET,1-00643-7501,400000,GREENWICH VILLAGE-WEST,1-00643-0038,807 WASHINGTON STREET
77-R1,5 EAST 22 STREET,1-00851-7501,15978816,FLATIRON,1-00843-0003,75 5 AVENUE
498-R1,200 RECTOR PLACE,1-00016-7508,23448960,TRIBECA,1-00016-0205,455 NORTH END AVENUE
1169-R1,52 PARK AVENUE,1-00867-7501,1366695,MURRAY HILL,1-00862-0009,9 EAST 32 STREET
1709-R1,650 6 AVENUE,1-00821-7503,4085000,FLATIRON,1-00850-0039,268 PARK AVENUE SOUTH
543-R1,139 EAST 63 STREET,1-01398-7502,3170000,UPPER EAST SIDE (59-79),1-01500-0053,1227 MADISON AVENUE
401-R1,295 GREENWICH STREET,1-00132-7501,4056815,TRIBECA,1-00140-0005,147 CHAMBERS STREET
229-R1,220 WEST BROADWAY,1-00189-7501,1423845,TRIBECA,1-00016-0015,50 BATTERY PLACE
1895-R1,31 WEST 11 STREET,1-00575-7502,852950,GREENWICH VILLAGE-CENTRAL,1-00564-0011,52 EAST 13 STREET
123-R1,116 WOOSTER STREET,1-00500-7501,523988,EAST VILLAGE,1-00501-0006,423 WEST BROADWAY
1840-R1,250 EAST 53 STREET,1-01326-7501,8000000,MIDTOWN CBD,1-01338-0040,314 EAST 46 STREET
1824-R1,1474 3 AVENUE,1-01512-7502,2200000,UPPER EAST SIDE (79-96),1-01520-0033,169 EAST 91 STREET
601-R1,2021 BROADWAY,1-01141-7502,9197664,UPPER WEST SIDE (59-79),,
1607-R1,27 WEST 72 STREET,1-01125-7502,9564880,UPPER WEST SIDE (59-79),1-01167-0011,2139 BROADWAY
1770-R1,124 WEST 24 STREET,1-00799-7501,900000,CHELSEA,1-00722-0043,241 9 AVENUE
1390-R1,19 WEST HOUSTON STREET,1-00513-7503,2371400,LITTLE ITALY,1-00495-0033,229 MULBERRY STREET
810-R1,1239 MADISON AVENUE,1-01501-7501,13700000,UPPER EAST SIDE (79-96),1-01488-0045,500 EAST 77 STREET
2000-R1,201 WEST 17 STREET,1-00767-7503,2676366,CHELSEA,1-00720-0045,401 WEST 22 STREET
300-R1,43 EAST 25 STREET,1-00855-7501,5174400,FLATIRON,1-00843-0003,75 5 AVENUE
191-R1,201 EAST 36 STREET,1-00917-7501,4319140,MURRAY HILL,1-00866-0035,40 PARK AVENUE
2016-R1,442 AMSTERDAM AVENUE,1-01229-7503,283602,UPPER WEST SIDE (79-96),1-01227-0033,410 AMSTERDAM AVENUE
1291-R1,148 MADISON STREET,1-00274-7502,1984212,ALPHABET CITY,1-00410-0004,130 ORCHARD STREET
1986-R1,48 BEACH STREET,1-00188-7505,2646896,TRIBECA,1-00140-0005,147 CHAMBERS STREET
1303-R1,43 WEST 64 STREET,1-01117-7502,3508480,UPPER WEST SIDE (59-79),1-01126-0038,8 WEST 74 STREET
626-R1,25 CHARLES STREET,1-00612-7502,635000,GREENWICH VILLAGE-WEST,1-00632-0031,133 CHARLES STREET
767-R1,135 WEST 58 STREET,1-01011-7504,1236480,MIDTOWN WEST,1-01045-0050,330 WEST 55 STREET
426-R1,63 DOWNING STREET,1-00528-7501,1091975,GREENWICH VILLAGE-CENTRAL,1-00575-0011,472 AVENUE OF THE AMERICA
621-R1,21 SOUTH END AVENUE,1-00016-7509,8331240,TRIBECA,1-00016-0205,455 NORTH END AVENUE
109-R1,12 WEST 18 STREET,1-00819-7501,1094552,FLATIRON,1-00846-0041,220 PARK AVENUE SOUTH
1972-R1,38 STUYVESANT STREET,1-00465-7501,455000,EAST VILLAGE,1-00462-0017,36 EAST 7 STREET
15 00-R1,516 WEST 47 STREET,1-01075-7501,4442352,CLINTON,1-01076-0043,520 WEST 48 STREET
352-R1,404 EAST 66 STREET,1-01460-7501,4900000,UPPER EAST SIDE (59-79),1-01463-0021,1273 YORK AVENUE
580-R2,312 EAST 23 STREET,1-00928-7502,1769652,KIPS BAY,1-00928-0009,321 EAST 22 STREET
1018-R1,1431 6 AVENUE,1-01011-7505,3512840,MIDTOWN WEST,1-01006-0063,162 WEST 54 STREET
1218-R1,130 BEEKMAN STREET,1-00097-7502,738000,SOUTHBRIDGE,1-00092-0017,47 ANN STREET
181-R1,34 WEST 72 STREET,1-01124-7501,3664320,UPPER WEST SIDE (59-79),1-01150-0041,120 WEST 79 STREET
1676-R1,233 EAST 17 STREET,1-00898-7502,1054060,GRAMERCY,1-00897-0008,207 EAST 15 STREET
787-R1,63 EAST 9 STREET,1-00561-7501,5873980,GREENWICH VILLAGE-CENTRAL,1-00545-0059,752 BROADWAY
779-R1,99 BATTERY PLACE,1-00016-7510,13659560,TRIBECA,1-00016-0205,455 NORTH END AVENUE
305-R1,145 EAST 48 STREET,1-01303-7501,7792680,MIDTOWN EAST,1-01349-0014,333 EAST 56 STREET
616-,330 SPRING STREET,1-00595-7504,3030060,GREENWICH VILLAGE-WEST,1-00548-0040,11 WAVERLY PLACE
1839-R1,125 WEST 21 STREET,1-00797-7501,3500000,CHELSEA,1-00797-0074,160 WEST 22 STREET
1077-R1,145 EAST 76 STREET,1-0,3200000,UPPER EAST SIDE (59-79),1-01439-0023,1185 1 AVENUE
323-R1,320 EAST 54 STREET,1-01346-7501,1980000,UPPER EAST SIDE (59-79),1-01484-0001,1360 YORK AVENUE
1906-R1,27 WEST 19 STREET,1-00821-7505,1084095,FLATIRON,1-00826-0001,736 AVENUE OF THE AMERICA
1438-R1,142 HENRY STREET,1-00273-7501,509522,CHINATOWN,1-00201-0001,72 BAYARD STREET
1613-R1,30 EAST 37 STREET,1-00866-7502,3332486,MURRAY HILL,1-00916-0047,226 EAST 36 STREET
1632-R1,330 EAST 57 STREET,1-01349-7502,2300000,UPPER EAST SIDE (79-96),1-01439-0023,1185 1 AVENUE
9-R1,77 PARK AVENUE,1-00894-7501,5549985,MURRAY HILL,1-00865-0040,30 PARK AVENUE
610-R1,524 EAST 72 STREET,1-01483-7501,8800000,UPPER EAST SIDE (59-79),,
513-R1,120 WEST 58 STREET,1-01010-7502,983880,MIDTOWN WEST,1-01010-0051,150 WEST 58 STREET
376-R1,677 WASHINGTON STREET,1-00631-7502,2700000,JAVITS CENTER,1-00768-0059,238 WEST 19 STREET
2023-R1,230 WEST 78 STREET,1-01169-7502,3103214,UPPER WEST SIDE (59-79),1-01171-0132,160 RIVERSIDE BOULEVARD
198-R1,67 HUDSON STREET,1-00180-7502,612125,CIVIC CENTER,1-00220-0027,36 LAIGHT STREET
1121-R1,15 PARK ROW,1-00090-7501,6441273,FINANCIAL,1-00077-0024,82 FULTON STREET
1256-R1,30 WEST 9 STREET,1-00572-7502,446338,GREENWICH VILLAGE-CENTRAL,1-00532-0025,643 BROADWAY
54-R1,438 WEST 37 STREET,1-00734-7501,3434769,CHELSEA,1-00772-0056,208 WEST 23 STREET
1576-R1,133 ESSEX STREET,1-00411-7503,445000,LOWER EAST SIDE,1-00402-0045,539 EAST 6 STREET
1828-R1,211 EAST 46 STREET,1-01320-7506,8450000,MIDTOWN EAST,1-01338-0040,314 EAST 46 STREET
405-R1,130 WEST 79 STREET,1-01150-7503,2592550,UPPER WEST SIDE (59-79),1-01127-0061,313 COLUMBUS AVENUE
334-R1,20 WEST 84 STREET,1-01197-7501,1546328,UPPER WEST SIDE (79-96),1-01245-0088,324 WEST 84 STREET
1970-R1,62 EAST 1 STREET,1-00443-7502,530000,EAST VILLAGE,1-00450-0015,320 EAST 9 STREET
1185-R1,473 BROADWAY,1-00474-7504,927069,SOHO,1-00504-0031,112 SULLIVAN STREET
51-R1,1080 MADISON AVENUE,1-01493-7501,1850000,UPPER EAST SIDE (79-96),1-01520-0033,169 EAST 91 STREET
61-R1,309 EAST 49 STREET,1-01342-7501,5260000,MIDTOWN EAST,1-01364-0034,422 EAST 53 STREET
790-R1,300 EAST 40 STREET,1-00945-7501,23595702,KIPS BAY,1-00944-0010,330 EAST 39 STREET
1631-R1,22 RIVERSIDE DRIVE,1-01184-7501,1287104,UPPER WEST SIDE (59-79),1-01231-0007,2301 BROADWAY
400-R1,3 EAST 66 STREET,1-01381-7501,1000000,UPPER EAST SIDE (59-79),1-01448-0037,334 EAST 74 STREET
197-R1,1225 2 AVENUE,1-01419-7501,5240000,UPPER EAST SIDE (59-79),1-01488-0013,519 EAST 76 STREET
732-R1,640 WEST END AVENUE,1-01239-7501,1678628,UPPER WEST SIDE (79-96),1-01245-0088,324 WEST 84 STREET
2021-R1,211 ELIZABETH STREET,1-00493-7501,0,LITTLE ITALY,1-00501-0006,423 WEST BROADWAY
151-R1,715 PARK AVENUE,1-01404-7501,4070000,UPPER EAST SIDE (59-79),1-01425-0017,225 EAST 70 STREET
1542-R1,3 WEEHAWKEN STREET,1-00636-7502,450000,GREENWICH VILLAGE-WEST,1-00590-0034,7 CORNELIA STREET
380-R1,339 EAST 74 STREET,-01449-75,5750000,UPPER EAST SIDE (59-79),1-01426-9035,218 EAST 72 STREET
612-R1,25 CENTRAL PARK WEST,1-01115-7501,21539376,UPPER WEST SIDE (59-79),1-01139-0001,145 WEST 67 STREET
1580-R1,304 SPRING STREET,1-00594-7506,1345844,GREENWICH VILLAGE-CENTRAL,1-00642-0012,110 HORATIO STREET
1165-R1,845 UNITED NATIONS PLAZA,1-01340-7501,51500000,MIDTOWN EAST,1-01376-0001,800 5 AVENUE
387-R1,255 WEST 92 STREET,1-01240-7501,506080,UPPER WEST SIDE (79-96),1-01199-0052,34 WEST 86 STREET
805-R1,20 EAST 68 STREET,1-01382-7501,3450000,UPPER EAST SIDE (59-79),1-01491-0004,985 5 AVENUE
660-R1,715 9 AVENUE,1-01058- 7501,218736,CLINTON,1-01054-0036,637 9 AVENUE
1330-R1,63 WEST 17 STREET,1-00819-7502,1726155,FLATIRON,1-00844-0019,33 UNION SQUARE
968-R1,188 EAST 76 STREET,1-01410-7503,7315000,UPPER EAST SIDE (59-79),,
410-R1,180 WEST END AVENUE,1-01158-7502,13811504,UPPER WEST SIDE (59-79),1-01167-0011,2139 BROADWAY
1329-r1,102 FULTON STREET,1-00078-7506,870000,FINANCIAL,1-00053-0033,110 GREENWICH STREET
1441-R1,312 WEST 23 STREET,1-00746-7506,1275000,MURRAY HILL,1-00927-0038,320 EAST 22 STREET
1685-R1,184 THOMPSON STREET,1-00525-7506,2642254,GREENWICH VILLAGE-CENTRAL,1-00521-0001,298 MULBERRY STREET
111-R1,26 EAST 63 STREET,1-01377-7502,3350000,UPPER EAST SIDE (59-79),1-01392-0047,50 EAST 78 STREET
1815-R1,340 EAST 23 STREET,1-00928-7503,10518480,KIPS BAY,1-00928-0031,385 1 AVENUE
28-R1,55 EAST 93 STREET,1-01505-7501,845000,UPPER EAST SIDE (79-96),1-01530-0009,219 EAST 84 STREET
607-R1,135 DIVISION STREET,1-00283-7502,547910,CHINATOWN,1-00277-0022,31 MARKET STREET
1892-R1,107 EAST 31 STREET,1-00887-7501,588000,MURRAY HILL,1-00914-0010,217 EAST 33 STREET
1731-R1,32 WEST 20 STREET,1-00821-7504,1421200,FLATIRON,1-00846-0041,220 PARK AVENUE SOUTH
244-R1,4 EAST 62 STREET,1-01376-7501,1250000,UPPER EAST SIDE (59-79),1-01391-0002,952 5 AVENUE
402-R1,7 EAST 20 STREET,1-00849-7502,840000,FLATIRON,1-00850-0018,19 EAST 21 STREET
295-r1,14 WEST 4 STREET,1-00535-7501,9586236,GREENWICH VILLAGE-CENTRAL,1-00548-0001,1 UNIVERSITY PLACE
1678-R1,147 WAVERLY PLACE,1-00593-7502,1434240,GREENWICH VILLAGE-CENTRAL,1-00562-0044,25 EAST 10 STREET
1125-R1,338 EAST 8 STREET,1-00390-7502,2523720,LOWER EAST SIDE,1-00398-0035,24 AVENUE B
533-R1,317 WEST 95 STREET,1-01253-7501,921340,UPPER WEST SIDE (79-96),1-01252-0025,310 WEST 93 STREET
1388-R1,7 HUBERT STREET,1-00214-7503,4684432,CIVIC CENTER,1-00140-0005,147 CHAMBERS STREET
64-R1,350 EAST 30 STREET,1-00935-7501,4024832,KIPS BAY,1-00944-0001,710 2 AVENUE
419-R1,530 EAST 76 STREET,1-01487-7502,14270000,UPPER EAST SIDE (59-79),1-01532-0001,203 EAST 86 STREET
1982-R1,245 10 AVENUE,1-00696-7502,1765000,GREENWICH VILLAGE-WEST,1-00717-0077,460 WEST 20 STREET
1845-R1,125 WEST 22 STREET,1-00798-7505,2900000,GREENWICH VILLAGE-WEST,1-00717-0077,460 WEST 20 STREET
946-R1,14 EAST 77 STREET,1-01391-7501,350000,UPPER EAST SIDE (59-79),1-01437-0017,341 EAST 62 STREET
344-R1,2120 BROADWAY,1-01166-7501,1759200,UPPER WEST SIDE (59-79),1-01141-0013,2020 BROADWAY
1569-R1,154 ATTORNEY STREET,1-00345-7501,1500000,ALPHABET CITY,1-00348-0067,87 ATTORNEY STREET
825-R1,1049 5 AVENUE,1-01497-7501,6050000,UPPER EAST SIDE (79-96),1-01496-0021,1125 MADISON AVENUE
1900-R1,450 WEST 17 STREET,1-00714-7501,7443000,CHELSEA,1-00775-0044,200 WEST 26 STREET
210-R1,114 EAST 13 STREET,1-00558-7501,1666248,GREENWICH VILLAGE-CENTRAL,1-00570-0008,6 EAST 13 STREET
98-R1,40 EAST 61 STREET,1-01375-7501,2980000,UPPER EAST SIDE (59-79),1-01499-0061,12 EAST 88 STREET
886-R1,8 WEST 13 STREET,1-00576-7503,854200,GREENWICH VILLAGE-CENTRAL,1-00564-0011,52 EAST 13 STREET
50-R,322 WEST 57 STREET,1-01047-7503,26859350,MIDTOWN WEST,1-01021-0001,810 8 AVENUE
1791-R1,123 BAXTER STREET,1-00206-7501,1870000,CHINATOWN,1-00236-0027,133 MULBERRY STREET
329-R1,88 JANE STREET,1-00641-7501,750000,GREENWICH VILLAGE-WEST,1-00590-0034,7 CORNELIA STREET
466-R1,233 EAST 69 STREET,1-01424-7501,7000000,UPPER EAST SIDE (59-79),1-01463-0021,1273 YORK AVENUE
89-R1,69 WEST 9 STREET,1-00573-7502,2521187,GREENWICH VILLAGE-CENTRAL,1-00521-0001,298 MULBERRY STREET
1463-R1,120 RIVERSIDE BOULEVARD,1-01171-7504,11835135,UPPER WEST SIDE (59-79),1-01171-0133,140 RIVERSIDE BOULEVARD
1551-R1,71 NASSAU STREET,1-00079-7503,2500000,FINANCIAL,1-00065-0010,9 MAIDEN LANE
1099-R1,510 WEST 46 STREET,1-01074-7502,2949638,MIDTOWN WEST,1-01147-0030,322 COLUMBUS AVENUE
124-R1,344 WEST 23 STREET,1-00746-7502,2100000,CHELSEA,1-00798-0066,142 WEST 23 STREET
1701-R1,400 EAST 90 STREET,1-01569-7503,4400000,UPPER EAST SIDE (79-96),1-01532-0001,203 EAST 86 STREET
673-R1,399 1 AVENUE,1-01473-7503,680000,UPPER EAST SIDE (59-79),1-01453-0035,334 EAST 79 STREET
965-R1,116 WEST 14 STREET,1-00609-7502,1640000,GREENWICH VILLAGE-WEST,,
909-R1,76 WEST 85 STREET,1-01198-7502,1340892,UPPER WEST SIDE (79-96),1-01228-0013,2242 BROADWAY
40-R1,333 EAST 30 STREET,1-00936-7501,32789792,KIPS BAY,1-00991-0060,25-00 F D R DRIVE
594-R1,311 GREENWICH STREET,1-00140-7502$,2662040,CIVIC CENTER,1-00140-0005,147 CHAMBERS STREET
758-R1,36 RIVINGTON STREET,1-00421-7502,490000,EAST VILLAGE,1-00420-0045,150 FORSYTH STREET
1814-R1,215 WEST 88 STREET,1-01236-7502,4814488,UPPER WEST SIDE (79-96),1-01237-0033,618 AMSTERDAM AVENUE
856-R1,46 HENRY STREET,1-00277-7502,819308,CHINATOWN,1-00237-0017,203 GRAND STREET
1320-R1,250 EAST 30 STREET,1-00910-7501,3560940,MURRAY HILL,1-00893-0082,106 EAST 38 STREET
1537-R1,203 EAST 16 STREET,1-00897-7501,1840896,GRAMERCY,1-00879-0017,131 EAST 23 STREET
1698-R1,1438 3 AVENUE,1-01510-7501,5750000,UPPER EAST SIDE (79-96),1-01532-0001,203 EAST 86 STREET
349-R1,360 6 AVENUE,1-00552-7501,1153085,GREENWICH VILLAGE-CENTRAL,1-00564-0004,107 UNIVERSITY PLACE
1054-R1,50 PINE STREET,1-00041-7501,1386245,FINANCIAL,1-00065-0010,9 MAIDEN LANE
16-,117 EAST 57 STREET,1-01312-7501,16054368,MIDTOWN EAST,1-01365-0009,415 EAST 53 STREET
2051-R1,122 GREENWICH AVENUE,1-00618-7504,2270000,GREENWICH VILLAGE-WEST,1-00717-0077,460 WEST 20 STREET
1117-R1,215 WEST 90 STREET,1-01238-7501,5163329,UPPER WEST SIDE (79-96),1-01200-0019,21 WEST 86 STREET
1655-R1,16 WEST 48 STREET,1-01263-7501,7270865,MIDTOWN WEST,1-01041-0019,311 WEST 50 STREET
280-R1,879 8 AVENUE,1-01043-7502,1639650,MIDTOWN WEST,1-01046-0009,347 WEST 55 STREET
600-R1,2373 BROADWAY,1-01234-7501,16480000,UPPER WEST SIDE (79-96),,
242-R1,100 WEST 89 STREET,1-01219-7501,6092940,UPPER WEST SIDE (79-96),1-01220-0029,60218 COLUMBUS AVENUE
354-R1,446 WEST 47 STREET,1-01056-7501,681615,CLINTON,1-01061-0060,458 WEST 52 STREET
515-R1,53 WEST 11 STREET,1-00575-7501,253260,GREENWICH VILLAGE-CENTRAL,1-00587-0030,51 7 AVENUE
144-R1,500 PARK AVENUE,1-01294-7501,7412748,MIDTOWN EAST,1-01349-0014,333 EAST 56 STREET
45-R1,525 EAST 80 STREET,1-01577-7502,5000000,UPPER EAST SIDE (79-96),1-01518-0033,1588 3 AVENUE
1212-R1,351 EAST 51 STREET,1-01344-7502,7850000,MIDTOWN EAST,1-01311-0045,150 EAST 57 STREET
422-R1,153 EAST 87 STREET,1-01516-7501,1775000,UPPER EAST SIDE (79-96),1-01518-0009,115 EAST 89 STREET
286-R1,7 GRAMERCY PARK WEST,1-00876-7501,1059100,GRAMERCY,1-00897-0008,207 EAST 15 STREET
1566-R1,452 WEST 19 STREET,1-00716-7502,733440,CHELSEA,1-00719-0020,433 WEST 21 STREET
103-R1,110 EAST 71 STREET,1-01405-7501,1470000,UPPER EAST SIDE (59-79),1-01453-0021,353 EAST 78 STREET
526-R1,1235 PARK AVENUE,1-01524-7501,3250000,UPPER EAST SIDE (79-96),1-01518-0009,115 EAST 89 STREET
563-R1,225 EAST 57 STREET,1-01331-7502,9450000,UPPER EAST SIDE (59-79),1-01488-0045,500 EAST 77 STREET
1311-R2,80 COLUMBUS CIRCLE,1-01049-7501,13291717,UPPER WEST SIDE (59-79),1-01117-0001,1930 BROADWAY
1944-R1,433 EAST 74 STREET,1-01469-7502,1575000,UPPER EAST SIDE (59-79),1-01471-0013,425 EAST 76 STREET
579-R1,112 WEST 72 STREET,1-01143-7504,1384260,UPPER WEST SIDE (59-79),1-01143-0049,140 142 WEST 72 STREET
1415-R1,172 WEST 79 STREET,1-01150-7504,4472523,UPPER WEST SIDE (59-79),1-01124-0059,50 WEST 72 STREET
148-R1,381 2 AVENUE,1-00903-7502,11237765,GRAMERCY,1-00883-0044,376 3 AVENUE
440-R1,455 EAST 86 STREET,1-01566-7501,6750000,UPPER EAST SIDE (79-96),1-01532-0016,241 EAST 86 STREET
319-R1,235 EAST 40 STREET,1-01314-7501,15500000,MIDTOWN EAST,1-01332-0029,240 EAST 59 STREET
766-R1,315 7 AVENUE,1-00803-7501,4060000,CHELSEA,1-00791-0078,91 7 AVENUE
1392-R1,38 LAIGHT STREET,1-00220-7503,1941310,TRIBECA,1-00283-0024,10 RUTGERS STREET
1124-R1,625 EAST 11 STREET,1-00394-7503,387956,ALPHABET CITY,1-00397-0065,244 EAST HOUSTON STREET
576-R1,164 BANK STREET,1-00638-7501,830000,CHELSEA,1-00557-0022,70 EAST 12 STREET
2011-R1,306 WEST 48 STREET,01038-,5409959,MIDTOWN WEST,1-01023-0061,260 WEST 52 STREET
120,404 EAST 76 STREET,1-01470-7501,9550000,UPPER EAST SIDE (59-79),,
1848-R1,225 RECTOR PLACE,1-00016-7515,10313920,TRIBECA,1-00016-0205,455 NORTH END AVENUE
942-R1,420 EAST 86 STREET,1-01565-7501,1500000,UPPER EAST SIDE (79-96),1-01517-0043,16O EAST 89 STREET
