des_addres,date_combo,bbl,build_oth,mat_third,mat_sec,style_prim,borough,shape_area,own_devel,build_type,use_orig
614 Vanderbilt Avenue,c. 1871,3011510052,0,0,Brownstone,Italianate with alterations,BK,810.26255232,Not determined,Store and Flats,"Mixed-use, commercial & residential"
57 Hicks Street,1826,3002160002,0,0,Stucco,Federal,BK,861.663413033,James Howland,Row House,Residential
346A Decatur Street,Not determined,3016810039,0,Asphalt Shingles,Vinyl Siding,Stripped Second Empire,BK,784.57327608,Not determined,Row House,Residential
223 Clermont Avenue,1868 - 1871,3020920019,0,0,Slate,French Second Empire,BK,1124.23270261,Joseph H. Townsend,Row House,Residential
1314 Dean Street,c. 1888,3012140028,0,Slate,Stone,Romanesque Revival,BK,1115.5528763,D. H. Fowler,Row House,Residential
325 MacDonough Street,1873,3016700066,0,0,Rusticated Brownstone,Italianate,BK,945.455534803,David H. Fowler,Row House,Residential
326A Decatur Street,1886,3016810025,0,0,Stone,Renaissance Revival,BK,758.055449957,John C. Bushfield,Row House,Residential
87 St. James Place (aka 182-190 Greene Avenue),c. 1867,3019640032,0,0,Brick,Italianate,BK,847.588723749,Not determined,Row House,Residential
203 Congress Street,1884,3002970043,0,0,Brick,neo-Grec,BK,865.783131236,William Patterson,Row House,Residential
398 7th Avenue,c. 1890,3010300042,0,Metal,Brownstone,Queen Anne,BK,1057.57648272,L. Bonard,Store and Flats,"Mixed-use, commercial & residential"
381 Lewis Avenue,1877,3016700006,0,0,0,Italianate (late),BK,875.778564194,Howard M. Smith,Row House,Residential
91 Rugby Road,1902,3050950014,0,Aluminum Siding,Brick,Not determined,BK,2809.32147902,Mary D. Ellison,Free-standing House,"Residential, single-family"
137 Oak Street,1887,3025690062,0,0,Stone,Italianate,BK,2057.47238236,Greenpoint Home for the Aged,Nursing Home,"Institutional, charitable"
391 Park Place,c. 1895,3011600064,0,0,Metal Cornice,Romanesque Revival,BK,845.701768113,William H. Reynolds,Row House,Residential
307 Clinton Street,c. 1850,3003250031,0,0,0,Gothic,BK,672.105135339,Gerard W. Morris,Row House,Residential
