id,last_updated_at,_fivetran_synced,agent_creationdate,agent_group_id,agent_is_paying,agent_name,agent_planlevel,first_visit,id_hash,last_visit,salesforce_status_c,agent_salesforceaccountid,salesforce_customer_health_engagement_score_c,salesforce_employee_range_c,salesforce_platform_level_c,salesforce_segment_c,salesforce_name,salesforce_account_owner_email_c,salesforce_pbf_account_c,salesforce_region_c
RDV_00000014,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,Context_shortlist0,F,sandwICh6,LeGAcY,2021-06-25 00:00:00.000,2943521596,2021-06-21 00:00:00.000,val5603,val3913,val7435,val7732,val3281,val1525,val7331,val4489,val7668,val8595
RDV_00000015,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,cOntext_shortlist7,F,saNdwich7,lEgAcy1,2020-09-03 00:00:00.000,2731240473,2021-04-14 00:00:00.000,val5343,val7781,val8497,val9507,val3140,val2718,val7433,val8153,val9309,val2808
RDV_00000016,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,conText_sHortlist2,F,saNdwich,LegAcy,2021-02-05 00:00:00.000,2798230264,2021-07-19 00:00:00.000,val4396,val2429,val1260,val7976,val7840,val2173,val8349,val9345,val5712,val2797
RDV_00000017,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context1_shorTlisT,T5,sandwicH,leGacy2,2020-07-21 00:00:00.000,3536199892,2021-07-06 00:00:00.000,val4495,val1011,val4147,val6490,val9485,val2602,val6828,val3729,val5796,val3881
RDV_00000018,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_shortlist7,T5,facebOOk,LEgAcy6,2021-07-08 00:00:00.000,3097183643,2021-07-28 00:00:00.000,val2642,val7538,val8798,val3710,val6392,val7554,val6258,val6069,val7615,val9534
RDV_00000019,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context_shortliSt0,T,sandwICh,LegaCy4,2021-06-17 00:00:00.000,3820112266,2021-07-18 00:00:00.000,val1414,val5457,val1355,val9129,val4648,val5506,val6162,val3687,val9669,val2647
RDV_00000020,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context_Shortlist6,F,cheese1,LeGAcy9,2020-08-23 00:00:00.000,3202791086,2021-04-09 00:00:00.000,val6483,val2121,val4766,val7299,val5800,val1185,val5829,val2839,val1167,val1360
RDV_00000021,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,coNtext_Shortlist3,F8,cHeESe,LegacY,2021-04-29 00:00:00.000,3363533056,2021-04-29 00:00:00.000,val2303,val8721,val4186,val5968,val7713,val3389,val2239,val7786,val2709,val8827
RDV_00000022,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_sHortlIsT,t9,fAcEbook,legACy2,2021-06-07 00:00:00.000,3172707259,2021-04-09 00:00:00.000,val1328,val6154,val4098,val2952,val1507,val9058,val3761,val7798,val3831,val9395
RDV_00000023,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_shortList3,f0,test1_206,LEgaCy,2020-12-13 00:00:00.000,3366550526,2021-07-21 00:00:00.000,val5372,val4487,val4466,val5428,val9037,val4296,val2969,val3900,val8787,val5987
RDV_00000024,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,cOntext_shortList1,F,sAndwIcH,legAcy9,2021-05-17 00:00:00.000,3590700046,2021-07-23 00:00:00.000,val8363,val3472,val2230,val2790,val4744,val4353,val9595,val2519,val3487,val1899
RDV_00000025,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,contexT_shortList,T,Cheese,LEgacy3,2020-10-07 00:00:00.000,3843845781,2021-06-17 00:00:00.000,val1361,val1280,val8294,val2398,val3125,val3533,val3933,val1829,val7366,val4786
RDV_00000026,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,conText_shORtlist,f9,saNdWich,LegAcy,2020-06-12 00:00:00.000,3440565164,2021-06-11 00:00:00.000,val2871,val3200,val8106,val3934,val1531,val9551,val1906,val7964,val2957,val7590
RDV_00000027,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context_shortlIst1,F,fACebOok4,LeGacY,2020-09-29 00:00:00.000,2803851717,2021-05-20 00:00:00.000,val6951,val8967,val1469,val1186,val4945,val8876,val2726,val7683,val1727,val6740
RDV_00000028,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,ContExt_shorTlist,F,sAndwicH9,LeGaCy,2021-06-15 00:00:00.000,2830696025,2021-05-05 00:00:00.000,val4122,val6992,val2544,val9155,val5663,val6729,val3811,val4743,val4290,val3667
RDV_00000029,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,cOntext3_shortlisT4,f,CheEse4,LEGaCy,2020-09-08 00:00:00.000,3817820384,2021-07-09 00:00:00.000,val7405,val2462,val4474,val2706,val5064,val5312,val9944,val6370,val4182,val8190
RDV_00000030,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,context_shoRtlist,F8,tEsT0_23,LegacY,2021-03-13 00:00:00.000,3227527347,2021-05-31 00:00:00.000,val5623,val9933,val5833,val7353,val8540,val4585,val3348,val8873,val7530,val3725
RDV_00000031,2021-07-27 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_shortlisT,F,faCEbOok2,LegacY7,2021-03-17 00:00:00.000,3723868006,2021-06-29 00:00:00.000,val9271,val1587,val9231,val6024,val7655,val2873,val8467,val8131,val9038,val8707
RDV_00000032,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,coNtExt_shorTlist8,f8,sanDwich,LegaCy,2020-12-13 00:00:00.000,3241377623,2021-07-15 00:00:00.000,val8034,val7689,val5481,val3043,val6962,val4723,val1663,val4029,val6546,val8212
RDV_00000033,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,context_Shortlist1,f3,Cheese6,lEgaCy6,2020-08-09 00:00:00.000,2786834357,2021-04-12 00:00:00.000,val6558,val9021,val5238,val4013,val9643,val2849,val7106,val8975,val2686,val4504
RDV_00000034,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-27 00:00:00.000000,coNtext_shOrtlIst9,F,sandwich,LegACY7,2020-11-24 00:00:00.000,3457443864,2021-04-15 00:00:00.000,val2300,val2814,val2859,val9666,val7432,val8583,val2157,val2492,val8602,val2913
RDV_00000035,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000,2021-07-28 00:00:00.000000,Context_shortList,F3,sANdwich,LegAcy7,2020-11-30 00:00:00.000,2808946858,2021-05-22 00:00:00.000,val8554,val2179,val3132,val1783,val4261,val3922,val5336,val9195,val5104,val9203
