grade_2,students_with_disabilities,female_1,poverty_1,male
66,94,0.483,0.867,214
0,60,0.618,0.912,78
0,55,0.551,0.929,89
0,136,0.491,0.729,322
80,237,0.492,0.835,432
47,103,0.454,0.546,194
0,50,0.535,0.796,114
59,46,0.452,0.565,204
0,90,0.214,0.697,371
45,117,0.464,0.964,207
20,107,0.518,0.624,95
146,150,0.502,0.075,443
0,88,0.578,0.908,210
0,82,0.514,0.797,153
0,27,0.531,0.742,98
54,113,0.499,0.68,343
0,199,0.439,0.558,624
20,47,0.468,0.903,66
91,113,0.542,0.044,320
0,246,0.587,0.692,609
131,125,0.498,0.281,467
0,20,0.432,0.384,300
0,44,0.651,0.855,65
44,93,0.426,0.943,162
43,117,0.489,0.501,201
0,216,0.504,0.744,645
0,68,0.592,0.506,158
21,56,0.472,0.983,124
50,146,0.442,0.867,273
42,78,0.477,0.401,158
0,161,0.467,0.917,262
89,108,0.489,0.348,326
