english_language_learners_1,hispanic_1,students_with_disabilities_1,grade_9,economic_need_index,asian_1,grade_3,dbn,grade_pk_half_day_full_day,multiple_race_categories,male_1,grade_k
0.055,0.547,0.265,0,0.668,0.022,0,03M250,0,3,0.552,0
0.137,0.601,0.22,0,0.711,0.048,76,03M165,31,12,0.513,58
0.008,0.118,0.081,145,0.282,0.332,122,01M539,0,129,0.521,100
0.004,0.113,0.047,143,0.253,0.33,115,01M539,0,91,0.495,123
0.006,0.112,0.166,105,0.169,0.129,0,02M260,0,32,0.319,0
0.016,0.568,0.189,149,0.713,0.103,0,02M615,0,11,0.623,0
0.144,0.777,0.351,0,0.855,0.053,30,01M140,13,4,0.5,26
0.153,0.285,0.247,0,0.934,0.021,25,03M149,18,5,0.498,17
0.124,0.353,0.203,0,0.731,0.007,0,03M256,0,5,0.471,0
0.027,0.24,0.147,0,0.191,0.123,57,02M212,36,37,0.461,55
0.025,0.074,0.169,0,0.11,0.113,126,02M006,0,25,0.539,117
0.077,0.198,0.278,0,0.507,0.402,0,02M896,0,13,0.49,0
0.016,0.104,0.156,0,0.078,0.078,90,02M041,36,80,0.458,119
0.043,0.123,0.193,0,0.14,0.071,118,02M003,53,41,0.525,129
0.834,0.483,0.037,66,0.941,0.264,0,02M438,0,0,0.542,0
0.023,0.168,0.142,0,0.184,0.106,107,03M166,0,48,0.502,131
0.104,0.78,0.259,0,0.9,0.026,67,04M072,42,6,0.526,55
0.055,0.446,0.185,226,0.646,0.215,0,02M489,0,11,0.58,0
0.059,0.44,0.189,236,0.764,0.217,0,02M489,0,14,0.584,0
0.313,0.99,0.226,0,0.749,0.0,0,03M247,0,0,0.421,0
0.085,0.628,0.249,143,0.731,0.02,0,02M393,0,6,0.619,0
0.111,0.562,0.305,0,0.908,0.035,29,04M038,27,5,0.522,35
0.012,0.095,0.169,0,0.058,0.094,116,02M041,35,80,0.487,100
0.132,0.614,0.273,87,0.826,0.023,0,03M402,0,7,0.537,0
0.059,0.703,0.186,202,0.774,0.04,0,02M529,0,7,0.453,0
0.03,0.542,0.184,155,0.736,0.045,0,02M298,0,23,0.434,0
0.01,0.433,0.227,97,0.57,0.072,0,02M280,0,1,0.515,0
0.208,0.329,0.235,0,0.687,0.007,0,03M256,0,3,0.51,0
0.022,0.094,0.143,0,0.088,0.109,98,02M290,37,36,0.447,98
0.123,0.474,0.26,0,0.582,0.211,57,02M051,36,7,0.509,53
0.11,0.699,0.247,105,0.854,0.011,0,02M303,0,5,0.532,0
0.037,0.5,0.126,69,0.624,0.016,0,02M531,0,5,0.154,0
0.704,0.296,0.056,0,0.951,0.571,0,01M515,0,6,0.575,0
0.041,0.135,0.188,0,0.139,0.067,117,02M003,50,41,0.495,132
0.132,0.675,0.284,0,0.877,0.04,95,04M057,36,4,0.53,72
0.033,0.627,0.44,0,0.808,0.086,0,01M332,0,2,0.569,0
0.017,0.128,0.182,0,0.102,0.158,68,02M343,36,66,0.464,100
0.076,0.583,0.333,0,0.758,0.152,0,01M378,0,6,0.557,0
0.002,0.155,0.15,134,0.314,0.276,0,02M412,0,29,0.448,0
0.042,0.567,0.3,121,0.689,0.084,0,02M308,0,13,0.3,0
0.022,0.126,0.194,0,0.167,0.105,50,03M452,0,14,0.511,60
0.098,0.455,0.221,0,0.486,0.208,59,02M051,49,6,0.465,70
0.17,0.044,0.128,0,0.602,0.875,177,02M130,18,26,0.521,163
0.06,0.403,0.266,0,0.568,0.071,48,01M364,36,28,0.551,61
0.139,0.143,0.136,0,0.286,0.29,73,02M217,31,43,0.486,95
0.027,0.107,0.139,0,0.147,0.209,30,02M150,18,17,0.529,29
0.054,0.596,0.189,274,0.703,0.007,0,02M570,0,2,0.418,0
0.134,0.035,0.032,113,0.784,0.91,0,02M545,0,4,0.405,0
0.091,0.237,0.317,0,0.852,0.028,29,03M149,32,14,0.523,25
0.071,0.086,0.189,0,0.051,0.169,76,02M183,21,19,0.517,113
0.106,0.593,0.221,178,0.784,0.04,0,03M494,0,12,0.667,0
0.066,0.615,0.194,223,0.749,0.051,0,02M425,0,16,0.423,0
0.118,0.557,0.325,59,0.84,0.125,0,01M292,0,6,0.624,0
0.002,0.214,0.149,94,0.389,0.065,0,02M408,0,46,0.251,0
0.013,0.366,0.106,125,0.558,0.297,0,02M414,0,21,0.392,0
0.02,0.682,0.298,0,0.882,0.045,30,01M064,35,3,0.588,27
0.013,0.127,0.116,0,0.159,0.114,0,03M054,0,53,0.529,0
0.103,0.561,0.247,148,0.779,0.035,0,03M494,0,7,0.662,0
0.022,0.257,0.177,0,0.296,0.073,0,03M245,0,16,0.437,0
0.109,0.524,0.291,0,0.773,0.102,52,04M102,25,18,0.537,40
0.031,0.646,0.35,0,0.679,0.089,46,01M019,13,3,0.556,34
0.137,0.414,0.198,120,0.766,0.28,0,01M448,0,2,0.569,0
0.054,0.587,0.141,0,0.821,0.011,0,03M404,0,0,0.538,0
0.077,0.453,0.227,0,0.602,0.179,59,02M051,68,14,0.488,66
0.036,0.278,0.146,0,0.298,0.127,144,02M011,18,31,0.552,127
0.135,0.567,0.24,72,0.899,0.111,0,01M292,0,4,0.526,0
0.092,0.621,0.258,118,0.86,0.05,0,02M296,0,13,0.337,0
0.088,0.274,0.302,0,0.858,0.028,27,03M149,27,11,0.505,24
0.487,0.395,0.064,1,0.792,0.235,0,02M575,0,10,0.536,0
0.0,0.114,0.082,0,0.142,0.219,0,02M391,465,50,0.512,0
0.32,0.052,0.18,0,0.706,0.914,89,02M042,38,4,0.523,94
0.045,0.218,0.184,0,0.352,0.275,0,02M167,0,36,0.533,0
0.074,0.773,0.363,0,0.901,0.037,51,01M142,51,7,0.567,48
0.04,0.538,0.2,56,0.665,0.062,0,02M605,0,9,0.498,0
0.03,0.583,0.248,115,0.756,0.056,0,02M449,0,18,0.485,0
0.068,0.587,0.237,122,0.767,0.026,0,02M419,0,11,0.453,0
0.176,0.691,0.191,0,0.708,0.043,104,03M165,18,14,0.513,92
0.03,0.515,0.182,131,0.63,0.108,0,02M507,0,15,0.79,0
0.067,0.628,0.294,109,0.706,0.028,0,02M139,0,5,0.702,0
0.019,0.096,0.168,0,0.052,0.092,115,02M041,36,75,0.48,121
0.028,0.126,0.154,0,0.094,0.156,49,02M397,36,68,0.5,72
0.065,0.697,0.275,1,0.714,0.011,0,03M505,0,3,0.525,0
0.064,0.27,0.206,0,0.342,0.066,90,02M151,0,31,0.52,74
0.132,0.564,0.316,0,0.615,0.016,92,03M075,0,15,0.54,102
0.047,0.176,0.16,0,0.179,0.111,56,02M527,0,45,0.499,90
0.111,0.152,0.124,0,0.233,0.294,106,02M217,28,26,0.501,101
0.047,0.34,0.231,0,0.413,0.075,44,01M364,18,21,0.502,56
0.039,0.142,0.162,0,0.182,0.125,69,02M527,0,49,0.492,82
0.008,0.539,0.212,437,0.563,0.085,0,02M630,0,82,0.339,0
0.022,0.136,0.152,0,0.158,0.158,29,02M150,18,19,0.527,28
0.116,0.679,0.258,69,0.857,0.056,0,02M300,0,3,0.702,0
0.172,0.489,0.215,0,0.677,0.324,95,01M020,41,22,0.509,83
0.0,0.156,0.064,0,0.128,0.211,0,02M391,346,38,0.48,0
0.056,0.592,0.195,145,0.831,0.024,0,03M492,0,4,0.423,0
0.016,0.485,0.169,138,0.763,0.037,0,02M374,0,29,0.259,0
0.05,0.591,0.21,91,0.814,0.064,0,02M135,0,5,0.505,0
0.081,0.569,0.207,40,0.891,0.021,0,02M544,0,5,0.509,0
0.054,0.569,0.265,132,0.743,0.059,0,02M543,0,10,0.34,0
0.159,0.661,0.312,0,0.954,0.018,43,01M188,19,0,0.573,37
0.053,0.497,0.212,125,0.788,0.045,0,02M288,0,13,0.442,0
0.033,0.214,0.153,0,0.207,0.082,90,03M009,36,27,0.488,101
