hispanic,school_name,grade_10,asian,total_enrollment,black_1,grade_6,poverty,grade_8
376,East Side Community School,101,62,666,0.215,103,494,87
208,Food and Finance High School,104,20,400,0.387,0,318,0
279,P.S. 083 Luis Munoz Rivera,0,54,439,0.18,0,394,0
206,Landmark High School,94,11,348,0.333,0,309,0
64,The East Village Community School,0,32,318,0.053,0,86,0
268,"High School for Law, Advocacy and Community Justic",132,12,510,0.42,0,461,0
122,Repertory Company High School for Theatre Arts,73,6,247,0.372,0,186,0
256,High School of Hospitality Management,120,12,398,0.269,0,366,0
423,Jacqueline Kennedy Onassis High School,180,42,641,0.229,0,473,0
282,High School of Arts and Technology,132,25,504,0.343,0,434,0
216,P.S. 011 William T. Harris,0,137,888,0.057,0,276,0
155,Murray Hill Academy,90,19,283,0.329,0,226,0
273,High School of Arts and Technology,120,31,492,0.317,0,417,0
41,New York City Lab Middle School for Collaborative,0,258,551,0.024,190,159,184
332,Richard R. Green High School of Teaching,166,34,566,0.318,0,483,0
150,The STAR Academy - P.S.63,0,4,230,0.196,0,176,0
263,Business Of Sports School,115,5,429,0.329,0,311,0
72,"Urban Assembly School of Business for Young Women,",75,6,232,0.586,0,195,0
99,P.S. 116 Mary Lindley Murray,0,112,504,0.089,0,163,0
167,P.S. 064 Robert Simon,0,13,247,0.194,0,239,0
125,University Neighborhood High School,100,92,304,0.243,0,272,0
96,M.S. 250 West Side Collaborative Middle School,0,7,189,0.349,60,131,63
47,Urban Academy Laboratory High School,25,9,147,0.34,0,86,0
234,P.S. 084 Lillian Weber,0,23,656,0.081,0,266,0
250,Quest to Learn,117,63,586,0.22,54,401,94
29,M.S. 243 Center School,0,19,230,0.148,64,28,57
80,M.S. 250 West Side Collaborative Middle School,0,1,162,0.37,48,113,60
245,New Design High School,134,22,426,0.34,0,330,0
71,West Prep Academy,0,3,201,0.577,68,139,68
216,School of the Future High School,110,113,747,0.111,112,270,102
147,Tompkins Square Middle School,0,78,362,0.13,120,244,120
43,STEM Institute of Manhattan,0,3,112,0.527,0,106,0
231,"P.S. 145, The Bloomingdale School",0,9,368,0.253,0,251,0
235,Academy for Software Engineering,114,42,458,0.253,0,335,0
261,Business Of Sports School,122,6,426,0.336,0,317,0
76,P.S. 199 Jessie Isador Straus,0,132,822,0.045,0,113,0
234,Gramercy Arts High School,158,20,530,0.428,0,385,0
316,P.S. 075 Emily Dickinson,0,14,575,0.231,0,416,0
194,P.S. 111 Adolph S. Ochs,0,65,413,0.136,0,233,0
24,West End Secondary School,0,6,136,0.096,136,25,0
470,Fiorello H. LaGuardia High School of Music & Art a,798,543,2760,0.099,0,780,0
103,River East Elementary,0,0,192,0.38,0,167,0
173,Manhattan Early College School for Advertising,98,23,367,0.346,0,298,0
104,The Children's Workshop School,0,27,267,0.105,0,128,0
264,P.S. 020 Anna Silver,0,147,497,0.103,0,366,0
50,P.S. 006 Lillie D. Blake,0,91,700,0.021,0,46,0
260,Stephen T. Mather Building Arts & Craftsmanship Hi,111,8,394,0.259,0,333,0
203,The Riverside School for Makers and Artists,0,31,453,0.362,41,334,56
55,P.S. 234 Independence School,0,72,683,0.016,0,33,0
152,N.Y.C. Museum School,118,131,450,0.136,0,302,0
166,"Urban Assembly Academy of Government and Law, The",89,20,331,0.396,0,264,0
108,Community Action School - MS 258,0,6,255,0.471,79,170,83
42,Special Music School,38,50,314,0.137,15,57,14
48,The Anderson School,0,146,551,0.036,64,45,74
240,P.S. 163 Alfred E. Smith,0,33,565,0.163,0,275,0
119,P.S. 003 Charrette School,0,69,731,0.053,0,163,0
124,Manhattan Early College School for Advertising,85,19,279,0.351,0,228,0
40,M.S. 255 Salk School of Science,0,72,390,0.023,131,42,127
330,P.S. 108 Assemblyman Angelo Del Toro Educational C,0,17,513,0.298,55,413,90
66,P.S. 89,0,67,412,0.022,0,12,0
151,P.S. 38 Roberto Clemente,0,14,265,0.332,0,255,0
206,Lower East Side Preparatory High School,151,274,543,0.094,0,377,0
109,Professional Performing Arts High School,99,17,536,0.233,28,179,33
18,High School for Dual Language and Asian Studies,103,341,396,0.035,0,350,0
98,Emma Lazarus High School,29,134,296,0.101,0,284,0
228,Harvest Collegiate High School,118,30,457,0.21,0,307,0
289,P.S. 083 Luis Munoz Rivera,0,58,457,0.188,0,411,0
97,Forsyth Satellite Academy,49,2,179,0.425,0,147,0
234,P.S. 007 Samuel Stern,0,10,357,0.275,53,328,51
45,Harvey Milk High School,18,1,64,0.188,0,59,0
135,J.H.S. 054 Booker T. Washington,0,100,867,0.08,313,168,297
81,P.S. 184m Shuang Wen,0,468,672,0.045,89,461,79
97,Bard High School Early College,154,141,548,0.161,0,250,0
247,"High School for Law, Advocacy and Community Justic",98,20,429,0.331,0,385,0
54,P.S. 89,0,87,456,0.015,0,40,0
229,P.S. 007 Samuel Stern,0,12,372,0.301,55,299,42
54,West End Secondary School,0,15,240,0.071,107,53,0
215,J.H.S. 104 Simon Baruch,0,382,1134,0.075,368,511,388
124,City Knoll Middle School,0,25,247,0.198,85,185,88
66,"Urban Assembly School of Business for Young Women,",42,9,179,0.492,0,151,0
44,P.S. 042 Benjamin Altman,0,579,653,0.014,0,498,0
459,The Lexington Academy,0,7,563,0.151,88,535,0
43,M.S. 243 Center School,0,14,235,0.115,61,30,57
190,P.S. 102 Jacques Cartier,0,17,316,0.288,0,282,0
38,The Clinton School,0,41,270,0.063,88,56,85
848,High School for Health Professions and Human Servi,458,373,1664,0.189,0,1086,0
102,P.S. 076 A. Philip Randolph,0,1,443,0.734,49,422,59
264,High School M560 - City As School,85,29,627,0.373,0,407,0
166,University Neighborhood High School,111,119,392,0.24,0,351,0
129,The STAR Academy - P.S.63,0,8,200,0.185,0,165,0
165,Independence High School,114,14,317,0.397,0,277,0
232,Quest to Learn,95,72,662,0.192,108,306,117
274,High School of Hospitality Management,103,16,402,0.241,0,363,0
105,P.S. 015 Roberto Clemente,0,14,178,0.287,0,152,0
303,P.S. 096 Joseph Lanzetta,0,9,450,0.267,54,418,78
120,Earth School,0,25,340,0.126,0,157,0
178,P.S. 033 Chelsea Prep,0,142,622,0.143,0,286,0
116,M.S. M245 The Computer School,0,31,403,0.127,134,115,134
271,The Global Learning Collaborative,108,8,414,0.261,0,338,0
559,The Lexington Academy,0,16,687,0.132,89,589,83
141,School for Global Leaders,0,32,250,0.236,63,211,101
53,Urban Academy Laboratory High School,47,12,159,0.283,0,88,0
117,Ella Baker School,0,18,311,0.167,26,113,22
97,Emma Lazarus High School,103,127,315,0.175,0,294,0
301,Richard R. Green High School of Teaching,155,36,499,0.251,0,423,0
228,Gramercy Arts High School,162,17,534,0.41,0,424,0
224,Harvest Collegiate High School,123,31,487,0.244,0,319,0
116,Battery Park City School,0,172,849,0.04,97,128,91
131,NYC iSchool,121,35,449,0.185,0,170,0
972,High School for Health Professions and Human Servi,529,386,1819,0.161,0,1377,0
119,Stephen T. Mather Building Arts & Craftsmanship Hi,78,7,193,0.244,0,164,0
154,Essex Street Academy,105,21,356,0.382,0,254,0
44,STEM Institute of Manhattan,0,4,134,0.537,0,124,0
129,"James Baldwin School, The: A School for Expedition",95,2,265,0.445,0,202,0
150,The Urban Assembly School for Emergency Management,100,18,257,0.296,0,185,0
53,The Anderson School,0,161,574,0.045,90,57,64
133,P.S. 198 Isador E. Ida Straus,0,80,498,0.104,0,214,0
111,P.S. 009 Sarah Anderson,0,52,611,0.047,0,135,0
229,Murry Bergtraum High School for Business Careers,155,65,598,0.475,0,433,0
511,Manhattan Bridges High School,166,1,517,0.004,0,430,0
84,P.S. 040 Augustus Saint-Gaudens,0,54,631,0.029,0,53,0
48,Lafayette Academy,0,2,138,0.5,42,117,48
48,The Anderson School,0,157,559,0.043,90,56,62
146,Manhattan / Hunter Science High School,115,124,442,0.158,0,272,0
96,River East Elementary,0,0,182,0.434,0,151,0
69,University Neighborhood Middle School,0,6,110,0.273,39,96,36
365,Leadership and Public Service High School,189,31,608,0.298,0,560,0
84,P.S. 199 Jessie Isador Straus,0,123,848,0.039,0,87,0
77,The Locke School of Arts and Engineering,0,5,252,0.571,0,215,0
468,Fiorello H. LaGuardia High School of Music & Art a,754,525,2697,0.11,0,783,0
216,School of the Future High School,113,104,713,0.104,101,269,93
195,Landmark High School,82,10,330,0.333,0,264,0
213,Mott Hall II,0,12,428,0.257,148,276,142
129,P.S. 333 Manhattan School for Children,0,50,759,0.101,61,130,58
268,Vanguard High School,140,27,461,0.252,0,341,0
93,P.S. 040 Augustus Saint-Gaudens,0,70,650,0.028,0,54,0
