dbn,q157_how_many_adults_at_this,q78_in_planning_my_last,q173_adults_at_this_school_1,q103_in_planning_my_last,q58_overall_my_professional,q27_i_feel_respected_by_other,q64_the_principal_school_1,q64_the_principal_school,q22_i_would_recommend_this,q128_in_planning_my_last_1,q36_the_principal_school_1,q118_in_planning_my_last,q84_in_planning_my_last,q107_in_planning_my_last_1,q99_in_planning_my_last,q95_in_planning_my_last,q85_in_planning_my_last,q119_in_planning_my_last,q29_i_would_recommend_this,q155_how_many_adults_at_this,q140_discipline_is_applied_1,q108_in_planning_my_last_1,q18_central_doe_employees_1,q144_how_many_students_in_1,q62_the_principal_school_1,q51_at_this_school_curriculum_1,q12_i_am_able_to_apply_my_1,q151_how_many_adults_at_this_1,q91_in_planning_my_last_1,q112_in_planning_my_last,q26_teachers_respect_other_1,q72_how_much_influence_do,q50_at_this_school_teachers_1,q172_adults_at_this_school_1,q19_the_chancellor_is_an_1,q28_teachers_at_this_school_1,q68_the_principal_assistant,q59_overall_my_professional_1,q53_at_this_school_teachers,q5_i_am_able_to_receive_1,q139_how_many_students_in_1,q59_overall_my_professional,q95_in_planning_my_last_1,q87_in_planning_my_last,q54_at_this_school_school,q141_behavioral_supports,q146_how_many_students_in_1,q115_in_planning_my_last_1,q147_how_many_students_in,q96_in_planning_my_last,q92_in_planning_my_last,q66_the_principal_assistant,q113_in_planning_my_last,q32_the_principal_school,q174_adults_at_this_school_1,q111_in_planning_my_last_1,q137_how_many_students_in,q75_the_performance_of_the,q2_how_many_teachers_at_this,q116_in_planning_my_last_1,q156_how_many_adults_at_this_1,q89_in_planning_my_last_1,q153_how_many_adults_at_this,q148_how_many_students_in,q76_the_performance_of_the,q68_the_principal_assistant_1,q120_in_planning_my_last,q167_my_students_are_safe,q137_how_many_students_in_1,q63_the_principal_school,q24_it_s_ok_in_this_school,q122_in_planning_my_last_1,q161_it_s_a_priority_at_this,q5_i_am_able_to_receive,q67_the_principal_assistant,q133_in_planning_my_last_1,q44_this_school_has_well,q82_in_planning_my_last,q30_i_feel_respected_by_the,q94_in_planning_my_last_1,q141_behavioral_supports_1,q19_the_chancellor_is_an,q37_the_principal_school,q41_at_this_school_students,q20_i_trust_the_chancellor_1,q151_how_many_adults_at_this,q133_in_planning_my_last,q174_adults_at_this_school,q144_how_many_students_in,q157_how_many_adults_at_this_1,q113_in_planning_my_last_1,q90_in_planning_my_last_1,q31_the_principal_school,q166_my_students_are_safe_1,q39_in_this_school_the_staff_1,q155_how_many_adults_at_this_1,q37_the_principal_school_1,q35_the_principal_school_1,q55_at_this_school_the,q58_overall_my_professional_1,q163_at_this_program_teachers_1,q168_my_students_are_safe_1,q66_the_principal_assistant_1,q13_i_am_able_to_develop_1,q15_i_am_able_to_distinguish_1,q41_at_this_school_students_1,q16_i_feel_respected_by_the,q176_adults_at_this_school,q156_how_many_adults_at_this,q124_in_planning_my_last_1,q93_in_planning_my_last,q149_how_many_students_in_1,q104_in_planning_my_last,q119_in_planning_my_last_1,q53_at_this_school_teachers_1,q102_in_planning_my_last_1,q145_how_many_students_in,q152_how_many_adults_at_this_1,q160_it_s_a_priority_at_this_1,q71_the_principal_assistant_1,q6_i_am_able_to_use_my_1,q138_how_many_students_in,q49_at_this_school_teachers_1,q83_in_planning_my_last_1,q20_i_trust_the_chancellor,q9_i_am_able_to_affirm_racial,q73_how_much_influence_do,q3_how_many_teachers_at_this_1,q73_how_much_influence_do_1,q35_the_principal_school,q127_in_planning_my_last,q97_in_planning_my_last_1
11X180,0.84,0.0,0.0,0.8,0.76,0.89,0.11,0.89,0.89,0.08,0.14,0.89,,0.2,,,,0.89,0.95,0.84,0.12,0.0,,0.27,0.11,0.06,0.03,0.09,,1.0,0.14,0.83,0.12,0.0,,0.11,0.88,0.24,0.97,0.11,0.34,0.76,,,0.94,0.0,0.33,0.11,0.76,,,0.82,1.0,0.89,0.0,0.0,0.75,0.74,0.57,0.38,0.1,,0.77,0.59,0.9,0.12,0.89,0.0,0.25,0.89,0.78,0.11,0.0,0.89,0.74,0.0,0.94,,0.89,,0.0,,0.84,0.89,,0.91,1.0,0.0,0.73,0.16,0.0,,0.78,0.0,0.06,0.16,0.16,0.19,0.83,0.24,0.0,0.0,0.18,0.0,0.06,0.11,,0.0,0.9,0.08,,0.24,1.0,0.11,0.03,,0.91,0.1,0.0,0.27,0.0,0.59,0.06,,,0.97,0.86,0.35,0.14,0.81,0.92,
11X111,0.8,,0.0,,0.73,1.0,0.0,1.0,0.58,0.0,0.5,,,,,,,,0.67,0.8,0.5,,,0.1,0.18,0.0,0.08,0.1,,,0.0,0.55,0.0,0.0,,0.0,0.91,0.18,1.0,0.0,0.0,0.82,,,0.91,,0.44,,0.73,,,1.0,,0.58,0.0,,0.82,0.83,0.85,,0.1,,0.9,0.73,0.8,0.09,,1.0,0.18,0.91,0.83,,,1.0,0.64,0.0,0.92,,0.58,,,,0.92,0.92,,0.9,1.0,0.0,0.9,0.2,,,0.42,0.0,0.17,0.2,0.08,0.33,0.67,0.27,,0.0,0.0,0.08,0.0,0.08,,0.0,0.9,0.0,,0.4,,,0.0,,0.91,0.1,,0.27,0.0,0.7,0.0,,,0.92,0.64,0.23,0.36,0.67,1.0,
10X045,0.91,0.0,0.0,0.75,0.78,0.96,0.11,0.89,0.78,,0.19,0.83,,0.25,,,,0.83,0.81,0.68,0.12,0.12,,0.17,0.22,0.07,0.15,0.09,,0.75,0.07,0.96,0.08,0.0,,0.04,0.81,0.22,0.93,0.17,0.3,0.78,,,0.93,0.0,0.42,0.17,0.76,,,0.89,0.88,0.85,0.0,0.12,0.74,0.74,0.77,0.17,0.09,,0.82,0.64,0.74,0.19,0.83,0.0,0.26,0.85,0.89,0.0,0.0,0.83,0.89,0.0,0.81,,0.81,,0.0,,0.89,0.93,,0.91,1.0,0.0,0.83,0.09,0.12,,0.74,0.0,0.08,0.32,0.11,0.11,0.77,0.22,0.0,0.0,0.11,0.08,0.14,0.07,,0.0,0.91,,,0.38,0.88,0.17,0.07,,0.84,0.0,0.0,0.15,0.07,0.57,0.04,,,0.96,1.0,0.2,0.0,0.89,,
10X315,1.0,0.0,0.0,,0.54,0.93,0.0,1.0,0.93,0.0,0.14,,,,,,,,0.86,0.85,0.08,,,0.23,0.15,0.09,0.0,0.0,,,0.14,0.69,0.09,0.0,,0.14,0.85,0.31,1.0,0.07,0.23,0.69,,,1.0,0.0,0.46,,0.69,,,1.0,,0.79,0.0,,0.77,0.89,0.93,,0.15,,0.92,0.62,1.0,0.15,,1.0,0.23,1.0,0.86,,0.0,0.93,0.92,0.09,1.0,,0.93,,0.0,,0.86,1.0,,1.0,0.91,0.0,0.77,0.0,,,0.64,0.2,0.0,0.15,0.14,0.07,0.85,0.46,0.0,0.0,0.0,0.21,0.0,0.0,,0.0,0.85,0.09,,0.46,,,0.0,,0.92,0.08,0.0,0.08,0.0,0.62,0.23,,,1.0,0.77,0.14,0.23,0.93,0.91,
11X567,0.77,,0.0,,0.67,0.75,0.17,0.83,0.71,0.28,0.25,,0.0,,0.0,0.0,0.0,,0.71,0.59,0.35,,,0.35,0.25,0.25,0.09,0.14,0.0,,0.38,0.57,0.29,0.0,,0.33,0.54,0.38,0.92,0.04,0.17,0.62,0.0,0.0,0.96,,0.55,,0.74,0.0,0.0,0.54,,0.75,0.0,,0.83,0.73,0.46,,0.23,0.0,0.64,0.43,0.81,0.46,,1.0,0.17,0.79,0.71,,,0.96,0.5,0.17,0.83,0.0,0.79,0.0,,,0.88,1.0,,0.86,0.83,0.0,0.65,0.23,,0.0,0.57,0.0,0.04,0.41,0.12,0.33,0.71,0.33,,0.0,0.46,0.09,0.04,0.0,,0.0,0.77,0.11,0.0,0.2,,,0.08,0.0,0.86,0.23,,0.5,0.04,0.3,0.08,0.0,,0.96,0.65,0.58,0.35,0.67,0.89,0.0
02M413,0.93,0.0,0.0,1.0,0.79,0.94,0.09,0.91,0.97,0.17,0.15,0.88,1.0,0.0,1.0,1.0,1.0,0.88,0.94,0.82,0.12,0.0,,0.3,0.12,0.25,0.11,0.0,0.0,1.0,0.06,1.0,0.15,0.0,,0.09,0.91,0.18,1.0,0.12,0.27,0.82,0.0,1.0,0.97,0.0,0.18,0.0,0.73,1.0,1.0,0.94,1.0,0.97,0.0,0.0,0.88,0.5,0.83,0.0,0.15,0.0,0.94,0.61,0.5,0.09,1.0,0.0,0.12,0.97,0.94,0.0,0.0,0.88,0.79,0.0,0.97,1.0,0.94,0.0,0.0,,0.97,0.97,,1.0,1.0,1.0,0.7,0.07,0.0,0.17,0.91,0.0,0.03,0.18,0.03,0.0,0.94,0.21,0.0,0.0,0.06,0.06,0.06,0.03,,1.0,0.85,0.0,1.0,0.27,1.0,0.12,0.0,0.0,0.91,0.03,0.0,0.09,0.06,0.76,0.06,0.0,,0.97,1.0,0.11,0.0,1.0,0.83,0.0
15K839,0.93,,0.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0,0.0,,0.6,0.0,,,1.0,,1.0,0.87,0.12,0.0,,0.25,0.0,0.13,0.07,0.07,0.0,0.5,0.0,1.0,0.13,0.0,,0.0,0.88,0.12,1.0,0.06,0.06,0.88,,1.0,1.0,,0.06,,0.94,,,1.0,1.0,1.0,0.0,0.0,1.0,0.88,1.0,,0.07,0.2,0.93,0.94,0.78,0.12,,0.0,0.0,1.0,1.0,,0.0,0.94,1.0,0.0,0.88,1.0,1.0,,,,1.0,1.0,,0.93,1.0,0.0,0.75,0.07,0.0,0.6,1.0,0.0,0.0,0.13,0.0,0.06,0.94,0.12,0.0,0.0,0.0,0.0,0.06,0.0,,0.0,0.93,0.0,,0.0,1.0,,0.0,,0.94,0.0,0.0,0.06,0.0,0.88,0.0,0.0,,1.0,1.0,0.0,0.0,0.94,1.0,
17K532,0.94,1.0,0.0,1.0,0.86,0.97,0.06,0.94,0.94,0.04,0.03,,,0.0,,,,,0.94,0.97,0.06,0.0,,0.1,0.03,0.09,0.06,0.03,,1.0,0.03,0.86,0.03,0.0,,0.03,0.97,0.09,1.0,0.03,0.12,0.91,,,1.0,,0.39,,0.82,,,0.97,1.0,0.97,0.0,0.0,0.94,0.82,0.92,,0.06,,0.94,0.65,0.9,0.03,,1.0,0.06,0.97,0.94,,,0.97,1.0,0.03,0.92,,0.97,,,,0.97,1.0,,0.97,0.97,0.0,0.9,0.06,0.0,,0.97,0.24,0.0,0.03,0.03,0.03,0.97,0.14,,0.0,0.03,0.06,0.09,0.0,,0.0,0.94,0.07,,0.16,1.0,,0.0,,0.94,0.03,,0.08,0.0,0.76,0.08,,,0.97,0.92,0.03,0.08,0.97,0.96,
17K354,0.96,0.0,0.0,,0.91,1.0,0.0,1.0,1.0,0.0,0.04,1.0,,,1.0,1.0,,1.0,0.96,0.95,0.0,,,0.23,0.0,0.05,0.0,0.0,,,0.0,0.92,0.05,0.0,,0.0,1.0,0.04,1.0,0.04,0.13,0.96,0.0,,1.0,0.0,0.22,0.0,0.87,1.0,0.8,0.96,,0.96,0.0,,0.83,0.87,0.96,0.0,0.0,,0.9,0.7,0.94,0.0,1.0,0.0,0.17,1.0,0.96,0.0,0.0,0.96,1.0,0.0,1.0,,0.88,0.0,0.0,,0.96,1.0,,1.0,1.0,0.0,0.77,0.04,,,1.0,0.0,0.0,0.05,0.04,0.04,1.0,0.09,0.0,0.0,0.04,0.04,0.0,0.0,,0.0,1.0,0.0,0.8,0.26,,0.0,0.0,0.0,0.91,0.05,0.0,0.08,0.0,0.7,0.08,,,1.0,0.96,0.08,0.04,0.96,1.0,0.0
02M003,0.77,,0.0,,0.66,0.93,0.14,0.86,0.91,0.09,0.32,,,,0.0,0.0,,,0.82,0.78,0.22,,,0.28,0.39,0.29,0.02,0.08,,,0.16,0.84,0.21,0.0,,0.14,0.73,0.32,1.0,0.11,0.05,0.68,0.0,,1.0,,0.08,,0.9,0.0,0.0,0.75,,0.64,0.0,,0.93,0.54,0.8,,0.22,,0.9,0.86,0.48,0.27,,1.0,0.07,0.8,0.86,,,0.89,0.66,0.14,0.84,,0.77,0.0,,,0.8,0.95,,0.92,0.86,0.0,0.72,0.23,,,0.61,0.0,0.0,0.22,0.2,0.23,0.84,0.34,,0.0,0.25,0.02,0.02,0.05,,0.0,0.78,0.09,0.0,0.03,,,0.0,0.0,0.98,0.12,,0.3,0.02,0.76,0.05,,,1.0,0.91,0.31,0.09,0.77,0.91,0.0
KBYM,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0
09X564,1.0,0.0,0.05,,0.95,1.0,0.05,0.95,1.0,0.0,0.0,,,,,,,,1.0,0.94,0.0,,,0.16,0.05,0.18,0.05,0.0,,,0.0,1.0,0.19,0.05,,0.0,0.95,0.15,0.85,0.0,0.11,0.85,,,0.95,0.0,0.16,,0.89,,,0.95,,1.0,0.11,,0.95,0.71,0.91,,0.06,,0.89,0.78,0.56,0.05,,0.0,0.05,0.95,1.0,,0.0,1.0,0.85,0.0,1.0,,1.0,,0.0,,1.0,1.0,,1.0,1.0,0.89,0.84,0.0,,,1.0,0.0,0.0,0.06,0.0,0.0,0.95,0.05,0.0,0.0,0.05,0.0,0.0,0.0,,0.95,0.94,0.0,,0.26,,,0.15,,1.0,0.05,0.0,0.05,0.0,0.68,0.05,,,1.0,1.0,0.0,0.0,1.0,1.0,
09X215,0.83,0.0,0.0,1.0,0.84,0.95,0.05,0.95,1.0,,0.1,1.0,1.0,0.17,,,0.8,1.0,1.0,0.89,0.05,0.0,,0.16,0.05,0.06,0.14,0.0,0.0,1.0,0.14,0.89,0.06,0.0,,0.1,0.89,0.11,0.95,0.05,0.11,0.89,,1.0,0.9,0.0,0.26,0.0,0.79,,,0.89,0.83,0.95,0.0,0.0,0.84,0.8,0.9,0.14,0.11,0.0,0.94,0.58,0.69,0.11,0.86,0.0,0.16,0.89,0.86,0.14,0.0,0.95,0.95,,0.95,1.0,1.0,,0.0,,1.0,1.0,,1.0,,0.0,0.84,0.17,0.17,0.2,1.0,0.0,0.0,0.11,0.0,0.05,0.95,0.16,0.0,0.0,0.11,0.1,0.14,0.0,,0.0,0.89,,,0.42,1.0,0.0,0.05,,1.0,0.05,0.0,0.11,0.0,0.58,0.0,0.2,,0.95,0.95,0.14,0.05,0.95,,
