dbn,school_name,q80_in_planning_my_last,q79_in_planning_my_last_1,q164_at_this_program_teachers,q24_it_s_ok_in_this_school_1,q162_at_the_beginning_of,q17_central_doe_employees_1,q163_at_this_program_teachers,q132_in_planning_my_last,q109_in_planning_my_last_1,q82_in_planning_my_last_1,q162_at_the_beginning_of_1,q7_i_am_able_to_modify_1,q60_overall_my_professional_1,q159_positive_behavior_1,q123_in_planning_my_last,q13_i_am_able_to_develop,q33_i_trust_the_principal,q47_at_this_school_once_we_1,q98_in_planning_my_last,q134_in_planning_my_last,q96_in_planning_my_last_1,q98_in_planning_my_last_1,q161_it_s_a_priority_at_this_1,q42_this_school_educates,q71_the_principal_assistant,q50_at_this_school_teachers,q99_in_planning_my_last_1,q83_in_planning_my_last,q92_in_planning_my_last_1,q54_at_this_school_school_1,q28_teachers_at_this_school,q74_how_much_influence_do,q159_positive_behavior,q94_in_planning_my_last,q65_the_principal_assistant_1,q160_it_s_a_priority_at_this,q109_in_planning_my_last,q166_my_students_are_safe,q102_in_planning_my_last,q10_i_am_able_to_empower,q148_how_many_students_in_1,q93_in_planning_my_last_1,q67_the_principal_assistant_1,q168_my_students_are_safe,q76_the_performance_of_the_1,q126_in_planning_my_last_1,q152_how_many_adults_at_this,q170_it_s_a_priority_at_this,q25_i_have_conversations_1,q18_central_doe_employees,q39_in_this_school_the_staff,q69_the_principal_assistant,q26_teachers_respect_other,q70_the_principal_school,q52_at_this_school_teachers,q97_in_planning_my_last,q120_in_planning_my_last_1,q74_how_much_influence_do_1,q170_it_s_a_priority_at_this_1,q22_i_would_recommend_this_1,q171_adults_at_this_school,q107_in_planning_my_last,q136_how_many_students_in,q55_at_this_school_the_1,q1_how_many_teachers_at_this_1,q25_i_have_conversations,q142_how_many_students_in,q176_adults_at_this_school_1,q42_this_school_educates_1,q121_in_planning_my_last,q175_adults_at_this_school,q81_in_planning_my_last,q105_in_planning_my_last_1,q149_how_many_students_in,q164_at_this_program_teachers_1,q84_in_planning_my_last_1,q56_at_this_school_school,q51_at_this_school_curriculum,q89_in_planning_my_last,q9_i_am_able_to_affirm_racial_1,q139_how_many_students_in,q143_how_many_students_in_1,q21_i_usually_look_forward_1,q124_in_planning_my_last,q138_how_many_students_in_1,q16_i_feel_respected_by_the_1,q116_in_planning_my_last,q4_how_many_teachers_at_this_1,q150_how_many_adults_at_this_1,q118_in_planning_my_last_1,q153_how_many_adults_at_this_1,q6_i_am_able_to_use_my,q172_adults_at_this_school
19K760,Highland Park Community School,0.0,0.0,0.0,0.14,0.0,,0.0,,0.08,0.0,0.0,0.05,0.1,0.0,1.0,0.95,1.0,0.33,0.8,,0.2,0.2,0.0,1.0,0.76,0.84,0.0,1.0,0.0,0.1,0.9,0.9,0.0,1.0,0.0,0.0,0.92,0.0,1.0,0.95,0.62,0.0,0.14,0.0,0.31,,0.85,0.95,0.1,,0.95,0.86,0.95,0.95,0.9,1.0,0.0,0.1,0.05,0.1,0.0,0.83,0.43,0.05,0.05,0.9,0.81,0.0,0.0,1.0,0.0,1.0,0.0,0.38,0.0,0.0,0.95,0.89,1.0,0.0,0.62,0.38,0.0,,0.33,,0.89,0.09,0.1,0.0,0.1,0.86,0.0
09X294,The Walton Avenue School,,,0.0,0.06,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.8,1.0,0.94,0.03,0.0,1.0,0.0,0.0,0.0,0.9,0.9,0.86,0.0,0.0,0.0,0.0,0.87,0.97,0.0,0.0,0.06,0.0,1.0,0.81,0.0,1.0,0.23,0.0,0.06,1.0,0.27,0.0,0.97,1.0,0.13,,0.97,0.9,0.87,0.94,1.0,0.0,0.0,0.03,0.0,0.06,0.0,1.0,0.63,0.06,0.1,0.87,0.8,0.0,0.1,1.0,0.0,0.0,0.29,0.79,0.0,0.0,0.97,0.87,0.0,0.0,0.9,0.17,0.03,1.0,0.23,,1.0,0.16,0.07,0.0,0.15,1.0,0.0
03M084,P.S. 084 Lillian Weber,1.0,0.0,1.0,0.05,1.0,0.19,1.0,1.0,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.98,0.88,0.16,0.0,1.0,0.0,0.0,0.0,1.0,0.93,0.95,0.0,0.0,0.0,0.0,0.98,0.9,1.0,0.0,0.12,1.0,0.0,1.0,0.0,0.98,0.17,0.0,0.12,1.0,0.24,0.0,0.98,1.0,0.12,0.69,1.0,0.9,0.95,0.9,0.98,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.88,0.02,0.05,0.88,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,1.0,0.9,0.0,0.02,0.95,0.19,0.09,0.97,0.12,0.19,0.0,0.09,0.05,0.0,0.05,0.95,0.0
13K350,Urban Assembly School Of Music And Art,0.0,0.0,0.0,0.21,0.0,,0.0,,,,0.0,0.0,0.17,0.0,,1.0,0.86,0.36,,,,,0.0,0.93,0.85,1.0,,,,0.0,1.0,0.77,0.0,,0.15,0.0,,0.0,,1.0,0.46,,0.15,0.0,0.14,,1.0,0.0,0.0,,1.0,0.85,0.93,0.92,0.93,,,0.23,0.0,0.14,1.0,,0.62,0.14,0.23,1.0,0.83,0.09,0.07,,1.0,,,0.17,0.0,,1.0,0.92,,0.0,0.69,0.46,0.21,,0.31,,,0.07,0.0,,0.0,1.0,1.0
11X105,P.S. 105 Sen Abraham Bernstein,1.0,0.0,,0.14,,,,0.98,,,,0.03,0.07,0.0,,0.95,0.92,0.05,,0.98,,,,0.98,0.93,0.91,,,,0.03,0.93,0.95,0.0,,0.03,,,0.91,,0.97,0.55,,0.05,1.0,0.17,0.04,0.89,0.96,0.14,,0.97,0.95,0.92,0.92,0.95,,,0.05,0.04,0.05,0.0,,0.47,0.03,0.12,0.86,0.84,0.0,0.02,,0.0,,,0.63,,,0.93,0.96,,0.03,0.69,0.33,0.03,0.98,0.4,,,0.13,0.07,,0.16,0.97,0.0
02M041,P.S. 041 Greenwich Village,,,,0.06,,,,1.0,,,,0.06,0.06,,,0.94,0.94,0.28,0.0,1.0,0.0,0.0,,0.94,0.82,0.94,0.0,,0.0,0.0,0.94,0.94,,0.0,0.12,,,0.92,0.0,1.0,0.12,0.0,0.18,1.0,0.36,0.0,0.88,1.0,0.06,,1.0,0.94,1.0,0.88,1.0,0.0,,0.06,0.0,0.06,0.0,,0.62,0.11,0.24,0.94,0.93,0.0,0.06,,0.0,,,0.93,,,0.94,0.89,,0.06,1.0,0.12,0.06,1.0,0.25,,,0.11,0.12,,0.06,0.94,0.0
02M449,Vanguard High School,0.0,0.0,0.0,0.17,0.0,,0.0,,,,0.0,0.0,0.06,0.0,1.0,0.94,0.83,0.33,,,,,0.0,1.0,0.83,0.94,,,,0.06,0.89,1.0,0.0,,0.06,0.0,,0.0,,1.0,0.38,,0.17,0.0,0.5,,0.88,0.0,0.06,,1.0,0.89,0.89,0.78,1.0,,0.0,0.0,0.0,0.11,1.0,,0.69,0.11,0.06,0.94,0.81,0.06,0.0,1.0,0.94,,,0.65,0.0,,1.0,0.82,,0.0,0.59,0.29,0.06,,0.29,,1.0,0.06,0.12,0.0,0.0,1.0,1.0
18K576,Victory Collegiate High School,0.0,0.0,0.0,0.17,0.0,,0.0,1.0,,0.0,0.0,0.0,0.17,0.0,0.0,0.82,0.95,0.28,,1.0,,,0.0,1.0,0.74,0.82,,1.0,,0.11,0.95,0.68,0.0,,0.21,0.0,,0.0,,0.95,0.71,,0.32,0.0,0.22,0.0,0.73,0.0,0.22,,1.0,0.79,0.95,0.74,0.95,,0.0,0.32,0.0,0.37,1.0,,0.31,0.11,0.18,0.78,0.53,0.0,0.0,0.0,1.0,1.0,,0.35,0.0,0.0,1.0,0.83,1.0,0.06,0.44,0.53,0.16,1.0,0.69,,0.0,0.1,0.33,0.0,0.27,1.0,1.0
09X170,P.S. 170,,,,0.05,,,,1.0,0.0,0.0,,0.05,0.05,,0.0,0.84,0.95,0.0,,0.93,,,,1.0,0.95,1.0,,0.0,,0.0,1.0,0.95,,,0.0,,0.0,0.92,,0.86,0.11,,0.0,1.0,0.08,0.0,1.0,,0.1,,1.0,0.89,0.95,1.0,0.95,,0.0,0.05,,0.05,0.0,0.0,0.72,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,,0.0,0.95,1.0,0.0,0.11,1.0,0.0,0.05,0.93,0.17,,0.0,0.0,0.0,0.0,0.06,0.95,0.0
04M083,P.S. 083 Luis Munoz Rivera,,,,0.0,,,,1.0,,,,0.0,0.14,,,0.97,1.0,0.32,,0.96,,,,1.0,0.97,0.81,,,,0.0,0.97,0.94,,,0.1,,,0.9,,1.0,0.29,,0.06,1.0,0.21,0.0,0.83,0.95,0.0,,0.97,0.97,0.94,0.97,0.97,,,0.06,0.05,0.0,0.0,,0.58,0.03,0.1,1.0,0.81,0.0,0.0,,0.0,,,0.83,,,0.94,0.77,,0.0,0.87,0.26,0.06,0.84,0.45,,,0.1,0.07,,0.25,1.0,0.0
02M297,M.S. 297,0.0,0.0,0.0,0.16,0.0,,0.0,0.91,,,0.0,0.0,0.23,0.0,1.0,0.94,0.88,0.19,1.0,0.92,0.33,0.0,0.0,0.88,0.67,0.83,0.0,,0.0,0.03,0.94,0.81,0.0,1.0,0.13,0.0,,0.0,1.0,1.0,0.48,0.0,0.23,0.0,0.45,0.09,0.9,0.97,0.06,,0.97,0.87,0.88,0.6,1.0,1.0,0.0,0.19,0.03,0.06,0.0,,0.52,0.03,0.0,0.94,0.58,0.0,0.12,1.0,0.0,,,0.57,0.0,,1.0,0.76,,0.0,0.61,0.45,0.09,0.8,0.48,,1.0,0.09,0.1,0.0,0.06,1.0,0.0
10X059,P.S. 059 The Community School Of Technology,,,,0.1,,,,0.97,,,,0.0,0.05,,,0.95,0.98,0.22,,0.97,,,,1.0,0.9,0.81,,,,0.0,0.92,0.88,,,0.02,,,0.7,,1.0,0.55,,0.1,1.0,0.16,0.03,0.92,1.0,0.2,,0.98,0.95,0.98,0.82,0.98,,,0.12,0.0,0.08,0.0,,0.38,0.1,0.15,0.8,0.92,0.0,0.0,,0.0,,,0.64,,,1.0,0.9,,0.02,0.8,0.38,0.02,0.94,0.52,,,0.02,0.05,,0.14,1.0,0.0
10X205,P.S. 205 Fiorello Laguardia,1.0,0.0,,0.1,,,,0.98,0.2,,,0.0,0.1,,,0.98,0.97,0.21,,0.98,,,,0.97,0.94,0.93,,,,0.02,0.95,0.89,,,0.06,,0.8,0.63,,0.98,0.51,,0.06,0.97,0.22,0.0,0.93,0.96,0.14,,0.97,0.97,0.95,0.9,0.97,,,0.11,0.04,0.06,0.0,0.8,0.49,0.03,0.1,0.86,0.8,0.0,0.03,,0.0,,0.4,0.7,,,0.97,0.88,,0.02,0.74,0.31,0.06,0.98,0.49,,,0.06,0.08,,0.1,1.0,0.0
02M420,High School For Health Professions And Human Services,0.0,0.0,0.0,0.18,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.88,1.0,0.84,0.23,0.87,1.0,0.2,0.13,0.0,0.97,0.85,0.86,0.0,1.0,0.0,0.09,0.88,0.85,0.0,0.93,0.18,0.0,1.0,0.0,1.0,1.0,0.28,0.0,0.16,0.0,0.36,0.05,0.88,0.0,0.09,,0.99,0.77,0.87,0.85,0.93,0.87,0.12,0.15,0.0,0.06,1.0,1.0,0.7,0.24,0.06,0.91,0.88,0.05,0.03,1.0,0.93,1.0,0.0,0.84,0.0,0.0,0.93,0.85,1.0,0.0,0.76,0.21,0.1,0.94,0.33,,0.86,0.14,0.16,0.0,0.19,1.0,0.98
14K126,John Ericsson Middle School 126,0.0,0.0,0.0,0.47,0.0,,0.0,0.86,0.2,,0.0,0.0,0.29,0.0,,0.93,0.67,0.33,,0.86,,,0.0,0.93,0.71,0.87,,,,0.0,0.8,0.64,0.0,,0.43,0.0,0.8,0.0,,0.93,0.64,,0.36,0.0,0.18,0.0,0.93,1.0,0.13,,0.93,0.57,0.93,0.71,1.0,,,0.36,0.0,0.27,0.0,0.8,0.5,0.13,0.07,0.87,0.79,0.0,0.07,,0.0,,0.2,0.43,0.0,,1.0,0.73,,0.07,0.57,0.64,0.33,1.0,0.46,,,0.0,0.14,,0.14,1.0,0.0
10X054,P.S./I.S. 54,1.0,,,0.1,,,,1.0,0.0,,,0.0,0.07,,,0.96,0.94,0.1,,1.0,,,,1.0,0.9,0.96,,,,0.0,0.97,0.97,,,0.07,,1.0,0.88,,1.0,0.41,,0.04,1.0,0.11,0.0,0.89,1.0,0.03,,1.0,0.93,0.93,0.9,1.0,,,0.03,0.0,0.1,0.0,1.0,0.61,0.0,0.0,0.97,0.79,0.0,0.0,,0.0,,0.0,0.58,,,0.97,0.93,,0.0,0.83,0.28,0.03,0.95,0.28,,,0.06,0.11,,0.11,1.0,0.0
15K024,P.S. 024,1.0,0.0,,0.05,,,,0.98,0.17,,,0.0,0.06,,0.8,0.96,0.96,0.07,,1.0,,,,0.98,0.94,0.94,,,,0.0,0.93,0.96,,,0.07,,0.83,1.0,,0.96,0.43,,0.04,1.0,0.2,0.0,0.92,1.0,0.05,,1.0,0.93,0.93,0.96,1.0,,0.0,0.04,0.0,0.07,0.0,0.83,0.53,0.02,0.07,0.95,0.82,0.0,0.02,1.0,0.0,,0.17,0.54,,,0.98,0.94,,0.0,0.86,0.28,0.02,1.0,0.3,,1.0,0.05,0.04,0.0,0.08,1.0,0.0
02M340,Sixth Avenue Elementary School,,,,0.14,,,,0.93,0.0,0.0,,0.0,0.5,,0.0,0.82,0.86,0.55,0.0,0.93,0.0,0.0,,1.0,0.76,0.52,0.0,0.0,0.0,0.05,0.86,0.86,,0.0,0.23,,0.0,0.94,0.0,0.96,0.18,0.0,0.32,1.0,0.38,0.07,0.84,1.0,0.14,,0.95,0.76,0.91,0.71,1.0,0.0,0.0,0.14,0.0,0.05,0.0,0.0,0.68,0.14,0.23,0.86,0.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.73,0.0,0.04,0.91,0.05,0.1,0.93,0.32,,0.0,0.09,0.21,0.0,0.11,1.0,0.0
02M150,P.S. 150,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.88,0.0,1.0,0.12,0.0,0.0,0.88,0.0,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.88,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,,1.0,0.0,,1.0,1.0,,0.0,1.0,0.12,0.0,1.0,0.0,,,0.0,0.0,,0.0,1.0,0.0
12X318,"I.S. X318 Math, Science & Technology Through Arts",0.0,0.0,0.0,0.32,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,1.0,0.95,0.95,0.1,0.75,1.0,0.25,0.25,0.0,1.0,0.89,0.89,0.0,1.0,0.0,0.0,0.95,0.89,0.0,1.0,0.05,0.0,1.0,0.0,0.88,0.9,0.37,0.12,0.0,0.0,0.0,0.0,0.95,0.94,0.11,,1.0,0.95,1.0,0.84,0.95,0.88,0.0,0.11,0.06,0.0,0.0,1.0,0.68,0.1,0.0,0.89,0.74,0.0,0.0,1.0,0.0,0.83,0.14,0.58,0.0,0.0,1.0,0.84,1.0,0.05,0.79,0.37,0.16,1.0,0.53,,1.0,0.05,0.0,0.12,0.16,0.95,0.0
02M586,Harvey Milk High School,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,0.0,,,0.0,,,
19K108,P.S. 108 Sal Abbracciamento,1.0,0.0,,0.09,,,,1.0,0.0,0.0,,0.07,0.0,,1.0,0.94,0.96,0.0,1.0,1.0,0.0,0.0,,1.0,0.97,1.0,0.0,1.0,0.0,0.0,0.93,0.99,,1.0,0.01,,1.0,0.94,1.0,0.94,0.1,0.0,0.0,1.0,0.39,0.0,0.99,1.0,0.12,,1.0,0.99,0.96,0.99,1.0,1.0,0.0,0.01,0.0,0.06,0.0,1.0,0.88,0.0,0.01,0.88,0.99,0.0,0.0,1.0,0.0,1.0,0.0,0.95,,0.0,0.97,1.0,1.0,0.06,1.0,0.12,0.07,1.0,0.12,,1.0,0.03,0.0,0.0,0.03,0.94,0.0
10X319,Providing Urban Learners Success In Education High School,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.07,0.0,,1.0,1.0,0.0,,1.0,,,0.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,,1.0,0.29,,0.0,0.0,0.17,,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,0.79,0.0,0.0,1.0,0.93,0.0,0.0,,1.0,,0.0,0.5,0.0,,1.0,1.0,,0.0,0.86,0.21,0.0,,0.29,,,0.0,0.0,,0.0,1.0,1.0
11X270,Academy For Scholarship And Entrepreneurship: A College Board School,0.0,0.0,0.0,0.04,0.0,,0.0,1.0,,0.0,0.0,0.04,0.08,0.0,1.0,0.96,0.88,0.08,,1.0,,,0.0,1.0,1.0,0.96,,1.0,,0.04,1.0,0.92,0.0,,0.0,0.0,,0.0,,0.88,0.68,,0.0,0.0,0.12,0.11,0.96,0.0,0.15,,1.0,0.96,1.0,1.0,1.0,,0.0,0.08,0.0,0.08,1.0,,0.54,0.0,0.0,0.85,0.81,0.0,0.0,1.0,1.0,1.0,,0.38,0.0,0.0,1.0,1.0,1.0,0.08,0.58,0.42,0.19,0.8,0.5,,1.0,0.04,0.04,0.0,0.04,0.96,1.0
07X223,The Laboratory School Of Finance And Technology: X223,0.0,0.0,0.0,0.05,0.0,,0.0,1.0,0.07,0.0,0.0,0.02,0.19,0.0,1.0,0.86,0.72,0.23,0.78,0.93,0.33,0.22,0.0,1.0,0.7,0.78,0.11,1.0,0.11,0.09,0.95,0.84,0.0,1.0,0.09,0.0,0.93,0.0,1.0,0.98,0.44,0.11,0.38,0.0,0.24,0.0,0.88,0.93,0.07,,0.98,0.81,0.98,0.74,0.98,1.0,0.09,0.16,0.07,0.05,1.0,0.93,0.58,0.16,0.05,0.93,0.72,0.0,0.0,0.91,1.0,1.0,0.07,0.45,0.0,0.0,1.0,0.73,1.0,0.0,0.7,0.35,0.05,1.0,0.4,,1.0,0.07,0.05,0.09,0.17,1.0,1.0
